[00:00.000 --> 00:26.000]  You want to stop tyranny? Well so does he. Live from the Infowars.com studios, it's Alex Jones.
[15:34.000 --> 15:41.000]  This is the globalist model, just like they're lowering our borders to vulcanize our nation and bring in the North American Union.
[15:41.000 --> 15:48.000]  They bring in super regions, but then subdivide the super regions internally along racial, religious and ethnic lines.
[15:48.000 --> 15:56.000]  David Knight's coming up. I'm Alex Jones, infowars.com. If you're listening to this transmission, you are the resistance.
[15:56.000 --> 16:00.000]  Stay with us on this 10th of August, 2014 edition.
[16:00.000 --> 16:10.000]  Hi, I'm Dr. Edward Groot. It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[16:10.000 --> 16:21.000]  The new survival shield X2 is mined from 7 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[16:21.000 --> 16:31.000]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[16:31.000 --> 16:39.000]  It's the strongest nascent iodine on the market today. It delivers 650 micrograms per drop.
[16:39.000 --> 16:43.000]  Experience the new formula. Experience the ancient purity.
[16:43.000 --> 16:50.000]  Shield your family. Survival Shield X2, available now at infowarslife.com.
[16:50.000 --> 16:58.000]  Shield X2 from infowarslife.com or call toll-free 888-253-3139.
[17:20.000 --> 17:21.000]  Alex Jones.
[17:21.000 --> 17:23.000]  Jones is the wildly popular conspiracy theory.
[17:23.000 --> 17:26.000]  A popular conspiracy theory talk show called InfoWars.
[17:26.000 --> 17:29.000]  Alex Jones is now in an Austin jail.
[17:29.000 --> 17:31.000]  These people are assaulting us.
[17:31.000 --> 17:33.000]  Targeting of patriots engaged.
[17:33.000 --> 17:39.000]  They are never going to stop. They're never going to deviate from their program until we stop them.
[17:39.000 --> 17:43.000]  Block free iPhone app at infowars.com.
[17:43.000 --> 17:48.000]  Block free podcast and video feed. Imperatives destroyed.
[17:48.000 --> 17:51.000]  You got a censor eye on the enemy.
[17:51.000 --> 17:54.000]  Not worry about what propaganda they put out.
[17:54.000 --> 18:19.000]  This is Alex Jones for infowarslife.com.
[18:19.000 --> 18:25.000]  Thanks for watching.
[18:49.000 --> 18:59.000]  This is Alex Jones for infowarslife.com.
[19:19.000 --> 19:22.000]  There are more than 42 million smokers in the United States.
[19:22.000 --> 19:26.000]  Well over a thousand types of mold in mildew linked to numerous conditions.
[19:26.000 --> 19:31.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[19:31.000 --> 19:36.000]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs
[19:36.000 --> 19:41.000]  in order to combat the toxic environment that we cannot escape but that we can fight back against.
[19:41.000 --> 19:45.000]  Made with organic and wild cultivated herbs and manufactured in the USA.
[19:45.000 --> 19:51.000]  The new infowarslife lung cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[19:51.000 --> 20:19.000]  Now available exclusively at infowarslife.com or by calling toll free 888-253-3139.
[20:19.000 --> 20:31.000]  It's Alex Jones coming to you live from the front lines of the info war.
[20:31.000 --> 20:33.000]  Welcome back to the Alex Jones show.
[20:33.000 --> 20:36.000]  I'm David Knight in studio this Sunday August 10th 2014.
[20:36.000 --> 20:43.000]  Now yesterday on the 9th was the 40th anniversary of the official resignation of Richard Nixon.
[20:43.000 --> 20:49.000]  And I have before me his letter and I'm going to read it to you in its entirety so hang on this is really long.
[20:49.000 --> 20:54.000]  I hereby resign the office of president of the United States sincerely Richard Nixon.
[20:54.000 --> 20:56.000]  That's all he said.
[20:56.000 --> 20:58.000]  Now we do have his speech here we have some excerpts from that.
[20:58.000 --> 21:06.000]  But the thing I found interesting about this letter besides his brevity was the fact that he resigned to Mr. Secretary.
[21:06.000 --> 21:10.000]  Dear Mr. Secretary says to the honorable Henry A. Kissinger.
[21:10.000 --> 21:18.000]  He resigned to Henry Kissinger not to the vice president not to the speaker of the house who would have been second and third in line.
[21:18.000 --> 21:29.000]  Now he resigned his boss Henry Kissinger the man who basically was the power behind the throne the guy who was calling the shots I believe Nixon White House.
[21:29.000 --> 21:35.000]  But we're going to look at this you know a lot of people are there's not that much coverage of the anniversary actually in the in the press.
[21:35.000 --> 21:38.000]  I'm kind of surprised with it being 40th anniversary.
[21:38.000 --> 21:46.000]  Maybe they don't want to have any comparisons between Richard Nixon and Obama because there are some amazing comparisons.
[21:46.000 --> 21:54.000]  Now of course Richard Nixon had his secret bombing of Cambodia but Obama doesn't make any secrets of his illegal bombing activities.
[21:54.000 --> 22:05.000]  He doesn't make any secret of the fact that he assassinates people by drones that he assassinates American citizens without due process that he kills their children without due process.
[22:05.000 --> 22:11.000]  Because it wasn't just Anwar Alaki it was a 16 year old son who was also killed in a separate raid.
[22:11.000 --> 22:17.000]  He doesn't make any issue of the fact that he has this illegal war in Libya.
[22:17.000 --> 22:26.000]  As a matter of fact they bragged about the fact that they didn't feel like they needed to consult with American the American Congress at all in Libya.
[22:26.000 --> 22:29.000]  And now we see that happening again in Iraq.
[22:29.000 --> 22:43.000]  And of course as this is starting as we pointed out earlier and as we're going to go to Alex's special report in this hour that Obama talking about this new bombing in Iraq says that this is going to be a long term project.
[22:43.000 --> 22:45.000]  It isn't going to take just a couple of weeks.
[22:45.000 --> 22:56.000]  Now some of the bloodthirsty neocon warmongers are very upset that he didn't give this new mission a special name that he then went on to play golf.
[22:56.000 --> 23:07.000]  I don't really know what to say about this because to me I'm bothered by the fact that they would begin and end the war in Libya with a UN resolution with a NATO resolution.
[23:07.000 --> 23:16.000]  And that after the fact when Senator Sessions questioned Defense Secretary Panetta about what do you need to go to war.
[23:16.000 --> 23:26.000]  And he clearly said I don't really need to do anything other than I might talk to the UN I might talk to allies at NATO and do we have that clip.
[23:26.000 --> 23:27.000]  I wanted to play a little bit of that clip.
[23:27.000 --> 23:31.000]  Yeah let's play a little bit of that clip with Sessions going back and forth with Panetta.
[23:31.000 --> 23:42.000]  We worried about international legal basis but nobody worried about the fundamental constitutional legal basis that this Congress has over war.
[23:42.000 --> 23:49.000]  We were not asked stunningly in direct violation of the War Powers Act whether or not you believe it's Constitution.
[23:49.000 --> 23:51.000]  It certainly didn't comply with it.
[23:51.000 --> 24:00.000]  We spent our time worrying about the UN, the Arab League, NATO and too little time in my opinion worried about the elected representatives of the United States.
[24:00.000 --> 24:10.000]  Do you think that you can act without Congress and initiate a no fly zone in Syria without congressional approval?
[24:10.000 --> 24:23.000]  You know again our goal would be to seek international permission and we would come to the Congress and inform you and determine how best to approach this.
[24:23.000 --> 24:27.000]  Whether or not we would want to get permission from the Congress.
[24:27.000 --> 24:31.000]  I think those are issues we would have to discuss as we decide what to do here.
[24:31.000 --> 24:32.000]  Now hold it right there.
[24:32.000 --> 24:33.000]  Hold it right there to hear that.
[24:33.000 --> 24:36.000]  I mean I'm amazed at that just as Senator Sessions was.
[24:36.000 --> 24:40.000]  Of course the Republicans didn't do anything about that.
[24:40.000 --> 24:43.000]  That was back I think in early 2012 or late 2011.
[24:43.000 --> 24:45.000]  You guys can check the data on that.
[24:45.000 --> 24:47.000]  But nothing has happened in the interim.
[24:47.000 --> 24:49.000]  And so now we have this again.
[24:49.000 --> 24:51.000]  We have Obama waiting until Congress is gone.
[24:51.000 --> 25:02.000]  And as Alex Jones just pointed out in the last segment, we had video of these guys going in in convoys on open roads with no air cover.
[25:02.000 --> 25:09.000]  Just on their pickup trucks with their weapons and the soldiers hanging off the side traveling very slowly and single file down these roads.
[25:09.000 --> 25:13.000]  Everybody at the time said if you wanted to stop this now you could stop it.
[25:13.000 --> 25:16.000]  And it wasn't that they hadn't done anything at that point.
[25:16.000 --> 25:23.000]  They had already been taking action against Christians, massacring Christians in Syria from where they're coming.
[25:23.000 --> 25:24.000]  There you can see that.
[25:24.000 --> 25:29.000]  If you're watching the broadcast on our website on infowars.com again there's that picture that we saw there.
[25:29.000 --> 25:31.000]  Everybody knew that was going on.
[25:31.000 --> 25:33.000]  It wasn't classified or secret picture.
[25:33.000 --> 25:41.000]  That was reporters taking a picture of this very long, very, very slow convoy of guys carrying weapons going from Syria
[25:41.000 --> 25:44.000]  where they had been equipped and trained by the American government,
[25:44.000 --> 25:49.000]  where they had committed atrocities against Christians very slowly driving into Iraq.
[25:49.000 --> 25:51.000]  This is what we're seeing.
[25:51.000 --> 25:53.000]  And it's a continuing pattern of abuse.
[25:53.000 --> 25:59.000]  And of course Secretary Panetta says we don't have to have Congress's authorization to get involved in a war.
[25:59.000 --> 26:07.000]  We need to have that conversation because not only is this a situation where our government is arming and training these terrorists
[26:07.000 --> 26:13.000]  and as Alex correctly pointed out, as everybody was saying we don't need to be the Air Force for al-Qaeda in Syria
[26:13.000 --> 26:15.000]  so they changed the name.
[26:15.000 --> 26:16.000]  They rebranded themselves.
[26:16.000 --> 26:23.000]  We saw the same thing happen in Iraq when there were a lot of scandals with the mercenary forces there with black water.
[26:23.000 --> 26:31.000]  Once everybody started talking about black water and that was on everybody's mind, they changed their names multiple times after that.
[26:31.000 --> 26:40.000]  So after it became very clear to everyone in Syria that yes, we were in fact arming and training al-Qaeda rebels
[26:40.000 --> 26:42.000]  and nobody could deny it.
[26:42.000 --> 26:48.000]  And we had people from Ted Cruz to Dennis Kasinich, both Democrats and Republicans,
[26:48.000 --> 26:52.000]  talking about how they wanted us to be al-Qaeda's Air Force in Syria.
[26:52.000 --> 26:56.000]  It became common knowledge and it could no longer be disputed.
[26:56.000 --> 27:00.000]  We had John McCain posing with pictures with these guys as they're training them.
[27:00.000 --> 27:06.000]  After that they had to change their name to ISIS, but of course they're not going to do anything to put up any real resistance.
[27:06.000 --> 27:07.000]  And Alex is going to cover that.
[27:07.000 --> 27:12.000]  But I want to talk about are we really better off now that we got rid of Nixon?
[27:12.000 --> 27:14.000]  Everybody wants to talk about Nixon.
[27:14.000 --> 27:19.000]  They want to talk about how corrupt he is, but they don't want to make the connections to today, to Obama.
[27:19.000 --> 27:22.000]  And feel very good about the fact that Nixon was taken out of office.
[27:22.000 --> 27:25.000]  And of course there's some interesting aspects of that.
[27:25.000 --> 27:28.000]  There was a lot of behind the scenes politics obviously going on with that.
[27:28.000 --> 27:32.000]  Deep Throat was the, I believe, number two guy in the FBI.
[27:32.000 --> 27:37.000]  We all know how Jagger Hoover knew everything that everybody was doing even before.
[27:37.000 --> 27:43.000]  The NSA was watching everybody's email, listening to everybody's conversations and recording them.
[27:43.000 --> 27:46.000]  Jagger Hoover had a pretty good bead on men in power.
[27:46.000 --> 27:53.000]  That alone is one of the reasons that we need to stand down our intelligence services, make them follow the law,
[27:53.000 --> 27:58.000]  make them not get into a situation as one of the presidents said.
[27:58.000 --> 28:00.000]  Jagger Hoover knows everything about us.
[28:00.000 --> 28:02.000]  It was Truman who said that.
[28:02.000 --> 28:08.000]  He's got stuff on everybody in power, everyone in Congress implying that he even had stuff on him.
[28:08.000 --> 28:14.000]  So the number two guy being Deep Throat, feeding this information to a couple of rookie reporters,
[28:14.000 --> 28:19.000]  that raises a lot of questions as to really what was behind maneuvering Nixon out of office.
[28:19.000 --> 28:24.000]  But it was also a period of time, I think, when the law was taken a little bit more seriously than it is today,
[28:24.000 --> 28:29.000]  just as we had at one time a constitutional amendment to have alcohol prohibition.
[28:29.000 --> 28:33.000]  Nobody bothers with any constitutional amendments to prohibit anything today.
[28:33.000 --> 28:35.000]  They just do whatever they wish.
[28:35.000 --> 28:37.000]  That is the law that we have now.
[28:37.000 --> 28:40.000]  We're going to talk a little bit about the legacy of Richard Nixon.
[28:40.000 --> 28:45.000]  Of course, things like the EPA, the 55 mile an hour speed limit, it's not just the secret bombing of Cambodia.
[28:45.000 --> 28:47.000]  He started the war on drugs.
[28:47.000 --> 28:49.000]  So we're going to talk a little bit about that.
[28:49.000 --> 28:51.000]  We're going to talk about what people think about this.
[28:51.000 --> 28:54.000]  But coming up after the break, we're going to have Alex's breakdown of what's going on with ISIS.
[28:54.000 --> 29:21.000]  We'll be right back.
[29:21.000 --> 29:27.000]  Most tap water contains added substances like fluoride, chlorine, glyphosate, and many others.
[29:27.000 --> 29:31.000]  Studies prove that these substances are linked to an assortment of major health issues,
[29:31.000 --> 29:34.000]  including tooth decay, lower IQ, and even cancer.
[29:34.000 --> 29:37.000]  It tastes like you're drinking out of the lake when you're in tap water.
[29:37.000 --> 29:42.000]  The Pro Pure G2.0 filtration system removes these deadly substances,
[29:42.000 --> 29:45.000]  leaving only fresh tasting, deliciously clean water.
[29:45.000 --> 29:46.000]  This is very tasty.
[29:46.000 --> 29:47.000]  It's good water.
[29:47.000 --> 29:48.000]  Refreshing.
[29:48.000 --> 29:49.000]  It's good.
[29:49.000 --> 29:51.000]  For more information, go to infowarsstore.com today.
[29:51.000 --> 29:55.000]  Use promo code WATER and save 10% off your Pro Pure Purchase.
[29:55.000 --> 30:00.000]  Or call 1-888-253-3139.
[30:00.000 --> 30:02.000]  I've always believed in nutrition and herbs.
[30:02.000 --> 30:08.000]  Super male vitality was developed to activate your body's own natural processes
[30:08.000 --> 30:13.000]  instead of using synthetic chemicals sourced from powerful organic herbs,
[30:13.000 --> 30:18.000]  harvested around the planet, and then concentrated for maximum potency.
[30:18.000 --> 30:22.000]  I just received my male vitality about three days ago, and I must say that was good stuff.
[30:22.000 --> 30:26.000]  After consulting top doctors, nutritionists, pharmacists, and others,
[30:26.000 --> 30:33.000]  we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[30:33.000 --> 30:39.000]  Super male vitality by Infowars Life is so powerful that I only take half the recommended dose.
[30:39.000 --> 30:42.000]  I jump out of bed ready to fight these criminals every day.
[30:42.000 --> 30:46.000]  I look forward to waking up and taking my super male vitality and get the day started.
[30:46.000 --> 30:52.000]  Not just the super male vitality, all the products in InfowarsLife.com are simply amazing.
[30:52.000 --> 30:59.000]  Visit InfowarsLife.com today to secure your super male vitality and other powerful products from Infowars Life.
[30:59.000 --> 31:06.000]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[31:06.000 --> 31:10.000]  Most people know that iodine deficiency has been a crisis around the world.
[31:10.000 --> 31:15.000]  Iodine is key to so many of the body's functions, especially the thyroid.
[31:15.000 --> 31:18.000]  I discovered a product being developed by Dr. Group.
[31:18.000 --> 31:24.000]  You now know it as survival shield, true nascent iodine that your body can really absorb.
[31:24.000 --> 31:31.000]  Then about a year ago he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[31:31.000 --> 31:35.000]  And the results that I personally have had have been life changing.
[31:35.000 --> 31:40.000]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[31:40.000 --> 31:44.000]  This is innovating and the best part is it helps fund Infowars.com.
[31:44.000 --> 31:49.000]  The radio show, the TV show, the whole media operation promoting true libertarian ideas.
[31:49.000 --> 31:53.000]  For a limited time, experience the ancient power of survival shield X2.
[31:53.000 --> 31:59.000]  Take advantage of this unprecedented 30% off super detox special at InfowarsLife.com.
[31:59.000 --> 32:03.000]  The government's Department of Homeland Security is buying up loads of ammo.
