[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[14:06.000 --> 14:22.000]  Now all the elite had to do was to sell the public on accepting the final phase of their takeover, and it's Obama's job to sucker the public into standing down so the bankers' agenda can move forward unhindered.
[14:22.000 --> 14:37.000]  Never before in US history has the media gotten behind a president like they are behind Obama. The press has pulled out all the stops bestowing a crown of infallibility upon Obama as the savior of the people.
[14:37.000 --> 14:45.000]  The elite are betting everything they've got on Obama's charisma and hoping that he can sell the world on their program of tyranny.
[14:45.000 --> 14:59.000]  Yes, there have been differences between America and Europe. No doubt there will be differences in the future, but the burdens of global citizenship continue to bind us together.
[14:59.000 --> 15:11.000]  A change of leadership in Washington will not lift this burden. In this new century, Americans and Europeans alike will be required to do more, not less.
[15:11.000 --> 15:18.000]  Partnership and cooperation among nations is not a choice. It is the only way.
[15:18.000 --> 15:24.000]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[15:24.000 --> 15:32.000]  In truth, Obama is not simply continuing George W. Bush's policies. He is radically expanding them.
[15:32.000 --> 15:36.000]  I thank President Bush for his service to our nation.
[15:36.000 --> 15:44.000]  This film has documented the painful fact that Barack Obama's agenda is the complete opposite of what he has claimed it to be.
[15:44.000 --> 15:45.000]  All right.
[15:45.000 --> 15:46.000]  Now we will...
[15:46.000 --> 15:55.000]  Now we will reveal when we come back what he was going to do, and he did it. Get ready straight ahead from three and a half years ago.
[15:55.000 --> 16:00.000]  The agenda that we're now living. Stay with us.
[16:00.000 --> 16:08.000]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions,
[16:08.000 --> 16:16.000]  yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[16:16.000 --> 16:21.000]  My name is Mario Safaldi, and I'm the developer of the Silver Lungs Generator.
[16:21.000 --> 16:26.000]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[16:26.000 --> 16:34.000]  it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[16:34.000 --> 16:42.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[16:42.000 --> 16:52.000]  Be sure to watch our new seven-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[16:52.000 --> 17:00.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[17:22.000 --> 17:25.000]  This is a 30-day supply of eFood's quick, fix, easy to store food.
[17:25.000 --> 17:30.000]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[17:30.000 --> 17:34.000]  Use the extra food for everyday use and save hundreds off your grocery bill.
[17:34.000 --> 17:39.000]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[17:39.000 --> 17:43.000]  Call 800-409-5633 or at eFoodsDirect.com.
[17:43.000 --> 17:46.000]  And get your free Patriot Pack with purchase.
[17:46.000 --> 17:51.000]  Operators are standing by. Call 800-409-5633 or at eFoodsDirect.com.
[17:51.000 --> 17:54.000]  eFoods is so affordable, the more you store and eat, the more you save.
[17:54.000 --> 17:59.000]  With eFoodsDirect.com, or call 800-409-5633 right now.
[17:59.000 --> 18:05.000]  Sick of the globalist eugenesis control freaks adding poison to your water and laughing as you get sick and die?
[18:05.000 --> 18:07.000]  Start purifying your water with ProPure.
[18:07.000 --> 18:13.000]  My friends, I've done a lot of research, and the best gravity filter out there, Bar Nun, is ProPure.
[18:13.000 --> 18:16.000]  And it's available discounted at infowars.com.
[18:16.000 --> 18:20.000]  Its filters are silver and pregnated to prevent bacterial growth.
[18:20.000 --> 18:24.000]  There's no priming required. It's NSF-42 certified.
[18:24.000 --> 18:27.000]  Optional fluoride filters can reduce fluoride up to 95%.
[18:27.000 --> 18:30.000]  Easy to set up and use. Doesn't require electricity.
[18:30.000 --> 18:33.000]  Purify water from lake streams, ponds, and wells.
[18:33.000 --> 18:37.000]  This filter system leaves in beneficial minerals, which is key.
[18:37.000 --> 18:41.000]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[18:41.000 --> 18:44.000]  ProPure is the best gravity-fed filter out there.
[18:44.000 --> 18:45.000]  It's what my family uses.
[18:45.000 --> 18:51.000]  Infowars.com already has the lowest price on ProPure, but if you add the promo code WATER at checkout,
[18:51.000 --> 18:54.000]  you get an additional 10% off at infowars.com.
[18:54.000 --> 19:16.000]  You can also call to order 888-253-3139.
[19:24.000 --> 19:27.000]  There are three survival seed vaults for less than one of theirs.
[19:27.000 --> 19:33.000]  The survival seed vault from mypatriotsupply.com includes detailed planting and seed-saving instructions in ship same day.
[19:33.000 --> 19:36.000]  Plus, all orders over $49 ship-free.
[19:36.000 --> 19:40.000]  Mypatriotsupply.com is American-owned by patriots like you.
[19:40.000 --> 19:42.000]  Passionate about freedom and preparedness.
[19:42.000 --> 19:46.000]  Call now 866-2290-927.
[19:46.000 --> 19:49.000]  That's 866-2290-927.
[19:49.000 --> 19:54.000]  Or discover more emergency preparedness items when you order at mypatriotsupply.com.
[19:54.000 --> 19:55.000]  Choose the original.
[19:55.000 --> 19:59.000]  Choose the survival seed vault at mypatriotsupply.com.
[20:01.000 --> 20:04.000]  Coast to coast, direct from Austin.
[20:04.000 --> 20:30.000]  You're listening to the Alex Jones Broadcasting Network.
[20:30.000 --> 20:35.000]  I thank President Bush for his service to our nation.
[20:35.000 --> 20:43.000]  This film has documented the painful fact that Barack Obama's agenda is the complete opposite of what he has claimed it to be.
[20:43.000 --> 20:51.000]  Now we will reveal what Barack Obama and his controllers true agenda is.
[20:51.000 --> 21:03.000]  Number one, bring the United States under the complete regulatory control of a private offshore super bank known as the Bank of the World.
[21:03.000 --> 21:10.000]  More than 100 new taxes are now being developed under the umbrella of curbing greenhouse gases.
[21:10.000 --> 21:14.000]  The new taxes will be paid directly to the private bank consortium.
[21:14.000 --> 21:18.000]  At the producer level, taxes will be paid on farm animals' flatulence.
[21:18.000 --> 21:25.000]  At the consumer level, there will be carbon taxes on all forms of meat, beef, poultry, pork and fish.
[21:25.000 --> 21:31.000]  All cars will be fitted with satellite tracking boxes that will tax driving by the mile.
[21:31.000 --> 21:37.000]  And an added tax will be placed on all fossil fuels, including motor oil and natural gas.
[21:37.000 --> 21:40.000]  All plastic products will have a carbon tax added.
[21:40.000 --> 21:43.000]  Outdoor space heaters and fireplaces are to be taxed.
[21:43.000 --> 21:47.000]  All electricity produced by coal-powered plants will be taxed.
[21:47.000 --> 21:58.000]  Under the cap and trade system, citizens will be forced to pay taxes on thousands of products to private cap and trade services owned by Al Gore and other elitists.
[21:58.000 --> 22:15.000]  There will be taxes on light bulbs, water, trash pickup, air travel, train travel, bus, ship, medicine, steel production, mining, clothing, laundry, asphalt are just a few of the new taxes to be levied.
[22:15.000 --> 22:28.000]  But to truly transform our economy, to protect our security and save our planet from the ravages of climate change, we need to ultimately make clean renewable energy the profitable kind of energy.
[22:28.000 --> 22:38.000]  So I asked this Congress to send me legislation that places a market-based cap on carbon pollution and drives the production of more renewable energy in America.
[22:38.000 --> 22:43.000]  That's what we need.
[22:43.000 --> 22:48.000]  The notion of anthropogenic global warming is a fraud.
[22:48.000 --> 22:56.000]  In other words, the idea that the planet is getting warmer and that human activity is somehow responsible is a pseudo-scientific fraud.
[22:56.000 --> 22:59.000]  It's a big lie. It's a monstrosity.
[22:59.000 --> 23:04.000]  Remember the Nazis? They had race science, race hygiene.
[23:04.000 --> 23:07.000]  They said Aryan blood is different from any other kind of blood.
[23:07.000 --> 23:12.000]  This was, of course, idiocy, a fantastic piece of nonsense.
[23:12.000 --> 23:14.000]  Today we've got something similar.
[23:14.000 --> 23:29.000]  Global warming caused by human activity, and the answer to that is carbon tax plus cap and trade, according to the wishes of Al Gore, Prince Charles, and basically the entire banking community, the world oligarchy.
[23:29.000 --> 23:39.000]  What they're trying to do with that is to perpetuate the current system where bankers rule the world, financiers rule the world, and the rest of us get the crumbs from the table.
[23:39.000 --> 23:53.000]  But remember, if you try to put on cap and trade and a global warming carbon tax with the idea that you're going to save the polar bears, what you're going to do is destroy human society.
[23:53.000 --> 23:56.000]  You're going to cause genocide on a massive scale.
[23:56.000 --> 24:00.000]  The deaths will be measured in the hundreds of millions and indeed in the billions.
[24:00.000 --> 24:12.000]  Just the idea of global warming means that there'll be no development for Africa, no development for the poorer parts of Southeast Asia, and no world economic recovery of any kind ever in our entire lifetime.
[24:12.000 --> 24:17.000]  So it's important to expose and fight the pseudo-scientific fraud of global warming.
[24:17.000 --> 24:23.000]  One more point about this. You don't need a climatologist to know that this stuff is a fraud.
[24:23.000 --> 24:39.000]  I'm a historian. I can tell you, in the last thousand years, we had a period of very warm temperatures called the medieval warm period, where all kinds of grapes and semi-tropical stuff were growing very far into the northern hemisphere.
[24:39.000 --> 24:41.000]  That was about 1100, 1200.
[24:41.000 --> 24:49.000]  It happened to correspond with an all-time maximum of sunspots.
[24:49.000 --> 25:00.000]  Right now, we can say that we're going into another maximum period, where there'll be some warming, but we're well within the limits of the medieval warm period.
[25:00.000 --> 25:07.000]  About 1600 to 1650, there was an ice age in northern Europe.
[25:07.000 --> 25:12.000]  The North Sea was filled with ice. The German and Dutch ports and the English ports were filled with ice.
[25:12.000 --> 25:19.000]  That corresponds to an all-time minimum of sunspot activity, the Spurra minimum and the Maunder minimum.
[25:19.000 --> 25:22.000]  So this has largely got to do with solar activity.
[25:22.000 --> 25:30.000]  We can see that other planets, not just the Earth, are warming slightly as a result of increased solar activity, but we're well within the minimum.
[25:30.000 --> 25:43.000]  So what the oligarchs claim to be an open and shut scientific case is a piece of pseudo-scientific nonsense, and it should be rejected.
[25:43.000 --> 25:56.000]  Number two, the social engineers are fully aware that the Obama craze will wear off quickly, so they are racing to put in place the most oppressive police state control grid in human history.
[25:56.000 --> 26:05.000]  20,000 battle-hardened regular army troops are now being deployed to patrol the streets of the United States.
[26:05.000 --> 26:21.000]  FEMA is now building giant camps in every region of the country, and the Congress has introduced bills like the National Emergency Centers Act, HR 645, which merges local governments and the police under federal control.
[26:21.000 --> 26:28.000]  And as we all know that have watched these things, they're ready for the riots.
[26:28.000 --> 26:44.000]  With these detention centers that are being opened up around the country, with state police training for riot control in the event of economic calamity and food riots, they know what's going on and they're prepared for it.
[26:44.000 --> 26:48.000]  So people better also prepare for it themselves.
[26:48.000 --> 26:59.000]  Anyone that's not prepared for what's going to happen, they deserve what they get, because there's enough information out there pointing to the problems, and they should take all precautionary actions.
[26:59.000 --> 27:11.000]  Next, Obama ordered the Defense Department to issue DOD Directive 1404.10, establishing a one-million-person civilian army under his control.
[27:11.000 --> 27:29.000]  Simultaneously, Obama launched USA Service.org. The new website deceptively masquerades as a federal agency, but in reality is a recruiting tool building a separate, completely private army outside of government that takes orders directly from Obama's controllers.
[27:29.000 --> 27:43.000]  Barack Obama has refused to rescind Presidential Decision Directive 51, shined by George W. Bush. The Directive plainly states, the President is a dictator, and that Congress is ceremonial.
[27:43.000 --> 28:02.000]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set. We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[28:02.000 --> 28:13.000]  President Obama and his Chief of Staff, Rahm Emanuel, have repeatedly stated on the record that all Americans below the age of 64 will be forcibly conscripted into federal service.
[28:13.000 --> 28:25.000]  Citizenship is not an entitlement program. It comes with responsibilities. Everybody somewhere between the ages of 18 and 25 will serve three months of basic training and understanding in a kind of civil defense.
[28:25.000 --> 28:34.000]  Now, it doesn't always have to be service in uniform. One of the things that if you talk to our generals, they are desperate.
[28:34.000 --> 28:47.000]  Oh, yeah. You've got to have all this responsibility. You've got to buy government health care, and you've got to do national service. This is what they're all planning, but first they've got to fully bankrupt the economy.
[28:47.000 --> 28:55.000]  We're live July 8th, 2012. We'll be back with more of the Obama deception, then a guest, and a lot more. Stay with us.
[29:18.000 --> 29:29.000]  See them on the web at 5starsope.com or call 800-340-7091 for a free catalog.
[29:29.000 --> 29:40.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now, or save big with a one to two year supply of soaps for all your cleaning needs.
[29:40.000 --> 29:47.000]  This is an amazing deal. You can save thousands of dollars, and you will love the way real soap makes you feel.
[29:47.000 --> 29:59.000]  See them on the web at 5starsope.com or call 800-340-7091 for a free catalog.
[29:59.000 --> 30:05.000]  Let me ask you a question. What does freedom mean to you? The freedom to choose, the freedom to vote, and freedom to worship.
[30:05.000 --> 30:13.000]  How about the freedom to take control of your own future? My friends at eFoods direct are celebrating freedom this month while helping you take control of your greatest dependency food.
[30:13.000 --> 30:20.000]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[30:20.000 --> 30:24.000]  The Patriot Pack is a 30 day supply of eFoods quick fix, easy to store food.
[30:24.000 --> 30:29.000]  For example, purchase a one year supplying at five Patriot Packs, which is five months of food free.
[30:29.000 --> 30:33.000]  Use the extra food for everyday use and save hundreds off your grocery bill.
[30:33.000 --> 30:38.000]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long term supply for free.
[30:38.000 --> 30:45.000]  Call 800-409-5633 or go to eFoodsdirect.com or slash Alex and get your free Patriot Pack with purchase.
[30:45.000 --> 30:51.000]  Operators are standing by. Call 800-409-5633 or eFoodsdirect.com or slash Alex.
[30:51.000 --> 30:54.000]  eFoods is so affordable, the more you store and eat, the more you save.
[30:54.000 --> 30:59.000]  Go to eFoodsdirect.com or slash Alex or call 800-409-5633 right now.
[30:59.000 --> 31:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[31:04.000 --> 31:08.000]  Number one, new climate legislation could easily double or triple your electric bill.
[31:08.000 --> 31:14.000]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[31:14.000 --> 31:19.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[31:19.000 --> 31:24.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[31:24.000 --> 31:31.000]  And now, new socialist legislation is only compounding the problem. Number four, dangerous weather is always a threat to local grids.
[31:31.000 --> 31:35.000]  Every year, thousands of families lose their power from weather-related onages.
[31:35.000 --> 31:40.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[31:40.000 --> 31:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[31:45.000 --> 31:51.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[31:51.000 --> 31:59.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[32:01.000 --> 32:05.000]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[32:05.000 --> 32:14.000]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[32:14.000 --> 32:18.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[32:18.000 --> 32:25.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions
[32:25.000 --> 32:30.000]  and also delivers the silver nanoparticles instantly into the bloodstream.
[32:30.000 --> 32:39.000]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[32:39.000 --> 32:45.000]  Very easy to follow, step-by-step instructions are provided, making production fast and simple.
[32:45.000 --> 32:52.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[32:52.000 --> 33:18.000]  That's www.silverlungs.com.
[33:18.000 --> 33:30.000]  Here's the point I'm trying to get across.
[33:30.000 --> 33:38.000]  We're taught by the corporate collaborator media that works with the foreign banks that have taken the country over by fraud.
[33:38.000 --> 33:43.000]  They go on CNN, they go on CNN, they brag, yeah, we've conquered America.
[33:43.000 --> 33:50.000]  It's in all the financial publications, it's a big joke. We're known as the chumps of the planet.
