[00:30.000 --> 00:32.000]  3, 2, 1, go!
[03:25.000 --> 03:31.000]  It has the aspects of sanctions, it has the aspects of cyber attacks,
[03:31.000 --> 03:38.000]  it has the aspects of intensive propaganda, and soft-kill bioweapon releases.
[03:38.000 --> 03:43.000]  And generally, the historians and the futurists, and myself and others,
[03:43.000 --> 03:49.000]  have projected that it would be opened up with a soft-kill weapon
[03:49.000 --> 03:56.000]  to bog down civilization and society, because it's not just two nations
[03:56.000 --> 03:59.000]  fighting with each other, or two superpowers fighting with each other,
[03:59.000 --> 04:02.000]  or two power blocks fighting with each other.
[04:02.000 --> 04:07.000]  It is the larger, globalist system of transhumanists
[04:07.000 --> 04:10.000]  that have their in-game goal of collapsing society,
[04:10.000 --> 04:14.000]  and they're playing all sides off against each other.
[04:14.000 --> 04:17.000]  And the minute we realize that, the minute we can turn this around,
[04:17.000 --> 04:20.000]  so we're going to break some stations, join us then.
[04:20.000 --> 04:23.000]  For some stations, the next segment is the start of the show.
[04:23.000 --> 04:24.000]  Some stations carry the first five.
[04:24.000 --> 04:28.000]  And I'm going to drill directly into what we're facing.
[04:28.000 --> 04:31.000]  It's very, very simple.
[04:31.000 --> 04:36.000]  Wars almost always tend to escalate when you've got real powers fighting with each other.
[04:36.000 --> 04:38.000]  Proxy wars tend to turn into theater wars.
[04:38.000 --> 04:41.000]  Theater wars tend to turn into continental wars.
[04:41.000 --> 04:47.000]  Continental wars tend to turn into world wars, or larger planetary wars
[04:47.000 --> 04:50.000]  with multiple theaters wars taking place.
[04:50.000 --> 04:54.000]  And we're going to be laying it all out here today
[04:54.000 --> 05:00.000]  of how fast this could escalate, stay with us with cyber attacks and sanctions.
[05:00.000 --> 05:03.000]  I've been on air more than 25 years.
[05:03.000 --> 05:08.000]  And long before I started selling high-quality vitamin D3 eight years ago,
[05:08.000 --> 05:14.000]  I've been promoting people taking vitamin D3 because it is essential.
[05:14.000 --> 05:17.000]  And if you're not getting sunshine every single day,
[05:17.000 --> 05:19.000]  whether you're black or white or Hispanic, it doesn't matter.
[05:19.000 --> 05:24.000]  Your body will be susceptible and wide open to so many of the threats that are out there.
[05:24.000 --> 05:27.000]  It's just like you need oxygen, you die in four minutes without oxygen.
[05:27.000 --> 05:31.000]  You die in five or six days without water, you die in a month without food.
[05:31.000 --> 05:37.000]  Well, that's because these key minerals and elements and vitamins are in the food that you need.
[05:37.000 --> 05:42.000]  And one of the most important for your immune system and your overall health is vitamin D3.
[05:42.000 --> 05:47.000]  We have the highest quality in winter sun with vitamin K that boosts all your body's defenses
[05:47.000 --> 05:52.000]  available right now for 50% off at infowarstore.com.
[05:52.000 --> 05:56.000]  Everybody, old, young, black, white, you need vitamin D3.
[05:56.000 --> 06:08.000]  This is the best quality out there and it funds the infowar 50% off.
[06:26.000 --> 06:35.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the infowar.
[06:56.000 --> 06:59.000]  There were no controlling who comes through the door.
[06:59.000 --> 07:05.000]  A culture made of cover-ups will ever see touch their flesh.
[07:05.000 --> 07:12.000]  For back room meetings and rendezvous, the vultures have come up to nest.
[07:12.000 --> 07:27.000]  The clock runs out. The weakest link. A deadly strike. The threat is real.
[07:27.000 --> 07:32.000]  The threat is real. You know, when I helped write that song with Dave Mustaine,
[07:32.000 --> 07:35.000]  it's got to be 10 years ago now or eight years ago.
[07:35.000 --> 07:40.000]  We were trying to envision what could start a new world war.
[07:40.000 --> 07:44.000]  And we talked about Russia, China, the Middle East, and that's the song.
[07:44.000 --> 07:50.000]  The threat is real. What a crazy world, ladies and gentlemen.
[07:50.000 --> 07:59.000]  Here we are on this Friday, February 25th, 2022, transmission.
[07:59.000 --> 08:03.000]  I'm going to open the phones up again today around the end of this hour
[08:03.000 --> 08:07.000]  and try to go to as many of them as I can so I can get your take on the situation in the world.
[08:07.000 --> 08:11.000]  But let me just pull back right now and put the full show headline up on screen
[08:11.000 --> 08:14.000]  for TV viewers and I'll read it for radio listeners.
[08:14.000 --> 08:20.000]  Because there's really not words strong enough to describe how much danger
[08:20.000 --> 08:24.000]  every man, woman, and child on this planet is in.
[08:24.000 --> 08:33.000]  We are in a maximum alert, the threat of worldwide nuclear war, ladies and gentlemen.
[08:33.000 --> 08:40.000]  And let me explain why. Most big wars that get going start when two major powers
[08:40.000 --> 08:45.000]  or three major powers are using a proxy zone for their war.
[08:45.000 --> 08:48.000]  World War I started that way, World War II.
[08:48.000 --> 08:55.000]  And you get different powers that start pushing their borders and annexing areas
[08:55.000 --> 08:59.000]  and you get this creeping testing of the other powers.
[08:59.000 --> 09:05.000]  And then all of a sudden the major move happens and the other side escalates back
[09:05.000 --> 09:10.000]  and the other sides escalate and then it gets into a full war.
[09:10.000 --> 09:15.000]  So let's talk about what Sleepy Joe and the Globalists are up to,
[09:15.000 --> 09:18.000]  what Vladimir Putin is up to, what Zelensky and Ukraine is up to,
[09:18.000 --> 09:23.000]  what Xi Jinping and Communist China is up to,
[09:23.000 --> 09:28.000]  because all of this is interconnected.
[09:28.000 --> 09:36.000]  We have the usual suspects, Republican and Democratic senators,
[09:36.000 --> 09:39.000]  calling for more military aid to Ukraine.
[09:39.000 --> 09:42.000]  That's what got this going in the first place is all the weapons being shipped in
[09:42.000 --> 09:44.000]  to the Russian border.
[09:44.000 --> 09:47.000]  How about poking the bear? It's like climbing in a grizzly bear.
[09:47.000 --> 09:50.000]  Den at the zoo and wondering why it eats you.
[09:50.000 --> 09:53.000]  Are these crazy people that climb in with Bengal tigers or gorillas
[09:53.000 --> 09:55.000]  and wonder why they get their head ripped off?
[09:55.000 --> 09:59.000]  That's what happened here. Doesn't mean I back what Putin's doing.
[09:59.000 --> 10:01.000]  Doesn't mean I like it. It's terrible.
[10:01.000 --> 10:04.000]  And whatever happens now, it's on Putin.
[10:04.000 --> 10:08.000]  This is historic. Make no mistake.
[10:08.000 --> 10:12.000]  But back into a corner, you see what Russia did.
[10:12.000 --> 10:19.000]  And the last straw was Biden pulling out of Afghanistan in such a shoddy, horrible, evil way.
[10:19.000 --> 10:21.000]  That was blood in the water.
[10:21.000 --> 10:26.000]  And now China, obviously, is moving more troops and more of its equipment
[10:26.000 --> 10:30.000]  into those areas that they've built, the artificial islands they've constructed
[10:30.000 --> 10:36.000]  in and around Taiwan and the entire South China Sea.
[10:36.000 --> 10:40.000]  So here is the big escalation, ladies and gentlemen.
[10:40.000 --> 10:43.000]  Here's the big escalation.
[10:43.000 --> 10:47.000]  We've got all the talking heads saying that there's any type of cyber attack
[10:47.000 --> 10:51.000]  anywhere outside of Ukraine in a NATO member
[10:51.000 --> 10:55.000]  and that if so much as a stoplight goes out
[10:55.000 --> 10:57.000]  and can be blamed on the Russians,
[10:57.000 --> 11:03.000]  Senator Warner and others actually said that,
[11:03.000 --> 11:08.000]  that if they can blame a stoplight going out
[11:08.000 --> 11:11.000]  and that US troops have a car wreck,
[11:11.000 --> 11:14.000]  that we have to invoke Article 5 and go to war with Russia
[11:14.000 --> 11:17.000]  and basically in the world as we know it.
[11:17.000 --> 11:18.000]  So there's that issue.
[11:18.000 --> 11:22.000]  Now, even if the US government doesn't launch a cyber attack
[11:22.000 --> 11:27.000]  against Poland or against Hungary or against the Czech Republic
[11:27.000 --> 11:30.000]  or against Germany, any NATO member,
[11:30.000 --> 11:34.000]  you know hacker groups and you know different globalist groups
[11:34.000 --> 11:38.000]  are going to try to stir this up and accelerate this.
[11:38.000 --> 11:39.000]  They're that crazy.
[11:39.000 --> 11:42.000]  And there's private hacker groups that are totally insane as well.
[11:42.000 --> 11:44.000]  Agents of chaos.
[11:44.000 --> 11:50.000]  And so having the Ukrainian leader and the German leader
[11:50.000 --> 11:54.000]  and the British leader, the UK leader, the Canadian leader,
[11:54.000 --> 11:57.000]  all say, and Biden has said,
[11:57.000 --> 12:00.000]  if there's any cyber attacks against the US or anybody else,
[12:00.000 --> 12:02.000]  that's an act of war.
[12:02.000 --> 12:03.000]  And we're going to go to war with you.
[12:03.000 --> 12:07.000]  Remember what Hillary said back when she was running for president
[12:07.000 --> 12:09.000]  five years ago, six years ago.
[12:09.000 --> 12:12.000]  She said if there's a cyber attack,
[12:12.000 --> 12:15.000]  I will attack Russia with nuclear weapons.
[12:15.000 --> 12:17.000]  I've played the clips.
[12:17.000 --> 12:18.000]  You can type it in.
[12:18.000 --> 12:20.000]  Hillary Clinton threatens nuclear war with Russia
[12:20.000 --> 12:22.000]  if there's a cyber attack.
[12:22.000 --> 12:25.000]  If you think it's easy to stage a false flag,
[12:25.000 --> 12:29.000]  and I do think for once the State Department
[12:29.000 --> 12:31.000]  and others are being accurate.
[12:31.000 --> 12:34.000]  I mean, car bombs going off right as the Russians invade
[12:34.000 --> 12:35.000]  as the pretext.
[12:35.000 --> 12:37.000]  I mean, that's what militaries do when they invade.
[12:37.000 --> 12:39.000]  You don't think the US military doesn't do that?
[12:39.000 --> 12:41.000]  You're not living in the real world, OK?
[12:41.000 --> 12:43.000]  That's in military classified manuals.
[12:43.000 --> 12:45.000]  Usually you don't want to kill people if you're the good guys.
[12:45.000 --> 12:49.000]  You'll blow up a few tanks or blow up an embassy building
[12:49.000 --> 12:52.000]  or a barracks, and that's your pretext.
[12:52.000 --> 12:54.000]  So it does look like some of those things did indeed happen.
[12:54.000 --> 12:58.000]  And see, it's OK to talk about false flags.
[12:58.000 --> 13:00.000]  It's OK to question false flags.
[13:00.000 --> 13:02.000]  It's OK to know that's something real throughout history
[13:02.000 --> 13:04.000]  and something that happens currently,
[13:04.000 --> 13:08.000]  governments, corporations, universities, and individuals do.
[13:08.000 --> 13:12.000]  Hell, I've seen at least 10 examples in the last couple of weeks
[13:12.000 --> 13:15.000]  of black people carrying out attacks against themselves
[13:15.000 --> 13:17.000]  to get attention and blame white people.
[13:17.000 --> 13:20.000]  And there's been cases of white women, you know,
[13:20.000 --> 13:22.000]  bloody themselves up and saying black men raped them.
[13:22.000 --> 13:25.000]  I mean, there are attention seekers all over the place
[13:25.000 --> 13:26.000]  at Bullcrap like that.
[13:26.000 --> 13:29.000]  And if it's going on down at the low level,
[13:29.000 --> 13:31.000]  the individual level, you know it's going on
[13:31.000 --> 13:33.000]  at the grand scale even more.
[13:33.000 --> 13:37.000]  So how did Putin respond to the announcements
[13:37.000 --> 13:40.000]  that if one cyber attack happens,
[13:40.000 --> 13:45.000]  if somebody hacks into a red light and makes people have a wreck,
[13:45.000 --> 13:49.000]  we are going to invoke Article 5,
[13:49.000 --> 13:53.000]  which means we have to then have NATO go to war with Russia and Ukraine,
[13:53.000 --> 13:57.000]  or for whatever country is attacked.
[13:57.000 --> 14:01.000]  To have that as the talking point for weeks,
[14:01.000 --> 14:06.000]  that Russia is now going to launch a cyber attack against the West
[14:06.000 --> 14:11.000]  is preposterous, because that would then bring in Russia's enemies
[14:11.000 --> 14:14.000]  and have what Russia doesn't want to have,
[14:14.000 --> 14:18.000]  a war where it gets defeated with the West, a nuclear war.
[14:18.000 --> 14:23.000]  This is being done to look strong, to go in and to disarm Ukraine
[14:23.000 --> 14:27.000]  because Russia for 20 years has let the West expand NATO five times.
[14:27.000 --> 14:28.000]  That's very clear.
[14:28.000 --> 14:31.000]  And Putin said two weeks ago and a week ago, he said,
[14:31.000 --> 14:37.000]  I'm not going to invade, just say you're not going to invoke Article 5
[14:37.000 --> 14:40.000]  and that you're not going to bring Ukraine into NATO.
[14:40.000 --> 14:42.000]  And they said, nope.
[14:42.000 --> 14:47.000]  The State Department tweeted images of large U.S. transport aircraft
[14:47.000 --> 14:55.000]  delivering pallets of very destructive anti-aircraft and anti-tank weapons.
[14:55.000 --> 15:00.000]  So the West went to start a fight.
[15:00.000 --> 15:02.000]  It's got one now.
[15:02.000 --> 15:05.000]  But you've got to pull back and ask, who are the real forces here
[15:05.000 --> 15:08.000]  that are going to consolidate power and get more control?
[15:08.000 --> 15:09.000]  And it is the globalist.
[15:09.000 --> 15:13.000]  I've been making this point for months, but zero heads on another excellent article.
[15:13.000 --> 15:20.000]  I was picked up from one of the other great sites out there, Alt Market,
[15:20.000 --> 15:26.000]  where they explained the globalists come out the winners in this crisis.
[15:26.000 --> 15:28.000]  And so I'm not on Russia's side.
[15:28.000 --> 15:30.000]  I'm not, quote, on Ukraine's side.
[15:30.000 --> 15:36.000]  I'm on America's side, common sense's side and full spectrum analysis,
[15:36.000 --> 15:38.000]  understanding who the main players are.
[15:38.000 --> 15:41.000]  So when we come back, Putin up the ante when they said,
[15:41.000 --> 15:43.000]  OK, any cyber attacks are going to attack you.
[15:43.000 --> 15:49.000]  Putin tells Biden in posing sanctions will be seen as an act of war.
[15:49.000 --> 15:53.000]  So Putin says that any sanctions are an act of war.
[15:53.000 --> 15:55.000]  That's coming up on the other side.
[15:55.000 --> 16:20.000]  Two, life changing, life empowering products are now back in stock after being sold out for months at infowarstore.com.
[16:20.000 --> 16:25.000]  We have a lot very, very quickly because everybody needs this old, young, black, white.
[16:25.000 --> 16:26.000]  It doesn't matter.
[16:26.000 --> 16:27.000]  You need what's in winter sun.
[16:27.000 --> 16:33.000]  And then we have brain force ultra super fast acting, amazing, clean,
[16:33.000 --> 16:38.000]  new tropic system that is a compliment to brain force plus.
[16:38.000 --> 16:41.000]  And of course, turbo force all three of these are different formulas,
[16:41.000 --> 16:47.000]  but all three of them take your mind and take your focus and clarity and alertness to the next level.
[16:47.000 --> 16:51.000]  That is 40% off at infowarstore.com for a limited time.
[16:51.000 --> 16:53.000]  Thank you all for your support.
[16:53.000 --> 17:18.000]  If you haven't tried these products, you really need to because they are amazing infowarstore.com.
[17:23.000 --> 17:28.000]  Coming public and whistleblowers, now their whole project is falling apart
[17:28.000 --> 17:34.000]  because the people are aware that it is a world government corporate takeover.
[17:34.000 --> 17:37.000]  And so it's pulling back the curtain now more than ever.
[17:37.000 --> 17:42.000]  The problem is some globalist controlled areas are not going to give up on their takeover.
[17:42.000 --> 17:48.000]  Like Canada, where they've now declared a civil emergency in Marshall Law in Ontario
[17:48.000 --> 17:51.000]  and other areas of the world are following suit like Australia.
[17:51.000 --> 17:53.000]  So pray for these folks big time.
[17:53.000 --> 17:55.000]  It's a very serious situation.
[17:55.000 --> 17:59.000]  Stay tuned to infowarstore.com because truth is absolutely paramount.
[17:59.000 --> 18:01.000]  Mike in California, thanks for calling.
[18:01.000 --> 18:05.000]  I think we're barking up the wrong tree calling this gain of function research.
[18:05.000 --> 18:10.000]  Now, if you read the actual 2014 legislation, the U.S. government gain of function,
[18:10.000 --> 18:15.000]  deliberative process and research funding pause on selected gain of function research
[18:15.000 --> 18:18.000]  involving influenza, MERS and ZARS viruses.
[18:18.000 --> 18:22.000]  There's nothing about ZARS like viruses and it's a research funding pause.
[18:22.000 --> 18:24.000]  It's not a stop. It's not a prohibition.
[18:24.000 --> 18:27.000]  It's when you come to a four-way intersection, there's the stop sign.
[18:27.000 --> 18:29.000]  You stop. You look both ways and then you proceed.
[18:29.000 --> 18:34.000]  And so it's also, it doesn't pause all gain of function, just selected gain of function.
[18:34.000 --> 18:39.000]  But they'll argue that this is actually characterization and qualification research.
[18:39.000 --> 18:42.000]  So, you know, Rand and others, you know, maybe Fauci was right.
[18:42.000 --> 18:44.000]  They don't quite know what they're talking about calling it gain of function.
[18:44.000 --> 18:46.000]  You know, that's why he didn't perjure himself.
[18:46.000 --> 18:48.000]  That's why he hasn't been arrested.
[18:48.000 --> 18:52.000]  Because they're literally creating new synthetic life forms that mimic what the viruses do.
[18:52.000 --> 18:55.000]  But in the main definition, it's still a gain of function.
[18:55.000 --> 18:57.000]  They're making something deadly that spreads more easily to hurt people.
[18:57.000 --> 19:17.000]  Thank you, Mike. We love you.
[19:27.000 --> 19:49.000]  Thank you.
[19:49.000 --> 19:59.000]  Thank you.
[20:19.000 --> 20:34.000]  All right, folks. Thank you for joining us on the Alex Jones show on the Friday edition.
[20:34.000 --> 20:40.000]  I'm going to cover the developments in Russia for this segment and the next.
[20:40.000 --> 20:48.000]  But then in the last segment of this hour, I really dropped the ball yesterday and did not cover the COVID news.
[20:48.000 --> 20:52.000]  And this isn't just about this news. It's just unbelievable.
[20:52.000 --> 20:55.000]  And we already knew this and had almost all the pieces of it.
[20:55.000 --> 20:59.000]  But now we have the last ones that Moderna created COVID-19.
[20:59.000 --> 21:03.000]  And then they just reverse engineered it in the lab to have a cover story.
[21:03.000 --> 21:05.000]  And they released it.
[21:05.000 --> 21:12.000]  Of course, Moderna was created by Bill Gates and others just for this event.
[21:12.000 --> 21:22.000]  But they're using this war and they're using the inflation and all the other problems to tell us, oh, the COVID restrictions are over.
[21:22.000 --> 21:31.000]  And then we just forget about how we've just been soft killed for all the numbers and governments from Europe to the UK to the US to Canada all announced last week.
[21:31.000 --> 21:37.000]  Oh, we're going to make secret all the COVID numbers now because people are misusing it.
[21:37.000 --> 21:46.000]  Yeah, it shows the mass of death, just like Moderna and Pfizer and others went to courts and said, don't ever release any of our secret studies on this.
[21:46.000 --> 21:50.000]  And now they were for surely some and it's mass death.
[21:50.000 --> 21:55.000]  But they know the public has a short attention span.
[21:55.000 --> 22:01.000]  And so they want everyone to just now move on to Russia and what's happening there.
[22:01.000 --> 22:13.000]  That's coming up last segment of this hour. I mean, it's a huge stack, but COVID spike protein contained DNA sequences patented by Moderna three years before pandemic began.
[22:13.000 --> 22:20.000]  Scientists discovered and it hit quite a bit of newspapers last two days, but got almost no coverage.
[22:20.000 --> 22:32.000]  Fresh lab leak fears a study finds genetic code and COVID spike protein linked to Moderna patent. And of course Bill Gates and Fauci and the rest of them.
[22:32.000 --> 22:44.000]  Major German insurance company finds with US insurance companies found at least a 40% increase in death in the vaccinated.
[22:44.000 --> 22:50.000]  Unbelievable information.
[22:50.000 --> 22:54.000]  Coming up today and of course the Indians.
[22:54.000 --> 23:01.000]  25 months ago, major Indian University that has a gene scanner, $2 billion machine.
[23:01.000 --> 23:09.000]  They scan the damn thing and they said, this is 100% manmade piece shuttle gene attached HIV spike protein put on it.
[23:09.000 --> 23:15.000]  We can see that this is synthetically made. They didn't just splice viruses. They fricking made it.
[23:15.000 --> 23:18.000]  It's nano tech.
[23:18.000 --> 23:24.000]  And we have the head of Moderna bragging about it. We have the head of Pfizer bragging just a few weeks ago.
[23:24.000 --> 23:25.000]  We play the clip.
[23:25.000 --> 23:27.000]  Oh, it is quite good.
[23:27.000 --> 23:29.000]  It's so wonderful.
[23:29.000 --> 23:33.000]  We actually made whole thing in lab. We not need to gain a function.
[23:33.000 --> 23:36.000]  We have machine make whole thing.
[23:36.000 --> 23:40.000]  We made COVID-19 to reach you.
[23:40.000 --> 23:44.000]  Is this so happen to match the one in the wild?
[23:44.000 --> 23:49.000]  These dudes all have like weird Transylvania accents. I mean, please save us.
[23:49.000 --> 23:51.000]  My God.
[23:51.000 --> 24:02.000]  You see, I said I'd get to it last second of this hour and now I started getting to it. It's just, it's just ridiculous.
[24:02.000 --> 24:09.000]  So let me just calm down. Let me just start over.
[24:09.000 --> 24:15.000]  We can now put the full show headline on screen, but I sure hope everybody shares.
[24:15.000 --> 24:25.000]  And that's red alert planet Earth on verge of massive nuclear war.
[24:25.000 --> 24:27.000]  Watch live.
[24:27.000 --> 24:39.000]  And you know, maybe we should just add to that headline. Putin says any sanctions will be treated as an act of war and will be responded to with force.
[24:39.000 --> 24:42.000]  And you ask, why would Putin do such a thing?
[24:42.000 --> 24:55.000]  Because all the major Western leaders came out and said, if a red light, that's a quote of a US Senator, if a red light goes out and we think it's Putin, we're going to war.
[24:55.000 --> 24:58.000]  Sounds like a good plan.
[24:58.000 --> 25:01.000]  That sounds really restrained. That sounds really smart.
[25:01.000 --> 25:08.000]  These crazy ass lawyers that run our country like Senator Mark Warner need to be put in rubber rooms.
[25:08.000 --> 25:13.000]  You're the people that ship billions of dollars of weapons into Ukraine.
[25:13.000 --> 25:17.000]  You're the ones that kept poking Russia in the nose.
[25:17.000 --> 25:20.000]  And now look what you've done.
[25:20.000 --> 25:23.000]  Finally found somebody you couldn't push around.
[25:23.000 --> 25:30.000]  Just like Napoleon and just like Hitler, you dumb asses.
[25:30.000 --> 25:42.000]  And then you, Trump had a plan with the military and with private contractors for a fraction of the price, less than 10% of the trillion dollar cost every few years, over $150 billion a year.
[25:42.000 --> 25:47.000]  He had plans for $10 billion a year to stabilize Afghanistan and pull out of there.
[25:47.000 --> 25:54.000]  And instead, they just evacuated the military first on purpose, folks, to fiasco all that.
[25:54.000 --> 26:02.000]  Because globalist up top wanted to then lure China and lure Russia into these military actions.
[26:02.000 --> 26:09.000]  Instead of you play 20 moves ahead, you can see where all this is going.
[26:09.000 --> 26:16.000]  Yeah, I mean, you've got the US sending 180 tons of weapons to Ukraine and more on the way.
[26:16.000 --> 26:18.000]  And now you've seen the response of that.
[26:18.000 --> 26:26.000]  I mean, can you imagine if the United States had Russian troops on its border?
[26:26.000 --> 26:34.000]  And if the Russians were giving the Mexicans $5 billion in anti-aircraft missiles and anti-tank missiles, what do you think the US would do?
[26:34.000 --> 26:45.000]  The US would, back when we had real presidents, within a week of it being discovered, the US would be hitting it with airstrikes and attacking, just like in the Cuban Missile Crisis.
[26:45.000 --> 26:54.000]  And of course, the Russians wouldn't dare do something like that because they know that would start a nuclear war.
[26:54.000 --> 27:03.000]  But the United States does because they've got a bunch of lawyers like Mark Warner running things that are anti-free speech, anti-God, and anti-family,
[27:03.000 --> 27:11.000]  and who think because they stole America and all of our incredible intelligence and science that they are incredible and they are exceptional.
[27:11.000 --> 27:19.000]  And what they are is exceptionally evil and stupid and living in their own damn bubbles and they're going to get everybody killed, Warner.
[27:19.000 --> 27:30.000]  Then there won't be the young pages to pull your seat out for you and kiss your ass all day while you run around starting fights with everybody.
[27:30.000 --> 27:40.000]  All these men showing off to each other how tough they are because they're willing to start a war with our young men and women.
[27:40.000 --> 27:45.000]  And you better believe there's US troops all over Ukraine right now.
[27:45.000 --> 27:51.000]  And I've talked to a lot of smart people. They think this will be over in the next day or two and that Ukraine will capitulate.
[27:51.000 --> 27:58.000]  If they don't, then it becomes a real fiasco.
[27:58.000 --> 28:06.000]  But the tit for tat is now accelerating. Putin tells Biden imposing sanctions will be seen as an act of war as Biden prepares sanctions.
[28:06.000 --> 28:13.000]  And I love the quote by Obama today, warning Biden that sanctions will cause a lot of pain and problems.
[28:13.000 --> 28:20.000]  But it's worth it even though it's going to cost the average American thousands of dollars in energy price increases.
[28:20.000 --> 28:25.000]  Says Obama who has a hundred million dollar Netflix deal last time I checked.
[28:25.000 --> 28:29.000]  Says Obama that got a, what was it, a 10 million, 20 million dollar book deal?
[28:29.000 --> 28:33.000]  I mean the guy's worth hundreds of millions of dollars. He didn't earn any of it.
[28:33.000 --> 28:42.000]  He's just given it because he's a former president. He's got a giant mansion in Martha's Vineyard, a giant mansion in Hawaii on the beach.
[28:42.000 --> 28:48.000]  But you can handle a couple thousand dollars extra. Oh, no, you can't. Oh, sorry.
[28:48.000 --> 28:52.000]  Well, you'll just live on the side of the street. See how easy that is?
[28:52.000 --> 28:59.000]  These damn people are out of control and they are menaces. Well, they're right back.
[28:59.000 --> 29:07.000]  I've been on air more than 25 years. And long before I started selling high quality vitamin D3 eight years ago,
[29:07.000 --> 29:13.000]  I've been promoting people taking vitamin D3 because it is essential.
[29:13.000 --> 29:18.000]  And if you're not getting sunshine every single day, whether you're black or white or Hispanic, it doesn't matter.
[29:18.000 --> 29:23.000]  Your body will be susceptible and wide open to so many of the threats that are out there.
[29:23.000 --> 29:26.000]  It's just like you need oxygen. You die in four minutes without oxygen.
[29:26.000 --> 29:30.000]  You die in five or six days without water. You die in a month without food.
[29:30.000 --> 29:36.000]  Well, that's because these key minerals and elements and vitamins are in the food that you need.
[29:36.000 --> 29:41.000]  And one of the most important for your immune system and your overall health is vitamin D3.
[29:41.000 --> 29:51.000]  We have the highest quality in winter sun with vitamin K that boosts all your body's defenses available right now for 50% off at infowarstore.com.
[29:51.000 --> 29:59.000]  Everybody, old, young, black, white, you need vitamin D3. This is the best quality out there and it funds the info war 50% off.
[29:59.000 --> 30:09.000]  Anything of real quality, anything of lasting durability, anything that's really satisfying and empowering and fulfilling is going to be hard to attain.
[30:09.000 --> 30:12.000]  And when it comes to information, boy is that true.
[30:12.000 --> 30:25.000]  Today we see the entire global corrupt, anti-human depopulation, great reset combine, trying to collapse our society to build on its ashes, their transhumanist nightmare vision.
[30:25.000 --> 30:41.000]  Suppressing the voices of good people all around the world and of doctors and scientists and engineers that are exposing all their lives, their COVID hysteria, their world's going to end in 2030, carbon tax, global warming bull, all of it.
[30:41.000 --> 30:48.000]  And none of it can succeed, none of it can actually be carried out unless everybody is silenced and gas lit.
[30:48.000 --> 30:52.000]  And that's why truth comes with hard work and with research and with diligence.
[30:52.000 --> 30:56.000]  And that's why it's hard to share info wars links and band up video links.
[30:56.000 --> 31:12.000]  That's why we've got to share them now more than ever.
[31:26.000 --> 31:35.000]  X3, the only tri iodine on the market, highest grade, is now exclusively available again at 50% off at infowarshot.com.
[31:35.000 --> 31:43.000]  If you've not experienced clean, pure iodine, and what it does for your body, it takes about two weeks to get it on average, you really need to experience X3.
[31:43.000 --> 31:46.000]  Those of you that have tried it and used it, I know you're going to be reordering it.
