[00:00.000 --> 00:11.520]  You are listening to an Infowars.com frontline report.
[03:15.120 --> 03:22.120]  And it was a gun deal gone bad and that there was Saudis visiting town. We broke that all in the first few days.
[03:22.120 --> 03:27.120]  It all came out later. But the official story isn't true. We just don't know exactly what happened.
[03:27.120 --> 03:35.120]  It all points towards what our sources and Army Special Operations and the FBI and others have told us that are good men.
[03:35.120 --> 03:42.120]  And it's been golden information we've gotten. Everybody knows I've been critical of the Clinton control and Obama-controlled FBI at the top.
[03:42.120 --> 03:49.120]  But over the years it's been federal marshals, FBI, and others that have given us much of our critical information to be aware of what's going on.
[03:49.120 --> 03:55.120]  Who do you think gave us all the Mayak documents and reports? Law enforcement, where they were trained to take on gun owners and veterans.
[03:55.120 --> 04:00.120]  The media spun that, that I was against the military. Now it was the military who did not want to be trained to do this.
[04:00.120 --> 04:06.120]  So that they were the whistleblowers. So that's coming up, the President's statement, and more.
[04:06.120 --> 04:11.120]  But this is a big, big deal and they do not want you to hear this. They do not want this video to get out.
[04:11.120 --> 04:17.120]  This is getting no coverage. I mean, I figured last night when I saw Rob Dew tweet about it at night at night,
[04:17.120 --> 04:22.120]  I figured people would be all over this. And then this morning I looked and it was just nowhere.
[04:22.120 --> 04:30.120]  Just nowhere to have a credible witness that knew him and is walking down the hall when the sirens are going off and there's shooting going on.
[04:30.120 --> 04:34.120]  And she thought, I thought it'd be you being the shooter. And he's like, what?
[04:34.120 --> 04:41.120]  And the guy looks like he's drugged up out of his mind. I mean, he's got mind control written all over him, just like Paddock did.
[04:41.120 --> 04:48.120]  No, that's not come out mainstream news. That Paddock believed he was under mind control and begged people for help.
[04:48.120 --> 04:55.120]  And of course, Theodore Kaczynski, the unabomber, was under MKUltra. That's been declassified, but got almost no attention.
[04:55.120 --> 05:19.120]  Stay with us tomorrow's news today. I'm Alex Jones.
[05:25.120 --> 05:35.120]  The full potential of protein rich foods again. You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[05:35.120 --> 05:43.120]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[05:43.120 --> 05:55.120]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals. Don't let a meal go to waste. Use Carnivore by Infowars Life.
[05:55.120 --> 06:13.120]  InfowarsLife.com and secure your bottle now. That's InfowarsLife.com.
[06:13.120 --> 06:22.120]  Waging war on corruption. It's Alex Jones.
[06:22.120 --> 06:30.120]  Thursday, the 15th day of February, 2018. I'm your host, Alex Jones. We'll be live here for the next four hours.
[06:30.120 --> 06:40.120]  Roger Stone's going to be joining us. He obviously lives right outside the area where the mass shooting took place yesterday in Florida.
[06:40.120 --> 06:45.120]  And he has family and law enforcement that he doesn't name, that he has great sources with.
[06:45.120 --> 06:57.120]  And so we're going to be having exclusive information for you coming up, including some of the top leaders in state government are going to be popping in during the transmission today.
[06:57.120 --> 07:06.120]  Now, I want to be clear when I get into this information that I'm not saying the local sheriff's department or the police department is involved in a cover-up.
[07:06.120 --> 07:22.120]  I am not saying that this isn't a real shooting. I am not saying that the bizarre-looking reported shooter, who looks crazier than a, you know what, house rat, might not have been involved and might not have carried out these operations.
[07:22.120 --> 07:43.120]  We put Rogerport.com up on screen for folks. People can see the reported suspect. Please. Thank you. FBI was warned. And we know that the FBI had been calling him for his threats on YouTube and other statements and nothing was done.
[07:43.120 --> 07:55.120]  Trump came out and tweeted yesterday and pointed out that there's all these warnings. Why aren't things done? Over and over again, there's warnings with these people.
[07:55.120 --> 08:08.120]  The media, CNN, Salon, all the Soros run groups said that Trump was blaming the victims. No, he was saying the victims are saying they warned. Why weren't they listened to? It's the opposite.
[08:08.120 --> 08:22.120]  So it's by extension, the media is blaming the victims by saying Trump is. No one ever proposed that. No one ever said that. No one ever floated that. But that's the alchemy of CNN and MSNBC and others and in Salon.
[08:22.120 --> 08:32.120]  We've got clips of all of them. Taking what Trump said that made total sense, mistrustling it and then bringing up a topic that didn't exist before.
[08:32.120 --> 08:39.120]  Now, that said, the reason I pointed out that I'm not saying that local law enforcement is involved in a cover up. I'm not saying any of that.
[08:39.120 --> 08:49.120]  I'm saying we have a very credible Houston reporter that's the head sports reporter for KHOU out of Houston, who was there covering baseball tryouts.
[08:49.120 --> 08:56.120]  And he ran over there to cover it and he talked to witnesses that reported hearing two shooters. I've looked it up. We've got the videos.
[08:56.120 --> 09:05.120]  And one particular witness we're going to play the video of coming up after we have the president's response that just happened about 45 minutes ago or about 35 minutes ago.
[09:05.120 --> 09:16.120]  We have credible witnesses and one particular witness that said, I knew the shooter or the supposed shooter. Mr. Cruz, he's walking down the hall.
[09:16.120 --> 09:22.120]  He doesn't have a gun. She says, Oh, it's not you. I thought you'd be the mass shooter. Everybody thought you'd be the mass shooter.
[09:22.120 --> 09:29.120]  The perfect cutout or or patchy if that's happened. And then she hear shots going off down the hall and he looks dumbfounded.
[09:29.120 --> 09:37.120]  He looks Polax. He looks like he's been struck by a bolt of lightning like, huh, a good looking girl's talking to me.
[09:37.120 --> 09:45.120]  So he has all the characteristics of being some type of autism spectrum individual and you look at that thousand yard stare right there.
[09:45.120 --> 09:47.120]  Who knows? Was he involved? Maybe.
[09:47.120 --> 09:52.120]  But just like we had all the telltale signs of Vegas.
[09:52.120 --> 09:57.120]  And just like that all turned out to be a lie, we now have the huge news on info wars.com.
[09:57.120 --> 10:06.120]  This is an exclusive in news other than KHOU because KHOU covered it, said it was coming up with 10 o'clock with their interview and they never aired it.
[10:06.120 --> 10:10.120]  But the reporter put it out on his Twitter show. This is big.
[10:10.120 --> 10:17.120]  She knew the shooter thought he'd be the one doing the shooting the reported shooter.
[10:17.120 --> 10:22.120]  So that is massive information and we're going to play those clips right now.
[10:22.120 --> 10:27.120]  Then I'm going to come back and we're going to get into the president's response and more.
[10:27.120 --> 10:36.120]  We're going to open the phones up and get your take on this, particularly folks that are nearby the Douglas high school shooting.
[10:36.120 --> 10:41.120]  They're in Florida so we're going to be looking at every facet of this.
[10:41.120 --> 10:46.120]  Also, I've seen a bunch of headlines. Biggest massacre, biggest shooting in Florida history.
[10:46.120 --> 10:51.120]  This is 17 dead. The Pulse nightclub in Orlando was more than 50.
[10:51.120 --> 10:57.120]  And of course that doesn't take away from the dead or the wounded or the families and how terrible this is and our hearts go out to them.
[10:57.120 --> 11:04.120]  It's just that with a history of cover ups and a history of patsies being protected by criminal rope groups.
[11:04.120 --> 11:09.120]  And the history of the Democrats staging false flag events, CNN staging fake news.
[11:09.120 --> 11:16.120]  They're very famous for that. Staging scud missile attacks on Riyadh that never happened from on top of the Atlanta center with blue screens.
[11:16.120 --> 11:21.120]  The babies and the incubators being thrown out to get us into the Iraq war in 1990.
[11:21.120 --> 11:24.120]  None of that was true. That's been declassified to be fraudulent.
[11:24.120 --> 11:30.120]  So we have to look at each event to see if they're lying about the event, to see if they're covering it up.
[11:30.120 --> 11:37.120]  Is it totally fake? Is it real? But there's others involved? Or maybe a mentally ill person was wound up and allowed to take action?
[11:37.120 --> 11:42.120]  And so by knowing and doing nothing, it makes you an accomplice.
[11:42.120 --> 11:58.120]  When you've got CIA and globalist all over TV saying, you better not send this memo to the American people about the corruption in the FBI or they'll be massacres.
[11:58.120 --> 12:01.120]  And then you've got Republicans that are getting shot and attempted massacres.
[12:01.120 --> 12:07.120]  I've been saying, I think there'll be mass attacks on schools to be blamed on Trump.
[12:07.120 --> 12:09.120]  I mean, this is all they've got left.
[12:09.120 --> 12:19.120]  So I'm not saying it's a false flag, but you've got witnesses of other shooters and that the shooter didn't have a gun and that he wasn't doing this.
[12:19.120 --> 12:21.120]  The person they tell us is the shooter.
[12:21.120 --> 12:29.120]  And then you don't have that being a bigger issue with this credible witness who's a senior in the high school that says she knew him and thought it would be him doing it.
[12:29.120 --> 12:31.120]  But it wasn't him doing it.
[12:31.120 --> 12:35.120]  And the fact that the reporter thinks it's huge news, but it doesn't air on the news that night.
[12:35.120 --> 12:36.120]  He mentions it's coming up.
[12:36.120 --> 12:40.120]  He has the interview and then he has to put it out on Twitter himself.
[12:40.120 --> 12:46.120]  We need to get Matt Musil on the program on the broadcast 10 for immediately.
[12:46.120 --> 12:48.120]  We need to get him on now.
[12:48.120 --> 12:52.120]  So we're trying to reach out to him and Alexa Meadnick.
[12:52.120 --> 12:58.120]  So let's go ahead and play first the reporter earlier live on KHOU.
[12:58.120 --> 13:03.120]  And then he's saying, again, for the news coming up, they got to go interviews packaged and satellite it back to Houston.
[13:03.120 --> 13:05.120]  He's saying, we're going to have this incredible interview.
[13:05.120 --> 13:07.120]  They didn't air it.
[13:07.120 --> 13:10.120]  But then he did on his own Twitter that right there.
[13:10.120 --> 13:12.120]  This is very newsworthy.
[13:12.120 --> 13:13.120]  And this hasn't been picked up anywhere.
[13:13.120 --> 13:15.120]  I thought it'd be all over the place by this morning.
[13:15.120 --> 13:18.120]  Our people tweeted it out last night. They were all exhausted.
[13:18.120 --> 13:20.120]  I was going to drive in at like eight at night.
[13:20.120 --> 13:23.120]  And I said, dude, he's like, what are you up to?
[13:23.120 --> 13:24.120]  Because I'm sleeping on the couch for 30 minutes.
[13:24.120 --> 13:25.120]  I said, go home to your wife.
[13:25.120 --> 13:26.120]  We'll cover it tomorrow.
[13:26.120 --> 13:28.120]  I didn't care if everybody else scooped us on this.
[13:28.120 --> 13:30.120]  I figured it would have been covered.
[13:30.120 --> 13:31.120]  It didn't get covered.
[13:31.120 --> 13:35.120]  Darius texted me at one of the producers at 8am saying, we haven't covered this.
[13:35.120 --> 13:36.120]  Have you seen this?
[13:36.120 --> 13:37.120]  So thank God she did.
[13:37.120 --> 13:38.120]  And Kit Daniels put a story out on it.
[13:38.120 --> 13:40.120]  They don't want this getting out.
[13:40.120 --> 13:45.120]  It's on infowars.com, the newswars.com, a Kit Daniels article with all the video right now.
[13:45.120 --> 13:48.120]  Video, second shooter reported in Florida Massacre.
[13:48.120 --> 13:53.120]  Here is the sports reporter who was in Miami for baseball tryout coverage reporting.
[13:53.120 --> 13:55.120]  And then we'll show you the actual report.
[13:55.120 --> 13:56.120]  They don't want you to see.
[13:56.120 --> 13:57.120]  They're all in shock.
[13:57.120 --> 13:58.120]  Let me just tell you this.
[13:58.120 --> 14:02.120]  We just spoke with a former student, Aletza Medik.
[14:02.120 --> 14:07.120]  She actually walked down the hall with the accused shooter, Nicholas Cruz,
[14:07.120 --> 14:09.120]  after she heard shots fired.
[14:09.120 --> 14:12.120]  She said, hey, Nicholas, this is what she told me on camera.
[14:12.120 --> 14:14.120]  We will have it for a 10 o'clock show.
[14:14.120 --> 14:16.120]  She said, hey, I just heard shots fired.
[14:16.120 --> 14:17.120]  I'm surprised it wasn't you.
[14:17.120 --> 14:18.120]  Just kidding.
[14:18.120 --> 14:19.120]  Like that.
[14:19.120 --> 14:20.120]  He had his reaction.
[14:20.120 --> 14:21.120]  What?
[14:21.120 --> 14:22.120]  And then they parted ways.
[14:22.120 --> 14:24.120]  She said, I heard more shots after that.
[14:24.120 --> 14:26.120]  She thinks there was a second shooter.
[14:26.120 --> 14:28.120]  That's the first we've heard of that.
[14:28.120 --> 14:30.120]  But she believes there was actually a set.
[14:30.120 --> 14:31.120]  Okay.
[14:31.120 --> 14:32.120]  Now let's go to this.
[14:32.120 --> 14:33.120]  We got a break here.
[14:33.120 --> 14:35.120]  She is later, but this didn't show up in the news.
[14:35.120 --> 14:36.120]  You had to put it on Twitter.
[14:36.120 --> 14:37.120]  Here it is.
[14:37.120 --> 14:44.120]  I actually was in the bathroom at the moment and I had came back to my classroom and I
[14:44.120 --> 14:50.120]  knocked on the door and the fire alarm went off and principal came on the speaker and
[14:50.120 --> 14:54.120]  just said, everyone needs to evacuate right now.
[14:54.120 --> 14:56.120]  So that's what we did.
[14:56.120 --> 15:00.120]  As I was going down the stairs, I heard a couple shots fired.
[15:00.120 --> 15:04.120]  Everyone was freaking out, saying that it was a gun.
[15:04.120 --> 15:12.120]  And as we were walking the whole class together, I actually was speaking to the suspect, Nicholas
[15:12.120 --> 15:14.120]  Cruz.
[15:14.120 --> 15:22.120]  And as I was speaking to him, he seemed very, I don't know what the word I want to say is,
[15:22.120 --> 15:24.120]  but he was trouble in middle school.
[15:24.120 --> 15:29.120]  So I kind of joked to him about it and said, I'm surprised you weren't the one who did
[15:29.120 --> 15:30.120]  it.
[15:30.120 --> 15:32.120]  And he just gave me a, huh?
[15:32.120 --> 15:34.120]  That's really what happened.
[15:34.120 --> 15:36.120]  You were walking down the hall.
[15:36.120 --> 15:38.120]  He had already fired at that time.
[15:38.120 --> 15:40.120]  Yes, sir, with him.
[15:40.120 --> 15:42.120]  Weren't you scared?
[15:42.120 --> 15:49.120]  Um, in the moment, I wasn't because there was obviously definitely another shooter involved.
[15:49.120 --> 15:50.120]  But.
[15:50.120 --> 15:53.120]  Oh, you think he was not the only one?
[15:53.120 --> 15:55.120]  No, definitely not.
[15:55.120 --> 15:56.120]  Why do you say that?
[15:56.120 --> 15:57.120]  We'll be right back.
[15:57.120 --> 16:00.120]  Stay with us for the rest and then we'll have the president.
[16:00.120 --> 16:02.120]  Thank you.
[16:31.120 --> 16:33.120]  I recommend Heart and Body Extract to everyone.
[16:33.120 --> 16:39.120]  Anybody over 40 in the North American continent should be using this product as a preventative
[16:39.120 --> 16:41.120]  to keep their cardiovascular system healthy.
[16:41.120 --> 16:46.120]  Order your two months supply today by calling 866-295-5305.
[16:46.120 --> 16:49.120]  That's 866-295-5305.
[16:49.120 --> 16:52.120]  Or order online, hbextract.com.
[16:52.120 --> 16:56.120]  Heart and Body Extract 866-295-5305.
[16:56.120 --> 16:58.120]  Or hbextract.com.
[16:58.120 --> 17:03.120]  The answer to being in control of your own health care is freedom from insurance.
[17:03.120 --> 17:09.120]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[17:09.120 --> 17:14.120]  Individual share amounts begin at $107 a month and $347 for families.
[17:14.120 --> 17:16.120]  Choose from three health sharing programs.
[17:16.120 --> 17:18.120]  Holistic treatments may be eligible for sharing.
[17:18.120 --> 17:19.120]  See guidelines.
[17:19.120 --> 17:23.120]  Discount programs available for dental, vision, and pharmacy.
[17:23.120 --> 17:28.120]  Go to libertyoncall.org. That's libertyoncall.org.
[17:53.120 --> 17:58.120]  877-886-3653. Go Berkey.com
[18:23.120 --> 18:29.120]  Remember and try a bag of the Patriot Blend 100% Organic Coffee at infowarslife.com.
[18:29.120 --> 18:36.120]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:36.120 --> 18:38.120]  Hands down, this is my favorite coffee.
[18:38.120 --> 18:43.120]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:43.120 --> 18:48.120]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[18:48.120 --> 18:51.120]  Available in original or with our immune support infusion blend.
[18:51.120 --> 18:57.120]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[18:57.120 --> 19:00.120]  Available at infowarslife.com
[19:00.120 --> 19:04.120]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[19:04.120 --> 19:12.120]  InfoWarsLife brings you a revolutionary toothpaste blend with iodine and nano-silver designed to deliver a powerful clean.
[19:12.120 --> 19:16.120]  Enjoy a minty fresh flavor made with peppermint oil or try our bubble gum flavor.
[19:16.120 --> 19:22.120]  Pair this groundbreaking toothpaste with the super blue fluoride free mouthwash and supercharge your oral health.
[19:22.120 --> 19:29.120]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[19:29.120 --> 19:39.120]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[19:39.120 --> 19:46.120]  Super blue fluoride free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[19:46.120 --> 19:49.120]  Xylitol, nano-silver and iodine.
[19:49.120 --> 19:52.120]  Notice the difference with our super blue fluoride free products.
[19:52.120 --> 19:58.120]  Refresh your breath and invigorate your oral health routine at infowarsstore.com.
[19:58.120 --> 20:10.120]  That's infowarsstore.com.
[20:29.120 --> 20:38.120]  We have a news hotline as well for witnesses, people that were in the school, family members, you name it, because David Knight, right at the end of his broadcast,
[20:38.120 --> 20:48.120]  that just ended about 20 minutes ago that comes on before mine, my broadcast here out of the studio right next door to me,
[20:48.120 --> 20:55.120]  had a caller who's giving us his information, his proof and it looks very credible that he was in the high school
[20:55.120 --> 21:04.120]  and that four weeks ago they had a SWAT team drill and then he thought it was all very suspicious and that then it appears this may have been part of a drill as well.
[21:04.120 --> 21:07.120]  We're not saying the police would be involved.
[21:07.120 --> 21:14.120]  Different criminal elements all will bootleg false flags with drills to use that for confusion.
[21:14.120 --> 21:22.120]  And then classically people will be wearing SWAT masks, balaclava, gas masks, you name it, and then people can insert themselves in a drill.
[21:22.120 --> 21:28.120]  Then it freaks the police out so bad that they then all get implicated just like Columbine.
[21:28.120 --> 21:30.120]  It came out that they thought police had shot some of the students.
[21:30.120 --> 21:38.120]  No, it was other shooters, other reporters, but they got the police department to go fully under their control by having it during a drill
[21:38.120 --> 21:43.120]  and implicating them and having the sheriff and police department stand down.
[21:43.120 --> 21:51.120]  All that came out and it was the prototype of how these deep state operations get pulled.
[21:51.120 --> 21:53.120]  And so I'm not saying this is a false flag yet.
[21:53.120 --> 22:04.120]  We have witnesses saying that they're hearing shots going on in the halls and then they're there talking to the guy and there's definitely two shooters going on.
[22:04.120 --> 22:11.120]  That interviews up on infowars.com and then we've got this next student set to come on and join us exclusively coming up.
[22:11.120 --> 22:14.120]  This is a big deal, but we're vetting all that right now.
[22:14.120 --> 22:21.120]  So right now let's go ahead and finish up with Alexa Meadnik, a senior there that knew the individual here at us.
[22:21.120 --> 22:25.120]  You were walking down the hall he had already fired at that time?
[22:25.120 --> 22:27.120]  Yes, sir, with him.
[22:27.120 --> 22:29.120]  Weren't you scared?
[22:29.120 --> 22:37.120]  Um, in the moment I wasn't because there was obviously definitely another shooter involved, but...
[22:37.120 --> 22:40.120]  Oh, you think he was not the only one?
[22:40.120 --> 22:42.120]  No, definitely not.
[22:42.120 --> 22:44.120]  Why do you say that?
[22:44.120 --> 22:50.120]  Um, because when shots were fired, I saw him after the fact.
[22:50.120 --> 22:58.120]  So, and the shots were coming from the other part of the building, so there definitely had to be two shooters involved, I believe.
[22:58.120 --> 23:00.120]  That's the first I've heard of that.
[23:00.120 --> 23:04.120]  Did you see any other students who were wounded?
[23:04.120 --> 23:06.120]  Um, no, sir.
[23:06.120 --> 23:15.120]  My head is spinning right now. Let's just go to some excerpts of the President's statement that he made just about 45 minutes ago on this tragedy. Here it is.
[23:15.120 --> 23:23.120]  My fellow Americans, today I speak to a nation in grief.
[23:23.120 --> 23:39.120]  Yesterday, a school filled with innocent children and caring teachers became the scene of terrible violence, hatred, and evil.
[23:39.120 --> 23:56.120]  Around 2.30 yesterday afternoon, police responded to reports of gunfire at Marjory Stoneman Douglas High School in Parkland, Florida, a great and safe community.
[23:56.120 --> 24:06.120]  There, a shooter, who is now in custody, opened fire on defense of students and teachers.
[24:06.120 --> 24:15.120]  He murdered 17 people and badly wounded, at least 14 others.
[24:15.120 --> 24:24.120]  Our entire nation, with one heavy heart, is praying for the victims and their families.
[24:24.120 --> 24:35.120]  To every parent, teacher, and child, who is hurting so badly, we are here for you, whatever you need,
[24:35.120 --> 24:40.120]  whatever we can do, to ease your pain.
[24:40.120 --> 24:51.120]  We are all joined together as one American family, and your suffering is our burden also.
[24:51.120 --> 24:59.120]  No child, no teacher should ever be in danger in an American school.
[24:59.120 --> 25:07.120]  No parent should ever have to fear for their sons and daughters when they kiss them goodbye in the morning.
[25:07.120 --> 25:14.120]  Each person, who was stolen from us yesterday, had a full life ahead of them.
[25:14.120 --> 25:22.120]  A life filled with wondrous beauty and unlimited potential and promise.
[25:22.120 --> 25:30.120]  Each one had dreams to pursue, love to give, and talents to share with the world.
[25:30.120 --> 25:38.120]  And each one had a family to whom they meant everything in the world.
[25:38.120 --> 25:44.120]  Today, we mourn for all of those who lost their lives.
[25:44.120 --> 25:48.120]  We comfort the grieving and the wounded.
[25:48.120 --> 25:59.120]  And we hurt for the entire community of Parkland, Florida, that is now in shock and pain and searching for answers.
[25:59.120 --> 26:10.120]  To law enforcement, first responders, and teachers who responded so bravely in the face of danger, we thank you for your courage.
[26:10.120 --> 26:25.120]  Soon after the shooter, I spoke with Governor Scott to convey our deepest sympathies to the people of Florida and our determination to assist in any way that we can.
[26:25.120 --> 26:35.120]  I also spoke with Florida Attorney General Pam Bondi and Broward County Sheriff Scott Israel.
[26:35.120 --> 26:45.120]  I'm making plans to visit Parkland, to meet with families and local officials, and to continue coordinating the federal response.
[26:45.120 --> 26:52.120]  In these moments of heartache and darkness, we hold on to God's word in Scripture.
[26:52.120 --> 26:59.120]  I have heard your prayer and seen your tears. I will heal you.
[26:59.120 --> 27:06.120]  We trust in that promise and we hold fast to our fellow Americans in our time of sorrow.
[27:06.120 --> 27:10.120]  We're going to come back with more of the President. We've got to go to break here in a moment.
[27:10.120 --> 27:16.120]  We do have a senior joining us. We've confirmed his identity. Go ahead and use his name.
[27:16.120 --> 27:31.120]  He wants to talk about the fact that he and others are very, very suspicious about the fact that they had a SWAT team mass shooting drill a month ago there, and then he then talked to some of the faculty about it and is going to reveal some of that exclusively here.
[27:31.120 --> 27:40.120]  He revealed it obviously with David Knight, but we've now confirmed he was a caller into the show and have vetted him, and so that's going to be coming up.
[27:40.120 --> 27:48.120]  And again, let's be clear, as I said earlier, it's on record that the FBI had been warned specifically about this individual, and we now have it in news articles,
[27:48.120 --> 27:56.120]  buried that people that knew him said that his parents had recently died, parents, and that he was on psychotropic drugs.
[27:56.120 --> 28:04.120]  So of course, we're not saying he wasn't involved. We're not saying 100% there were multiple shooters, but credible witnesses are saying it.
[28:04.120 --> 28:17.120]  And with all we've seen in Vegas, and all we've seen with the Pulse nightclub, where the man that did the shooting was an Islamist on the FBI payroll that did security,
[28:17.120 --> 28:27.120]  and who had been an informant for the FBI, was part of an international mercenary organization. These things are done a lot of these politically.
[28:27.120 --> 28:37.120]  And Nicholas Cruz, a troubled suspect, had been expelled from Majority Stoneman Douglas High School. And again, that's about 40 miles north of Miami.
[28:37.120 --> 28:44.120]  I just mentioned Miami, so folks, you have an idea of right where it is in southeastern Florida.
[28:44.120 --> 28:52.120]  So we're going to be breaking all this down straight ahead, but the big article is on infowars.com, and there's several, several big articles.
[28:52.120 --> 28:59.120]  One deals with, are there going to be copycats? There almost always are. People should be packing. The answer is to protect ourselves.
[29:22.120 --> 29:27.120]  Fake TV should be part of your security solution. Be vigilant, but not fearful.
[29:27.120 --> 29:56.120]  FakeTV.com.
[29:58.120 --> 30:09.120]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation,
[30:09.120 --> 30:15.120]  let me speak for hours, this is on the files I have here, of what this is proven to do, the ingredients in this.
[30:15.120 --> 30:23.120]  This is the ultimate immune system boost for this time of year, any time of the year, but immune wall is incredible.
[30:23.120 --> 30:28.120]  And folks, other formulas that aren't even as good are $70-80. It's a great deal at $39.
[30:28.120 --> 30:36.120]  Immune wall, beta-glucans, olive leaf, and so much more. It is concentrated. You need to go read what is in here.
[30:36.120 --> 30:42.120]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[30:42.120 --> 30:45.120]  A citrus peel blend. I mean, this is the next level.
[30:45.120 --> 30:54.120]  It's now available, ladies and gentlemen, immune wall. I think it's beyond seasonal. Beta-glucan, olive leaf, and more.
[30:54.120 --> 31:00.120]  Immune wall, M4WarsStore.com, M4WarsLive.com, or Cripple 825-33139.
[31:00.120 --> 31:08.120]  M4WarsLive is bringing you a breakthrough in modern medicine. We have found extraordinary new natural way to help alleviate seasonal distress symptoms,
[31:08.120 --> 31:15.120]  including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[31:15.120 --> 31:22.120]  This is pollen blood. In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms
[31:22.120 --> 31:29.120]  experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucus production.
[31:29.120 --> 31:34.120]  They began studying the effects in published trials, in their published trials.
[31:34.120 --> 31:42.120]  Now we are introducing the fruit of the research of fast-acting chewable tablets, just two tablets at the first sign of seasonal distress,
[31:42.120 --> 31:48.120]  and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[31:48.120 --> 31:56.120]  Enjoy the air you breathe naturally with fast-acting pollen block, available now at M4WarsLive.com, or by calling toll-free.
[31:56.120 --> 32:07.120]  Cripple 825-33139.
[32:27.120 --> 32:34.120]  Secret 12 by M4WarsLive is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[32:34.120 --> 32:39.120]  It pairs two forms of vitamin B12 into one explosive formula.
[32:39.120 --> 32:45.120]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes,
[32:45.120 --> 32:48.120]  but it also assists with many other functions of the body.
[32:48.120 --> 32:51.120]  Electrify your mind and body, and take your health to the next level.
[32:51.120 --> 32:58.120]  Experience the power of Secret 12 at infowarslife.com, that's infowarslife.com.
[33:22.120 --> 33:24.120]  Government cover-ups.
[33:24.120 --> 33:26.120]  You want answers?
[33:26.120 --> 33:28.120]  Well, so does he.
