[00:00:00.049 --> 00:00:00.409]  Firearms!
[00:14:32.862 --> 00:14:38.225]  Two women started fighting with each other at a checkout line over who was in line first.
[00:14:38.225 --> 00:14:41.906]  So the two husbands pulled out guns and killed each other.
[00:14:41.906 --> 00:14:43.647]  That's AP.
[00:14:43.647 --> 00:14:44.788]  Again, I have this video here.
[00:14:44.788 --> 00:14:46.329]  Shoppers fight at Walmart.
[00:14:46.329 --> 00:14:47.129]  I got a whole bunch of these
[00:14:47.649 --> 00:14:56.439]  Uh, videos with them just greedily beating the daylights out of each other to try to get junk products.
[00:14:56.439 --> 00:14:58.120]  Fine, I'm sure a lot of it isn't junk products.
[00:14:58.120 --> 00:15:02.825]  The point is, is that it's junk compared to not acting like animals.
[00:15:02.825 --> 00:15:06.990]  That people put products above everything else in their lives.
[00:15:07.603 --> 00:15:08.844]  They don't care about knowledge.
[00:15:08.844 --> 00:15:10.105]  They don't care about being informed.
[00:15:10.105 --> 00:15:12.267]  They don't care about their liberties or their freedoms.
[00:15:12.267 --> 00:15:13.608]  They don't care about their health.
[00:15:13.608 --> 00:15:15.510]  They don't care if there's poison in the baby food.
[00:15:15.510 --> 00:15:20.474]  I mean, where's the national movement to get the melamine out of our food and the lead and all the other poisons?
[00:15:20.474 --> 00:15:22.555]  It's a huge list.
[00:15:22.555 --> 00:15:24.857]  Where's the national movement?
[00:15:24.857 --> 00:15:27.940]  90% of the baby formula has melamine in it, Associated Press.
[00:15:27.940 --> 00:15:29.161]  Where's the national movement?
[00:15:29.161 --> 00:15:30.001]  Where's the outcry?
[00:15:30.001 --> 00:15:30.722]  Where's the anger?
[00:15:31.314 --> 00:15:33.436]  They've been reporting this for almost two years.
[00:15:33.436 --> 00:15:36.558]  Now it's turning into a huge issue.
[00:15:36.558 --> 00:15:39.560]  It's in all these thousands of products.
[00:15:39.560 --> 00:15:41.701]  90% of the baby formula has it.
[00:15:41.701 --> 00:15:44.603]  And the government sees that the public is brain dead and doesn't care.
[00:15:44.603 --> 00:15:45.724]  So they say, you know what?
[00:15:45.724 --> 00:15:48.086]  We'll just tell you that melamine's good for you.
[00:15:48.743 --> 00:15:50.024]  You cannot make this up.
[00:15:50.024 --> 00:15:52.647]  Google, government says melamine not bad.
[00:15:52.647 --> 00:16:08.341]  And you will read the Food and Drug Administration saying that melamine is good for you even though it attacks every organ in your body, attacks your kidneys, attacks your brain, attacks your heart, attacks all your other major tissues.
[00:16:08.341 --> 00:16:10.523]  So, this culture of not caring.
[00:16:11.326 --> 00:16:14.687]  In the past, Americans, if they saw somebody run over by a car, would help them.
[00:16:14.687 --> 00:16:16.528]  Or saw a woman mugged, they'd help them.
[00:16:16.528 --> 00:16:18.268]  Or saw a cop run over, they'd help them.
[00:16:18.268 --> 00:16:20.649]  Or a kid being beaten to death on the side of the road, they'd help them.
[00:16:20.649 --> 00:16:21.169]  Now they don't.
[00:16:21.169 --> 00:16:22.549]  They call 911.
[00:16:22.549 --> 00:16:26.691]  They hand over their responsibility to a government that won't and can't help them.
[00:16:26.691 --> 00:16:27.391]  We'll be right back.
[00:16:27.391 --> 00:16:27.831]  Stay with us.
[00:16:30.505 --> 00:16:34.207]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:16:34.207 --> 00:16:39.950]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:16:39.950 --> 00:16:44.293]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:16:44.293 --> 00:16:46.734]  Nature's gem, premium omega-3.
[00:16:46.734 --> 00:16:52.517]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:16:52.517 --> 00:16:53.198]  We're good to go!
[00:17:09.872 --> 00:17:10.172]  Whatever.
[00:17:10.172 --> 00:17:12.195]  Nature's Gem Golden Flax is pure.
[00:17:12.195 --> 00:17:15.719]  There is nothing added and nothing taken away and non-GMO.
[00:17:15.719 --> 00:17:18.162]  We offer a 100% money back guarantee.
[00:17:18.162 --> 00:17:21.986]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[00:17:21.986 --> 00:17:23.909]  GoldenFLAX.com.
[00:17:23.909 --> 00:17:24.429]  Or call 800-387-5516.
[00:17:24.429 --> 00:17:24.649]  That's 800-387-5516.
[00:17:24.649 --> 00:17:25.330]  Free shipping included.
[00:17:31.312 --> 00:17:32.033]  Santa!
[00:17:32.033 --> 00:17:34.955]  Christmas Eve and you haven't left yet?
[00:17:34.955 --> 00:17:37.557]  Ho ho ho ho ho!
[00:17:37.557 --> 00:17:38.738]  No!
[00:17:38.738 --> 00:17:40.459]  I can't find my keys.
[00:17:40.459 --> 00:17:41.780]  Here's the perfect gift.
[00:17:41.780 --> 00:17:45.843]  Our patented Find One Find All Key Finder or FOFA XT for short.
[00:17:45.843 --> 00:17:51.267]  Once a FOFA Key Finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[00:17:51.267 --> 00:17:57.252]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[00:17:57.372 --> 00:18:03.396]  Fofa goes through walls, cushions and laundry baskets up to 30 feet, and projects a loud 90 plus decibel beep.
[00:18:03.396 --> 00:18:06.698]  And new for Christmas, there's even a Fofa just for eyeglasses.
[00:18:06.698 --> 00:18:10.060]  Where did I put my glasses, Mrs. Claus?
[00:18:10.060 --> 00:18:11.440]  Oh, here they are!
[00:18:11.440 --> 00:18:14.903]  Luckily, Rudolph's nose isn't the only thing that lashes.
[00:18:15.623 --> 00:18:16.203]  We're good to go.
[00:18:30.475 --> 00:18:30.995]  Good day.
[00:18:30.995 --> 00:18:32.656]  Jim Newcomer from Midas Resources.
[00:18:32.656 --> 00:18:33.017]  November 28, 2008.
[00:18:33.017 --> 00:18:34.177]  Gold opened this morning at $811.40.
[00:18:34.177 --> 00:18:37.479]  A one ounce gold coin can be purchased for $835.79, $417.89 for a half ounce, and $208.95 for the quarter ounce.
[00:18:37.479 --> 00:18:37.740]  That's $835.79, $417.89, and $208.95.
[00:18:48.326 --> 00:19:00.836]  On June 4th, 1963, an unknown presidential decree, Executive Order 11,110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[00:19:00.836 --> 00:19:04.039]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:19:04.039 --> 00:19:07.382]  The November assassination quieted the production of the new currency.
[00:19:07.382 --> 00:19:10.204]  However, the Executive Order still stands unrevealed.
[00:19:10.444 --> 00:19:13.267]  Midas has the Kennedy vs. Fed document.
[00:19:13.267 --> 00:19:13.767]  Call 800-686-2237.
[00:19:13.767 --> 00:19:18.471]  Unlike your liberty, the paper is free.
[00:19:18.471 --> 00:19:21.354]  Call 800-686-2237.
[00:19:21.354 --> 00:19:25.097]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:19:25.097 --> 00:19:25.277]  That's 800-686-2237.
[00:19:30.522 --> 00:19:32.964]  Imagine feeling totally helpless.
[00:19:32.964 --> 00:19:39.248]  Imagine thinking and hearing clearly, but unable to move as the ground rises to meet you.
[00:19:39.248 --> 00:19:48.854]  Imagine the pain of a thousand needles as your body is invaded, locked, and hammered by 50,000 volts of the latest in taser technology.
[00:19:48.854 --> 00:19:56.639]  If this sounds scary, imagine how it would feel for anyone attempting to victimize a friend, loved one, or even yourself.
[00:19:56.639 --> 00:19:57.760]  FortressTactical.com
[00:19:58.300 --> 00:19:58.700]  I don't know.
[00:20:13.311 --> 00:20:16.872]  You're listening to GCN, the Genesis Communications Radio Network.
[00:20:50.700 --> 00:20:54.863]  All right, folks, we are back live.
[00:20:54.863 --> 00:21:04.670]  Coming up, a top Russian analyst for the government says they believe the United States is going to break up into five to six parts.
[00:21:04.670 --> 00:21:05.911]  You know what concerns me?
[00:21:05.911 --> 00:21:09.433]  Pentagon.
[00:21:09.433 --> 00:21:14.116]  Futurist projections say that they believe that's a serious danger.
[00:21:14.116 --> 00:21:16.438]  The British government believes that's a serious danger.
[00:21:17.890 --> 00:21:32.615]  Gerald Salente, who you heard on last Sunday's show, who's a top trends forecaster for IBM, major trends forecaster for CNN, Fox News, is saying that that is a real danger by 2012.
[00:21:32.615 --> 00:21:38.037]  The Russians are saying 2010.
[00:21:38.037 --> 00:21:41.939]  But what they're not explaining is this is by design.
[00:21:41.939 --> 00:21:45.480]  Just like the British fomented the Civil War between the North and the South,
[00:21:46.983 --> 00:21:49.524]  To try to break up the country, and that's mainline history.
[00:21:49.524 --> 00:21:53.545]  They just don't put it on your PBS documentaries about the subject.
[00:21:53.545 --> 00:22:04.327]  Or just like the British in the United States, the French, the Dutch, the Germans, about 150 years ago, broke China up into 10 different parts.
[00:22:04.327 --> 00:22:06.768]  This is what internationalists do.
[00:22:06.768 --> 00:22:09.169]  This is what globalism is.
[00:22:09.169 --> 00:22:10.209]  It's nothing new.
[00:22:13.667 --> 00:22:25.216]  So I'll be going over that later in the show but I do want to hear from callers specifically dealing with the subject that I just brought up.
[00:22:25.216 --> 00:22:34.944]  I mean almost every week I come in here and I could come in here every day but half the time I just don't want to even cover these stories because they make me so upset.
[00:22:34.944 --> 00:22:37.966]  Remember a few weeks ago I played clips here on the show in California
[00:22:39.195 --> 00:22:47.498]  For 45 minutes, some deranged schizophrenic was beating a two-year-old toddler to death on the side of a major highway.
[00:22:47.498 --> 00:22:55.261]  Hundreds of cars passed, scores of cars stopped, but fearfully stood back while he punched and stomped and kicked the small child.
[00:22:55.999 --> 00:23:00.140]  Now, the police didn't have any units in the area.
[00:23:00.140 --> 00:23:03.421]  It took them a long time to respond after the 911 call came in.
[00:23:03.421 --> 00:23:07.422]  So they diverted a police helicopter to land in a nearby field.
[00:23:07.422 --> 00:23:08.142]  They ran up.
[00:23:08.142 --> 00:23:11.043]  The guy wouldn't stop stomping the child, so they filled him full of lead.
[00:23:11.043 --> 00:23:12.924]  Good, I'm glad they did.
[00:23:12.924 --> 00:23:15.024]  Clearly, he's there committing this murder.
[00:23:15.024 --> 00:23:15.944]  There he is.
[00:23:15.944 --> 00:23:17.385]  He's not stopping.
[00:23:17.385 --> 00:23:19.105]  Boom, an eye for an eye.
[00:23:19.105 --> 00:23:22.046]  I'm certainly for the death penalty in that case.
[00:23:22.046 --> 00:23:25.087]  But the issue here is the public was trained
[00:23:25.811 --> 00:23:27.716]  To not intercede themselves.
[00:23:27.716 --> 00:23:30.223]  The public was trained to call 9-1-1.
[00:23:30.223 --> 00:23:34.274]  Told the story of the lady choking in a restaurant here in Austin.
[00:23:35.106 --> 00:23:39.347]  And I came out of the bathroom and she was choking and no one was helping her and they were saying call 9-1-1.
[00:23:39.347 --> 00:23:47.010]  They were arguing about who would call 9-1-1 and screaming like a bunch of gilded ninnies, men and women, probably twenty-five, thirty of them.
[00:23:47.010 --> 00:23:48.510]  And I had to shove them aside.
[00:23:48.510 --> 00:23:52.031]  They were trying to stop me from doing the Heimlich going, do you know how?
[00:23:52.031 --> 00:23:54.372]  Wait till an ambulance, wait, do you know how?
[00:23:54.372 --> 00:24:00.314]  Oh, do you know we can't have a slave like us involved in the action.
[00:24:00.314 --> 00:24:03.935]  We're just supposed to watch TV and watch football games and be spectators.
[00:24:04.575 --> 00:24:07.157]  A nation of people known for action.
[00:24:07.157 --> 00:24:11.960]  A nation of inventors and scientists and trailblazers.
[00:24:11.960 --> 00:24:19.345]  A nation of pioneers turned into a nation of cowardly, dumbed-down, arrogant scum.
[00:24:20.060 --> 00:24:34.012]  Now, not all of us, but on average, we have gone from the most inventive, the most intelligent, the most aggressive, the most dynamic, the most informed in the world, to now being the stupidest people in the first world.
[00:24:34.012 --> 00:24:36.314]  And there's only 15 first world nations.
