[00:00.000 --> 00:13.000]  from the front lines of the information war it's alex jones
[09:34.000 --> 09:49.000]  Michael Bloomberg is embracing all of his weaknesses he's known as the nanny state that he wants to tell you how much soda you can drink he wants to say how much salt you can have he says he knows best in a big article called the technocrat it talks about Bloomberg
[09:49.000 --> 10:07.000]  he says I do know more than everyone I will run your life and now he's in a play I'm not kidding this is coming up in a few minutes as Mary Poppins and he says I'm going to make Americans behave I'm going to become their president
[10:07.000 --> 10:30.000]  he rubs it in as he flies around like Mary Poppins folks this is not satire I'm not joking absolute total fraud he wants to demoralize you Trump wants to empower you because when you believe you can be empowered
[10:30.000 --> 10:47.000]  you will have the capability to be empowered you you will become empowered yeah the article is called the great technocrat you've got to go read it and it's an interview with him and you think it's satire he's like I'm the smartest person probably on earth and I know how to run your life
[10:47.000 --> 11:08.000]  and so we're going to set up a worldwide computer system and we will decide when you go to bed when you wake up what you eat what you do you're like is this a joke and he's like no and the article funds after him and it's 78 billion that's all just digital made up manipulation and trading all fraud he produces nothing
[11:08.000 --> 11:23.000]  he makes Bernie Madoff look like salt of the earth and Hillary's behind him and he's a shoehorn to pump money in to try to hurt the other candidates to hurt Trump to annihilate Sanders and then he steps back at the last moment of
[11:23.000 --> 11:38.000]  brother convention and in slides Hillary Rodham Clinton I told you that months ago now drudges confirm that with his high level sources and Bloomberg confirmed he goes well we have been looking at Hillary but you know maybe maybe not folks don't like it see they're
[11:38.000 --> 11:58.000]  already trial ballooning it she's been on TV more than any other candidate she's raising money so here is the video of Trump coming in trying to boost our morale so that we're not demoralized and so we have some fun and that's so
[11:58.000 --> 12:10.000]  important when people are trying to tell you you suck no we don't suck America is amazing and it was leading the world and we're going to lead the world again with ideas not with socialism we export here's the president
[12:10.000 --> 12:28.000]  as we walk in you to NASCAR on Fox and the 62nd running of the great American race along with Jeff Gordon Jamie Mcmurray I'm Chris Myers and nice to have you along with us for this special moment I have been to a lot of Daytona 500
[12:28.000 --> 12:41.000]  Chris never have I felt the excitement and energy we've had great races on the track but we've got the president landing right now the fans are pumped up I mean wow what a day it's
[12:41.000 --> 12:55.000]  it's one of the most incredible things I've ever seen Obama wouldn't do anything like this he wants Hollywood to give him awards they don't like flower country remember he got secretly recorded saying he hates the Midwest hates Bible thumpers hates gun owners better clingers their
[12:55.000 --> 13:10.000]  elitists they don't want to fly over a bunch of NASCAR fans and have energy together they don't want to have that communal event no because they're separate from us they're better than us you know I like Joe Rogan but I saw a clip the other day where he had a reporter on and
[13:10.000 --> 13:31.000]  he was they were making fun of Midwesterners talking about the fact that the pimp madam that helped Epstein kidnap kids was supposedly somewhere in the Midwest they made the joke so those Midwesters they came and read a book they don't they don't
[13:31.000 --> 13:52.000]  even know what Max well looks like Epstein's operative and again that's that attitude of how do you get so disconnected you think the majority of the country they're idiots because of where they live that's not reality based ladies and gentlemen
[13:52.000 --> 14:12.000]  that's elitism and it's just it's what the left does it's their currency it's the supposed power they have until the point they get so disconnected from reality that Bloomberg has hired people
[14:12.000 --> 14:25.000]  to put out memes and to have him do things he believes will make him popular here is the latest production of Michael Bloomberg
[14:25.000 --> 14:52.000]  I'll tell you where I'm going first Iowa then New Hampshire maybe I can get the whole country to behave by the way we cut the clip short they worship him for like a minute no these women
[14:52.000 --> 15:10.000]  and he has no idea how idiotic he is how no idea that people hate his guts no idea how ridiculous that is to then say I'm going to make the whole country behave I'm Mary Poppins America's nanny unbelievable
[15:10.000 --> 15:25.000]  let's let's go out to break with Trump and start your engines which you rather America starts your engines or I'm a little twerk I'm your nanny here's the president words and motor sports at the Daytona 500 please welcome this year's
[15:25.000 --> 15:47.000]  grand marshal the 45th president of the United States of America Donald J Trump accompanied by a first lady of the United States Melania Trump Daytona International Speedway we love our country and it's truly an honor to be with all of you at the
[15:47.000 --> 16:00.000]  great American race gentlemen start your engines
[16:00.000 --> 16:17.000]  alright folks here's the bad news we've already sold out of the 16 ounce immune gargle with the patented nano tech silver that's documented to knock out viruses and bacteria unlike anything else but we do still have in the three ounce in the one ounce for limited time the good news is we have the super blue
[16:17.000 --> 16:33.000]  toothpaste and the super silver toothpaste both that have the nano silver in them as well the super blue has tea tree that's also antiviral and antibacterial and high quality iodine and then of course the whitening has the nano silver but on top of that it has the above
[16:33.000 --> 16:52.000]  recoral calcium that remelanorizes the teeth and so it's just the best toothpaste you're gonna find period it has the nano silver and we still have supplies of it though it'll sell out at current rates about two weeks but despite that I'm keeping it at sale at 50% off so everybody can protect themselves with this high quality product you've never used
[16:52.000 --> 17:11.000]  it before get yours today infowarstore.com infowarstore.com three weeks ago we told you the Pentagon had set up secret quarantine centers for the coronavirus and that they believed it was much more serious than we were being told now we know that that is the case and we know the federal
[17:11.000 --> 17:26.000]  government and major corporations have been buying up all the major storeable food supplies around the country almost everyone else is sold out but our supplier my patriot infowarstore.com still has their entire line of high quality fresh food and it's fresh
[17:26.000 --> 17:41.000]  that's why you have to wait 10 to 14 days for it to get delivered not because they don't have the food but because they've got a package it and their factories are going 24 hours a day high quality fresh food the best package systems tastes great protects you and your family and funds the infowar
[17:41.000 --> 17:55.000]  you just got to get the orders in until they extended out even more which could happen lock in your orders now ensure you get it at infowarstore.com today if you are receiving this transmission you are the resistance
[17:55.000 --> 18:15.000]  I spend a lot of time reminding the info wars family of listeners and viewers that without you won't be on the air and I spent a lot of time thanking you but I really think you should thank yourself for keeping us on the air and really changing
[18:15.000 --> 18:29.000]  the world for the better and raising the alarm as modern ball reveres but something I should spend more time on is just reminding you that these products are really amazing you've got that pledge from me but you've seen the third party test out there the air filtration the
[18:29.000 --> 18:49.000]  water filtration the water filtration the supplements are all the very best you're going to find out there and you can't fund an operation anywhere else that's fighting the globalist this hard so it's not a burden to support info wars it really is something that is good for everybody that stands for
[18:49.000 --> 19:00.000]  justice and freedom and makes your life and your family's life and your children's life so much better so visit infowarstore.com today
[19:00.000 --> 19:10.000]  real stuff man we're talking about the real deal here and I love Trump all day long but man I tell you he sits there and lets these big tech people keep running rough shot over him everybody I mean I've got a problem
[19:10.000 --> 19:24.000]  and we'll just take the Trump rallies over that said about two months ago I came up with a plan that I haven't launched yet we have a warehouse full of hundreds of thousands of stickers 20 different stickers impeach the Democrats save the second amendment
[19:24.000 --> 19:37.000]  defend the first amendment info wars dot com and it looks like duct tape it's just a regular stick you put it over your mouth you go to a Trump rally and you instantly take over without even disrupting things people say why are you doing this what's happening when you go well we're being censored
[19:37.000 --> 19:42.000]  you know Donald Trump won't do anything about it and Doctor Pachany I'm going to ask you what you think I'm not at this yet blev
[19:42.000 --> 20:00.000]  brilliant you've took on the very element that they tried to repress you with that silence and made it into a weapons you have the loudest sound of all silence and you know what's most disturbing to people cylinder seal
[20:01.000 --> 20:04.000]  You're listening to the Alex Jones show.
[20:20.000 --> 20:26.000]  He aligns himself with the truth, and it's time for you to choose a side.
[20:26.000 --> 20:31.000]  You're listening to Alex Jones.
[20:31.000 --> 20:41.000]  I always get just a few hours of notice from Max Kaiser, the famous playboy and international superstar.
[20:41.000 --> 20:52.000]  TV host and BBC, RT, you name it, Al Jazeera, author, broadcaster, filmmaker, famous stockbroker, opinion trader.
[20:52.000 --> 20:56.000]  He's also co-founder of Bitcoin Capital and presenter of Kaiser Report on RT.
[20:56.000 --> 21:01.000]  I first heard about Bitcoin from him like 10 years ago or longer, maxkaiser.com.
[21:01.000 --> 21:06.000]  And he's with us, and he wants to get into Bitcoin and global currencies and what's happening in the markets and what's happening with coronavirus.
[21:06.000 --> 21:11.000]  First, and then we're going to get into the most concerning developments with coronavirus.
[21:11.000 --> 21:13.000]  We had a long dinner last night.
[21:13.000 --> 21:19.000]  He, myself, his significant other, Stacey Herbert and my wife, Erica, we had an in-depth discussion.
[21:19.000 --> 21:26.000]  And I concur with you about what's happening in China, that regardless of how bad the virus is, they're using it as a power grab.
[21:26.000 --> 21:33.000]  We'll look at the economy, Hillary, they're picking back with Bloomberg, what you think of the judge of the booty,
[21:33.000 --> 21:35.000]  and just a lot of really important points.
[21:35.000 --> 21:38.000]  What you think of Bill Barr, you think Bill Barr is good, you were telling me last night.
[21:38.000 --> 21:42.000]  I hope that's the case, and that he's not undermining the president.
[21:42.000 --> 21:50.000]  Now you've got 1,100 former XDOJ officials demanding Barr resign, so maybe you're right, maybe Barr is good.
[21:50.000 --> 21:53.000]  I just want to see some major action on the whole Epstein front.
[21:53.000 --> 21:56.000]  So it's good to have you here back in the ATX.
[21:56.000 --> 21:58.000]  I'm glad you called in when you landed yesterday.
[21:58.000 --> 22:00.000]  I called in from the plane.
[22:00.000 --> 22:02.000]  I was styling, I'm on the tarmac.
[22:02.000 --> 22:08.000]  I'm heading into South Congress in Austin to be as hipster and trendy as possible.
[22:08.000 --> 22:14.000]  Yeah, that's right, I've come right over now, we've got some barbecue, don't stop, I've got some great barbecue right here at the headquarters.
[22:14.000 --> 22:16.000]  And we just came right over.
[22:16.000 --> 22:18.000]  And of course that's what we do.
[22:18.000 --> 22:24.000]  Now, Bitcoin, you missed at a dollar, you missed it at $10, you missed it at $100, you missed it at $1,000.
[22:24.000 --> 22:34.000]  The good news, Alex Jones, is that Bitcoin at $10,000 or $9,300 is equally attractive as it was at $100.
[22:34.000 --> 22:39.000]  I am officially raising my target for Bitcoin and I first made this prediction when it was a dollar.
[22:39.000 --> 22:41.000]  I said this could go to $100,000.
[22:41.000 --> 22:45.000]  I'm raising my official target for the first time in eight years.
[22:45.000 --> 22:47.000]  I'm raising it to $400,000.
[22:47.000 --> 22:49.000]  That's my new official target.
[22:49.000 --> 22:52.000]  So you've got a 40X return.
[22:52.000 --> 22:55.000]  You know, $10,000 becomes $400,000.
[22:55.000 --> 23:02.000]  And so this is yet your new chance to make Bitcoin a dominant work for you.
[23:02.000 --> 23:07.000]  So Alex Jones, and I told you over 10 years ago, I wasn't going to get into it until I thought the market stabilized.
[23:07.000 --> 23:08.000]  I know it's a real technology.
[23:08.000 --> 23:09.000]  I know it's needed.
[23:09.000 --> 23:14.000]  I know that our government, George Washington, beat the British because of encryption.
[23:14.000 --> 23:19.000]  Encryption was once seen as an ammunition, only the NSA for a while had it.
[23:19.000 --> 23:20.000]  It's good to have it in the people's hands.
[23:20.000 --> 23:25.000]  But there's also been a wild, wild West and a lot of crap coin out there as well.
[23:25.000 --> 23:28.000]  But still, you believe Bitcoin, the original is the gold standard.
[23:28.000 --> 23:33.000]  Right, everything but Bitcoin is basically pyrite or a fool's gold.
[23:33.000 --> 23:35.000]  There's only one Bitcoin.
[23:35.000 --> 23:36.000]  Nothing else comes close.
[23:36.000 --> 23:38.000]  And now, a good point.
[23:38.000 --> 23:41.000]  After 10 years, it's been accepted by the marketplace.
[23:41.000 --> 23:42.000]  It's established itself.
[23:42.000 --> 23:44.000]  And now large money's moving into this thing.
[23:44.000 --> 23:48.000]  I was about to say, so it had its crash, but now it's going back up and the big money's going in,
[23:48.000 --> 23:50.000]  meaning they're not planning to extinct it.
[23:50.000 --> 23:51.000]  They just wanted to take it over.
[23:51.000 --> 23:58.000]  There's no reason why it wouldn't be volatile as it makes a move from a dollar to $10,000, $20,000.
[23:58.000 --> 23:59.000]  That's extremely volatile.
[23:59.000 --> 24:03.000]  But to get to $20,000, $100,000, and $400,000, you need the volatility.
[24:03.000 --> 24:04.000]  That's perfectly normal.
[24:04.000 --> 24:09.000]  The best solution, there's a three-pronged approach that I'm telling you about right now.
[24:09.000 --> 24:12.000]  First of all is Cache App, which is a simple app on your phone.
[24:12.000 --> 24:15.000]  You can download this app and you can stack Satoshi.
[24:15.000 --> 24:22.000]  A Satoshi is basically, there's 100 Satoshis in every penny.
[24:22.000 --> 24:23.000]  Let's put it that way.
[24:23.000 --> 24:26.000]  So you can stack Satoshis on your Cache App.
[24:26.000 --> 24:30.000]  You can buy a dollar at a time, $5 at a time, and you can build your position.
[24:30.000 --> 24:35.000]  Number two would be if you don't want to keep your Bitcoin on that app,
[24:35.000 --> 24:38.000]  you can download it to something called a wallet.
[24:38.000 --> 24:40.000]  And in this case, I recommend the green wallet.
[24:40.000 --> 24:41.000]  It's the best wallet.
[24:41.000 --> 24:42.000]  It's the most secure wallet.
[24:42.000 --> 24:47.000]  And if you want to play with the big boys and you want to buy $10,000, $20,000 with Bitcoin at a time,
[24:47.000 --> 24:49.000]  then the place to go would be Kraken.
[24:49.000 --> 24:51.000]  Kraken is established since 2011.
[24:51.000 --> 24:54.000]  It's the best exchange, really, I think, in the world.
[24:54.000 --> 24:58.000]  And this is where you go when you're graduating to the big time in the Bitcoin space.
[24:58.000 --> 25:00.000]  But initially, it's Cache App.
[25:00.000 --> 25:04.000]  Just go to Cache App every single day and you buy a few dollars with the Bitcoin every single day.
[25:04.000 --> 25:10.000]  Now, what's one of these, what I like is the fact that if I can decide where it's invested or where it's kept
[25:10.000 --> 25:18.000]  in one of these, so I can actually tailor it so that I don't have this cryptocurrency somewhere where it's helping a bad guy.
[25:18.000 --> 25:20.000]  Yeah, you can take delivery of your private keys.
[25:20.000 --> 25:22.000]  That's the whole thing is about individual sovereignty.
[25:22.000 --> 25:23.000]  It's a whole about the Fourth Amendment.
[25:23.000 --> 25:25.000]  You know, the Fourth Amendment guarantees privacy.
[25:25.000 --> 25:27.000]  Well, what I like is this.
[25:27.000 --> 25:29.000]  I could sit there and put money in an offshore account.
[25:29.000 --> 25:33.000]  Everyone will make me a political prisoner and try to get out of the country to protect myself and my family.
[25:33.000 --> 25:36.000]  But those banks will work with other big banks just to take your money away.
[25:36.000 --> 25:41.000]  But things like Bitcoin absolutely just brings diversity to the marketplace of digital currencies.
[25:41.000 --> 25:43.000]  And it is something that is completely legitimate.
[25:43.000 --> 25:48.000]  It's just like the power of fire, not just being with the gods, but being given to Prometheus.
[25:48.000 --> 25:51.000]  It's unconfiscatable, which is great.
[25:51.000 --> 25:54.000]  So even a private account, those are all being cracked down upon.
[25:54.000 --> 25:57.000]  Those are all being looked into by various governments.
[25:57.000 --> 25:59.000]  Bitcoin is the only thing that's unconfiscatable.
[25:59.000 --> 26:03.000]  And it's the only thing where when you transact, that is the verification of that transaction.
[26:03.000 --> 26:07.000]  That's something you never find with gold. With gold, if I traded gold with you,
[26:07.000 --> 26:10.000]  you would have to verify that the gold that I traded with you was real.
[26:10.000 --> 26:13.000]  It wasn't tungsten or, you know, something opposing as gold.
[26:13.000 --> 26:16.000]  It was you need a third party verification with Bitcoin.
[26:16.000 --> 26:19.000]  That's not a problem because it is it verifies itself on the blockchain.
[26:19.000 --> 26:21.000]  Well, we've got the owner of Twitter.
[26:21.000 --> 26:22.000]  You've got Eric Prince.
[26:22.000 --> 26:27.000]  You've got all these big players, all these big governments heavily invested in Bitcoin.
[26:27.000 --> 26:33.000]  And so clearly they think down the road, it's going to end up being a continual powerful force.
[26:33.000 --> 26:35.000]  But you've gotten my point.
[26:35.000 --> 26:38.000]  I only talk about stuff that I really understand backwards and forwards.
[26:38.000 --> 26:41.000]  And so I've been waiting a decade believing in the technology,
[26:41.000 --> 26:44.000]  but I just could never tell my listeners.
[26:44.000 --> 26:47.000]  I think this is the best way to go because I don't want to steer them wrong.
[26:47.000 --> 26:53.000]  Right. Well, you know, we've we're beyond that phase now where people are asking how it works.
[26:53.000 --> 26:56.000]  No, no, I agree with you because most of the things you deal with during the day,
[26:56.000 --> 26:58.000]  you have no idea how they work people.
[26:58.000 --> 27:01.000]  The cars are ultimately, ultimately technologically driven.
[27:01.000 --> 27:03.000]  Nobody knows how the technology and cars work.
[27:03.000 --> 27:06.000]  Nobody knows how most of the technology they deal with all day works.
[27:06.000 --> 27:10.000]  It's just accepted after 10 years of being up and running flawlessly.
[27:10.000 --> 27:11.000]  Now it works.
[27:11.000 --> 27:14.000]  We and we accept it and people are using it as a store of value.
[27:14.000 --> 27:20.000]  All the fly by nighters and all the people running scams that that that could have brought it down, but they didn't.
[27:20.000 --> 27:23.000]  Yeah, it withstood all the scams.
[27:23.000 --> 27:28.000]  So all the what we call, you know, the Bitcoin cash, for example, is a scam.
[27:28.000 --> 27:30.000]  Craig Wright is a scam.
[27:30.000 --> 27:34.000]  These are some of the more obvious scams in the crypto space.
[27:34.000 --> 27:35.000]  This is your opinion.
[27:35.000 --> 27:36.000]  I don't really know who these guys are.
[27:36.000 --> 27:37.000]  Right. Okay.
[27:37.000 --> 27:39.000]  This is but this is pretty well documented at this point.
[27:39.000 --> 27:46.000]  And everything, even Ethereum to a large degree, it's all the fighting in the crypto currencies.
[27:46.000 --> 27:48.000]  But that's I don't like in fighting.
[27:48.000 --> 27:50.000]  Right. But anytime you have a revolutionary currency,
[27:50.000 --> 27:54.000]  I mean, a lot of people are buying for attention and they're going to be changed.
[27:54.000 --> 27:56.000]  You know, I always say that you don't change Bitcoin.
[27:56.000 --> 27:57.000]  Bitcoin changes you.
[27:57.000 --> 28:02.000]  And if as long as you understand that you will allow yourself to be open up your mind to what
[28:02.000 --> 28:08.000]  uncomfiscatable immutable centricity, persistent store of value goal 2.0 means to the world.
[28:08.000 --> 28:11.000]  It means people in Venezuela, Argentina have a way to fight back against the government.
[28:11.000 --> 28:17.000]  It means people in America have a way to fight back against the government against money printing and all this money
[28:17.000 --> 28:21.000]  inflation and all this psycho drama happening in the finance space.
[28:21.000 --> 28:26.000]  Trump saying, hey, we're going to introduce another tax break for stock market investors to keep the bubble going.
[28:26.000 --> 28:29.000]  That bubble at like 2008 will pop.
[28:29.000 --> 28:33.000]  And when it pops, are you going to thank goodness that you've got some Bitcoin?
[28:33.000 --> 28:37.000]  Well, I'll say this, the global markets are obviously overvalued.
[28:37.000 --> 28:41.000]  I know Trump's just trying to prop up the bubble because what other choices he had,
[28:41.000 --> 28:43.000]  but it is smart to diversify.
[28:43.000 --> 28:47.000]  We tie Bitcoin now into what's happening with the virus, what's happening with the economy,
[28:47.000 --> 28:51.000]  what the virus is going to do, the Chinese economy, how that affects the world economy.
[28:51.000 --> 28:55.000]  On the other side, then we'll talk about Hillary and Bloomberg kissing in a tree.
[28:55.000 --> 28:58.000]  KSSS-ING.
[28:58.000 --> 29:02.000]  Almost all the other big storeable food companies are sold out of food.
[29:02.000 --> 29:05.000]  But I know for a fact from sources to tell them people, oh, we've got it.
[29:05.000 --> 29:08.000]  Get your order in two weeks for delivery.
[29:08.000 --> 29:10.000]  We follow this pattern over and over again.
[29:10.000 --> 29:13.000]  Already for 25 years, I've had storeable food for a long time.
[29:13.000 --> 29:17.000]  And I learned very quickly a lot of these companies, they're fine during normal times.
[29:17.000 --> 29:21.000]  But during a crisis, they don't keep a bunch of food on hand because of inventory.
[29:21.000 --> 29:22.000]  They'll still take your orders.
[29:22.000 --> 29:27.000]  That's why about 11 years ago, I found my Patriot supply now the biggest, most trusted company out there.
[29:27.000 --> 29:30.000]  And I became a private labeler for them because they actually have it on hand.
[29:30.000 --> 29:32.000]  They actually give it delivered to you on time.
[29:32.000 --> 29:36.000]  They do what they're going to say they're going to do because they want you as a customer over and over again.
[29:36.000 --> 29:37.000]  And they're good people.
[29:37.000 --> 29:41.000]  Now they were saying seven to 10 days before shipping because they've got the food, but they've got to package it.
[29:41.000 --> 29:42.000]  Record level orders.
[29:42.000 --> 29:47.000]  Now it's 10 to 14 because it's only intensifying with the coronavirus.
[29:47.000 --> 29:49.000]  So get your orders in an infowarstore.com.
[29:49.000 --> 29:50.000]  Get the best deals.
[29:50.000 --> 29:51.000]  Get it delivered first.
[29:51.000 --> 29:52.000]  They're in our system.
[29:52.000 --> 29:53.000]  It goes right to them.
[29:53.000 --> 29:54.000]  Then it funds the info as well.
[29:54.000 --> 29:58.000]  So get prepared infowarstore.com with storeable foods.
[29:58.000 --> 30:03.000]  There's roughly only 260 days left until the 2020 election.
[30:03.000 --> 30:05.000]  And already you've seen all sorts of crazy things happen.
[30:05.000 --> 30:07.000]  The globalists are trying to plunge the economy.
[30:07.000 --> 30:08.000]  They're trying to start wars.
[30:08.000 --> 30:10.000]  They're trying to overthrow the president.
[30:10.000 --> 30:11.000]  They're trying to silence free speech.
[30:11.000 --> 30:16.000]  They're trying to trigger riots in the streets, but everything they do is blowing up in their face.
[30:16.000 --> 30:22.000]  We the people have to pray, stay focused, be involved, keep spreading the word, keep countering their lies.
[30:22.000 --> 30:25.000]  And we have to be prepared in case things go south.
[30:25.000 --> 30:32.000]  That's why it's so critical to go to infowarstore.com and stock up on high quality preparedness items from storeable foods,
[30:32.000 --> 30:38.000]  high quality water filtration, air filtration, to the very best supplements and silver products you're going to find.
[30:38.000 --> 30:41.000]  They're all available at infowarstore.com.
[30:41.000 --> 30:44.000]  And your purchase there not only ensures high quality products from your family at great prices,
[30:44.000 --> 30:47.000]  but it funds the info war in this critical time.
[30:47.000 --> 30:50.000]  A total complete absolute 360 win.
[30:50.000 --> 30:52.000]  Every point of the compass is covered.
[30:52.000 --> 30:55.000]  The only way we can be defeated is if you don't take action.
[30:55.000 --> 30:59.000]  Get high quality products at infowarstore.com today.
[30:59.000 --> 31:05.000]  I want to talk about super silver whitening toothpaste because I hadn't tried it except for maybe the last week and a half.
[31:05.000 --> 31:08.000]  And I told Alex, I said, man, this is the best toothpaste I've ever tried.
[31:08.000 --> 31:12.000]  He's like, well, what are you doing just sitting in here telling me you got to get up there and tell people.
[31:12.000 --> 31:20.000]  And so here I am telling people super silver whitening toothpaste is by far the best toothpaste I've ever tried.
[31:20.000 --> 31:25.000]  And I'm 45 years old and I've tried a lot of different toothpaste and it's fluoride free.
[31:25.000 --> 31:30.000]  I think the big difference the game changer in this is the coral calcium because after I brush my teeth with this,
[31:30.000 --> 31:36.000]  they feel so clean and the toothpaste that I don't even like rinse out my mouth after I brush my teeth with this.
[31:36.000 --> 31:42.000]  It feels so good. It feels like it feels like good things are happening in my mouth.
[31:42.000 --> 31:59.000]  In fact, I find myself brushing my teeth three to four times a day rather than just twice a day now because I like the way it feels.
[32:12.000 --> 32:18.000]  It's great because of God, because of the audience of activists and because of the great team at M-Full Wars.
[32:18.000 --> 32:21.000]  And we are all a team, ladies and gentlemen.
[32:21.000 --> 32:26.000]  So right now, humanity is awakening. It's explosive. It's powerful. It's incredible.
[32:26.000 --> 32:29.000]  But there's major obstacles coming down the road.
[32:29.000 --> 32:35.000]  And the only way we can effectively fight the NWO and stay in the game like M-Full Wars is to the spirit is your financial support.
[32:35.000 --> 32:38.000]  We make it really easy at M-FullWarsStore.com.
[32:38.000 --> 32:47.000]  But I am blowing through our backup money right now with our reporters doing triple the work they ever have because they volunteered to do it.
