[00:00.000 --> 00:12.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[05:22.000 --> 05:31.000]  The Wall Street Journal reports that the ride sharing app has launched new and invasive technology called telematics, which records drivers behaviors behind the wheel.
[05:31.000 --> 05:40.000]  When a driver exceeds the speed limit, breaks abruptly, cuts corners or sends a text while driving, Uber alerts the driver of their mistake in real time.
[05:40.000 --> 05:45.000]  In the future, drivers who receive low scores throughout their driving history may be penalized.
[05:45.000 --> 05:55.000]  In addition, negative driving data such as speeding could easily be sent to law enforcement to enhance the tactics they use to pilfer the public through draconian fines.
[05:55.000 --> 06:23.000]  This is Ashley Beckford. Stay tuned for more special reports at info wars dot com.
[06:23.000 --> 06:30.000]  Visit info wars team dot com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto ship.
[06:30.000 --> 06:37.000]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[06:37.000 --> 06:43.000]  Another win win. That's why I'm a member of the young Jebedy team at info wars team dot com and you can be too.
[06:43.000 --> 06:49.000]  It's simple. Just go to info wars team dot com today. Complete a short sign up and you're part of the team.
[06:49.000 --> 06:58.000]  That's info wars team dot com or info wars health dot com. So many people call into my radio show and tell me how young Jebedy and the products at info wars team dot com have changed their lives.
[06:58.000 --> 07:01.000]  Check it out for yourself today.
[07:01.000 --> 07:06.000]  Not a group you develop living defense for us. It took you over a year to do it. Why is this so good?
[07:06.000 --> 07:11.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[07:11.000 --> 07:20.000]  I mean I try to make sure that I don't put toxins from food and water and beverages in my system. But right now we're dealing with massive parasites,
[07:20.000 --> 07:28.000]  which is anything that's harmful to your body that lives off a host mechanism right now with all the refugees spreading disease around.
[07:28.000 --> 07:32.000]  We have biological warfare going on everywhere. These are all parasites.
[07:32.000 --> 07:35.000]  Tell us about all the stuff that says there's so many things that are in it.
[07:35.000 --> 07:39.000]  You have the name in there. You have the organic clove bud, the organic wormwood.
[07:39.000 --> 07:42.000]  I recommend doing the parasite plans at least twice a year.
[07:42.000 --> 07:45.000]  Alright, well I'm glad we've got some back in because I'm going back on it today.
[07:45.000 --> 07:48.000]  It just came back in yesterday. Living Defense, info wars life dot com.
[07:48.000 --> 07:52.000]  And folks, you can't lose full of stuff that's great for your body, period.
[07:52.000 --> 07:57.000]  And you support the broadcast, info wars life dot com. Thank you doctor group from the Global Healing Center.
[07:57.000 --> 08:12.000]  Thank you so much for all your work sir on this great product.
[08:12.000 --> 08:21.000]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[08:21.000 --> 08:31.000]  Everyone knows that I was a massive critic of George W. Bush and called for his impeachment for launching the illegal war in Iraq,
[08:31.000 --> 08:37.000]  framing Iraq for what the Saudi Arabian government and elements of our government really did on 9-11.
[08:37.000 --> 08:42.000]  I'm not a Republican hack. I'm a libertarian constitutional patriot.
[08:42.000 --> 08:53.000]  So when I should appear and tell you from my historical research that Loretta Lynch is undoubtedly the most corrupt U.S. Attorney General in history,
[08:53.000 --> 09:01.000]  and there's been quite a few that were corrupt, that is by thousands and thousands and thousands of percentage points.
[09:01.000 --> 09:13.000]  I mean, the nakedness, the open, unbelievable arrogance. I've got a stack of articles here.
[09:13.000 --> 09:18.000]  Mainstream news where she said that she's going to restrict and criminalize speech,
[09:18.000 --> 09:27.000]  where she's going to outside of law go after our guns, where she's going to put the U.N. in charge of our local police departments.
[09:27.000 --> 09:34.000]  That's why they're in a war against the police to break the police so that they accept that takeover and control.
[09:34.000 --> 09:40.000]  I'm not saying the police are perfect. I'm just saying there are police. This is our country, our government.
[09:40.000 --> 09:43.000]  We're not going to sit by and watch this multinational takeover.
[09:43.000 --> 09:52.000]  I have the articles right here in front of me, the smart cities initiatives of the U.N., the strong cities initiatives.
[09:52.000 --> 10:00.000]  Look at these. Look at this. Obama administration, U.N. announced global police force to fight extremism in U.S.
[10:00.000 --> 10:07.000]  Obama's Attorney General promises a criminalized speech.
[10:07.000 --> 10:17.000]  This is just some of the background, and there she is protecting the government, criminal elements of it, carrying out fast and furious.
[10:17.000 --> 10:22.000]  We have the CBS News reports where they got the documents, what was meant to blame the Second Amendment, a false flag.
[10:22.000 --> 10:30.000]  We now know, confirmed, that one of the shooters in Paris had a gun from fast and furious.
[10:30.000 --> 10:35.000]  We told you that a year ago, that they were shipping guns into Mexico and then out to ISIS and Al Qaeda.
[10:35.000 --> 10:41.000]  Now it's confirmed. She's covered up the IRS persecution. She's covered up Benghazi.
[10:41.000 --> 10:47.000]  She's allowed Hillary to just engage in all sorts of criminal activity.
[10:47.000 --> 10:56.000]  The Justice Department has blocked things at every front, not just with her, but her predecessor, Eric Holder.
[10:56.000 --> 11:14.000]  And now, she meets earlier in the week, in Arizona, in front of the press corps.
[11:14.000 --> 11:29.000]  She goes on to a plane, her private plane, with the former President of the United States, William Jefferson Clinton.
[11:29.000 --> 11:42.000]  And meets in secret and then has the nerve to tell us it's no big deal when by every federal and state statute it is totally illegal.
[11:42.000 --> 11:57.000]  She met with a man who is under admitted criminal investigation by the FBI, supposedly by her Justice Department.
[11:57.000 --> 12:11.000]  All of this unfolding in our face, the email scandals, the IRS criminal investigations, the Benghazi investigations, all of it.
[12:11.000 --> 12:22.000]  This is like, if you're in a bankruptcy trial and you met for 10 minutes at a restaurant with a judge presiding over it,
[12:22.000 --> 12:32.000]  you and the judge would get indicted, even if you weren't doing anything wrong, quote, trying to fix it, it's illegal to meet.
[12:32.000 --> 12:36.000]  Bare minimum, she has to recuse herself.
[12:36.000 --> 12:45.000]  If she was caught at the grocery store bumping in to Bill Clinton and talking to him in front of witnesses for two minutes, she'd have to recuse herself.
[12:45.000 --> 12:56.000]  I've been involved in court cases before and you see the judge walking down the hall from the bathroom or their office and they won't even talk to you.
[12:56.000 --> 13:02.000]  And that's just in civil court.
[13:02.000 --> 13:08.000]  And they think we're ignorant. This is that moment, though, when the whole facade starts to collapse.
[13:08.000 --> 13:16.000]  This is that moment when the big lie starts to go in on top of itself because everybody knows the Clintons are above the law.
[13:16.000 --> 13:24.000]  Everybody knows they've gotten away with bloody murder for years and years and years and years and Vince Foster and cattle futures and the carbon tax scams
[13:24.000 --> 13:34.000]  Her getting off the airplane in Bosnia, Herzegovina and claiming she's being shot at by snipers and there's there's NBC and CBS and ABC news footage of a beautiful sunny day with kids giving her flowers
[13:34.000 --> 13:36.000]  her Brian Williams moment.
[13:36.000 --> 13:47.000]  Hundreds and hundreds and hundreds of just incredible scandals, missile secrets of the Chinese nuclear reactors that can make fissile material to North Korea on and on and on.
[13:47.000 --> 13:57.000]  Listing their crimes, it makes your head spin and the insider deals and screwing us on the trade deals and all of it.
[13:57.000 --> 14:06.000]  And then for some reason when she's been caught lying to Congress about I never was in my emails or I didn't know I had any emails or I didn't have any secret emails.
[14:06.000 --> 14:12.000]  I mean the head of the EPA had to resign because she had secret emails.
[14:12.000 --> 14:25.000]  All of this is illegal. All of this is to get around the four year law, the open records law. All of this is to abscond justice and our loss.
[14:25.000 --> 14:32.000]  That's what this is. Period. Period. No debate.
[14:32.000 --> 14:38.000]  And so they do this out of the open in front of everybody.
[14:38.000 --> 14:42.000]  And she's so arrogant. Here's the bigger niche.
[14:42.000 --> 14:49.000]  It is confirmed in local newspapers and reporters are on record saying, oh yes.
[14:49.000 --> 15:03.000]  The FBI ordered all of us to turn our cameras off and to not record anything as Bill Clinton went by us as we were waiting to try to interview her on the whole Clinton investigation and they just met in front of everyone.
[15:03.000 --> 15:11.000]  That is the secret meeting commenced in front of them. They went in, the press saw the secret meeting commenced.
[15:11.000 --> 15:21.000]  They saw the jet door close to the fuselage and they did it in front of everybody.
[15:21.000 --> 15:29.000]  And then she has the nerve yesterday in a press conference to say, yeah, you know, I met with him, talked about some family stuff, mainly, mainly.
[15:29.000 --> 15:33.000]  And she leaves a proviso in there. That's pretty much what they talked about.
[15:33.000 --> 15:42.000]  Looks so incredibly guilty. But the question is that shows how they're mega maniacal. They're so delusional. They do this stuff out in the open.
[15:42.000 --> 15:47.000]  And then Charlie Rose comes out and says, oh, just two politicians getting together. Yeah, from the same party.
[15:47.000 --> 15:50.000]  She's not supposed to be a politician. She's sworn to uphold the law.
[15:50.000 --> 15:55.000]  She's really a political hack of the Clintons brought into power by the Clintons.
[15:55.000 --> 16:01.000]  And Charlie Rose is a Bilderberg attendee and CFR globalist, an open enemy of the country.
[16:01.000 --> 16:07.000]  Now, let's go ahead and go to the first clip of her in the press conference yesterday. Then we'll go to the new clip. Here it is.
[16:07.000 --> 16:16.000]  What's it appropriate for you to meet with him just for President Clinton while your agency is in the middle of an investigation of his wife's email servers?
[16:16.000 --> 16:21.000]  Well, I did see the president at the Phoenix airport the other night as I was landing. He was headed out.
[16:21.000 --> 16:29.000]  He did come over and say hello and speak to my husband and myself and talk about his grandchildren and his travels and things like that.
[16:29.000 --> 16:33.000]  So that was the extent of that. And no discussions were held in any cases or anything of that.
[16:33.000 --> 16:36.000]  And he didn't raise anything about that either.
[16:36.000 --> 16:43.000]  And there's another clip I saw on Fox where she's doing a press conference. There's a blue background, not a California flag background.
[16:43.000 --> 16:47.000]  And I saw her this morning say, oh, we mainly just talked about that.
[16:47.000 --> 16:54.000]  Now, let's go to the other clip. This is her speaking to the Aspen Institute just about 45 minutes ago.
[16:54.000 --> 17:05.000]  And this is one of the most Orwellian statements I've ever seen where she's talking to the reporter and she says, well, I can't really recuse myself because then I wouldn't know what's going on.
[17:05.000 --> 17:12.000]  But I'm not involved in the case, though. Let's go ahead and play the clip.
[17:12.000 --> 17:18.000]  Now, what's interesting here is you say you fully expect to accept the recommendations.
[17:18.000 --> 17:28.000]  One thing people were saying this morning when the news broke was that you were, quote, recusing yourself from having any kind of role in the final determination.
[17:28.000 --> 17:31.000]  Is that the case? Is that what you're saying?
[17:31.000 --> 17:37.000]  Well, a recusal would mean that I wouldn't even be brief on what the findings were or what the actions going forward would be.
[17:37.000 --> 17:46.000]  And while I don't have a role in those findings, in coming up with those findings or making those recommendations as to how to go forward, I'll be briefed on it.
[17:46.000 --> 17:49.000]  And I will be accepting their recommendations.
[17:49.000 --> 17:53.000]  And when you say, again, this must be the journalist in me and the link.
[17:53.000 --> 17:55.000]  All right.
[17:55.000 --> 18:08.000]  Well, that will problem that clip. I guess we'll go back to it in a moment. But that's mainly the extent of it right there.
[18:08.000 --> 18:13.000]  She's saying, oh, I'm going to accept the findings.
[18:13.000 --> 18:19.000]  But she wants to then basically be involved in what goes forward from there.
[18:19.000 --> 18:23.000]  How to spend the findings, how to make sure there's not a prosecution.
[18:23.000 --> 18:26.000]  How to let the Clintons know what's coming down the road.
[18:26.000 --> 18:31.000]  But all of this aside.
[18:31.000 --> 18:34.000]  Think about it.
[18:34.000 --> 18:39.000]  Have you ever seen them in such a panic? Have you ever seen them in such damage control?
[18:39.000 --> 18:46.000]  Have you ever seen them running around scared or have you ever seen them out there pushing harder saying this is no big deal?
[18:46.000 --> 18:54.000]  They're not going to get away with this unless the last time they were behind in an election, 1995.
[18:54.000 --> 18:57.000]  The last time they had a bunch of criminal investigations on them.
[18:57.000 --> 19:00.000]  The last time there were a bunch of state starting investigations on them.
[19:00.000 --> 19:05.000]  A federal building got bombed in Oklahoma City, the Alfred P. Murrow building.
[19:05.000 --> 19:14.000]  And within five minutes, Bill Clinton was on national television saying it was the fault of talk radio conservatives and libertarians.
[19:14.000 --> 19:17.000]  And of course, that was a false flag terror attack.
[19:17.000 --> 19:27.000]  The then deputy attorney general Eric Holder was later implicated bare minimum in the cover up of what really happened there.
[19:27.000 --> 19:31.000]  And most of you, of course, know what that was a bonafide false flag.
[19:31.000 --> 19:43.000]  We even know the names of the ATF, FBI, CIA, Army and German intelligence operatives that were there carrying out the event.
[19:43.000 --> 19:50.000]  And we have all the different eyewitnesses who saw them there in the days before with their federal security badges,
[19:50.000 --> 19:56.000]  doing telephone work in the stairwells with gray sticks of butter.
[19:56.000 --> 20:01.000]  And the cop of the year exposed it and they tortured him to death and then killed him.
[20:01.000 --> 20:07.000]  Hi, this is Ron Paul. I'm a former 22 year congressman and Republican presidential candidate.
[20:07.000 --> 20:10.000]  I'm here to tell you about something that just might save your lives.
[20:10.000 --> 20:15.000]  You never know when there will be another Katrina, an economic collapse or a serious drought.
[20:15.000 --> 20:19.000]  We should all have a little food storage that will carry us through tough times.
[20:19.000 --> 20:21.000]  I'm going to tell you about a great way to do that.
[20:21.000 --> 20:27.000]  A U.S. company named Harvest Right has a kitchen appliance that can help you be prepared.
[20:27.000 --> 20:32.000]  It's a home freeze dryer with the product you can preserve the foods your family loves.
[20:32.000 --> 20:37.000]  And the best part is the food will last 25 years and still taste great.
[20:37.000 --> 20:41.000]  I've tried it and it's amazing. With a home freeze dryer from Harvest Right,
[20:41.000 --> 20:46.000]  you can literally freeze dry anything you eat, even things like ice cream.
[20:46.000 --> 20:55.000]  To learn more, call Harvest Right today at 800-594-4635 or go to harvestright.com.
[20:55.000 --> 21:07.000]  The fest kept secret in the firearms business is cdnsports.com.
[21:07.000 --> 21:11.000]  CDNN Sports is the largest firearms liquidator in the U.S.
[21:11.000 --> 21:16.000]  We've got objects, accessories, gun parts, magazines, ammunition and more.
[21:16.000 --> 21:20.000]  Sign up for our email specials today for the best gun deals period.
[21:20.000 --> 21:27.000]  To win a Winchester 101 field shotgun, go to Charlie Delta November November Sports.com.
[21:27.000 --> 21:51.000]  CDNN Sports.com.
[21:58.000 --> 22:04.000]  Or we wrestle not against flesh and blood, but against principalities,
[22:04.000 --> 22:08.000]  against powers, against the rulers of the darkness of this world.
[22:08.000 --> 22:13.000]  There is a war against Christianity. Fights back with EPH612.com.
[22:13.000 --> 22:16.000]  The only clothing line for strong Christian men of faith.
[22:16.000 --> 22:22.000]  EPH612.com clothing is premium quality, 100% made in the USA and has free shipping on all orders.
[22:22.000 --> 22:25.000]  Wear the brand made for Christian warriors.
[22:25.000 --> 22:30.000]  Visit EPH612.com for truth in Christian clothing.
[22:55.000 --> 23:00.000]  Defendershield.com. The worldwide leader in mobile radiation shielding.
[23:25.000 --> 23:31.000]  Big Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses.
[23:31.000 --> 23:33.000]  All forms of fluoride and much more.
[23:33.000 --> 23:36.000]  Big Berkey water filters are the original and most trusted on the market.
[23:36.000 --> 23:42.000]  The gold standard in water purification and our filters last three years at less than 2 cents per gallon.
[23:42.000 --> 23:46.000]  Big Berkey. The one powerful enough to purify stagnant pond water.
[23:46.000 --> 23:52.000]  Get your Big Berkey today. Call 1-877-99 Berkey or click BigBerkeyWaterFilters.com.
[23:52.000 --> 23:59.000]  That's 1-877-99 BERKEY. Big Berkey water filters for the love of clean water.
[24:23.000 --> 24:28.000]  So here's the headline up on infowars.com to add insult to injury.
[24:28.000 --> 24:37.000]  The press is out there on the tarmac begging to speak to the attorney general who's already embroiled in the cover-up of the Clinton crimes
[24:37.000 --> 24:47.000]  and for years blocking any type of real criminal investigations of e-mail, Fast and Furious, Benghazi, the persecution of Christians, her foundation.
[24:47.000 --> 24:54.000]  I mean, they've got their fingers in all of it. And then, oh, here comes the president, the former president, Bill Clinton,
[24:54.000 --> 25:05.000]  Slick Willie, with his Secret Service detail, in front of the press and the FBI orders local ABC News reporters and others to turn your cameras off.
[25:05.000 --> 25:08.000]  So they're involved in the criminal cover-up.
[25:08.000 --> 25:12.000]  You see how much worse the scandal gets by the moment?
[25:12.000 --> 25:21.000]  The FBI blocked journalists from taking videos and pictures outside the secret airport meeting between former President Bill Clinton attorney general Loretta Lynch.
[25:21.000 --> 25:28.000]  The former president steps into her plane and they speak for 30 minutes privately about Bill Clinton's kids, I bet.
[25:28.000 --> 25:32.000]  ABC 15 reporter Christopher Sein said about the Phoenix meeting.
[25:32.000 --> 25:40.000]  The FBI, they're on the tarmac infrastructure, instructing everybody around, no photos, no pictures, no cell phones.
[25:40.000 --> 25:42.000]  And I love how the press just always follows orders.
[25:42.000 --> 25:49.000]  So governments so disconnected, the last dog media that's allowed in their press corps that gets near the Clintons and the Obamas,
[25:49.000 --> 26:00.000]  and their camp followers like Lynch, are so controlled historically that they all went along with this for a couple days till it finally started breaking.
[26:00.000 --> 26:05.000]  Imagine being, I mean, if I was on the tarmac, of course, they would let me on the tarmac near them.
[26:05.000 --> 26:10.000]  Oh, I get such coverage, I get such accessibility. No, I don't. I have to tow their line.
[26:10.000 --> 26:16.000]  I become nothing but a regurgitator of their baloney. That's a nice word for their BS.
[26:16.000 --> 26:22.000]  So let's go ahead and play that clip. ABC 15 reporter on Bill O'Reilly.
[26:22.000 --> 26:26.000]  I'm surprised old Bill's actually going after Hillary. He's been defending her.
[26:26.000 --> 26:34.000]  But you see, now even when this rat leaves the sinking ship, you know they're in trouble. Here it is.
[26:34.000 --> 26:39.000]  They wait for her to land. She arrives. Some people step off of her plane.
[26:39.000 --> 26:44.000]  The former president steps into her plane. They then speak for 30 minutes privately.
[26:44.000 --> 26:51.000]  The FBI there on the tarmac instructing everybody around, no photos, no pictures, no cell phones.
[26:51.000 --> 26:58.000]  He then gets off the plane, gets on his own plane. He departs. She continues on with her planned visit.
[26:58.000 --> 27:04.000]  Isn't that incredible? Talk about a mafia meeting. She's waiting. His plane lands.
[27:04.000 --> 27:07.000]  Turn the cameras off. All of you shut up. Still so arrogant.
[27:07.000 --> 27:11.000]  They think they're going to have a secret meeting in front of the press corps.
[27:11.000 --> 27:14.000]  Probably 50 plus cameras there. They're reporting. Everyone dutifully.
[27:14.000 --> 27:19.000]  Yes, sir. We're feminists. We're going to do it because she's a woman.
[27:19.000 --> 27:24.000]  And Bill Clinton is so good to women. FBI at Clinton Lynch meeting ordered press blackout.
[27:24.000 --> 27:30.000]  No photos. No video. The video is up on info wars.com of this valiant member of the press.
[27:30.000 --> 27:35.000]  Because notice, you don't see the others talking about this. They know how to keep their mouths shut.
[27:35.000 --> 27:42.000]  Maybe one day they can be on a jet with Bill Clinton. Oh boy, doesn't that just sound horrible?
[27:42.000 --> 27:47.000]  Now let's go back to the clip I played earlier of her at a press conference yesterday.
[27:47.000 --> 27:55.000]  And she says that they just discussed family. And now another statement I saw her say this morning.
[27:55.000 --> 27:59.000]  She goes, oh, we pretty much just talked about that. So we got to find that video.
[27:59.000 --> 28:04.000]  I promise there's just so much of this stuff. Oh, that's pretty much all we talked about.
[28:04.000 --> 28:11.000]  Oh, 30 minutes. Oh, let's talk about Chelsea. Let's talk about all this baloney.
[28:11.000 --> 28:18.000]  Oh, sure. You just had this meeting and said turn the cameras off because no, everybody knew this was an outrageous,
[28:18.000 --> 28:22.000]  horrible criminal meeting, that it was illegal, that she should recuse herself,
[28:22.000 --> 28:25.000]  that she's been covering up and obstructing justice the whole time.
[28:25.000 --> 28:30.000]  And they thought they could get away with it because all these sycophants sit there and follow their orders.
[28:30.000 --> 28:34.000]  But somebody didn't in the FBI. Somebody didn't in the press corps.
[28:34.000 --> 28:42.000]  Traders to the tyranny. Traders to the enemies that have taken the nation. Real patriots are starting to speak out and take action.
[28:42.000 --> 28:45.000]  And Donald Trump says he's flabbergasted. That clip's coming up after the break.
[28:45.000 --> 28:50.000]  But first, let's go ahead and go to that clip from her at the press conference.
[28:50.000 --> 28:59.000]  What's it appropriate for you to meet with me for President Clinton while your agency is in the middle of an investigation of his wife's email service?
[28:59.000 --> 29:04.000]  Well, I did see the president at the Phoenix airport the other night as I was landing. He was headed out.
[29:04.000 --> 29:12.000]  He did come over and say hello and speak to my husband and myself and talk about his grandchildren and his travels and things like that.
[29:12.000 --> 29:16.000]  So that was the extent of that. And no discussions were held in any cases or anything of that.
[29:16.000 --> 29:17.000]  She is so guilty.
[29:17.000 --> 29:19.000]  I didn't raise anything about that either.
[29:19.000 --> 29:24.000]  Oh, she just saw him. She just ran into him. She's just there waiting on her plane. Here comes his plane.
[29:24.000 --> 29:29.000]  So that story is conflicting right there. It doesn't matter. It's illegal, period.
[29:29.000 --> 29:35.000]  The press will try to divert off into some little side issue of this. It's illegal. It's arrogant.
[29:35.000 --> 29:41.000]  And it's always hubris that is the downfall of these criminals. Will they now fall?
[29:41.000 --> 29:46.000]  Let's pray for it because they need to be brought to justice and all their criminal minions do as well.
[29:46.000 --> 29:50.000]  Because if she gets in, she's never going to let America get back up. It's her job to bring us down.
[29:50.000 --> 29:54.000]  We're on the march. The Empire's on the run.
[29:54.000 --> 30:20.000]  Alex Jones and the GCN Radio Network.
[30:24.000 --> 30:27.000]  As well as neutron bombs and brain chip mobilized flashmob.
[30:27.000 --> 30:32.000]  The report even predicted the politically correct invasion of trickily puffed social justice warriors
[30:32.000 --> 30:36.000]  whose ranks will be filled by the socialist spewing spoiled children of a once prosperous middle class.
[30:36.000 --> 30:42.000]  Finally, compact, increasingly cramped cities and booming third world populations would lead to increased migration,
[30:42.000 --> 30:48.000]  massive food riots, and spread of the radical political Islamic concept of UMA, which is the global Islamic community.
[30:48.000 --> 30:52.000]  Food riots are now cropping up across the world in places like Venezuela and Greece.
[30:52.000 --> 30:54.000]  Are you prepared for widespread food riots?
[30:54.000 --> 30:58.000]  Go to Infowars.com and stock up on Infowars Select's storeable foods right now.
[30:58.000 --> 31:23.000]  InfowarsStore.com, Rob Dew reporting.
[31:29.000 --> 31:55.000]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[31:55.000 --> 32:01.000]  Go to InfowarsStore.com, or call 888-253-3139.
[32:01.000 --> 32:05.000]  Introducing vitamin mineral fusion from InfowarsLife.com.
[32:05.000 --> 32:13.000]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great tasting multivitamin formula available.
[32:13.000 --> 32:24.000]  The all new vitamin mineral fusion drink mix at InfowarsLife.com is loaded with a full month supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[32:24.000 --> 32:32.000]  In the history of InfowarsLife, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[32:32.000 --> 32:42.000]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[32:42.000 --> 32:46.000]  This formula is the platinum standard of multivitamin mineral products.
[32:46.000 --> 32:53.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[32:53.000 --> 32:56.000]  And that means it's clean, that means it's pure.
[32:56.000 --> 32:59.000]  That's InfowarsLife.com and vitamin mineral fusion.
[32:59.000 --> 33:28.000]  Take action now before we sell out.
[33:29.000 --> 33:52.000]  I am so excited, so upset, so awake by how epic the events are that I'm actually sweating on air today and the air conditioner is not broken.
[33:52.000 --> 34:00.000]  A few days ago it was not working well and I was sweating. It's like 70 degrees in here and I'm actually sweating on air.
[34:00.000 --> 34:06.000]  My heart is actually beating fast because I realize we've got all these powerful forces trying to control the United States.
[34:06.000 --> 34:11.000]  I realize that Hillary Clinton is an admitted communist Chinese agent that's sold out our country.
[34:11.000 --> 34:14.000]  I know the Clintons of Engage and so many amazing crimes.
[34:14.000 --> 34:23.000]  And that if she gets into office, she's going for broke. Her attorney general has said she wants to restrict free speech in the Second Amendment.
[34:23.000 --> 34:31.000]  They are openly training the military to confiscate guns and to mask control and blockade cities.
[34:31.000 --> 34:38.000]  We've got Dr. Group coming in with mainstream news and also his sources and my sources documenting that a little bit later in the broadcast.
[34:38.000 --> 34:46.000]  They are going for broke. Absolute broke and this has captured the public's attention.
[34:46.000 --> 34:53.000]  Everyone sees how incredibly obvious this is that she's been controlling the investigations along with her predecessor.
[34:53.000 --> 35:02.000]  Holder and even Democrats are saying this is horrible. This is out of control and it's like a James Bond movie where you get the villains.
