[00:00:01.350 --> 00:00:03.072]  News moves fast here.
[00:01:59.095 --> 00:01:59.495]  Why?
[00:01:59.495 --> 00:01:59.635]  Why?
[00:01:59.635 --> 00:01:59.955]  Why?
[00:02:01.036 --> 00:02:10.780]  And instead of ever focusing on the implosion of the buildings, instead of ever focusing on any of the hard things that will bring the New World Order down, it's always Pentagon, Pentagon, Pentagon, Pentagon.
[00:02:10.780 --> 00:02:13.442]  I mean, I could have made a video about the Pentagon and sold a million copies, folks.
[00:02:13.442 --> 00:02:13.802]  I didn't.
[00:02:13.802 --> 00:02:16.843]  And I don't know what happened at the Pentagon.
[00:02:16.843 --> 00:02:19.944]  What else did they say?
[00:02:19.944 --> 00:02:25.707]  They had mentioned the fact that the Massawi trial was holding up the release of the video, I believe.
[00:02:28.848 --> 00:02:29.808]  That's pure bull!
[00:02:29.808 --> 00:02:31.408]  Why would that hold it up?
[00:02:31.408 --> 00:02:31.868]  I don't know.
[00:02:31.868 --> 00:02:34.449]  I mean, it is a 14 to 16 foot hole.
[00:02:34.449 --> 00:02:36.469]  It is true the whole thing stinks to high heaven.
[00:02:36.469 --> 00:02:39.730]  It is true that it shot through three rings of the Pentagon.
[00:02:39.730 --> 00:02:40.850]  Planes don't do that.
[00:02:40.850 --> 00:02:47.552]  This whole thing, it's an enigma wrapped in a mystery by design.
[00:02:47.552 --> 00:02:50.273]  I'm telling you, there's something going on here.
[00:02:50.273 --> 00:02:51.673]  I absolutely agree with you, Alex.
[00:02:53.151 --> 00:02:57.173]  Looking forward to everybody's commentary on it as the story unfolds.
[00:02:57.173 --> 00:02:58.134]  How many feet of it?
[00:02:58.134 --> 00:03:05.237]  I mean, what is it, 12 feet plus of reinforced steel concrete that the plane supposedly shot through?
[00:03:05.237 --> 00:03:06.398]  That's correct.
[00:03:06.398 --> 00:03:10.680]  Blowing a 14 foot hole on one side, a 16 on the other?
[00:03:10.680 --> 00:03:19.184]  I mean, it is ridiculous, but at the same time, the media has always given attention to this debate and not all the others that are ironclad.
[00:03:19.184 --> 00:03:20.125]  What do you think is going on?
[00:03:21.610 --> 00:03:30.055]  Yeah, I'm pretty in line with your analysis initially here, but at least it's something.
[00:03:30.055 --> 00:03:35.838]  Some of the video experts out there will maybe be able to go through it and pick through it, and it's something.
[00:03:35.838 --> 00:03:37.819]  I know where you're coming from.
[00:03:37.819 --> 00:03:43.062]  Well, the first frames they released, the five frames from the Pentagon, I mean, what is that?
[00:03:43.062 --> 00:03:44.603]  It's a little white blur.
[00:03:44.603 --> 00:03:47.224]  Yeah, we don't see anything.
[00:03:47.224 --> 00:03:49.926]  It's like they've released stuff to make us discuss it.
[00:03:51.162 --> 00:03:53.284]  I mean, to make themselves look stupid.
[00:03:53.284 --> 00:03:57.427]  Well, it could be a diversion like everything else is these days, so.
[00:03:57.427 --> 00:03:59.389]  But I just thought I'd call in and let you know, Alex.
[00:03:59.389 --> 00:04:01.351]  Keep up the good work and I'll be listening in.
[00:04:01.351 --> 00:04:02.512]  Thank you.
[00:04:02.512 --> 00:04:06.135]  Yeah, we're going to get Paul Watson and everybody on this right now.
[00:04:06.135 --> 00:04:07.596]  This is the Zeitgeist.
[00:04:07.596 --> 00:04:09.438]  We're going to really be covering it.
[00:04:09.438 --> 00:04:16.384]  We'll get into all the immigration situations as well as the broadcast the next two and a half hours and one minute to be precise.
[00:04:17.344 --> 00:04:18.024]  elapses.
[00:04:18.024 --> 00:04:20.125]  We will be going through all of it for you.
[00:04:20.125 --> 00:04:21.425]  Again, I'm Alex Jones.
[00:04:21.425 --> 00:04:22.726]  This is Genesis Communications.
[00:04:22.726 --> 00:04:26.587]  Continual coverage of the New World Order crime syndicates attack on the U.S.
[00:04:26.587 --> 00:04:29.067]  from a hundred thousand different angles.
[00:04:29.067 --> 00:04:38.470]  The toll-free number to join us if you saw the CNN piece and want to comment on it is 1-800-259-9231.
[00:04:38.470 --> 00:04:38.710]  800-259-9231.
[00:04:38.710 --> 00:04:45.852]  Your take on the Waffle House racial drive-by shooting attack by Larry Concustas last night in North Carolina and Asheville.
[00:04:47.285 --> 00:04:54.513]  We'll also have two border sheriffs coming on, two great Americans coming on, and Congressman Bonilla as well.
[00:04:54.513 --> 00:04:57.195]  And we've got a lot of other news that's breaking and developing here.
[00:04:57.195 --> 00:05:00.158]  We have the latest hoax for the second time in a year.
[00:05:00.158 --> 00:05:04.262]  People claiming that Grove had been indicted with absolutely no evidence of it.
[00:05:04.262 --> 00:05:06.785]  And we shied away from this over the weekend and today.
[00:05:07.757 --> 00:05:12.060]  Because again, we don't want visitors to our sites out of hype and hoaxes.
[00:05:12.060 --> 00:05:19.226]  We want visitors to InfoWars.com and PrisonPlanet.com with real analysis and real information you can trust that's been vetted.
[00:05:19.226 --> 00:05:21.468]  And even then we still make mistakes, but we try our best.
[00:05:21.468 --> 00:05:25.491]  But I will now comment on the hoax, now that it's been shown to be a hoax.
[00:05:25.491 --> 00:05:31.655]  I'm not saying he's not going to be indicted, but this whole thing stinks of rogue, putting out disinfo to then discredit.
[00:05:31.655 --> 00:05:33.397]  So kind of a reverse playback of a
[00:05:34.455 --> 00:05:36.396]  Of a crying wolf scenario.
[00:05:36.396 --> 00:05:43.561]  It's a psychological warfare tactic we've seen from this current crop of boobies running things.
[00:05:43.561 --> 00:05:44.942]  Boobies or pirates, folks?
[00:05:44.942 --> 00:05:47.523]  We'll be right back.
[00:05:47.523 --> 00:05:48.924]  We're on the march.
[00:05:48.924 --> 00:05:51.446]  The Empire's on the run.
[00:05:51.446 --> 00:05:54.148]  Alex Jones and the GCN Radio Network.
[00:05:57.150 --> 00:06:03.912]  Why continue to suffer from pain, illness, and disease when natural health and wellness therapies are within your reach?
[00:06:03.912 --> 00:06:08.913]  Hundreds of people report improved health and wellness using Rife frequency technology.
[00:06:08.913 --> 00:06:16.856]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms could be destroyed using resonant frequencies.
[00:06:16.856 --> 00:06:23.918]  The BioSolutions frequency instrument uses this same technology for relief or elimination of pain and disease conditions.
[00:06:23.918 --> 00:06:25.298]  There are no side effects!
[00:06:25.638 --> 00:06:29.562]  Join others in discovering a return to natural health and wellness.
[00:06:29.562 --> 00:06:36.889]  BioSolutions has over 550 programmed auto sequences for various health conditions and is very easy to use.
[00:06:36.889 --> 00:06:40.293]  Customer satisfaction is guaranteed or your money back.
[00:06:40.293 --> 00:06:43.096]  Ask about our spring special now in progress.
[00:06:43.096 --> 00:06:45.998]  For more information call BioSolutions toll free at 866-885-6625.
[00:06:49.722 --> 00:06:52.963]  That's 866-885-6625.
[00:06:52.963 --> 00:06:57.265]  Once again, that's 866-885-6625.
[00:06:57.265 --> 00:07:03.647]  The illuminated Berkey Base allows most gravity filters to be used in the center of a table by raising the spigot level.
[00:07:03.647 --> 00:07:10.089]  Made of durable Lexan polymer, the same material used for bulletproof glass, it has 8 LED lamps.
[00:07:10.089 --> 00:07:18.452]  Incredibly, the low-energy LEDs will last for more than 11 years of continuous use and are bright enough to be spotted for over a mile in the dark.
[00:07:18.752 --> 00:07:26.098]  The LED lamps are powered by an AC adapter, and during emergencies, the rechargeable batteries will operate them all night long.
[00:07:26.098 --> 00:07:31.142]  When the LEDs are switched off, the AC adapter automatically recharges the batteries.
[00:07:31.142 --> 00:07:36.887]  The Berkey Base is available in gorgeous cobalt blue or practical bright white LEDs.
[00:07:36.887 --> 00:07:39.909]  Ideal as an emergency light, flashlight, or nightlight.
[00:07:40.269 --> 00:07:48.272]  Get the Illuminated Berkey Bass for only $69 or get both white and blue for only $125 by calling New Millennium at 888-803-4438.
[00:07:48.272 --> 00:07:48.852]  That's toll free, 888-803-4438.
[00:07:57.722 --> 00:08:01.103]  We understand that decisions related to health can be overwhelming.
[00:08:01.103 --> 00:08:08.344]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[00:08:08.344 --> 00:08:22.006]  For example, did you know that LIV52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[00:08:22.006 --> 00:08:25.407]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[00:08:26.187 --> 00:08:34.749]  Including those for cholesterol, blood pressure, diabetes, arthritis, cirrhosis, and hepatitis, among others, is extremely well documented.
[00:08:34.749 --> 00:08:42.011]  Our website, researchedherbs.com, was created to empower you with the information and answers you need to make the right health decisions.
[00:08:42.011 --> 00:08:44.531]  Researched and proven herbs at great prices.
[00:08:44.531 --> 00:08:47.912]  Visit us online at researchedherbs.com or call 1-800-845-3841 for more information.
[00:08:47.912 --> 00:08:48.152]  That's 1-800-845-3841.
[00:09:06.100 --> 00:09:16.509]  Alright, massive war room coverage for you right now.
[00:09:16.509 --> 00:09:21.053]  They are scheduled in 30 minutes nationwide.
[00:09:21.053 --> 00:09:21.893]  This is the report.
[00:09:21.893 --> 00:09:32.562]  This is what they're saying on CNN and elsewhere to play new Pentagon video of a supposed passenger jetliner smashing into the Pentagon.
[00:09:34.111 --> 00:09:37.937]  Matt, Sherry, Terry, Bill, Mark and others, your calls are coming up.
[00:09:37.937 --> 00:09:45.067]  We've also got border sheriffs coming on, but I'm probably going to limit those down to about 10 minutes apiece, even with Congressman Bonilla in the next hour.
[00:09:45.067 --> 00:09:46.609]  We have illegal aliens shooting up.
[00:09:47.299 --> 00:09:51.682]  It looks like illegal aliens are their supporters, shooting up this Waffle House, injuring people.
[00:09:51.682 --> 00:09:53.984]  The media is spinning it as if it's nothing.
[00:09:53.984 --> 00:09:55.645]  We have Bush's propaganda speech.
[00:09:55.645 --> 00:09:58.127]  His proposal is total blank and amnesty.
[00:09:58.127 --> 00:10:03.510]  Merge with a few troops on the border for a month or two, just as an emotional sab.
[00:10:03.510 --> 00:10:09.775]  He's merging something very popular with something very unpopular to try to fool people.
[00:10:09.775 --> 00:10:15.639]  We'll be covering all that, but let me give you analysis right now of the Pentagon strike, of what happened at the Pentagon.
[00:10:16.886 --> 00:10:19.748]  Let me tell you why I've shied away from it.
[00:10:19.748 --> 00:10:22.650]  Let me tell you why I haven't covered it in great detail.
[00:10:22.650 --> 00:10:25.212]  We have had guests on, we've let you hear their views.
[00:10:25.212 --> 00:10:30.595]  I've said that I'm not angry at anyone that's made films about the Pentagon being hit.
[00:10:30.595 --> 00:10:34.538]  I even carry films that ask important questions.
[00:10:34.538 --> 00:10:45.125]  But I've always said, and Michael Rivero has said on this broadcast, that we believe there is a very strong chance that this is a setup.
[00:10:47.216 --> 00:11:12.092]  And I have even predicted, because I know the enemy's tactics, their operations, their psychological warfare program from watching it for so long, that first they release, first they go and they grab the video at the hotel across the street, the federal and state highway cameras, the hundreds of camera discs from the computers that the footage was recorded on from the Pentagon, which itself is extremely suspicious for almost five years
[00:11:13.431 --> 00:11:15.112]  Hiding that footage.
[00:11:15.112 --> 00:11:26.657]  Shades of Oklahoma City, where they had 12 different surveillance tapes, grabbed them when police and the FBI even said in the LA Times, they watched the video, it showed McVeigh with Arabs getting on the Ryder truck.
[00:11:26.657 --> 00:11:28.138]  We know those Arabs worked for the U.S.
[00:11:28.138 --> 00:11:29.758]  government, had been brought in by Bush Sr.
[00:11:29.758 --> 00:11:32.079]  and Clinton, former Republican Guard.
[00:11:32.079 --> 00:11:34.580]  Why wouldn't they use that in the trial to convict McVeigh?
[00:11:34.580 --> 00:11:35.821]  Why wouldn't they show that video?
[00:11:38.174 --> 00:11:40.997]  So, very, very suspicious.
[00:11:40.997 --> 00:11:55.609]  And then I noticed that the national media, and this is key, this is absolutely seminal, this is paramount, would give unbelievable coverage to Pentagon strike deniers, for people that denied a plane hit it.
[00:11:55.609 --> 00:12:01.534]  They would constantly cover it, they would constantly debunk it, with shoddy attacks.
[00:12:02.927 --> 00:12:09.873]  And they would give attention to it while ignoring, predominantly, the evidence of controlled demolitions of Tower 1, 2, and 7.
[00:12:09.873 --> 00:12:16.478]  While ignoring, even when Rumsfeld slipped up twice and said they shot down Flight 93 with a missile.
[00:12:16.478 --> 00:12:17.539]  They ignored all of that.
[00:12:17.539 --> 00:12:20.461]  Then Rumsfeld twice said a missile hit the Pentagon.
[00:12:20.461 --> 00:12:22.703]  Almost like he was putting that out on purpose.
[00:12:25.382 --> 00:12:28.585]  We had all these witnesses saying there was no debris at the Pentagon.
[00:12:28.585 --> 00:12:31.087]  Even CNN reporters saying no one saw a plane.
[00:12:31.087 --> 00:12:40.275]  Then others saying they saw big planes, passenger planes, military planes, small planes, cruise missiles, drones.
[00:12:40.275 --> 00:12:46.120]  We have this whole cornucopia, this plethora, this buffet, this smoke screen.
[00:12:46.120 --> 00:12:53.526]  It looked to me like a classic intelligence operation where they have all these other attacks going on that are government controlled.
[00:12:54.381 --> 00:13:11.931]  And then in the midst of it, you've got this one event with all of these traps laid out, all these juicy traps laid out, the grabbing of the film footage, the telling people to shut up, the lack of debris, and then focusing on that and making that the big debate about 9-11.
[00:13:11.931 --> 00:13:17.294]  Their psychological warfare crews, their war gamers, knew there'd be a 9-11 truth movement.
[00:13:17.294 --> 00:13:19.135]  I don't think they thought it would be this big.
[00:13:20.487 --> 00:13:22.475]  And they were keeping this as an ace in the hole.
[00:13:22.475 --> 00:13:24.241]  They've got several other aces in the holes.
[00:13:25.769 --> 00:13:37.392]  So they could then make this be the predominant debate, and then try to crush our movement at a pivotal time, whether it be real footage of a plane hitting the Pentagon, or manufactured computer generations.
[00:13:37.392 --> 00:13:54.336]  And I have even predicted that they would bring out one video that was foggy, I understand their operations, then another video that was a little bit clearer, heighten the debate for maybe another six months, another year, and then bring out crystal clear video, whether it's real or not,
[00:13:55.036 --> 00:14:08.179]  The reason they have to blur these is because when they're fake, if it's real video, special effects experts and others can go in and clearly discern if it's a fake or not.
[00:14:08.179 --> 00:14:11.900]  But if they blur it, you really can't.
[00:14:11.900 --> 00:14:18.401]  So, we're being told it's going to be some new blurry video, but a lot clearer than the five frames from the Pentagon.
[00:14:20.795 --> 00:14:25.193]  And then they will descend on the entire 9-11 truth movement with straw men.
[00:14:26.425 --> 00:14:31.609]  And attack those of us that have never even really focused on the Pentagon.
[00:14:31.609 --> 00:14:33.051]  Now, I've had guests on.
[00:14:33.051 --> 00:14:55.069]  Again, I have said I don't know what happened, and I've been attacked viciously and wrongly by some people in this 9-11 Truth Movement for not fully embracing the Pentagon strike, the alternative hypothesis that a plane did not hit it, that it was a missile, or a missile and explosives, or a drone, or an A-10 Sky Warrior, or whatever it is.
[00:14:56.161 --> 00:15:01.264]  I have always said that my instincts, my analysis, see I pull in thousands of points.
[00:15:01.264 --> 00:15:02.125]  I integrate.
[00:15:02.125 --> 00:15:03.946]  I think about it for hours every night.
[00:15:03.946 --> 00:15:06.167]  I focus on it.
[00:15:06.167 --> 00:15:07.068]  I research it.
[00:15:07.068 --> 00:15:09.149]  I let it permeate my brain.
[00:15:09.149 --> 00:15:11.190]  This is what people in intelligence do.
[00:15:11.190 --> 00:15:14.212]  And I am the organic response to the New World Order's operations.
[00:15:14.212 --> 00:15:15.613]  This is what intelligence analysts do.
[00:15:16.133 --> 00:15:17.093]  And I'm not tooting my horn.
[00:15:17.093 --> 00:15:22.595]  We've had a lot of intelligence analysts on who have said that I've been pretty darn good in the past of engaging in analysis.
[00:15:22.595 --> 00:15:23.835]  And history shows that.
[00:15:23.835 --> 00:15:34.437]  I had enough indicators and enough key information to clearly know that they were about to attack the World Trade Centers and that Bin Laden, their asset, would take the blame and take the fall.
[00:15:34.437 --> 00:15:36.418]  I never made a prediction before or after
[00:15:37.666 --> 00:15:45.170]  That precise, and I said specifically call the White House and tell them don't attack the World Trade Center and don't try to blame Bin Laden.
[00:15:45.170 --> 00:15:46.370]  How did I do that?
[00:15:46.370 --> 00:15:56.555]  It was the full spectrum data analysis, deep, deep focus, deep, deep, deep research, deep, deep, deep.
[00:15:56.555 --> 00:16:01.037]  And once you get to this point, once you live this, once you're immersed in this,
[00:16:01.912 --> 00:16:07.336]  It totally takes over your life if you've got the brain to do it, if you've got the background, if you've got the history.
[00:16:07.336 --> 00:16:11.300]  Many of us have this innate discernment, this intelligence.
[00:16:11.300 --> 00:16:23.309]  Again, this is something all of us can do if we learn to identify false information and if we learn to filter out information when we cannot confirm that it is factual.
[00:16:23.309 --> 00:16:26.652]  You see, I automatically filter something out if I can't prove it.
[00:16:27.936 --> 00:16:44.362]  So, we have researched this, we have looked at it in as great a depth as you can get, and I have put forward the statement that I believe that they are going to let this debate get to full scale, and then harvest it with fake or real video.
[00:16:44.362 --> 00:16:48.924]  Again, I've said I don't know what happened at the Pentagon, but that it is very suspicious.
[00:16:48.924 --> 00:16:55.326]  I mean, grabbing all the film footage, telling people to shut up, all these different conflicting stories, CNN reporters coming out,
[00:16:56.736 --> 00:17:01.177]  And saying that, you know, no one saw a plane, there's no wreckage.
[00:17:01.177 --> 00:17:09.239]  All of this just were the equivalent of like T-bone steaks filled with cyanide for the Patriot Truth 9-11 movement.
[00:17:09.239 --> 00:17:10.959]  All of this just laid out for us.
[00:17:10.959 --> 00:17:18.981]  And I remember four years ago, I was starting Masters of Terror to make that film, my second 9-11 film.
[00:17:18.981 --> 00:17:22.782]  I'd made Road to Tyranny just four months after 9-11.
[00:17:22.782 --> 00:17:26.023]  And still one of the best films out there, many critics have stated.
[00:17:26.906 --> 00:17:29.107]  You can find that all over the net.
[00:17:29.107 --> 00:17:30.828]  And I remember having discussions.
[00:17:30.828 --> 00:17:32.088]  I remember it with my colleagues.
[00:17:32.088 --> 00:17:33.109]  I remember really focusing.
[00:17:33.109 --> 00:17:38.652]  And I just said, man, my gut tells me don't touch it with a 10-foot pole.
[00:17:38.652 --> 00:17:41.373]  That doesn't mean that the people saying a missile hit it are wrong.
[00:17:42.088 --> 00:17:48.131]  That doesn't mean that there wasn't a flash and wasn't a pod.
[00:17:48.131 --> 00:17:51.073]  It just means that I had so much other evidence.
[00:17:51.073 --> 00:17:52.914]  Public officials warned not to fly.
[00:17:52.914 --> 00:17:55.235]  NORAD standing down.
[00:17:55.235 --> 00:17:59.958]  The CIA drills of hijacked jets hitting the exact same targets, exact same times.
[00:17:59.958 --> 00:18:01.658]  Tripod 2 exercise.
[00:18:01.658 --> 00:18:03.639]  We believe the attacks were run on a Building 7.
[00:18:03.639 --> 00:18:04.860]  All the evidence shows that.
[00:18:04.860 --> 00:18:06.441]  Where the CIA and others were based.
[00:18:07.071 --> 00:18:09.572]  And we have hundreds of points that integrate towards that being 95%.
[00:18:09.572 --> 00:18:14.815]  In fact, we can pretty much guarantee it, but we cannot finally prove it.
[00:18:14.815 --> 00:18:19.578]  My gut tells me on top of it, that's the coup de grace, that we know it's an inside job run from that.
[00:18:19.578 --> 00:18:22.019]  We even know what floor.
[00:18:22.019 --> 00:18:24.760]  We have CIA controlling Bin Laden.
[00:18:24.760 --> 00:18:25.581]  We have the U.S.
[00:18:25.581 --> 00:18:27.622]  troops massacred in Tajikistan and Uzbekistan.
[00:18:27.622 --> 00:18:29.703]  Bush with a launch order on his desk two days before.
[00:18:30.959 --> 00:18:33.542]  We have Operation Northwoods and all the official U.S.
[00:18:33.542 --> 00:18:38.887]  government documents planning 9-11 style attacks on America as a pretext for global domination.
[00:18:38.887 --> 00:18:42.852]  We have the PNAC document saying the same thing about a helpful Pearl Harbor event.
[00:18:42.852 --> 00:18:46.696]  We have FBI informants and agents living with many of the hijackers.
[00:18:46.696 --> 00:18:47.376]  The key!
[00:18:47.376 --> 00:18:48.077]  The key!
[00:18:48.077 --> 00:18:48.878]  The key!
[00:18:48.878 --> 00:18:49.399]  The key!
[00:18:49.399 --> 00:18:50.440]  The key!
[00:18:50.440 --> 00:18:51.200]  The key!
[00:18:51.200 --> 00:18:51.721]  The key!
[00:18:51.721 --> 00:18:52.602]  You understand me?
[00:18:52.602 --> 00:18:53.102]  The key!
[00:18:53.963 --> 00:19:00.870]  Is that we have embassy heads saying they knew they were terrorists on terrorist watch list and were told let Ada and others into the U.S.
[00:19:00.870 --> 00:19:04.934]  They're high-level government operatives in anti-terror operations.
[00:19:04.934 --> 00:19:09.779]  And then we see them at Pensacola Naval Air Station training, MSNBC, Pensacola News Journal.
[00:19:09.779 --> 00:19:17.266]  Then we have the head of the Defense Language School, the Dean, the Colonel, going public in the San Jose Mercury News saying Bush did it.
[00:19:17.666 --> 00:19:27.789]  And then they have the quotes, and I call him up and talk to him at his home, and he's been threatened and shut up, but it's on the record that he was forced to train at least four of the hijackers in high-level spy training!
[00:19:27.789 --> 00:19:34.531]  I mean, we've got these people in triplicate from embassies and Air Force bases and defense language schools!
[00:19:34.531 --> 00:19:39.974]  They were drones, they were decoys, they were on those planes thinking they were taking part in drills.
[00:19:39.974 --> 00:19:40.315]  Just like the
[00:20:00.774 --> 00:20:08.536]  Delta Force and Navy SEALs practice taking over planes, seeing if they can get through security, just like they practice taking over embassies.
[00:20:08.536 --> 00:20:16.177]  It's the exact same thing, and we know what happened, but so many of us don't want to focus in on what we can prove.
[00:20:16.177 --> 00:20:30.120]  We want to focus in on all the fancy schmancy stuff, the sexy stuff, the mysteries, the things that grab people's attention, and the New World Order dulled the bait out for us, just like little breadcrumbs leading us into the mouth of hell.
[00:20:33.644 --> 00:20:35.126]  Alright, I'm really preaching right now.
[00:20:35.126 --> 00:20:37.248]  I'm just so angry.
[00:20:37.248 --> 00:20:39.470]  And I'm so sick of seeing their programs.
[00:20:39.470 --> 00:20:41.112]  I'm so sick of seeing their plans.
[00:20:41.112 --> 00:20:43.454]  I'm so sick of seeing them carry them off.
[00:20:43.454 --> 00:20:46.017]  I'm so sick of them manipulating us.
[00:20:46.017 --> 00:20:49.640]  And you watch, this is only going to intensify the debate now about 9-11.
[00:20:51.445 --> 00:20:59.688]  It's going to make the total focus be the Pentagon, not all the other evidence, Larry Silverstein saying he blew up Building 7, all of it.
[00:20:59.688 --> 00:21:14.792]  That'll all be ignored, and we'll have an even bigger debate for the next six months to a year, and within that time frame, six months to a year, you will see crystal clear video brought forward, and it will be devastating to the 9-11 Truth Movement.
[00:21:14.792 --> 00:21:16.933]  Unless we get ahead of this right now,
[00:21:17.694 --> 00:21:43.850]  Unless the report I put out in the next two hours on PrisonPlanet.com and InfoWars.com, if you get the report of the analysis you just heard that will be cogently written down and prepared with documents, and if you make it the number one story on the web, if you email it out to everybody in every talk show station and every newspaper and everybody so they can see what's happening, then this will be a major victory for the New World Order!
[00:21:46.275 --> 00:21:49.566]  Now it is that simple.
[00:21:49.566 --> 00:21:51.493]  The ball is in your court.
[00:21:55.320 --> 00:22:14.254]  Paul Watson listening, make sure when you put the article together you point out how they were government agents, you point out the key points, the controlled demolition, Silverstein saying you blew it up, all the stuff that's concrete, incontrovertible, must be in there in the article, then we must state how they set this whole thing up from the start, and we're not saying people who say a missile hit the Pentagon are wrong!
[00:22:14.254 --> 00:22:24.041]  We're saying that it was a setup from the start, and Michael Rivero, who's been doing this even longer than I have, has said the exact same thing on his radio show,
[00:22:25.536 --> 00:22:36.122]  On this radio show and on his website, and when we've had Michael on here, he's talked about how he's been attacked for saying this because he saw a setup coming from a mile away.
[00:22:36.122 --> 00:22:47.809]  Now I don't go as far as Rivero saying that I'm absolutely sure that it was a plane, because the evidence is unbelievable, but I know it was designed to get us sucked into it.
[00:22:47.809 --> 00:22:49.951]  Mark in North Carolina, you're on the air, go ahead.
[00:22:49.951 --> 00:22:52.132]  Hello Mark.
[00:22:53.360 --> 00:22:54.080]  Matt, excuse me.
[00:22:54.080 --> 00:22:55.041]  Go ahead, Matt.
[00:22:55.041 --> 00:22:56.121]  Yeah, Alex.
[00:22:56.121 --> 00:23:00.883]  I think the elite's really panicking with this Pentagon thing, because too many people are waking up.
[00:23:00.883 --> 00:23:01.644]  But it's not going to work.
[00:23:01.644 --> 00:23:02.944]  There's too much evidence out there.
[00:23:02.944 --> 00:23:09.267]  It's not going to shoot down the I Live in Truth movement by a long shot, because there's too many other issues, like the explosion of the towers and all that.
[00:23:09.267 --> 00:23:16.570]  But I've got to know... But you see, if they give it massive wall-to-wall coverage, which they're about to do, it will make it the centerpiece.
[00:23:16.570 --> 00:23:21.532]  And five years from now, in a camp, we'll have people walk up to us and say, it never happened.
[00:23:21.532 --> 00:23:22.413]  I saw the video.
[00:23:22.993 --> 00:23:28.739]  We've got to also, Paul Watson, in the article you're doing right now, put in there, you know, I mean, who piloted the plane?
[00:23:28.739 --> 00:23:29.800]  Forrest Gump?
[00:23:29.800 --> 00:23:34.345]  We can show how they have video computer systems that can fake anything.
[00:23:34.345 --> 00:23:35.326]  Go ahead, sorry.
[00:23:35.326 --> 00:23:36.748]  Yeah, I got a question for you.
[00:23:36.748 --> 00:23:40.552]  Just about 9-11, I know Rivera actually talked about this a lot.
[00:23:41.593 --> 00:23:47.356]  You know, we know about the five dancing Israelis that were there, the Film of the World Trade Center, and then we got 200 Israeli spies.
[00:23:47.356 --> 00:23:49.497]  These were reported on in the country around 9-11.
[00:23:49.497 --> 00:23:54.179]  Many of them had explosive traces in their vehicle and plans of nuclear power plants and oil pipelines.
[00:23:54.179 --> 00:23:55.759]  Yeah, that's mainstream news.
[00:23:55.759 --> 00:23:56.720]  They call them all over the country.
[00:23:57.589 --> 00:24:05.914]  And also, here's where I'm really getting to, is that we know that the Israeli spies were actually trailing or living in the same locations as many of the named Arab hijackers.
