[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[07:45.200 --> 08:05.200]  Office of Strategic Services was to begin the CIA and 47 the CIA is a British brainchild not taking over the US but basically transferring the baton for the British Empire to the United States in a deal that was in Churchill
[08:05.200 --> 08:27.200]  before was ever even Prime Minister combined because he was half American half Brit which meant all Brit but it doesn't really matter does it so that was the ethos of that system but then the Nazis the 34,000 were brought here the 10,000 were brought to Russia
[08:27.200 --> 08:43.200]  they had all of the advanced technology jet airplanes atomic weapons it all came out of Germany everything we had a Manhattan project was smuggled out and built out in Nevada and in Mexico that's on record by the way none of this is like conspiracy this is all public
[08:43.200 --> 08:59.200]  the US and England England mainly was sitting at SAS Suicide Squad these things about special forces the military that just means your IQ is above 70 now and you've got more elite groups they're actually special forces nothing to say by the military
[08:59.200 --> 09:19.200]  they said in British teams famously that blew up underground mountain bunkers and blew up ships or carrying heavy water for reactors just and most people died but these were suicide missions so true classic British daring to do that
[09:19.200 --> 09:35.200]  so that Hitler didn't get atomic weapons before the United States and the Manhattan Project you'll come into fruition but but here's here's here's one way to get you here I want to say it upfront which is now the end and it's this
[09:35.200 --> 09:53.200]  we think about how the Democrats when Hillary lost were able to keep control of most of the government and have stayed behind embedded networks that fought against the president and fought against the country restoring its sovereignty out of global government to our own country
[09:53.200 --> 10:08.200]  and that was just a loose-knit group of con artists and scammers that got control of the government who thought they owned the nation and we still two years later have it dug them all out imagine the Nazis endless energy
[10:08.200 --> 10:24.200]  and followed themselves narcissism to the 10th power and that was their ethos was just we're being shot up or being stabbed or being starved we're happy we're ready to fight the death I mean the joy of battle and they've got the science they've got the technology
[10:24.200 --> 10:44.200]  they've got set up because the more dark force above it was playing the UK off against Germany in that original battle and several top British historians Milder and others 20 years before the rise of the Nazis until the whole plan in the memoir
[10:44.200 --> 11:02.200]  that's right you get next year's news today but I can only give you next year's news today because I'm starting this from the outside the globalist and give you the news of 50 years from now 20 years from now today but they don't give it to you
[11:02.200 --> 11:20.200]  they give you football games and soccer games and boulder dash and poppy con but I digress imagine how stay behind networks just the Democratic Party have wreaked havoc and blocked American recovery they may have already crashed it
[11:20.200 --> 11:36.200]  and then imagine the Germans with the stolen loot of Europe and all of it invested in Argentina and US banks their press cut Bush it's all on record imagine when they interfaced with our military
[11:36.200 --> 11:52.200]  when they had agents of the US military as well they said hey we're not the communists we're not betraying America work with us we've got billions of dollars we've got the secret weapons but we'll all take side at bills someone into our shirts
[11:52.200 --> 12:10.200]  and some did if you don't parlay we'll give you all of it but you've got to work with us you know Werner von Braun you can look this up in the 30s developed the idea of space shuttle drew the diagrams have the engineers working out
[12:10.200 --> 12:24.200]  Germany had a theoretics but it could never get to that point had v6 and v1 rockets and bomb line and everybody the first cruise missiles that would fly into a quarter mile you know that's a target
[12:24.200 --> 12:44.200]  but the Nazis their big thing was social engineering and soft kill weapon for you hit by a weapon you hit by technology and you don't know it it kills you slowly but they were able to infiltrate our government so the British set up the OSS became a CIA the CIA was kind of that American
[12:44.200 --> 13:06.200]  British Empire kissing cousins thing as Churchill called it and of course they had power and control and became you know you were right away but NASA from Werner von Braun to Goddard Space Center all of it was a breakaway civilization advanced technology
[13:06.200 --> 13:30.200]  that combined meant to be separate from the CIA and compete with it and I just thought that I would mention that so that folks understand the real score here the West is so open and so loving under our Christian ethos that we let people like Alexandria Cortez in
[13:30.200 --> 13:47.200]  this preaching pure cancer there are a lot of great beautiful brown women that love freedom they can be elected to Congress I don't care what color she is it's what's in her head and all of this is cancer we don't have to put up with inferior ideas and inferior systems
[13:47.200 --> 14:03.200]  we also don't have to have a weird model from 80 years ago of British intelligence knowing they were losing control what emerged in the US or the whole German Uber mentioned Superman plan taking over as well
[14:03.200 --> 14:19.200]  that's why Eisenhower warned about the technocrats and the psychological elite and the university elite in control of the military and the subjects the full speech talks about the scientific elite in control of that taking control of the brain trust
[14:19.200 --> 14:34.200]  compartmentalizing breaking off a new civilization using national security to separate us from what's really going on so that new ruling class would develop advanced technologies and literally under reservation systems be in control of us almost like they were an alien force for
[14:34.200 --> 14:53.200]  another planet and that's really the end game isn't it so I thought I'd error this here today I want shorter takes over right now but it's not that we're not see run it's not that we're British intelligence run the ghost of the Nazis the essence the ghost of British intelligence the British empire
[14:53.200 --> 15:08.200]  the ghost of people that saw the end of their systems passing in on to others that were already in charge because the American system and the free market and our Christian ethos and the fact that we were the future well they were like oh by the way kids here's
[15:08.200 --> 15:24.200]  the knowledge of evil now you'll be even more powerful and we took it but we were being given a prize was really the ring of Mordor you see just to use the Tolkien analogy so Ron was disembodied he didn't have access to the ring
[15:24.200 --> 15:42.200]  but when the Nazis and the British Empire were already the same thing that's why there were so such enemies once they got disembodied they possessed America and that's now what we're fighting against that's why everything from the
[15:42.200 --> 15:55.200]  side of the babies to the whole nine yards is not see mixed with a bunch of weird British Empire neuroses all right you've been given the absolute transmission I know you already know it's true that's why they want to shut it down
[15:55.200 --> 16:14.200]  it's just like everybody you know it if you'd love was God bless fully cooked ready to eat bacon I'm talking thick meaty center cut presidential bacon savory and delicious I buy some I use some I store some awesome no refrigeration needed with a 10 year shelf life NASA pack technology
[16:14.200 --> 16:29.200]  bacon fully cooked fully hydrated ready to eat right from the pack bacon or warm and serve life saving ready to eat bacon 10 year shelf life bacon ships free at fully cooked bacon dot com fully cooked bacon dot com
[16:29.200 --> 16:45.200]  we pledge allegiance to one flag and that flag is the American flag did you know the official national American flag has never been manufactured for retail stores the one that Americans fought and died for the one symbol that represents our Constitution
[16:45.200 --> 16:58.200]  now you can be a part of this great movement that's never been seen before together will recapture America call 1-877-383-4777 or visit the official flag dot com the official flag dot com
[16:58.200 --> 17:04.200]  know someone with a drinking or drug problem learn how to get sober after we share these stories
[17:04.200 --> 17:21.200]  I was 35 with two beautiful children when my life and addiction started to spiral out of control after my divorce I went into a depression cycle and started drinking more often and using prescription drugs after my second EWI and arrest my ex husband threatened to take our children away from me
[17:21.200 --> 17:30.200]  I was 17 when I became addicted to heroin and meth I thought I could quit on my own but I couldn't it hit me when I was arrested
[17:30.200 --> 17:42.200]  get sober now your private insurance may cover costs and we'll get you here it's simple just call elite rehab placement right now please don't wait your life matters to us
[17:42.200 --> 18:00.200]  800-213-9264 call right now before it's too late 800-213-9264
[18:00.200 --> 18:13.200]  it's simple if you want to beat the globalist if you want to take on the new world order I'm not doing Bitcoin pumping dumps with Jack Dorsey I'm not sitting here selling you cancer cures I'm not sitting here you know selling you late term abortion and all the great it is
[18:13.200 --> 18:24.200]  I just go out and say what is the top heart pill what is the top tumor it's the best seller because it's anti-inflammatory and what's the best lab in the country okay they're the highest rated I'm like you're only 50% curcuminoid
[18:24.200 --> 18:37.200]  well yeah they only put $5 product and bottle but that's still incredible sir I'm like what's the highest you could do a month later 90-95% no one's ever done I said how much does that cost for a bottle that costs $10 no one's ever done that sir
[18:37.200 --> 18:50.200]  the average competitors 3-5% you're the top brands 50% I'm like we're gonna have 95% curcuminoid I mean you understand like that's like our information is explosive our fish oil I go out and I get the cleanest the best my children take it
[18:50.200 --> 18:59.200]  you think I'm gonna give you fish oil that isn't the very damn best on my soul you think I'm gonna screw somebody over like one of these devil worshippers never in forestore.com
[19:20.200 --> 19:35.200]  there's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water to fight back against the modern day lifestyle with the screen time and the extended hours to still have the stamina and endurance energy and drive to get to the gym
[19:35.200 --> 19:53.200]  get to the park and get exercise that you need for your health so go to infowarstore.com and get supermail vitality before it's gone this is actually our last run of supermail vitality so I want you to experience supermail vitality before it's too late
[19:53.200 --> 20:08.200]  Unleash the supermail in you supermail vitality from infowarstore.com
[20:23.200 --> 20:33.200]  Every morning came without a light that seemed to lighten
[20:33.200 --> 20:54.200]  Folks, Alex Jones here early in the morning. I tore my bicep, blew my bicep a couple weeks ago, about to have a surgery. That's why I'm out extra day. Appreciate Owen doing a really, really great job. They're about to put me under.
[20:54.200 --> 21:09.200]  I broke an interview because it's gone so viral. It is definitely going to eclipse my last podcast with him. That was the biggest podcast in history at that time. That is Elon Musk was bigger than that and broke my number one podcast with Joe.
[21:09.200 --> 21:25.200]  But this one should be able to eclipse that as well. So this is very, very exciting that people understood this information. Now the media is kind of spinning what I said that Alex Jones believes there's a quote alien base in San Francisco.
[21:25.200 --> 21:43.200]  What I'm telling you is the globalists taking up large dosages of psychedelic drugs are having group events where hundreds of people in some cases, dozens of 40 plus in the case of man cow, not once but twice.
[21:43.200 --> 22:07.200]  So private groups are going out and doing this and having the same experiences. Governments doing it. And you go back to the Aztecs, all these groups, that's why they were doing mass sacrifices. It's in their writings that gods were demanding it to open up these portals on the drugs and to get these particular entities to come through who aren't just like elves, but to get like
[22:07.200 --> 22:21.200]  what looks like giant dragons, huge demons, cyclopses, huge insectoid creatures. This is what they're all reporting in every culture. And so I'm not the one saying all this is real.
[22:21.200 --> 22:37.200]  I'm telling you, our elites, just like the Aztecs built pyramids and took drugs and did mass sacrifices to contact these entities, or just like the Babylonians did it, or just like the Druids did it at these sacred sites, it's like chumming the water to make sharks come.
[22:37.200 --> 22:52.200]  Every culture sacrificed men, women, and children because the gods demanded it. And they would do it at sites so that interventionally, then the creatures, they believe would start hanging around those sites, kind of like feeding sharks in the Caribbean.
[22:52.200 --> 23:12.200]  There are places you can go where they hand feed tiger sharks every day. And 10 to 12 foot long giant tiger sharks come up, man-eaters, you'll see all these videos on YouTube, type in divers feeding tiger sharks, and they're feeding them.
[23:12.200 --> 23:17.200]  And the tiger sharks start showing up at the same place because you might have to look for years to find a tiger shark.
[23:17.200 --> 23:27.200]  But if you ever find them and start feeding them in a spot, just a few times, they'll start hanging around. So it's big business in the Caribbean, other areas to feed sharks.
[23:27.200 --> 23:38.200]  I've actually gone and done it, not some that size. I went and fed some black ducks a long time ago at the point is those sacred sites are where they feed the sharks, where they kill the children.
[23:38.200 --> 23:48.200]  And the Aztecs would kill to 10,000 a day at certain holidays. And the high priest would be doing it because the gods demanded that it be done.
[23:48.200 --> 23:56.200]  They would then take the drugs, open up the dimensional gate of the mind with ayahuasca, DMT, things like that.
[23:56.200 --> 24:09.200]  The high priest would also torture themselves to also increase the pain. I wanted to put out this message because I want to clarify.
[24:09.200 --> 24:16.200]  There are animal human clones that's not admitted. I was sitting there on the show with Joe Rogan talking about it. He was pulling up the mainstream articles.
[24:16.200 --> 24:26.200]  I talked about how the government gave people syphilis, didn't just let them die under the ski experiment. Joe didn't believe it, looked it up, the Scientific American admitted it.
[24:26.200 --> 24:36.200]  What I'm telling you is almost all of this is admitted. Google is building a giant AI penopticon system that spies everybody in real time and feeds data back to supercomputers.
[24:36.200 --> 24:50.200]  And all of that's being done for control. So what I'm saying is we're not in Kansas anymore. And so in every culture, this has been done and it's been done over and over again.
[24:50.200 --> 25:01.200]  And now it's being done at a scientific level. And the governments and the institutions believe they are getting advanced off-world or interventional technology from these banks.
[25:01.200 --> 25:11.200]  And this is a speculation, this is going on. And when they have animal human hybrids and they do all this in engineering, that's creating new species that are alien to this planet as well.
[25:11.200 --> 25:19.200]  So aliens are real is what I'm saying, but it's not the pop culture alien of little flying saucers and stuff. It's interdimensional and the globalists are obsessed with it.
[25:19.200 --> 25:27.200]  And it goes back to conjuring demons. You know about the European tradition when you sacrifice a kid and then a portal opens up and a little demon pops up.
[25:27.200 --> 25:36.200]  It looks like an elf. Go to the old black magic text, all of it. It's the same. It's in Chinese culture, it's in Japanese culture, it's in all the ancient African legends.
[25:36.200 --> 25:47.200]  This is done everywhere. And most cultures would not do what the entity said, start doing the sacrifice. But if you did start doing it, they would start giving you technology.
[25:47.200 --> 25:57.200]  And they basically always had the same upper culture set up, where it was all basically human sacrifice, war, control, death, with a priesthood class above everybody.
[25:57.200 --> 26:08.200]  And so that's what's being set up, what's being established again here on Earth in this satanic system that is superimposed over our planet and carrying out a larger master plan.
[26:08.200 --> 26:19.200]  And it fits into the entire biblical cosmology of the fallen angel of the earth, who's got a whole host of minions that nearly carry out his evil actions, and they come to kill, steal, and destroy.
[26:19.200 --> 26:26.200]  Alright, back to Owen Troyer and the live broadcast. Well, thank you all for your support. A lot of good things are happening.
[26:26.200 --> 26:32.200]  Humanity is really starting to wake up, but the sensors are coming out of the closet and really showing their hands.
[26:32.200 --> 26:42.200]  Now's the time to spread the word more than ever. Again, God bless you all, but we are fighting a spiritual fight. Jesus Christ is real. The Bible is real. Thank you.
[26:42.200 --> 26:48.200]  Alright, ladies and gentlemen, pretty epic stuff there from Alex Jones. You may be hearing from him again before the end of the broadcast.
[26:48.200 --> 26:57.200]  I will be taking over for now, though. Justin Fall from 4th Watch Films is going to join me at one o'clock. He may want to talk about some of the stuff Alex was just talking about,
[26:57.200 --> 27:05.200]  but he really wanted to come on to address something Joe Rogan said he didn't believe that Alex was talking about on the Joe Rogan experience,
[27:05.200 --> 27:12.200]  that he's actually done a documentary on with 4th Watch Films. So other than that, though, we're going to have plenty of time to cover news,
[27:12.200 --> 27:17.200]  maybe even take some of your calls here on the Alex Jones show. But before we go to break here in 90 seconds,
[27:17.200 --> 27:24.200]  I have to remind you that we need your support at InfowarsStore.com, and it's your support at InfowarsStore.com that makes everything we do here possible.
[27:24.200 --> 27:32.200]  You already know that. The specials that we have going on right now, 50% off bodies, the ultimate turmeric inflammatory support,
[27:32.200 --> 27:40.200]  it's 50% off right now at InfowarsStore.com and as an average of a 4.9 star review, 98% of the reviews are 5 star.
[27:40.200 --> 27:52.200]  We also have 50% off Alpha Power right now at InfowarsStore.com. Go ahead and read all the reviews on that to find out if Alpha Power is for you.
[27:52.200 --> 27:59.200]  We also have 40% off the brand new InfowarsLive protein bars when you buy two or more boxes.
[27:59.200 --> 28:07.200]  So buy two or more boxes of the InfowarsLive protein bar and get 40% off, 33% off TurboForce right now at InfowarsStore.com,
[28:07.200 --> 28:20.200]  50% off storable foods, insurance you can eat, there's year supplies, a couple months supplies, week supplies, whatever you feel that is necessary.
[28:20.200 --> 28:27.200]  It's 50% off right now at InfowarsStore.com and while you're there, just check out the whole store.
[28:27.200 --> 28:36.200]  We have household items like toothpaste, toothbrushes, shampoo, body wash, all kinds of survival gear, hats, t-shirts.
[28:36.200 --> 28:41.200]  The InfowarsStore is huge, folks. If you haven't been there yet, go to InfowarsStore.com, check it out for yourself.
[28:41.200 --> 28:47.200]  You're going to find something you like, you're going to find something you want and you're going to find something you need
[28:47.200 --> 28:56.200]  and when you support us at InfowarsStore.com today, you guarantee that Infowars will be on the air tomorrow. We'll be right back.
[29:18.200 --> 29:26.200]  IRS, creditors, car loans, debt, it's the Babylonian system and you have to escape it before it's too late.
[29:26.200 --> 29:29.200]  Haven't you ever wanted to wake up from this nightmare?
[29:29.200 --> 29:36.200]  Matthew David's free quick study guide shows you what to do today to build lasting wealth in any economy.
[29:36.200 --> 29:43.200]  His discovery he made, it's all consciousness. Get Matthew 7 figure quick study guide for clarity, certainty,
[29:43.200 --> 29:49.200]  and improving strategy to build wealth. Once and for all, visit EscapeRightNow.com.
[29:49.200 --> 30:18.200]  Do it now. It's free. EscapeRightNow.com for a prosperous future ahead with peace of mind. EscapeRightNow.com.
[30:19.200 --> 30:26.200]  We have a rhythm with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost
[30:26.200 --> 30:29.200]  but burn out in just a few hours and have terrible side effects.
[30:29.200 --> 30:38.200]  We have developed hands down from our research the most powerful, healthy energy drink pre-workout and beyond system in the world.
[30:38.200 --> 30:44.200]  There's nothing else like it. You must experience it. It is a total game changer and it comes in easy to use,
[30:44.200 --> 30:49.200]  packaged, mixed with fruit juice or water, whatever you'd like. Warning though, it's very, very strong.
[30:49.200 --> 30:54.200]  It lasts 10 hours. So take a half pack at the first time you take it because TurboForce is named TurboForce
[30:54.200 --> 30:57.200]  because it will take you into overdrive.
[30:57.200 --> 31:18.200]  TurboForce and EnforceLive.com.
[31:27.200 --> 31:35.200]  It's a great way to boost your energy while encouraging hormonal balance, perfect by itself or with super male vitality in the true alpha male pack.
[31:35.200 --> 31:42.200]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[31:42.200 --> 31:46.200]  Let Alpha Power help bring you to the peak of your optimal health.
[31:46.200 --> 31:49.200]  Don't fall short on energy in the fight against tyranny.
[31:49.200 --> 31:57.200]  Show the world what a true alpha male looks like today with Alpha Power at 50% off only at the InfoWars store.
[32:20.200 --> 32:25.200]  It's so much easier to burn video or text or languages now that we have high tech book burning, isn't it?
[32:25.200 --> 32:30.200]  But I have joined my will to the resistance. I can't be destroyed now.
[32:30.200 --> 32:35.200]  As long as I realize I've done right and as long as the people know the truth and you can't be destroyed either.
[32:35.200 --> 32:41.200]  As long as you bind yourself to something and commit to it and go through the fire for it,
[32:41.200 --> 32:45.200]  there is a magic that then takes place that transcends space and time.
[32:45.200 --> 32:49.200]  When you commit the award of mouth or to pray for us or to spread our articles and videos,
[32:49.200 --> 32:52.200]  that overrides everything the enemy is doing.
[32:52.200 --> 33:19.200]  So please now commit to support InfoWars however you can and realize your provision to InfoWars is your own provision.
[33:19.200 --> 33:28.200]  You found it, the tip of the spear. It is the Alex Jones Show with Owen Troyer.
[33:28.200 --> 33:53.200]  Yesterday was the anniversary of Paul Harvey's death. We'll be playing a short video in homage to him before the end of the broadcast.
[33:53.200 --> 34:02.200]  But today, March 1st marks the anniversary of Andrew Breitbart's passing on March 1st, 2012.
[34:02.200 --> 34:09.200]  Remember how that old saying goes, strike me down now and I shall become more powerful than you ever imagined.
[34:09.200 --> 34:18.200]  Well now the name Breitbart in news is more popular and more powerful probably than Andrew Breitbart ever was.
[34:18.200 --> 34:26.200]  Unfortunately, I think if Andrew Breitbart were still with us today, Breitbart.com would be a lot more hardcore.
[34:26.200 --> 34:36.200]  That's not to say I don't like the work they do at Breitbart, but let's just give you an example as to what I'm talking about.
[34:36.200 --> 34:41.200]  And actually guys, whenever you get those old Breitbart tweets, you can just bring them in here.
[34:41.200 --> 34:48.200]  Here's an Andrew Breitbart tweet from February 4th, 2011.
[34:48.200 --> 34:58.200]  How Prague guru John Podesta isn't household name as world-class underage sex slave op cover-upper defending unspeakable dregs escapes me.
[34:58.200 --> 35:03.200]  How about that? That wasn't all Andrew Breitbart had to say about John Podesta.
[35:03.200 --> 35:12.200]  This is a classic clip of a journalist asking Breitbart for comment when he had a few choice words for John Podesta.
[35:12.200 --> 35:23.200]  This is a concerted effort. This is a concerted effort. Politics of personal destruction. F*** you, John Podesta.
[35:23.200 --> 35:25.200]  Alright, well you see where I'm coming from.
[35:25.200 --> 35:30.200]  When I talk, that's because I'm interested in this ongoing whatever the hell they're doing.
[35:30.200 --> 35:36.200]  What's in your cause at John Podesta? Big Podesta? Big Soros?
[35:36.200 --> 35:43.200]  Do you want us to play these games? Because we're playing to win.
[35:43.200 --> 35:48.200]  Boy, we wish we had Breitbart around today.
[35:48.200 --> 35:55.200]  There he is. Big Podesta. Big Skippy. Big Soros.
[35:55.200 --> 36:06.200]  Big Art Collection. Andrew Breitbart Tweet Before Death adds fuel to online speculation of DC's sex trafficking ring.
[36:06.200 --> 36:13.200]  Yeah. Let's go to some other classic Andrew Breitbart tweets.
[36:13.200 --> 36:23.200]  Put up or shut up Podesta. I'll give one million dollars to Think Progress if you can prove Andrew Breitbart believes Osama bin Laden is not dead.
[36:23.200 --> 36:26.200]  I believe he's dead. So that was Podesta making up lies about Breitbart.
[36:26.200 --> 36:34.200]  Why is Johnny Wad Podesta so under scrutinized for his puppet master role in so many progressive shenanigans?
[36:34.200 --> 36:46.200]  Sherrod Discovery will be shockful of discovery interrogations on how media matters in MSNBC, Team Podesta, and Obama White House coordinated.
[36:46.200 --> 36:53.200]  Oh, so the Democrats were coordinating with the media even back then. These are all from 2011, from Andrew Breitbart.
[36:53.200 --> 37:02.200]  I'll admit that I inspired the Oslo killer, Eric Bolart, if you admit you gargle with John Podesta's DNA.
[37:02.200 --> 37:08.200]  What does that mean? Well, use your imagination if you'd like.
[37:08.200 --> 37:18.200]  Team Podesta cowards. None of my court attractors have guts to debate. All devote day attacking, yet say, live public exchange beneath them.
[37:18.200 --> 37:26.200]  And that still goes on to this day. That still goes on to this day.
[37:26.200 --> 37:33.200]  Say what you want about Eric Bolart, but the guy enjoys himself a good human bloodbath. Where did you find this guy, Podesta?
[37:33.200 --> 37:39.200]  My goodness. Andrew Breitbart, ladies and gentlemen.
[37:39.200 --> 37:47.200]  Leader of progressive movement, John Podesta believes President Obama is holding back top secret info on little green men from outer space.
[37:47.200 --> 37:57.200]  Podesta was a Hillary supporter back when Obama upset her for the Democrat nomination in 2008.
[37:57.200 --> 38:03.200]  I read John Podesta blogger Eric Bolart, Oslo killer red Breitbart blogger Atlas Shrugs.
[38:03.200 --> 38:06.200]  John Podesta clearly to blame for carnage.
[38:06.200 --> 38:10.200]  Alright, so now we're just going to this Eric Bolart story that I don't even want to get in the background of.
[38:10.200 --> 38:19.200]  If John Podesta doesn't fire Eric Bolart for his mocking attack on reporter, media matters may lose its gold standard for media criticism status.
[38:19.200 --> 38:28.200]  Let's go on here. Let's look for something that isn't about... I don't even know what this Eric Bolart story is.
[38:28.200 --> 38:34.200]  This is from 2011. This is before I was even involved in politics. I couldn't tell you who Breitbart Podesta or Soros was.
[38:34.200 --> 38:39.200]  You get what you paid for, John Podesta and George Soros.
[38:39.200 --> 38:45.200]  It can't be Eric Bolart wasn't his spectacularly awful senior fellow.
[38:45.200 --> 38:54.200]  Hashtag wienergate. Wow. Wienergate back in 2011.
[38:54.200 --> 39:03.200]  That's Anthony Wiener, husband of Huma Abedin, top aide to Hillary Clinton, busted for sexting minors and beyond.
[39:03.200 --> 39:06.200]  But that's what he got busted for.
[39:06.200 --> 39:09.200]  So then he says Podesta must have told him to lay low.
[39:09.200 --> 39:18.200]  I guess Anthony Wiener maybe was involved in something shenanigans before Podesta had to say, hey, slow it down there, big boy.
[39:18.200 --> 39:25.200]  Oops. But then he got caught years later and Breitbart predicted it all.
[39:25.200 --> 39:27.200]  So I'm just looking at some of this stuff.
[39:27.200 --> 39:31.200]  To be lectured by team John Podesta on conspiracy theories is rich.
[39:31.200 --> 39:35.200]  John Podesta writes forward for a new UFO book.
[39:35.200 --> 39:39.200]  Are these the UFOs that Alex was talking about in the last segment?
[39:39.200 --> 39:43.200]  What is Podesta's obsession with aliens?
[39:43.200 --> 39:46.200]  And it goes on. He continues to talk about this on Twitter.
[39:46.200 --> 40:01.200]  So these are just some of the things that Andrew Breitbart tweeted out in 2011 before his death on March 1st of 2012.
[40:01.200 --> 40:14.200]  Early on, did John Podesta imagine his baby, Media Matters for America, would be covering up for underage sex slave operations and hate crimes against blacks?
[40:14.200 --> 40:19.200]  Boy, Andrew Breitbart didn't like John Podesta, did he?
[40:19.200 --> 40:25.200]  I mean, really didn't like him.
[40:25.200 --> 40:29.200]  What was the word he used in the clip?
[40:29.200 --> 40:31.200]  Here's another one from Andrew Breitbart.
[40:31.200 --> 40:36.200]  How much longer until they kill me, quote, heart attack, or quote, car accident, or frame me for a crime?
[40:36.200 --> 40:38.200]  Read while you can. Oh, wow.
[40:38.200 --> 40:42.200]  I can't see the date because of the bug, guys.
[40:42.200 --> 40:56.200]  That was a week? That was three days before he died of a heart attack.
[40:56.200 --> 41:05.200]  So, may Andrew Breitbart rest in peace.
[41:05.200 --> 41:11.200]  And if it wasn't for Andrew Breitbart, we wouldn't have James O'Keefe, who tweeted this out today.
[41:11.200 --> 41:18.200]  A week before he died, he told me, people are going to say whatever and try to claim whatever to try and take us out.
[41:18.200 --> 41:21.200]  They have an irrational fear of us. They want us on a leash.
[41:21.200 --> 41:24.200]  We're not going to be on a leash. They want us to dance.
[41:24.200 --> 41:28.200]  We're not going to dance with them. Amen.
[41:28.200 --> 41:30.200]  From James O'Keefe today.
[41:30.200 --> 41:34.200]  Kind of want to just give a moment of silence right now to Andrew Breitbart,
[41:34.200 --> 41:53.200]  who predicted that they would kill him and say it was a heart attack three days before he died.
[41:53.200 --> 41:57.200]  You come after their source, ladies and gentlemen.
[41:57.200 --> 42:02.200]  You go after their source of the children.
[42:02.200 --> 42:04.200]  They heart attack you.
[42:04.200 --> 42:06.200]  What am I looking at here, guys?
[42:06.200 --> 42:08.200]  From email from John Podesta.
[42:08.200 --> 42:11.200]  I'm definitely for making an example of a suspected leaker,
[42:11.200 --> 42:15.200]  whether or not we have any real basis for it.
