[00:00.000 --> 00:20.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[03:54.000 --> 04:02.000]  Bodily fluids were everywhere. Of course, you can get it from just touching someone without getting into that level of exposure,
[04:02.000 --> 04:08.000]  but the doctor who worked on her complained about the fact that his suit didn't have sleeves long enough to cover his arms.
[04:08.000 --> 04:15.000]  That's what we're seeing here. We're seeing a kind of an arrogance from western governments that this can't happen here,
[04:15.000 --> 04:21.000]  and they're trying to do this partially to contain people, to not allow panic to break out,
[04:21.000 --> 04:30.000]  but it's also gone far beyond that, as we pointed out, to a level of deliberate hubris to casually stand down and not follow these procedures.
[04:30.000 --> 04:36.000]  They're not just telling people not to worry and then behind the scenes doing everything they can and above and beyond.
[04:36.000 --> 04:41.000]  No, they're not even doing that. And so we're seeing this now. The first case, transferred in the United States.
[04:41.000 --> 04:58.000]  Stay with us right after the break. Alex Jones, take on it. We'll be right back.
[05:11.000 --> 05:37.000]  When cells become toxic, they die early and aging sets in. No one has put together a formula that focuses directly on brain health, nerve growth factors,
[05:37.000 --> 05:45.000]  and optimizing your cellular energy at the same time. Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[05:45.000 --> 05:50.000]  You want the best that's out there at the lowest price anywhere? We now have the synergistic solution.
[05:50.000 --> 06:11.000]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[06:11.000 --> 06:39.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[06:39.000 --> 06:51.000]  It's Sunday, October 12, 2014. As we issue this emergency alert report, it has now been confirmed in Dallas, Texas, the site of Patient Zero's death last week.
[06:51.000 --> 07:02.000]  A nurse who was treating him at the Presbyterian Medical Center in Dallas, Texas, has tested positive for contracting Ebola, the deadly virus,
[07:02.000 --> 07:10.000]  ravaging hundreds of thousands of people right now, potentially could infect millions in Africa.
[07:10.000 --> 07:20.000]  And now it has spread in the United States just as it spread last week to another nurse, a healthcare worker, in Madrid, Spain.
[07:20.000 --> 07:34.000]  So there are several big questions obviously here and several big issues. Why for the first time ever are they bringing Ebola patients into Western countries like Spain and the United States?
[07:34.000 --> 07:44.000]  Why when other nations like England, France and Arab countries as well have blocked flights out of countries being ravaged by Ebola,
[07:44.000 --> 07:53.000]  why has the United States not halted flights and is still not even doing basic screening at major airports?
[07:53.000 --> 07:59.000]  Another big question, why did Obama lie to us and say virtually no chance it would come here?
[07:59.000 --> 08:05.000]  Why did the CDC say, hey, we can't control the border and we don't think it's going to spread?
[08:05.000 --> 08:19.000]  Why did the head of the Texas Medical Board come out last week and say that there was basically zero chance Ebola could spread when we know it's been spreading like wildfire in Africa?
[08:19.000 --> 08:30.000]  And many scientists, many virologists, even in the New York Times have come out and said it may have already begun to go somewhat airborne.
[08:30.000 --> 08:37.000]  So to be clear, there is now an official outbreak of Ebola in the United States.
[08:37.000 --> 08:52.000]  And if this healthcare worker was in a full hazmat suit, you better believe that the children, the wife, the neighbors, the children at the school or these other children went are all obviously in danger.
[08:52.000 --> 08:57.000]  And I think it's safe to say what we said a week and a half ago when this news first broke.
[08:57.000 --> 09:02.000]  The odds are this has spread to wider groups of people.
[09:02.000 --> 09:10.000]  And Patient Zero, who's now dead, Thomas Eric Duncan, who died last Wednesday, is not the only one.
[09:10.000 --> 09:14.000]  And now that speculation has been confirmed.
[09:14.000 --> 09:25.000]  By the news that a healthcare worker in Texas has tested preliminarily positive for infection with Ebola virus.
[09:25.000 --> 09:34.000]  Seeing in headline, Texas nurse test positive for Ebola would be first Ebola transmission in the United States.
[09:34.000 --> 09:40.000]  Dallas Morning News, healthcare worker at Presbytering Hospital in Dallas, test positive for Ebola.
[09:40.000 --> 09:46.000]  CDC protocol breached in treating Ebola patient, Associated Press.
[09:46.000 --> 09:52.000]  And that's the big point that has to be made here out of all these important issues.
[09:52.000 --> 10:01.000]  The default position of not bringing Ebola patients into the United States, that was violated for the first time when I pointed this out,
[10:01.000 --> 10:05.000]  when other people pointed this out, when the Drugs Report pointed this out.
[10:05.000 --> 10:12.000]  Mainstream media demonized us and criticized us and said, how dare you not want to bring Ebola patients here?
[10:12.000 --> 10:13.000]  You must be racist.
[10:13.000 --> 10:17.000]  How dare you fear monger and say people could be coming across the border with it?
[10:17.000 --> 10:26.000]  Well, now a nurse who is in full hazmat gear has contracted it at the hospital where this person was for a week.
[10:26.000 --> 10:29.000]  And remember, they didn't clean the ambulance for days.
[10:29.000 --> 10:37.000]  They sent some of the kids to school for days, even after they knew patient zero, who's now dead, had Ebola.
[10:37.000 --> 10:42.000]  Evidence is also mounting that the CDC is lying to the American people.
[10:42.000 --> 10:49.000]  Foreign Press reported that Mr. Duncan had died a day before and that the CDC was basically covering it up,
[10:49.000 --> 10:54.000]  and that forced them the next day to claim that he died Wednesday morning.
[10:54.000 --> 10:57.000]  There's major evidence that we're being lied to.
[10:57.000 --> 10:59.000]  Ebola patients are being brought in.
[10:59.000 --> 11:03.000]  They're not following proper protocols and it's spreading.
[11:03.000 --> 11:08.000]  And when we point out that the southern border should be highly controlled as well as the northern border,
[11:08.000 --> 11:12.000]  and that everyone who was on this flight with him should be put in containment,
[11:12.000 --> 11:18.000]  we're called conspiracy theorists for following the default federal law.
[11:18.000 --> 11:24.000]  So clearly, elements of our government want this crisis to get out of control.
[11:24.000 --> 11:28.000]  The good news is the head of Southcom, the U.S. military branch that oversees
[11:28.000 --> 11:33.000]  central and South American U.S. interests, came out last week and said,
[11:33.000 --> 11:37.000]  the big threat is Ebola coming across the southern border.
[11:37.000 --> 11:42.000]  The countries in the western hemisphere have about no ability to deal with an Ebola outbreak.
[11:42.000 --> 11:49.000]  We have a lot of West Africans, of the Homeland Security folks doing their work on our southwest border,
[11:49.000 --> 11:56.000]  of the number of people they capture, a very large percentage of them are West Africans.
[11:56.000 --> 12:00.000]  I was down in Costa Rica a couple of weeks ago talking to our embassy personnel,
[12:00.000 --> 12:02.000]  one of them relayed a story to me.
[12:02.000 --> 12:07.000]  But there were five or six black guys that were there at the border waiting in line to pass into Nicaragua
[12:07.000 --> 12:11.000]  and then on the way north, and the embassy person walked over and just asked who they were,
[12:11.000 --> 12:13.000]  and they said, well, we're from Liberia.
[12:13.000 --> 12:19.000]  Been on the road about a week, and we're on the way to New York City illegally.
[12:19.000 --> 12:21.000]  So they're on the network.
[12:21.000 --> 12:26.000]  They had flown into, I think, Trinidad and then met up with the traffickers,
[12:26.000 --> 12:28.000]  and now they're on the way in.
[12:28.000 --> 12:35.000]  They could have made it to New York City and still be within the incubation period of Ebola.
[12:35.000 --> 12:39.000]  That if there's an outbreak in the Caribbean, particularly or in Central America,
[12:39.000 --> 12:47.000]  it will make the 68,000 unaccompanied children, I think, look like a small problem.
[12:47.000 --> 12:56.000]  The UN estimates run from 1.4 million to 5 million people in Africa alone by December who will contract Ebola.
[12:56.000 --> 12:59.000]  Undoubtedly, many of them will try to flee to the west.
[12:59.000 --> 13:05.000]  Other countries, including African nations, are not letting them in because that's default common sense.
[13:05.000 --> 13:11.000]  So now the U.S. is the dumping ground of people who have contracted Ebola,
[13:11.000 --> 13:15.000]  and now it's confirmed to be spreading in the United States.
[13:15.000 --> 13:21.000]  We, the people, have to take action, call Congress, call the media, call the White House, call the CDC,
[13:21.000 --> 13:28.000]  say, listen, you follow federal law, you follow the defaults, and you quarantine the people that have been in contact,
[13:28.000 --> 13:33.000]  you shut that border, you stop those flights, or you will be held accountable when this spreads,
[13:33.000 --> 13:39.000]  and they're quarantining hundreds of thousands or millions of U.S. citizens and North Americans.
[13:39.000 --> 13:47.000]  This appears to be a false flag that they've bare minimum allowed to spiral out of control as a pretext for more medical tyranny
[13:47.000 --> 13:49.000]  here in the United States and worldwide.
[13:49.000 --> 13:57.000]  Finally, I want to leave you with a clip that our reporters got last week with the head of the Texas Health and Human Services Commission,
[13:57.000 --> 14:07.000]  Executive Commissioner Kyle Janik, saying to the legislature that there's zero danger even if Ebola was on the table right in front of him.
[14:07.000 --> 14:16.000]  It's clear they're trying to pacify the public and cover up what's happening, not to stop panic, but to stop a real response.
[14:16.000 --> 14:25.000]  There is virtually no risk. You can push me as far as you want to say zero. I will not say zero.
[14:25.000 --> 14:33.000]  Knowing what I know, there is zero risk. I said it. There it is. I shouldn't say that. There's no risk.
[14:33.000 --> 14:42.000]  There's no risk. Ebola virus could be sitting there, and if I'm touching it with unbroken skin, it's not a risk.
[14:42.000 --> 14:48.000]  Well, folks, we've put the facts out here. We've been proven right again. Now it's up to you to take action and raise the alarm.
[14:48.000 --> 14:57.000]  We'll take you back now to the radio studio where David Knight is live, breaking this down and taking your phone calls right here in Austin, Texas and worldwide.
[14:57.000 --> 15:03.000]  That's right. We're going to be going up to break in a moment. If you want to call in and talk, especially if you're a healthcare provider,
[15:03.000 --> 15:11.000]  that number is 877-789-2539. It's a different number on Sundays. That's 877-789-ALIX.
[15:11.000 --> 15:18.000]  So if you want to call in, especially if you're a healthcare worker, first responder, we'd like to know what you think, because this is what they're saying.
[15:18.000 --> 15:29.000]  They're saying the Dallas health worker who looked after the first Ebola victim, this is the telegraph, was wearing a full protective gown, gloves and face shield as she cared for him.
[15:29.000 --> 15:37.000]  Now we've been told by Obama that there was absolutely no risk of this coming to America. We were told by the Texas official, as you just heard in that report,
[15:37.000 --> 15:46.000]  there's no risk of it coming. We've been told by the Dallas judge who's working with Homeland Security, there's absolutely no risk. Really? I don't think so.
[15:46.000 --> 16:08.000]  We'll be right back. We'll take your calls. That's 877-789-2539.
[16:17.000 --> 16:29.000]  We have now managed to secure the sought after beans in a highly customized blend. Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfowarsLife.com.
[16:29.000 --> 16:36.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[16:36.000 --> 16:43.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[16:43.000 --> 16:51.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original, or with our immune support infusion blend.
[16:51.000 --> 16:57.000]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[16:57.000 --> 17:14.000]  Available at InfowarsLife.com.
[17:28.000 --> 17:32.000]  Don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[17:32.000 --> 17:42.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[17:42.000 --> 17:53.000]  Made with organic and wild cultivated herbs and manufactured in the USA, the new InfowarsLife Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[17:53.000 --> 18:00.000]  Available now exclusively at InfowarsLife.com or by calling toll-free 888-2533-139.
[18:00.000 --> 18:06.000]  General, what do you think about the FBI saying that there is a terror alert on Monday about a potential corporate situation?
[18:06.000 --> 18:09.000]  The police are shoving people, shoving Alex, shoving the crowd.
[18:09.000 --> 18:11.000]  Here we go, folks. I'm being assigned to...
[18:11.000 --> 18:17.000]  Whether it's the radio show, the news websites, documentary films, or the nightly news, Infowars is the tip of the spear.
[18:17.000 --> 18:23.000]  Is this another false-flight stage attack to take our civil liberties and put more homelands to carry our stick and hands down our pants on the streets?
[18:23.000 --> 18:30.000]  It's up to us to set brush fires in the minds of men and women everywhere and that's what prisonplanet.tv is designed to do.
[18:30.000 --> 18:38.000]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[18:38.000 --> 18:42.000]  What we see now is a war against reality. It's a war against the truth.
[18:42.000 --> 18:51.000]  It's more vital than ever that supporters of freedom become members of prisonplanet.tv and share their membership with up to 11 friends and family.
[18:51.000 --> 19:12.000]  Visit infowarsnews.com today, become a member, share your membership, and help take the Infowar to the next level.
[19:21.000 --> 19:29.000]  They so pride in every stitch, guarantee you love the way they fit.
[19:29.000 --> 19:39.000]  They put a diamond gusset in the crotch where you need it most. Blue diamond gussets got it, others don't.
[19:39.000 --> 19:46.000]  We turned jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality.
[19:46.000 --> 19:52.000]  Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[19:52.000 --> 20:21.000]  Order yours at gusset.com. Diamond gusset jeans got it, others don't.
[20:21.000 --> 20:28.000]  Waging war on corruption. It's Alex Jones.
[20:28.000 --> 20:38.000]  Welcome back to the Alex Jones Show. I'm David Knight, and if you're just joining us, we had a special report from Alex Jones about the new developments in Ebola.
[20:38.000 --> 20:46.000]  Of course, we've had the first patient in America to contract it in America and the second one to contract it outside of Africa.
[20:46.000 --> 20:51.000]  Of course, the other one being a nurse in Spain, and this was a nurse in Dallas who contracted it.
[20:51.000 --> 21:00.000]  They're telling us that she was wearing full protective clothing just as the CDC told her to, but now they're looking at 48 healthcare workers.
[21:00.000 --> 21:08.000]  They say they were considered to be at low risk of developing the disease, but now they're taking a closer look at them while I would hope so.
[21:08.000 --> 21:17.000]  Dr. David Varga, the Chief Clinical Officer, said this individual was following the full CDC guidelines, and we're very concerned.
[21:17.000 --> 21:26.000]  I'm also very concerned, as this report says, that the victim was taken into isolation within 90 minutes of arriving at the hospital.
[21:26.000 --> 21:34.000]  90 minutes she was taken into isolation. What was she doing for the other, the first 90 minutes? She was not in isolation.
[21:34.000 --> 21:44.000]  We saw this happen, of course, in Spain as well, where the nurse there had to try three times to get help over a period of one week when she finally went back the last time.
[21:44.000 --> 21:50.000]  She was in the emergency room for over eight hours after they realized that she had Ebola when she was finally taken in for care.
[21:50.000 --> 21:56.000]  The doctor who was working with her as she was violently vomiting had diarrhea.
[21:56.000 --> 22:00.000]  That doctor did not have a suit that covered his arms completely.
[22:00.000 --> 22:06.000]  This is a very, very dangerous situation. We don't fully understand, I believe, how it's being transmitted.
[22:06.000 --> 22:16.000]  We've said this from the very beginning. If they cannot control this, if it's doubling every two weeks in Africa, then I think we need to go to another level of containment.
[22:16.000 --> 22:19.000]  Perhaps there's something about this that they don't understand.
[22:19.000 --> 22:24.000]  They're saying that they know that it's not airborne, but we've seen some studies that might indicate that was the case with animals.
[22:24.000 --> 22:30.000]  And of course, to say that it's not airborne doesn't mean that it can't be transmitted via aerosol.
[22:30.000 --> 22:37.000]  To say that someone cannot transmit it before they're exhibiting symptoms, I don't believe is necessarily true either.
[22:37.000 --> 22:49.000]  They're telling people that you still have, you're still shedding the virus in bodily fluids as well as sexual fluids for several weeks up to months after you have convalesced from this.
[22:49.000 --> 22:53.000]  They've seen this. But then they say, well, we haven't proven that anybody could get it from that.
[22:53.000 --> 23:01.000]  Well, they're still telling people to keep apart from others sexually and in other ways still be concerned about those fluids.
[23:01.000 --> 23:08.000]  And yet they're not concerned that it could be transmitted that way prior to somebody exhibiting a fever.
[23:08.000 --> 23:17.000]  So there's a lot of questions about this. And of course, as I mentioned in the very first segment, we had the guys who went in and cleaned up the apartment five days later.
[23:17.000 --> 23:24.000]  That's how long they took to do a response. But the cleaning company that went in took it to another level from what the CDC had told them.
[23:24.000 --> 23:31.000]  They went to the next higher level. They wore respirators because they're not convinced that they can't get it from airborne aerosols.
[23:31.000 --> 23:36.000]  And of course, Stefan Molyneaux had a great video that he's put out about this. He says, of course, it's already gone airborne.
[23:36.000 --> 23:42.000]  We've allowed it onto airplanes. That's one of the most dangerous ways to make it go airborne.
[23:42.000 --> 23:47.000]  That's something that is far worse than coughing or sneezing and transmitting it to someone that's just across the room.
[23:47.000 --> 23:51.000]  You can take it across continents that way. And now we're seeing that happening.
[23:51.000 --> 23:56.000]  Of course, the CDC says a protocol was breached in treating this Ebola patient.
[23:56.000 --> 24:01.000]  They don't know exactly how. The doctor there says that they followed all procedures, that they wore protective clothing.
[24:01.000 --> 24:03.000]  But he's saying somehow our protocol was breached.
[24:03.000 --> 24:10.000]  Well, you know, the protocol for containing dangerous diseases like this was breached many times by the CDC.
[24:10.000 --> 24:15.000]  That's what we've been saying for the last couple of months, the fact that they brought patients into the United States,
[24:15.000 --> 24:20.000]  the fact that they allowed travelers to bring it in, that they're not containing it within that country.
[24:20.000 --> 24:25.000]  Those are breaches of protocol that you would use in a dangerous pandemic like we have going in.
[24:25.000 --> 24:29.000]  This is far greater than anything we've ever seen in any previous Ebola outbreaks.
[24:29.000 --> 24:34.000]  There's been several Ebola outbreaks. It's affected anywhere from dozens of people.
[24:34.000 --> 24:41.000]  The worst two prior to this were 300 and 425. This is way beyond that.
[24:41.000 --> 24:45.000]  It's doubling every two weeks still. And they say that if it continues this curve,
[24:45.000 --> 24:55.000]  we're going to see anywhere from a half a million to one and a half million people in the two primary African countries of Liberia and Sierra Leone by December.
[24:55.000 --> 25:01.000]  By December. That's five to 15% of the combined population of those two countries.
[25:01.000 --> 25:05.000]  Work those numbers out to the United States.
[25:05.000 --> 25:09.000]  Think about if five to 15% of the United States were to get it.
[25:09.000 --> 25:13.000]  But of course, we're doing something about it. We're sending our soldiers into that area,
[25:13.000 --> 25:20.000]  even though nurses with protective clothing are contracting it when they care for patients in Spain and in the United States.
[25:20.000 --> 25:25.000]  We're going to send thousands of military personnel into that area.
[25:25.000 --> 25:30.000]  Absolute insanity. Completely standing down and look at what's happening at the border.
[25:30.000 --> 25:33.000]  We just had this report. We played it on Friday.
[25:33.000 --> 25:38.000]  Dr. Eileen Marty is someone who was treating patients in Sierra Leone.
[25:38.000 --> 25:42.000]  She came back into the country and she was absolutely amazed. Here's what she said.
[25:42.000 --> 25:45.000]  How many days did you spend in that year? 31 days.
[25:45.000 --> 25:50.000]  31 days. Then you come back to the U.S. through Germany. Which city in Germany?
[25:50.000 --> 25:51.000]  Frankfurt.
[25:51.000 --> 25:53.000]  Frankfurt. You go Frankfurt, Miami.
[25:53.000 --> 25:54.000]  Yes.
[25:54.000 --> 25:59.000]  And then you land in Miami. Miami's International Airport. And then what happens?
[25:59.000 --> 26:07.000]  I get to the kiosk because I'm a global entry person and enter the information,
[26:07.000 --> 26:12.000]  put my fingerprints and mark the fact that I've been in Nigeria and nobody cares.
[26:12.000 --> 26:13.000]  Nobody's talking.
[26:13.000 --> 26:14.000]  Nobody's talking.
[26:14.000 --> 26:15.000]  Not a single test.
[26:15.000 --> 26:16.000]  Nothing.
[26:16.000 --> 26:19.000]  And you were thinking one.
[26:19.000 --> 26:29.000]  And I'm thinking that I've just spent the bulk of my time worrying about entrance and exits
[26:29.000 --> 26:38.000]  because my key role was to help develop the exit strategy and the entrance strategy so
[26:38.000 --> 26:44.000]  no more cases of Ebola could be imported into Nigeria and no case of Ebola could be exported
[26:44.000 --> 26:45.000]  from Nigeria.
[26:45.000 --> 26:48.000]  So they were doing it in Nigeria but no one was doing it here in the United States?
[26:48.000 --> 26:49.000]  Nor in Germany.
[26:49.000 --> 26:50.000]  All right.
[26:50.000 --> 26:54.000]  So were you surprised then when you heard about the first case of Ebola here in the
[26:54.000 --> 26:55.000]  United States?
[26:55.000 --> 26:56.000]  No.
[26:56.000 --> 26:57.000]  It was about to happen.
[26:57.000 --> 26:58.000]  Yeah.
[26:58.000 --> 27:01.000]  Because of what we've already spoken about.
[27:01.000 --> 27:08.240]  That the incubation period is 2 to 21 days and the best we could do, and we did the best
[27:08.240 --> 27:15.400]  that any country is doing in Nigeria, but the best we can do is look for symptoms, test
[27:15.400 --> 27:21.400]  for symptoms in symptomatic patients and ask epidemiologic questions.
[27:21.400 --> 27:26.400]  But if somebody either doesn't know they were exposed or lies on these questionnaires.
[27:26.400 --> 27:29.400]  Is that the first case who came from Africa here?
[27:29.400 --> 27:30.400]  Oh, yeah.
[27:30.400 --> 27:31.400]  Oh, he lied a lot.
[27:31.400 --> 27:32.400]  No.
[27:32.400 --> 27:36.400]  Not the one to Dallas but the one to Nigeria.
[27:36.400 --> 27:37.400]  No.
[27:37.400 --> 27:38.400]  Okay.
[27:38.400 --> 27:39.400]  Let's leave it at that.
[27:39.400 --> 27:40.400]  Were you surprised if we find more cases of Ebola?
[27:40.400 --> 27:45.400]  Over and over again from healthcare people like this doctor who was setting up protocols
[27:45.400 --> 27:49.880]  to try to keep it out of Nigeria, to try to keep it from leaving Nigeria.
[27:49.880 --> 27:52.720]  We heard the same thing when the news crew came back.
[27:52.720 --> 27:57.480]  They said they had been covering it directly and they said, oh, yeah, I think I heard something
[27:57.480 --> 27:58.480]  about that.
[27:58.480 --> 28:01.520]  They go away for a while and then they come back and they say, you should watch out for
[28:01.520 --> 28:03.400]  signs of developing Ebola.
[28:03.400 --> 28:05.440]  They should say, well, what should I look for?
[28:05.440 --> 28:06.440]  I don't know.
[28:06.440 --> 28:09.800]  And they let the two people traveling with her who were cameraman and producer.
[28:09.800 --> 28:11.180]  They also let them through.
[28:11.180 --> 28:14.440]  Same thing we heard from Dr. Gil Mobley in Atlanta.
[28:14.440 --> 28:19.240]  He staged a protest in the airport wearing a protective clothing suit to try to draw
[28:19.240 --> 28:23.800]  people's attention to the fact that nothing is being done to screen anyone.
[28:23.800 --> 28:28.760]  Now when they touched down the Marines at the hot zone in Ebola, they had Liberians
[28:28.760 --> 28:31.120]  come out and take their temperature.
[28:31.120 --> 28:32.400]  We don't do that.
[28:32.400 --> 28:34.400]  It's exactly the opposite.
[28:34.400 --> 28:37.440]  I mean, if it wasn't being engineered, if they weren't doing everything they could to
[28:37.440 --> 28:41.040]  spread it, we would be living in a complete idiocracy.
[28:41.040 --> 28:42.440]  But I don't think they're that stupid.
[28:42.440 --> 28:45.920]  We're going to be talking to you taking your calls coming up in the next segment.
[28:45.920 --> 28:50.280]  We're also going to take a look at the money trail with Big Pharma and Ebola.
[28:50.280 --> 28:51.280]  Stay with us.
[28:51.280 --> 29:18.280]  We'll see you in the next video.
[29:18.280 --> 29:43.280]  We'll see you in the next video.
[29:48.280 --> 30:14.280]  We'll see you in the next video.
[30:14.280 --> 30:39.280]  We'll see you in the next video.
[30:39.280 --> 31:07.280]  We'll see you in the next video.
[31:07.280 --> 31:36.280]  We'll see you in the next video.
[31:36.280 --> 31:58.280]  We'll see you in the next video.
[32:06.280 --> 32:35.280]  We'll see you in the next video.
[32:35.280 --> 33:01.280]  We'll see you in the next video.
[33:01.280 --> 33:28.280]  We'll see you in the next video.
[33:28.280 --> 33:57.280]  We'll see you in the next video.
[33:57.280 --> 34:24.280]  We'll see you in the next video.
[34:24.280 --> 34:51.280]  We'll see you in the next video.
[34:51.280 --> 35:20.280]  We'll see you in the next video.
[35:21.280 --> 35:48.280]  We'll see you in the next video.
[35:48.280 --> 36:01.280]  That brings to mind the reckless behavior that Judge Jenkins and Dallas modeled for everybody when he went to the apartment and said there is zero risk that I can get it here because I'm not touching a patient.
[36:01.280 --> 36:03.280]  You don't have to touch a patient to get it.
[36:03.280 --> 36:07.280]  And of course, she was on the outside of the Ebola crisis center.
[36:07.280 --> 36:10.280]  Of course, Dr. Kent Brantley, who was working there, also contracted it.
[36:10.280 --> 36:14.280]  I don't know what he thinks was the means of his getting infected.
[36:14.280 --> 36:22.280]  But listen, at the time that Judge Jenkins went in, it was several days after the patient had left.
[36:22.280 --> 36:25.280]  I would not feel confident going into that apartment.
[36:25.280 --> 36:36.280]  And of course, the people who cleaned it up two days later, two days later, went another level above the hazmat suits that CDC had prescribed.
[36:36.280 --> 36:48.280]  To go into that apartment and then to brag at a press conference that he's wearing the same shirt that he wore into the apartment and hung out with them in the apartment and then drove them in his car for 45 minutes.
[36:48.280 --> 36:52.280]  And he comes to a press conference and says, I'm wearing the same shirt, no problem.
[36:52.280 --> 37:02.280]  He is sending a very reckless and dangerous message to people, something that whether he intends it to or not, he does work for Homeland Security.
[37:02.280 --> 37:07.280]  So whether or not he intends this, he is sending a message to people that could very well spread this.
[37:07.280 --> 37:15.280]  The virus lasts, they say, anywhere from a few hours to a few days and it also is dependent on the amount of sunlight that it gets.
[37:15.280 --> 37:17.280]  And we're going to have a report about that as well.
