[00:00.000 --> 00:05.000]  Government cover-ups. You want answers? Well, so does he.
[12:18.000 --> 12:34.000]  Now we have a medical-industrial complex. The media is very much involved with government, as well as just about everything that we have, government and businesses, are very much involved.
[12:34.000 --> 12:45.000]  But the original purpose of our government was to regulate the government, and not for the government to regulate the people.
[12:45.000 --> 12:51.000]  Because there really isn't any authority to people for the government to tell us what to do with our civil liberties, but to run our businesses.
[12:51.000 --> 12:59.000]  I mean, if we believe in the marketplace, the market is supposed to be self-regulating, and there can be a case made for that.
[12:59.000 --> 13:05.000]  But we have embarked for many years in this effort to have the government do all the regulating.
[13:05.000 --> 13:11.000]  But from my viewpoint, and the viewpoint of many others, we should be regulating the government.
[13:11.000 --> 13:20.000]  We essentially don't. I mean, when you think about the authority, you as the chairman of the Federal Reserve and what the Federal Reserve can do,
[13:20.000 --> 13:32.000]  I mean, it really goes unaudited and very, very little oversight. And now when you think about the recent embarking of the president's working group,
[13:32.000 --> 13:39.000]  and this is not an advisory group, it's called a working group. I mean, they're not economic advisers. We have presidential economic advisories.
[13:39.000 --> 13:47.000]  But we don't have minutes of the working group. We don't know what they do, what kind of action, what authority they have.
[13:47.000 --> 13:55.000]  And once in a while we hear a report, but we're giving more power to this working group.
[13:55.000 --> 14:03.000]  Which means that it looks like we've really given up on the republic, you know, freedom and the marketplace and sound money.
[14:03.000 --> 14:10.000]  And all we accept is more encroachment of our civil liberties, more collusion between business and government.
[14:10.000 --> 14:17.000]  And it looks like this is a massive increase in the combination of government and big business.
[14:17.000 --> 14:26.000]  So my concern really is very philosophic. I mean, most of us deal here from day to day, is this regulation good or this regulation bad,
[14:26.000 --> 14:34.000]  without realizing that the general rule is that when government creates a regulation, they create the need for two more regulations.
[14:34.000 --> 14:43.000]  And the same way, when we allow our banking system to inflate the economy, it causes the bubbles to occur,
[14:43.000 --> 14:49.000]  and then we have to inflate to prevent them from breaking and, you know, deflating.
[14:49.000 --> 14:53.000]  So it goes on and on and we perpetuate our problems.
[14:53.000 --> 15:02.000]  But it seems to me that the basic question that we don't ask and we should ask is, why do we have a business cycle?
[15:02.000 --> 15:10.000]  And for 100 years, the conclusion has been in this country, philosophically and practically at the political level,
[15:10.000 --> 15:14.000]  is that it's a consequence of freedom. It's a consequence of capitalism.
[15:14.000 --> 15:20.000]  And therefore, we need government to save the people from their freedom, freedom of choice personally,
[15:20.000 --> 15:23.000]  loss of civil liberties, and the freedom of choice of businesses.
[15:23.000 --> 15:30.000]  So could you tell me, do you accept the idea that the business cycle is a consequence of capitalism and freedom,
[15:30.000 --> 15:36.000]  or is it a business cycle? Could it be that others who say it's a consequence of government interference?
[15:36.000 --> 15:40.000]  Because that to me is the key question, and depending on how you answer that,
[15:40.000 --> 15:44.000]  depends on everything we do from here on out.
[15:44.000 --> 15:49.000]  Well, Congressman, first the word on the president's working group.
[15:49.000 --> 15:54.000]  That's a informal group of the heads of various agencies.
[15:54.000 --> 15:58.000]  It has no separate statutory authorities, but it's a chance to get together and talk about issues.
[15:58.000 --> 16:05.000]  And in a number of occasions, as you've noted, we've put out reports that have no statutory authority,
[16:05.000 --> 16:10.000]  but represent our thinking and our staff's thinking on some various issues.
[16:10.000 --> 16:15.000]  Certainly, large parts of the fluctuations in the economy are from the free market.
[16:15.000 --> 16:21.000]  They represent changes in productivity, for example, changes in business activity.
[16:21.000 --> 16:28.000]  There are probably also those circumstances in which fluctuations are due to government intervention,
[16:28.000 --> 16:31.000]  government spending during wars, for example.
[16:31.000 --> 16:37.000]  An example which is particularly relevant to the current discussion is that during the 19th century,
[16:37.000 --> 16:41.000]  the United States had periodic financial crises where banks would fail,
[16:41.000 --> 16:46.000]  and there would be sometimes effects on the broader economy.
[16:46.000 --> 16:51.000]  And it was dissatisfaction with that that led in 1913 to the creation of the Federal Reserve
[16:51.000 --> 16:54.000]  to try and stop these periodic financial crises.
[16:54.000 --> 17:00.000]  This created the set of consequences that you allude to in the sense that
[17:00.000 --> 17:05.000]  if you're going to give the Federal Reserve power over the financial system,
[17:05.000 --> 17:10.000]  in particular, if there's going to be moral hazard induced by that,
[17:10.000 --> 17:15.000]  then for the protection, you need to have some regulation to prevent the moral hazard
[17:15.000 --> 17:19.000]  from creating further distortions in the financial system.
[17:19.000 --> 17:26.000]  But I do agree with you that the fluctuations often have private sector entrepreneurial component to it,
[17:26.000 --> 17:31.000]  and we are neither able nor should we try to completely eliminate fluctuations in the economy.
[17:31.000 --> 17:33.000]  Does the Federal Reserve contribute to the business cycle?
[17:33.000 --> 17:35.000]  It has. It has in times.
[17:35.000 --> 17:41.000]  Most notably during the 70s when inflation got out of control and the Fed had to raise interest rates sharply
[17:41.000 --> 17:45.000]  to control inflation, and it resulted sometimes in slowdowns in real estate.
[17:45.000 --> 17:49.000]  Does excessive credit and low interest rate cause malinvestment?
[17:49.000 --> 17:51.000]  Artificially low interest rates?
[17:51.000 --> 17:53.000]  Is that market driven?
[17:53.000 --> 17:57.000]  The question is the judgment about where interest rates ought to be.
[17:57.000 --> 18:01.000]  We have, of course, a mandate for maximum employment and price stability.
[18:01.000 --> 18:05.000]  We're trying to balance those obligations.
[18:05.000 --> 18:10.000]  So we could make mistakes and put the interest rate at the wrong place, and that would have negative impacts.
[18:10.000 --> 18:11.000]  I agree.
[18:11.000 --> 18:14.000]  So we're doing the best we can to find the right place to put the interest rate,
[18:14.000 --> 18:20.000]  the one that's consistent with the neutral rate or the rate that establishes a full employment economy.
[18:20.000 --> 18:24.000]  And someday we may try the market to determine the interest rates.
[18:24.000 --> 18:27.000]  Thank you.
[18:27.000 --> 18:33.000]  Well, there you have it in the House Banking Committee, Congressman Ron Paul,
[18:33.000 --> 18:39.000]  the leading Republican on the committee, grilling Bernanke.
[18:39.000 --> 18:45.000]  And if you read the proposal made last Thursday by the Federal Reserve,
[18:45.000 --> 18:51.000]  by the way, we have Bob Chapman joining us in the third hour to talk about that from the International Forecaster.
[18:51.000 --> 18:52.000]  It's amazing.
[18:52.000 --> 18:57.000]  And I was driving into the Sunday radio show Sunday, and I heard Fox News Radio going,
[18:57.000 --> 19:02.000]  the Federal Reserve is proposing to crack down on corruption in the markets and problems.
[19:02.000 --> 19:05.000]  And it said, strangely enough, with less regulation.
[19:05.000 --> 19:11.000]  So get rid of the Securities and Exchange Commission,
[19:11.000 --> 19:13.000]  get rid of a bunch of other federal agencies,
[19:13.000 --> 19:17.000]  which, granted, are revolving doors from the Federal Reserve
[19:17.000 --> 19:22.000]  and revolving doors from Wall Street and the brokerage houses and banks.
[19:22.000 --> 19:26.000]  Kind of like the FDA is a revolving door, the EPA is a revolving door,
[19:26.000 --> 19:33.000]  or the Pentagon is a revolving door from the defense contractors and the generals.
[19:33.000 --> 19:38.000]  But now it's just one group will have all the power, the private bankers that own us,
[19:38.000 --> 19:41.000]  that own you and your family.
[19:41.000 --> 19:43.000]  That's their view on it.
[19:43.000 --> 19:48.000]  We'll be right back, ladies and gentlemen, here on the GCN Radio Network.
[19:48.000 --> 20:14.000]  We're going to get into a bunch of economic news, the Jesse Ventura interview and a lot more.
[20:20.000 --> 20:23.000]  Without cutting, bleeding, drugs or damaging radiation,
[20:23.000 --> 20:27.000]  we can destroy skin cancer and breast tumors of any size
[20:27.000 --> 20:31.000]  without adverse side effects at our physician's office.
[20:31.000 --> 20:34.000]  Laser technology at its best.
[20:34.000 --> 20:39.000]  For more information, call 702-953-0267
[20:39.000 --> 20:48.000]  or visit www.LASEMEDinc.com.
[20:48.000 --> 20:53.000]  Call 702-953-0267.
[20:53.000 --> 20:57.000]  It is a big idea, a new world order.
[20:57.000 --> 21:02.000]  In the near future, Earth is dominated by a powerful world government.
[21:02.000 --> 21:05.000]  It's known as the Builder Bird.
[21:05.000 --> 21:09.000]  Both their objective being world domination.
[21:09.000 --> 21:11.000]  For thousands of years, their dark order grew.
[21:11.000 --> 21:14.000]  Now as they hail the birth of the new world order,
[21:14.000 --> 21:21.000]  their great dream of exterminating 80% of humanity is at hand.
[21:21.000 --> 21:27.000]  For the first time in history, the elite's plan for world government is blown wide open.
[21:27.000 --> 21:31.000]  You will learn the secret that drives the entire new world order agenda.
[21:31.000 --> 21:34.000]  Builder Bird is making great progress toward a world government.
[21:34.000 --> 21:37.000]  No idea, they're not after money. They have all the money they need.
[21:37.000 --> 22:04.000]  Hi, this is Brother Michael Diamond. You can now get the most important package ever on what has happened at the Catholic Church in the last 50 years.
[22:04.000 --> 22:08.000]  What happened and how the Bible predicted it would take place in the last days?
[22:08.000 --> 22:12.000]  The package contains 6 DVDs that contain 10 different programs.
[22:12.000 --> 22:16.000]  Two books that combined are over a thousand pages and other information.
[22:16.000 --> 22:20.000]  Order now at our website, mostholyfamilymonastery.com.
[22:20.000 --> 22:24.000]  That's mostholyfamilymonastery.com.
[22:24.000 --> 22:35.000]  Last word monastery spelled M-O-N-A-S-T-E-R-Y or call us at 1-800-275-1126.
[22:35.000 --> 22:42.000]  Or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[22:42.000 --> 22:47.000]  The total cost for this massive package of information is only $10.
[22:47.000 --> 22:51.000]  $15 for UPS Ground or $30 outside the U.S.
[22:51.000 --> 22:57.000]  Our beloved Republic is on her knees. The forces of globalism are destroying national sovereignty worldwide.
[22:57.000 --> 22:59.000]  But in Liberty's darkest hour, there is hope.
[22:59.000 --> 23:02.000]  The first time in modern history, the people are beginning to wake up.
[23:02.000 --> 23:08.000]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order master plan.
[23:08.000 --> 23:12.000]  We have a short time frame to fully awaken and energize the people to meet this threat.
[23:12.000 --> 23:21.000]  In the Info War, prisonplanet.tv is a powerful weapon in the battle to regain our freedom.
[23:21.000 --> 23:28.000]  All 18 of my documentary films can be downloaded or streamed in super-high quality directly to your computer or iPhone and shared with others.
[23:28.000 --> 23:34.000]  Thousands of special video reports from tainted vaccines to martial law can be found in this online video library,
[23:34.000 --> 23:39.000]  by weekly news television broadcast, thousands of exclusive audio interviews and so much more.
[23:39.000 --> 23:44.000]  The Info War is waiting for you to set it free. Join prisonplanet.tv.
[23:44.000 --> 23:48.000]  Burn the info bombs to disc. Put them on the file sharing networks.
[23:48.000 --> 23:50.000]  Bring down the New World Order.
[23:50.000 --> 23:52.000]  Prisonplanet.tv
[23:52.000 --> 24:13.000]  Before I get back into the incredible Jesse Ventura revelations, there were like five of them breaking here on this show yesterday.
[24:13.000 --> 24:15.000]  I had no idea it was going to do that.
[24:15.000 --> 24:22.000]  And before I get into the economy and the guest we have joining us today,
[24:22.000 --> 24:31.000]  I wanted to get into a story out of the Metropolitan newspaper out of Canada.
[24:31.000 --> 24:42.000]  Obama's minister claims that HIV AIDS is a eugenics depopulation agenda and is supported by U.S. investigative researchers.
[24:42.000 --> 24:49.000]  This is by David Stein. I'm going to get David Stein on. You'll probably hear him tomorrow or next week.
[24:49.000 --> 24:58.000]  But in this article, he goes over a lot of the mainline history and research and documents that the autoimmune virus known as AIDS
[24:58.000 --> 25:16.000]  was engineered as a soft kill, as a slow kill, hard to track bio weapon, and that it's only an umbrella cover story now for a whole bunch of different soft kill bio weapons that are targeted towards blacks.
[25:16.000 --> 25:31.000]  They also, of course, homo sapiens sapiens are also closely interrelated. It kills whites as well, but more than a hundred times harder.
[25:31.000 --> 25:37.000]  And these are mainline studies, but they're suppressed for a white to contract them.
[25:37.000 --> 25:49.000]  Now, most whites in Central and Southern Europe and Eastern Europe from more invasion and Turkish invasion have a Negroid blood.
[25:49.000 --> 25:56.000]  And please don't be sub politically correct that I use a scientific term. You call in thinking that's a racist term.
[25:56.000 --> 26:03.000]  That's a Caucasian, Asian, Negro. That's where these terms come from. Let's be adults.
[26:03.000 --> 26:11.000]  They arrest you in England, if you say the word homosexual, because the ignorant public believes that it's a slander.
[26:11.000 --> 26:16.000]  It's heterosexual, homosexual, homo sapiens sapiens. It's just scientific terms.
[26:16.000 --> 26:21.000]  And I'm not being sarcastic to our learned audience that's smarter than I am in most cases.
[26:21.000 --> 26:27.000]  Believe me, you cannot underestimate how dumb some of the public are.
[26:27.000 --> 26:34.000]  Let's get back to other killing the blacks, okay? Set a freaking out about the word Negroid.
[26:34.000 --> 26:41.000]  Obama's ministers claim that HIV, AIDS, eugenics, depopulation agenda supported by U.S. investigative researchers.
[26:41.000 --> 26:46.000]  And I'm going to get into this later. That's up on infowars.com and prisonplanet.com right now.
[26:46.000 --> 26:57.000]  Or you can go to the metropolitan website and we'll post that up on the site of this post so you can go link through to it.
[26:57.000 --> 27:02.000]  School fluoride program, ensuring a lasting smile.
[27:02.000 --> 27:08.000]  Now, just type in school fluoride program or fluoride school program.
[27:08.000 --> 27:16.000]  And this is how this works very often. I was on infowars.com looking at the stories Kurt Nemo had written or posted.
[27:16.000 --> 27:20.000]  And I was reading some of the comments because there's always good tips in them.
[27:20.000 --> 27:23.000]  And a lot of times entertaining stuff as well.
[27:23.000 --> 27:27.000]  And I saw a lady saying, I'm so mad.
[27:27.000 --> 27:37.000]  My son is in elementary school and he comes home and with fluoride tablets every week and they make them watch their mouths out with fluoride treatment every morning.
[27:37.000 --> 27:45.000]  And I didn't just go off that and believe that.
[27:45.000 --> 27:53.000]  I remembered going to Margaret Sanger Elementary School in kindergarten in Dallas, Texas named after the eugenicist.
[27:53.000 --> 28:05.000]  And I remember every month having to wash our mouths out with fluoride and always feeling sick and putting my head down on the and then falling down in the bathroom.
[28:05.000 --> 28:09.000]  The chemical weapon hitting me, hitting me hard, the other kids.
[28:09.000 --> 28:11.000]  I mean, I remember not liking it.
[28:11.000 --> 28:13.000]  When they bring it out, I would.
[28:13.000 --> 28:16.000]  And of course, no one had told me no one knew they made it fun.
[28:16.000 --> 28:22.000]  It was in little boxes when they gave you the liquid or the pills or little red pills to with a little cartoon strip.
[28:22.000 --> 28:33.000]  And I remember just a few months into it getting really upset and being afraid because I didn't like the pain.
[28:33.000 --> 28:35.000]  And there's no doubting this.
[28:35.000 --> 28:39.000]  So it reminded me.
[28:39.000 --> 28:46.000]  See, there's so much, so much evil, so much institutionalized evil that you can't even keep track of it.
[28:46.000 --> 28:50.000]  You can't even be aware of it all.
[28:50.000 --> 28:52.000]  There's just too much.
[28:52.000 --> 28:57.000]  So I see this message board comment or this story comment.
[28:57.000 --> 29:03.000]  People posting in the articles, it's kind of like a message board is what people are using it for. It's really popular.
[29:03.000 --> 29:10.000]  And so I googled school fluoride program and every school in the country that's government run is doing it.
[29:10.000 --> 29:13.000]  And now it's a daily operation.
[29:13.000 --> 29:18.000]  Now, when we get back, I'm going to tell you about this.
[29:18.000 --> 29:25.000]  Now, what you understand, depending on the school program, it is 0.5 or 0.3 or 0.2.
[29:25.000 --> 29:32.000]  One part per million causes 20 point IQ reductions.
[29:32.000 --> 29:35.000]  This is parts...
[29:35.000 --> 29:38.000]  Was it parts per hundred or parts per thousand?
[29:38.000 --> 29:43.000]  I mean, this is a devastating.
[29:43.000 --> 29:47.000]  We're on the march. The empire's on the run.
[29:47.000 --> 29:53.000]  Alex Jones and the GCN Radio Network.
[29:53.000 --> 29:59.000]  Attention GCN listeners, would you like to watch uncensored, unregulated, even banned TV on your computer?
[29:59.000 --> 30:03.000]  Well, now you can watch satellite TV on your PC with an extremely simple hookup
[30:03.000 --> 30:08.000]  that allows computer owners to pick up more channels than any sane person can even watch
[30:08.000 --> 30:11.000]  without paying monthly cable or satellite fees.
[30:11.000 --> 30:16.000]  Here's the story. New video feed technology lets anyone with a high speed internet connection
[30:16.000 --> 30:20.000]  gain instant access to an endless list of underground channels from all over the globe.
[30:20.000 --> 30:23.000]  And here's the best part. It's 100% legal.
[30:23.000 --> 30:26.000]  And it works at home, the office, or even in other countries
[30:26.000 --> 30:29.000]  to grab television channels and video feeds at your command.
[30:29.000 --> 30:34.000]  GCN listeners can use it to watch hundreds of conspiracy videos absolutely free.
[30:34.000 --> 30:38.000]  Best of all, you could be watching free TV on your PC in five minutes or less.
[30:38.000 --> 30:43.000]  It's that simple. Just go to www.orderfreetv.com.
[30:43.000 --> 30:46.000]  That's www.orderfreetv.com.
[30:46.000 --> 30:53.000]  To watch unregulated TV on your PC, go to www.orderfreetv.com.
[30:53.000 --> 30:56.000]  All right, then. Let me get this straight.
[30:56.000 --> 30:59.000]  Uncivil liberties takes place in the future, right? Like Star Wars?
[30:59.000 --> 31:01.000]  Yeah, that's right. Slightly in the future.
[31:01.000 --> 31:05.000]  Wait a second. I thought Star Wars took place a long, long time ago.
[31:05.000 --> 31:09.000]  All right, Einstein. But it is kind of like Star Wars anyway.
[31:09.000 --> 31:14.000]  Just like Star Wars, there's an evil empire and some people have started an armed rebellion
[31:14.000 --> 31:16.000]  to fight the evil empire.
[31:16.000 --> 31:19.000]  Okay, so don't tell me. The government's the bad guys again.
[31:19.000 --> 31:20.000]  Yeah, that's right.
[31:20.000 --> 31:23.000]  Oh, so your character's like Luke Skywalker.
[31:23.000 --> 31:24.000]  Not exactly.
[31:24.000 --> 31:26.000]  I know. You're too bad.
[31:26.000 --> 31:31.000]  Not really. But my character does help the rebellion to stop the government's evil tracking system,
[31:31.000 --> 31:35.000]  which is happening now in the real world, just like in Uncivil Liberties.
[31:35.000 --> 31:38.000]  Wait a second. They can't track us. It's a free country.
[31:38.000 --> 31:39.000]  Exactly.
[31:39.000 --> 31:43.000]  Uncivil Liberties, a political thriller ripped from today's headlines.
[31:43.000 --> 31:49.000]  Go to UncivilLiberties.com to receive your full-length feature on DVD for only $13.95.
[31:49.000 --> 32:14.000]  Purchase a copy today at UncivilLiberties.com.
[32:21.000 --> 32:24.000]  Find out why The Nationalist Times has many thousands of loyal readers.
[32:24.000 --> 32:30.000]  Subscribe now to The Nationalist Times, America's best patriotic newspaper for just $19 for one year.
[32:30.000 --> 32:32.000]  That's less than half the regular subscription price.
[32:32.000 --> 32:38.000]  Subscribe today by sending $19 to The Nationalist Times 101-61 Park Run Drive,
[32:38.000 --> 32:49.000]  Suite 150, Las Vegas, Nevada, 8-9-1-4-5. That's The Nationalist Times 101-61 Park Run Drive,
[32:49.000 --> 32:53.000]  Suite 150, Las Vegas, Nevada, 8-9-1-4-5. Or subscribe online at ANU'd.
[32:53.000 --> 33:12.000]  Don't want no shackles. Don't want no shackles on me.
[33:12.000 --> 33:23.000]  Don't want no shackles. Don't want no shackles on me.
[33:23.000 --> 33:32.000]  I sit down with big brother, don't like those RFIDs.
[33:32.000 --> 33:51.000]  Got the blues about my freedom, got the blues about tyranny.
[33:51.000 --> 34:06.000]  I sit down with big brother and the national ID. Don't want a chip in my wallet, chip in my car.
[34:06.000 --> 34:10.000]  And if I want to travel, it's nobody's business how far.
[34:10.000 --> 34:22.000]  Don't want no shackles. Don't want no shackles on me.
[34:22.000 --> 34:28.000]  I sit shame on big brother, always tracking and tracing me.
[34:28.000 --> 34:36.000]  Don't want a chip in my mother, chip in my wife, chip in my babies.
[34:36.000 --> 34:44.000]  Stay out of our life, don't want no shackles on me.
[34:44.000 --> 34:54.000]  I sit down with big brother, no more slavery.
[34:54.000 --> 35:09.000]  But we talk about being tracked, being tagged, being face scanned, or cars being scanned, or cell phones tracking us. What about fluoride?
