[00:00:07.705 --> 00:00:10.966]  From the front lines of the information war, it's Alex Jones.
[00:04:41.800 --> 00:04:42.160]  Stay with us.
[00:04:42.160 --> 00:04:42.521]  I'm Alex Jones.
[00:04:42.521 --> 00:04:43.722]  You found the tip of the spear.
[00:04:43.722 --> 00:04:44.623]  It's the InfoWar.
[00:05:00.595 --> 00:05:14.984]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[00:05:14.984 --> 00:05:24.470]  Just go to InfoWarsLife.com today, select your favorite product, click on auto ship before adding to cart, and choose how often you want us to send you another order.
[00:05:24.770 --> 00:05:33.796]  Every time you choose AutoShip at InfoWarsLife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[00:05:33.796 --> 00:05:36.598]  And of course, you can cancel with one click anytime.
[00:05:36.598 --> 00:05:40.320]  As you know, I'm all about the idea of a 360 win.
[00:05:40.320 --> 00:05:44.683]  And the new AutoShip feature at InfoWarsLife.com is a sure win for everybody.
[00:05:44.683 --> 00:05:48.686]  A win for liberty, a win for health, and a win when it comes to big savings.
[00:05:48.686 --> 00:05:54.650]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:05:54.930 --> 00:05:55.451]  Big Brother.
[00:05:55.451 --> 00:05:56.072]  Mainstream media.
[00:05:56.072 --> 00:05:56.953]  Government cover-ups.
[00:06:14.981 --> 00:06:16.882]  You want answers?
[00:06:16.882 --> 00:06:18.803]  Well, so does he.
[00:06:18.803 --> 00:06:26.787]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:26.787 --> 00:06:29.889]  The Chinese proverb tells it all.
[00:06:29.889 --> 00:06:32.830]  That you live in interesting times.
[00:06:32.830 --> 00:06:33.811]  It has a double meaning.
[00:06:33.811 --> 00:06:38.593]  It can mean a cursed time, or a very advantageous time.
[00:06:38.593 --> 00:06:41.115]  Because so often in history, if you study trends,
[00:06:42.509 --> 00:06:53.493]  In the eons before our time here on this planet, our generation's time to be alive, you see that history doesn't repeat, it rhymes.
[00:06:53.493 --> 00:07:03.057]  And it is in times of great change that you can either make humanity much better or plunge into the depths of oppression and enslavement.
[00:07:03.057 --> 00:07:05.318]  Huge broadcast on this Sunday transmission.
[00:07:05.318 --> 00:07:08.079]  I intend to open the phones up about halfway into the hour.
[00:07:10.509 --> 00:07:17.931]  Then I intend to get into a lot of the economic news, a lot of the military news, a lot of the medical news.
[00:07:17.931 --> 00:07:24.734]  The EPA and FDA are working on releasing genetically engineered mosquitoes across the United States.
[00:07:24.734 --> 00:07:29.075]  Also, antibiotic resistance is not theoretical.
[00:07:29.075 --> 00:07:34.037]  The threat is real and it's here, The London Guardian says.
[00:07:34.037 --> 00:07:34.617]  We also
[00:07:36.587 --> 00:07:43.234]  Have just incredible news when it comes to the latest over-the-top crimes of ISIS.
[00:07:43.234 --> 00:07:52.504]  Europe continues to open their borders up even more as it's admitted that giant ISIS sleeping cells, some of them in the hundreds, are coming in and being allowed in.
[00:07:52.504 --> 00:07:58.250]  And I want to just say this here now because this is going to have to be a major investigative report.
[00:07:59.930 --> 00:08:04.711]  And it's going to be as big or bigger than the stuff you've seen Project Veritas do.
[00:08:04.711 --> 00:08:09.153]  And my goal is not to be bigger than James O'Keefe when it comes to these investigative reports he does.
[00:08:09.153 --> 00:08:11.774]  My goal is to stop the tyranny.
[00:08:11.774 --> 00:08:16.475]  The only problem is it's going to take a lot of time and it is dangerous.
[00:08:21.428 --> 00:08:24.850]  People say, why do I tend to tip my hand before I go into something?
[00:08:24.850 --> 00:08:38.698]  It's so that good actors inside government and corporations are aware and can figure out what I'm up to when I'm doing things so that black cats inside the corporate structure can't attack us during those missions.
[00:08:38.698 --> 00:08:45.322]  See, there's good people and bad people in the entire structure, whether it's private or corporate or mercenary or governmental.
[00:08:45.322 --> 00:08:50.666]  And the reason I signal enough for really smart people to be able to track what we're doing
[00:08:51.809 --> 00:09:03.218]  And kind of give us overwatch, and I learned to do this more than 18 years ago, doesn't then let the truly evil people in the system come after us and stop us.
[00:09:03.218 --> 00:09:08.222]  So that's why I tend to give enough hints about what I'm going to do.
[00:09:08.222 --> 00:09:10.584]  We know of multiple locations with details.
[00:09:10.584 --> 00:09:13.286]  I mean, absolute proven fact already in my hands.
[00:09:14.312 --> 00:09:33.085]  That what you saw happen in Germany and France and Sweden and Denmark and many other European countries in the last three years is currently happening on a gigantor scale that may be as big as the influx of radical Muslims into Europe.
[00:09:34.659 --> 00:09:47.845]  You know about the C-130s coming in daily, and it's been in local news in New York and in New York City at LaGuardia and at the San Francisco airport.
[00:09:47.845 --> 00:09:57.029]  It's in the local paper that the private planes and the government C-130s land, the refugees come off from North Africa and the Middle East, and they then just disappear.
[00:09:57.029 --> 00:09:57.990]  No one's told where they go.
[00:09:58.760 --> 00:10:08.625]  You've got the Texas governor, last year, saying, you're bringing in thousands into Texas, you won't tell us where they're going, you won't give us names or anything.
[00:10:08.625 --> 00:10:21.091]  I have now confirmed in two different states, at two different sites, all the facts that they are kicking old people, Hispanic, black and white, predominantly, out of Section 8 housing.
[00:10:21.091 --> 00:10:24.473]  Again, this has been happening in Europe, it's been in the news.
[00:10:24.473 --> 00:10:27.094]  But that it's thousands and thousands
[00:10:28.507 --> 00:10:30.568]  A month in big cities.
[00:10:30.568 --> 00:10:34.071]  Hundreds and hundreds, even in middle-sized towns.
[00:10:34.071 --> 00:10:36.812]  Now remember, Jakari Jackson went out last year and reported on this.
[00:10:36.812 --> 00:10:37.813]  We're going to go back out.
[00:10:37.813 --> 00:10:42.936]  Anderson High in Austin, Texas, my alma mater.
[00:10:42.936 --> 00:10:44.657]  I went a couple years in Dallas, a couple years here.
[00:10:44.657 --> 00:10:46.519]  Graduated in Austin.
[00:10:46.519 --> 00:10:50.381]  Had 231, just in 2015, children of, quote, migrants, of refugees from Iraq and Syria.
[00:10:59.622 --> 00:11:05.786]  And the school that only has over 1,000 people is under huge labor to deal with this and process it.
[00:11:05.786 --> 00:11:08.167]  They don't speak a lick of English.
[00:11:08.167 --> 00:11:10.028]  Then we started calling around other high schools.
[00:11:10.028 --> 00:11:11.389]  Hundreds here, hundreds there.
[00:11:11.389 --> 00:11:12.890]  Every high school had over 100.
[00:11:12.890 --> 00:11:18.173]  Anderson had 230-something, the most we could find.
[00:11:18.173 --> 00:11:19.254]  They were quite honest about it.
[00:11:21.243 --> 00:11:25.051]  They told the governor at that time it was 200 to the whole state.
[00:11:25.051 --> 00:11:27.015]  This is a huge cover-up.
[00:11:27.015 --> 00:11:29.620]  Just like we broke in McAllen, Texas.
[00:11:29.620 --> 00:11:31.905]  Does the Border Patrol call us two years ago now?
[00:11:32.824 --> 00:11:35.465]  It was later confirmed on Fox News when the Border Patrol came on.
[00:11:35.465 --> 00:11:38.786]  Their head of the union said, no, we complete the smuggling process.
[00:11:38.786 --> 00:11:40.367]  They bring them in on buses.
[00:11:40.367 --> 00:11:48.410]  The Border Patrol takes them, gives them money, vouchers, and then ships them to Democratic Party facilities and Democrat homes all over the country.
[00:11:48.410 --> 00:11:50.511]  Then they get welfare for them.
[00:11:50.511 --> 00:11:51.711]  Now, here's the big news flash.
[00:11:51.711 --> 00:12:01.275]  Whether they be from Latin America or Syria or anywhere else, Saudi Arabia, Pakistan, you name it, they are giving them Social Security numbers in new names.
[00:12:02.884 --> 00:12:11.088]  And folks, when I say this is dangerous, this is dangerous.
[00:12:11.088 --> 00:12:16.031]  Because we have this directly from the inside.
[00:12:16.031 --> 00:12:18.512]  Signed, sealed, delivered.
[00:12:18.512 --> 00:12:22.034]  And I'm saying this now to just get this out there because I'm not going to sit on this.
[00:12:22.034 --> 00:12:23.174]  I'm going to be on this this week.
[00:12:27.765 --> 00:12:33.846]  I've learned people just don't want to see documents and people's faces blurred out talking about it, you know, that are at these facilities.
[00:12:33.846 --> 00:12:35.787]  People want to see it.
[00:12:35.787 --> 00:12:38.888]  And people... So I'm going to go in.
[00:12:38.888 --> 00:12:41.748]  I'm going to wear a disguise the whole nine yards.
[00:12:41.748 --> 00:12:43.289]  I'm going in.
[00:12:43.289 --> 00:12:45.289]  I'm done.
[00:12:45.289 --> 00:12:47.890]  And I'm doing it.
[00:12:47.890 --> 00:12:52.191]  So, I may be on the road, just, just, just, everybody's going to have to deal with it.
[00:12:53.157 --> 00:12:55.018]  And there's a bunch of other stories I've been working on.
[00:12:55.018 --> 00:12:57.619]  It's the reason I was out last week, part of the time.
[00:12:57.619 --> 00:12:59.879]  It's just, it's too intense right now.
[00:12:59.879 --> 00:13:05.841]  And I just cannot take all these documented leads that are coming in and let these investigations fall to the wayside because I'm overwhelmed.
[00:13:05.841 --> 00:13:09.403]  I've got to recommit to 18 hours a day and I've got to deliver it.
[00:13:09.403 --> 00:13:09.883]  And I will.
[00:13:09.883 --> 00:13:13.544]  Because we're in a unique position to fight the globalists.
[00:13:13.544 --> 00:13:15.545]  But here's the bottom line.
[00:13:15.545 --> 00:13:16.745]  The country is wide open.
[00:13:16.745 --> 00:13:18.746]  The government is totally run by foreign criminals.
[00:13:18.746 --> 00:13:21.827]  We are totally in the hands of people that hate us.
[00:13:23.080 --> 00:13:24.621]  They have checkpoints on the highways.
[00:13:24.621 --> 00:13:26.642]  They search you at the TSA.
[00:13:26.642 --> 00:13:30.204]  The lines at the TSA are record lengths.
[00:13:30.204 --> 00:13:36.428]  They put citizens through all this Homeland Security garbage when you buy a car, a house, a hotel room, whatever.
[00:13:36.428 --> 00:13:41.991]  Rent a car, but if you're coming in from anywhere in the world, they will let you come in with no documentation.
[00:13:41.991 --> 00:13:49.595]  They will let real terrorists come in and give them fake names or new identities and social security numbers.
[00:13:49.595 --> 00:13:50.576]  That's what Obama's doing.
[00:13:52.560 --> 00:14:00.242]  I mean, they're giving people just random names that don't even match where they're from or their culture.
[00:14:00.242 --> 00:14:03.183]  Our government is importing the sleeper cells.
[00:14:03.183 --> 00:14:04.163]  We are wide open.
[00:14:04.163 --> 00:14:09.305]  This is total treason.
[00:14:09.305 --> 00:14:12.006]  And the TSA says, hey, we've had federal budget cuts.
[00:14:12.006 --> 00:14:14.787]  Get ready for two, three, four-hour lines at the airports.
[00:14:14.787 --> 00:14:15.627]  That's in the New York Times.
[00:14:16.752 --> 00:14:28.040]  The feds bring in the radicals, let them attack us, then take our freedoms, and then say get rid of all your encryption, because we've got to keep you safe from the jihadists we brought in.
[00:14:28.040 --> 00:14:31.523]  So that's going to be breaking.
[00:14:31.523 --> 00:14:36.326]  And it is acorn level stuff, what you saw with James O'Keefe.
[00:14:36.326 --> 00:14:38.368]  I'll just tell you that.
[00:14:38.368 --> 00:14:42.851]  You know, I'm tempted just to give this to James O'Keefe, and it's not that I don't even want the credit.
[00:14:42.851 --> 00:14:45.653]  I'm so busy trying to run all this, but
[00:14:47.605 --> 00:14:48.226]  That's an idea.
[00:14:48.226 --> 00:14:49.827]  I could do it in association with him.
[00:14:49.827 --> 00:14:53.790]  It would take them a month to do this.
[00:14:53.790 --> 00:14:54.511]  I've got all the intel.
[00:14:54.511 --> 00:14:55.552]  I've been working on it for a week.
[00:14:55.552 --> 00:14:57.273]  I'm ready to do it right now.
[00:14:57.273 --> 00:15:00.296]  And I'm done.
[00:15:00.296 --> 00:15:05.740]  And by the way, people are scared of these people at these Section 8 facilities.
[00:15:05.740 --> 00:15:07.182]  And they're getting in folks' face.
[00:15:07.182 --> 00:15:11.605]  And I can't just send my reporters in to deal with folks that will physically attack you.
[00:15:11.605 --> 00:15:12.226]  So I'm going in.
[00:15:13.394 --> 00:15:16.838]  And if these jihadis want that, you know, that's just the way it is.
[00:15:16.838 --> 00:15:24.265]  I'm going, as an American citizen under the First Amendment, to document and to cover all this, and that's what I'm doing.
[00:15:24.265 --> 00:15:30.471]  And I'm not overblowing it, but I'm also, I mean, it's less dangerous to drive down the highway, you know, in your car.
[00:15:30.471 --> 00:15:33.314]  But the real danger is our borders are wide open.
[00:15:34.438 --> 00:15:43.680]  And there's a larger divide and conquer, balkanization planned all this, and it shows how dumb the elite think we are that they would try something like this against the American people.
[00:15:43.680 --> 00:15:45.601]  It's truly over the top.
[00:15:45.601 --> 00:15:57.164]  We're going to come back after break with this investigative report breakdown, the latest on Trump and the huge admission that George Soros and Hillary funded the attacks in Chicago and more against the First Amendment and Trump.
[00:15:57.164 --> 00:15:57.604]  Stay with us.
[00:15:59.335 --> 00:16:02.837]  When cells become toxic, they die early and aging sets in.
[00:16:02.837 --> 00:16:11.081]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:16:11.081 --> 00:16:16.504]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:16:16.504 --> 00:16:19.025]  You want the best that's out there at the lowest price anywhere?
[00:16:19.025 --> 00:16:21.146]  We now have the synergistic solution.
[00:16:21.146 --> 00:16:25.329]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:16:29.312 --> 00:16:30.232]  Shower Filters.
[00:16:30.232 --> 00:16:31.953]  We're introducing the best yet.
[00:16:31.953 --> 00:16:36.014]  The brand new ProPure ProMax High Performance Shower Filter.
[00:16:36.014 --> 00:16:40.836]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:16:40.836 --> 00:16:47.918]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:16:47.918 --> 00:16:54.841]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[00:17:00.490 --> 00:17:04.274]  Thousands of years ago, there was a basic form of chivalry.
[00:17:04.274 --> 00:17:12.001]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:17:12.001 --> 00:17:20.610]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:17:20.610 --> 00:17:24.674]  But in the 21st century, there are silent weapons for quiet war.
[00:17:25.034 --> 00:17:34.861]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality, turn off our hormones, and accelerate our journey towards death.
[00:17:34.861 --> 00:17:38.283]  I personally counter this onslaught with AnthroPlex.
[00:17:38.283 --> 00:17:49.331]  AnthroPlex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:17:49.411 --> 00:17:52.294]  Discover why Anthroplex is turning so many heads today.
[00:17:52.294 --> 00:17:55.397]  It's time for us to take our bodies back into our own hands.
[00:17:55.397 --> 00:17:58.300]  And it starts at Infowarslife.com with Anthroplex.
[00:18:00.074 --> 00:18:03.275]  A clean, toxic-free body is the foundation of true health.
[00:18:03.275 --> 00:18:05.636]  Deep Cleanze by Infowarslife.com.
[00:18:05.636 --> 00:18:12.639]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:18:12.639 --> 00:18:17.961]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:18:17.961 --> 00:18:26.944]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:18:27.384 --> 00:18:36.272]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:18:36.272 --> 00:18:43.358]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[00:18:43.358 --> 00:18:48.723]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best.
[00:18:48.803 --> 00:18:53.510]  Over the years there have been a lot of powerful advancements in the field of science and nutraceuticals
[00:19:04.986 --> 00:19:13.809]  Yongevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:19:13.809 --> 00:19:17.770]  Yongevity also offers you an ingenious way to augment your income.
[00:19:17.770 --> 00:19:18.570]  And the best part?
[00:19:18.570 --> 00:19:21.431]  You'll be helping your friends and family along the way.
[00:19:21.431 --> 00:19:24.052]  Visit InfoWarsTeam.com today.
[00:19:24.052 --> 00:19:24.832]  Become a member.
[00:19:24.832 --> 00:19:28.873]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:19:29.113 --> 00:19:35.835]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:19:35.835 --> 00:19:36.795]  Another win-win.
[00:19:36.795 --> 00:19:40.536]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:19:40.536 --> 00:19:41.776]  And you can be too.
[00:19:41.776 --> 00:19:42.317]  It's simple.
[00:19:42.317 --> 00:19:45.257]  Just go to Infowarsteam.com today.
[00:19:45.257 --> 00:19:47.358]  Complete a short sign-up and you're part of the team.
[00:19:47.358 --> 00:19:50.619]  That's Infowarsteam.com or Infowarshealth.com.
[00:19:50.619 --> 00:19:56.921]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:19:56.921 --> 00:19:58.221]  Check it out for yourself today.
[00:20:03.999 --> 00:20:11.583]  You're listening to the Alex Jones Show.
[00:20:11.583 --> 00:20:21.849]  From the front lines of the information war, it's Alex Jones.
[00:20:21.849 --> 00:20:26.332]  I want to take your calls, interspersed with news and other key clips, coming up in the next segment.
[00:20:27.682 --> 00:20:28.683]  Or the segment after that.
[00:20:28.683 --> 00:20:34.707]  We have Trump insider Roger Stone popping in with an interview I taped yesterday with huge inside intel.
[00:20:34.707 --> 00:20:54.780]  Remember he was on three weeks ago and laid out the secret Koch brother meetings and the 75 million and the big telecom heads and the big Silicon Valley people meeting to go after Trump and how they'd finance Rubio and Cruz and how they'd have a theft of his nomination via a broker convention and people said oh it's a conspiracy theory the next day in the Washington Post.
[00:20:56.869 --> 00:21:03.571]  But a week later, the Washington Post came out and said it was all true, but didn't give Stone or I any credit.
[00:21:03.571 --> 00:21:04.631]  Hey, we don't need the credit.
[00:21:04.631 --> 00:21:07.452]  We just want to save our country.
[00:21:07.452 --> 00:21:09.292]  But I want to play this report.
[00:21:09.292 --> 00:21:13.653]  Here's the toll-free number, 877-789-ALEX, 877-789-2539.
[00:21:13.653 --> 00:21:17.494]  I want to give first-time callers a chance again today.
[00:21:17.494 --> 00:21:19.794]  They've got good phones.
[00:21:19.794 --> 00:21:21.275]  I don't care if you agree with me, disagree.
[00:21:21.275 --> 00:21:26.176]  I want to talk about world events, the election, the attacks on free speech.
[00:21:29.852 --> 00:21:33.575]  877-789-2539.
[00:21:33.575 --> 00:21:54.792]  But I want to go to a Paul Joseph Watson report first that he filed from London, England for Infowars.com yesterday that's gone viral that just does a mash-up of how they're trying to blame Trump for what happened in Chicago and in Ohio and other areas, Cleveland.
[00:21:57.725 --> 00:22:09.239]  I mean I actually sit there when I'm on the elliptical and I watch entire Trump speeches that are an hour long and it's
[00:22:10.885 --> 00:22:12.787]  We're going to try to bring jobs back here.
[00:22:12.787 --> 00:22:15.069]  We're not going to let China have internal tariffs.
[00:22:15.069 --> 00:22:17.531]  We're going to promote sovereignty again.
[00:22:17.531 --> 00:22:25.077]  We're going to incentivize, and just simple things that'll work, and they act like it's the most evil, horrible stuff.
[00:22:25.077 --> 00:22:29.220]  It's quite frankly not one-tenth as hardcore as it needs to be.
[00:22:29.220 --> 00:22:34.325]  It's just compared to all these other traitors, it sounds like mother's milk.
[00:22:34.325 --> 00:22:38.088]  Sounds like Beethoven and his 8th symphony.
[00:22:39.622 --> 00:22:48.709]  Compared to the clatter that we're getting from the other side, the garbage, the stench, the treasonous trash.
[00:22:48.709 --> 00:22:59.037]  But after we play this report, the Washington Post is talking about arresting Donald Trump because when other people are violent, you made them do it, so you're at fault.
[00:22:59.037 --> 00:23:00.778]  That's political correctness.
[00:23:00.778 --> 00:23:02.279]  That's what the Soviet Union did.
[00:23:02.279 --> 00:23:04.821]  It's what Europe's doing to restrict free speech.
[00:23:04.821 --> 00:23:05.522]  It's incredible.
[00:23:06.826 --> 00:23:08.251]  Think about that.
[00:23:08.251 --> 00:23:10.397]  And they mean business, folks.
[00:23:10.397 --> 00:23:11.721]  These are a bunch of bullies.
[00:23:13.749 --> 00:23:20.134]  And again, we were protesting at the abortion clinic last year peacefully, and they had the local Democrat scum.
[00:23:20.134 --> 00:23:43.372]  Some of these folks are like heads of different Democrat Party groups with communist flags, you name it, linking hands, running into us on just the grass off the road, screaming, excuse us, excuse us, out of our way, coming through, running people over, and then saying we attack them, calling the cops over, and the cops went and looked at our videos and put them in handcuffs.
[00:23:44.858 --> 00:23:48.039]  Then they scream, oh, the cops are oppressing them.
[00:23:48.039 --> 00:23:49.560]  We have video of it!
[00:23:49.560 --> 00:23:58.882]  And I've had the Democratic Party come out and say that I attacked them, and they've edited it and put it out.
[00:23:58.882 --> 00:24:04.484]  In fact, I'm not supposed to even get into it, so I'm not going to, but they've even been behind the scenes doing stuff in court.
[00:24:04.484 --> 00:24:07.605]  I mean, you just cannot believe how these people operate, folks.
[00:24:07.605 --> 00:24:09.586]  They are so over the top.
[00:24:11.903 --> 00:24:14.844]  They're weak, they're dumb, they're stupid, they're evil, so they have to cheat.
[00:24:14.844 --> 00:24:21.228]  They have to do dirty tricks because they're piles of anti-human garbage.
[00:24:21.228 --> 00:24:22.428]  And they want our free speech.
[00:24:22.428 --> 00:24:24.049]  These people are dangerous.
[00:24:24.049 --> 00:24:26.030]  They want to bully us into submission.
[00:24:26.030 --> 00:24:27.210]  They're would-be tyrants.
[00:24:27.210 --> 00:24:34.634]  There are not words to describe the treacherous, low-down dishonorableness of these people.
[00:24:34.634 --> 00:24:36.435]  Let's go to Paul Watson's powerful report.
[00:24:37.435 --> 00:24:46.825]  Crazed, violent Bernie Sanders supporters, Black Lives Matter extremists, and other leftist agitators crashed a Donald Trump rally in Chicago.
[00:24:46.825 --> 00:24:47.886]  Radical Muslims!
[00:24:47.886 --> 00:24:48.467]  Radical Muslims!
[00:24:48.467 --> 00:24:59.959]  Alleged mobs assaulted people, attacked police, tore up signs, blocked ambulances, fired guns in the air, and threatened to rape women.
[00:25:00.786 --> 00:25:05.908]  Oh, but that's just their free speech, cried the media and Bernie Sanders supporters.
[00:25:05.908 --> 00:25:06.788]  Really?
