[00:02.400 --> 00:10.200]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[16:21.520 --> 16:31.520]  InfoWars.infoWars.com.
[17:00.520 --> 17:04.520]  You've heard about the essential qualities of iodine when it comes to your well-being.
[17:04.520 --> 17:08.520]  And you've read the opinions of top experts regarding this good member of the halogen family.
[17:08.520 --> 17:15.520]  Still, reports indicate that iodine is absent in sufficient amounts from the daily lives of countless people worldwide.
[17:15.520 --> 17:19.520]  Now, our extra-strength new nascent iodine formula is here.
[17:19.520 --> 17:21.520]  Survival Shield X2.
[17:21.520 --> 17:25.520]  Leading the way into the next generation of super-high-quality nascent iodine,
[17:25.520 --> 17:30.520]  InfoWars Life Survival Shield X2 is derived from 200-plus million-year-old salt solutions,
[17:30.520 --> 17:33.520]  found more than 7,000 feet below the Earth's surface.
[17:33.520 --> 17:38.520]  The result is a unique nascent iodine that is both concentrated and free of unwanted additives,
[17:38.520 --> 17:41.520]  genetically modified ingredients, and completely vegan.
[17:41.520 --> 17:45.520]  We even pre-screen our Survival Shield X2 iodine for radiation.
[17:45.520 --> 17:48.520]  Pure, clean, and sourced from deep within the Earth.
[17:48.520 --> 17:54.520]  X2 nascent iodine is available exclusively at infowarslife.com, infowarstore.com,
[17:54.520 --> 18:19.520]  or call 1-888-253-3139.
[18:27.520 --> 18:31.520]  It's time to transform your game from passive listener to active participant.
[18:31.520 --> 18:35.520]  We from Scotland have had our skin in this game for the greater part of the last thousand years,
[18:35.520 --> 18:37.520]  and I'm still fighting.
[18:37.520 --> 18:40.520]  If we don't all stand up right now, we're going to lose everything.
[18:40.520 --> 18:42.520]  The InfoWars is worldwide.
[18:42.520 --> 18:46.520]  Tell your friends about InfoWars and let them know that InfoWars doesn't print bull.
[18:46.520 --> 18:50.520]  It's real journalism and news, backed up by documented fact.
[18:50.520 --> 18:57.520]  Step up and take your friends and family to infowars.com, prismplanet.tv, and planetinfowars.com.
[18:57.520 --> 19:21.520]  The truth will set them free.
[19:29.520 --> 19:33.520]  The government's Department of Homeland Security is buying up loads of ammo.
[19:33.520 --> 19:37.520]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[19:37.520 --> 19:39.520]  Can you put two and two together?
[19:39.520 --> 19:44.520]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds,
[19:44.520 --> 19:47.520]  is reasonably priced and fully legal.
[19:47.520 --> 19:48.520]  But for how long?
[19:48.520 --> 19:54.520]  Go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor dot com.
[19:54.520 --> 20:01.520]  Infidel Body Armor just won't quit.
[20:01.520 --> 20:04.520]  Coast to coast, direct from Austin.
[20:04.520 --> 20:13.520]  You're listening to the Alex Jones Broadcasting Network.
[20:13.520 --> 20:20.520]  Waging war.
[20:20.520 --> 20:31.520]  Waging war on corruption is Alex Jones.
[20:31.520 --> 20:39.520]  Man, that's smooth.
[20:39.520 --> 20:45.520]  Alright, coming up, I'm going to finish up with this whole ISIS situation.
[20:45.520 --> 20:50.520]  We're going into Obama administration blocking information from the press, AP is saying.
[20:50.520 --> 20:54.520]  Also, it doesn't just happen here in the U.S. because this happened in the U.S. as well.
[20:54.520 --> 21:05.520]  In Australia, government snitch has sex with 60 prostitutes at taxpayer expense and gets paid to do it.
[21:05.520 --> 21:09.520]  They use the info to blackmail city council members.
[21:09.520 --> 21:13.520]  Oh my goodness, that's out of the city morning, Harold.
[21:13.520 --> 21:15.520]  So some of that's coming up, really serious issue.
[21:15.520 --> 21:18.520]  Military plan in East Ukraine devastated by massive explosion.
[21:18.520 --> 21:24.520]  GM, that's the capital of Ukraine, accuses Russia of using tactical nuclear weapon.
[21:24.520 --> 21:32.520]  See the photos and videos, it is a huge mushroom cloud on infowars.com in this zero hedge story.
[21:32.520 --> 21:34.520]  But I don't think it's a nuke.
[21:34.520 --> 21:39.520]  I mean, when West Texas fertilizer plant blew up, it looked like a nuke went off.
[21:39.520 --> 21:41.520]  I mean, the Russians nuked us.
[21:41.520 --> 21:45.520]  So they saw the Russians fire, or Russian separatists, three missiles into it.
[21:45.520 --> 21:50.520]  And then it was a weapons plant full of explosives, so it blew up.
[21:50.520 --> 21:53.520]  That's coming up on that front.
[21:53.520 --> 21:57.520]  Joe Biggs, former staff sergeant of the Army, highly decorated.
[21:57.520 --> 21:59.520]  He works here as a reporter.
[21:59.520 --> 22:04.520]  He filed this report on the new ISIS video, Flames of War, that they put out to recruit.
[22:04.520 --> 22:08.520]  And jihadis are just flooding there now with the tens of thousands per month.
[22:08.520 --> 22:13.520]  And estimated 200,000 jihadis there, they think 50,000 of them or so are ISIS.
[22:13.520 --> 22:15.520]  But I mean, it's all just to confuse the public.
[22:15.520 --> 22:17.520]  They're Wahhabist out of Saudi Arabia.
[22:17.520 --> 22:24.520]  Well, Joe Biggs put together this report for InfoWars Nightly News on Friday night.
[22:24.520 --> 22:29.520]  And I thought we'd play it here for the radio audience dealing with this group.
[22:29.520 --> 22:33.520]  And he gives us his inside analysis from actually fighting al-Qaeda groups,
[22:33.520 --> 22:38.520]  Wahhabist, Akhani Networks in Iraq, and in Afghanistan.
[22:38.520 --> 22:42.520]  So let's go ahead and go to Joe Biggs' report.
[22:42.520 --> 22:45.520]  I'm Joe Biggs with infowars.com.
[22:45.520 --> 22:52.520]  Now today, the ISIS group, IS, Islamic State, Al-Caeda, whatever you want to call these guys,
[22:52.520 --> 22:59.520]  government, fund, terrorist, whatever, have come out with the full-length version of the Flames of War.
[22:59.520 --> 23:03.520]  Now, just the other day, we gave you a small preview of the trailer that was released.
[23:03.520 --> 23:10.520]  Well, today, they released a 55-minute version of this propaganda tool used to help recruit
[23:10.520 --> 23:15.520]  young, impressionable Muslim minds all around the world to come help and join in this jihad,
[23:15.520 --> 23:21.520]  this caliphate, across the world where they are threatening to behead, kill, and murder thousands of people
[23:21.520 --> 23:25.520]  as they try to transform the globe into a caliphate.
[23:25.520 --> 23:32.520]  And it's also another propaganda tool to get these young soldiers, Marines, airmen, and sailors,
[23:32.520 --> 23:38.520]  to get their hearts back into the fight, to want to actually deploy, go to Iraq, go to Syria,
[23:38.520 --> 23:41.520]  go to wherever, Africa, and take these guys on.
[23:41.520 --> 23:47.520]  So this is a very, very big propaganda tool on both sides of the spectrum.
[23:47.520 --> 23:53.520]  Just a couple of days ago, John McCain came out and was furious at Rand Paul because he said,
[23:53.520 --> 23:57.520]  you don't know ISIS, you don't know these guys, you don't go to Syria and hang out with them.
[23:57.520 --> 23:59.520]  I mean, come on, it's right here in your face.
[23:59.520 --> 24:05.520]  These guys who made a full-length movie will have the link to it at the end of the video,
[24:05.520 --> 24:07.520]  but this is just going to be the intro to it.
[24:07.520 --> 24:11.520]  And there's a couple of interesting parts they show, the famous part that we all know about
[24:11.520 --> 24:15.520]  when Bush comes out on that destroyer and says, mission accomplished.
[24:15.520 --> 24:17.520]  You know, we won our battle in Iraq, basically.
[24:17.520 --> 24:21.520]  And then Obama comes out and says, hey, you know, we're done with Iraq, we've won,
[24:21.520 --> 24:24.520]  we're pulling our troops out, we're finished.
[24:24.520 --> 24:27.520]  And each time they stamp over, they go, lie, lie.
[24:27.520 --> 24:31.520]  So this is a huge tool to get these young guys amped up,
[24:31.520 --> 24:36.520]  get the soldiers on our side amped up to go into war because that's how we make money.
[24:36.520 --> 24:41.520]  We get these contractors to come in and we start making millions of dollars still in oil.
[24:41.520 --> 24:44.520]  The more we're in a fight, the more money we make.
[24:44.520 --> 24:50.520]  Trillions of dollars.
[24:50.520 --> 24:51.520]  Small correction.
[24:51.520 --> 24:53.520]  Stealing trillions in these wars.
[24:53.520 --> 24:55.520]  Countdown terror.
[24:55.520 --> 24:56.520]  Terrorist hit.
[24:56.520 --> 24:58.520]  Levels for the blame.
[24:58.520 --> 25:02.520]  In the face of the dark wave of the Crusader Force,
[25:02.520 --> 25:08.520]  the historical land of two rivers bore life to a mission that would transform
[25:08.520 --> 25:10.520]  the political landscape of the world.
[25:10.520 --> 25:12.520]  Al Qaeda must have come.
[25:12.520 --> 25:16.520]  A mission that would herald a return to the Khilafah
[25:16.520 --> 25:19.520]  and revive the creed of the people.
[25:19.520 --> 25:23.520]  It was the establishment of the Islamic State,
[25:23.520 --> 25:27.520]  nourished by the blood of the truthful Mujahideen,
[25:27.520 --> 25:33.520]  to unite the Islamic on one call, one banner, one leader.
[25:33.520 --> 25:35.520]  Hitler said that one land, one people.
[25:35.520 --> 25:36.520]  This is sick.
[25:36.520 --> 25:40.520]  Thus the war between Eman and Kufr was ignited.
[25:40.520 --> 25:42.520]  I'm going to slap this narrator inside the head.
[25:42.520 --> 25:43.520]  I'm really done.
[25:46.520 --> 25:48.520]  These people are with us or against us.
[25:48.520 --> 25:50.520]  Bullshit.
[25:50.520 --> 25:55.520]  Either you were with us, or you were with the terrorists.
[25:55.520 --> 25:58.520]  They thought they won.
[25:58.520 --> 26:00.520]  They thought they won.
[26:00.520 --> 26:03.520]  Major combat operations in Iraq have ended.
[26:03.520 --> 26:10.520]  In the battle of Iraq, the United States and our allies have prevailed.
[26:14.520 --> 26:16.520]  They lied.
[26:16.520 --> 26:19.520]  The flames were only beginning to intensify.
[26:19.520 --> 26:21.520]  Yeah, when the CIA gave you all the weapons.
[26:24.520 --> 26:27.520]  Obama then claimed it was over.
[26:27.520 --> 26:30.520]  Iraq's future will be in the hands of...
[26:30.520 --> 26:32.520]  This is so Saudi Arabia can take over the whole area.
[26:32.520 --> 26:35.520]  And then return, they'll attack us.
[26:35.520 --> 26:38.520]  They can take our liberties here, but Saudi Arabia will be left alone.
[26:38.520 --> 26:43.520]  By the grace of Allah, the Islamic State expanded into the land of Shem.
[26:43.520 --> 26:48.520]  By the grace of NATO giving you 600 tons of weapons.
[26:48.520 --> 26:54.520]  Not by the grace of Allah, but by the grace of the great Satan that you are.
[26:54.520 --> 26:56.520]  We love great Satan.
[26:56.520 --> 26:58.520]  We work for him.
[26:58.520 --> 27:02.520]  Oh, he's so fun, he's so good.
[27:02.520 --> 27:05.520]  We love you and you all don't have to guess us.
[27:05.520 --> 27:08.520]  We destroy America and the Middle East.
[27:08.520 --> 27:10.520]  We don't let kids go to school.
[27:10.520 --> 27:14.520]  The flames in Iraq, meanwhile, continued their crawl.
[27:14.520 --> 27:18.520]  Growing stronger, leaving the Americans in bewilderment.
[27:18.520 --> 27:19.520]  Okay, guys.
[27:19.520 --> 27:23.520]  Driving American vehicles, they gave up and fighting the Islamic State.
[27:23.520 --> 27:25.520]  Islamic State is total CIA, man.
[27:25.520 --> 27:28.520]  The American Blue White House was deceitful.
[27:28.520 --> 27:32.520]  And Obama was forced to respond to the rapid rise of the Islamic State.
[27:32.520 --> 27:39.520]  Saudi Arabia and all of you were going down with your little punk Obama.
[27:39.520 --> 27:41.520]  Roll up!
[27:41.520 --> 27:46.520]  It's only because Americans are ignorant they can pull this type of stuff off.
[27:46.520 --> 27:51.520]  Our government openly running these dirtbags to chop off every Christian head they can.
[27:51.520 --> 27:53.520]  MSNBC is pleased.
[27:53.520 --> 27:58.520]  In reality, the fighting that had just begun to kill you.
[27:58.520 --> 28:01.520]  We know our ways, and we learn the future.
[28:01.520 --> 28:09.000] ...
[28:09.520 --> 28:10.560]  Hello, mahala.
[28:10.560 --> 28:11.760]  Oh, look who I am.
[28:11.760 --> 28:14.520]  You have the good one sitting in dinner.
[28:15.520 --> 28:17.000]  They got far from the groups.
[28:17.520 --> 28:20.520]  I Frosten you ears out on me.
[28:20.520 --> 28:37.520]  Well, they're right back on Alex Jones, infowars.com.
[28:50.520 --> 29:00.520]  It's not about sex, Gary.
[29:26.520 --> 29:30.520]  Often times, full of synthetic fillers, GMOs, additives, or worse,
[29:30.520 --> 29:34.520]  gently start cleaning your body with easy capsules that start working while you sleep.
[29:34.520 --> 29:39.520]  Oxipowder does not require time off work, and there's no need for bad taste and concoctions.
[29:39.520 --> 29:45.520]  Instead, oxipowder slowly releases monoatomic oxygen into the intestinal tract and body,
[29:45.520 --> 29:50.520]  experience the astonishing cleansing power of superoxide and azonite technology,
[29:50.520 --> 29:56.520]  go to infowarslife.com, or infowarsstore.com to get started with oxipowder,
[29:56.520 --> 30:15.520]  or call 1-888-253-3139.
[30:27.520 --> 30:31.520]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[30:31.520 --> 30:36.520]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs
[30:36.520 --> 30:41.520]  in order to combat the toxic environment that we cannot escape until we can fight back against,
[30:41.520 --> 30:46.520]  made with organic and wild cultivated herbs and manufactured in the U.S.A.
[30:46.520 --> 30:52.520]  The new infowarslife lung cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[30:52.520 --> 30:59.520]  Now available exclusively at infowarslife.com, or by calling toll 3-888-253-3139.
[31:38.520 --> 31:45.520]  We turned genes inside out, diamond gusset genes, made in the U.S.A. with unparalleled quality.
[31:45.520 --> 31:49.520]  Our Defender motorcycle genes combine gusset comfort with Kevlar protection,
[31:49.520 --> 31:54.520]  so you can ride all day with confidence. Order yours at gusset.com.
[31:54.520 --> 32:20.520]  Diamond gusset genes got it, others don't.
[32:30.520 --> 32:38.520]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[32:38.520 --> 32:58.520]  What we see now is a war against reality, it's a war against the truth.
[33:15.520 --> 33:20.520]  Thanks for joining us, my friends. We're now 30 minutes into this worldwide broadcast.
[33:20.520 --> 33:27.520]  The entire second hour is going to be jam-packed with very important world news and information.
[33:27.520 --> 33:34.520]  But I wanted to go over a few of the reports that our infowarsnightly news team have been filing.
[33:34.520 --> 33:41.520]  From everything with NFL brainwashing to no-knock warrants, getting police officers killed, it's all coming up.
[33:41.520 --> 33:47.520]  Urban Outfitters has been forced to apologize for what some are calling an exploration in tastelessness.
[33:47.520 --> 33:55.520]  The retailer attempted to sell a vintage Kent State University sweater, complete with tattered edges and red blood-like stains,
[33:55.520 --> 34:01.520]  offering a loose slouchy fit for those who wish to trivialize the loss of life.
[34:01.520 --> 34:08.520]  In 1970, students across the U.S. were protesting Nixon's widening of the Vietnam War into Cambodia.
[34:08.520 --> 34:13.520]  Nixon sent the National Guard to restore order to the Kent State campus.
[34:13.520 --> 34:21.520]  On May 4, 1970, four people were killed and nine wounded when the National Guard opened fire on student protesters,
[34:21.520 --> 34:26.520]  firing 67 rounds over a period of 13 seconds.
[34:26.520 --> 34:30.520]  Witnesses couldn't believe that the guardsmen weren't shooting blanks.
[34:30.520 --> 34:34.520]  Many guardsmen later testified that they were in fear for their lives,
[34:34.520 --> 34:39.520]  which was questioned because of the distance between them and the students that were killed or wounded,
[34:39.520 --> 34:45.520]  and Time Magazine later concluded that triggers weren't pulled accidentally at Kent State.
[34:45.520 --> 34:51.520]  Store officials insist that they never intended to allude to the tragic events of the Kent State Massacre,
[34:51.520 --> 34:55.520]  and they promptly removed it from their website to avoid further upset.
[34:55.520 --> 35:02.520]  Urban Outfitters' offensive deal serves as a reminder that protesters are still enemy number one to the state.
[35:02.520 --> 35:06.520]  When protesters took to the streets of Ferguson, Missouri last month
[35:06.520 --> 35:10.520]  to protest the shooting of unarmed teen Michael Brown by a police officer,
[35:10.520 --> 35:13.520]  Ferguson PD rolled out the big guns, literally.
[35:13.520 --> 35:17.520]  While protesters held signs and chanted, hands up, don't shoot,
[35:17.520 --> 35:23.520]  the PD moved in with M-Raps and fired upon protesters and reporters alike,
[35:23.520 --> 35:29.520]  with a barrage of tear gas, rubber bullets, wooden bullets, flash bang grenades, and sound cannons,
[35:29.520 --> 35:35.520]  all in an effort to stifle the First Amendment rights of those who were fed up with an abuse of authority.
[35:35.520 --> 35:38.520]  Tear gas, which is barred from use during war,
[35:38.520 --> 35:42.520]  but apparently it's completely perfect to use on demonstrators here in America
[35:42.520 --> 35:48.520]  when police fired tear gas on protesters in Oakland, California during the Occupy Wall Street protests.
