[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[04:17.960 --> 04:24.760]  there'd be other angles backing up what I know, the knowledge well. So I can go through each point
[04:24.760 --> 04:32.760]  and prove it. But then that would take 20 hours. So when we come back, I'm going to do my best to
[04:32.760 --> 04:44.040]  just cover the big breaking news. And then at the bottom of the hour, I will give you my absolute
[04:44.040 --> 04:48.600]  best breakdown of what is behind this, what's currently happening and what's coming. You do
[04:48.600 --> 04:55.160]  not want to miss this Monday, original live uncensored, unfiltered People's Prohuman Transmission.
[04:55.160 --> 05:05.880]  I'm Alex Jones. Every week, every day, every hour, every minute, every second right now is critical.
[05:05.880 --> 05:10.280]  History is happening right in front of us. And we can't be spectators. We've got to be men and
[05:10.280 --> 05:15.320]  women in the arena, regardless of race, color, creed, age, sexual privacy, it doesn't matter.
[05:15.320 --> 05:19.960]  The globalist with the chai comms and others are openly trying to plunge our economy and start a
[05:19.960 --> 05:25.000]  new depression. China, who hyped up this virus is now back to work and ramping up their economy,
[05:25.000 --> 05:29.960]  while ours is going into a freefall spiral. And Trump's desperately trying to restart it
[05:29.960 --> 05:34.360]  and create confidence. And the globalist corporate media that was worshiping China
[05:34.360 --> 05:40.120]  just a month or so ago, and their response is saying Trump is terrible because they want America to
[05:40.120 --> 05:45.560]  fail. They want you to fail, but you can expose them. You can speak out. You can share the articles
[05:45.560 --> 05:51.800]  and videos and reports at info wars and band.video that expose them and the globalist will go down.
[05:51.800 --> 06:10.600]  It's already blowing up in their face right now. So press the attack on the info war and defeat the N.W.O.
[06:22.680 --> 06:36.440]  We are my friends on an island in space.
[06:39.960 --> 06:44.440]  On the island without pain. On the island without name.
[06:44.440 --> 06:53.240]  Many miles away from home. You don't think we really originated on this planet, do you?
[06:56.280 --> 07:01.480]  You have all the memories. The establishment doesn't want you to access those memories,
[07:01.480 --> 07:09.080]  those race memories, those human race memories. Because when you remember who you are and how
[07:09.080 --> 07:17.720]  great you are, their attempts to enslave you will end like vapor and phantoms at dawn.
[07:26.680 --> 07:36.200]  Two words. I've solved the coronavirus mystery and it's just as we first thought in the beginning
[07:36.200 --> 07:41.640]  when we were openly speculating. It is a horrible virus.
[07:44.280 --> 07:45.240]  It is manmade.
[07:48.360 --> 08:00.760]  It is a soft kill weapon. Two words. Soft kill. Silent weapons for quiet wars.
[08:00.760 --> 08:06.520]  And I will break it down at the bottom of the hour, exactly what we're facing. I have spent
[08:07.160 --> 08:11.400]  hundreds of hours reading the studies, the literature, looking at the mutations,
[08:12.040 --> 08:18.760]  looking at what the scientists are saying, and they are in a consensus unequivocal that it's
[08:18.760 --> 08:26.280]  manmade and that it reinfects and it attacks one particular tissue more than the lungs.
[08:26.280 --> 08:35.480]  The testicles. Of course it does. We even have the Rockefeller
[08:35.480 --> 08:44.360]  light papers about bringing in a worldwide police state and a lockstep authoritarian clampdown.
[08:44.360 --> 08:51.400]  Those are words they use. Getting the world in lockstep, you know, like Nazi soldiers doing their
[08:51.400 --> 09:04.920]  war, high-legged march, like robots and the horses all, like robots. The tanks all in
[09:04.920 --> 09:12.280]  geometric patterns, like robots. Hitler loved it. Stalin loved it. Mao loved it. Kim Jong-il
[09:12.280 --> 09:17.480]  and his son Kim Jong-un loved it. Watching you behave like androids.
[09:17.480 --> 09:34.600]  Lockstep. You don't think this thing just came out of nowhere. No, the prescripting,
[09:34.600 --> 09:42.440]  the choreography, the pre-programming, it is absolutely the big globalist world government play.
[09:42.440 --> 09:52.120]  And the virus targets the old, who are no longer useful to the globalist, that Bill Gates openly
[09:52.120 --> 09:58.920]  said we need to target. I can play the videos we have. Everybody's seen them. And it targets men's
[09:58.920 --> 10:11.000]  testicles. Just like the HPV shot targets women's ovaries and boys and men's testicles. You can
[10:11.000 --> 10:19.240]  pull the studies up, type in Gardasil infertility. Gardasil ovaries. Gardasil testicles. And that
[10:19.240 --> 10:23.800]  too was an experimental vaccine. They couldn't get approved. Merck couldn't get approved for a decade
[10:23.800 --> 10:27.320]  because it killed so many people and caused autoimmune diseases.
[10:31.720 --> 10:35.720]  And now it's all over the news. When you read the actual study by major hospitals,
[10:35.720 --> 10:43.320]  universities in China, the testicles are bloody, lacerated pulp. It says the majority of men that
[10:43.320 --> 10:53.640]  contract it are sterilized. That's a little key piece of intel. We knew eight weeks ago
[10:54.840 --> 11:01.160]  that it reinfected. That was in the Taiwanese and Hong Kong newspapers.
[11:01.160 --> 11:07.400]  And Mike Adams did a great job translating those into English at naturalnews.com that we
[11:07.400 --> 11:16.920]  reposted at newswars.com. And it says the majority of men are made infertile to the point of
[11:16.920 --> 11:26.840]  sterility. Now already the average Western man has a 90% to 97% sperm reduction
[11:26.840 --> 11:37.240]  by age 20 than what they did in the 1950. And if you're a radio listener, we're a
[11:37.240 --> 11:42.120]  simulcasting television at infowars.com forward slash show and band on video.
[11:44.040 --> 11:49.400]  We're putting up articles. They don't even get me before the show. I just start mentioning
[11:49.400 --> 11:54.200]  things. They type it in and show it up. They pull up mainstream news about Gardasil sterilizing you
[11:54.200 --> 12:06.680]  about COVID-19. Basically eating your testicles and eating the ducts through which the sperm and
[12:06.680 --> 12:17.080]  semen go so that it can't even operate. The headlines though, I tell you to walk the plank
[12:17.080 --> 12:19.960]  in the middle of the North Atlantic. Oh, you might freeze the death. No, you're going to freeze the
[12:19.960 --> 12:25.560]  death. We fall into that water in about 60 seconds. It's below zero. Idiots will go,
[12:26.280 --> 12:32.760]  frozen saltwater doesn't freeze at that time. Excuse me. Point is, is that oh, it may cause
[12:32.760 --> 12:41.800]  infertility. You read the studies, bloody pulps. It's a virus made to eat your testicles.
[12:43.560 --> 12:47.640]  So people will say, well, Jones, you first said it was manmade and showed the studies
[12:47.640 --> 12:53.240]  and you said it looked like it was really bad. And then you said, whoa, don't panic. Well, yeah,
[12:53.240 --> 12:58.760]  panicking and acting like this will make us lose all of our liberties and freedoms.
[12:59.400 --> 13:03.800]  And this virus, they say, can be here forever. It's never going away. It's going to be seasonal,
[13:04.600 --> 13:07.960]  like the flu, except it eats your testicles.
[13:10.760 --> 13:15.720]  Now you know why Bill Gates is hopping around smiling so much. He says, we need to get rid
[13:15.720 --> 13:20.040]  of the old people and save money. Everybody claps. So we need to reduce the human population down to
[13:20.040 --> 13:23.960]  zero at the TED talk. Everybody claps. The man is a psychotic.
[13:28.040 --> 13:33.880]  And I'm so over the target on his ass. He has produced at least five TV shows and movies I know
[13:33.880 --> 13:46.920]  of that he pays for where I'm attacked by name. Others, like the good doctor on ABC,
[13:48.360 --> 13:52.120]  it's Alex Jones character. They admit it's an Alex Jones character. And I went, that's Bill Gates.
[13:52.120 --> 13:56.440]  I went to search the director and the producer works for Bill Gates and Bill Gates funded it.
[13:56.440 --> 14:03.960]  It took me two minutes to find that. I said that again, Bill Gates pays for ABC drama hospital
[14:03.960 --> 14:10.040]  shows where I'm an insane liar and that no vaccine's ever hurt anyone and everything's fine,
[14:10.040 --> 14:14.840]  even though the head scientist at the UN on December 2nd at the
[14:17.880 --> 14:25.320]  WHO headquarters in the Swiss Alps said, and we played the video here, got no coverage
[14:25.320 --> 14:35.000]  other than a couple of million views on Bandai video, thank God, that vaccines are tested and
[14:35.000 --> 14:38.520]  they are killing and hurting people and that their own doctors know it and there's a total
[14:38.520 --> 14:43.000]  rebellion and that the front line is wobbly and the cover up can't continue and that they're scared
[14:43.000 --> 14:46.840]  for their own families and that they would not give people vaccines with adjuvants.
[14:49.800 --> 14:54.120]  Seven different scientists we played clips of here. That was just like 15 minutes of video.
[14:54.120 --> 15:02.440]  There's two days of it. 19 hours of it. Rob do set up here for two days and watched all of it.
[15:04.680 --> 15:11.640]  On the weekend while his children were at home because he understands they have to have somebody
[15:11.640 --> 15:20.600]  that does the research. So this is a big plan about the world in the future and in the future
[15:20.600 --> 15:26.440]  you and your family aren't in it. So remember in a couple years when they go, oh my gosh,
[15:26.440 --> 15:36.600]  COVID-19 literally sterilized most men on earth, just remember. It's man-made on record and Obama
[15:36.600 --> 15:43.240]  sold them the precursor Chimera virus in 2015. It's in science and all the other big publications.
[15:43.240 --> 15:52.040]  We are under soft kill bio weapon attack but I'll explain soft kill later. It reinfects,
[15:52.040 --> 16:13.480]  reinfects, reinfects, reinfects to sap the money and bankrupt the country then you die.
[16:22.360 --> 16:26.760]  you as much as 25 to 50 percent over our competition and a portion of all sales is
[16:26.760 --> 16:31.240]  contributed to veteran nonprofits and events. Many of our customers have experienced improved
[16:31.240 --> 16:37.480]  quality of life, help with anxiety, PTSD and overall well being. Our products do not contain THC.
[16:37.480 --> 16:43.080]  They are safe, non-addictive, effective and 100% legal. GCN listeners get your free trial
[16:43.080 --> 16:51.080]  bottle of premium CBD by simply paying shipping and handling at GCNFreeCBD.com. That's GCNFreeCBD.com.
[16:51.080 --> 16:56.120]  Again GCNFreeCBD.com offered by Veterans Vitality Premium CBD.
[17:21.080 --> 17:26.360]  a few days away here in the U.S. Listen, while dehydrated food is becoming scarce,
[17:26.360 --> 17:32.040]  you can still get enough open pollinated heirloom seeds to grow a one-acre crisis garden. The truth
[17:32.040 --> 17:37.240]  is, growing nutrient dense vegetables in the days ahead may actually be the single most important
[17:37.240 --> 17:43.720]  thing you do. Go to survivalcbank.com and watch the new video to understand the nature of the threat.
[17:43.720 --> 17:49.800]  This could be life-saving. Lockdowns can last from six to eight weeks. Get free bonus seeds,
[17:49.800 --> 17:56.360]  special quarantine reports too. Go to survivalcbank.com. That's survivalcbank.com.
[17:58.680 --> 18:05.800]  There is a paradox. Yes, this virus is deadly and does kill people. And so do many other
[18:05.800 --> 18:13.160]  countless viruses that have already existed, that do exist and will exist. But when Trump says the
[18:13.160 --> 18:20.280]  cure is worse than disease, he's talking about the media hype creating hysteria and trying to
[18:20.280 --> 18:29.000]  create uncertainty. And it is that that I oppose. It is not the American way to cower and live in
[18:29.000 --> 18:37.640]  fear and to follow the edicts and precedents set by communist China and hyper-authoritarian Singapore,
[18:37.640 --> 18:43.640]  where you're now being given six months in jail if you don't stand at least six feet away from
[18:43.640 --> 18:50.440]  someone. This is being used by social engineers and they admit that they are trying to transform our
[18:50.440 --> 18:57.560]  world forever into something unrecognizable from what it's been. We are not slaves and we must not
[18:57.560 --> 19:02.920]  act like it. One of our best-selling products is living defense and it's been sold out for over
[19:02.920 --> 19:06.840]  four months because it's hard to source the ingredients that are organic. We've got a limited
[19:06.840 --> 19:10.920]  supply right now but it's selling out fast and I want those of you that haven't experienced living
[19:10.920 --> 19:16.120]  defense to get it for yourself. Here's just part of one testimonial. I looked in January 2016 I went
[19:16.120 --> 19:20.760]  in a hospital. I went to VA hospital out here in Boystein. I was in there until June and one of the
[19:20.760 --> 19:26.120]  only things that got me through that ordeal was listening to info wars three hours a day and I
[19:26.120 --> 19:30.200]  kept hearing doctor group and all you guys talking about living defense. Let me tell you something,
[19:30.200 --> 19:35.560]  man. I had an internal digestive problem and I stumbled with it for about five or six years and
[19:35.560 --> 19:39.880]  the doctors they tried every time. Nobody could figure out what it is and then every day when I
[19:39.880 --> 19:43.400]  kept hearing you and doctor group and those commercials I said you know what I'm gonna get
[19:43.400 --> 19:47.000]  me some of that freaking living defense. Now I wasn't supposed to have any nutritional because
[19:47.000 --> 19:51.160]  they don't want you to have a stuff but I ordered it had it shipped to me. I got it. I hid it from
[19:51.160 --> 19:56.600]  the nurses. I started taking it man. That stuff changed my life. It saved my life. Alex Jones
[19:56.600 --> 20:08.440]  and info wars saved my life. You're listening to the Alex Jones show.
[20:08.440 --> 20:27.560]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the info war.
[20:38.440 --> 20:45.560]  They just give me.
[20:48.440 --> 20:56.360]  To have microchip identification devices implanted into their body. Got a long line of heartache.
[20:56.360 --> 21:10.280]  I carry it well. The list of lives I've broken reach from here to hell.
[21:10.280 --> 21:14.280]  Bad luck when been blowing at my back.
[21:17.880 --> 21:22.040]  I pray you don't look at me. I pray I don't look back.
[21:22.040 --> 21:31.320]  Info wars is the definition of Americana and is the definition of outlaw radio and television.
[21:32.360 --> 21:37.400]  And it's because we just tell the truth and let the chips fall where they may. We don't
[21:37.400 --> 21:41.880]  follow the globalist disinformation and talking points. Welcome back. I'm your host Alex Jones.
[21:42.440 --> 21:45.160]  Now next segment I'm going to get into the big picture the soft kill.
[21:45.160 --> 21:53.560]  How this empowers every facet of the globalist agenda. And then I'll cover the latest breaking
[21:53.560 --> 21:59.960]  news information. But first I want to talk about hope. The globalist want to kill hope.
[22:01.240 --> 22:06.760]  And you've seen Nancy Pelosi come out and say every death is Trump's fault because he's fiddling
[22:06.760 --> 22:11.960]  around. Played that clip yesterday. Well now they've dug up the clips of her in late February.
[22:11.960 --> 22:21.480]  A month ago saying do not social distance go out in public congregate in San Francisco.
[22:22.360 --> 22:27.880]  Again this is insane. They're the ones that said don't block flights from China.
[22:28.840 --> 22:32.360]  For two weeks a federal judge even tried to block Trump a Democrat.
[22:34.360 --> 22:38.120]  Well what happened last week. I got banned off of the Google app.
[22:38.120 --> 22:45.560]  That was very popular but around three years for the show. And why did they do that.
[22:46.920 --> 22:57.320]  They said Jones in a video talked about promising treatments. Hydroxychloroquine zinc and ZPAC.
[22:57.320 --> 23:04.200]  I was quoting the president. I was quoting doctors on Fox News. Democrat governors responded
[23:04.200 --> 23:14.600]  in 20 states. Now Michigan California New York ordering doctors to not prescribe it.
[23:15.320 --> 23:20.520]  Even though Fauci's on record saying he would prescribe it to someone diagnosed with COVID-19.
[23:22.200 --> 23:29.960]  And think about the magnitude of this. The president of Brazil.
[23:29.960 --> 23:41.080]  The Donald Trump of South America came out and said zinc ZPACs hydroxychloroquine
[23:41.640 --> 23:48.040]  don't be in fear. He said we don't close automobile plants because tens of thousands
[23:48.040 --> 23:53.240]  of people die a month in automobile accidents in Brazil. We take precautions but we don't
[23:53.240 --> 24:03.000]  run in panic and fear. Twitter banned those tweets. So a president can't say hydroxychloroquine
[24:03.000 --> 24:09.960]  because it's 97 98% effective in those they catch early. In the EU studies. I mean Trump was just
[24:09.960 --> 24:14.760]  covering that. Trump even in press conferences says well we're doing tests now. Hopefully it'll
[24:14.760 --> 24:24.360]  work well. The FDA back down folks. The Democrats back down. Here it is. ABC News. Coronavirus.
[24:24.360 --> 24:30.360]  Live updates. FDA gives anti malaria drugs emergency approval to treat COVID-19 because
[24:30.360 --> 24:38.600]  the doctors rebelled so hard. The bureaucrats and Democrat governors literally just banned
[24:38.600 --> 24:49.240]  Balasaro for saying what Trump and doctors say. They banned me. The video they linked to
[24:49.880 --> 24:55.000]  in the articles on banned on video. And it's where I'm bitching about Democrat governors. It was 10
[24:55.000 --> 24:59.320]  governors at that time last Tuesday. Took them a few days to get me banned. And I was saying help
[24:59.320 --> 25:03.880]  dare them. And I was showing you studies and medical reports that it's 90 plus percent effective.
[25:03.880 --> 25:14.680]  And that the FDA was blocking it. What the hell. Because they want total panic because they're
[25:14.680 --> 25:18.840]  behind it. They're with the globalists are with the chai comms. It's a real virus. But it's an
[25:18.840 --> 25:29.480]  attack on our economy. Unbelievable. So ABC News and Google says oh you can appeal us banning
[25:29.480 --> 25:33.000]  your app. I talked to the developer that did it three years ago. There's no way to appeal it. We
[25:33.000 --> 25:36.600]  don't even know how. There's not even a system. So I have lawyers write a letter to Google but
[25:36.600 --> 25:39.560]  you they're not going to bring it back. They're going to bring back the tweets of the president
[25:39.560 --> 25:45.080]  of Brazil because the left loves to censor everything. And now it's going to be Trump.
[25:45.080 --> 25:50.520]  They're already disappearing Trump's tweets and they're not responding. Coronavirus live
[25:50.520 --> 25:54.440]  updates. FDA gives anti malaria drugs emergency approval to treat COVID-19.
[25:57.720 --> 26:01.800]  And it goes on to say that they already have clinical trials in Europe and other areas. So
[26:01.800 --> 26:11.160]  no need for here. Now let's move on. Michigan Democrat governor threatens license of doctors
[26:11.160 --> 26:16.040]  that promises to prescribe hydroxychloroquine to treat coronavirus. Then because it has hydroxy
[26:16.040 --> 26:26.040]  thousands of things have a name hydroxy. Some dude drank fishbowl cleaner that says hydroxy.
[26:26.040 --> 26:34.200]  Nothing to do with hydroxychloroquine. And so that's why they say banning these people are
[26:34.200 --> 26:40.680]  incredible. Unreported Fauci would prescribe chloroquine to coronavirus patients World Tribune.
[26:40.680 --> 26:48.600]  That was March 25th. The day I covered it last week. The day I got banned for. How dare I tell
[26:48.600 --> 26:54.040]  you what the head NIH scientist says. I should shut my dirty mouth. And here's what the medical
[26:54.040 --> 26:58.120]  doctors said in New York treated 350 patients really restored three to four hours zero deaths
[26:58.120 --> 27:05.080]  zero hospitalizations zero innovations with 200 milligrams of hydroxy chloroquine twice a day
[27:05.080 --> 27:12.760]  500 milligrams of Z pack 220 milligrams of zinc sulfate daily. Oh that's close to a toxic level
[27:12.760 --> 27:16.040]  according to what I read but it's not good for your kidneys long term. I'll say that
[27:17.240 --> 27:20.040]  you look that up yourself but it's still yeah it'll knock it out boy.
[27:20.040 --> 27:27.480]  Almost every case so they don't want you knowing all this and how outrageous is that.
[27:29.160 --> 27:36.200]  How outrageous is that. That she says every death Pelosi says every death is Trump's fault
[27:36.200 --> 27:39.160]  when they're the ones that left the borders open they're the ones that said stay out in public.
[27:40.040 --> 27:45.240]  Whether you agree with the social distancing or not you can't say we're against it four weeks ago
[27:45.240 --> 27:50.760]  and then now say it's all Trump's fault. Here's a clip of Pelosi encouraging large
[27:50.760 --> 27:57.240]  groups to congregate in Chinatown on what was this February 27th here it is.
[27:58.360 --> 28:06.120]  Prevay here. It's exciting to be here especially at this time to be able to be unified with our
[28:06.120 --> 28:13.560]  community. We want to be vigilant about what that might be on what is out there in other places.
[28:13.560 --> 28:19.880]  We want to be careful that how we deal with it but we do want to say to people come to Chinatown
[28:19.880 --> 28:29.640]  here we are. We're again careful safe and come join us. That woman is completely insane but her
[28:29.640 --> 28:36.120]  constituents are even dumber. Wow should I even play the clip when we come back where she says
[28:36.120 --> 28:41.160]  every death is Trump's fault. No you've already seen it you watched the show yesterday it's on
[28:41.160 --> 28:44.520]  them fours. When we come back I'm going to tell you what soft kill is you ready for this.
[28:45.320 --> 28:50.360]  Yeah see we're going to make sure the folks behind this pay for it. The globalists aren't
[28:50.360 --> 28:55.240]  going to get away with this with a little chai come drag it you understand we'll be right back.
[28:58.120 --> 29:04.040]  We can all agree these are troubled times right so do you know who's on your wireless network
[29:04.040 --> 29:09.080]  whether it's a big company selling your data or a foreign hacker if you're not protected
[29:09.080 --> 29:15.560]  everybody sees your information that's why you need flash routers a custom wi-fi router created
[29:15.560 --> 29:21.320]  for privacy flash routers uses a virtual private network or vpn to protect your online activity
[29:21.320 --> 29:26.920]  from hackers trackers and large corporations and not just one but all your devices with one out of
[29:26.920 --> 29:32.840]  the box setup plus flash routers also enhances your wireless network performance and unlocks
[29:32.840 --> 29:38.040]  powerful router management tools to let you take total control of your network call or click flash
[29:38.040 --> 29:51.240]  routers today at 1-866-509-5817 or flahshrouters.com that's 1-866-509-5817 or flash routers dot
[29:51.240 --> 30:01.800]  com protect your wireless home network today with flash routers my mind for more than eight weeks
[30:01.800 --> 30:08.760]  has been fixed constantly scanning constantly computing to understand the strategic attack
[30:08.760 --> 30:14.280]  we're witnessing we know by the scripting and the choreography and the fact that the virus has
[30:14.280 --> 30:20.120]  been scanned that it's man-made and attacking our economy the globalist media is firmly behind
[30:20.120 --> 30:25.800]  this devastating the united states and driving Trump from power but now we know from scores of
[30:25.800 --> 30:34.360]  studies from china the uk the united states europe brazil japan that the virus reinfects
[30:34.360 --> 30:39.240]  and attacks different parts of the body that ladies and gentlemen is an engineered bio weapon
[30:39.240 --> 30:44.120]  just as the indian scientist eight weeks ago conclusively proves their major university
[30:45.080 --> 30:51.160]  they have a name for it at the pentagon it's called a soft kill weapon it doesn't kill you
[30:51.160 --> 30:56.040]  usually the first time but the next time the third time of the fourth it does and it weighs down
[30:56.040 --> 31:01.960]  your economy in the process it's time to take a new healthier approach to one of your most basic
[31:01.960 --> 31:06.680]  needs the elective your pro water filtration system is the same water filter that alex and the
[31:06.680 --> 31:11.080]  info wars crews every day for the purest water possible you can start cleaning the toxins from
[31:11.080 --> 31:15.000]  your water for clean healthy and delicious drinking water perfect for preppers or anyone
[31:15.000 --> 31:19.880]  concerned with the healthier source of water the elective your pro can remove up to 99.9 percent of
[31:19.880 --> 31:25.400]  impurities this groundbreaking gravity fed water filtration system is like no other make sure your
[31:25.400 --> 31:30.360]  water is up to your standards today with the alexa pure pro there's a new way to show your support
[31:30.360 --> 31:35.560]  for the info wars crew at info wars store dot com now when you buy your favorite products you can
[31:35.560 --> 31:41.800]  add a donation right at the checkout simply open the donation option and either select a preset
[31:41.800 --> 31:46.680]  amount or enter a custom amount with this brand new donation module donating to support the info
[31:46.680 --> 31:52.280]  wars crew has never been easier you asked we delivered this easy option gives you the means to
[31:52.280 --> 31:58.200]  donate directly to the cause remember we're all part of the fight info wars brought to you by you
[32:00.120 --> 32:05.560]  in a constant search to upgrade your favorite formulas we brought you a new way to get your
[32:05.560 --> 32:14.360]  b12 with the most effective and expensive form available ultra 12 uses methylcobalamin a powerful
[32:14.360 --> 32:20.840]  way to get pure energy support for those serious about getting the b12 they need to fight deficiency
[32:20.840 --> 32:29.240]  and reach their peak the results are simple ultra 12 can help make dna help the body produce
[32:29.240 --> 32:37.000]  energy and blood cells and support healthy nerve and brain cells we're bringing ultra 12 down 40
[32:37.000 --> 32:45.800]  percent to make sure you get this product before we run out now you can finally upgrade your daily
[32:45.800 --> 32:53.400]  routine get ultra 12 today at 40 percent off to support the info wars store and experience true
[32:53.400 --> 33:09.320]  b12 power you're listening to the alex jones show
[33:09.320 --> 33:19.240]  so
[33:22.760 --> 33:35.240]  from the front lines of the information war it's alex jones
[33:35.240 --> 33:42.280]  and we are back live broadcasting worldwide all right i'm going to give you the 35 000
[33:42.840 --> 33:49.240]  foot view of what we know is going on who is behind it what the agenda is and what's going
[33:49.240 --> 33:55.320]  to unfold in the future in the next few months the next year the next few years and you will
[33:55.320 --> 34:05.240]  be able in a few years to tune in to this archive of this live broadcast on march 30th 2020 and you
[34:05.240 --> 34:13.480]  will see that much of what we break down comes true you people engage and expose what the global
[34:13.480 --> 34:18.840]  throughout too we may be able to stop it and alter the future which we've already done together
[34:18.840 --> 34:24.680]  but people have to decide to not be spectators and to be men and women in the arena and to
[34:24.680 --> 34:31.160]  physically speak out to be civilly disobedient and to say no and to vote with your dollars and
[34:31.160 --> 34:36.680]  with your actions and with your word of mouth that is paramount but first let me say this
[34:39.160 --> 34:47.480]  I don't lay all this out to scare you I lay all this out so you can be prepared and the truth is
[34:47.480 --> 34:55.400]  big pharma in the last 120 years funded by the Rockefellers on record took over western medicine
[34:57.640 --> 35:02.280]  and made it more of a predatory eugenics based system it still has a lot of good people involved
[35:02.280 --> 35:09.000]  in it and it cut out all of the other things that were known about eastern medicine about nutrition
[35:09.000 --> 35:15.880]  and everything else and it's in competition with a healthy natural lifestyle you will die without
[35:15.880 --> 35:22.360]  vitamin c you will die without water you will die without food you will die without zinc you will die
[35:23.320 --> 35:32.840]  without selenium you will die without vitamin b12 you will die you will get sick and you will die
[35:32.840 --> 35:40.040]  you will get cancer those are the ways you get malnourished and a normal cold bug or a normal
[35:40.040 --> 35:47.160]  flu virus will kill you a normal bacterial infection will kill you that's fact water water
[35:47.160 --> 35:52.120]  everywhere not a drop to drink all this food all these nutrients and americans have never been
[35:52.120 --> 35:59.320]  more malnourished oh they're overweight they're obese with raw calories but not the trace elements
[35:59.320 --> 36:04.920]  not the minerals not the vitamins not the cofactors and that's a fact and americans are the most
[36:04.920 --> 36:12.760]  unhealthy people in the world because of the medical system and what the globalists have
[36:12.760 --> 36:17.160]  carried out fluoride in the water to give you cancer to lower your fertility to dumb you down
[36:17.160 --> 36:23.240]  all the other toxic chemicals they had with it that's on record this is an agenda the tainted
[36:23.240 --> 36:29.960]  vaccines the secret experimentation to ski it goes on and on we've had many nuclear reactors
[36:29.960 --> 36:37.080]  explode as big as turnable one out in los angeles in the 50s was classified until the 80s as big as
[36:37.080 --> 36:46.680]  turnable so all of this craziness has been going on and the system doesn't want you to know that
