[00:00:00.189 --> 00:00:02.573]  I think so.
[00:04:19.247 --> 00:04:23.248]  And does that tie into the Gibsons and others, or is that a separate group?
[00:04:23.248 --> 00:04:23.968]  A separate.
[00:04:23.968 --> 00:04:24.848]  Yeah.
[00:04:24.848 --> 00:04:28.189]  Alright, so it better be more of a classical Catholic group, correct?
[00:04:28.189 --> 00:04:28.689]  Right.
[00:04:28.689 --> 00:04:30.770]  Alright, we'll be right back, Dr. Bowman.
[00:04:30.770 --> 00:04:32.230]  We're so honored to have you with us.
[00:04:32.230 --> 00:04:35.571]  We'll go right into 9-11, Star Wars, and a lot more.
[00:04:39.682 --> 00:04:42.784]  There is a secret that holds the world's destiny in its grasp.
[00:04:42.784 --> 00:04:44.705]  Hello my friends, Alex Jones here.
[00:04:44.705 --> 00:04:49.708]  Learn that secret with my new film, Martial Law 9-11 Rise of the Police State.
[00:04:49.708 --> 00:04:54.571]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:04:54.571 --> 00:04:58.733]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:04:58.973 --> 00:05:01.914]  The Constitution has been shredded, and America is now a police state.
[00:05:01.914 --> 00:05:06.755]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:05:06.755 --> 00:05:11.416]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:05:11.416 --> 00:05:18.878]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:05:18.878 --> 00:05:21.459]  Discover the documented truth for yourself before it's too late.
[00:05:21.459 --> 00:05:23.219]  Call toll-free to get a copy of Martial Law.
[00:05:23.479 --> 00:05:29.444]  1-888-253-3139 or visit InfoWars.com and the secure shopping cart.
[00:05:29.444 --> 00:05:32.766]  That's InfoWars.com or 888-253-3139 or watch the film right now online at PrisonPlanet.tv
[00:05:38.638 --> 00:05:44.139]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:05:44.139 --> 00:05:46.460]  Your source for free solar electricity.
[00:05:46.460 --> 00:05:53.701]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:05:53.701 --> 00:06:05.224]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is not available.
[00:06:05.624 --> 00:06:13.270]  It's multi-voltage capabilities, multiple adapters and rechargeable batteries provide for flexible sorts of auxiliary backup power.
[00:06:13.270 --> 00:06:18.393]  Simply place the Berkey Solar Charger in the sun, plug in your application and you have power.
[00:06:18.393 --> 00:06:23.697]  Disconnect your application and the system automatically begins charging its own rechargeable batteries.
[00:06:23.697 --> 00:06:29.722]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium at 888-803-4438 and tell them Alex
[00:06:35.589 --> 00:06:36.029]  8-8-8-0-3-4-4-3-8.
[00:06:36.029 --> 00:06:40.952]  Gee, honey, those new sandals look great on you.
[00:06:40.952 --> 00:06:43.513]  And look, they show off my new toenails, too.
[00:06:43.513 --> 00:06:44.553]  New toenails?
[00:06:44.553 --> 00:06:46.534]  What happened to the old ones?
[00:06:46.534 --> 00:06:49.736]  Well, they're not really new, just clear and healthy-looking.
[00:06:49.736 --> 00:06:51.197]  Remember how embarrassed I was?
[00:06:51.197 --> 00:06:54.218]  They were so discolored, really awful-looking.
[00:06:54.218 --> 00:06:56.019]  Well, they sure look clear now.
[00:06:56.019 --> 00:06:57.860]  Gosh, I wish I could wear sandals again.
[00:06:57.860 --> 00:06:59.261]  My toenails are a disaster.
[00:06:59.261 --> 00:07:02.282]  Look, this one looks white, and that one's thick and yellow.
[00:07:02.282 --> 00:07:03.503]  Well, here's my secret.
[00:07:04.102 --> 00:07:05.625]  Non-X Nail Gel.
[00:07:05.625 --> 00:07:10.412]  It clears out yellowing keratin debris, the source of nail discoloration.
[00:07:10.412 --> 00:07:11.553]  Ah, so that's it.
[00:07:11.553 --> 00:07:14.377]  I've got ugly keratin debris built up under my nails.
[00:07:14.377 --> 00:07:16.000]  And Non-X Nail Gel gets rid of it.
[00:07:16.494 --> 00:07:19.978]  Now, you'll need to use it every day, but clear nails are worth it.
[00:07:19.978 --> 00:07:20.738]  You bet!
[00:07:20.738 --> 00:07:25.002]  You know, when we go to the beach this summer, my toenails are gonna look just as good as yours do.
[00:07:25.002 --> 00:07:26.924]  Thanks to Non-X Nail Gel.
[00:07:26.924 --> 00:07:28.226]  Non-X Nail Gel.
[00:07:28.226 --> 00:07:30.268]  For clear, healthy-looking nails.
[00:07:30.268 --> 00:07:35.553]  Now at Walgreens, Rite Aid, Eckerd, Brooks, Long's, Duane Reade, and Walmart.
[00:07:35.553 --> 00:07:36.574]  In the foot care section.
[00:07:39.262 --> 00:07:41.384]  Ease the T-Rex of political talk.
[00:07:41.384 --> 00:07:46.287]  Alex Jones on the GCN Radio Network.
[00:07:46.287 --> 00:07:48.508]  Waging war on corruption.
[00:07:48.508 --> 00:07:50.530]  Monday through Friday from 11 to 2 p.m.
[00:07:50.530 --> 00:07:52.091]  Central Standard Time.
[00:07:52.091 --> 00:07:54.692]  Crashing to the lies and disinformation.
[00:07:54.692 --> 00:07:57.714]  Going light years beyond the false left-right paradigm.
[00:07:57.714 --> 00:07:58.995]  I am your host.
[00:07:58.995 --> 00:08:01.717]  And we are joined by an amazing individual.
[00:08:01.717 --> 00:08:08.802]  Got a chance to see him on Austin Television a few years ago and meant to get him on then and just somehow drop the ball, but he's with us today.
[00:08:10.103 --> 00:08:14.765]  And we've got links to his bio and links to his website up on Infowars.com right now.
[00:08:14.765 --> 00:08:19.188]  We're going to tell you about Dr. Bob Bowman and we're going to go to him.
[00:08:19.188 --> 00:08:36.759]  Dr. Robert M. Bowman is President of the Institute for Space and Security Studies, Executive Vice President of Millennium III Corporation, Presiding Archbishop of the United Catholic Church, the recipient of the Eisenhower Medal, the George F. Keene Peace Prize, the President's Medal of Veterans for Peace, the Republican Aviation Air Power Award,
[00:08:37.219 --> 00:08:49.388]  The Society of American Military Engineers, gold medal twice, the air medal with five oak leaf clusters, 101 combat missions over Vietnam as a fighter-bomber, and numerous other awards.
[00:08:49.388 --> 00:08:52.630]  He is one of the country's foremost authorities on national security.
[00:08:53.491 --> 00:08:54.151]  and uh... u.s.
[00:08:54.151 --> 00:09:10.076]  air force lieutenant colonel robert bowman former director of the star wars defense program under presidents ford and carter when it was top secret not known of course until nineteen eighty until uh... july eighty two he was vice president of space communications company and just goes on for several pages ladies and gentlemen
[00:09:10.496 --> 00:09:11.377]  He has a Ph.D.
[00:09:11.377 --> 00:09:13.778]  in Aeronautics and Nuclear Engineering from Caltech.
[00:09:13.778 --> 00:09:21.683]  Dr. Bowman has lectured the National War College, the United Nations, Congressional Caucuses, the Academics of Science of Six Nations, and the House of Lords.
[00:09:21.683 --> 00:09:28.067]  He has appeared on McLaren, Near, ABC News, Larry King Show, Donahue, Firing Line, it goes on and on.
[00:09:28.067 --> 00:09:38.114]  And he's lectured before the National Cathedral and the churches of many faiths, including Roman Catholic, Protestant, Anglican, Orthodox Christians, churches, Jewish synagogues, Muslim mosques,
[00:09:39.102 --> 00:09:44.324]  Bob Bowman was the first presidential candidate officially recognized by the Reform Party in 1999.
[00:09:44.324 --> 00:09:46.884]  And it goes on and on, ladies and gentlemen.
[00:09:46.884 --> 00:09:52.186]  He's renounced NAFTA, GATT, the WTO, globalism, the whole New World Order system.
[00:09:52.186 --> 00:09:55.407]  But he's here today to talk about 9-11 and Star Wars.
[00:09:55.407 --> 00:09:57.608]  So we are honored to have him.
[00:09:57.608 --> 00:10:01.489]  Dr. Bowman, some stations just joined us a few minutes ago.
[00:10:02.316 --> 00:10:06.078]  But let's plunge right into 9-11 and the official 9-11 fable.
[00:10:06.078 --> 00:10:08.920]  Several years ago, you began to speak out about it.
[00:10:08.920 --> 00:10:10.841]  How did bin Laden make NORAD stand down?
[00:10:10.841 --> 00:10:12.262]  What made the buildings fall?
[00:10:12.262 --> 00:10:17.325]  Building 7, bin Laden's a known CIA asset.
[00:10:17.325 --> 00:10:22.888]  The drills that day, the public officials warned not to fly, the hijackers trained at US military bases.
[00:10:22.888 --> 00:10:24.008]  All of this is admitted.
[00:10:24.008 --> 00:10:26.190]  Give us your take, sir, on September 11th.
[00:10:27.429 --> 00:10:40.138]  Well, first of all, I'm not a wild-eyed conspiracy theorist, and I think the most unbelievable conspiracy of all is the official one told by the U.S.
[00:10:40.138 --> 00:10:44.521]  government.
[00:10:44.521 --> 00:10:46.902]  It's patently impossible from every angle.
[00:10:46.902 --> 00:10:47.783]  Absolutely.
[00:10:47.783 --> 00:10:49.344]  So, you know, yes,
[00:10:50.319 --> 00:10:52.621]  It was a conspiracy.
[00:10:52.621 --> 00:10:54.102]  We know that.
[00:10:54.102 --> 00:11:00.027]  You know, one person can't dream this up in his room and go do it himself.
[00:11:00.027 --> 00:11:03.991]  There were a lot of people involved.
[00:11:03.991 --> 00:11:05.492]  So it was a conspiracy.
[00:11:05.492 --> 00:11:10.036]  The only question is, who were the conspirators?
[00:11:10.036 --> 00:11:16.962]  And that's where I think we disagree with the government and its official conspiracy theory.
[00:11:17.899 --> 00:11:18.800]  Break it down for us.
[00:11:18.800 --> 00:11:21.221]  I'd like you to go further than you've ever gone with us today.
[00:11:21.221 --> 00:11:23.502]  Millions of people tune in right now to hear you, sir.
[00:11:23.502 --> 00:11:24.882]  I know you've written analysis.
[00:11:24.882 --> 00:11:25.643]  You've spoken on it.
[00:11:25.643 --> 00:11:27.284]  You're part of the Scholars for Truth.
[00:11:27.284 --> 00:11:30.705]  But, I mean, break down for us from any angle you wish.
[00:11:30.705 --> 00:11:32.026]  Who has the motive?
[00:11:32.026 --> 00:11:33.907]  You know, PNAC called for stuff like this.
[00:11:33.907 --> 00:11:35.688]  Brzezinski said it would be helpful.
[00:11:35.688 --> 00:11:38.949]  I mean, go over from any position you wish to discuss it.
[00:11:38.949 --> 00:11:44.732]  Okay, well, let's say I first got an inkling that something was wrong.
[00:11:45.367 --> 00:12:09.745]  With what we were being told on September 12, 2001, when all of a sudden this government that was so clueless that it had no idea that something like this could possibly happen, was giving us the names and pictures of all of these 19 Arab hijackers.
[00:12:14.878 --> 00:12:19.079]  You know, I thought right then, something is fishy.
[00:12:19.079 --> 00:12:26.581]  And just a quick caveat, Tennant, before the second tower was even hit, is on record telling ABC News it was Bin Laden.
[00:12:26.581 --> 00:12:29.462]  So, in the middle of the attack, they're already saying.
[00:12:29.462 --> 00:12:30.282]  That's right.
[00:12:30.282 --> 00:12:31.503]  That's right.
[00:12:31.503 --> 00:12:35.864]  They've got their Patsy pre-selected.
[00:12:35.864 --> 00:12:40.185]  And, you know, maybe Bin Laden was involved.
[00:12:43.775 --> 00:12:50.677]  Bin Laden and his 19 Arabs were far from the whole picture.
[00:12:50.677 --> 00:12:56.378]  They could not have pulled off something like this and there's just too much evidence.
[00:12:56.378 --> 00:13:09.761]  Another thing that convinced me that we're not being given the truth is the massive cover-up and destruction of evidence by our government.
[00:13:09.761 --> 00:13:13.242]  If our government has nothing to hide
[00:13:14.082 --> 00:13:17.264]  Why are they hiding all the evidence?
[00:13:17.264 --> 00:13:23.268]  Why are they destroying all of the physical evidence from the World Trade Center?
[00:13:23.268 --> 00:13:28.872]  Why are they confiscating surveillance videos from the Pentagon?
[00:13:28.872 --> 00:13:34.035]  Why are they confiscating and destroying voice tapes from
[00:13:34.705 --> 00:13:39.207]  The air traffic controllers, I mean, the list goes on and on.
[00:13:39.207 --> 00:13:47.551]  Compensating the three boxes they found undamaged, firefighters on record, and emergency workers saying the FBI took them out on ATVs.
[00:13:47.551 --> 00:13:55.854]  And, you know, if they don't have anything to hide, show us the evidence.
[00:13:55.854 --> 00:13:57.175]  That's my position.
[00:13:58.503 --> 00:13:59.663]  Well, I mean, let me digress here.
[00:13:59.663 --> 00:14:25.723]  I mean, your 101 combat missions, and you can tell us about the aircraft you flew in Vietnam, and I've interviewed a lot of other airline pilots, current and former fighter pilots, they say that, I mean, these guys couldn't get Cessnas off the ground, admittedly, when they were creating their history, their ledger, there in Florida, they jumped out of a Cessna, unable to get it off the ground, but now they're going to T-bone 75% of their targets in maneuvers that fighter pilots say they couldn't do, but one time out of ten.
[00:14:25.723 --> 00:14:26.223]  Is that accurate?
[00:14:28.237 --> 00:14:29.498]  That sounds accurate.
[00:14:29.498 --> 00:14:39.246]  Now, I haven't actually, uh, you know, I've heard about some of the maneuvers that have been pulled, but, you know, I didn't really see those things come in, whatever they were.
[00:14:39.246 --> 00:14:50.895]  And, uh, I don't know if the maneuvers that, uh, you know, actually happened, but if it's as it has been described,
[00:14:51.317 --> 00:14:59.040]  Then yes, that's a heck of a feat for these Arabs that essentially flunked out of flight school.
[00:14:59.040 --> 00:15:15.706]  But the big thing is, they never would have gotten near those targets if ordinary, common sense, standard procedures had been followed.
[00:15:15.706 --> 00:15:16.386]  You remember
[00:15:17.643 --> 00:15:39.856]  Several years ago, Payne Stewart and his little private plane lost radio contact, so by golly, 16 minutes later there were fighter jets up escorting that thing, making sure that it didn't hit in a
[00:15:40.703 --> 00:15:42.944]  populated area and do some damage.
[00:15:42.944 --> 00:15:43.464]  That's right.
[00:15:43.464 --> 00:15:49.707]  The accounts by the FAA are between 16 and 18 minutes later, five F-16s were shadowing the aircraft.
[00:15:49.707 --> 00:15:58.591]  And, you know, this was standard and such intercepts happened dozens of times in 1981.
[00:15:58.591 --> 00:15:59.011]  Well, yeah.
[00:15:59.011 --> 00:16:00.251]  Well, 67 times in the year before 2001.
[00:16:00.251 --> 00:16:00.791]  That's correct.
[00:16:00.791 --> 00:16:01.292]  And so a lot of
[00:16:09.440 --> 00:16:11.822]  People said, why didn't we intercept?
[00:16:11.822 --> 00:16:22.089]  And there were a lot of people at the beginning of the 9-11 Truth Movement that blamed the interceptor pilots and saying, why were they going so slow?
[00:16:22.089 --> 00:16:28.633]  And... It's now come out they were ordered to fly at 350-something miles an hour, F-16 stalling speed.
[00:16:28.633 --> 00:16:38.620]  Well... I haven't seen that, but I did some calculations which, with the timeline,
[00:16:39.338 --> 00:17:04.900]  That shows that from the time they got the word to scramble, because of considerations like takeoff roll, acceleration time, climb time, turn time, effect of altitude on top speed, wind, I see no evidence that the interceptor pilots couldn't have gotten to their targets any faster.
[00:17:04.900 --> 00:17:07.522]  You can't instantaneously from takeoff
[00:17:08.349 --> 00:17:12.353]  Fly at your top advertised speed of an f-15.
[00:17:12.353 --> 00:17:28.110]  It's just physically impossible But there's a there's a second thing They were scrambled about a half an hour too late and
[00:17:29.942 --> 00:17:31.643]  So they would have been scrambled on time?
[00:17:31.643 --> 00:17:49.558]  If they had been scrambled on time, they could have flown at whatever speed they actually flew at, and they could have intercepted those aircraft before they got to the World Trade Center, and of course, 77, they could have intercepted.
[00:17:50.837 --> 00:17:54.398]  Long before it ever got near the Pentagon or Washington D.C.
[00:17:54.398 --> 00:17:55.038]  at all.
[00:17:55.038 --> 00:17:59.479]  You're talking about like over an hour and a half time to do that.
[00:17:59.479 --> 00:18:00.439]  Absolutely.
[00:18:00.439 --> 00:18:07.321]  So, but slide 11, the first one to hit the World Trade Center, that's the critical thing.
[00:18:07.321 --> 00:18:09.122]  And, you know, standard procedures.
[00:18:09.122 --> 00:18:10.962]  I used to be an interceptor pilot.
[00:18:10.962 --> 00:18:11.782]  I know the drill.
[00:18:11.782 --> 00:18:12.943]  I know how long it takes.
[00:18:12.943 --> 00:18:14.303]  I know what you do.
[00:18:14.303 --> 00:18:18.804]  And the fact of the matter is that when
[00:18:20.663 --> 00:18:33.110]  An airliner, or any other aircraft, goes significantly off course, or it loses voice communications, or the transponder signal is lost.
[00:18:33.110 --> 00:18:34.150]  There's a scramble.
[00:18:34.150 --> 00:18:35.511]  There's a scramble.
[00:18:35.511 --> 00:18:36.892]  Any one of those three.
[00:18:36.892 --> 00:18:41.054]  Now in this case, all three of those things happened.
[00:18:42.452 --> 00:18:44.093]  And still there was no scramble.
[00:18:44.093 --> 00:18:46.935]  And by the way, for those that don't know, that is the default setting.
[00:18:46.935 --> 00:18:48.876]  They don't even need orders, it just happens.
[00:18:48.876 --> 00:18:51.137]  That's absolutely right.
[00:18:51.137 --> 00:18:54.659]  They had to be... Countermanded.
[00:18:54.659 --> 00:19:00.182]  Somehow prevented from doing the normal thing.
[00:19:00.182 --> 00:19:10.388]  So if our government, somewhere in our government, if they had just stayed out of it and let normal things happen,
[00:19:11.050 --> 00:19:18.796]  Those aircraft would have been intercepted, the World Trade Centers would still be standing, and thousands of dead Americans would be alive.
[00:19:18.796 --> 00:19:23.100]  Somewhere, treason happened.
[00:19:23.100 --> 00:19:28.805]  Dr. Bob Bowman, former head of the Star Wars program, combat pilot Vietnam, 100-plus missions.
[00:19:28.805 --> 00:19:34.790]  He'll be joining us to talk more about 9-11 with his in-depth expertise, and then we'll talk about Star Wars.
[00:19:34.790 --> 00:19:36.151]  Stay with us, we'll be right back, sir.
[00:19:38.783 --> 00:19:42.529]  And now a word from Dr. Patricia Margaitis from Stem Enhance.
[00:19:42.529 --> 00:19:47.216]  I want to first thank the wonderful GCN listeners for supporting Stem Enhance.
[00:19:47.216 --> 00:19:54.607]  Now know that your own stem cells are your body's maintenance group and Stem Enhance makes sure that more of them show up for work every day.
[00:19:55.014 --> 00:19:59.400]  The truth is, the more stem cells you have in your bloodstream, the greater your health.
[00:19:59.400 --> 00:20:12.778]  If you believe there is something more for you, have a strong work ethic, and wish to participate in the monumental increase in the cause for natural health, while gaining financial independence and monthly cash flow, then you are the right person.
[00:20:13.258 --> 00:20:17.039]  I personally invite you to join me as the distributor of Stem and Hen.
[00:20:17.039 --> 00:20:21.661]  I am committed to personally make sure you receive the tools needed to succeed.
[00:20:21.661 --> 00:20:24.702]  Remember, the first rule of success, you must show up.
[00:20:24.702 --> 00:20:28.063]  Call me, Dr. Patricia Margaitis at 860-567-7744.
[00:20:28.063 --> 00:20:29.543]  That number again, 860-567-7744.
[00:20:44.181 --> 00:20:45.742]  Currency devaluation.
[00:20:45.742 --> 00:20:46.762]  Inflation.
[00:20:46.762 --> 00:20:48.183]  One and the same.
[00:20:48.183 --> 00:20:52.185]  If you had deposited $100,000 in a bank at 1% in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[00:20:52.185 --> 00:20:54.266]  The dollar lost 33% of its value in that time frame.
[00:20:54.266 --> 00:20:54.807]  The bank paid you 1%.
[00:20:54.807 --> 00:20:56.588]  Your $100,000 now has a net purchasing power of $68,000.
[00:20:56.588 --> 00:20:57.088]  Here is reality.
[00:20:57.088 --> 00:20:59.109]  The devaluation of currency equals real inflation.
[00:21:13.937 --> 00:21:18.159]  Keep in mind how the value of your paper assets are measured in dollars.
[00:21:18.159 --> 00:21:22.362]  Gold in the same time frame increased 35% in value.
[00:21:22.362 --> 00:21:26.424]  Learn how to protect and profit in this truly unstable world economy.
[00:21:26.424 --> 00:21:27.945]  Call Midas Resources at 1-800-686-2237.
[00:21:27.945 --> 00:21:28.185]  That's 1-800-686-2237.
[00:21:38.732 --> 00:21:41.954]  Are terrorist cells or prime terror targets located near you?
[00:21:41.954 --> 00:21:45.075]  Where are military bases and hazardous waste sites located?
[00:21:45.075 --> 00:21:51.638]  How do you find the best area for solar, average rainfalls, fish contamination advisories, and major transportation routes?
[00:21:51.638 --> 00:21:59.141]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:21:59.141 --> 00:22:03.143]  Find everything from housing prices and taxes to brewing environmental catastrophe.
[00:22:03.183 --> 00:22:03.964]  We're good to go!
[00:22:31.087 --> 00:22:32.749]  Do you know the truth about breast cancer?
[00:22:32.749 --> 00:22:35.453]  Did you know that the race for the cure is over?
[00:22:45.618 --> 00:22:53.740]  The best-kept secret in the country today is that it is now possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:22:53.740 --> 00:22:56.381]  Now, it's cancer's turn to die with LaysMed Inc.'
[00:22:56.361 --> 00:22:57.921]  's patented methodology.
[00:22:57.921 --> 00:23:05.123]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy tumors of any size without adverse side effects.
[00:23:05.123 --> 00:23:06.463]  At a physician's office.
[00:23:06.463 --> 00:23:08.104]  Star Wars technology at its best.
[00:23:08.464 --> 00:23:09.685]  For more information, call 702-953-0267.
[00:23:09.685 --> 00:23:10.085]  That's 702-953-0267.
[00:23:10.085 --> 00:23:11.345]  Or, visit www.LaysMedInc.com.
[00:23:11.345 --> 00:23:12.886]  That's www.L-A-S-E-M-E-D-I-N-C.com.
[00:23:12.886 --> 00:23:14.207]  Or, call LaysMed at 702-953-0267 today.
[00:24:11.733 --> 00:24:13.374]  Welcome back.
[00:24:13.374 --> 00:24:16.154]  Our little message in a bottle.
[00:24:16.154 --> 00:24:18.995]  And the word is getting out.
[00:24:33.766 --> 00:24:35.267]  Dr. Bowman, our guest, short segment.
[00:24:35.267 --> 00:24:36.968]  We'll come back in a long segment and have more time.
[00:24:36.968 --> 00:24:42.351]  Dr. Bowman, continuing with 9-11, I mean, I brought up a few of the facets that concern me.
[00:24:42.351 --> 00:24:47.513]  You know, you talk about whatever really did hit the Pentagon, and that's a whole other area of debate.
[00:24:47.513 --> 00:24:49.674]  But what about all the public officials being warned?
[00:24:49.674 --> 00:24:58.019]  What about Bush, his different think tanks saying, we need terrorist attacks to mobilize the American people?
[00:24:58.019 --> 00:25:02.041]  Dr. Bowman, former head of the Star Wars program, who has a motive in all of this?
[00:25:03.669 --> 00:25:32.991]  Well, naturally, you follow the money, but the biggest motive were the neoconservatives that run our government, because they said in a paper beginning around 1991 and continuing, and the paper was revised and published again in 2000, before George W. Bush ever became president,
[00:25:34.555 --> 00:25:51.623]  And, of course, long before 9-11, they published this paper, In Progress for a New American Century, and the authors of that were Libby, Pearl, Wolfowitz, Jeb Bush, all the usual suspects.
[00:25:51.623 --> 00:25:52.643]  Cheney.
[00:25:52.643 --> 00:25:54.504]  Cheney, of course.
[00:25:54.504 --> 00:26:01.948]  And they said in there that the United States must occupy Iraq.
[00:26:03.931 --> 00:26:06.173]  Permanently.
[00:26:06.173 --> 00:26:27.589]  Not just because of Iraq's oil, but to use Iraq as a staging base for the military control of Iran, Syria, Saudi Arabia, because they think the royal family could get kicked out there, and the southern Russian republics around the Caspian.
[00:26:27.589 --> 00:26:28.950]  And we're talking about
[00:26:29.844 --> 00:26:35.447]  In that area, maybe $2 trillion worth of oil and gas.
[00:26:35.447 --> 00:26:51.515]  And control of those resources and the pipelines through Afghanistan and through Iran and through Bosnia, by the way.
[00:26:51.515 --> 00:26:54.216]  Even Clinton was in on this stuff.
[00:26:57.785 --> 00:27:08.854]  This is an enormous financial incentive for people who are involved in the oil and gas business, and of course that includes practically all the top people in our government.
[00:27:08.854 --> 00:27:18.181]  And then voila, the people who have the motive and have the capability to carry it out magically preside over the entire attack and then get what they want out of it.
[00:27:18.181 --> 00:27:24.866]  Yeah, and of course, in that same PNAC document, which was on their website, I don't know if it's still there, I think they may have
[00:27:25.436 --> 00:27:26.898]  Taking it out or cleaned it up?
[00:27:26.898 --> 00:27:30.142]  No, it's still there, Rebuilding America's Defenses, September 2000.
