[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[02:19.000 --> 02:24.000]  People know like half the time statistically, depending on the state, it's a lie.
[02:24.000 --> 02:30.000]  It's a lie. Routinely in divorce cases, people claim they've been raped or abused when they haven't been.
[02:30.000 --> 02:38.000]  Routinely, it happens in business. Routinely, almost all of the cross burnings and church burnings and swastikas on the wall
[02:38.000 --> 02:45.000]  and poop swastikas and the Air Force Cadet Center and the Navy just this year.
[02:45.000 --> 02:55.000]  I don't say almost all. This year there hasn't been one real white hate crime against a minority that's been documented that wasn't fake.
[02:55.000 --> 02:59.000]  But boy, there have been plenty of hate crimes against white people.
[02:59.000 --> 03:06.000]  And it doesn't matter, ladies and gentlemen, because the leftist judges and the leftist media and the leftist system
[03:06.000 --> 03:10.000]  time and time again say, you go free.
[03:10.000 --> 03:15.000]  You're an illegal alien. Been deported, what, five times? Shoot a woman in the back in cold blood.
[03:15.000 --> 03:20.000]  She dies in her father's arms. The leftists in San Francisco say, you go free.
[03:20.000 --> 03:25.000]  It's funny, the mayor of San Francisco collapsed dead last night in a Safeway food store.
[03:25.000 --> 03:32.000]  So sad to hear that. But at least it was natural causes. He wasn't shot in the back.
[03:32.000 --> 03:37.000]  But if a white guy had shot the first Asian mayor in the back, you know it'd be a hate crime.
[03:37.000 --> 03:42.000]  But if it had been another minority, would it have been a hate crime?
[03:42.000 --> 03:51.000]  Again, that's how crazy all of this has gotten where the left said, oh, we're going to let go these six black folks.
[03:51.000 --> 03:58.000]  You want them an adult 19 years of age that kidnapped a mentally retarded teenager who had the mind of a four-year-old,
[03:58.000 --> 04:02.000]  took him, cut part of his scalp off, told him we're going to kill you for hours,
[04:02.000 --> 04:06.000]  and shot the whole thing live on the Internet, on Live League.
[04:06.000 --> 04:09.000]  And the judge said, you know what? I'm letting you go. I'm virtue signaling.
[04:09.000 --> 04:12.000]  It's not going to help to put you in prison for kidnapping and torturing somebody.
[04:12.000 --> 04:15.000]  I'm just going to let you go on probation.
[04:15.000 --> 04:18.000]  So again, that's the type of stuff we're dealing with here. It's incredible.
[04:18.000 --> 04:25.000]  But coming up, Alabama draws near, ladies and gentlemen, the day of reckoning, the day of doom.
[04:25.000 --> 04:32.000]  And a lot of people say this is a bellwether on whether the Me Too movement can take down Trump on what happens today in Alabama.
[04:32.000 --> 04:37.000]  I'm not so sure that's the case, but certainly it is a big deal on so many fronts.
[04:37.000 --> 04:43.000]  They need that vote as well in the Senate to be able to get a successful impeachment against the president that they admit they're pushing for.
[04:43.000 --> 04:45.000]  But even bigger news is breaking.
[04:45.000 --> 04:49.000]  Former head of the CIA admits they made up the Russiagate stuff.
[04:49.000 --> 04:52.000]  They leaked political stuff. They shouldn't have done it. They were wrong.
[04:52.000 --> 04:58.000]  The whole Russiagate thing is imploded now. Now they're moving on to the sexual harassment garbage yet again.
[05:00.000 --> 05:11.000]  I'm so excited. The new product at infowarslife.com in a glass bottle, two month servings filled to the brim, filled to the absolute top, the real red pill.
[05:11.000 --> 05:16.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulus in it.
[05:16.000 --> 05:19.000]  But boy, does it stimulate because it's beyond that.
[05:19.000 --> 05:25.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients.
[05:25.000 --> 05:31.000]  But it wasn't prescription, but they were charging people a hundred, two hundred dollars for the formulae.
[05:31.000 --> 05:35.000]  And I came up with our own formulae working with scientists and developers.
[05:35.000 --> 05:40.000]  Non-GMO made right here in America, 120 capsules.
[05:40.000 --> 05:48.000]  And ladies and gentlemen, you add the preglonone to it, which is the precursor to all the hormones that your body has to have to even make the hormones here.
[05:48.000 --> 05:52.000]  Make the hormones in your glands. It is amazing.
[05:52.000 --> 05:58.000]  Red pill, now available at infowarsstore.com and your purchase fugs the operation.
[06:06.000 --> 06:09.000]  12-12, 2017.
[06:09.000 --> 06:16.000]  If you are receiving this transmission, you are the resistance. You're listening to Alex Jones.
[06:16.000 --> 06:24.000]  So here we are, judgment day in Alabama, the big contested special election.
[06:24.000 --> 06:31.000]  The Lynch mob, globalist media, their disinfo, their fake yearbook signatures,
[06:31.000 --> 06:41.000]  all their propaganda, all their unfounded accusations, media hysteria, up against the reality.
[06:41.000 --> 06:47.000]  Now it's up to the voters of Alabama. Are we going to see massive election frauds? Certainly from the establishment. We always do.
[06:47.000 --> 06:57.000]  Are we going to see them hyping all these fake polls that Moore is going to lose to make people get on a bandwagon and believe that they want to vote for the winner?
[06:57.000 --> 07:01.000]  We're going to find out. And I'm going to be here with Owen Schreuer for the next four hours.
[07:01.000 --> 07:07.000]  And then Owen, Rob, do Michael's Irm and others are coming back for the war room with Roger Stone.
[07:07.000 --> 07:16.000]  And then I'm coming back in tonight, 6 o'clock central. We're going to do several hours of live internet, radio, slash TV.
[07:16.000 --> 07:20.000]  This broadcast is on hundreds of affiliates and, of course, some cable and TV stations.
[07:20.000 --> 07:27.000]  But we're going to have a special transmission at infowars.com forward slash show that kicks off at 6 o'clock tonight.
[07:27.000 --> 07:39.000]  And stations are welcome to carry it. But again, audio and video feeds at infowars.com forward slash show will be taking your phone calls and have some special guests in studio coming up at 6 o'clock central tonight.
[07:39.000 --> 07:51.000]  And within a few hours of that, we'll know pretty much if there's been hanky-panky or any cheating or who the winner is, but we'll be here at our big war room center live tonight.
[07:51.000 --> 07:59.000]  After 6 o'clock, we'll be live up until 6 as well with the war room. It's also syndicated radio slash television with Owen Schreuer.
[07:59.000 --> 08:07.000]  Again, there is so much to get to here today. We're going to break down the whole Roy Moore situation here in a moment.
[08:07.000 --> 08:14.000]  But as I told you three months ago, this is a shake and make operation. It's completely formulaic.
[08:14.000 --> 08:21.000]  They knew that women in focus groups went against Hillary because they knew Bill Clinton was a rapist.
[08:21.000 --> 08:36.000]  And because of you getting the word out about that, and because of the women having the courage to come forward, women that Clinton had even done cash agreements with and payouts with, women who'd been assaulted, women who'd been threatened, women who'd been raped.
[08:36.000 --> 08:47.000]  And we have a huge history of that going back decades and decades and decades. With Trump, it's some new allegation. With Roy Moore, it's a new allegation, never with any Bonafides.
[08:47.000 --> 09:00.000]  I guess the Latin for the bones, the actual guts of the situation, show us the corpse, habeas corpus, show us the bones, show us the corpse, show us the body, show us the facts, show us the photos, show us the video.
[09:00.000 --> 09:10.000]  Well, we got that with Al Franken. And then his jokes over the years about grabbing on women and doing it, and then you've got him doing it, and a bunch of credible women come forward.
[09:10.000 --> 09:18.000]  And they blame Roger Stone for breaking it here, I don't know, 8, 9, 10 hours before everybody else by Al Franken. He got it from Fox News.
[09:18.000 --> 09:24.000]  He called me that afternoon and said, you want to go with this? He called me the day before, and he said the word is, this is coming out soon.
[09:24.000 --> 09:30.000]  And the night before, he said, you want to go with it? I said, I'm just going to let them go with it. And then, boom, he went ahead and tweeted it out.
[09:30.000 --> 09:37.000]  They banned him on Twitter for that, for being accurate. And Rob do tweeted it out as well. They're now claiming that we're behind the Al Franken lady.
[09:37.000 --> 09:47.000]  We couldn't even get her on the air that Fox host and radio host out at LA. We were trying to get her on, but we're supposedly behind it, even though we've never even talked to her.
[09:47.000 --> 09:54.000]  We just got it from our Fox News sources. So we've got all that happening, but here's what we've been breaking down.
[09:54.000 --> 10:02.000]  They are manufacturing this whole thing to make it look like, okay, we got rid of some of our bad people, and so now you've got to get rid of your bad people.
[10:02.000 --> 10:13.000]  Well, the Democrats get rid of their own people on allegations. That's their issue. But again, they already knew where the bodies were buried with the NBC host and Matt Lauer and all these people.
[10:13.000 --> 10:23.000]  What's been going on for decades, decades with Al Franken, decades with Harvey Weinstein, decades with Kevin Spacey, decades with all of them.
[10:23.000 --> 10:31.000]  They've covered them up. Congress had a secret slush fund, and that's really the big issue here that we should all be focused on, that they're trying to hide and blame you.
[10:31.000 --> 10:42.000]  Okay, the big elephant in the room. Secret slush funds, hundreds of millions it's now coming out over decades, almost all of it Democrats paying this garbage out.
[10:42.000 --> 11:00.000]  A lot of it women assaulted, boys assaulted, men assaulted, serious stuff in the Capitol, in the House, in the Senate, payoffs by what 14 Democrat mayors that have now had to resign or been arrested for pedophilia.
[11:00.000 --> 11:15.000]  It's 14 now, after the last Seattle mayor, when more than 10 men and boys came forward saying, he raped me. It's like the deputy pope trafficked in over 100 boys, trafficked them in the Catholic Church for blackmail.
[11:15.000 --> 11:20.000]  Some as young as six years of age, that stuff's now confirmed.
[11:20.000 --> 11:32.000]  Okay, so they've got a big problem. This is all coming out. They tried to just ignore it. They tried to go after Trump with their made up stuff, which only made people go, wait a minute, you've got the big history of it.
[11:32.000 --> 11:40.000]  People, especially women, saw through the hypocrisy, so they went, okay, we've got to go ahead and burn our own people. We can't hide it anymore.
[11:40.000 --> 11:57.000]  It's cost us billions of dollars in payouts total, hundreds of millions in Congress, Weinstein's payouts, what were 50 million secretly, not to mention all the intelligence agencies and PIs and former Mossad and all these different people that they hired, ladies and gentlemen.
[11:57.000 --> 12:06.000]  Think about that. So now they went, okay, let's just flush low hanging fruit. Let's go ahead and do it. Plus the Clintons won't leave the party. They're hurting the party.
[12:06.000 --> 12:11.000]  And Conyers won't get out and all the other senile people. Let's go ahead and burn them.
[12:11.000 --> 12:22.000]  Build a wave that we're good people, that we mean well and that if Trump won't step down, well, then see his party's bad and we need to go for impeachment.
[12:22.000 --> 12:29.000]  And then they have Megan Kelly with these women that say that he asked them out or tried to give them their number or one had been rude to him on an airplane.
[12:29.000 --> 12:39.000]  So he called her the C word. In one case, 30 years ago, another woman says like 11, 12 years ago, he asked for her phone number.
[12:39.000 --> 12:44.000]  And I'm sorry. She's not Trump's type. I do not think these women are attractive.
[12:44.000 --> 12:51.000]  Trump is a complete perfectionist when it comes to women and it's just none of it fits. And then we have tapes coming out.
[12:51.000 --> 13:03.000]  And I've known about this for months that they're holding on to a thermal nuclear where they recorded people offering women money that have worked in the Trump Organization hundreds of thousands of dollars.
[13:03.000 --> 13:10.000]  And they're just waiting till they roll it out and then they're going to destroy him with it. And I've been asked to keep my mouth shut about that.
[13:10.000 --> 13:19.000]  Bill O'Reilly released the information yesterday on Glenn Beck. We're going to play a clip of that when we come back in the next segment because this is a big, big deal.
[13:19.000 --> 13:29.000]  But again, you can see the buildup. Get rid of your own problems, have a facelift, create this wave, this effect that, okay, under mere allegations, you've got to step down.
[13:29.000 --> 13:37.000]  No, they all step down because they were real perpetrators in every case, but create that perception that just asking a woman out.
[13:37.000 --> 13:43.000]  That's what Megan Kelly had guests on. They're asking people out like right now, whistling or saying hi to a woman in London.
[13:43.000 --> 13:52.000]  They want to arrest you now. Seven other cities have passed that. So they're equating that with raping a woman or raping a child or raping a man.
[13:52.000 --> 14:01.000]  And so they're building it up, building it up. And then they had a U.S. senator, the female senator. She comes out and she says, oh, we need to have an impeachment hearings.
[14:01.000 --> 14:12.000]  We need to have special hearings. And then CNN calls for an MSNBC and all of them. We need a new special counsel into Donald Trump and his sexual behavior with no evidence, no proof.
[14:12.000 --> 14:21.000]  So they're segueing out of the collapsing Russian narrative that, again, signaled last week. I said it's over. They're panicking. They committed crime spying on Trump.
[14:21.000 --> 14:29.000]  There's nothing there. They've been caught lying about the spying. They've been up to their eyeballs with the Russians. The Mueller thing, the wheels are off.
[14:29.000 --> 14:35.000]  The deep state realizes they're losing. They realize they probably can't beat Trump. They're backing off.
[14:35.000 --> 14:44.000]  Former head of the CIA admits role in deep state intelligence war on Trump. Former deputy director, then acting director.
[14:44.000 --> 14:56.000]  CIA's Michael Morale has come out on CBS this morning and said, we shouldn't have used spy stuff in an election. We shouldn't have targeted a president.
[14:56.000 --> 15:01.000]  We shouldn't have leaked after he was president. We're sorry it was illegal. We shouldn't have done it.
[15:01.000 --> 15:11.000]  That is, Mr. President, please don't have me arrested. They have committed big crimes and Trump was as clean as a whistle.
[15:11.000 --> 15:19.000]  Trump is a completely, quite frankly, Trump's probably OCD, but in a good way. He's OCD, folks. He's a clean freak.
[15:19.000 --> 15:28.000]  He follows all the rules, all the regulations. He's all about winning. He's not going to go in a room and let hookers urinate on him in Russia.
[15:28.000 --> 15:33.000]  He's not into that A, B. He knows the Russians are videoing it. That's ridiculous.
[15:33.000 --> 15:39.000]  Donald Trump never does anything to get in trouble, up until now. And then they all just make it up.
[15:39.000 --> 15:45.000]  So the whole thing's imploding. So now they're saying, Donald Trump's hashtag, me too, moment is here.
[15:45.000 --> 15:51.000]  Dun, dun, dun. We need hearings. We need everything. Because, again, the whole Russia thing just imploded and went into the dirt.
[15:51.000 --> 15:58.000]  And now the next shoot-a-drop, I'll break it down on the other side. I'll tell you the secret straight ahead.
[16:21.000 --> 16:25.000]  Get started today at VirtualShield.com. Take advantage of our free 30-day trial.
[16:25.000 --> 16:28.000]  VirtualShield.com. You have the right to remain private.
[16:28.000 --> 16:32.000]  Excuse me, sir. Could you please take a picture of my family and me with my cell phone?
[16:32.000 --> 16:36.000]  Sure, Mrs. Anderson. Smile for the camera.
[16:36.000 --> 16:40.000]  Too bad hackers never get proper permission to access your cell phone or computer camera.
[16:40.000 --> 16:43.000]  Anyone is or could be susceptible to illegal spying.
[16:43.000 --> 16:50.000]  That's why VirtualShield.com has developed Identisafe, a new security software that blocks camera and microphone access from unwanted spies.
[16:50.000 --> 16:54.000]  Get started today at VirtualShield.com. Take advantage of our free 30-day trial.
[16:54.000 --> 17:20.000]  VirtualShield.com. You have the right to remain private.
[17:24.000 --> 17:29.000]  Go to libertyoncall.org. That's libertyoncall.org.
[17:54.000 --> 17:59.000]  Have a safe, joyous, and peaceful holiday season.
[18:24.000 --> 18:29.000]  Get started today at VirtualShield.com. Take advantage of our free 30-day trial.
[18:54.000 --> 18:59.000]  Get started today at VirtualShield.com. Take advantage of our free 30-day trial.
[19:24.000 --> 19:29.000]  Get started today at VirtualShield.com. Take advantage of our free 30-day trial.
[19:29.000 --> 19:58.000]  Take advantage of our free 30-day trial.
[19:59.000 --> 20:04.000]  You're listening to the Alex Jones Show.
[20:29.000 --> 20:34.000]  And you know it's true.
[20:34.000 --> 20:38.000]  Whoo! I love Sammy Hagar, the Red Rocker.
[20:38.000 --> 20:42.000]  Ranging the sin. That isn't Americana, nothing is.
[20:42.000 --> 20:45.000]  There's only one way to rock.
[20:45.000 --> 20:51.000]  By the way, we are seeing amazing, positive things happen, not just here, but around the world.
[20:51.000 --> 20:59.000]  And we're seeing Americana, Renaissance culture being promoted everywhere and being adopted in Latin America,
[20:59.000 --> 21:03.000]  being adopted in areas of Asia, in India especially, in Russia.
[21:03.000 --> 21:08.000]  And it is a beautiful thing to see. The globalists are in full panic mode,
[21:08.000 --> 21:12.000]  with dozens of countries pulling out of the unelected globalist system.
[21:12.000 --> 21:16.000]  And that's why they're trying to force Trump out of office.
[21:16.000 --> 21:22.000]  That's why they're trying to derail the last election because they understand it's one of the biggest dominoes to ever fall against tyranny.
[21:22.000 --> 21:24.000]  Does that mean Trump's perfect? Absolutely not.
[21:24.000 --> 21:31.000]  Does that not mean he's not having to use some swamp creatures as guides to be able to start dreading the swamp?
[21:31.000 --> 21:36.000]  No, he's absolutely doing that. But you can see overall how much good stuff is happening.
[21:36.000 --> 21:46.000]  So he just joined us. Former head of the CIA has come out, while all this was going on, he was also the acting head.
[21:46.000 --> 21:52.000]  He endorsed Hillary Clinton. He's apologized and said deep state intelligence war on Trump was illegal and was wrong.
[21:52.000 --> 21:58.000]  And he's emerged from the shadows of the deep state to say that they should not have done it when he was president-elect,
[21:58.000 --> 22:04.000]  or when he was a candidate, or when he was the president, and that it was basically illegal and super-ultra-dangerous.
[22:04.000 --> 22:12.000]  You try to coo. You thought Trump would have dirt all over him just like you guys do, and he didn't have any.
[22:12.000 --> 22:17.000]  I mean, the guy tells you that we're torturing when it's secret and says he wants to do more of it.
[22:17.000 --> 22:23.000]  I don't even agree with that, but it's like, that's what you get with Trump. It's very refreshing.
[22:23.000 --> 22:30.000]  And we're going to crush ISIS. 11 months later, they're gone. They're defeated, except for rogue groups.
[22:30.000 --> 22:37.000]  You want the economy back? It's happening. So it's just insane how they are panicking and even seeing it admits,
[22:37.000 --> 22:43.000]  okay, he's the keeper of promises, but he's a naive idiot because it's dumb what he's doing.
[22:43.000 --> 22:50.000]  It's dumb to defeat radical Islam, to try to block people that are embedded coming in, to get the stock market, the economy back.
[22:50.000 --> 22:56.000]  Now it's 2 million new jobs. Now it's 1.5, I mean, 3.5 growth rate.
[22:56.000 --> 23:00.000]  And when the tax cuts go through, it's going to be 7 to 10% growth rates.
[23:00.000 --> 23:05.000]  I mean, that'll pay off the student loans. It'll be a boom count, folks.
[23:05.000 --> 23:11.000]  It'll be incredible. Turn the whole thing around because they were artificially suppressing it.
[23:11.000 --> 23:19.000]  So here's the giant issue you need to know. Here's the big one right now.
[23:19.000 --> 23:22.000]  They are getting ready after the Russia investigation collapses.
[23:22.000 --> 23:26.000]  They're going to keep that going to save face and act like they were right to clear victory on it.
[23:26.000 --> 23:30.000]  But it's an illegal joke to cover up for people that were actually involved in that.
[23:30.000 --> 23:38.000]  Just like the same PP Gate dossier made up by former MI6 and Jeff Bush and then passed on the Democrats,
[23:38.000 --> 23:42.000]  who spent another 10 million on total 13 million.
[23:42.000 --> 23:49.000]  In there, they have the whole expansion of other lies against Trump.
[23:49.000 --> 23:53.000]  And that he was on airplanes in places having sex with little children.
[23:53.000 --> 23:59.000]  But it's only Bill Clinton on the flight logs. Never was Trump near one of the airplanes or one of the parties.
[23:59.000 --> 24:04.000]  So again, Russia, pedophilia, everything they're doing, they put on Trump.
[24:04.000 --> 24:09.000]  They put on me. They put on you. Anybody voted for Trump, you're a dupe with the Russians.
[24:09.000 --> 24:13.000]  Anybody that says the Russian investigation is a lie, Rand Paul, Tucker Carlson, Alex Jones, Matt Drudge,
[24:13.000 --> 24:21.000]  we're all Russian agents. So Stephen Bannon, Jared Kushner, anybody that actually tried to turn the country back on,
[24:21.000 --> 24:27.000]  that they see as a threat is a Russian agent. Anybody that's fighting pedophilia is now a pedophile.
[24:27.000 --> 24:33.000]  So they're now going away from the Russia investigation. That's training out the former head of the CIA.
[24:33.000 --> 24:39.000]  All this was going on has come out and said, we're sorry it was wrong. That's a white flag to Trump.
[24:39.000 --> 24:46.000]  And that's good. Because Trump says you can get out of this if you just stop and just let us bring the country back.
[24:46.000 --> 24:50.000]  We will not put you in prison. And he's doing that pragmatically because they'll fight to the death if he doesn't.
[24:50.000 --> 24:57.000]  He's very smart. But Trump does what he says when he makes a deal. See, deals are all about deals.
[24:57.000 --> 25:03.000]  America's soft power was about until the mid-1960s. If we told you something, we did it.
[25:03.000 --> 25:11.000]  Treachery's not cool. Napoleon engaged in treachery, folks. Hitler engaged in treachery. America's not supposed to do that.
[25:11.000 --> 25:16.000]  Not because we're even perfect, but because we want the soft power of people knowing a deal is a deal.
[25:16.000 --> 25:23.000]  So Trump's already been to the CIA. He said, just stop it. Just stop the criminal activity and we're not going to put you in prison.
[25:23.000 --> 25:31.000]  But if it continues and you make a move, you're not going to be going to prison because you make an illegal paramilitary move on America.
[25:31.000 --> 25:41.000]  We're ready to take you out. And they now realize that. They now all realize they are in the crosshairs politically and in other ways.
[25:41.000 --> 25:45.000]  That's why it's such an incredible time to be alive right now.
[25:45.000 --> 25:53.000]  So building up, building up, they're moving to hashtag me too, having the Democrat senators call for hearings, call for his impeachment.
[25:53.000 --> 26:00.000]  It's begun. And for what? They've got these women out there saying, well, he asked me out 12 years ago or he called me the C word 30 years ago.
[26:00.000 --> 26:06.000]  Because I've been rude to him on an airplane or whatever. And it's just so obvious this is a load of baloney.
[26:06.000 --> 26:11.000]  It doesn't matter. Statue of limitations, all of it. It's just crazy. It's not even criminal stuff though.
[26:11.000 --> 26:18.000]  So what's going to come next? Just like night follows day and day follows night.
[26:18.000 --> 26:28.000]  Just like Bloods Red and the Oceans Blue. They've got a bevy of women that they've canvassed at every level of the Trump administration.
[26:28.000 --> 26:36.000]  And going back 30 years and they're offered a money and they're vetting them and they're seeing who they can get to come out incredibly go after him.
[26:36.000 --> 26:41.000]  You're going to see by Christmas another 10 women go public.
[26:41.000 --> 26:50.000]  And then you're going to hear women come out and say that he raped them in January.
[26:50.000 --> 26:59.000]  And it will be, they're going to go whole hog. There'll be 100 women by February of next year.
[26:59.000 --> 27:07.000]  And it'll just be, there's no way they're all lying. No, you just canvassed the whole country of Democrats and lunatics and crazy people and you pay them off.
[27:07.000 --> 27:13.000]  But here's the good news. We're not stupid. Nobody's stupid. There are a lot of women that actually care about this country.
[27:13.000 --> 27:18.000]  And when people are offering them stuff at dinner and doing all this, you people are so stupid.
[27:18.000 --> 27:29.000]  They're told by high level connections in US intelligence that they have more than 20 tapes of credible women beyond Project Veritas.
[27:29.000 --> 27:38.000]  Taping Democrat Party operatives, lawyers and groups offering them money to say Donald Trump raped them or assaulted them.
[27:38.000 --> 27:41.000]  Or just had sex with them and cheated on his wife.
[27:41.000 --> 27:50.000]  So you go ahead and it's all going to get released cupcakes. What you think? You think we don't know?
[27:50.000 --> 27:55.000]  You think we don't know what you people are up to? You bunch of pedophile devil worshiping crap?
[27:55.000 --> 28:02.000]  When I come back, I'm going to play Bill O'Reilly talking about this and it's like metaphysical because I was in, I said it a few days ago.
[28:02.000 --> 28:10.000]  I was going to come on the air today and just say get ready. You know the next move. It'll be a bunch of more fake women.
[28:10.000 --> 28:19.000]  Again, we have them though, ladies and gentlemen, and it's a real shame that they wouldn't just go out for the Clintons before and run a real Democrat candidate.
[28:19.000 --> 28:25.000]  But they tried to cover it up. They tried to project it onto Trump. They assault women. They cover up the assault of women.
[28:25.000 --> 28:29.000]  They're in bed with the Russians. They're in bed with the pedophiles, literally.
[28:29.000 --> 28:36.000]  And so what do they do? They project that so that they're the ones first pointing the finger so people get confused and they get away with it.
[28:36.000 --> 28:42.000]  Well, guess what? We're aware of your scams and we're aware that you've been canvassing throughout the entire campaign
[28:42.000 --> 28:48.000]  and couldn't find but a couple of women with like pathetic stories and nobody ever alone with them because it didn't happen.
[28:48.000 --> 28:56.000]  And now you're out there canvassing everywhere desperately. Go ahead. It's going to blow up in your face even worse. Watch, losers. We'll be back.
[28:58.000 --> 29:01.000]  Hey, Daniel Bremen. Why new manna storeable foods?
[29:01.000 --> 29:08.000]  We believe in freedom. America needs strong independent families to endure what's ahead and we take this charge seriously.
[29:08.000 --> 29:13.000]  We got options. Organic. No gluten. Without the chemicals. Great taste and value.
[29:13.000 --> 29:17.000]  New Manna is a no-lose investment for your family's food independence.
[29:17.000 --> 29:21.000]  Get your new manna today. Call 888-590-7075.
[29:21.000 --> 29:27.000]  888-590-7075. Online discounts available at www.powerprepper.com.
[29:27.000 --> 29:31.000]  Want revenge on the common housefly?
[29:31.000 --> 29:35.000]  Well, after 10,000 years, someone has finally come up with a better way.
[29:35.000 --> 29:41.000]  The bug assault. A miniaturized shotgun which utilizes ordinary table salt as ammunition.
[29:41.000 --> 29:46.000]  Non-toxic and no batteries required. So much fun. You'll forget you have a wife and kids.
[29:46.000 --> 29:54.000]  $39.95 and free economy shipping. Use discount code GCN and get an extra 10% off your purchase at bugasalt.com.
[29:54.000 --> 29:58.000]  Makes the perfect stocking stuffer. Get your bug assault today.
[30:00.000 --> 30:09.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the Info War to fight the globalist and limited free society.
[30:09.000 --> 30:22.000]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[30:22.000 --> 30:33.000]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best selling product at infowarslife.com because it works so well.
[30:33.000 --> 30:41.000]  This is a gift you want to give yourself and then rest assured you're fighting the Info War so it's a total absolute sure win, no lose equation.
[30:41.000 --> 30:46.000]  Try Alpha Power. Exclusively available at infowarslife.com for yourself.
[30:46.000 --> 30:52.000]  Ladies and gentlemen, it's non-GMO. It's for your brain, it's for sports, it's for activities and it's made in the U.S.A.
[30:52.000 --> 31:17.000]  Get your Alpha Power today at infowarslife.com. Everybody needs to try Alpha Power today.
[31:22.000 --> 31:29.000]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[31:29.000 --> 31:39.000]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[31:39.000 --> 31:46.000]  Super blue, fluoride-free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[31:46.000 --> 31:53.000]  They are pylitol, nanosilver and iodine. Notice the difference with our super blue fluoride-free products.
[31:53.000 --> 31:59.000]  Refresh your breath and invigorate your oral health routine at infowarsstore.com.
[31:59.000 --> 32:04.000]  Feel your body with carnivore, the new digestive enzyme product by InfoWarslife.
[32:04.000 --> 32:12.000]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[32:12.000 --> 32:17.000]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[32:17.000 --> 32:24.000]  Digestive enzyme production declines as we age. Carnivore is filled with digestive enzymes like those naturally present in the body.
[32:24.000 --> 32:27.000]  Enjoy the full potential of protein-rich foods again.
[32:27.000 --> 32:34.000]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[32:34.000 --> 32:42.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[32:42.000 --> 32:49.000]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates, so you can fully digest all types of meals.
[32:49.000 --> 32:53.000]  Don't let a meal go to waste. Use carnivore by InfoWarslife.
