[00:00.000 --> 00:20.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[13:44.000 --> 14:03.000]  It's hydrofluorosalicylic acid, it's incredibly toxic and deadly, but it doesn't matter. He's got a beard, he talks with a lisp, he's the authority and he gave me the Pegasus Top Award in Pigted Flies in 2013.
[14:03.000 --> 14:22.000]  He's like Snopes, he just sits there on the mountain and just says, Alex Jones is a fraud because he sells water filters that supposedly cut out fluoride. That's like saying, valvolines of fraud, they supposedly sell oil filters that make your engine run longer.
[14:22.000 --> 14:38.000]  And water fluoridation is the biggest fraud out there, but water filtration is the biggest part of civilization. I mean, you go to any rich person's house and they've got like a $30,000 in-house filtration system, you go to any fancy restaurant, it's filtered water.
[14:38.000 --> 14:57.000]  Everybody knows about filters, but no, James Randy says I'm a con man because I sell well-known top-of-the-line inexpensive fluoride filters that I personally use. I either filter my water or I drink spring water.
[14:57.000 --> 15:13.000]  But it doesn't matter, that's this authoritarian, eugenicist, leftist worldview. That's their sacrament, that they're going to put in the water what they say they are and you're going to drink it because he says it's good.
[15:13.000 --> 15:31.000]  And again, he's gay, he's a gay wizard basically, and he's got a wizard boyfriend that can barely talk. I mean, it was like watching creepy roadkill or something for two hours. Everyone's just bowing and fawning because, oh my gosh, you're gay.
[15:31.000 --> 15:45.000]  Oh, you're so accomplished. Wow. I'm so impressed. I'm so intellectual because I do everything you say because you have big eyebrows and a big gross beard. You just see him in some leather outfit. Oh my God, it's a nightmare.
[15:45.000 --> 16:00.000]  I barely could eat after watching it. And it was him. He was creepy. A bit of a movie with funny gay guys or something like Best in Show. I thought it was good. It was just unbelievable, a creepy assault by these control freaks.
[16:00.000 --> 16:11.000]  Aging starts at the cellular level. When cells become toxic, they die early and aging sets in. In the past decade, we have witnessed unparalleled scientific discoveries.
[16:11.000 --> 16:18.000]  During that period, key patented compounds have focused on mitochondrial growth, nerve growth and rejuvenation.
[16:18.000 --> 16:30.000]  But no one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time. We now have the synergistic solution.
[16:30.000 --> 16:49.000]  DNA Force, just one of the key compounds, BiopQQ is backed by major clinical studies and over 175 HubMed listed published studies. You want the best that's out there at the lowest price anywhere? The ultimate value, cutting edge, trailblazing game changer that also supports the info war.
[16:49.000 --> 17:00.000]  To secure your DNA force today at infowarslife.com or call toll-free 888-253-3139. DNA force from infowarslife.
[17:20.000 --> 17:28.000]  Every batch is analyzed for purity and D3 content. It's completely free of toxins and allergens. Simply put, if you want the best at an extremely low price, this is it.
[17:28.000 --> 17:41.000]  Winter Sun is the result of our pursuit of the best source of vitamin D3. The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[17:41.000 --> 17:54.000]  Read the facts at infowarslife.com about Winter Sun vitamin D3. Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and brain function. Something the globalists are targeting.
[17:54.000 --> 18:16.000]  Visit infowars.com today or call 888-253-3139 for all of recorded history. Civilizations around the world praised the health benefits of silver. At infowarslife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[18:16.000 --> 18:25.000]  You don't have to be a doctor to know. The fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[18:25.000 --> 18:34.000]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at infowarslife.com.
[18:34.000 --> 18:47.000]  Now, infowarslife.com has taken colloidal silver to the next level using a cutting edge technique that is free of toxic artificial additives. Now more than ever, it's important to stock up on high quality silver bullet from infowarslife.com.
[18:47.000 --> 19:07.000]  No survival chest is complete without silver bullet. Secure your silver bullet today at infowarslife.com or by calling toll-free 888-253-3139 Silver Bullet.
[19:07.000 --> 19:18.000]  Oil of oregano formulation. We have now procured the most high quality and potent forms of oregano oil on the market extracted directly from the wild herb and sealed in easy to use capsules.
[19:18.000 --> 19:25.000]  You will no longer need to endure the burning of liquid oregano on the tongue. Now available in our limited first run at infowarslife.com.
[19:25.000 --> 19:30.000]  That's infowarslife.com or call 888-253-3139.
[19:30.000 --> 19:40.000]  Thanks Jones here. For the last two years I've been working with top doctors, nutritionist and chemist to design a nutraceutical formulation that has truly life changing health benefits.
[19:40.000 --> 19:52.000]  Introducing the all new ancient defense herbal immunity blend. Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[19:52.000 --> 20:02.000]  Visit infowarslife.com or call 1-888-253-3139. That's infowarslife.com.
[20:22.000 --> 20:29.000]  It's Alex Jones coming to you live from the front lines of the Info War.
[20:52.000 --> 21:04.000]  Some of the most amazing footage I've ever seen. A few years ago NASA released footage of time lapse, the shuttle, one of its last missions, flying around and around the world and all the thunderstorms and the lights at night.
[21:04.000 --> 21:12.000]  That should be humanity's identity. It's just how vast the universe is and how amazing it is to be conscious.
[21:12.000 --> 21:28.000]  When I was getting into seeing that movie about James Randy and all this, in none of the reviews, nowhere did they say it was about. It was like a conspiracy of the so-called left, the authoritarians that run the media, that it was a movie about James Randy exposing frauds.
[21:28.000 --> 21:45.000]  And you go and it's like the movie, the imitation game. Really good movie, really interesting story, really admirable man. What happened to him is sad. But half the movie is about him being gay.
[21:45.000 --> 21:55.000]  And they don't tell you that. And it's just like, I'm sick of it. If I want to go see a movie about that, I will. I can't watch cartoons. I can't read the newspaper.
[21:55.000 --> 22:04.000]  My kids are being bombarded with it. I mean, we're being conquered by this, force fed it. If I loved it, and folks, I'm neutral, literally neutral.
[22:04.000 --> 22:16.000]  If I loved it, I'd get sick of eating filet mignon five times a day. I mean, it was the best thing since sliced bread. I'm sick of it. I'm tired of it. It's just everywhere.
[22:16.000 --> 22:34.000]  And I've got all this important world news, but you'd think America's identity, and people think this worldwide, isn't the bald eagle, isn't George Washington, isn't private property, isn't the Second Amendment, isn't prosperity, isn't you can go there and be free and not have elites and monopolies over you?
[22:34.000 --> 22:51.000]  That's what folks wanted to come here, number one reason. Worldwide, we're known as like, Roman decline or something, like a not even gay or lesbian capital. It's more just, we don't have rights to not be spied on or be signed on to trillions of foreign debt,
[22:51.000 --> 23:04.000]  or rights don't have poison put in our food and water, and have GMO, or rights to be, you know, not geo-engineered, or we don't have rights to stop our government warmongering all over the world, and no.
[23:04.000 --> 23:13.000]  We just all can freak out and hate men and say that men are raping everyone all day, and then go gay, gay, gay, gay, gay, gay, lesbian, lesbian, lesbian, lesbian.
[23:13.000 --> 23:25.000]  Just everywhere, cartoons, movies. I mean, I can't watch TV with my kids. It's just everywhere, and my kids go, why is it everywhere, including school, you name it.
[23:25.000 --> 23:36.000]  There's no writing, there's no arithmetic, there's no, there's no science, there's no, it's all just empty sports icons, that's why I'm sick of them too.
[23:36.000 --> 23:48.000]  Just every man I know, oh, do you see that game between Wisconsin and, and, and, and Duke? Oh, oh, I'm just like, oh!
[23:48.000 --> 23:58.000]  It's just the pushing it. I mean, how can a world be built on sexual practices that don't even engage in procreation?
[23:58.000 --> 24:07.000]  Because that's why all creatures on this planet are built around procreation, because that's the main drive to survive. That's what you'd call, I guess in their words, evolution.
[24:07.000 --> 24:20.000]  Well, how do you sabotage that? You make it all obsessed with men and women fighting with each other, the state running children, putting chemicals in the food and water that confuse sexuality on record, and then just making it the new civil right.
[24:20.000 --> 24:36.000]  You don't have a right to prosperity or a future, but you can be accepted if you promote and sell the same sex having sex together, as if the only thing in your life is sexuality.
[24:36.000 --> 24:46.000]  I mean, what must it be like for people out there that are tracking the same sex who aren't complete lunatics, who don't want to turn their guns in, who want private property, who want to be free?
[24:46.000 --> 25:00.000]  What must it be like to the group that claims they represent you that they're a bunch of abortion-pushing, eugenics-pushing, family-hating, on average, crazy people?
[25:00.000 --> 25:23.000]  It's just so par for the course. I'll cover it now before I get into Hillary and all the big news, and the Russian planes and accepting U.S. planes, and just over-the-top news, and mass kidnappings and murder in Mexico, but nobody cares about that. They have to keep making up fake rape stories and fake swastika stories every day, because everybody knows that the whites are all racist, everybody knows there's swastikas and burning crosses everywhere, even though none of them, none of them are real.
[25:23.000 --> 25:38.000]  Church burning is all fake. Again, it's just a total distraction from reality. James Randy, one of the most famous living magician out there, who people tell me all the time attacks me.
[25:38.000 --> 25:48.000]  So I see this movie's coming out, and I search his name, Alex Jones, find all these videos of him attacking me, only have time to watch a couple, and it's this sniveling, conceited, know-it-all.
[25:48.000 --> 26:02.000]  Oh, well, Mr. Jones wins the contest for actor, or for entertainer, or for whatever he says. I'll play the clip. He says, and sells water filters, claiming they cut out fluoride.
[26:02.000 --> 26:14.000]  Just every word he says is a lie. I don't claim it cuts out the fluoride. We got the test. It's what it does. And then as if it's bad to cut out fluoride and all these other chemicals in the water, you're crazy if you don't filter your water.
[26:14.000 --> 26:27.000]  That is just so well known. It's like saying, he claims the sun came up. Really? Prove it to me, Alex. And he sells, making a bunch of claims, unproven supplements. Oh, unproven.
[26:27.000 --> 26:43.000]  Oh, we're so horrible to sell a digestible, high-quality iodine. These legions of studies, how good it is for you. Or a vitamin D3 that's truly organic, or a vitamin B12 that's methylcobalamin, the same type that you inject.
[26:43.000 --> 26:52.000]  I mean, I go to a medical doctor, okay? And I take injectable vitamin B12. I guess my medical doctor's bad, too?
[26:52.000 --> 27:03.000]  Because you're the amazing Randy, a big beard. You expose people that bend spoons. Oh, I'm not bending spoons, jackass. You and George Soros and Snopes can sit at their old angle.
[27:03.000 --> 27:11.000]  These crazy right-wingers think there's a world government forming. They think the NSA is spying on them. Ha, ha, I'm the amazing Randy.
[27:11.000 --> 27:19.000]  I look back and found stuff he said 10 years ago that Jones thinks they're spying on the public. Ridiculous. I'm the amazing Randy.
[27:19.000 --> 27:26.000]  And then you go watch the movie, and it's all him and his boyfriend. I mean, it's just like what? What? Everyone's like, oh, oh.
[27:26.000 --> 27:34.000]  It's like you've gone on a Mars mission, or you discovered the God Gene, or you saved humanity, or you crossed the Bering Strait.
[27:34.000 --> 27:43.000]  Oh, my gosh, you're so accomplished. Wow. Wow. You sleep with a guy. Whoa. So shocking. We can't handle it.
[27:43.000 --> 27:48.000]  Let's go ahead and play this clip. I mean, they make movies about people like this now. Here it is.
[27:48.000 --> 28:06.000]  And in the performer category, Alex Jones is pushing dozens of pseudoscientific alternative therapies, such as water filters, that's supposed to remove poisonous fluoride and various unproven herbal remedies.
[28:06.000 --> 28:13.000]  He can't even talk. He's one of the spearheads of the 9-11 Truth or Movement, which has no truth in it whatsoever. Wow.
[28:13.000 --> 28:24.000]  Alex Jones, congratulations. Now, there's another category. Let's stop right there. He keeps going. I wouldn't have picked this award.
[28:24.000 --> 28:33.000]  There's no truth in 9-11 Truth. I said, and we have it coming on the show next week, the former head of the U.S. Embassy, Springman, that they were ordered to let Muhammad Adam and others in.
[28:33.000 --> 28:43.000]  He said, no. So the CIA came in and said, national security, he works for us. And we said the attacks were run out of Saudi Arabia, and that was in the 9-11 Report Suppressed.
[28:43.000 --> 28:54.000]  Guess what? Head of the Commission came out. Senator Graham, guess what? I've had congressmen on. That was there. I'm right. You're wrong. You're wrong, scum. You're wrong.
[28:54.000 --> 29:00.000]  You're an authoritarian dirtbag, Charleston cod man. You understand? I'm real.
[29:00.000 --> 29:10.000]  Hi, I'm Alex Jones. When I got on air 20 years ago, I weighed 180 pounds. I lifted weights five days a week. I could swim two, three miles.
[29:10.000 --> 29:20.000]  Then I discovered the New World Order, the globalist, their agenda. I started an access television show. I was so dedicated to my work and hanging around with radio guys that I began drinking.
[29:20.000 --> 29:30.000]  I began smoking cigars and then even cigarettes. I transformed from looking like a white Bruce Lee to looking like a job of the hut.
[29:30.000 --> 29:40.000]  So I began a journey five years ago to shed the almost 100 pounds. I started taking super male vitality and saw dramatic results in just a few weeks.
[29:40.000 --> 29:53.000]  When I added to the mix, the key products developed by Dr. Group for infowarslife.com, the results were incredible. Take the infowarslife.com challenge today at infowarslife.com or give our crew a call.
[29:53.000 --> 30:00.000]  They can answer all your questions or tell you about any of the specials at 888-253-3139.
[30:00.000 --> 30:10.000]  Hey, how are you doing? Good, brother. I just recently started using your products. Everything you said about them is correct. Me and my wife both used a lot of them and made a lot of changes in our lives here.
[30:10.000 --> 30:15.000]  Well, thank you, brother. It's because it also funds our operation, but doing that, I know I've got to have the highest quality.
[30:15.000 --> 30:23.000]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[30:23.000 --> 30:32.000]  When we did the super male and the super female vitality, big changes, a lot of energy. We've gotten off to the cheap energy drinks, energy shots, saving a ton of money there.
[30:32.000 --> 30:40.000]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated, or maximum potency.
[30:40.000 --> 30:46.000]  They want to stun and dumb down and energy drinks and stuff, just cover that up for a while, but then burn you out.
[30:46.000 --> 30:52.000]  In my experience, where stuff that gets your glands naturally going goes right to the source. So it's pretty exciting and I love it.
[30:52.000 --> 30:59.000]  Visit infowarsalife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[31:22.000 --> 31:30.000]  To secure your revolutionary secret 12 formula right now at infowarslife.com or call 888-253-3139.
[31:30.000 --> 31:37.000]  Used since before the days of the Roman Empire to support the body's natural systems, introducing the new infowarslife.com.
[31:37.000 --> 31:48.000]  Oil of oregano formulation. We have now procured the most high quality and potent forms of oregano oil on the market, extracted directly from the wild herb and sealed in easy to use capsules.
[31:48.000 --> 31:55.000]  You will no longer need to endure the burning of liquid oregano on the tongue. Now available in our limited first run at infowarslife.com.
[31:55.000 --> 32:00.000]  That's infowarslife.com or call 888-253-3139.
[32:00.000 --> 32:06.000]  Another major health threat. This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[32:06.000 --> 32:09.000]  Ohio Governor declaring a state of emergency.
[32:09.000 --> 32:16.000]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[32:16.000 --> 32:19.000]  If there's a water emergency, will you be prepared?
[32:19.000 --> 32:22.000]  Panicked residents forming long lines throughout the day.
[32:22.000 --> 32:27.000]  We're here at a supermarket in Toledo. You can see the shelves empty where water once was.
[32:27.000 --> 32:32.000]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[32:32.000 --> 32:36.000]  Water which will not be available at your local grocery store.
[32:36.000 --> 32:39.000]  There's a mad dash on right now to stock up on supplies.
[32:39.000 --> 32:46.000]  The Pro Pure Pro 1 G2.0 water filtration system is a must have for every modern independently minded household.
[32:46.000 --> 32:49.000]  Protect your family's safety during an emergency.
[32:49.000 --> 33:11.000]  Go to infowarsstore.com today to purchase your Pro Pure Pro 1 G2.0 water filtration system or call 1-88-253-3139.
[33:11.000 --> 33:21.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[33:21.000 --> 33:40.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[33:40.000 --> 33:44.000]  Coming up in the next hour, open phones. What do you think of hair?
[33:44.000 --> 33:51.000]  I think it's fair to compare it to Hitler. She'd love to be in total control.
[33:51.000 --> 33:56.000]  But is the presidency a crown to be passed back and forth between two families?
[33:56.000 --> 33:59.000]  Well, open the phones up. I'll give the number out in the next segment.
[33:59.000 --> 34:06.000]  Putting bookends on the whole gay agenda, gay assault, homosexual assault, whatever you want to call it.
[34:06.000 --> 34:11.000]  It's about controlling words. It's about dominating. It's about bullying.
[34:11.000 --> 34:15.000]  And it's about selling an entire totalitarian agenda.
[34:15.000 --> 34:22.000]  Build is leftist on the back of quote being accepting and tolerant.
[34:22.000 --> 34:28.000]  It's about guilting the public into submitting to Obamacare and open borders and all the rest of it.
[34:28.000 --> 34:36.000]  And I go see a movie and basically almost the whole thing is about how poor gay people have been persecuted
[34:36.000 --> 34:42.000]  and how illegal immigrants have as well. And it's okay. They are involved in identity fraud.
[34:42.000 --> 34:48.000]  And the boyfriend steals identities and doesn't get in trouble. I mean, it's just, I couldn't believe it.
[34:48.000 --> 34:52.000]  And it's movie after movie now. It's like anything I go see. They don't tell you.
[34:52.000 --> 34:58.000]  And it's a huge lecturing against the family, against guns, against sovereignty.
[34:58.000 --> 35:03.000]  Or I go see a movie and there's a bad guy that's got my name and I go see another movie.
[35:03.000 --> 35:10.000]  And they go, I'm a racist that hates blacks and Jews and everybody else because I'm Alex Jones.
[35:10.000 --> 35:15.000]  Because I follow Alex Jones. That was the David Cross movie just came out.
[35:15.000 --> 35:22.000]  I mean, it's just like, it's a full on assault and it was so crystallized in my mind when I left the movie theater last night.
[35:22.000 --> 35:31.000]  And in 20 minutes talking about this, I haven't articulated, I think, in the totality of why I'm so upset.
[35:31.000 --> 35:42.000]  The world is in major crisis. Genetic engineering is already mutating plants, animals, bacteria, you name it.
[35:42.000 --> 35:50.000]  The Earth's ecosystem is collapsing. And it's why I get so upset when they obsess over carbon dioxide
[35:50.000 --> 35:59.000]  so they can tax it and regulate it and control all development to centralize control when they ignore the thousands of real things that need to be done right now.
[35:59.000 --> 36:08.000]  The globalists are destroying the world, throwing gas on the fire while lecturing everyone about giving them total control to fix it.
[36:08.000 --> 36:14.000]  And in almost every case, they are the full authors of what's happening. That's what's crazy when you really study this.
[36:14.000 --> 36:18.000]  And it's the same thing with this whole quote, gay agenda.
[36:18.000 --> 36:23.000]  I open up the newspaper locally. I turn on television, the news. I come and read stacks of news every day.
[36:23.000 --> 36:37.000]  And I mean, there'll be 15 articles about tax day, extra difficult for many same-sex married couples, associated press.
[36:37.000 --> 36:44.000]  And it's like, fine, I'm sure it is tough. The point is, this is not the only issue in the world.
[36:44.000 --> 36:50.000]  I've got a stack of news here with new fake rape allegations and campuses.
[36:50.000 --> 36:59.000]  And it's just almost every time it turns out it's totally fake. The La Crosse thing years ago, the stuff that Rolling Stones getting sued over, admitting they just made it up.
[36:59.000 --> 37:08.000]  Cross burnings on a weekly basis, swastikas on a weekly basis, and it always comes out months later that it's done to make the group look like victims.
[37:08.000 --> 37:13.000]  I mean, there's hardly anyone burning crosses or putting up swastikas. I mean, give me a break.
[37:13.000 --> 37:20.000]  And a few spots in East Texas, maybe in a few towns in Alabama.
