[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[13:31.000 --> 13:36.000]  But the question is, are they even losing control of that?
[13:36.000 --> 13:42.000]  And I think there are some real signs that the elite are losing control.
[13:42.000 --> 13:43.000]  They're not invincible.
[13:43.000 --> 13:44.000]  They're not God.
[13:44.000 --> 13:46.000]  They're not all powerful.
[13:46.000 --> 13:49.000]  And look at how big the awakening is to them.
[13:49.000 --> 13:52.000]  Look at how Iceland said no to the banking takeover.
[13:52.000 --> 13:55.000]  Look at how Greece said no, but their government said yes.
[13:55.000 --> 13:59.000]  And then all the rioting sent the message that all of the euro was in trouble.
[13:59.000 --> 14:06.000]  Now it's in its lowest level in its history and you've got Volker saying that it may completely collapse.
[14:06.000 --> 14:08.000]  You got Sarkozy saying he may pull out.
[14:08.000 --> 14:14.000]  You've got the Germans openly in their news saying they may go back to Deutsche Marks, which is a great thing, by the way.
[14:14.000 --> 14:15.000]  We need sovereignty.
[14:15.000 --> 14:18.000]  It's a firewall against global corporate tyranny.
[14:18.000 --> 14:21.000]  So we'll cover all of this when we come back.
[14:21.000 --> 14:34.000]  If you don't know something's wrong in the world and if you don't know that corruption and tyranny has gone to seed and a mighty harvest of of pain is here.
[14:34.000 --> 14:45.000]  And if you're not trying to get prepared for it and if you're laughing at me right now, don't say you weren't warned because anybody who's got a lick of sense.
[14:45.000 --> 14:54.000]  Anyone who has a lick of sense knows that things are going to hell in a handbasket and that the economy is not doing better.
[14:54.000 --> 15:02.000]  I was listening to Bloomberg Radio driving in and they were saying that our economy has been out of a recession for a year.
[15:02.000 --> 15:07.000]  Ladies and gentlemen, the real unemployment is now above 23%.
[15:07.000 --> 15:09.000]  It's not 10.
[15:09.000 --> 15:11.000]  Real inflation is above 10%.
[15:11.000 --> 15:14.000]  It's not 3% or 5% like they say.
[15:14.000 --> 15:19.000]  The stock market's at the same level it was 10 years ago.
[15:19.000 --> 15:21.000]  Go look at the 10-year graph.
[15:21.000 --> 15:23.000]  Debt is at record levels.
[15:23.000 --> 15:28.000]  We have a higher debt ratio since 2007 than we've ever had in our history.
[15:28.000 --> 15:33.000]  Greater than it was in the depths of the Depression in 1933.
[15:33.000 --> 15:37.000]  By every measurement, things are getting worse.
[15:37.000 --> 15:39.000]  And I understand this is all about confidence.
[15:39.000 --> 15:42.000]  If we had a real economy, I'd be giving the economy a pep talk.
[15:42.000 --> 15:47.000]  But there's more debt by a order of 100 conservatively.
[15:47.000 --> 15:51.000]  Some economists say by a thousand plus, then there are real assets.
[15:51.000 --> 15:55.000]  It was created as a financial weapon to take over.
[15:55.000 --> 16:21.000]  We'll be right back with all the banking news that's vital to you and your family.
[16:25.000 --> 16:32.000]  Call 800-340-7091 or see them online at 5starsoap.com or infowars.com.
[16:32.000 --> 16:36.000]  Let's talk to the owner of 5-star soap, Marty Schachter, and see what he has to say.
[16:36.000 --> 16:43.000]  As founder and owner for over 63 years, people keep asking me, how's business?
[16:43.000 --> 16:47.000]  I'm happy to say our business is going down the drain.
[16:47.000 --> 16:56.000]  Call us at 1-800-340-7091 or visit our website 5starsoap.com
[16:56.000 --> 17:18.000]  and find a one to two month soap sampler. Thank you.
[17:57.000 --> 18:07.000]  When you're out on the road, the last place you want to be is on the road.
[18:07.000 --> 18:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[18:12.000 --> 18:27.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[18:27.000 --> 18:32.000]  They so pride in every stitch, guarantee you love the way they fit.
[18:32.000 --> 18:37.000]  They put a diamond gusset in the crotch where you need it most.
[18:37.000 --> 19:00.000]  Others don't.
[19:00.000 --> 19:04.000]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[19:04.000 --> 19:06.000]  This is the place to get you started buying or selling a home.
[19:06.000 --> 19:09.000]  Finding a realtor and getting any real estate questions answered.
[19:09.000 --> 19:13.000]  Go to homegain.com and see what I'm talking about.
[19:13.000 --> 19:20.000]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[19:20.000 --> 19:24.000]  This is a great way to be able to monitor the value of your home.
[19:24.000 --> 19:26.000]  And again, it's absolutely free.
[19:26.000 --> 19:28.000]  There are tons of tools to help you.
[19:28.000 --> 19:32.000]  For instance, if you want to remodel your home, go to homegain.com.
[19:32.000 --> 19:39.000]  Use their home sale maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[19:39.000 --> 19:42.000]  For 10 years, these folks have been helping home sellers and buyers.
[19:42.000 --> 19:44.000]  Visit their link at infowars.com.
[19:44.000 --> 19:50.000]  Look for Max, the orange home game gorilla, to help you with any real estate needs you might have.
[19:50.000 --> 19:53.000]  You'll love this site. It's homegain.com.
[19:53.000 --> 20:01.000]  H-O-M-E-G-A-I-N.com. Check them out today.
[20:01.000 --> 20:04.000]  Coast to coast, direct from Austin.
[20:04.000 --> 20:33.000]  You're listening to the Alex Jones Broadcasting Network.
[20:34.000 --> 20:36.000]  It wasn't John Wayne's grandkids.
[20:36.000 --> 20:46.000]  It was John Wayne's son and the grandkids, one of their houses, and leaving the country because of all the tyranny.
[20:46.000 --> 20:49.000]  I mean, that's the type of news that's just everywhere.
[20:49.000 --> 20:57.000]  That's the type of news that is going on just below the surface.
[20:57.000 --> 20:59.000]  And it's in the New York Times.
[20:59.000 --> 21:08.000]  The money is racing out of the United States because the feds are passing laws to arrest U.S. citizens with no trial, no due process.
[21:08.000 --> 21:13.000]  You disappear into a black hole to take your money with no due process.
[21:13.000 --> 21:15.000]  That's what the New World Order is about.
[21:15.000 --> 21:19.000]  No safe zones, no areas where taxes are manageable.
[21:19.000 --> 21:25.000]  France has over 80% taxes on average, and that's the model that the big private central banks want.
[21:25.000 --> 21:34.000]  They get your tax money, so it's the ultra super rich robbing the wealthy and the rich and the middle class,
[21:34.000 --> 21:39.000]  and brainwashing and sickening the blue collar people on middle class wealth.
[21:39.000 --> 21:44.000]  It's middle class wealth that gives people jobs and creates the economy in this country.
[21:44.000 --> 21:46.000]  And it's dying.
[21:46.000 --> 21:50.000]  I've seen the numbers of over 45% of our country being middle class.
[21:50.000 --> 21:53.000]  In the 50s and 60s, it's more like 25%.
[21:53.000 --> 21:55.000]  Some statistics show 30%.
[21:55.000 --> 21:58.000]  The point is, is the middle class is disappearing.
[21:58.000 --> 22:00.000]  The economy is disappearing.
[22:00.000 --> 22:04.000]  We've lost our industry, NAFTA and GATT, globalization.
[22:04.000 --> 22:07.000]  Globalization, they play countries off against each other.
[22:07.000 --> 22:10.000]  It's an international operation.
[22:10.000 --> 22:16.000]  And how many years did we tell you that they were going to sell derivatives of the population to the banks,
[22:16.000 --> 22:19.000]  to the smaller banks, to governments, to the pension funds,
[22:19.000 --> 22:25.000]  and then implode them and then come back and say, give us total power or we're going to shut down the economy completely.
[22:25.000 --> 22:31.000]  And then we give it to the banks and give them tens of trillions of dollars and then things only get worse.
[22:31.000 --> 22:33.000]  We are held hostage.
[22:33.000 --> 22:38.000]  And the Republicans and Democrats are basically all controlled by the same group.
[22:38.000 --> 22:43.000]  And so, look, George Bush, you think he's bad, you put Obama in, things get worse.
[22:43.000 --> 22:47.000]  You think the Republicans are going to save you, it's going to get worse under them.
[22:47.000 --> 22:53.000]  And so, all they're doing is basically balkanizing and dividing and conquering the American people.
[22:53.000 --> 22:57.000]  You know, the stories that we wrote about the new Robert Rodriguez film, Machete,
[22:57.000 --> 23:02.000]  that we began covering last Sunday here, became national news on the Drudge Report, Washington Post,
[23:02.000 --> 23:06.000]  and many other national publications of note.
[23:06.000 --> 23:14.000]  And over the week, they picked up our story and then we got the actual script, which is worse than the trailer.
[23:14.000 --> 23:21.000]  And before the show ends today, I just want to briefly recap the latest developments on that front.
[23:21.000 --> 23:28.000]  We got contacted by Rick Perry's press secretary on Thursday and Friday, and I had a chance to talk with them.
[23:28.000 --> 23:36.000]  And so, they're trying to backtrack and claim that, well, we're not really fully funding, you know, Robert Rodriguez's film.
[23:36.000 --> 23:41.000]  So, the Drudge Report picked up the fact that this is taxpayer funded to a certain extent.
[23:41.000 --> 23:50.000]  And it is a race war film. We have the script and will just undoubtedly create division between groups of people
[23:50.000 --> 23:54.000]  that are getting along quite nicely in almost every case.
[23:54.000 --> 23:57.000]  Okay, let me get into the economic news I was just mentioning.
[23:57.000 --> 24:03.000]  I'm just going to read over these headlines first and then dive back into it and break down my take on what's going on.
[24:03.000 --> 24:12.000]  White House Volcker, he's the head of their economic council, future of Euro in doubt, that is CNBC.
[24:12.000 --> 24:22.000]  Trichette, that's the head of this European central bank, calls for more control in Eurozone, more taxes, more regulation,
[24:22.000 --> 24:28.000]  more bailouts, that will fix it. And then they get trillions more and then they still need more.
[24:28.000 --> 24:35.000]  And things fall apart more and they need more. And then they get record bonuses and takeover society.
[24:35.000 --> 24:43.000]  Merkel battered as Germans lose faith in EU. Just a week ago, it was 70 plus percent against the bailouts.
[24:43.000 --> 24:50.000]  Now it's 90 plus percent. The Germans are being told they're going to have to have tax increases and cuts in their pensions
[24:50.000 --> 24:56.000]  to pay for all this. So are the Greeks. And of course, there's mainstream headlines confirming what I said two weeks ago.
[24:56.000 --> 25:03.000]  This is not a bailout for Greece. This is a takeover of the EU member states by the private central banks.
[25:03.000 --> 25:10.000]  This is a looting. After bailing out Greece and now the Euro, Germany is fed up with being Europe's paymaster.
[25:10.000 --> 25:18.000]  And within one day, Monday, of a trillion dollars being pumped into the private banks, they said we need a trillion more.
[25:18.000 --> 25:24.000]  And that may not be enough. And they hold the population hostage saying you want the stock market to stay up, don't you?
[25:24.000 --> 25:30.000]  Well, then you better let us raise taxes on everybody to pay for these bailouts.
[25:30.000 --> 25:35.000]  And then all it is is a wealth transfer, wealth transference.
[25:35.000 --> 25:43.000]  Here's another one out of Bloomberg. Euro falls to lowest since Lehman as breakup concerns increase.
[25:43.000 --> 25:50.000]  Euro rescue package just buys time, says Merkel. That's out of AFP.
[25:50.000 --> 25:57.000]  Here's another Bloomberg. This is key. In fact, will you guys reprint me that article? I couldn't find it in the stack from Thursday.
[25:57.000 --> 26:04.000]  I believe it was London Guardian. The headline was Icelanders arrest and sue bankers.
[26:04.000 --> 26:09.000]  I want to list some of the bankers now being arrested. Oh, yeah, the solution has now begun.
[26:09.000 --> 26:14.000]  And that doesn't mean arresting your great banker down the street that gives you a car loan or a business loan.
[26:14.000 --> 26:19.000]  Those are the real banks and we need credit in this country and it's a good thing.
[26:19.000 --> 26:25.000]  It's the mega global banks that created derivatives and control fractional reserve banking and own the private shares
[26:25.000 --> 26:32.000]  in the Federal Reserve Bank of England and the European Central Bank that are waging war against the real banks.
[26:32.000 --> 26:38.000]  And remember two weeks ago, the Texas Banking Association president put out an article, an editorial,
[26:38.000 --> 26:46.000]  basically saying what I'm saying, that the parties responsible for this have written the bank re-regulation act,
[26:46.000 --> 26:51.000]  claiming that it's going to control what they've done when it actually gives them more power
[26:51.000 --> 26:55.000]  because Goldman Sachs and others have almost every regulatory position
[26:55.000 --> 27:00.000]  and is designed to come in and take control of everything you do and track every purchase you make
[27:00.000 --> 27:06.000]  and follow every credit card purchase you make and to have live time access to your bank account.
[27:06.000 --> 27:12.000]  The feds already have that in certain areas, but finally it's been in mainstream news.
[27:12.000 --> 27:17.000]  People couldn't believe it a few weeks ago when I was covering it, now it's been mainstream news
[27:17.000 --> 27:23.000]  that yes, everything under this banking reform act, everything you do is tracked in real time.
[27:23.000 --> 27:30.000]  No fourth amendment, no fifth amendment. I mean, this is Hitler's dream for this type of control.
[27:30.000 --> 27:37.000]  But on the subject of criminal investigations, here's a headline out of Bloomberg,
[27:37.000 --> 27:43.000]  Greece considering legal action against U.S. banks for crisis.
[27:43.000 --> 27:47.000]  Greece is considering taking legal action against U.S. investment banks
[27:47.000 --> 27:51.000]  that might have contributed to the country's debt crisis.
[27:51.000 --> 27:57.000]  Private minister, and it goes on, said, I wouldn't rule out that this may be the course
[27:57.000 --> 28:02.000]  their minister said in response to questions about the role of U.S. banks in the crisis
[28:02.000 --> 28:09.000]  in an interview with CNN's Fareed Zachariah. The program scheduled for broadcast today,
[28:09.000 --> 28:13.000]  and then it goes on from there, and that has it now aired because I heard him playing clips of it
[28:13.000 --> 28:17.000]  on Bloomberg driving in. Yeah, here's that headline.
[28:17.000 --> 28:24.000]  Bankers jailed, sued as Iceland seeks culprits for crisis, AFP, French news agency.
[28:24.000 --> 28:31.000]  More than a year and a half after Iceland's major banks failed, all but seeing the economy,
[28:31.000 --> 28:36.000]  police have begun rounding up a number of top bankers while their former executives
[28:36.000 --> 28:42.000]  and owners face $2 billion lawsuit. And when Iceland finally got the documents they found out,
[28:42.000 --> 28:46.000]  just like we found out with Timberwolf and everything else here in the U.S. with Goldman Sachs,
[28:46.000 --> 28:50.000]  the Goldman Sachs ran this with their government ministers, paid them off,
[28:50.000 --> 28:56.000]  and premeditatedly set the whole thing up. But what did Max Kaiser tell us two years ago?
[28:56.000 --> 29:00.000]  He was in that Icelandic bar with the bankers and they bragged about it.
[29:00.000 --> 29:05.000]  In March, Alex Jones announced that eFoodsDirect was putting together a high-volume
[29:05.000 --> 29:11.000]  pre-production order of the new quick-fix meals. By waiting for production and shipping of their orders,
[29:11.000 --> 29:15.000]  families were able to receive one free item for every three that they bought.
[29:15.000 --> 29:20.000]  Since the final shutdown of this buy three get one free program, we've had a lot of folks calling,
[29:20.000 --> 29:23.000]  disappointed that they missed the order deadline. Listen carefully.
[29:23.000 --> 29:30.000]  Starting immediately, eFoodsDirect.com will take pre-production orders for a buy three get one free program
[29:30.000 --> 29:36.000]  for one week ending May 14th at midnight. You will receive one free item for every three that you order
[29:36.000 --> 29:40.000]  of the selected products. These orders will begin shipping the first week of June.
[29:40.000 --> 29:53.000]  To order on the web, eFoodsDirect.com slash Alex, or call 800-409-5633. That's eFoodsDirect.com slash Alex, 800-409-5633.
[29:53.000 --> 30:22.000]  Again, that's eFoodsDirect.com slash Alex, 800-409-5633.
[30:22.000 --> 30:29.000]  They call it a survival seed bank and it can produce an endless supply of nutrient-dense food for you and your family.
[30:29.000 --> 30:35.000]  And here's the best part. These seeds have not been genetically modified in any way and you actually get enough seeds
[30:35.000 --> 30:40.000]  to plant a full acre crisis garden. So visit them today at survivalseedbank.com.
[30:40.000 --> 30:47.000]  That's survivalseedbank.com or give them a call at 877-327-0365.
[30:47.000 --> 30:56.000]  That's 877-327-0365. Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[30:56.000 --> 31:20.000]  This is Alex Jones for survivalseedbank.com.
[31:20.000 --> 31:27.000]  Take my word for it. Once you've used pure soap, you won't buy anything else. Since 1947, Calvin Soap Company has been showing consumers
[31:27.000 --> 31:32.000]  that soap can be tough on dirt and gentle on the environment. Buy American and stay clean.
[31:32.000 --> 31:38.000]  As well as support info wars, visit 5starsoap.com today or call 1-800-340-7091.
[31:38.000 --> 31:40.000]  Well, Marty, what do you have to say?
[31:40.000 --> 31:52.000]  As founder and owner for over 63 years, satisfaction is guaranteed on W. Dirtback. Call us at 1-800-340-7091
[31:52.000 --> 32:20.000]  for free catalog or visit our website 5starsoap.com. Thank you.
[32:20.000 --> 32:25.000]  The United Nations would take over America. The Tri-Lateral Commission would control the world.
[32:25.000 --> 32:33.000]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[32:33.000 --> 32:38.000]  I believe, first of all, that we now need nothing short of a world constitution for the global financial system.
[32:38.000 --> 32:41.000]  Global governance with the establishment of the G20.
[32:41.000 --> 32:47.000]  So it's going to be an inner ruling elite and then everyone else. And I got news for you. You're everyone else.
