[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[00:02:32.558 --> 00:02:37.702]  Unless they cut the power off and blame it on Russia or go ahead and start a nuclear war.
[00:02:37.702 --> 00:02:45.727]  Which, unfortunately, unless there's some sanity in government and corporations left, is going to happen.
[00:02:47.026 --> 00:02:55.469]  And I guess it's really up to all of us, the good people and the bad people, to decide do we really all want to die.
[00:02:55.469 --> 00:02:56.350]  I really don't want to die.
[00:02:56.350 --> 00:03:04.053]  I have no desire to kill globalists or go burn down police stations like Antifa does.
[00:03:04.053 --> 00:03:06.473]  And that's all pointless to begin with.
[00:03:06.473 --> 00:03:09.995]  This is a command and control system from the top that's out to get us.
[00:03:10.879 --> 00:03:11.640]  On record.
[00:03:11.640 --> 00:03:14.341]  Why would anyone go along with this when it's suicidal?
[00:03:14.341 --> 00:03:18.984]  You know, a great political cartoon of the day, and I'll come back with all the news, says it all.
[00:03:18.984 --> 00:03:22.186]  So maybe you guys can punch this up from Twitter from whence it came.
[00:03:22.186 --> 00:03:23.067]  But look at this.
[00:03:23.067 --> 00:03:27.129]  For radio listeners, I'll narrate this image.
[00:03:27.129 --> 00:03:33.053]  After the nukes, the last two surviving Americans have a discussion across from New York and New Jersey.
[00:03:33.053 --> 00:03:36.395]  You can see the smoking ruins of New York and the Statue of Liberty.
[00:03:36.395 --> 00:03:39.657]  There's skulls and bones everywhere and the tattered American flag.
[00:03:41.440 --> 00:03:50.246]  And one of the survivors, with burned off clothing, says to the other survivor, See, I told you Trump would kill us all!
[00:03:50.246 --> 00:03:57.151]  And the other one says, Biden was the president, you moron!
[00:03:57.151 --> 00:03:59.353]  That's where we are.
[00:03:59.353 --> 00:04:00.894]  That's where we're going.
[00:04:00.894 --> 00:04:03.156]  And notice, that's one of the top cartoonists out there.
[00:04:03.156 --> 00:04:03.876]  It's everywhere.
[00:04:03.876 --> 00:04:06.438]  Everybody sees it, it's got a brain.
[00:04:06.438 --> 00:04:08.920]  The New World Order may have a bunch of idiots, or fools,
[00:04:09.977 --> 00:04:11.258]  Think of making win.
[00:04:11.258 --> 00:04:13.200]  You can't win a game like this.
[00:04:13.200 --> 00:04:14.521]  Don't play the game.
[00:04:14.521 --> 00:04:18.025]  Remember the 1980's movie, War Games?
[00:04:18.025 --> 00:04:19.306]  It's such a strange game.
[00:04:19.306 --> 00:04:23.630]  The only way to win is not to play.
[00:04:23.630 --> 00:04:24.231]  Here's another one.
[00:04:25.182 --> 00:04:32.143]  Another political cartoon shows Chuckie Schumer with a sign with a nuke going off saying, oh, Jan 6, worse than 9-11, the Civil War, Pearl Harbor.
[00:04:32.143 --> 00:04:34.984]  He says, shut up this fox liar, Tucker.
[00:04:34.984 --> 00:04:40.665]  And Tucker just has the unseen video of the Q shaman with the police and them taking selfies together.
[00:04:40.665 --> 00:04:42.105]  That's the reality.
[00:04:42.105 --> 00:04:43.986]  That's the reality.
[00:04:43.986 --> 00:04:45.126]  You people are crazy.
[00:04:45.126 --> 00:04:46.266]  How about the globalists?
[00:04:46.266 --> 00:04:47.646]  You are insane.
[00:04:47.646 --> 00:04:48.947]  Stop it.
[00:04:48.947 --> 00:04:49.587]  We'll be right back.
[00:04:49.587 --> 00:04:49.967]  Stay with us.
[00:05:01.283 --> 00:05:09.489]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the globalists, in their own words, plan for our future.
[00:05:09.489 --> 00:05:10.950]  That is a hellish future.
[00:05:10.950 --> 00:05:20.356]  Now you'll always, while they still allow books, I guess they're trying to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or Infowarsware.com.
[00:05:20.356 --> 00:05:25.940]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[00:05:25.940 --> 00:05:27.922]  And there's about a thousand left of them right now.
[00:05:28.502 --> 00:05:33.885]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsHore.com.
[00:05:33.885 --> 00:05:37.827]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:05:37.827 --> 00:05:43.710]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[00:05:43.710 --> 00:05:45.811]  I'm going to thank those of you that have gotten signed copies of the book.
[00:05:46.591 --> 00:05:47.653]  Or unsigned copies.
[00:05:47.653 --> 00:05:58.006]  But I want to encourage all of you who haven't yet to go to Infowarsstore.com and get a signed copy and buy a couple of unsigned copies and donate them to the library or give them to the local school.
[00:05:58.006 --> 00:05:59.048]  This is an Infowar.
[00:05:59.048 --> 00:06:00.670]  I'm counting on you and thank you for your support.
[00:06:05.427 --> 00:06:09.349]  The answer to 1984 is 1776.
[00:06:09.349 --> 00:06:17.693]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:17.693 --> 00:06:27.477]  All right, ladies and gentlemen, we got an incredibly important transmission lined up for you on this Thursday, March 9th, 2023 broadcast.
[00:06:27.477 --> 00:06:27.657]  Wow!
[00:06:32.677 --> 00:06:34.598]  The entire New World Order is being uncloaked.
[00:06:34.598 --> 00:06:37.419]  Their entire criminal operation is being exposed.
[00:06:37.419 --> 00:06:41.961]  So much is breaking, I can't even keep track of half of it.
[00:06:41.961 --> 00:06:45.142]  But let me go over what's coming out.
[00:06:45.142 --> 00:06:48.083]  We've got a bunch of video from the testimony.
[00:06:48.083 --> 00:06:51.784]  And it's starting to get a lot of media attention.
[00:06:51.784 --> 00:06:57.747]  Redfield, two days ago, testified to Congress.
[00:06:57.747 --> 00:07:00.968]  The former head of the CDC, during the whole COVID operation,
[00:07:02.486 --> 00:07:07.610]  And I noticed he was smart two years ago when Gain of Function came up.
[00:07:07.610 --> 00:07:11.973]  He said, no, I think this Gain of Function, he said, I think it came out of the Wuhan lab or somewhere like that.
[00:07:11.973 --> 00:07:17.096]  Because he wasn't going to lie to Congress.
[00:07:17.096 --> 00:07:19.378]  Now we know why.
[00:07:19.378 --> 00:07:22.720]  He's turned state's evidence in front of Congress.
[00:07:22.720 --> 00:07:25.262]  He says he was kept out of the whole deal.
[00:07:25.262 --> 00:07:29.865]  They looked at the virus day one, they knew it was man-made 100% with the scanning systems they've got.
[00:07:31.690 --> 00:07:40.919]  And that Fauci kept him out of it and created a false report that it wasn't man-made.
[00:07:40.919 --> 00:07:46.464]  That smoking gun of smoking gun of smoking gun.
[00:07:46.464 --> 00:07:54.552]  There's all that unraveling and Fauci and the federal government, the CDC working with Homeland Security to censor doctors and scientists and members of Congress
[00:07:56.192 --> 00:07:57.814]  We were exposing all of this.
[00:07:57.814 --> 00:07:58.935]  We just want to live.
[00:07:58.935 --> 00:08:00.797]  We just don't want to die.
[00:08:00.797 --> 00:08:03.059]  Please stop killing us.
[00:08:03.059 --> 00:08:05.002]  You killed some of my friends.
[00:08:05.002 --> 00:08:06.323]  You hit us with a bioweapon.
[00:08:06.323 --> 00:08:09.647]  And the shot was even worse.
[00:08:09.647 --> 00:08:11.669]  But I know there's too many of us, right?
[00:08:11.669 --> 00:08:13.551]  And you're the establishment, so you don't want to do that.
[00:08:13.551 --> 00:08:16.114]  No, you're a pack of criminals, a pack of mad scientists.
[00:08:16.114 --> 00:08:16.734]  So you got that.
[00:08:21.032 --> 00:08:30.440]  Then you've got all the massive censorship of everything from the Afghan withdrawal to open borders to election fraud to COVID and Matt Taibbi testifying today.
[00:08:30.440 --> 00:08:43.911]  We've got clips of that and how it's a whole deep state system censoring and surveilling and illegally controlling that makes 1984 look like a paradise.
[00:08:43.911 --> 00:08:44.712]  You got that coming up.
[00:08:46.940 --> 00:08:50.902]  Then you've got Jan 6 and them suppressing Tucker Carlson and releasing more info.
[00:08:50.902 --> 00:08:53.543]  That's going on.
[00:08:53.543 --> 00:08:59.285]  And all the footage of the Feds and the provocateurs that we already have, but they have the HD of it and more.
[00:08:59.285 --> 00:09:02.686]  And you have what began breaking last night.
[00:09:02.686 --> 00:09:11.070]  And I love being the tip of the spear, but I'm always happy when somebody else is, because when you're the tip of the spear, it's not like you're breaking big news and you're a celebrity.
[00:09:11.070 --> 00:09:13.691]  It's like stepping up to be punched in the face by Mike Tyson.
[00:09:15.489 --> 00:09:19.558]  Because every time you do it, the enemy gets madder.
[00:09:19.558 --> 00:09:24.951]  But I did go ahead last night, but I got the information, and I called a bunch of reporters, and it broke this morning.
[00:09:27.754 --> 00:09:31.758]  On the Jan 6th situation and the Proud Boys trial.
[00:09:31.758 --> 00:09:33.779]  Remember what happened with the Whitmer kidnapping?
[00:09:33.779 --> 00:09:41.966]  How the first group, quote, got off because the feds had hidden a bunch of evidence, but then didn't fully delete it when they gave it to the defense team.
[00:09:41.966 --> 00:09:45.549]  And so it was all the recordings of the FBI ordering them to attack Whitmer.
[00:09:45.549 --> 00:09:46.910]  No, I don't want to attack Whitmer.
[00:09:46.910 --> 00:09:48.612]  I want to smoke pot.
[00:09:48.612 --> 00:09:51.675]  Can I have money for a hamburger?
[00:09:51.675 --> 00:09:53.136]  No, we're going to go kidnap Whitmer.
[00:09:54.844 --> 00:10:01.709]  Now they were able to keep that out of the next trial and got some of their convictions, but the point is, the same team that ran the Whitmer deal ran Jan 6th.
[00:10:01.709 --> 00:10:03.931]  The same people.
[00:10:03.931 --> 00:10:08.134]  Except the guy that got caught beating up his wife real bad, that FBI guy, he's not there anymore.
[00:10:08.134 --> 00:10:10.516]  But the sex party.
[00:10:10.516 --> 00:10:17.401]  So, this is only part of what broke, and I'll be getting to this.
[00:10:19.215 --> 00:10:21.096]  I guess I'll just get to this first.
[00:10:21.096 --> 00:10:22.597]  Because it's a lot bigger than Jan 6.
[00:10:22.597 --> 00:10:24.717]  It's a lot bigger than the Proud Boys.
[00:10:24.717 --> 00:10:31.020]  It's a lot bigger than the Feds trying to put me and Owen Schroer and my crew in prison for trying to stop it.
[00:10:31.020 --> 00:10:37.383]  It shows standard operating procedure at the FBI now is criminal.
[00:10:37.383 --> 00:10:38.344]  Beyond criminal.
[00:10:38.344 --> 00:10:38.944]  Dangerous.
[00:10:38.944 --> 00:10:40.264]  Weaponized.
[00:10:40.264 --> 00:10:43.786]  There's a federal filing today.
[00:10:43.786 --> 00:10:45.667]  I called the media last night and told them, get on this.
[00:10:47.619 --> 00:10:50.040]  You're going to be seeing a lot of it very soon in a lot of places.
[00:10:50.040 --> 00:10:56.322]  You can probably guess where.
[00:10:56.322 --> 00:11:03.904]  And I learned from inside that the FBI did it again.
[00:11:03.904 --> 00:11:05.645]  They like to sneak up.
[00:11:05.645 --> 00:11:08.946]  They're in the sixth week of their prosecution.
[00:11:08.946 --> 00:11:12.347]  The defense hasn't even had a chance to go yet in the Proud Boys kangaroo trial in D.C.
[00:11:14.890 --> 00:11:25.396]  And the Feds put an FBI agent on the stand, and in the last two days, and released new evidence they were about to admit.
[00:11:25.396 --> 00:11:30.439]  And the FBI did it again.
[00:11:30.439 --> 00:11:40.504]  The FBI thought they had deleted the files, but the defense team noticed that there was a restore function popping up, letting them know there was files there.
[00:11:40.504 --> 00:11:44.086]  And when they hit the button, or maybe this is an insider leaking it,
[00:11:45.796 --> 00:11:46.877]  That's probably what it is.
[00:11:46.877 --> 00:11:52.641]  When they hit the button, hundreds of files with thousands of pages popped up.
[00:11:52.641 --> 00:11:55.263]  And do you know what's in the federal filing?
[00:11:55.263 --> 00:11:56.504]  And do you know what's in the documents?
[00:11:56.504 --> 00:11:59.326]  Because I've talked to the folks that have the documents.
[00:11:59.326 --> 00:12:01.968]  You know what's in it?
[00:12:01.968 --> 00:12:08.633]  FBI agents covering their ass saying, I have been ordered to destroy hundreds of pieces of evidence.
[00:12:08.633 --> 00:12:11.615]  And what is the evidence?
[00:12:11.615 --> 00:12:15.158]  That the Proud Boys were innocent, full of feds at the top,
[00:12:16.894 --> 00:12:20.996]  Trying to lead them into violence and that none of that happened.
[00:12:20.996 --> 00:12:27.458]  Not at the garage meeting with the Boat Keepers, none of it.
[00:12:27.458 --> 00:12:32.400]  And we know what CIA operatives involved, sex operatives.
[00:12:32.400 --> 00:12:39.583]  And the judge has been keeping all of this out of court, because I've been knowing about this for six weeks.
[00:12:39.583 --> 00:12:45.305]  We've been talking about it here, but now we have the documents.
[00:12:46.630 --> 00:12:49.572]  Overhead shot, please.
[00:12:49.572 --> 00:12:56.355]  Julie Kelly got the word last night about the filing that went in at about 11 p.m.
[00:12:56.355 --> 00:13:03.019]  Eastern, and she's now posted the federal filing.
[00:13:03.019 --> 00:13:06.020]  And you can go read it for yourself.
[00:13:06.020 --> 00:13:07.941]  Here it is.
[00:13:07.941 --> 00:13:12.604]  It talks about the special agents and names them, and how the special agent
[00:13:13.988 --> 00:13:21.750]  was cross-examined and how they turned over documents and they forgot to fully erase what was hidden in them.
[00:13:21.750 --> 00:13:25.190]  And they gave them a massive tranche of files.
[00:13:25.190 --> 00:13:34.152]  The version of Miller's Excel sheet produced the defense contained 25 rows of her L-N-L-Y-N-C message.
[00:13:34.152 --> 00:13:38.713]  In cross-examination, the agent acknowledged she alone compiled the disclosure.
[00:13:38.713 --> 00:13:43.514]  She testified those messages consisted of a complete production of
[00:13:45.370 --> 00:13:54.555]  What she testified to, however, in close examination of the agent's sheet revealed over 1,000 hidden Excel rows of messages.
[00:13:54.555 --> 00:14:01.559]  Miller was thus examined as to whether she had withheld from prosecutors the messages contained therein.
[00:14:01.559 --> 00:14:03.640]  Now, guess what's in the messages?
[00:14:03.640 --> 00:14:09.663]  Let me show you just a little bit of that.
[00:14:09.663 --> 00:14:14.646]  There are sections here where the agents
[00:14:16.351 --> 00:14:22.495]  are ordered to erase them.
[00:14:22.495 --> 00:14:26.718]  And for some reason, when I was on Steve Bannon, I was waving these around and showing things.
[00:14:26.718 --> 00:14:36.765]  So, of course, the page where it says I was ordered by my senior manager to delete the files, to destroy the evidence, is the exact words.
[00:14:36.765 --> 00:14:37.225]  Oh, I found it.
[00:14:37.225 --> 00:14:37.906]  It's right here.
[00:14:37.906 --> 00:14:38.266]  Okay, here we go.
[00:14:39.284 --> 00:14:52.451]  Miller's communications with another agent who states that the agent's FBI boss assigned her 338 items of evidence I have to destroy.
[00:14:52.451 --> 00:14:53.431]  You know that's illegal.
[00:14:53.431 --> 00:14:54.152]  That's a felony.
[00:14:54.152 --> 00:15:08.599]  Remember, they just convicted an FBI agent with a slap on the wrist, related to Trump, who falsified emails and just made up emails.
[00:15:11.863 --> 00:15:14.124]  About Trump and Russia.
[00:15:14.124 --> 00:15:18.025]  These people are crazy.
[00:15:18.025 --> 00:15:21.267]  Absolutely insane.
[00:15:21.267 --> 00:15:22.247]  Oh my God.
[00:15:22.247 --> 00:15:26.489]  You know, I was there on January 6th, and I was there the preceding days.
[00:15:28.109 --> 00:15:30.551]  Everyone thought Antifa was going to bomb our hotels.
[00:15:30.551 --> 00:15:33.373]  Everybody thought Antifa was going to show up and attack us.
[00:15:33.373 --> 00:15:40.399]  And the Proud Boys, with what I heard and what I saw, and what was all over the news, was they were there in case Antifa attacked people.
[00:15:40.399 --> 00:15:42.841]  There was no plan to attack the fricking Capitol.
[00:15:42.841 --> 00:15:45.923]  What kind of idiots would do that?
[00:15:45.923 --> 00:15:47.024]  Capitals were the puppets.
[00:15:47.024 --> 00:15:48.125]  They didn't even run anything.
[00:15:48.125 --> 00:15:49.386]  It's not like you take the government over.
[00:15:49.386 --> 00:15:51.107]  It's insane!
[00:15:51.107 --> 00:15:54.510]  But this is all coming out now too, and a lot more.
[00:15:54.510 --> 00:15:55.390]  We'll be right back.
[00:15:55.390 --> 00:15:55.831]  Stay with us.
[00:16:00.345 --> 00:16:12.290]  Right now, I'm not talking to the viewers and listeners that have gone to InfoWarsTore.com and gotten the great products that enrich your life, that empower your immune system and your body, and keep us on air.
[00:16:12.290 --> 00:16:20.653]  I am humbly, hand-in-hand, talking to the viewers and listeners that have tuned in, many of you for years, and never gone to InfoWarsTore.com.
[00:16:20.653 --> 00:16:29.157]  We know the vast, vast, vast, vast majority of you never actually go to InfoWarsTore.com and never experience these great products and never find the operation.
[00:16:29.437 --> 00:16:32.498]  Sure, you share a link, you share an article, you tell folks about the show.
[00:16:32.498 --> 00:16:33.878]  That's great, and I thank you.
[00:16:33.878 --> 00:16:35.398]  But we need funds to operate.
[00:16:35.398 --> 00:16:43.760]  Plus, we've got really great products that do amazing things for people, like our CBD oil, and our fizzy magnesium, and our sleep aid, and our nitric oxide, and our real red pill.
[00:16:43.760 --> 00:16:45.820]  Plus, all of these are really great products.
[00:16:45.820 --> 00:16:46.720]  They keep us on air.
[00:16:46.720 --> 00:16:48.500]  Plus, you're missing out on these products.
[00:16:48.500 --> 00:16:57.382]  So get off the bench, get in the game, step to the plate, and go to InfoWarsTore.com right now and get these great InfoWars products at InfoWarsTore.com.
[00:16:59.639 --> 00:17:01.640]  I've got some good news.
[00:17:01.640 --> 00:17:08.505]  Our high-quality supplements really work, and we have about an 80% reorder rate with customers.
[00:17:08.505 --> 00:17:09.345]  That's the good news.
[00:17:09.345 --> 00:17:10.466]  They're amazing.
[00:17:10.466 --> 00:17:18.672]  The bad news is, around 1% or a little less of our actual viewers and listeners never go to InfoWareStore.com and ever actually buy the products.
[00:17:18.672 --> 00:17:22.114]  So you're missing out on these products, plus it funds the InfoWare.
[00:17:22.114 --> 00:17:27.037]  Think of what we've done with just 1% of our massive audience actually buying products.
[00:17:27.037 --> 00:17:27.858]  Think what would happen.
[00:17:28.778 --> 00:17:42.300]  If those of you on the fence actually went to InfowarStore.com and got some of these amazing products, I would recommend Turmeric 95 for your joints, your bones, inflammation, to get one of the biggest effects, so you reorder it and see how great it is.
[00:17:42.300 --> 00:17:51.262]  Also, we've got the super high-quality, full-spectrum CBD oil that's so good for your neurological systems, your brain, your joints, your bones as well.
[00:17:51.262 --> 00:17:52.642]  Or Real Red Pill Plus.
[00:17:52.642 --> 00:17:56.583]  Just go try the product, fund the Infowar, and help us defeat the new order together.
[00:17:57.083 --> 00:18:01.586]  Infowarsstore.com.
[00:18:01.586 --> 00:18:08.030]  It's hard to believe that we're already going into March 2023, and the world is an insane place.
[00:18:08.030 --> 00:18:09.791]  World War III has already started.
[00:18:09.791 --> 00:18:12.112]  Biden is a puppet and is dissolving our borders.
[00:18:12.112 --> 00:18:13.273]  There's mass censorship.
[00:18:13.273 --> 00:18:15.474]  James O'Keefe's been removed from Project Veritas.
[00:18:15.474 --> 00:18:17.735]  The list goes on and on of the bad things that are happening.
[00:18:17.735 --> 00:18:22.118]  But the good things that are happening is humanity is really accelerating its awakening.
[00:18:22.398 --> 00:18:26.321]  But those of us on the forefront are under more attack by the establishment than ever.
[00:18:26.321 --> 00:18:34.747]  That's why I'm counting on you to spread the word about the broadcast, to pray for the broadcast, and to keep the broadcast on the air by getting great products at Infowarshore.com.
[00:18:34.747 --> 00:18:43.413]  And whether it's a final signed copy, they're almost all sold out, or the great reset in the War for the World, or Ultimate Bone Broth, finally back in stock after over two years, it's all available at Infowarshore.com.
[00:18:43.413 --> 00:18:45.014]  These are truly amazing products.
[00:18:45.174 --> 00:18:51.358]  So, get your InfoWars products at InfoWarsStore.com and enrich your life while keeping the broadcast on the air.
[00:18:51.358 --> 00:18:55.962]  It is your decision on whether or not we stay on air, so please take action now at InfoWarsStore.
[00:19:11.107 --> 00:19:12.369]  That's not his job.
[00:19:12.369 --> 00:19:14.112]  He's not the President of the United States.
[00:19:14.112 --> 00:19:17.998]  He's a puppet operating for the globalists.
[00:19:17.998 --> 00:19:22.486]  Appetites of the autocrat cannot be appeased.
[00:19:22.486 --> 00:19:23.608]  They must be opposed.
[00:19:24.352 --> 00:19:27.634]  Autocrats only understand one word.
[00:19:27.634 --> 00:19:28.815]  No.
[00:19:28.815 --> 00:19:29.655]  No.
[00:19:29.655 --> 00:19:30.436]  No.
[00:19:30.436 --> 00:19:31.316]  Exactly.
[00:19:31.316 --> 00:19:34.898]  And that's why we say no to your vaccines.
[00:19:34.898 --> 00:19:37.980]  We say no to you shutting down our businesses.
[00:19:37.980 --> 00:19:40.462]  We say no to you taking our firearms.
[00:19:40.462 --> 00:19:42.963]  We say no to you censoring our free speech.
[00:19:42.963 --> 00:19:46.585]  We say no to you selling us out to the World Health Organization.
[00:19:46.585 --> 00:19:49.107]  We say no to you getting us into World War III.
[00:19:49.107 --> 00:19:49.507]  You're right.
[00:19:49.787 --> 00:19:54.552]  We stand against autocrats like you, Joe Biden, and we say no!
[00:19:54.552 --> 00:20:01.179]  And we say no to your war!
[00:20:01.179 --> 00:20:05.804]  Leading a frontal assault on the lies of the New World Order.
[00:20:05.804 --> 00:20:07.086]  It's Alex Jones.
[00:20:43.929 --> 00:20:51.111]  So much news is coming in, so much critical intel, that during the breaks I am busier than a one-legged man in an ass-kicking contest.
[00:20:51.111 --> 00:20:56.772]  Or a one-armed paper hanger.
[00:20:56.772 --> 00:20:59.553]  Actually, let me just tell you something right now.
[00:20:59.553 --> 00:21:02.954]  Most of the 41,000 hours of January 6th is actually public.
[00:21:04.454 --> 00:21:07.856]  But the media is all playing dumb like they don't know that.
[00:21:07.856 --> 00:21:19.225]  What Tucker Carlson wanted access to was the official full record in one place that had all the marks on it of where the Capitol Police, the Democrats and Republicans have been going over it for two years.
[00:21:19.225 --> 00:21:26.490]  No one of the Democrats didn't want it out because they know what's on it, the provocateurs running the operation to break into the Capitol to try to trick the crowd to go in.
[00:21:26.490 --> 00:21:29.232]  Out of a million people, they only tricked a thousand or so to go in.
[00:21:29.232 --> 00:21:30.413]  Ninety-five percent of them were peaceful.
[00:21:30.953 --> 00:21:32.655]  There's always hooligans in any group.
[00:21:32.655 --> 00:21:36.398]  Look at riots after a football or basketball championship.
[00:21:36.398 --> 00:21:37.819]  That's what this really was.
[00:21:37.819 --> 00:21:39.901]  It was like a football game riot.
[00:21:39.901 --> 00:21:41.242]  And only a small group of the fans.
[00:21:41.242 --> 00:21:43.645]  You have 100,000 people at a football game, and then...
[00:21:44.853 --> 00:21:46.914]  A thousand of them get a little rowdy?
[00:21:46.914 --> 00:21:55.939]  You say, that whole football stadium is a bunch of terrorists, and by the way, the whole country are terrorists, or let's say some Dallas Cowboys fans rioted, or some Lakers fans.
[00:21:55.939 --> 00:21:59.260]  Anybody that likes basketball is now a terrorist.
[00:21:59.260 --> 00:22:03.502]  Our number one threat is Lakers fans nationwide.
[00:22:03.502 --> 00:22:08.965]  If you see someone wearing a Lakers fan jersey, call Homeland Security immediately.
[00:22:08.965 --> 00:22:10.926]  That's the same thing.
[00:22:10.926 --> 00:22:12.447]  Anybody wearing a red hat's a terrorist.
[00:22:13.991 --> 00:22:15.251]  Anybody that was in D.C.
[00:22:15.251 --> 00:22:19.513]  in hotels, no warrants, we're going to come after you.
[00:22:19.513 --> 00:22:21.773]  We're going to deny anybody trying to fly out of D.C.
[00:22:21.773 --> 00:22:24.394]  their plane tickets.
[00:22:24.394 --> 00:22:28.235]  It's just a mob of criminals doing whatever they want.
[00:22:28.235 --> 00:22:41.859]  And now, the defense for the Proud Boys, who is a good organization of good people, I'm not saying they're feds, but over the years, the leadership of it got fully infiltrated.
[00:22:43.430 --> 00:22:45.292]  It didn't really have leadership.
[00:22:45.292 --> 00:22:47.673]  Gavin McGinnis started it.
[00:22:47.673 --> 00:22:50.115]  And then everybody said, hey, they call us racist.
[00:22:50.115 --> 00:22:54.399]  Enrique Tarrio is a nice, well-spoken fellow.
[00:22:54.399 --> 00:22:55.540]  We'll make him the leader.
[00:22:55.540 --> 00:22:57.301]  But it's not like it's some command and control system.
[00:22:57.301 --> 00:23:02.325]  It's just a brotherhood or, you know, a group that has shared values.
[00:23:02.325 --> 00:23:04.527]  And Enrique was a federal informant.
[00:23:04.527 --> 00:23:07.869]  He'd spent time in prison.
[00:23:07.869 --> 00:23:10.752]  I guess it was for selling black market
[00:23:12.796 --> 00:23:14.457]  Diabetes test kits.
[00:23:14.457 --> 00:23:15.897]  Yeah.
[00:23:15.897 --> 00:23:20.899]  So he'd spent years in jail for that, and he came out as an informant the whole time.
[00:23:20.899 --> 00:23:29.362]  But if you read the stuff that came out, he was saying, we're good, we're pro-boys, we're pro-law enforcement, we don't want to do any violence, we just want to fight back of attack.
[00:23:29.362 --> 00:23:32.803]  And he thought he was buddy-buddy with the feds.
[00:23:32.803 --> 00:23:35.144]  And he was driven by a federal informant.
[00:23:37.130 --> 00:23:38.491]  To the meeting with Stuart Rhodes.
[00:23:38.491 --> 00:23:39.292]  That's come out.
[00:23:39.292 --> 00:23:42.034]  They've tried to block the details that that informant said.
[00:23:42.034 --> 00:23:43.375]  They never wanted violence.
[00:23:43.375 --> 00:23:44.296]  I saw nothing.
[00:23:44.296 --> 00:23:48.119]  That's all being suppressed in the trial.
[00:23:48.119 --> 00:23:49.501]  They're spying on the attorneys.
[00:23:49.501 --> 00:23:51.783]  They're spying on the defendants.
[00:23:51.783 --> 00:23:54.965]  That is get out of jail right there.
[00:23:54.965 --> 00:24:03.553]  And they accidentally turn over files that they thought they deleted.
[00:24:03.553 --> 00:24:04.694]  But they were able to do the restore.
[00:24:07.045 --> 00:24:13.432]  Two days ago, and they're in there talking about being ordered by their superiors to destroy evidence.
[00:24:13.432 --> 00:24:18.858]  And you know why FBI agents put that in emails and files, case files?
[00:24:18.858 --> 00:24:20.180]  Because that's a felony, folks.
