[00:00:00.237 --> 00:00:00.486]  We're good.
[00:05:40.813 --> 00:05:43.074]  About taking your very sovereignty away.
[00:05:43.074 --> 00:05:45.395]  This country is in a war!
[00:05:45.395 --> 00:05:56.099]  So again, I want to thank you for what you've done, but I want to remind you, if you don't spread the articles and videos, and if you don't financially get the great products we have and fund us, and the 360 win, we're dead in the water.
[00:05:56.099 --> 00:05:59.680]  I'm in your hands, you're in my hands, InfoWarsStore.com, thank you!
[00:06:00.802 --> 00:06:02.944]  They're getting ready for these decisions to come.
[00:06:02.944 --> 00:06:04.945]  You thought Obamacare was shocking.
[00:06:04.945 --> 00:06:06.827]  You thought some of these other decisions were shocking.
[00:06:06.827 --> 00:06:18.136]  Wait until these copyright laws work their way up and the Supreme Court decides you cannot have a website with news headlines linking across the board.
[00:06:18.136 --> 00:06:19.857]  Then that will end for me.
[00:06:19.857 --> 00:06:20.258]  Fine.
[00:06:20.258 --> 00:06:21.559]  I've had a hell of a run.
[00:06:21.559 --> 00:06:24.061]  It's 20 years next year or 20 years about now.
[00:06:24.301 --> 00:06:25.062]  Hell of a run.
[00:06:25.062 --> 00:06:27.864]  I couldn't have gone any further.
[00:06:27.864 --> 00:06:32.908]  I feel completely I have gone as far out of the galaxy as I can on this.
[00:06:32.908 --> 00:06:38.572]  I still want to stay out here, but I've gone pretty damn far for what one individual can do in this culture.
[00:06:38.572 --> 00:06:40.153]  But I'm talking about the future.
[00:06:40.153 --> 00:06:50.902]  So I don't know why they've been successful in pushing everybody into these little ghettos of these Facebooks and these tweets and these Instagrams, these Instas.
[00:06:51.562 --> 00:06:53.163]  This is ghetto.
[00:06:53.163 --> 00:06:53.944]  This is ghetto.
[00:06:53.944 --> 00:06:55.545]  This is corporate.
[00:06:55.545 --> 00:06:57.906]  They're taking your energy.
[00:06:57.906 --> 00:07:00.588]  They're taking your energy and you're getting nothing in return.
[00:07:00.588 --> 00:07:00.968]  Nothing!
[00:07:00.968 --> 00:07:02.429]  They're dumbing the language down.
[00:07:02.429 --> 00:07:05.191]  Twitter's designed to reduce the language directly out of 1984.
[00:07:05.191 --> 00:07:05.491]  It's Ingsoc.
[00:07:07.461 --> 00:07:07.881]  Right?
[00:07:07.881 --> 00:07:17.209]  Ultimately, it's boring and the kids are always off to something new, except for the something new is owned by the same freaking company or financed by the same banking system.
[00:07:17.209 --> 00:07:28.118]  So I'm here to say, and this is the reason why I came to see you, Alex, is you are one of the very few who are operating under this theory to be an independent American.
[00:07:29.378 --> 00:07:30.339]  In a big way.
[00:07:30.339 --> 00:07:33.540]  If your calling is media, fine.
[00:07:33.540 --> 00:07:35.921]  If your calling is sports, whatever it is.
[00:07:35.921 --> 00:07:38.201]  But you've got to be the greatest you can be.
[00:07:38.201 --> 00:07:39.582]  Now.
[00:07:39.582 --> 00:07:40.302]  Now.
[00:07:40.302 --> 00:07:42.703]  Before this country is so completely fractured.
[00:07:42.703 --> 00:07:47.244]  And we're left with Hillary's brain in the Oval Office in a jar.
[00:07:47.244 --> 00:07:48.825]  Because that's what we're getting.
[00:07:48.825 --> 00:07:50.566]  She's old and she's sick.
[00:07:50.566 --> 00:07:52.166]  She's not a contender.
[00:07:52.166 --> 00:07:56.368]  They're making her a contender with these propped up Saturday Night Live things.
[00:07:56.368 --> 00:07:57.408]  It's like a head on a stick.
[00:08:04.244 --> 00:08:06.407]  That was three plus years ago.
[00:08:06.407 --> 00:08:09.651]  Mad Drudge here in studio laying it all out.
[00:08:09.651 --> 00:08:10.852]  Predicting everything that was coming.
[00:08:10.852 --> 00:08:15.978]  Everything that was unfolding.
[00:08:15.978 --> 00:08:18.141]  But Hillary lost, thanks to InfoWars.
[00:08:18.141 --> 00:08:18.982]  Thanks to Drudge Report.
[00:08:18.982 --> 00:08:20.764]  Thanks to you.
[00:08:20.764 --> 00:08:23.187]  And so now, we are all slated for total destruction.
[00:08:25.049 --> 00:08:48.624]  And so a company called G2 that does work for law enforcement in Interpol, last year under direction from the Southern Poverty Law Center, an offshore criminal organization that's actually criminal, laundering money, running terror organizations, they've been caught doing that, funding white supremacist groups, so they can then have a clash of civilizations, they directed G2
[00:08:50.598 --> 00:08:56.946]  To list Infowars and yours truly, Alex Jones, as a terrorist organization.
[00:08:56.946 --> 00:08:58.688]  And I have the G2 documents.
[00:08:58.688 --> 00:08:59.870]  We've been sending them letters.
[00:08:59.870 --> 00:09:01.512]  We've been getting the lawyers ready.
[00:09:01.512 --> 00:09:02.814]  Because I have no convictions.
[00:09:02.814 --> 00:09:03.715]  I have no criminal record.
[00:09:03.715 --> 00:09:06.218]  I had perfect personal credit.
[00:09:06.218 --> 00:09:06.939]  As good as you can get.
[00:09:09.082 --> 00:09:11.644]  In fact, because I didn't have any debt, I don't have the perfect rating.
[00:09:11.644 --> 00:09:15.646]  It's right below that, because they actually want you to have some debt, and they call that perfect score.
[00:09:15.646 --> 00:09:25.732]  And then in my banking, we had the highest rate you can get of banking trustworthiness of over 23 years of online shopping carts.
[00:09:25.732 --> 00:09:33.196]  The best rating, the best points on what we had to pay for people processing credit cards, you name it.
[00:09:33.196 --> 00:09:37.699]  But overnight, the lords and saviors, the gods, the fascist kings,
[00:09:39.333 --> 00:09:52.586]  The Southern Poverty Law Center that is advising all the big tech, all the big media, setting up these special boards inside MasterCard, all of it to now go after the NRA and Republicans in general.
[00:09:52.586 --> 00:09:59.732]  They said that we are a criminal slash terrorist or violent organization.
[00:09:59.732 --> 00:10:03.196]  No judge, no jury, no face your accuser, a secret designation.
[00:10:05.879 --> 00:10:22.224]  Out of Boston, in all the banks, and you go from perfect score, from the real world, to the secret defamation, the secret scarlet letter, the Kafka-esque system, and we only learn because banks, even though they have agreements not to give it to anybody, gave us the information.
[00:10:22.224 --> 00:10:25.245]  Three different banks, we have it.
[00:10:25.245 --> 00:10:32.928]  The hardcore defamation, the hardcore criminal will to try to not let us do business and live, and not let you buy products from us.
[00:10:34.431 --> 00:10:35.699]  But some banks in the U.S.
[00:10:35.699 --> 00:10:37.471]  know it's a fraud and didn't follow the orders.
[00:10:39.878 --> 00:10:48.183]  Well now you see CNN this weekend saying, oh Alex Jones might have a WhatsApp, that's a text messaging and phone call app, if he has an iPhone.
[00:10:48.183 --> 00:10:59.430]  And Darcy said he's checking in with Facebook to get into my account and see on the iCloud if I have that software and they would take it away from me.
[00:10:59.430 --> 00:11:04.052]  So now it's down to being in my phone taking phone apps away.
[00:11:04.052 --> 00:11:04.933]  I didn't have the phone app.
[00:11:07.105 --> 00:11:13.558]  And there's a big article out today about how big tech's interfacing with the media and allowing them in to all of your accounts.
[00:11:13.558 --> 00:11:16.704]  This is a raping free-for-all.
[00:11:16.704 --> 00:11:18.107]  You think the NSA is bad?
[00:11:18.107 --> 00:11:18.989]  This is beyond it.
[00:11:22.850 --> 00:11:27.732]  And if you look at the letter issued to Paul Joseph Watson, it's reposted.
[00:11:27.732 --> 00:11:38.796]  As hundreds of missiles rain down on Israel, Facebook still hosts pro-Hamas content, praising PJW's verboten, praising Hamas, a terrorist group, apparently fine.
[00:11:38.796 --> 00:11:41.277]  Paul Joseph Watson joins us in the second hour today.
[00:11:41.277 --> 00:11:43.658]  And Facebook put out this press release.
[00:11:44.378 --> 00:11:47.499]  I got the full press release that they only sent out to the media.
[00:11:47.499 --> 00:12:00.044]  Terrorist activity, says Paul Watson's band, for terrorist activity, organized hate, mass or serial murder, human trafficking, organized violence or criminal activity.
[00:12:00.044 --> 00:12:10.969]  I notice they say organized hate is anything they want, and they mix it in with serial murder, human trafficking, organized violence, all the real stuff that Hamas and Hezbollah that they allow to operate are doing.
[00:12:14.943 --> 00:12:23.946]  So the big tech is so emboldened, so arrogant, so criminal that they believe that they can just do this.
[00:12:23.946 --> 00:12:37.069]  And so notice this is the exact list that we got from the big banking credit system that tells banks who's trustworthy, who can have a bank account, who can buy and sell in the cash flow society.
[00:12:37.069 --> 00:12:39.570]  And then now Facebook is going into banking.
[00:12:40.751 --> 00:12:47.516]  And remember, in late March, they did a whole review, this leftist group saying we were anti-Semitic, which we're not, but if we wanted to be, that's our right under the First Amendment.
[00:12:47.516 --> 00:12:49.937]  And they said, well, he is an anti-Semitic.
[00:12:49.937 --> 00:13:01.065]  And so the other executive says in the email chain that Business Insider got, because they were involved in it, oh, well, let's just designate him as a hate figure, and then that'll put him into the Interpol criminal database.
[00:13:01.065 --> 00:13:05.288]  So they've set up this international system that is even in law.
[00:13:05.288 --> 00:13:06.549]  It's all just regulatory.
[00:13:08.436 --> 00:13:17.140]  That they just simply say you're a hate figure and then that puts you into a terrorist designation.
[00:13:17.140 --> 00:13:30.946]  So you go walking into the bank where you've been for 20 years, perfect rating, you're a great citizen, haven't gotten a parking ticket in a decade, speeding ticket in, you know, eight years, and they get real scared and go, just leave, we're calling the police.
[00:13:30.946 --> 00:13:32.407]  And you're like, oh yeah, it's not that bad.
[00:13:32.407 --> 00:13:34.087]  Laura Loomer can't use Uber.
[00:13:34.087 --> 00:13:35.028]  She can't use, um,
[00:13:35.996 --> 00:13:36.676]  Airbnb.
[00:13:36.676 --> 00:13:41.218]  Now Uber Eats won't let her order a pizza.
[00:13:41.218 --> 00:13:46.341]  And in the future, that's all that there is, is the smartphone tracking you, listening to you, knowing your identity.
[00:13:46.341 --> 00:13:49.722]  And then Silicon Valley all just goes, well, let's look up her name.
[00:13:49.722 --> 00:13:50.743]  Let's look up Alex's name.
[00:13:50.743 --> 00:13:53.124]  Let's see everything he's doing and what he's up to.
[00:13:53.124 --> 00:13:55.625]  And let's ban him having any services.
[00:13:55.625 --> 00:13:59.527]  I told the New York Post he would have the headline, should we take Alex Jones's telephone away?
[00:14:03.686 --> 00:14:22.059]  So, the universities have banned free speech, all these big companies are racketeering, sharing your data illegally, and they're discriminating against you, and they're giving you a terrorist designation, outside of a court, beyond defamation, trying to destroy your life, bankrupt you, and the Republicans, because the Heritage Foundation said, oh, they're private companies.
[00:14:22.059 --> 00:14:30.705]  Ben Shapiro said, Ben Shapiro went on CNN this weekend and said, oh yeah, you can take Paul Watson and Alex Jones off.
[00:14:30.705 --> 00:14:31.606]  They're private companies.
[00:14:33.263 --> 00:14:37.625]  No, CNN is part of a crime cartel with big tech and the big banks.
[00:14:37.625 --> 00:14:41.187]  They're in all your data, all, everybody.
[00:14:41.187 --> 00:14:48.611]  To the point of Oliver Darcy's so confident now, he says, we're looking to see if Alex Jones has got a WhatsApp.
[00:14:49.727 --> 00:14:57.950]  That's what helped get the new president of Brazil elected, because people could make private text and private phone calls to each other, and by word of mouth they did.
[00:14:57.950 --> 00:15:09.073]  And so now they're talking about having a database and taking all the populace, because WhatsApp's spying on you, and just deleting up to 20 million people using it in Brazil.
[00:15:09.073 --> 00:15:10.873]  You just heard me right.
[00:15:10.873 --> 00:15:15.495]  Facebook is going to go into your phone and not let you call somebody.
[00:15:16.303 --> 00:15:31.103]  Imagine a cult that made you carry around a phone that's really a computer, a mini computer, a supercomputer, and it tracks everything you do with live time people in your phone watching you in a digital re-education camp, tracking everything you're up to,
[00:15:31.243 --> 00:15:39.869]  Everything you're doing and then telling you you can't fly on airplanes, you can't order food, you can't order a taxi, you can't have a bank account because you're a terrorist.
[00:15:39.869 --> 00:15:40.810]  No judge, no jury.
[00:15:40.810 --> 00:15:42.011]  Oh, I heard of that.
[00:15:42.011 --> 00:15:52.379]  The Chinese social credit score that we broke six years ago, that we said was coming here, that we discovered Apple and Google built with NSA technology for the Chai comms.
[00:15:52.379 --> 00:15:53.840]  And now they've brought it here.
[00:15:53.840 --> 00:15:57.743]  And President Trump's sitting there flat footed thinking this is about the First Amendment.
[00:15:57.743 --> 00:15:59.124]  This is about an AI takeover.
[00:15:59.324 --> 00:16:03.187]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:03.187 --> 00:16:08.192]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:08.192 --> 00:16:13.016]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:13.016 --> 00:16:14.357]  Don't just take my word for it.
[00:16:14.357 --> 00:16:19.121]  Check out all of the success stories at HBExtract.com or to order call 866-295-5305.
[00:16:19.121 --> 00:16:19.321]  That's 866-295-5305.
[00:16:25.146 --> 00:16:26.767]  HBXtrack.com.
[00:16:26.767 --> 00:16:29.028]  Don't risk it when you can take charge of it.
[00:16:29.028 --> 00:16:31.670]  Hunters, anglers, campers and survivalists.
[00:16:31.670 --> 00:16:32.791]  Get back to nature.
[00:16:32.791 --> 00:16:40.075]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:16:40.075 --> 00:16:43.497]  Slingbow products are compact and models start from just $17.98.
[00:16:43.497 --> 00:16:47.059]  They're perfect for your bug out bag or storing in your vehicle.
[00:16:47.059 --> 00:16:50.941]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:16:51.221 --> 00:16:55.784]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:16:55.784 --> 00:16:58.806]  Feel the thrill only at slingbow.com.
[00:16:58.806 --> 00:17:05.150]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:17:05.150 --> 00:17:08.192]  George Washington had warned us against foreign wars.
[00:17:08.192 --> 00:17:13.756]  The United States of Empire shows that World Wars I and II left England broken.
[00:17:14.116 --> 00:17:17.899]  Its former colony, the U.S., had to save the empire.
[00:17:17.899 --> 00:17:19.160]  Was there ever a vote?
[00:17:19.160 --> 00:17:20.141]  Who do we fight for?
[00:17:20.141 --> 00:17:26.706]  The Deep State began with World War I. The United States of Empire by James Dunn.
[00:17:26.706 --> 00:17:28.147]  Available at Amazon Books.
[00:17:29.272 --> 00:17:34.333]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[00:17:34.333 --> 00:17:39.694]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to leave my family to freedom.
[00:17:39.694 --> 00:17:47.735]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[00:17:47.735 --> 00:17:53.176]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[00:17:53.176 --> 00:17:55.177]  Go to BlackRifleRealEstate.com.
[00:17:55.177 --> 00:17:57.277]  That's BlackRifleRealEstate.com.
[00:18:01.064 --> 00:18:05.746]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:05.746 --> 00:18:16.172]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:18:17.072 --> 00:18:21.873]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:18:21.873 --> 00:18:30.276]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:18:30.276 --> 00:18:37.998]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:18:37.998 --> 00:18:39.959]  Wake up refreshed and take on the day.
[00:18:40.419 --> 00:18:48.368]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:18:48.368 --> 00:18:52.052]  Get the sleep you deserve and experience the power of knockout.
[00:18:52.052 --> 00:18:56.436]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:18:56.436 --> 00:18:57.998]  That's InfoWarsLife.com
[00:19:00.137 --> 00:19:07.622]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Life has the formula for you.
[00:19:07.622 --> 00:19:16.868]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:19:16.868 --> 00:19:25.934]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:19:26.895 --> 00:19:38.339]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[00:19:38.339 --> 00:19:47.462]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:19:47.902 --> 00:19:50.624]  Paired with our Ultimate Fish Oil or used separately.
[00:19:50.624 --> 00:19:54.306]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[00:19:54.306 --> 00:20:03.392]  Now available at InfoWarsStore.com.
[00:20:03.392 --> 00:20:06.033]  You're listening to the Alex Jones Show.
[00:20:16.485 --> 00:20:21.457]  From the front lines of the Information War, it's Alex Jones!
[00:20:23.337 --> 00:20:26.179]  I want them shut down, I want them silenced, I want them muted.
[00:20:26.179 --> 00:20:28.460]  I think they are horrible for our society.
[00:20:28.460 --> 00:20:30.481]  Why are they doing this now?
[00:20:30.481 --> 00:20:35.684]  Well, it's a good question as to why they waited this long, but... Yes, exactly.
[00:20:35.684 --> 00:20:44.308]  I mean, so Alex Jones has been banned from Facebook for a long period of time, but now they banned him, they banned his, like, little underling, Paul Joseph Watson.
[00:20:44.308 --> 00:20:49.291]  Now that they kicked him off the platform, that's great for now, but it doesn't roll back the clock.
[00:20:49.711 --> 00:20:53.492]  You have also excesses in the First Amendment and the Second Amendment right now.
[00:20:53.492 --> 00:21:02.336]  You know, I don't think that the forefathers said, well, you can say all sorts of hateful things and spread it around the world, literally spread it through the internet.
[00:21:02.336 --> 00:21:03.876]  I have no issue with it at all.
[00:21:03.876 --> 00:21:04.977]  I want them shut down.
[00:21:04.977 --> 00:21:05.937]  I want them silenced.
[00:21:05.937 --> 00:21:06.757]  I want them muted.
[00:21:06.757 --> 00:21:09.918]  I think they are horrible for our society.
[00:21:09.918 --> 00:21:11.299]  I want them shut down!
[00:21:11.299 --> 00:21:12.859]  I want them silenced!
[00:21:12.859 --> 00:21:14.120]  I want them muted!
[00:21:14.120 --> 00:21:15.360]  But don't worry.
[00:21:15.360 --> 00:21:17.081]  These people aren't terrifying or anything.
[00:21:45.313 --> 00:21:51.699]  Ladies and gentlemen, the evil overtaking planet Earth right now is unspeakable.
[00:21:51.699 --> 00:21:56.764]  Most of the public is in a quasi-trance, all the studies show it, a near sleep phase.
[00:21:56.764 --> 00:22:00.447]  Humanity must awaken and come out of the coma.
[00:22:00.447 --> 00:22:05.131]  There will be time to sleep in the grave for eternity.
[00:22:05.131 --> 00:22:06.352]  You are under attack.
[00:22:06.352 --> 00:22:09.816]  Your birthright and your children's birthright is being stolen.
[00:22:09.816 --> 00:22:11.097]  I have the exclusive
[00:22:12.523 --> 00:22:20.930]  Email that no one has put out in the news of Facebook coordinating the censorship with mainstream media.
[00:22:20.930 --> 00:22:22.792]  And I have other documents.
[00:22:22.792 --> 00:22:24.173]  And I have the banking documents.
[00:22:24.173 --> 00:22:30.138]  And I have the Interpol documents, where they are going to track every purchase everyone makes in the world.
[00:22:30.138 --> 00:22:40.866]  And if you don't take vaccines, or you have too many children, or you're a Christian, or you say there's only two genders, you will be put out on the street.
[00:22:40.866 --> 00:22:41.307]  It's here.
[00:22:42.765 --> 00:22:49.192]  And I find it hard to believe that President Trump doesn't know about all this.
[00:22:49.192 --> 00:22:52.336]  I find it very hard to believe.
[00:22:52.336 --> 00:23:00.124]  This is a premeditated, calculated annihilation of free speech.
[00:23:00.124 --> 00:23:00.545]  Period.
[00:23:02.745 --> 00:23:20.387]  This is a global AI system in live time, Facebook's the first to go operational, where the instant you try to say Alex Jones or Infowars.com, the second you do it, it says this is not allowed, do it again, you'll be banned.
[00:23:20.387 --> 00:23:21.808]  And everybody's flooding Twitter.
[00:23:22.924 --> 00:23:28.554]  And Facebook freaking out, saying, oh my God, I tried to say God bless Alex Jones, and it won't let me do it.
[00:23:28.554 --> 00:23:30.317]  I tried to say InfoWars won't let me do it.
[00:23:30.317 --> 00:23:33.262]  But if I say Alex Jones is a child molester, I'm able to.
[00:23:34.639 --> 00:23:40.743]  Because the AI is programmed with thousands of insults and responses that are authorized.
[00:23:40.743 --> 00:23:46.386]  But things like, God bless Alex Jones is not authorized, or I support Alex Jones is not authorized.
[00:23:46.386 --> 00:23:56.612]  But if you say he's a Nazi, if you say I'm a child molester, if you say I'm a murderer, if you say I can be arrested, Facebook will boost your post!
[00:23:56.612 --> 00:23:58.112]  Woo!
[00:23:58.112 --> 00:24:00.354]  Man, you talk about being ganged up on, baby.
[00:24:01.633 --> 00:24:03.673]  But I don't feel sorry for myself.
[00:24:03.673 --> 00:24:05.574]  Absolutely not.
[00:24:05.574 --> 00:24:07.654]  I knew all this was coming, ladies and gentlemen.
[00:24:07.654 --> 00:24:08.974]  AI in live time.
[00:24:08.974 --> 00:24:10.675]  The millisecond.
[00:24:10.675 --> 00:24:12.395]  You hit publish.
[00:24:12.395 --> 00:24:13.395]  We showed it to you on Friday.
[00:24:13.395 --> 00:24:14.955]  We showed it to you on the Sunday show.
[00:24:14.955 --> 00:24:16.195]  I'll show you document cam shots.
[00:24:16.195 --> 00:24:19.356]  If you're a TV viewer, you can see this right now.
[00:24:19.356 --> 00:24:23.497]  I want everybody to let this sink in right now, folks.
[00:24:23.497 --> 00:24:29.018]  I want it to sink in so that you understand what's unfolding here.
[00:24:29.018 --> 00:24:30.918]  And I want you to know this is AI
[00:24:33.340 --> 00:24:41.763]  Surveilling you in live time, but in case they think it's satire, it gets flagged to one of 20,000 Southern Poverty Law Center-trained moderators.
[00:24:41.763 --> 00:24:52.367]  They admit this, and then they will look at the meme or the satire, and then they will decide what you really meant when you said Alex Jones is a piece of filth.
[00:24:52.367 --> 00:24:54.848]  Look at this quote of him saying he loves freedom.
[00:24:56.530 --> 00:25:01.137]  And that's why the EU passed a law a few months ago banning memes.
[00:25:01.137 --> 00:25:02.779]  And the prosecutions have begun!
[00:25:02.779 --> 00:25:05.864]  They just say memes of any type!
[00:25:05.864 --> 00:25:07.105]  Like cave drawings!
[00:25:07.105 --> 00:25:08.768]  Just humans communicating!
[00:25:08.768 --> 00:25:12.794]  And showing hypocrisy of a Hillary quote next to another quote!
[00:25:14.246 --> 00:25:17.527]  Because AI can't understand it.
[00:25:17.527 --> 00:25:28.330]  And it's the only thing that they know into the foreseeable future will get around the moderators, is if you start flooding the internet with memes that are sarcastic.
[00:25:28.330 --> 00:25:29.810]  Look at this piece of filth.
[00:25:29.810 --> 00:25:37.552]  Now people found, this is gonna be really interesting, you can say Jones, Alex, or Jones space Alex,
[00:25:39.013 --> 00:25:42.175]  And then you can get the post out, but it can't be InfoWars.com.
[00:25:42.175 --> 00:25:44.517]  It's gotta be NewsWars.com or PrisonPlanet.com.
[00:25:44.517 --> 00:25:48.579]  But that's all chasing a rabbit down a trail, folks.
[00:25:48.579 --> 00:26:01.007]  We have to cut the head off the snake about this, and that means understanding what's happening, understanding what's unfolding, understanding who's behind this, and stopping it.
[00:26:01.007 --> 00:26:04.629]  This is an internet kill switch.
[00:26:04.629 --> 00:26:06.311]  This is an internet kill switch where AI
[00:26:08.163 --> 00:26:14.765]  In live time, it's pre-programmed to tell you what you can say, when you can say.
[00:26:14.765 --> 00:26:18.046]  Remember about three years ago, iPhones, Androids?
[00:26:18.046 --> 00:26:22.207]  You'd send somebody, like my wife, I'd cuss something.
[00:26:22.207 --> 00:26:27.009]  I'd say, I saw that movie, it effing sucked.
[00:26:27.009 --> 00:26:30.850]  You know what iPhones say, it ducking sucked.
[00:26:30.850 --> 00:26:32.991]  Effing is ducking.
[00:26:32.991 --> 00:26:35.111]  You try to say, this guy's an a-hole.
[00:26:35.111 --> 00:26:36.332]  Won't let you say a-hole!
[00:26:38.055 --> 00:26:40.476]  That's pre-programmed systems.
[00:26:40.476 --> 00:26:42.557]  This is AI.
