[00:00.000 --> 00:20.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[11:04.000 --> 11:14.000]  and we're going to make every effort to make sure that gun dealers and gun manufacturers can process credit cards through things like PayPal.
[11:14.000 --> 11:20.000]  And for those who don't know, that's already happening to gun dealers and gun shops everywhere being kicked out of their banks,
[11:20.000 --> 11:25.000]  they're being listed as high risk, they're making us a criminal class outside of law.
[11:25.000 --> 11:28.000]  But you see what the combination of those two things mean?
[11:28.000 --> 11:35.000]  If you can't buy a gun without going through a gun dealer, and if there are no gun dealers within 200 miles of you,
[11:35.000 --> 11:42.000]  because Barack Obama has effectively shut all of them down, the Second Amendment is effectively dead to you.
[11:42.000 --> 11:47.000]  And that is precisely what Barack Obama is intending to do right now.
[11:47.000 --> 11:52.000]  It's incredible, but they've also talked about making us put biometrics on all the guns by executive order,
[11:52.000 --> 11:58.000]  Holder did that a month ago in Congress, as you know, and what about this bold statement about, you know, what Australia did was really great?
[11:58.000 --> 12:00.000]  I mean, that's scary.
[12:00.000 --> 12:05.000]  Well, it sort of is intriguing, isn't it, that the Bloombergs and the Obama's awards,
[12:05.000 --> 12:09.000]  they don't know, we just want small, reasonable common sense gun control,
[12:09.000 --> 12:18.000]  and then their people go to Albany and go to Hartford and shear as legislation confiscating guns,
[12:18.000 --> 12:23.000]  legislation banning guns, legislation registering guns is passed,
[12:23.000 --> 12:27.000]  and then hop on Air Force One and the next day in Washington they say,
[12:27.000 --> 12:30.000]  who said anything about confiscation?
[12:30.000 --> 12:35.000]  There's one thing, there are very few advantages to being very old,
[12:35.000 --> 12:39.000]  but one is you see these things happening over and over and over again.
[12:39.000 --> 12:47.000]  The 68 Act, the Brady Law, the Coal Amendment, the Lautenberg Amendment all had a whole lot of things in common,
[12:47.000 --> 12:50.000]  but one of the things they had in common is this,
[12:50.000 --> 12:57.000]  people who had no intention of doing anything but banning every gun in America,
[12:57.000 --> 13:04.000]  nevertheless came to us and said, well, if you trade off a little bit of your freedom, we'll give you safety.
[13:04.000 --> 13:06.000]  Guess what happened in every case?
[13:06.000 --> 13:10.000]  Killings went up, there was no safety,
[13:10.000 --> 13:20.000]  but the gun control, which some people foolishly allowed to be passed, served as a platform for the next ratchet up of more gun control.
[13:20.000 --> 13:24.000]  Absolutely, again, look at, we mentioned Connecticut where the gun confiscation is going on,
[13:24.000 --> 13:29.000]  there's swatting people's houses, California, Bloomberg headline, gun confiscation begins,
[13:29.000 --> 13:32.000]  but they're even using extrajudicial just saying your neighbor saw you had a gun,
[13:32.000 --> 13:39.000]  we're just taking them and then they have a government psychiatrist say you're mentally ill with no judicial evidence.
[13:39.000 --> 13:47.000]  I mean, it's really getting frightening to now see when they basically banned and shut down manufacturing of many guns in California last year,
[13:47.000 --> 13:51.000]  they're now back with a whole new flotilla of legislation.
[13:51.000 --> 13:52.000]  I mean, the truth is...
[13:52.000 --> 14:00.000]  And it did absolutely no good in Isla Vista, except that it basically said to the shooter,
[14:00.000 --> 14:07.000]  you can go down the street and shoot and we will guarantee you that there's no one around who's going to shoot back.
[14:07.000 --> 14:11.000]  That's right. And then we saw some of the concealed carry was the person shot at Walmart,
[14:11.000 --> 14:16.000]  other than the two police officers, was a concealed carry person that basically started firing on them
[14:16.000 --> 14:21.000]  and pinned them down for the police out in Las Vegas a few weeks ago.
[14:21.000 --> 14:30.000]  And Harry Reid's trying to pin that not just on me, not just the NRA, not just GOA, but even Ronald Reagan now,
[14:30.000 --> 14:34.000]  because some Facebook page the guy supposedly had had Ronald Reagan on it.
[14:34.000 --> 14:37.000]  So now it's Ronald Reagan's fault. Did you know that?
[14:37.000 --> 14:47.000]  Well, I don't believe that, but to the extent that Ronald Reagan ultimately ended up supporting the Brady law,
[14:47.000 --> 14:53.000]  so perhaps it is a little bit of his fault.
[14:53.000 --> 14:59.000]  But, you know, as I say, when I was a kid, I would walk...
[14:59.000 --> 15:07.000]  I was in RTC during the Vietnam War. As a 14-year-old kid walked up and down our high school campus
[15:07.000 --> 15:13.000]  in our ghetto high school with an M1 semi-armac rifle, no one thought I was going to shoot up the place.
[15:13.000 --> 15:20.000]  What happened in 1996, they passed federal legislation saying you can't have a gun in the school.
[15:20.000 --> 15:28.000]  Almost immediately thereafter, there is a succession of copycat school shootings that has continued to...
[15:28.000 --> 15:32.000]  They are hyping it and creating an irrational phobia of guns.
[15:32.000 --> 15:34.000]  Sir, I want to do three more minutes with you on the other side.
[15:34.000 --> 15:39.000]  I want to ask you as one of the top experts in the country, up on the hill, tracking what they're doing,
[15:39.000 --> 15:44.000]  other ways they're coming after the Second Amendment, because they started beating the war drums, as you know,
[15:44.000 --> 15:47.000]  to come after it again, another big push.
[15:47.000 --> 15:49.000]  What are they planning with Mike Hammond?
[15:49.000 --> 15:54.000]  He is the top legal analyst there at gunowners.org,
[15:54.000 --> 16:00.000]  the only no-compromised Second Amendment national group in the Republic of the United States.
[16:00.000 --> 16:05.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[16:05.000 --> 16:09.000]  This year alone, over 300,000 people in West Virginia had their drinking water contaminate.
[16:09.000 --> 16:13.000]  What are the health effects of having these drugs in our drinking water?
[16:13.000 --> 16:16.000]  It's forced medical treatment without the consent of residents.
[16:16.000 --> 16:21.000]  My friend's water filtration is one of the most basic actions you can take to protect you and your family
[16:21.000 --> 16:24.000]  from harmful toxins and heavy metals in your tap water.
[16:24.000 --> 16:28.000]  On average, the county says it sprays with glyphosate at least once a week.
[16:28.000 --> 16:32.000]  Few filters cut out the glyphosates that is found in water supplies worldwide.
[16:32.000 --> 16:38.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[16:38.000 --> 16:42.000]  All right, it is in teats and coffees and water and breads and toothpaste.
[16:42.000 --> 16:46.000]  It is our responsibility to protect our families. The establishment's not going to do it.
[16:46.000 --> 16:49.000]  It's time to take action. It's time to filter our water.
[16:49.000 --> 16:56.000]  Visit infowarstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[16:56.000 --> 17:01.000]  Or call toll-free 888-253-3139.
[17:01.000 --> 17:04.000]  Hi, I'm Dr. Edward Groot.
[17:04.000 --> 17:11.000]  It took me 20 years of searching the globe to find the deposit of the highest-purity iodine available.
[17:11.000 --> 17:22.000]  The new Survival Shield X2 is mined from 7 to 10,000 feet below the Earth in pristine, environmentally clean conditions.
[17:22.000 --> 17:32.000]  The iodine crystals we use are extracted from an ancient 300 million-plus year-old deposit deep in the Earth.
[17:32.000 --> 17:36.000]  It's the strongest nascent iodine on the market today.
[17:36.000 --> 17:44.000]  It delivers 650 micrograms per drop. Experience the new formula. Experience the ancient purity.
[17:44.000 --> 17:50.000]  Shield your family. Survival Shield X2. Available now at infowarslife.com.
[17:50.000 --> 18:07.000]  X2 from infowarslife.com or call toll-free 888-253-3139.
[18:20.000 --> 18:24.000]  MyPatriot Supply has never taken a loan or accepted outside funding.
[18:24.000 --> 18:30.000]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[18:30.000 --> 18:33.000]  It is rare to find companies who practice what they preach.
[18:33.000 --> 18:39.000]  And that's why I stock MyPantry with high-quality storable foods from MyPatriot Supply.
[18:39.000 --> 18:50.000]  Come to MyPatriotSupply.com for slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[18:50.000 --> 18:59.000]  That's 866-229-0927. Do business with someone who shares your values. MyPatriotSupply.com slash Alex.
[18:59.000 --> 19:09.000]  What do you think about the FBI saying that there is a terror alert on Monday about a potential fortune situation?
[19:09.000 --> 19:17.000]  Whether it's the radio show, the news websites, documentary films, or the nightly news, info wars is the tip of the spear.
[19:17.000 --> 19:21.000]  Is this another false-flight stage attack to take our civil liberties and promote Homeland Security?
[19:21.000 --> 19:23.000]  I'm sticking my hands down on the fence on the streets.
[19:23.000 --> 19:30.000]  It's up to us to set brush fires in the minds of men and women everywhere, and that's what prisonplanet.tv is designed to do.
[19:30.000 --> 19:38.000]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[19:38.000 --> 19:42.000]  What we see now is a war against reality. It's a war against the truth.
[19:42.000 --> 19:51.000]  It's more vital than ever that supporters of freedom become members of prisonplanet.tv and share their membership with up to 11 friends and family.
[19:51.000 --> 19:58.000]  Visit infowarsnews.com today. Become a member, share your membership, and help take the Info War to the next level.
[20:22.000 --> 20:25.000]  The persecuted filmmaker Dinesh Fasouza is coming up in a moment.
[20:25.000 --> 20:31.000]  Excerpts of an interview I did earlier in the week. It is extremely important for the First Amendment, freedom across the board.
[20:31.000 --> 20:36.000]  But finishing up with Mike Hammond, Chief Legal Analyst for Gun Owners of America.
[20:36.000 --> 20:42.000]  In the two minutes we've got left, what are some of the other attacks that are extra judiciary outside of law?
[20:42.000 --> 20:49.000]  I mean, they admit they're going to use executive power to curtail our guns. Last time I heard the executive doesn't legislate.
[20:49.000 --> 20:52.000]  Okay, let me talk about two things. One, a minute.
[20:52.000 --> 21:04.000]  First of all, the efforts of BATF to come into dealers in connection with their annual inspections and photocopy all of the gun records.
[21:04.000 --> 21:13.000]  That is all the 4473s, all the bound book records as an effort to effectively create a national gun registry.
[21:13.000 --> 21:22.000]  Now, we thought that was illegal, but if they have all the 4473s in Arizona, sitting in an office in Tucson,
[21:22.000 --> 21:29.000]  and all those in Nevada, staying in an office in Las Vegas, and they can all be accessed from Washington, D.C.,
[21:29.000 --> 21:35.000]  guess what? You have a national gun registry, which should be very scary to people at this point.
[21:35.000 --> 21:46.000]  Secondly, import bans. Barack Obama, as you know, basically recently moved, well, he tried to move to cut off the import of all shotguns
[21:46.000 --> 21:51.000]  on the basis that they had no sporting purpose. I don't know what he thinks we do with them.
[21:51.000 --> 21:58.000]  He also tried to ban the import of Russian ammunition, how to point out ammunition, which is still in place
[21:58.000 --> 22:06.000]  unless we can get a Ted Cruz or a Rand Paul to offer an amendment to appropriations to stop that.
[22:06.000 --> 22:12.000]  And finally, 80 House members wrote to Barack Obama and said, oh, we weren't able to pass the semi-i-bans.
[22:12.000 --> 22:22.000]  Guess what? You could do the same thing by banning the import of all semi-i-bans firearms using your inherent executive authority.
[22:22.000 --> 22:28.000]  So they're doing a de facto move to restrict the Second Amendment. In the last 30 seconds, what message does it send
[22:28.000 --> 22:34.000]  to see rhinos being defeated in every major primary by people like David Brett?
[22:34.000 --> 22:43.000]  Well, I hope it sends a message that 2014 is going to be a tsunami year, because unless we take over the Senate
[22:43.000 --> 22:52.000]  and the House with real conservatives, then Harry Reid is going to use its cheat scheme rules to pack the courts and to turn the Second Amendment
[22:52.000 --> 22:55.000]  into a, as far as the courts are concerned, a nullity.
[22:55.000 --> 23:00.000]  This is life and death of this country. George Washington launched the nation. Obama is trying to kill it.
[23:00.000 --> 23:07.000]  You cannot mince words. It is too insane. Thank you so much for your time, sir. Godspeed.
[23:07.000 --> 23:13.000]  All right, folks, here is excerpts of the interview I did with award-winning filmmaker Dinesh DeSousa.
[23:13.000 --> 23:20.000]  They're not just going after the Second Amendment. They're persecuting with the IRS and other systems, the First Amendment as well.
[23:20.000 --> 23:28.000]  Dinesh DeSousa is here, and in a time of universal deceit, telling the Truthful Revolutionary Act to quote another great thinker, Eric Blair,
[23:28.000 --> 23:33.000]  AKA George Arwell. So, Mr. DeSousa, thanks for making time to come on with us today.
[23:33.000 --> 23:37.000]  It was one of the producers of Schindler's List, who I know you're working with.
[23:37.000 --> 23:43.000]  I actually knew you were being indicted a day before through a mutual friend, but couldn't talk about it on air.
[23:43.000 --> 23:49.000]  And they were all really freaked out. And of course, he said that he's never been afraid to live in this country until now.
[23:49.000 --> 23:53.000]  Matt Drudge has said everyone should have an exit strategy after what happened to you.
[23:53.000 --> 23:58.000]  I mean, I think we need to recognize that you're being persecuted, or it could happen to all of us.
[23:58.000 --> 24:02.000]  What do you say on that front? I know you're in court now. What can you say about the case?
[24:02.000 --> 24:04.000]  And we'll move on to your new film.
[24:04.000 --> 24:13.000]  Sure. I exceeded the campaign finance limit by giving $20,000 to my longtime friend, Wendy Long,
[24:13.000 --> 24:18.000]  who was running a really uphill, even an impossible campaign for the Senate.
[24:18.000 --> 24:22.000]  I should have set up a pack. There are many different ways to do it, so I made a mistake.
[24:22.000 --> 24:27.000]  But I think what's shocking to me is the way in which I see, not just my case, if I look nationwide,
[24:27.000 --> 24:35.000]  the way in which the Obama administration is recklessly circumventing the law from the Defense of Marriage Act on through immigration,
[24:35.000 --> 24:39.000]  turning the blind eye to guys on their own side who are doing shocking things.
[24:39.000 --> 24:45.000]  I mean, here's Harry Reid diverting campaign finance funds to his daughter or granddaughter's wedding,
[24:45.000 --> 24:48.000]  and no investigation, no prosecution.
[24:48.000 --> 24:54.000]  So this is a case where Lady Justice in the Obama administration appears to have taken the blindfold off
[24:54.000 --> 24:59.000]  and is kind of winking at her pals and then kind of taken off after her enemies.
[24:59.000 --> 25:06.000]  Very well said. What can you say about your case, where it's going to release state for the film?
[25:06.000 --> 25:09.000]  I mean, I hope that this doesn't derail your film.
[25:09.000 --> 25:15.000]  It absolutely won't do that. I have to appear before a judge in September to decide my fate.
[25:15.000 --> 25:21.000]  But the film comes out July 2nd. We actually opened in Houston and Atlanta, June 27th.
[25:21.000 --> 25:26.000]  That's kind of an early run. But the week of July 4th on Wednesday, July 2nd,
[25:26.000 --> 25:30.000]  Lionsgate is releasing this film into over a thousand theaters nationwide.
[25:30.000 --> 25:36.000]  So it's going to be a great 4th of July rocker, but it's also a 4th of July slap in the face to the progressives
[25:36.000 --> 25:40.000]  because it's a way of looking at what they've been doing to America.
[25:40.000 --> 25:46.000]  We normally expect anti-Americanism to come from the outside, from the Nazis or the Soviet communists
[25:46.000 --> 25:53.000]  or maybe from some Iranian mullah. But the most vehement takedown of America is now occurring within this country.
[25:53.000 --> 25:58.000]  And that's what this book and the film is intended to be an expose of.
[25:58.000 --> 26:06.000]  Undoubtedly, they're scared of this film. I mean, you're not tooting your horn to say that.
[26:06.000 --> 26:12.000]  I think we're just saying prima facie facts here. But from your inside perspective, sir,
[26:12.000 --> 26:16.000]  I mean, do you agree with that statement? A, B, why do you think they're so scared of it?
[26:16.000 --> 26:21.000]  They shouldn't be scared. And if they're not scared, they're going to be.
[26:21.000 --> 26:26.000]  2016 scared them a little bit because in 2016, I went sort of into the world of Obama.
[26:26.000 --> 26:32.000]  I was at his family homestead. I flushed his brother out of the great third world slum in Nairobi.
[26:32.000 --> 26:37.000]  And that upset Obama. We know this for a fact because Obama personally came out railing against 2016
[26:37.000 --> 26:43.000]  on his website, Barack Obama.com. Now, if they were scared of 2016, wait till they see America.
[26:43.000 --> 26:48.000]  Because America is a much more explosive, more powerful film. It brings the whole argument home.
[26:48.000 --> 26:51.000]  It's not just about Obama. Obama and Hillary are in the film.
[26:51.000 --> 26:56.000]  But it's about this vast progressive movement, which has in a sense made the long march
[26:56.000 --> 27:02.000]  through the institutions of elementary and secondary education, academia, Hollywood, the media,
[27:02.000 --> 27:07.000]  national public radio, the mainline churches. So sometimes while the conservatives and Republicans
[27:07.000 --> 27:10.000]  are huddling and trying to figure out, gee, how do we take back the Senate?
[27:10.000 --> 27:14.000]  These guys have basically taken over the commanding heights of our culture.
[27:14.000 --> 27:18.000]  And they're conducting a relentless indoctrination campaign against our young people.
[27:18.000 --> 27:23.000]  They're doctoring American history. So the film blows the whistle on this whole menagerie.
[27:23.000 --> 27:28.000]  And you were talking about persecution of others. I mean, I've seen MSNBC. We played the clips.
[27:28.000 --> 27:33.000]  Say, good, arrest the Tea Party. Good, don't let them be politically involved.
[27:33.000 --> 27:38.000]  Fox News is reported on Army memos at Fort Hood saying you could be court-martialed
[27:38.000 --> 27:43.000]  if you're part of the Tea Party or evangelical. I mean, this is stuff beyond Cuba.
[27:43.000 --> 27:47.000]  And they're just doing it out in the open, calling it liberal.
[27:47.000 --> 27:53.000]  I mean, I can't think of language strong enough to describe this group other than authoritarian.
[27:53.000 --> 27:55.000]  I mean, how would you describe them?
[27:55.000 --> 27:58.000]  I do think that Obama has an authoritarian streak.
[27:58.000 --> 28:02.000]  I also think from what I now know about him, and I've talked to his relatives that he's
[28:02.000 --> 28:07.000]  an incredibly mean-spirited and vindictive guy, to give you a small example of how he is.
[28:07.000 --> 28:11.000]  When I was interviewing George Obama, I later talked to Obama's sister,
[28:11.000 --> 28:14.000]  and she goes, well, you know, we're having George followed.
[28:14.000 --> 28:17.000]  The family is having one of its own siblings followed.
[28:17.000 --> 28:20.000]  And there's a paranoid streak going on over there.
[28:20.000 --> 28:24.000]  They look at critics, not as well-meaning people who disagree with them,
[28:24.000 --> 28:27.000]  but as enemies who have to be, in some senses, put out of business.
[28:27.000 --> 28:30.000]  And so I think this is a very dangerous mentality.
[28:30.000 --> 28:33.000]  You know, we didn't see it with Clinton. We wouldn't have seen it with Jimmy Carter.
[28:33.000 --> 28:37.000]  Obama has, in a sense, represents a new low in American politics.
