[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[00:07:20.732 --> 00:07:30.179]  And Apple, and Amazon, and all these people that fund Black Lives Matter, that fund the Soros groups, because it's a big distraction from them paying 0% tax!
[00:07:30.179 --> 00:07:31.320]  And now they're based overseas!
[00:07:31.320 --> 00:07:34.001]  They laugh at us!
[00:07:34.001 --> 00:07:35.923]  People burn their own neighborhoods!
[00:07:39.005 --> 00:07:45.109]  And then attack people with guns who are protecting property, and then they're victims when they get shot.
[00:07:45.109 --> 00:08:01.521]  Just like all the videos of the Black Lives Matter Soros-funded anti-foot groups jumping in front of cars, and when the cars try to go around them, they scream running, throwing themselves in front, because they want to recreate Charlottesville over and over and over again.
[00:08:01.521 --> 00:08:02.322]  It's all they've got.
[00:08:03.874 --> 00:08:07.458]  Senator Rand Paul last night came out of the White House.
[00:08:07.458 --> 00:08:16.366]  He introduced legislation to curtail the more egregious no-knock warrants that do end up getting some innocent people killed, including a young black girl.
[00:08:16.366 --> 00:08:26.597]  Well, they were screaming her name and him, even though he introduced the bill, he introduced, he wrote the bill, the law they got passed, and so it'd be like screaming it
[00:08:28.214 --> 00:08:32.275]  Santa Claus, because he doesn't believe in Christmas.
[00:08:32.275 --> 00:08:42.178]  I mean, it's like saying... What it is, is total hypocrisy and absolute abject ignorance.
[00:08:42.178 --> 00:08:43.438]  And what did Senator Paul say?
[00:08:43.438 --> 00:08:48.459]  He said, they were paid to be there.
[00:08:48.459 --> 00:08:49.700]  They were paid to be there.
[00:08:49.700 --> 00:08:51.760]  F you up, we will kill you.
[00:08:51.760 --> 00:08:54.901]  He's already had his ribs broken, six of them, punctured lung.
[00:08:56.158 --> 00:09:05.002]  He was there when Congressman Scalise was shot and almost killed and barely died when the gunman came to kill the entire conservative caucus baseball team.
[00:09:05.002 --> 00:09:07.343]  Rand Paul's a veteran, folks.
[00:09:07.343 --> 00:09:12.626]  Shot at, ribs broken, attacked over and over again.
[00:09:12.626 --> 00:09:14.887]  That's what it is to be an American and to be loyal.
[00:09:14.887 --> 00:09:18.628]  And he's truly anti-offensive war.
[00:09:18.628 --> 00:09:23.971]  And he introduced the bill and got it passed to try to curtail problems.
[00:09:25.151 --> 00:09:34.495]  Rand Paul announces justice for Breonna Taylor Act barring no-knock warrants.
[00:09:34.495 --> 00:09:35.596]  And what does he get for it?
[00:09:35.596 --> 00:09:39.017]  They scream, say her name, say her name.
[00:09:39.017 --> 00:09:41.919]  It's on the tapes.
[00:09:41.919 --> 00:09:44.220]  Say her name, Breonna Taylor.
[00:09:44.220 --> 00:09:44.800]  I mean, that's like...
[00:09:47.398 --> 00:09:53.282]  That'd be like coming up and yelling at Martin Luther King and trying to beat him up saying, say Martin Luther King's name!
[00:09:53.282 --> 00:09:53.983]  Say his name!
[00:09:53.983 --> 00:09:55.604]  You're like, I am Martin Luther King.
[00:09:55.604 --> 00:09:57.566]  I mean, that's the left.
[00:09:57.566 --> 00:10:00.348]  Fascist, evil, stupid, dumb.
[00:10:00.348 --> 00:10:05.572]  Let's roll the footage of the police getting knocked down, attacked as they scream, we're going to kill you.
[00:10:05.572 --> 00:10:10.816]  And Rand Paul says he barely made it out of there with his life with a crowd of thousands swarming around him trying to kill him.
[00:10:10.816 --> 00:10:11.136]  Here it is.
[00:10:14.369 --> 00:10:15.130]  Thank you.
[00:10:31.289 --> 00:10:32.250]  Yeah.
[00:10:32.250 --> 00:10:32.531]  Yeah.
[00:10:51.934 --> 00:10:52.335]  Yeah.
[00:10:52.335 --> 00:10:52.535]  Yeah.
[00:11:04.389 --> 00:11:15.755]  I remember 26 years ago before Rand Paul was even out of medical school, he used to come on for his dad when he was running for Congress on my show every week because our district, Ron Paul's district was part of Austin then down to Houston.
[00:11:15.755 --> 00:11:22.338]  They've gerrymandered it later, but I remember interviewing Rand Paul when he just got out of college and was going to medical school.
[00:11:22.338 --> 00:11:29.542]  And you see all these years later, he's now a veteran, almost been killed repeatedly in the wars that are America.
[00:11:30.362 --> 00:11:36.845]  And if they would have broken through and started really hurting people and the police had to shoot some people, D.C.
[00:11:36.845 --> 00:11:41.868]  would burn because the media would say, burn it!
[00:11:41.868 --> 00:11:44.649]  And that's what they've set up and that's what they've got ready.
[00:11:44.649 --> 00:11:50.312]  And they've got an encampment around the White House saying, we're going to drive the White House into submission.
[00:11:50.312 --> 00:11:52.232]  We're going to have siege.
[00:11:52.232 --> 00:11:56.374]  And when Trump doesn't leave in 66 days, we're going to burn it.
[00:11:56.374 --> 00:11:59.156]  I remember two years ago, I shot a video.
[00:12:00.984 --> 00:12:07.510]  Where I talked about their plan, laid out the documents, and then that's when they had the head of Twitter.
[00:12:09.512 --> 00:12:14.075]  On Lester Holt NBC News, and they said, did you see Alex Jones' show?
[00:12:14.075 --> 00:12:17.717]  Yeah, he said, get battle rifles, start killing the press.
[00:12:17.717 --> 00:12:19.118]  Didn't say any of that on the tape.
[00:12:19.118 --> 00:12:24.882]  What I said was, they're gonna contest the vote, encircle the White House, and try to burn it down and use a race war.
[00:12:24.882 --> 00:12:32.386]  And that scared them so much that I had their exact blueprint from documents and research and watching them, that I put it all together, that they didn't know what to do.
[00:12:32.386 --> 00:12:37.509]  In fact, maybe start of the next segment, we can play, play that clip from 2000.
[00:12:39.682 --> 00:12:46.363]  And a team, because it illustrates everything that we're talking about, everything we're dealing with.
[00:12:46.363 --> 00:12:52.304]  In fact, you know, we'll air that the first five of the second hour.
[00:12:52.304 --> 00:12:59.646]  We've got something really special for you that Darren McBrain and I have put together that is going to air at six after next hour.
[00:12:59.646 --> 00:13:07.627]  You definitely do not want to miss that by any shape or form of the imagination.
[00:13:09.397 --> 00:13:16.626]  Now, there's a bunch of other clubs I haven't gotten to yet, and I don't take pleasure showing you these, but you're not going to see these in the national news.
[00:13:16.626 --> 00:13:17.547]  And we are national news.
[00:13:17.547 --> 00:13:19.910]  We're a national platform that gets out there.
[00:13:19.910 --> 00:13:27.138]  But when you see stuff in the local news, only way it gets boosted is if you share it.
[00:13:27.138 --> 00:13:28.740]  And so look at these articles.
[00:13:30.066 --> 00:13:31.606]  That we've got.
[00:13:31.606 --> 00:13:37.088]  CNN political analyst claims there's very little rioting and that it's a good thing.
[00:13:37.088 --> 00:13:43.969]  Man accused of hate crime yelled Black Lives Matter before stabbing white victim.
[00:13:43.969 --> 00:13:53.231]  An African-American man yelled Black Lives Matter before stabbing his white victim and now faces attempted first-degree murder and hate crime charges.
[00:13:53.231 --> 00:13:55.212]  Thought crime charges.
[00:13:55.212 --> 00:13:57.412]  Stabbing someone's hateful.
[00:13:57.412 --> 00:13:59.433]  To police in Aurora, Colorado.
[00:14:00.742 --> 00:14:05.205]  We're now having cases where people kill people and they're getting probation if it's decided it wasn't hateful.
[00:14:05.205 --> 00:14:07.386]  I'm not kidding.
[00:14:07.386 --> 00:14:10.128]  The incident, that makes regular crime less bad.
[00:14:10.128 --> 00:14:11.569]  That's why hate crime stuff's bad, folks.
[00:14:11.569 --> 00:14:19.674]  Oh, this crime's worse because you did it because they were a different color than if a white guy kills a white guy, a white guy kills a black guy, it should be the same thing, vice versa.
[00:14:19.674 --> 00:14:22.236]  A black guy kills a black guy or kills a white guy, same thing.
[00:14:22.236 --> 00:14:24.377]  You can show it's premeditated.
[00:14:24.377 --> 00:14:28.400]  So you thought it out, it's a conspiracy, but that's already in the law.
[00:14:29.386 --> 00:14:35.110]  It's the intent that you look at for how long the sentence is, not... You know, it's a crime of passion.
[00:14:35.110 --> 00:14:40.573]  You catch somebody having sex with your wife, and you stab them, and before you knew what happened, well, you probably get five years in jail.
[00:14:40.573 --> 00:14:45.956]  But if you plan to kill your neighbor to rob them of their jewels, and then bury them in the backyard, well, you're gonna get death penalty.
[00:14:45.956 --> 00:14:48.838]  Because you're a creepy, evil person.
[00:14:48.838 --> 00:14:49.939]  But that's getting into law.
[00:14:52.810 --> 00:15:05.539]  The incident occurred Tuesday night near East Alamada Avenue in South Sable Boulevard, where 30-year-old Steve Sinclair approached 29-year-old Michael Conner and told him, I'm going to kill you and your dog.
[00:15:05.539 --> 00:15:08.821]  Conner tried to run away and defend himself with a stick.
[00:15:08.821 --> 00:15:13.064]  And it just goes on how he chased him down and stabbed him.
[00:15:13.064 --> 00:15:14.845]  I mean, it's just because he was white.
[00:15:14.845 --> 00:15:21.110]  And I've got videos of like a white and black toddlers are fighting
[00:15:22.421 --> 00:15:29.248]  And so the black nursery lady comes over and beats up the white kid.
[00:15:29.248 --> 00:15:35.254]  And it's just this attitude that whites deserve it, because when they do something, it's worse than others.
[00:15:35.254 --> 00:15:37.417]  Because the media and the universities teach this.
[00:15:37.417 --> 00:15:42.021]  Daycare worker arrested after allegedly hitting and throwing child.
[00:15:42.021 --> 00:15:43.203]  And it goes on and on and on.
[00:15:44.383 --> 00:15:54.692]  But meanwhile, Biden's coming out in an upside-down world saying Trump likes all the violence and it's his fault, and Biden's against the rioting that he and Maxine Waters have helped push and trigger.
[00:15:54.692 --> 00:15:56.074]  They think we have no memories.
[00:15:56.074 --> 00:15:56.955]  Do we have memories?
[00:15:56.955 --> 00:15:59.837]  We launched the Everyday Essentials special a week ago.
[00:15:59.837 --> 00:16:01.559]  It ends on Monday.
[00:16:01.559 --> 00:16:04.902]  That means you've got four days to take advantage of it while I'm cutting this ad.
[00:16:05.502 --> 00:16:11.423]  Take advantage of these sales and others with free shipping at InfoWareStore.com.
[00:16:11.423 --> 00:16:13.944]  They're great products that changed my life.
[00:16:35.369 --> 00:16:36.870]  98% reviews, all of the internet.
[00:16:36.870 --> 00:16:37.891]  Check it out for yourselves.
[00:16:37.891 --> 00:16:39.693]  And it was the InfoWars, a 360 win.
[00:16:39.693 --> 00:16:42.615]  The only way you lose is not by taking action.
[00:16:42.615 --> 00:16:44.317]  And I want to explain that again.
[00:16:44.317 --> 00:16:51.543]  Your support of InfoWars has stood in defiance of George Soros, the globalist Hillary, and all these scumbags.
[00:16:51.543 --> 00:16:52.744]  So great job!
[00:16:52.744 --> 00:16:54.586]  You've built what we've done!
[00:16:54.586 --> 00:16:55.166]  I salute you!
[00:16:57.972 --> 00:16:59.574]  It was a sleeper product.
[00:16:59.574 --> 00:17:04.760]  It wasn't popular at first, but as people tried it, it's become one of our top five bestsellers.
[00:17:04.760 --> 00:17:07.723]  I'm talking about the 8-pack Power Stack.
[00:17:07.723 --> 00:17:14.712]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[00:17:14.712 --> 00:17:16.033]  It's available right now at $60.
[00:17:17.074 --> 00:17:22.920]  First off, for a limited time, when you get it with Survival Shield X2, it's now back in stock.
[00:17:22.920 --> 00:17:25.443]  This has changed my life and so many other people's lives.
[00:17:25.443 --> 00:17:26.424]  Now, here's the problem.
[00:17:26.424 --> 00:17:31.910]  Some of the patented ingredients that are in APEC Power Stack, because of the shutdown and the lockdown,
[00:17:32.150 --> 00:17:32.590]  We're good to go.
[00:18:00.046 --> 00:18:02.731]  You're listening to The Alex Jones Show!
[00:18:13.945 --> 00:18:18.048]  Resistance to tyrants is obedience to God.
[00:18:18.048 --> 00:18:25.734]  It's Alex Jones.
[00:18:25.734 --> 00:18:30.558]  Alright, let's get right to it, ladies and gentlemen.
[00:18:30.558 --> 00:18:34.862]  We've got a lot of really interesting news we need to cover.
[00:18:37.060 --> 00:18:47.502]  Official legal defense fund for Kyle Rittenhouse launched by attorneys L. Lynn Wood and John Pierce that represented the Covington kids successfully.
[00:18:47.502 --> 00:18:52.063]  That's because no one will let him have an official GoFundMe.
[00:18:52.063 --> 00:18:54.903]  It's being politically blocked so now lawyers have to get involved.
[00:18:54.903 --> 00:19:00.285]  We have links at Infowars.com where you can give to Kyle Rittenhouse, who I believe was a well-meaning person.
[00:19:00.285 --> 00:19:01.225]  He went out there as a medic.
[00:19:01.225 --> 00:19:02.045]  He was helping people.
[00:19:03.050 --> 00:19:09.417]  But because he would not pledge allegiance to George Soros, that's Black Lives Matter or Antifa, his front groups.
[00:19:09.417 --> 00:19:13.522]  Because that old Nazi collaborator knows you won't pledge allegiance to him, so you have to pledge allegiance to one of his subgroups.
[00:19:15.387 --> 00:19:16.588]  And they started attacking him.
[00:19:16.588 --> 00:19:17.688]  And they chased him down.
[00:19:17.688 --> 00:19:18.488]  And one guy had a gun.
[00:19:18.488 --> 00:19:21.850]  And one guy was beating over the head with a skateboard.
[00:19:21.850 --> 00:19:24.131]  And all three had lengthy criminal records.
[00:19:24.131 --> 00:19:27.952]  Child molestation, aggravated burglary, beating up women.
[00:19:27.952 --> 00:19:30.593]  I mean, the rap sheets are gargantuan.
[00:19:30.593 --> 00:19:34.815]  Because that's who's out looting and, you know, being part of all this crap.
[00:19:34.815 --> 00:19:42.398]  And you go out and you loot, they call you a protester, and then people show up and you get killed.
[00:19:42.398 --> 00:19:43.619]  But see, that's the great crime.
[00:19:45.086 --> 00:19:45.967]  Is defending yourself.
[00:19:45.967 --> 00:19:51.911]  People are blown away that Minneapolis law preventing business owners from protecting their own property backfires horribly.
[00:19:51.911 --> 00:19:54.853]  Everyone's leaving Minneapolis and St.
[00:19:54.853 --> 00:19:55.093]  Paul.
[00:19:55.093 --> 00:19:58.415]  It's literally, I don't think people that live up there, it's collapsing.
[00:19:58.415 --> 00:20:03.679]  Because the left has driven out all the business with taxes, regulations, harassment.
[00:20:03.679 --> 00:20:07.581]  And they've told folks, you defend your property, we will throw the book at you.
[00:20:07.581 --> 00:20:13.005]  So there's a law, just like there is in the UK, or Germany, to let criminals attack you.
[00:20:14.431 --> 00:20:22.537]  Remember 20 years ago, we talked about people getting raped in their houses and fighting back, and they'd go to jail for 20 years, but the person that did the raping would get a month or two?
[00:20:22.537 --> 00:20:27.200]  That's how authoritarians take over!
[00:20:27.200 --> 00:20:30.102]  They keep their restaurants open during COVID.
[00:20:30.102 --> 00:20:31.784]  Yours has to close.
[00:20:31.784 --> 00:20:33.965]  Their political party can march.
[00:20:33.965 --> 00:20:35.627]  You can't.
[00:20:35.627 --> 00:20:36.327]  They live.
[00:20:36.327 --> 00:20:37.528]  You don't.
[00:20:37.528 --> 00:20:38.569]  It's about hypocrisy.
[00:20:38.569 --> 00:20:40.030]  It's about teaching you you're a slave.
[00:20:42.065 --> 00:20:52.408]  This is simply absolutely incredible and it's only getting worse because linguists show that young people refusing to use full stops and sentences because they see them as aggressive.
[00:20:52.408 --> 00:20:56.829]  Now punctuation and grammar is seen as racist.
[00:20:56.829 --> 00:21:07.072]  No, people are just using this to be as lazy as they possibly can.
[00:21:07.072 --> 00:21:09.933]  President Trump is under attack right now.
[00:21:11.380 --> 00:21:21.982]  Because he had a party after the RNC last night, and they didn't wear their COVID mask.
[00:21:21.982 --> 00:21:26.603]  Again, the Democrats can have their MTV awards, not wear their mask.
[00:21:26.603 --> 00:21:29.423]  They can have their rallies with hundreds of thousands, but Trump can't have rallies.
[00:21:29.423 --> 00:21:30.283]  He's paralyzed.
[00:21:30.283 --> 00:21:34.224]  And now he has a party with a few hundred people, and that's not allowed, because it's all a cult.
[00:21:34.224 --> 00:21:36.924]  And you go, well, that's oxymoronic.
[00:21:36.924 --> 00:21:40.285]  It's illogical.
[00:21:40.285 --> 00:21:41.005]  But they don't care.
[00:21:42.415 --> 00:21:46.436]  Let me show you this latest thing.
[00:21:46.436 --> 00:21:54.017]  Family remembers Georgetown double homicide victim shot during traffic altercation because they were white and the man that shot them was black.
[00:21:54.017 --> 00:21:56.977]  WBTW.
[00:21:56.977 --> 00:22:05.699]  Protester flips double birds at elderly couple leaving the White House because they're white.
[00:22:05.699 --> 00:22:10.240]  And boy, Trump is right when he says Biden will be the destroyer of America's greatness.
[00:22:10.240 --> 00:22:11.160]  That is exactly
[00:22:12.312 --> 00:22:13.813]  What's going on here?
[00:22:13.813 --> 00:22:19.099]  The good news is the COVID hoax is falling apart.
[00:22:19.099 --> 00:22:22.902]  People are waking up as fast as they possibly can.
[00:22:23.891 --> 00:22:27.692]  The question is, will it be a day late and a dollar short?
[00:22:27.692 --> 00:22:28.993]  And that really comes down to you.
[00:22:28.993 --> 00:22:30.833]  But here's their other big attack.
[00:22:30.833 --> 00:22:31.994]  I want to explain something.
[00:22:31.994 --> 00:22:33.694]  I don't like big deficit spending.
[00:22:33.694 --> 00:22:35.875]  I don't like the trillions in bailouts.
[00:22:35.875 --> 00:22:42.377]  At least Trump's trying to target a lot of it at actual grassroots, blue collar, working class and middle class people.
[00:22:42.377 --> 00:22:46.398]  China has way over inflated their currency compared to us, five to one conservatively.
[00:22:46.398 --> 00:22:47.579]  The EU's done the same thing.
[00:22:48.639 --> 00:22:51.400]  There's a global race devaluing currencies.
[00:22:51.400 --> 00:22:55.722]  It's going to be whose currency ends up on top at the end of it that still has value.
[00:22:55.722 --> 00:23:06.625]  So when the mainstream media and Moody's and Barron's and the rating agencies and CNBC are badmouthing the dollar, they are literally trying to blow holes in our life raft.
[00:23:06.625 --> 00:23:09.726]  It's like taking a medication that keeps you alive if you have heart problems.
[00:23:09.726 --> 00:23:12.387]  It's got side effects, but if you don't take it, you will die.
[00:23:12.387 --> 00:23:14.088]  It's like blood thinners.
[00:23:15.384 --> 00:23:22.848]  You've already had heart attacks, you need blood thinners, they work great, they cause other problems, but if you don't have it, you'll have a heart attack!
[00:23:22.848 --> 00:23:23.328]  Game over!
[00:23:23.328 --> 00:23:25.290]  And it's the same thing.
[00:23:25.290 --> 00:23:35.635]  We're strung out, folks, and Trump's trying to build up our morale, get jobs back, build up industry, stop the globalist program for divide and conquer.
[00:23:35.635 --> 00:23:37.997]  He's unifying, they're dividing.
[00:23:37.997 --> 00:23:43.300]  If we can fix the country, get industry back, do some better trade deals, the dollar will be the world reserve currency.
[00:23:44.480 --> 00:23:52.126]  We can triage the debt, have a global jubilee at some part, and forgive these debts, and fix it.
[00:23:52.126 --> 00:23:54.328]  But the global rich people won't do that.
[00:23:54.328 --> 00:23:55.128]  They're the left.
[00:23:55.128 --> 00:23:57.350]  They used that huge debt over us that they created.
[00:23:57.350 --> 00:23:58.571]  It's fraudulent.
[00:23:58.571 --> 00:24:01.073]  And they always want to send more debt.
[00:24:01.073 --> 00:24:03.655]  And Trump is now completely trapped in that situation.
[00:24:03.655 --> 00:24:06.057]  But he's trying to get the money and lease the people.
[00:24:06.057 --> 00:24:09.700]  So you buy infrastructure, you buy products, you buy stuff from farmers.
[00:24:11.561 --> 00:24:13.423]  But he's in an impossible situation.
[00:24:13.423 --> 00:24:23.271]  If they don't inflate the currency, everything is going to go into hell in a very, very short order.
[00:24:23.271 --> 00:24:24.272]  And I've looked at the facts.
[00:24:24.272 --> 00:24:28.196]  You see these articles, why Americans are looking for safe haven from the dollar.
[00:24:28.196 --> 00:24:29.717]  It's on Infowars.com.
[00:24:29.717 --> 00:24:34.642]  And you see Schiff running around and all of this stuff, pointing out all of our problems.
[00:24:34.642 --> 00:24:35.803]  Well, absolutely.
[00:24:37.213 --> 00:24:42.377]  But Christ said, before you point out the speck in my eye, get the beam out of yours.
[00:24:42.377 --> 00:24:46.240]  And so the bigger agenda is, kill the dollar.
[00:24:46.240 --> 00:24:47.381]  Devalue the dollar.
[00:24:47.381 --> 00:24:48.302]  Kill confidence.
[00:24:48.302 --> 00:24:49.142]  America's over.
[00:24:49.142 --> 00:24:50.623]  America sucks.
[00:24:50.623 --> 00:24:51.084]  It's done.
[00:24:52.182 --> 00:24:59.869]  So that when we fully collapse, these big mega banks can come in with the fiat debt they created that's thousands of times bigger than our debt.
[00:24:59.869 --> 00:25:04.012]  You know, our debt's, you know, 30-something trillion or 20-something trillion, depending on how you look at it.
[00:25:04.012 --> 00:25:19.006]  They've created quadrillions, thousands of trillions in fiat and sold the same mortgages 20, 30, 40 times a piece and done all this, and they're having a global reset with the COVID lockdown to destroy confidence and to make you go deeper into debt to them.
[00:25:20.970 --> 00:25:24.612]  And we must get the public informed and aware of this.
[00:25:24.612 --> 00:25:33.998]  All right, I'm going to go to break and come back and lay out big bust of child kidnapping rings and sex rings that the feds have made that the media is desperately trying to cover up.
[00:25:33.998 --> 00:25:36.179]  We're going to cover that and so much more.
[00:25:36.179 --> 00:25:41.382]  But we've got a big special that will end on Monday because some of these items are close to selling out.
[00:25:41.382 --> 00:25:46.746]  We have free shipping on Survival Shield X2, Iodine Back in Stock, Ultimate Fish Oil,
[00:25:47.566 --> 00:25:51.469]  Survival Shield X2 Spray, Prostagard with a Zinc and a Saw Palmetto.
[00:25:51.469 --> 00:25:54.572]  Survival Shield X2 and 3 together, 50% off.
[00:25:54.572 --> 00:25:55.472]  Krill Oil, all of it.
[00:25:55.472 --> 00:25:57.274]  Electropure Breeze, that's about to end.
[00:25:57.274 --> 00:26:00.497]  Free shipping on those items, 50 to 60% off.
[00:26:00.497 --> 00:26:03.059]  Except for the fish roll, because we'd make no money if we did that.
[00:26:03.059 --> 00:26:05.401]  We have the Privacy Pockets back in stock.
[00:26:06.081 --> 00:26:11.585]  To protect your cell phone and your data, InfoWarsTore.com or 888-253-3139.
[00:26:11.585 --> 00:26:16.548]  I cleaned off my little side desk here about a month ago, and I realized I hadn't been taking X2 since I did that.
