[00:00.000 --> 00:14.000]  🎵
[03:56.000 --> 04:00.000]  you've got the Kenya attacks on shopping malls
[04:00.000 --> 04:05.000]  over and over again this is what ISIS does this is what Al Qaeda does
[04:05.000 --> 04:09.000]  and we have real sources now could the sources be lying to us absolutely
[04:09.000 --> 04:12.000]  but they've been good sources so far these are real sources
[04:12.000 --> 04:16.000]  the media is like Jones claims he has ballistics experts too but doesn't name him
[04:16.000 --> 04:19.000]  oh like Craig Sawyer that led major teams and still team six
[04:19.000 --> 04:22.000]  and is a top ballistics expert with national TV shows
[04:22.000 --> 04:26.000]  and who's a top federal
[04:26.000 --> 04:28.000]  expert witness that testifies in federal court
[04:28.000 --> 04:31.000]  and a federal marshal
[04:31.000 --> 04:36.000]  they just ignore when we have the sources on
[04:36.000 --> 04:40.000]  and Craig can't get into all his sources he said no you're dead on the right track
[04:40.000 --> 04:43.000]  but I can't tell you
[04:43.000 --> 04:45.000]  but he says everybody's going the right direction
[04:45.000 --> 04:49.000]  I mean they know folks they've been ordered to cover it up
[04:49.000 --> 04:54.000]  and I think President Trump is wrong in doing this
[04:54.000 --> 04:59.000]  now I may be proving wrong down the road stay with us
[05:24.000 --> 05:28.000]  another million dollars to turn your home theater into a radiation proof bunker
[05:28.000 --> 05:32.000]  there are still very effective low-tech low-cost things you can do to prepare
[05:32.000 --> 05:35.000]  in fact even realizing that there's a need to prepare
[05:35.000 --> 05:40.000]  and doing anything to act on that realization increases your chances of survival
[05:40.000 --> 05:43.000]  things that you do prepare for an Armageddon scenario
[05:43.000 --> 05:46.000]  will help you to weather storms to absorb an economic shock
[05:46.000 --> 05:48.000]  or to protect you from home invasion
[05:48.000 --> 05:52.000]  prepare for the worst case scenario while you educate yourself and others
[05:52.000 --> 05:54.000]  and work for the best case scenario
[05:54.000 --> 05:57.000]  get more information at infowars.com
[05:57.000 --> 06:23.000]  I'm David Knight
[06:28.000 --> 06:34.000]  so 10-11 days ago
[06:34.000 --> 06:38.000]  on October 1st we told you
[06:38.000 --> 06:45.000]  that our sources revealed to us that there were major ISIS connections to the Las Vegas shooter
[06:45.000 --> 06:50.000]  now by Monday it became clear from our White House sources
[06:50.000 --> 06:55.000]  that the national security apparatus has asked the president not to release this information
[06:55.000 --> 07:00.000]  because ISIS was planning this attack with codes built into it
[07:00.000 --> 07:04.000]  to trigger massive sleeper cell attacks across the United States
[07:04.000 --> 07:08.000]  that we'd even been predicting would coincide with the Antifa uprisings
[07:08.000 --> 07:13.000]  that are now beginning
[07:13.000 --> 07:17.000]  we also reported that there were gunshots going off before the main attack
[07:17.000 --> 07:22.000]  and that we were told police officers and security personnel were shot before and after
[07:22.000 --> 07:25.000]  and so that we weren't being given the full story
[07:25.000 --> 07:27.000]  and that there were other engagements around town
[07:27.000 --> 07:30.000]  and now there's countless videos of folks huddling inside hotels saying
[07:30.000 --> 07:33.000]  we've been told to get down their shell casings window shot out
[07:33.000 --> 07:38.000]  and they're a mile away
[07:38.000 --> 07:40.000]  and then everybody in the hotel gets their room free
[07:40.000 --> 07:42.000]  there's video of all this
[07:42.000 --> 07:43.000]  we've already played it
[07:43.000 --> 07:47.000]  I'll probably play it again today
[07:47.000 --> 07:51.000]  now Newsweek while simultaneously repeating everything media matters
[07:51.000 --> 07:54.000]  puts out everything George Soros says
[07:54.000 --> 07:56.000]  that the mouth of George Soros
[07:56.000 --> 08:00.000]  the mouth of Chuck E. Schumer is Jimmy Kimmel
[08:00.000 --> 08:02.000]  this is admitted
[08:02.000 --> 08:05.000]  Newsweek is the mouth of Soros as well
[08:05.000 --> 08:08.000]  and they've been putting out total disinformation saying
[08:08.000 --> 08:11.000]  I'm saying the shooting didn't happen
[08:11.000 --> 08:15.000]  saying that I'm saying O.J. Simpson was involved
[08:15.000 --> 08:17.000]  never said that
[08:17.000 --> 08:21.000]  they're basically claiming Batboy was found at the White House and I'm saying it
[08:21.000 --> 08:22.000]  I'm not saying any of that
[08:22.000 --> 08:25.000]  you know what I've really said
[08:25.000 --> 08:27.000]  and they're scared of it
[08:27.000 --> 08:29.000]  I mean last Tuesday they were attacking me saying
[08:29.000 --> 08:32.000]  Jones says ISIS took responsibility
[08:32.000 --> 08:34.000]  which they didn't
[08:34.000 --> 08:36.000]  yes they did
[08:36.000 --> 08:37.000]  now get ready for it
[08:37.000 --> 08:42.000]  here they are covering their butts today
[08:42.000 --> 08:43.000]  this is so huge
[08:43.000 --> 08:49.000]  if ISIS was behind Las Vegas shooting there's a terrifying reason it won't prove it yet
[08:49.000 --> 08:52.000]  and Newsweek's Tom O'Connor goes on to say
[08:52.000 --> 08:54.000]  sleeper cells inside the U.S.
[08:54.000 --> 08:56.000]  exactly what I told you on Monday
[08:56.000 --> 08:59.000]  from the White House source
[08:59.000 --> 09:02.000]  exactly what Paul Rotzen wrote about
[09:02.000 --> 09:04.000]  exactly what Matt Drudge linked to
[09:04.000 --> 09:05.000]  there it is
[09:05.000 --> 09:07.000]  see
[09:07.000 --> 09:09.000]  lead follower get out of the way Newsweek
[09:09.000 --> 09:12.000]  now let me give you more
[09:12.000 --> 09:16.000]  we told you people reported shots going on before the main barrages
[09:16.000 --> 09:19.000]  plus we have the video
[09:19.000 --> 09:20.000]  oh
[09:20.000 --> 09:21.000]  LA Times
[09:21.000 --> 09:24.000]  Las Vegas gunman shot security guard
[09:24.000 --> 09:26.000]  a full six minutes before opening fire
[09:26.000 --> 09:29.000]  on concert doors police reveal
[09:29.000 --> 09:32.000]  I don't want to be this right
[09:32.000 --> 09:36.000]  I don't want to be this on target
[09:36.000 --> 09:38.000]  but the truth is they're trying to cover this up
[09:38.000 --> 09:40.000]  and the sheriff has come out and done as much as he can
[09:40.000 --> 09:43.000]  saying clearly there's no way this guy acted alone
[09:43.000 --> 09:46.000]  he said that last Thursday
[09:46.000 --> 09:49.000]  and they've said we're looking at radicalization
[09:49.000 --> 09:51.000]  but we can't talk about the evidence yet but
[09:51.000 --> 09:54.000]  looks like some people may have helped him
[09:54.000 --> 09:58.000]  that's from what they found in the room okay
[09:58.000 --> 10:01.000]  so
[10:01.000 --> 10:04.000]  he could have been a patsy because the media acts like I'm changing stories
[10:04.000 --> 10:06.000]  we don't know exactly what happened
[10:06.000 --> 10:09.000]  we know so much we know the official stories collapse
[10:09.000 --> 10:11.000]  we know so far it's collapsed
[10:11.000 --> 10:14.000]  highlights everywhere we were right
[10:14.000 --> 10:17.000]  but then yeah he could have been a gun runner
[10:17.000 --> 10:20.000]  oh we told you he went to the Middle East first
[10:20.000 --> 10:22.000]  we told you the girlfriend went there first
[10:22.000 --> 10:23.000]  the live-in
[10:23.000 --> 10:26.000]  we told you that there were hotel receipts first
[10:26.000 --> 10:29.000]  4chan found them but we published them checked them
[10:29.000 --> 10:31.000]  drug linked to it that was all pretty correct
[10:31.000 --> 10:33.000]  we told you there was a woman in there days before
[10:33.000 --> 10:35.000]  we told you that
[10:35.000 --> 10:37.000]  she was there
[10:37.000 --> 10:39.000]  earlier and that he was there three days earlier
[10:39.000 --> 10:41.000]  all of that's been confirmed
[10:41.000 --> 10:44.000]  the official story down the line
[10:44.000 --> 10:47.000]  from top to bottom
[10:47.000 --> 10:52.000]  up one side and down the other is not true
[10:58.000 --> 11:02.000]  now I've seen certain characters out there
[11:02.000 --> 11:06.000]  floating the idea that nobody got shot I've watched
[11:06.000 --> 11:09.000]  45 minutes or more of different cell phone
[11:09.000 --> 11:15.000]  and rescuer footage and EMT footage it's real
[11:15.000 --> 11:18.000]  it's real there's plenty of splattered heads and splattered legs
[11:18.000 --> 11:20.000]  and people say well some of them aren't splattered
[11:20.000 --> 11:25.000]  I've shot wild hogs deer elk
[11:25.000 --> 11:28.000]  you name it with high-powered rifles in the head
[11:28.000 --> 11:31.000]  many times and it just goes in and a little bit of hole comes out
[11:31.000 --> 11:33.000]  sometimes it blows the whole side of the head off
[11:33.000 --> 11:36.000]  so these arguments that all these people aren't completely splattered
[11:36.000 --> 11:39.000]  is pure malarkey
[11:42.000 --> 11:44.000]  I shot one of those giant African antelopes
[11:44.000 --> 11:48.000]  I forget the names of them
[11:48.000 --> 11:50.000]  in the head and it just went in and went out
[11:50.000 --> 11:52.000]  the thing kept going and then my son was with me
[11:52.000 --> 11:55.000]  and pulled the trigger and hit it through one eye
[11:55.000 --> 11:57.000]  and out the other no eyes and it kept going
[11:57.000 --> 12:00.000]  that's how tough they are and there was like no holes
[12:00.000 --> 12:03.000]  when we went over there
[12:03.000 --> 12:05.000]  I don't mean to get into graphic hunting stuff
[12:05.000 --> 12:10.000]  but the whole point is is that anybody that shot big pieces of meat
[12:10.000 --> 12:15.000]  knows that ballistics do different things
[12:15.000 --> 12:18.000]  and I've watched the footage there's plenty of splattered people
[12:18.000 --> 12:21.000]  with heads all flayed out
[12:21.000 --> 12:24.000]  it was real folks you can't copy the footage I saw
[12:24.000 --> 12:28.000]  so we've caught them red-handed covering up multiple shooters
[12:28.000 --> 12:31.000]  or at least them doing shooting at different times
[12:31.000 --> 12:33.000]  ISIS connections all of it
[12:33.000 --> 12:36.000]  it's all coming out in spades in triplicate
[12:36.000 --> 12:39.000]  they don't even know what to do in MSM
[12:39.000 --> 12:43.000]  and so their hope is to say nobody died
[12:43.000 --> 12:45.000]  so the media can then pick up on that
[12:45.000 --> 12:47.000]  and then get the families to come out
[12:47.000 --> 12:49.000]  and get really upset on television
[12:49.000 --> 12:51.000]  that's the plan
[12:51.000 --> 12:54.000]  and I'm not going along with it so that's the way it is
[12:54.000 --> 12:56.000]  I will not watch the footage again
[12:56.000 --> 12:58.000]  and I will not show it
[12:58.000 --> 13:01.000]  if you want to go find it online it's there
[13:01.000 --> 13:02.000]  there's hours of it
[13:02.000 --> 13:04.000]  I've only watched 45 minutes of it
[13:04.000 --> 13:06.000]  and had nightmares
[13:06.000 --> 13:09.000]  and because I have children and I have daughters especially
[13:09.000 --> 13:12.000]  and I just don't like seeing young women dying
[13:12.000 --> 13:14.000]  some of the footage is them dying, gulping
[13:14.000 --> 13:19.000]  and you see their eyes go from clear and alive to dead
[13:19.000 --> 13:23.000]  it's real, it's real, it's real
[13:23.000 --> 13:27.000]  it's real, real, real, real, real, real
[13:29.000 --> 13:32.000]  it's okay to question because they lied about babies and incubators
[13:32.000 --> 13:34.000]  and they lied about WMDs, they lied about other massacres
[13:34.000 --> 13:36.000]  it's happened before
[13:36.000 --> 13:37.000]  and it's okay to question things
[13:37.000 --> 13:39.000]  but once the evidence comes out
[13:39.000 --> 13:40.000]  and it's incontrovertible
[13:40.000 --> 13:42.000]  you know it's a diversion
[13:42.000 --> 13:45.000]  they don't do big-staged events with 23,000 people
[13:45.000 --> 13:47.000]  and then just have a bunch of shots go off
[13:47.000 --> 13:49.000]  and then have some, oh quote, crisis actors
[13:49.000 --> 13:51.000]  58 of them, 59 of them
[13:51.000 --> 13:53.000]  no, ladies and gentlemen, you can't cover it up
[13:53.000 --> 13:57.000]  at all the hospitals, you can't cover up something that big
[13:57.000 --> 14:02.000]  you can't do it
[14:02.000 --> 14:04.000]  so that's where I stand on that
[14:04.000 --> 14:07.000]  but that itself is a diversion from what I just told you
[14:07.000 --> 14:10.000]  Las Vegas gunman shot security guard
[14:10.000 --> 14:13.000]  a full six minutes before opening fire on concert guards
[14:13.000 --> 14:18.000]  they've been covering that up for 10 days
[14:18.000 --> 14:20.000]  think about the magnitude of that
[14:20.000 --> 14:21.000]  and that's a bunch of others
[14:21.000 --> 14:24.000]  we've got countless videos of people with their old huddling
[14:24.000 --> 14:26.000]  and they're saying, oh my god, there's glass
[14:26.000 --> 14:29.000]  get out of here, show casings
[14:29.000 --> 14:31.000]  so, ladies and gentlemen
[14:31.000 --> 14:33.000]  they lied about when he checked in
[14:33.000 --> 14:35.000]  we have all the proof they've not denied that now
[14:35.000 --> 14:37.000]  they've been told to lie
[14:37.000 --> 14:39.000]  and now they're saying, okay, it looks like
[14:39.000 --> 14:41.000]  it may be ISIS in Newsweek
[14:41.000 --> 14:44.000]  and that's because they know they're not going to be able to cover it up
[14:44.000 --> 14:47.000]  because law enforcement isn't going along with it
[14:47.000 --> 14:49.000]  and when it comes out
[14:49.000 --> 14:52.000]  it's one of my main criticism of Trump now
[14:52.000 --> 14:54.000]  that and saying he's against WikiLeaks
[14:54.000 --> 14:56.000]  when WikiLeaks probably got him elected more than anybody
[14:56.000 --> 14:58.000]  more than info wars in our audience
[14:58.000 --> 15:00.000]  really, it's 50-50, but you know, Drudge, it's all in there
[15:00.000 --> 15:02.000]  a constellation that brought Trump the win
[15:02.000 --> 15:04.000]  of the populist resistance
[15:04.000 --> 15:06.000]  but I get you don't want them and they tell you
[15:06.000 --> 15:07.000]  Mr. President, there's a code
[15:07.000 --> 15:08.000]  and they're going to launch ISIS attacks everywhere
[15:08.000 --> 15:09.000]  wherever you air this
[15:09.000 --> 15:11.000]  I don't buy that, that's the left
[15:11.000 --> 15:13.000]  and the globalist inside the FBI
[15:13.000 --> 15:15.000]  trying to get the truth from coming out
[15:15.000 --> 15:16.000]  so they can score political points
[15:16.000 --> 15:18.000]  just like they did for weeks and weeks
[15:18.000 --> 15:20.000]  in Puerto Rico
[15:20.000 --> 15:22.000]  blocking
[15:22.000 --> 15:24.000]  the aid
[15:24.000 --> 15:26.000]  getting there and the teamsters sitting on it
[15:26.000 --> 15:28.000]  so they can have the biggest disaster possible
[15:28.000 --> 15:30.000]  to blame America
[15:30.000 --> 15:32.000]  it's the same crud
[15:32.000 --> 15:34.000]  and I'm not going along with it
[15:34.000 --> 15:36.000]  it's October ladies and gentlemen
[15:36.000 --> 15:38.000]  November 5th, they claim they're launching their
[15:38.000 --> 15:40.000]  communist uprising
[15:40.000 --> 15:42.000]  this is the final countdown
[15:42.000 --> 15:44.000]  how many days are we out now
[15:44.000 --> 15:46.000]  how many days
[15:46.000 --> 15:48.000]  how many days, 25 days
[15:48.000 --> 15:50.000]  until they launch
[15:50.000 --> 15:52.000]  Bolshevik Revolution Number 2
[15:52.000 --> 15:54.000]  but this time it's America
[15:54.000 --> 15:56.000]  and we're ready, dug in
[15:56.000 --> 15:58.000]  and we will defeat them
[15:58.000 --> 16:00.000]  please listen carefully
[16:00.000 --> 16:02.000]  because I'm about to point out three things
[16:02.000 --> 16:04.000]  that will save you a lot of money
[16:04.000 --> 16:06.000]  while you get high quality products
[16:06.000 --> 16:08.000]  and fund the Info War, a 360 win
[16:08.000 --> 16:10.000]  Number 1, when you choose auto ship
[16:10.000 --> 16:12.000]  before checkout, we give you 10% off
[16:12.000 --> 16:14.000]  on your order at InfoWarshot.com
[16:14.000 --> 16:16.000]  Number 2, you're also able
[16:16.000 --> 16:18.000]  to get items that are out of stock
[16:18.000 --> 16:20.000]  when you sign up for auto ship because we hold back
[16:20.000 --> 16:22.000]  a surplus for auto ship customers
[16:22.000 --> 16:24.000]  Number 3, we're giving you
[16:24.000 --> 16:26.000]  free shipping on all orders
[16:26.000 --> 16:28.000]  above $50
[16:28.000 --> 16:30.000]  listeners have been requesting this for years
[16:30.000 --> 16:32.000]  because it's so easy to forget to reorder
[16:32.000 --> 16:34.000]  the products that you need each month
[16:34.000 --> 16:36.000]  just go to InfoWarshot.com
[16:36.000 --> 16:38.000]  select your favorite product or products
[16:38.000 --> 16:40.000]  click on auto ship and choose how often
[16:40.000 --> 16:42.000]  you want us to send you another order
[16:42.000 --> 16:44.000]  I coined the term 360 win
[16:44.000 --> 16:46.000]  and with the new auto ship feature
[16:46.000 --> 16:48.000]  at InfoWarshot.com this is a sure win
[16:48.000 --> 16:50.000]  10% off on auto ship
[16:50.000 --> 16:52.000]  win win win at InfoWarshot.com
[16:52.000 --> 16:54.000]  free shipping on orders above $50
[16:54.000 --> 16:56.000]  and all auto stock items are never out of stock
[16:56.000 --> 16:58.000]  when you sign up for auto ship
[16:58.000 --> 17:00.000]  Vitamin mineral fusion
[17:00.000 --> 17:02.000]  visit InfoWarshot.com to secure your chemister
[17:02.000 --> 17:04.000]  we have worked for years with our chemists
[17:04.000 --> 17:06.000]  and scientists to create the most
[17:06.000 --> 17:08.000]  powerful and affordable great tasting
[17:08.000 --> 17:10.000]  multivitamin formula available
[17:10.000 --> 17:12.000]  Vitamin mineral fusion drink mix
[17:12.000 --> 17:14.000]  at InfoWarshot.com is loaded
[17:14.000 --> 17:16.000]  with a full month supply
[17:16.000 --> 17:18.000]  of essential vitamins, minerals and amino acids
[17:18.000 --> 17:20.000]  that your body absolutely needs
[17:20.000 --> 17:22.000]  in the history of InfoWarshot
[17:22.000 --> 17:24.000]  we've brought out a lot of amazing products
[17:24.000 --> 17:26.000]  like survival shield x2
[17:26.000 --> 17:28.000]  supermail vitality and so many others
[17:28.000 --> 17:30.000]  with its unique delivery system
[17:30.000 --> 17:32.000]  and proprietary manufacturing process
[17:32.000 --> 17:34.000]  designed for maximized effects
[17:34.000 --> 17:36.000]  this formula is the platinum standard
[17:36.000 --> 17:38.000]  of multivitamin mineral products
[17:38.000 --> 17:40.000]  and this part is most important
[17:40.000 --> 17:42.000]  the ingredients in Vitamin mineral fusion
[17:42.000 --> 17:44.000]  are either plant derived
[17:44.000 --> 17:46.000]  or of the highest quality lab standard
[17:46.000 --> 17:48.000]  that means it's clean
[17:48.000 --> 17:50.000]  that means it's pure and rest secured
[17:50.000 --> 17:52.000]  you're finding the tip of the spear in the InfoWarshot
[17:52.000 --> 17:54.000]  that's InfoWarshot.com
[17:54.000 --> 17:56.000]  and Vitamin mineral fusion
[17:56.000 --> 17:58.000]  take action now before we sell out
[17:58.000 --> 18:00.000]  hey did you know that you can now
[18:00.000 --> 18:02.000]  preserve your own food
[18:02.000 --> 18:04.000]  for up to 25 years
[18:04.000 --> 18:06.000]  and still maintain its nutrition
[18:06.000 --> 18:08.000]  and flavor
[18:08.000 --> 18:10.000]  that's right now's the time to build your own food storage
[18:10.000 --> 18:12.000]  with HarvestRights
[18:12.000 --> 18:14.000]  freeze dryers
[18:14.000 --> 18:16.000]  go to InfoWarshot.com to learn more
[18:16.000 --> 18:18.000]  and check out this innovative and smart technology
[18:18.000 --> 18:20.000]  that's easy to use
[18:20.000 --> 18:22.000]  and let me tell you something it is perfect
[18:22.000 --> 18:24.000]  for freeze drying fruits, vegetables
[18:24.000 --> 18:26.000]  meats, dairy products, desserts
[18:26.000 --> 18:28.000]  and entire meals
[18:28.000 --> 18:30.000]  that's what I'm talking about
[18:30.000 --> 18:32.000]  and when compared to traditional methods of preservation
[18:32.000 --> 18:34.000]  like canning or dehydrating
[18:34.000 --> 18:36.000]  you know like what you get at the grocery store
[18:36.000 --> 18:38.000]  there is no comparison
[18:38.000 --> 18:40.000]  HarvestRights freeze dryers retain 97%
[18:40.000 --> 18:42.000]  of the food's taste, color
[18:42.000 --> 18:44.000]  and nutritional value
[18:44.000 --> 18:46.000]  and have a shelf life of up to 25 years
[18:46.000 --> 18:48.000]  now that's what I call
[18:48.000 --> 18:50.000]  the miracle of food preservation
[18:50.000 --> 18:52.000]  HarvestRights is truly the world's best
[18:52.000 --> 18:54.000]  most affordable freeze dryer
[18:54.000 --> 18:56.000]  so what are you waiting for
[18:56.000 --> 18:58.000]  check it out right now at InfoWarshot.com
[18:58.000 --> 19:00.000]  support good oral health
[19:00.000 --> 19:02.000]  with our one of a kind super blue fluoride
[19:02.000 --> 19:04.000]  free products InfoWarslife
[19:04.000 --> 19:06.000]  brings you a revolutionary toothpaste blend
[19:06.000 --> 19:08.000]  with iodine and nano silver
[19:08.000 --> 19:10.000]  designed to deliver a powerful clean
[19:10.000 --> 19:12.000]  enjoy a minty fresh flavor
[19:12.000 --> 19:14.000]  made with peppermint oil
[19:14.000 --> 19:16.000]  or try our bubblegum flavor
[19:16.000 --> 19:18.000]  pair this groundbreaking toothpaste
[19:18.000 --> 19:20.000]  with a super blue fluoride free mouthwash
[19:20.000 --> 19:22.000]  and super charge your oral health
[19:22.000 --> 19:24.000]  our amazing mouthwash features natural oils
[19:24.000 --> 19:26.000]  and ancient ingredients
[19:26.000 --> 19:28.000]  used since aboriginal and biblical times
[19:28.000 --> 19:30.000]  instead of containing fluoride
[19:30.000 --> 19:32.000]  our super blue line is floated
[19:32.000 --> 19:34.000]  with a good halogen iodine
[19:34.000 --> 19:36.000]  and an array of other beneficial compounds
[19:36.000 --> 19:38.000]  that have been hand selected
[19:38.000 --> 19:40.000]  for their oral health benefits
[19:40.000 --> 19:42.000]  super blue fluoride free mouthwash
[19:42.000 --> 19:44.000]  and toothpaste are the first and only
[19:44.000 --> 19:46.000]  to contain all of these natural ingredients
[19:46.000 --> 19:48.000]  xylitol, nano silver and iodine
[19:48.000 --> 19:50.000]  notice the difference
[19:50.000 --> 19:52.000]  with our super blue fluoride free products
[19:52.000 --> 19:54.000]  refresh your breath and
[19:54.000 --> 19:56.000]  invigorate your oral health routine
[19:56.000 --> 19:58.000]  at InfoWarshot.com
[19:58.000 --> 20:00.000]  you're listening to the Alex Jones show
[20:28.000 --> 20:30.000]  well ladies and gentlemen
[20:30.000 --> 20:32.000]  now news week
[20:32.000 --> 20:34.000]  Associated Press and others are reporting
[20:34.000 --> 20:36.000]  it might be an ISIS attack
[20:36.000 --> 20:38.000]  after all
[20:38.000 --> 20:40.000]  and then ISIS is sitting on top
[20:40.000 --> 20:42.000]  to prove because they just want to embarrass
[20:42.000 --> 20:44.000]  the establishment
[20:44.000 --> 20:46.000]  that's a cover story folks
[20:48.000 --> 20:50.000]  the point is
[20:50.000 --> 20:52.000]  is that they're now having to admit that
[20:52.000 --> 20:54.000]  oh the supposed shooter shot a security guard
[20:54.000 --> 20:56.000]  six minutes before
[20:56.000 --> 20:58.000]  the whole story
[20:58.000 --> 21:00.000]  has blown up
[21:00.000 --> 21:02.000]  in everybody's face
[21:02.000 --> 21:04.000]  who pushed it
[21:04.000 --> 21:06.000]  just watch as more unfolds
[21:06.000 --> 21:08.000]  because it's
[21:08.000 --> 21:10.000]  an adventure
[21:10.000 --> 21:12.000]  all reality
[21:12.000 --> 21:14.000]  that we're all living together
[21:14.000 --> 21:16.000]  it's not a drill
[21:16.000 --> 21:18.000]  and you live only once
[21:18.000 --> 21:20.000]  this is the real deal
[21:20.000 --> 21:22.000]  ladies and gentlemen
[21:22.000 --> 21:24.000]  well
[21:26.000 --> 21:28.000]  Mr. Weinstein is in a lot of trouble
[21:28.000 --> 21:30.000]  and we're now learning
[21:30.000 --> 21:32.000]  that the media
[21:32.000 --> 21:34.000]  was only
[21:34.000 --> 21:36.000]  putting out the sexual
[21:36.000 --> 21:38.000]  harassment stories
[21:38.000 --> 21:40.000]  because they knew a bigger
[21:40.000 --> 21:42.000]  story was about to break
[21:42.000 --> 21:44.000]  in the New Yorker magazine
[21:44.000 --> 21:46.000]  and they knew this two weeks ago
[21:46.000 --> 21:48.000]  so the same New York Times that spiked
[21:48.000 --> 21:50.000]  the report
[21:50.000 --> 21:52.000]  in
[21:52.000 --> 21:54.000]  2004
[21:54.000 --> 21:56.000]  and in 2008
[21:56.000 --> 21:58.000]  and in 2012
[21:58.000 --> 22:00.000]  that's all confirmed
[22:00.000 --> 22:02.000]  the same
[22:02.000 --> 22:04.000]  CNN that spiked it
[22:04.000 --> 22:06.000]  the same Matt Damon
[22:06.000 --> 22:08.000]  and other usual suspects
[22:08.000 --> 22:10.000]  that went to bat for him and helped cover it up
[22:10.000 --> 22:12.000]  because they're so liberal
[22:12.000 --> 22:14.000]  told you I know folks behind the scenes
[22:14.000 --> 22:16.000]  Matt Damon all those guys
[22:16.000 --> 22:18.000]  it's a total joke the global warming all of it
[22:18.000 --> 22:20.000]  they all listen to this show
[22:20.000 --> 22:22.000]  by the way I can care less
[22:22.000 --> 22:24.000]  and they all know what's really going on
[22:24.000 --> 22:26.000]  but they're just totally
[22:26.000 --> 22:28.000]  mercenary and stand
[22:28.000 --> 22:30.000]  for nothing but themselves
