[00:00:01.033 --> 00:00:10.420]  Prepare yourself for a talk radio experience like no other.
[00:01:52.123 --> 00:02:02.807]  And he had John King, one of the seasoned CNN anchors on, and he makes the joke that, you know, now that the media has gotten Obama elected, you know, what's next?
[00:02:03.385 --> 00:02:10.548]  And John King kind of laughs and for some reason he says, well, if you're making the point that Obama is in for a new world order, I'd have to agree.
[00:02:10.548 --> 00:02:12.949]  And we're going to play that for you as well.
[00:02:12.949 --> 00:02:18.712]  Now, you know, Obama himself has talked about a world order on the David Letterman Show.
[00:02:18.712 --> 00:02:19.932]  We're going to play that for you.
[00:02:19.932 --> 00:02:24.474]  I mean, why is it everybody's talking about a new world order and a crisis coming up?
[00:02:24.474 --> 00:02:31.097]  You know, I kind of brushed it off when Biden went on television and he said that, mark my words,
[00:02:31.986 --> 00:02:36.770]  Obama will face a crisis like no other, right when he gets inaugurated.
[00:02:36.770 --> 00:02:38.411]  You know, what does he know that we don't know?
[00:02:38.411 --> 00:02:42.214]  I kind of said to myself, oh, he's just blowing steam.
[00:02:42.214 --> 00:02:45.377]  He doesn't really have, you know, any kind of inside information.
[00:02:45.377 --> 00:02:46.298]  It's political talk.
[00:02:46.298 --> 00:02:47.419]  It's rhetoric.
[00:02:47.419 --> 00:03:01.610]  But then when you see Colin Powell get on Meet the Press and say that some kind of a disaster that nobody even knows about, but apparently Colin Powell knows about it, is going to occur on the 21st and the 22nd, you know, I'm leaning towards some kind of a financial crisis statement.
[00:03:02.387 --> 00:03:09.089]  And I'm now working on this Obama film with Alex, going over a lot of archive stuff.
[00:03:09.089 --> 00:03:17.012]  And I noticed that a lot of people, insiders, are saying that he's going to come out with some executive orders out of the gates.
[00:03:17.012 --> 00:03:18.613]  And you've got to wonder what that's going to be about.
[00:03:18.613 --> 00:03:21.073]  What are these executive orders going to be?
[00:03:21.073 --> 00:03:30.296]  I bet you anything they're not going to have anything to do with the fake terror threat, and the war in Iraq, and the war in Afghanistan, and they're going to be completely and totally financial.
[00:03:30.296 --> 00:03:31.717]  So I'm leaving the window open there.
[00:03:32.813 --> 00:03:57.900]  Now on the Biden front, it's all over the news that Joe Biden has made a fact-finding mission over in Pakistan to see if, you know, what's going on over there because Pakistan has largely been blamed for these Mumbai attacks, but of course they're supposed to be terrorists, when in fact all the evidence leads back to the Inter-Service Intelligence Agency, or the ISI, and we're going to be discussing the ISI
[00:03:58.365 --> 00:04:00.867]  What their role is and who they really are.
[00:04:00.867 --> 00:04:03.748]  Because Pakistan and Joe Biden go way back.
[00:04:03.748 --> 00:04:06.010]  You know, Biden is a seasoned politician.
[00:04:06.010 --> 00:04:17.397]  He went on the floor of the House in 2001 right after the September 11th attacks because he was well aware that the inter-services intelligence agencies had been funding the so-called hijackers.
[00:04:17.397 --> 00:04:24.921]  And he got up there and he started spitting out, the word should go out to those nations that pretend to be our friends.
[00:04:24.921 --> 00:04:26.382]  Pakistan in particular.
[00:04:27.333 --> 00:04:35.774]  Oh, well, if they're not our friend, Joe, then why were you meeting with the head of the Inter-Services Intelligence Agency in the weeks before 9-11, in Washington, D.C.?
[00:04:35.774 --> 00:04:41.595]  Why was the head of the CIA at the time meeting with them, George Tenet?
[00:04:41.595 --> 00:04:47.336]  Why was the National Security Advisory Board, or the National Security Council, I'm sorry, meeting with this same gentleman?
[00:04:47.336 --> 00:04:56.398]  Why was Bob Graham and Porter Goss, the two people who would co-chair the initial congressional investigation into 9-11, having breakfast with the man in D.C.
[00:04:57.535 --> 00:04:58.576]  On 9-11.
[00:04:58.576 --> 00:05:00.137]  Tell me that.
[00:05:00.137 --> 00:05:01.698]  Well, it's pretty obvious.
[00:05:01.698 --> 00:05:06.361]  First of all, in the late 40s, when Pakistan was working with U.S.
[00:05:06.361 --> 00:05:12.905]  military, really the ISI was a brainchild of British intelligence.
[00:05:12.905 --> 00:05:19.230]  Now, obviously, United States intelligence and British intelligence have worked closely in both World Wars and throughout the last 100 years.
[00:05:21.818 --> 00:05:28.484]  And what's crazy is, of course, in the 70s, the CIA came in in a very overt role.
[00:05:28.484 --> 00:05:40.175]  And when you looked at these Mumbai attacks, the main guy that they were going after had very close ties to not only the inter-services intelligence agencies, which, I mean, in the international media, I mean, India's talking about it.
[00:05:40.175 --> 00:05:41.216]  It's a big story over there.
[00:05:41.216 --> 00:05:45.380]  They know that backstanding intelligence helped in the Mumbai attacks.
[00:05:47.249 --> 00:05:54.912]  So really you have to look at the ISI as a conduit for the CIA, as a conduit for MI5, and really an international intelligence op.
[00:05:54.912 --> 00:06:04.035]  And what Biden is doing there is he's basically seeing how they can cover their tracks and relate better to India and the other people in the Middle East.
[00:06:04.035 --> 00:06:09.977]  Because Pakistan was used as a launching base for the war on terror into Afghanistan and later into Iraq.
[00:06:09.977 --> 00:06:15.619]  You know, Musharraf, you know, our dictator, was really strong-armed into letting these
[00:06:16.843 --> 00:06:18.524]  You know, people stay there.
[00:06:18.524 --> 00:06:26.631]  He saw right away that he could be on the list of a nation that was bombed or would have sanctions against it or was helping terror.
[00:06:26.631 --> 00:06:27.592]  So he went right along.
[00:06:27.592 --> 00:06:32.435]  They've now changed the dictator, but it's the same old policy.
[00:06:32.435 --> 00:06:40.702]  So coming up in the next segment, we're going to play a lot of those clips and we're going to get your commentary in the second half of each hour.
[00:06:40.702 --> 00:06:43.304]  Now, why is it important that we expose Obama?
[00:06:44.221 --> 00:06:47.424]  Well, I mean, people have drunk the Kool-Aid on this guy.
[00:06:47.424 --> 00:06:52.628]  It is from both sides, going over the acceptance speech, going over the night he won.
[00:06:52.628 --> 00:06:54.630]  I mean, people are in tears.
[00:06:54.630 --> 00:07:08.102]  I still remember, you know, I'm a New York guy, upstate, and walking in to get a coffee at my local convenience store, and I'm looking at the cover of the New York Post, I believe it was, and the clerk of the thing, she's like, isn't it great?
[00:07:08.102 --> 00:07:09.223]  It's the greatest thing ever!
[00:07:09.223 --> 00:07:09.723]  We did it!
[00:07:09.723 --> 00:07:10.144]  We won!
[00:07:11.047 --> 00:07:12.768]  And I'm like, no, it's not so great.
[00:07:12.768 --> 00:07:16.050]  It's actually totally and completely evil.
[00:07:16.050 --> 00:07:20.613]  And I explained to her, you know, they made this a big race issue, like this was a triumph for blacks.
[00:07:20.613 --> 00:07:28.177]  No, it would have been a triumph for African-Americans if Cynthia McKinney had actually won the Green Party candidate, the person that I voted for.
[00:07:28.177 --> 00:07:31.740]  Somebody who was actually genuine in her positions.
[00:07:31.740 --> 00:07:33.461]  So I explained to her, you know, that was a ploy.
[00:07:34.500 --> 00:07:36.520]  You know, that's something that we can all relate to.
[00:07:36.520 --> 00:07:39.661]  I explained to her that... I mean, first of all, let's look at the guy.
[00:07:39.661 --> 00:07:47.642]  In 2004, when he gave the keynote speech out of nowhere at the Democratic National Convention, he wasn't even a senator yet.
[00:07:47.642 --> 00:07:50.063]  Let's explain this to the layman's out there.
[00:07:50.063 --> 00:07:52.263]  You get two senators a state, okay?
[00:07:52.263 --> 00:07:53.223]  That's two each.
[00:07:53.223 --> 00:07:54.984]  You get a hundred senators completely.
[00:07:54.984 --> 00:08:00.145]  Now, there are things called state senators, and you get a lot more of those based on your population in your state.
[00:08:00.145 --> 00:08:01.125]  Now, Barack Obama
[00:08:01.522 --> 00:08:05.685]  Was a state senator until 2004.
[00:08:05.685 --> 00:08:10.027]  He has little to no experience in anything!
[00:08:10.027 --> 00:08:11.388]  Yeah, is he well-educated?
[00:08:11.388 --> 00:08:11.789]  Of course.
[00:08:11.789 --> 00:08:14.530]  He's gone to all these different institutions.
[00:08:14.530 --> 00:08:16.792]  That's because he's been supported by insiders.
[00:08:16.792 --> 00:08:19.854]  This guy is an internationalist.
[00:08:19.854 --> 00:08:22.535]  The jury's still out on whether he was really born in Kenya or not.
[00:08:22.535 --> 00:08:24.557]  They never showed his birth certificate.
[00:08:24.557 --> 00:08:27.038]  Whether he was born in Hawaii or Kenya is almost a moot point.
[00:08:27.038 --> 00:08:28.239]  This guy is an internationalist.
[00:08:28.737 --> 00:08:30.598]  He's been to Africa many times.
[00:08:30.598 --> 00:08:36.920]  He went in front of a German audience, which I just... I can't get enough of that German audience speech.
[00:08:36.920 --> 00:08:52.787]  If you've never seen it, Sky News, which is the Fox arm over in Europe, called it his New World Order speech, and he was calling for a New World Order, and he talks about global citizenship in that speech, and how we all need to come together, and this supposedly is the guy!
[00:08:52.787 --> 00:08:57.809]  You know, Farrakhan, who I had a little bit of respect for, you know, to bring
[00:08:58.604 --> 00:09:15.619]  people together basically he he was able to bring literally a million people down to dc twice with the million man march in the millions more march from their frustration and quite frankly a lot of the uh... bowtie type muslims out there are more uh... in the now and educated about current affairs
[00:09:17.190 --> 00:09:18.831]  I'd say 90% of the Christians out there.
[00:09:18.831 --> 00:09:22.572]  Sorry guys, not trying to bash you, but a lot of you guys are just total lemmings.
[00:09:22.572 --> 00:09:28.814]  You want to vote for McCain, vote for Bush, and think that they're Christian conservative, they care about you, and they're really Republicans.
[00:09:28.814 --> 00:09:29.875]  It's not the case.
[00:09:29.875 --> 00:09:37.998]  A lot of these guys know that the paradigm has shifted, but boy, they just could not... They couldn't pass up a black guy, let's be honest.
[00:09:37.998 --> 00:09:40.699]  And what really disturbed me is that Farrakhan
[00:09:41.561 --> 00:09:44.304]  We actually called him the Messiah on several occasions.
[00:09:44.304 --> 00:09:47.608]  We're going to play that and other clips for you after this.
[00:09:47.608 --> 00:09:48.529]  It's the Alex Jones Show!
[00:09:57.774 --> 00:10:01.035]  Every 22 seconds, a violent crime is committed.
[00:10:01.035 --> 00:10:03.356]  Are you concerned about your personal safety?
[00:10:03.356 --> 00:10:06.977]  Why wait for something bad to happen when you can take action now?
[00:10:06.977 --> 00:10:07.917]  Be smart.
[00:10:07.917 --> 00:10:08.897]  Be safe.
[00:10:08.897 --> 00:10:11.078]  Trust Pepper Spray instead of your luck.
[00:10:11.078 --> 00:10:16.900]  Pepperspray.com is the only website you'll ever need for all your non-lethal self-defense supplies.
[00:10:16.900 --> 00:10:26.583]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web, including mace, animal repellents, stun guns, and tasers.
[00:10:26.823 --> 00:10:32.971]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:10:32.971 --> 00:10:37.436]  Pepperspray.com is proud to feature Sabre brand pink ribbon pepper spray.
[00:10:37.436 --> 00:10:43.003]  For every Sabre pink ribbon pepper spray sold, a donation will be made to the National Breast Cancer Foundation.
[00:10:43.283 --> 00:10:47.685]  Enter the word pepper in the coupon box and you'll receive 10% off your order.
[00:10:47.685 --> 00:10:48.986]  So what are you waiting for?
[00:10:48.986 --> 00:10:50.567]  Go to Pepperspray.com.
[00:10:50.567 --> 00:10:52.628]  That's Pepperspray.com.
[00:10:52.628 --> 00:10:56.249]  Or call 1-800-908-9988.
[00:10:56.249 --> 00:10:57.270]  Call today.
[00:10:57.270 --> 00:11:03.953]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:11:03.953 --> 00:11:11.677]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:11:12.057 --> 00:11:20.222]  Is this a flaw-free enterprise, or is our monetary unit, we call the Federal Reserve Note, forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:11:20.222 --> 00:11:25.325]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:11:25.325 --> 00:11:30.528]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[00:11:30.528 --> 00:11:34.890]  A gripping adventure into the secret world of international banking cartel.
[00:11:34.890 --> 00:11:35.971]  Hi, this is Ted Anderson.
[00:11:35.971 --> 00:11:39.993]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:11:40.453 --> 00:11:45.360]  Call 1-800-686-2237 and order a copy today.
[00:11:45.360 --> 00:11:48.364]  It's critical that the public be made aware of the system.
[00:11:48.364 --> 00:11:50.146]  Call and order your copy today at 1-800-686-2237.
[00:11:50.146 --> 00:11:50.366]  That's 1-800-686-2237.
[00:11:58.431 --> 00:12:13.309]  Now that the election is over and the shock is beginning to wear off, Ready Reserve Foods, in an effort to get as many Americans prepared for the promised changes of the new administration, and to help you and your family survive the global economic crash, Ready Reserve is offering the pre-inauguration special.
[00:12:13.929 --> 00:12:21.155]  Between now and January 20th, 2009, all food units U1 through U7 are being offered at wholesale prices.
[00:12:21.155 --> 00:12:22.996]  That's a 33% savings.
[00:12:22.996 --> 00:12:26.719]  A year's supply of meals starts as low as 73 cents per meal.
[00:12:26.719 --> 00:12:33.464]  Ready Reserve Food offers only the highest quality dehydrated food, packed in double enameled cans in an inert nitrogen atmosphere.
[00:12:38.166 --> 00:12:38.386]  I think so.
[00:12:57.051 --> 00:13:02.894]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:13:02.894 --> 00:13:08.318]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:13:08.318 --> 00:13:13.701]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:13:13.701 --> 00:13:17.263]  People who alkalize the water they drink experience normalized blood sugar.
[00:13:17.543 --> 00:13:19.585]  Mental clarity and loss of weight.
[00:13:19.585 --> 00:13:22.527]  It was intended for human beings to drink alkaline water.
[00:13:22.527 --> 00:13:25.829]  But due to modern way of life, most people are overly acidic.
[00:13:25.829 --> 00:13:29.612]  The fact is that disease simply cannot exist in an alkaline environment.
[00:13:29.612 --> 00:13:34.436]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:13:34.436 --> 00:13:35.476]  Do your part.
[00:13:35.476 --> 00:13:38.098]  Alkalize and supercharge your body now!
[00:13:38.098 --> 00:13:44.223]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:13:44.523 --> 00:13:47.285]  Up to the pH of 10, with only 10 drops.
[00:13:47.285 --> 00:13:53.770]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:13:53.770 --> 00:13:57.512]  Again, that's alkavision.com.
[00:13:57.512 --> 00:14:01.595]  Ay.
[00:14:01.595 --> 00:14:05.618]  You're listening to GCN, the Genesis Communications Radio Network.
[00:14:27.248 --> 00:14:30.309]  All right, folks, as I promised, we'll be taking your calls in the next segment.
[00:14:30.309 --> 00:14:32.149]  I hope they can be Obama-related.
[00:14:32.149 --> 00:14:33.169]  I am not Alex Jones.
[00:14:33.169 --> 00:14:39.291]  I'm Jason Bermas, a filmmaker who is behind Lose Change and now Fabled Enemies and hopefully many more to come.
[00:14:39.291 --> 00:14:46.052]  And I'll be sitting in for Alex all week if you listen over at InfoWars.com as well.
[00:14:46.052 --> 00:14:49.293]  And I really want to get into this Obama thing right now.
[00:14:50.743 --> 00:14:52.543]  Let's start playing some clips.
[00:14:52.543 --> 00:14:55.984]  Let's show how the media is kind of in on this as well.
[00:14:55.984 --> 00:15:01.826]  Let's show Colbert talking to John King about them getting Obama elected, and they obviously did.
[00:15:01.826 --> 00:15:04.947]  I mean, MSNBC was so unapologetic about it.
[00:15:04.947 --> 00:15:14.589]  They actually had commercials they were running with, you know, Olbermann, Scarborough, Chris Matthews all together, and experience the change.
[00:15:15.751 --> 00:15:18.895]  I mean, they're taking the guy's slogan before he's even elected!
[00:15:18.895 --> 00:15:24.061]  I mean, it is unbelievable to me, but we'll play this little Colbert clip and then we'll move on to yet another clip.
[00:15:24.061 --> 00:15:26.083]  Go ahead.
[00:15:26.083 --> 00:15:27.064]  Fight Club is excellent.
[00:15:27.064 --> 00:15:34.673]  First of all, I want to congratulate you and the rest of the media on getting Obama elected.
[00:15:34.673 --> 00:15:35.594]  You must feel very proud.
[00:15:43.347 --> 00:15:47.848]  If your point is that perhaps Barack Obama is in for a New World Order, I think you are correct.
[00:15:47.848 --> 00:15:48.549]  Oh!
[00:15:48.549 --> 00:15:50.169]  John King says New World Order.
[00:15:50.169 --> 00:15:50.889]  I just can't believe it.
[00:15:50.889 --> 00:15:51.970]  People criticize the press.
[00:15:51.970 --> 00:15:55.751]  Now, when I talk about the New World Order, I'm a kook.
[00:15:55.751 --> 00:15:56.851]  I'm a nutty guy.
[00:15:56.851 --> 00:16:04.473]  But when John King, who's been an anchor now for CNN for over 15 years, I believe, he says it.
[00:16:04.473 --> 00:16:05.354]  It's nonchalant.
[00:16:05.354 --> 00:16:06.234]  No one goes into it.
[00:16:06.234 --> 00:16:08.094]  No one really says anything about it.
[00:16:08.094 --> 00:16:09.815]  Oh yeah, I guess he is in for a New World Order.
[00:16:09.815 --> 00:16:10.295]  How about that?
[00:16:11.306 --> 00:16:25.017]  Now, that's on the, you know, obviously Colbert is satire, but to say that the media did not help him get elected, I think the only media outlet that was halfway polling for McCain was Fox.
[00:16:25.017 --> 00:16:29.080]  And even people like Shepard Smith did not seem like their heart was in it for McCain.
[00:16:29.080 --> 00:16:31.682]  I mean, McCain was a puppet to lose, let's be honest.
[00:16:31.682 --> 00:16:40.469]  I mean, if they were really putting in a candidate that maybe had a shot on the Republican end, Mitt Romney comes to mind, somebody who was a little bit more well-spoken, young,
[00:16:41.164 --> 00:16:41.304]  I don't
[00:17:01.344 --> 00:17:09.669]  Every single news outlet I've watched from Anderson Cooper to, you know, it was on Brit Hume, of course they talked about it on Olbermann, Chris Matthews.
[00:17:09.669 --> 00:17:13.131]  So, he pretty much knew he was going to win from May on.
[00:17:13.131 --> 00:17:13.911]  Now, why is that?
[00:17:13.911 --> 00:17:18.594]  Well, magically, Obama attended the Bilderberg Conference.
[00:17:18.594 --> 00:17:27.079]  Now, he never confirmed that, but after, I mean, literally right after Hillary conceded, he and Hillary both disappeared.
[00:17:27.825 --> 00:17:29.166]  into Washington DC.
[00:17:29.166 --> 00:17:33.049]  Now, Obama actually tricked the press corps.
[00:17:33.049 --> 00:17:34.190]  He tricked the press corps.
[00:17:34.190 --> 00:17:42.617]  He actually told the press corps what he was going to do, but then he tricked them by letting them think that he was going to be on the plane when they left Dulles Airport.
[00:17:42.617 --> 00:17:51.504]  If you watch the interview on the plane prior to him tricking them, he says that he's going to meet with Senator Clinton in private without any press or surrogates.
[00:17:51.963 --> 00:17:55.266]  So in other words, none of his Chief of Staff are going to be there, and there's going to be no press there.
[00:17:55.266 --> 00:17:59.029]  But if you think it's a one-on-one meeting, you are incorrect.
[00:17:59.029 --> 00:18:01.532]  So later on, he escapes.
[00:18:01.532 --> 00:18:07.357]  His press secretary, I believe at the time, Gibbs, or, you know, the equivalent, Chief of Staff or whatever, Gibbs,
[00:18:08.004 --> 00:18:08.905]  It's very uneasy.
[00:18:08.905 --> 00:18:10.826]  He says it's an undisclosed location.
[00:18:10.826 --> 00:18:11.986]  He won't give it up.
[00:18:11.986 --> 00:18:17.009]  Now, Anderson Cooper on CNN is the first to start reporting it, and they start reporting that it's at Clinton's home.
[00:18:17.009 --> 00:18:18.090]  Oh, it's in her D.C.
[00:18:18.090 --> 00:18:18.430]  home.
[00:18:18.430 --> 00:18:19.331]  Isn't that nice?
[00:18:19.331 --> 00:18:20.732]  There's a couple suburbans outside.
[00:18:20.732 --> 00:18:22.513]  The media starts to go there.
[00:18:22.513 --> 00:18:24.914]  Well, lo and behold, it's not at Clinton's home.
[00:18:24.914 --> 00:18:26.675]  So where is it?
[00:18:26.675 --> 00:18:33.299]  Well, the Bilderberg meeting is going on about 10 miles down the road with the likes of Condoleezza Rice, Alan Greenspan,
[00:18:34.379 --> 00:18:36.481]  Let's see, David Rockefeller was there this year.
[00:18:36.481 --> 00:18:39.422]  You can actually get the Bilderberg List online.
[00:18:39.422 --> 00:18:41.163]  They actually published it this year.
[00:18:41.163 --> 00:18:44.905]  It's the biggest meeting you've never heard about.
[00:18:44.905 --> 00:18:55.732]  And, I mean, it's 144 of the top people in economics, in foreign policy, in domestic policy, in the world.
[00:18:55.732 --> 00:19:00.855]  Now, the cover story after that, after they got caught that they weren't in Clinton's home, was that Dianne Feinstein,
[00:19:01.445 --> 00:19:04.488]  You know, one of these insiders held the meeting at her house.
[00:19:04.488 --> 00:19:05.389]  Total bull.
[00:19:05.389 --> 00:19:06.910]  They both went to the meeting.
[00:19:06.910 --> 00:19:13.516]  They established that Obama was not only going to win, but they probably talked about where Hillary Clinton fit in.
[00:19:13.516 --> 00:19:17.440]  A lot of people at the time thought that she would be the Vice President.
[00:19:17.440 --> 00:19:18.401]  I was one of those people.
[00:19:18.401 --> 00:19:23.025]  I thought that an Obama-Hillary Clinton ticket would be what they wanted to give the people.
[00:19:23.025 --> 00:19:24.167]  I was wrong.
[00:19:24.167 --> 00:19:26.649]  Instead, they chose another insider, Biden.
[00:19:27.324 --> 00:19:29.266]  Who is a pretty likable guy.
[00:19:29.266 --> 00:19:35.491]  I mean, he cracked a pretty funny joke at Kucinich about his wife being hot, and everybody can relate to that, right?
[00:19:35.491 --> 00:19:40.495]  But then, you have Clinton getting the spot of Secretary of State.
[00:19:40.495 --> 00:19:50.824]  And a couple of other insiders, amazingly, you know, as this quote-unquote secret meeting was going on, called it, said that that's what they were really discussing, was what her role in the administration would be, and now we know that role.
[00:19:51.878 --> 00:19:59.240]  So, they go and they meet with the likes of these internationalists, and one of those internationalists happens to be Henry Kissinger.
[00:19:59.240 --> 00:20:01.801]  And that brings us to our next clip.
[00:20:01.801 --> 00:20:12.624]  Kissinger, a few weeks ago on CNBC, it might not even be a few weeks ago, it might have been a couple weeks ago or a week ago, I'm not sure what the date of the clip is, but on the floor they ask Mr. Kissinger
[00:20:13.021 --> 00:20:24.845]  This, you know, political strategist, this behind-the-scenes guy that has really, I mean, he was an advisor to Bush, behind the scenes, on, right after 9-11, on the war in Iraq, and it all came out.
[00:20:24.845 --> 00:20:34.388]  I mean, they wanted to appoint Kissinger as the head of the 9-11 Commission, but so many people were outraged from his international war crimes, overthrowing Allende and Chile.
[00:20:34.673 --> 00:20:39.417]  The President-elect is coming into office at the moment when there are upheavals in many parts of the world simultaneously.
[00:20:39.417 --> 00:20:40.457]  We have India, Pakistan, the U.S.,
[00:21:04.202 --> 00:21:05.763]  He added movement.
[00:21:05.763 --> 00:21:09.864]  So he can't really say that it's one problem, that it's the most important one.
[00:21:09.864 --> 00:21:20.887]  But he can give a new impetus to American foreign policy partly because the reception of him is so extraordinary around the world.
[00:21:20.887 --> 00:21:30.290]  I think his task will be to develop an overall strategy for America in this period when really a new world order can be created.
[00:21:30.290 --> 00:21:31.771]  It's a great opportunity.
[00:21:31.771 --> 00:21:32.351]  It isn't such
[00:21:33.744 --> 00:21:36.366]  Oh, it's a great opportunity for a New World Order.
[00:21:36.366 --> 00:21:37.567]  Isn't that lovely?
[00:21:37.567 --> 00:21:40.969]  You know, Kissinger's been pushing this stuff since the 70s.
[00:21:40.969 --> 00:21:45.072]  I mean, I can't tell you how many clips where Kissinger is talking about the New World Order.
[00:21:45.072 --> 00:21:52.777]  See, a lot of people think, oh, well, isn't the New World Order just a term that Daddy Bush used a couple times in the State of the Union address?
[00:21:52.777 --> 00:21:54.218]  Well, no, he used those terms.
[00:21:55.740 --> 00:22:01.561]  He was just a front man for a larger organization of people, just like Kissinger is just a front man.
[00:22:01.561 --> 00:22:05.282]  This is more than just an idea of global government.
[00:22:05.282 --> 00:22:12.783]  This is something that has been on the table with elitists and intellectuals for hundreds of years.
[00:22:12.783 --> 00:22:13.223]  H.G.
[00:22:13.223 --> 00:22:14.503]  Wells.
[00:22:14.503 --> 00:22:14.863]  H.G.
[00:22:14.863 --> 00:22:18.104]  Wells wrote a book called The New World Order.
[00:22:18.104 --> 00:22:23.025]  Hitler talked about a new world order.
[00:22:23.025 --> 00:22:24.305]  It is not a coincidence
[00:22:24.758 --> 00:22:29.942]  That this term is still being used and that it is still trying to be achieved.
[00:22:29.942 --> 00:22:32.424]  Global government, I mean, that's what this bailout is about.
[00:22:32.424 --> 00:22:39.128]  It's about giving all of your assets and your financial institutions to international bankers.
[00:22:39.128 --> 00:22:40.529]  So it's time to wake up, folks.
[00:22:40.529 --> 00:22:41.530]  Infowars.com.
[00:22:41.530 --> 00:22:43.291]  We'll be back after this to take your calls.
[00:22:43.291 --> 00:22:44.612]  It's the Alex Jones Show.
[00:22:44.612 --> 00:22:45.333]  I'm Jason Vermas.
[00:22:57.870 --> 00:22:59.871]  Heart disease is on the rise.
[00:22:59.871 --> 00:23:06.813]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:23:06.813 --> 00:23:15.216]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:23:15.216 --> 00:23:20.938]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:23:21.338 --> 00:23:22.960]  My blood pressure has normalized.
[00:23:22.960 --> 00:23:25.263]  My diabetes has totally improved.
[00:23:25.263 --> 00:23:29.669]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:23:29.669 --> 00:23:31.891]  I recommend Heart and Body Extract to everyone.
[00:23:31.891 --> 00:23:39.661]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:23:39.821 --> 00:23:42.182]  Order your two-month supply today by calling 866-295-5305.
[00:23:42.182 --> 00:23:42.663]  That's 866-295-5305.
[00:23:42.663 --> 00:23:44.564]  Or order online at HBextract.com.
[00:23:44.564 --> 00:23:46.444]  Heart and Body Extract, 866-295-5305.
[00:23:46.444 --> 00:23:47.245]  Or HBextract.com.
[00:23:58.360 --> 00:24:01.021]  Break the law and you're caught on film.
[00:24:01.021 --> 00:24:06.044]  Practically impossible for police to spot plates that have been treated with a reflective spray.
[00:24:06.044 --> 00:24:07.985]  The reflection blinded our camera.
