[00:00:00.029 --> 00:00:00.271]  What's up?
[00:04:16.132 --> 00:04:29.341]  Ladies and gentlemen, we are live broadcasting worldwide on this Monday, December 23rd, 2019 transmission.
[00:04:29.341 --> 00:04:36.345]  You know, one of my greatest frustrations is one of my greatest joys.
[00:04:36.345 --> 00:04:39.848]  It's that my crew, our reporters, our researchers just churn out
[00:04:41.417 --> 00:04:44.900]  Five-star research and information.
[00:04:44.900 --> 00:04:46.501]  Like that John Bowne report.
[00:04:46.501 --> 00:04:49.404]  That is so incredibly important.
[00:04:49.404 --> 00:04:50.305]  Shadowband everywhere.
[00:04:50.305 --> 00:04:52.407]  The only place you're going to find it is at Band.Video.
[00:04:52.407 --> 00:04:54.969]  And if you get excited to share it, millions will see it.
[00:04:54.969 --> 00:04:56.350]  If not, the enemy will win.
[00:04:56.350 --> 00:04:57.491]  We'll be right back with the full launch.
[00:04:59.344 --> 00:05:07.487]  It's your last chance to get the original designer limited-edition Jeffrey Epstein Christmas sweater.
[00:05:07.487 --> 00:05:17.871]  The globalists are so scared of this story continuing to come out for people learning about the deep state and the international blackmail rings using kidnapped women and children.
[00:05:18.251 --> 00:05:20.472]  to compromise world leaders.
[00:05:20.472 --> 00:05:33.335]  They do not want this story continuing and this is your last chance to get the limited edition Christmas sweater at InfoWarsTore.com to help spread the word, to have a piece of history, and to fund our operation.
[00:05:33.335 --> 00:05:39.376]  So, again, it says Christmas lights are a lot like Epstein but these things don't hang themselves on the front.
[00:05:39.376 --> 00:05:43.918]  On the back it's got InfoWars.com and shows the O in InfoWars as a wreath.
[00:05:43.918 --> 00:05:44.978]  It's also a noose
[00:05:45.558 --> 00:05:49.220]  The system can't stand it when you promote things at the grassroots level.
[00:05:49.220 --> 00:05:53.422]  They can't stand it when you fund independent, pro-America, pro-human media.
[00:05:53.422 --> 00:05:57.404]  That's why you've got to take advantage of this shirt and get it today.
[00:05:57.404 --> 00:05:58.265]  NymphoWarStore.com.
[00:06:10.191 --> 00:06:11.311]  Big Brother.
[00:06:11.311 --> 00:06:13.092]  Mainstream media.
[00:06:13.092 --> 00:06:14.992]  Government cover-ups.
[00:06:14.992 --> 00:06:16.692]  You want to stop tyranny?
[00:06:16.692 --> 00:06:18.373]  Well, so does he.
[00:06:18.373 --> 00:06:30.295]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:30.295 --> 00:06:35.096]  I made a promise to you on air.
[00:06:35.096 --> 00:06:37.537]  And I intend to keep it.
[00:06:37.537 --> 00:06:39.237]  I made a promise to my family.
[00:06:41.317 --> 00:06:45.200]  And my friends, and my neighbors, and my community, and I intend to keep it.
[00:06:45.200 --> 00:06:48.823]  I made a promise to myself.
[00:06:48.823 --> 00:06:51.665]  And I intend to keep it.
[00:06:51.665 --> 00:06:53.987]  But I'll tell you who I really made a promise to a long time ago.
[00:06:53.987 --> 00:06:58.030]  And that was God.
[00:06:58.030 --> 00:07:03.235]  I've experienced God's presence.
[00:07:03.235 --> 00:07:06.677]  And I keep my personal experiences to myself.
[00:07:06.677 --> 00:07:07.218]  At least for now.
[00:07:10.026 --> 00:07:18.431]  But I take that pledge to God very, very serious.
[00:07:18.431 --> 00:07:26.915]  But it's in pledging yourself to a worthy cause that God is able to enter your life.
[00:07:26.915 --> 00:07:36.580]  Because God isn't a rapist like the devil.
[00:07:36.580 --> 00:07:37.121]  And the Bible
[00:07:38.120 --> 00:07:47.468]  And Christ talks about, we are the bride and God is the groom.
[00:07:47.468 --> 00:08:03.582]  And to say that it's physically sexual is not correct, but it is spiritual union with God and a marriage.
[00:08:03.582 --> 00:08:06.164]  Just as Adam created Eve,
[00:08:07.637 --> 00:08:13.721]  God created us so that God would not be lonely in the universe.
[00:08:13.721 --> 00:08:17.263]  It's all hidden right there on the face of it.
[00:08:17.263 --> 00:08:26.108]  But the profane cannot understand it.
[00:08:26.108 --> 00:08:31.031]  And they work around the clock trying to keep you from learning those secrets.
[00:08:36.533 --> 00:08:40.615]  I'm really proud of this whole crew.
[00:08:40.615 --> 00:08:43.916]  They're present, they're conscious, they're focused.
[00:08:43.916 --> 00:08:59.964]  But my greatest frustration is that we have so much incredible information, and then we get it out, but then if we don't promote it, and if we don't point out how important it is, you don't promote it and point out how important it is, and it dies on the vine.
[00:08:59.964 --> 00:09:01.725]  Because as much as I love our core audience,
[00:09:03.103 --> 00:09:07.785]  You're the jump point to everybody else to win this fight.
[00:09:07.785 --> 00:09:11.486]  You're the gun with the bullets loaded in it.
[00:09:11.486 --> 00:09:13.366]  Infowars is the ammunition.
[00:09:13.366 --> 00:09:14.827]  You are the gun.
[00:09:14.827 --> 00:09:17.228]  You are the artillery.
[00:09:17.228 --> 00:09:18.568]  You're the missile launcher.
[00:09:18.568 --> 00:09:20.189]  You're the particle beam.
[00:09:20.189 --> 00:09:27.251]  You're the bomber.
[00:09:27.251 --> 00:09:29.632]  You fire the weapon, the truth.
[00:09:31.544 --> 00:09:33.885]  That's why I'm always trying to explain, hey, you're really critical.
[00:09:33.885 --> 00:09:36.627]  Hey, you're as important as I am or more.
[00:09:36.627 --> 00:09:38.587]  That's not to make you feel important.
[00:09:38.587 --> 00:09:43.510]  It's because you are important.
[00:09:43.510 --> 00:09:47.452]  And so I see these reports like the one John Bowne just put out.
[00:09:47.452 --> 00:09:50.453]  That's only on Banned.Video in the John Bowne section.
[00:09:50.453 --> 00:09:53.395]  It needs to be shared everywhere.
[00:09:53.395 --> 00:09:57.877]  Banned Soros from the USA.
[00:09:57.877 --> 00:09:59.558]  By the way, he's banned in a whole bunch of countries.
[00:10:03.953 --> 00:10:04.814]  Look at those reports.
[00:10:04.814 --> 00:10:10.679]  Those need to get out to everybody.
[00:10:10.679 --> 00:10:17.806]  Those are bullets, politically, spiritually, that need to be fired at the enemy.
[00:10:17.806 --> 00:10:20.609]  And you do that by getting them out to people that don't know what's going on.
[00:10:21.974 --> 00:10:36.861]  When Fox News even tries to have Judicial Watch on, Lou Dobbs, they go, hey, he still has these people in the State Department, here's their names, and they're still getting $5 billion a year on average to fund international operations and then to work against America's interest.
[00:10:36.861 --> 00:10:45.826]  Fox News threatened to fire Dobbs, they threatened to cancel his show, they said we'll never have Judicial Watch's head on again.
[00:10:45.826 --> 00:10:48.147]  Because what he said was true, it's what we were saying.
[00:10:50.737 --> 00:10:55.840]  So if you ever say the truth, it's game over.
[00:10:55.840 --> 00:11:10.047]  That's why when the Attorney General came out on Fox News three days ago, they did an interview a week ago, but they've been doling out the clips.
[00:11:10.047 --> 00:11:16.390]  When they released the second tranche of the interview this weekend, last weekend,
[00:11:20.652 --> 00:11:31.698]  He said Soros is basically putting district attorneys in so they can have organized crime takeover, which is true, which is outrageous, which is sensational.
[00:11:31.698 --> 00:11:34.860]  So it's those great truths that aren't supposed to be said.
[00:11:34.860 --> 00:11:40.083]  They're trying to shut us down, namely for exposing Soros, and now the Attorney General's doing it.
[00:11:41.058 --> 00:11:43.239]  You don't just think he's saying that for no reason.
[00:11:43.239 --> 00:11:45.040]  He knows exactly what he's doing.
[00:11:45.040 --> 00:11:52.204]  Just like when he called Comey a liar last week and said Comey ran the illegal investigations and perjured himself to Congress.
[00:11:52.204 --> 00:11:55.566]  We all know that.
[00:11:55.566 --> 00:12:01.310]  But to have the Attorney General say it lets you know they are preparing to take action.
[00:12:01.310 --> 00:12:06.393]  He also said last week that they're preparing criminal action against Big Tech.
[00:12:06.393 --> 00:12:08.474]  That they may not go with the antitrust.
[00:12:08.474 --> 00:12:10.295]  And of course they know the crimes they've been committing.
[00:12:12.572 --> 00:12:14.113]  Stealing advertising money.
[00:12:14.113 --> 00:12:17.435]  Spying on people illegally.
[00:12:17.435 --> 00:12:26.359]  Inflating numbers.
[00:12:26.359 --> 00:12:30.602]  So, the fight's on.
[00:12:30.602 --> 00:12:30.762]  Now...
[00:12:32.594 --> 00:12:34.275]  My frustration is, we get behind.
[00:12:34.275 --> 00:12:41.601]  We have a piece about homeless being confirmed to be microchipped that we've just been so busy adding some things to and some research we haven't aired.
[00:12:41.601 --> 00:12:42.862]  Should have been out two weeks ago.
[00:12:42.862 --> 00:12:47.426]  Nobody's fault.
[00:12:47.426 --> 00:12:49.047]  Lost another pin somehow.
[00:12:49.047 --> 00:12:55.312]  It keeps happening on my hand.
[00:12:55.312 --> 00:12:57.494]  So we have all those big developments unfolding.
[00:13:02.267 --> 00:13:17.870]  We are going to release either late tonight, because I'm not going to sit on this, or tomorrow morning, the next big information deluge on Jeffrey Epstein.
[00:13:17.870 --> 00:13:30.392]  And just as we've been trailblazers on that from the beginning, we are going to trailblaze the new big path into the ongoing media cover-up, the same organizations and groups engage in the same type of procurement,
[00:13:32.659 --> 00:13:39.801]  And just exactly what Epstein really was doing, and what he's a window into.
[00:13:39.801 --> 00:13:54.865]  I'm going to tape this special report this afternoon, and then if it's ready tonight, I'm going to stay up here late tonight, with the individual I'm putting it together with, Rob Dew, and the whistleblower.
[00:13:59.520 --> 00:14:05.044]  And then we're either going to release it tonight or early tomorrow morning.
[00:14:05.044 --> 00:14:15.952]  Then we've shot over three days a big vaccine danger special that just shows the admissions, the total proof, what everybody needs to see.
[00:14:15.952 --> 00:14:21.416]  That's going to be posted to InfoWars.com and Band.Video on Christmas morning.
[00:14:21.416 --> 00:14:23.878]  And I hope everybody on Christmas morning
[00:14:25.503 --> 00:14:28.464]  We'll go to Bandot video, it'll be right there as a featured video.
[00:14:28.464 --> 00:14:32.906]  And I hope you'll share that with everyone you know, because it's what they don't want you to know.
[00:14:32.906 --> 00:14:40.949]  Cut and dry, total proof that the vaccines are being spiked by design, on purpose, as population control.
[00:14:40.949 --> 00:14:42.829]  That is coming up.
[00:14:42.829 --> 00:14:47.851]  So today we just posted part one of the Clinton body count film.
[00:14:47.851 --> 00:14:51.933]  I had one of my best researchers spend a month of his time, and we don't have an extra crew.
[00:14:53.424 --> 00:14:55.406]  Greg Reese to put this out.
[00:14:55.406 --> 00:14:56.547]  Very well produced.
[00:14:56.547 --> 00:14:57.788]  Very powerful.
[00:14:57.788 --> 00:14:59.790]  Ties into the whole deep state today.
[00:14:59.790 --> 00:15:01.071]  Part one.
[00:15:01.071 --> 00:15:02.192]  That's out today.
[00:15:02.192 --> 00:15:04.934]  I'm going to air it for TV and radio stations today.
[00:15:04.934 --> 00:15:05.655]  Commercial free.
[00:15:05.655 --> 00:15:06.516]  6 p.m.
[00:15:06.516 --> 00:15:06.896]  Central.
[00:15:06.896 --> 00:15:10.559]  And I'll be here introducing it and then commenting afterwards.
[00:15:10.559 --> 00:15:13.402]  In between shooting the big report on Epstein.
[00:15:13.402 --> 00:15:14.823]  Then I'm going to do that at 6 p.m.
[00:15:14.823 --> 00:15:16.264]  tonight.
[00:15:16.264 --> 00:15:18.206]  Infowars.com forward slash show.
[00:15:18.206 --> 00:15:18.867]  It just went up.
[00:15:21.567 --> 00:15:23.089]  Late last night.
[00:15:23.089 --> 00:15:23.830]  It needs to be shared.
[00:15:23.830 --> 00:15:25.812]  It's on the front page of InfoWars.com.
[00:15:25.812 --> 00:15:26.633]  Must watch film.
[00:15:26.633 --> 00:15:28.254]  New look at the Clinton body count.
[00:15:28.254 --> 00:15:30.997]  Part one.
[00:15:30.997 --> 00:15:37.545]  So I committed to you to work even harder in the waning hours of 2019 and 2020 and we're doing it.
[00:15:40.182 --> 00:15:44.707]  But you have to understand, you are not the other half of the equation.
[00:15:44.707 --> 00:15:45.368]  You are 99.999999999% of it.
[00:15:45.368 --> 00:15:47.130]  Just like when a sperm and egg come together.
[00:15:53.931 --> 00:15:57.994]  It's the womb and the placenta that are 99.9% of it.
[00:15:57.994 --> 00:16:01.456]  I'm here with Scott Youseum, founder of OMG Tax.
[00:16:01.456 --> 00:16:06.319]  Tell us how your company helps our listeners out there who have a problem with the IRS.
[00:16:06.319 --> 00:16:12.723]  My team of lawyers, enrolled agents, and licensed tax experts remove wage garnishments sometimes in the same day.
[00:16:12.723 --> 00:16:18.086]  We even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[00:16:18.186 --> 00:16:20.607]  Can you give us an example of somebody you help?
[00:16:20.607 --> 00:16:22.047]  Oh, can I ever?
[00:16:22.047 --> 00:16:27.209]  We have taken a $500,000 liability with the IRS.
[00:16:27.209 --> 00:16:27.969]  Guess what?
[00:16:27.969 --> 00:16:33.010]  The client didn't pay a dime through the representation known as non-collectible status with the government.
[00:16:33.010 --> 00:16:43.293]  If you owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[00:16:43.533 --> 00:16:43.813]  Call 800-486-8112.
[00:16:43.813 --> 00:16:43.873]  800-486-8112.
[00:16:43.873 --> 00:16:43.933]  800-486-8112.
[00:16:43.933 --> 00:16:44.274]  That's 800-486-8112.
[00:16:44.274 --> 00:16:54.440]  Attention GCN self-reliance listeners, if you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:17:08.729 --> 00:17:18.055]  Bill Hyde here, and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[00:17:18.055 --> 00:17:23.338]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:17:23.338 --> 00:17:35.406]  Because of the flooding, we've had to move a lot of our inventory to a temporary location, and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[00:17:35.506 --> 00:17:36.767]  So here's what you should do right now.
[00:17:36.767 --> 00:17:41.051]  Check out the PPX microgrid system at MyOwnPowerGrid.com.
[00:17:41.051 --> 00:17:43.293]  That's MyOwnPowerGrid.com.
[00:17:43.293 --> 00:17:47.436]  Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[00:17:47.436 --> 00:17:48.097]  And the best part?
[00:17:48.097 --> 00:17:49.298]  You're not going to pay $750 or $500, $300 or even $200.
[00:17:49.298 --> 00:17:50.699]  Go to MyOwnPowerGrid.com to learn more.
[00:17:50.699 --> 00:17:51.200]  That's MyOwnPowerGrid.com.
[00:18:04.671 --> 00:18:08.075]  I thought that you'd want what I want.
[00:18:08.075 --> 00:18:14.744]  I'm sorry, my dear.
[00:18:14.744 --> 00:18:17.066]  But where are the clowns?
[00:18:17.066 --> 00:18:18.428]  Send in the clowns.
[00:18:28.071 --> 00:18:32.653]  The globalists have sent in the clowns.
[00:18:32.653 --> 00:18:34.454]  They've sent in Antifa.
[00:18:34.454 --> 00:18:38.476]  They've broken our borders with some of the most hardened criminals from around the world.
[00:18:38.476 --> 00:18:42.458]  They've tried to poison us with fluoride and GMO and the tainted vaccines.
[00:18:42.458 --> 00:18:43.719]  They've sent in their clowns.
[00:18:44.119 --> 00:18:49.787]  But now, the men and women of America are taking action and confronting globalists everywhere.
[00:18:49.787 --> 00:18:52.570]  And I'm so proud of InfoWars leading the charge.
[00:18:52.570 --> 00:18:58.638]  But the only way we can do that is when you keep spreading the word about our broadcast and when you keep buying the great products at InfoWarsTour.com.
[00:18:59.748 --> 00:19:02.669]  Infowars doesn't have an audience.
[00:19:02.669 --> 00:19:19.057]  We have listeners, men and women, who bleed red blood, who are part of the human race, of every color, of every creed, who understand that evil is launching its full attack upon humanity now, and who are ready to stand and fight against the globalist scourge.
[00:19:19.057 --> 00:19:22.039]  And I need all of you to realize that you're the best we've got.
[00:19:22.879 --> 00:19:24.240]  InfoWars is the best we've got.
[00:19:24.240 --> 00:19:26.421]  We're not perfect, but we're fighting hard.
[00:19:26.421 --> 00:19:32.164]  And we need your financial support now more than ever to stay on the air.
[00:19:32.164 --> 00:19:36.906]  Not just to expand in the face of the enemy, but just to stay on air.
[00:19:36.906 --> 00:19:38.047]  So I'm telling you, right now.
[00:19:38.627 --> 00:19:40.128]  I need you to step up to the plate.
[00:19:40.128 --> 00:19:45.169]  Go to m4warstore.com and get great products that you already really need.
[00:19:45.169 --> 00:19:47.370]  The 12 days of Christmas is almost over.
[00:19:47.370 --> 00:19:49.290]  Some of the biggest sales of the year.
[00:19:49.290 --> 00:19:50.491]  Take advantage of them.
[00:19:50.491 --> 00:19:54.372]  Get store-wide free shipping, double patriot points, and so much more.
[00:19:54.372 --> 00:19:57.733]  But whatever you do, do your shopping at m4warstore.com.
[00:19:57.733 --> 00:20:02.374]  Thank you and Merry Christmas.
[00:20:02.374 --> 00:20:05.055]  You're listening to the Alex Jones Show.
[00:20:17.655 --> 00:20:29.822]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[00:20:29.822 --> 00:20:37.446]  I've been interviewing Dr. Steve McKinnick, who really was a spy chief, really did overthrow governments on record.
[00:20:37.446 --> 00:20:41.308]  The character Jack Ryan's based on for 18 years.
[00:20:43.567 --> 00:20:44.687]  Since 2002, since early 2002.
[00:20:44.687 --> 00:20:49.449]  February 2002 is the first time I've ever interviewed him.
[00:20:49.449 --> 00:20:54.590]  He's gonna be on with us for an hour and a half, starting at the bottom of the next hour, to cover the waterfront.
[00:20:54.590 --> 00:21:00.932]  A lot of stuff he just wants to get out there before this year ends.
[00:21:00.932 --> 00:21:07.054]  And he's ready to release a lot of information.
[00:21:07.054 --> 00:21:07.914]  I'll just leave it at that.
[00:21:10.609 --> 00:21:15.692]  But he is a patriot, he does care about the country, and he has a wide spectrum understanding of what's going on.
[00:21:15.692 --> 00:21:19.694]  So just a lot coming out today.
[00:21:19.694 --> 00:21:26.397]  Now, I'm going to take off a few days, but we have some really powerful rebroadcasts lined up for you.
[00:21:26.397 --> 00:21:32.860]  I'm going to be spending some time with the family, but other time getting other projects done and completed.
[00:21:32.860 --> 00:21:37.303]  And I'll be back Friday live.
[00:21:37.303 --> 00:21:37.943]  We're live right now.
[00:21:39.107 --> 00:21:41.968]  And there'll be other reports coming out as well.
[00:21:41.968 --> 00:21:45.749]  And if big events take place, you can just go to InfoWars, I'll be live.
[00:21:45.749 --> 00:21:51.031]  One way or another.
[00:21:51.031 --> 00:21:56.113]  Because we're living in a quickening right now.
[00:21:56.113 --> 00:22:03.355]  Now, I want to cover some of the contemporaneous news when we come back, but I just want to finish up here.
[00:22:08.942 --> 00:22:13.526]  Speaking to something.
[00:22:13.526 --> 00:22:21.254]  The establishment knows they can't hide the evil things they're into and that they do.
[00:22:21.254 --> 00:22:27.960]  And so they want to normalize all of it and that's what you see desperately going on with infanticide and
[00:22:31.172 --> 00:22:42.159]  Pedophilia and Satanism being mainlined is because they know there's a big pushback against them and they're just trying to condition us to accept it.
[00:22:42.159 --> 00:22:52.285]  That's why it's critical that this broadcast particularly never act as a desensitizer.
[00:22:52.285 --> 00:22:55.688]  They miscalculated many years ago and I've confirmed this and they've admitted it.
[00:22:56.513 --> 00:23:00.856]  Because they believe my broadcast was acting as a desensitizer.
[00:23:00.856 --> 00:23:08.562]  And they believe that I would scare people by telling them the truth, but at a limited scale.
[00:23:08.562 --> 00:23:14.947]  Not that I was limiting the truth, but that it wasn't getting out on what they saw as a credible national scale.
[00:23:14.947 --> 00:23:21.112]  So they believe it would psychologically inoculate people to not think it was a big deal when it officially came out.
[00:23:21.112 --> 00:23:23.794]  And they thought I would scare people that were in the know
[00:23:24.991 --> 00:23:27.933]  Who weren't part of it to then not oppose it.
[00:23:27.933 --> 00:23:30.574]  Well, I believe people had courage.
[00:23:30.574 --> 00:23:32.876]  I believe people cared about their children.
[00:23:32.876 --> 00:23:36.778]  I believe people were just distracted and busy and asleep.
[00:23:36.778 --> 00:23:44.203]  And that if you were told the truth, you were going to be just like me and get pissed off and angry and want to do something about it.
[00:23:44.203 --> 00:23:49.066]  And of course, I bet on your red blood, and I bet right, didn't I?
[00:23:50.779 --> 00:23:57.304]  You know, it was 3% started and saw through the Revolutionary War against the Empire, never been defeated.
[00:23:57.304 --> 00:24:07.733]  Ladies and gentlemen, we probably got 30% of the public hardcore aware now and know how the system works.
[00:24:07.733 --> 00:24:11.496]  It was probably 10% five years ago.
[00:24:11.496 --> 00:24:16.580]  When you got 30% aware of what's going on,
[00:24:18.493 --> 00:24:27.737]  If they decide to move and take action, economically, militarily, spiritually, it's over.
[00:24:27.737 --> 00:24:29.698]  So I'm going to explain something here.
[00:24:29.698 --> 00:24:34.040]  This isn't an overly positive statement, it's the truth.
[00:24:34.040 --> 00:24:35.101]  We have won.
[00:24:35.101 --> 00:24:42.584]  And we won back at Calvary with Jesus Christ, when God took on our sins as a sacrifice.
[00:24:46.553 --> 00:24:48.894]  And gave us an example to live by.
[00:24:48.894 --> 00:24:55.898]  But, we've really won now, and the globalists know that, they just want to take as many innocent people with them as they can.
[00:24:55.898 --> 00:25:02.321]  As many souls.
[00:25:02.321 --> 00:25:09.145]  Unless, we just get normalized that okay, all this devil worship and evil stuff's going on, Satanism.
[00:25:11.653 --> 00:25:13.793]  And then we don't do anything about it.
[00:25:13.793 --> 00:25:20.795]  If it just comes out in the open and then nothing happens to them, well then they could grab victory from the jaws of defeat.
[00:25:20.795 --> 00:25:29.856]  And that's why they're putting satanic altars at major capitals.
[00:25:29.856 --> 00:25:33.357]  That's why they're teaching all the occultism in schools.
[00:25:33.357 --> 00:25:35.217]  Saying you can't hand out Christmas cards.
[00:25:35.217 --> 00:25:39.518]  That's why they're saying mothers and fathers are a bad word.
[00:25:40.555 --> 00:25:44.418]  That's why the ACLU is pushing for tampon machines in all men's bathrooms.
[00:25:44.418 --> 00:25:46.981]  It's an overthrow of common sense and reality.
[00:25:46.981 --> 00:25:48.802]  And that's why I'm not going to do it again today.
[00:25:48.802 --> 00:25:49.543]  I did it yesterday.
[00:25:49.543 --> 00:26:02.414]  I'm not going to air five-minute compilations of mainstream TV saying, kill babies, it's fun, it's empowering for women, it'll make you God.
[00:26:02.414 --> 00:26:03.575]  We do it for Satan.
[00:26:03.575 --> 00:26:05.136]  They're not doing that to just shock us.
[00:26:05.136 --> 00:26:08.259]  They're doing that to overwhelm us because they know that's coming out.
[00:26:12.415 --> 00:26:20.977]  But I could show you all the feminist magazines and the universities saying it's sexually pleasurable to kill your child, which of course it's not.
[00:26:20.977 --> 00:26:22.817]  Increases cancer risk.
[00:26:22.817 --> 00:26:23.857]  It's fun.
[00:26:23.857 --> 00:26:29.818]  It makes you God.
[00:26:29.818 --> 00:26:32.819]  I could sit there and put this up on screen.
[00:26:32.819 --> 00:26:38.480]  The so-called tranny that simulates murdering babies and is a witch in a Satanism coven.
[00:26:40.503 --> 00:26:50.625]  And then this gets promoted by the left and funded by city programs in New York.
[00:26:50.625 --> 00:26:52.306]  This is cancer.
[00:26:52.306 --> 00:26:56.787]  And it wants to normalize itself to you.
[00:26:56.787 --> 00:27:06.369]  But here is Michelle Wolf in her latest event, on stage in front of a couple thousand people, cheering, talking about a mother killing her baby.
[00:27:07.958 --> 00:27:10.440]  So that she has power and plays God.
[00:27:10.440 --> 00:27:14.143]  There's never been a more satanically pure statement made.
[00:27:14.143 --> 00:27:17.905]  This is the definition of satanism.
[00:27:17.905 --> 00:27:18.946]  Here it is.
[00:27:18.946 --> 00:27:25.431]  You know, we talk about it so negatively that you feel like you should have this sense of shame after you get an abortion.
[00:27:25.431 --> 00:27:28.213]  Or you can feel any way you want after you get an abortion.
[00:27:28.213 --> 00:27:29.494]  Get one!
[00:27:29.494 --> 00:27:32.876]  See how you feel!
[00:27:32.876 --> 00:27:35.578]  You know how my abortion made me feel?
[00:27:35.578 --> 00:27:36.419]  Very powerful.
[00:27:37.352 --> 00:27:38.993]  You know how people say you can't play God?
[00:27:38.993 --> 00:27:52.041]  I walked out of there being like, move over Morgan Freeman, I am God!
[00:27:52.041 --> 00:27:53.762]  Don't knock it till you try it.
[00:27:53.762 --> 00:27:57.484]  And when you do try it, really knock it.
[00:27:57.484 --> 00:28:03.248]  You know, you gotta get that baby out of there.
[00:28:03.248 --> 00:28:05.990]  Normalizing that a mother's power
[00:28:07.330 --> 00:28:24.384]  Is killing her baby for her own satanic selfishness, and enjoying it, and cheering it, and then having men pose as women and take over the powerful role, the magic role, of the woman, and then saying, in that role, I kill babies.
[00:28:24.384 --> 00:28:25.164]  This is their religion.
[00:28:25.164 --> 00:28:30.288]  This is what goes on in these cults of selfishness.
[00:28:30.288 --> 00:28:34.652]  Imagine how selfish you gotta be to torture a baby to death, to rape it, to drink its blood.
[00:28:37.082 --> 00:28:40.125]  And boy, you feel powerful, they say, after you do it.
[00:28:40.125 --> 00:28:44.130]  No, you feel damned and cut off from God.
[00:28:44.130 --> 00:28:50.096]  And that's why these enemies want to shut us down, so that when they try to normalize all this, we can't call out the elephant in the room.
[00:28:50.096 --> 00:28:51.918]  But because of you, we're still on air.
[00:28:51.918 --> 00:28:54.241]  Remember, it's all because of you.
[00:28:58.171 --> 00:29:00.133]  Heart disease is on the rise.
[00:29:00.133 --> 00:29:05.458]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:29:05.458 --> 00:29:07.040]  But the symptoms are there.
[00:29:07.040 --> 00:29:15.408]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:15.408 --> 00:29:21.094]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
