[00:00.000 --> 00:16.000]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[11:52.000 --> 11:56.000]  They put another 200 files out last night and we've scanned over most of them.
[11:56.000 --> 12:00.000]  But listeners, it's in the National Archives. We've got a link on infowars.com.
[12:00.000 --> 12:06.000]  We should probably top link it and just say, human intelligence, we need the people power.
[12:06.000 --> 12:12.000]  We need the people power to go through these because ladies and gentlemen,
[12:12.000 --> 12:19.000]  I've been up here broadcasting for hours today before we even did the regular syndicated radio TV program.
[12:19.000 --> 12:25.000]  And I was live time while they were kicking us off YouTube and Facebook on our proxy accounts.
[12:25.000 --> 12:34.000]  And I'm just here. I mean, I'm a guy 22 years on radio, proven benchmark of accuracy.
[12:34.000 --> 12:41.000]  They hate us. We've changed the world. They hate you. And they are just everywhere trying to shut us down in a lifetime.
[12:41.000 --> 12:50.000]  And it is because we're accurate. I mean, what are they going to do as world government gets openly announced and seeing it admits that Florida is giving kids brain damage.
[12:50.000 --> 12:59.000]  And they admit that diet sodas make you fat, give you brain damage. I've got the articles here today and they admit world governments tyrannical and wants to sterilize you.
[12:59.000 --> 13:09.000]  And they admit all this stuff. Our government's funding radical Islam and using radical Islam to exterminate regular Muslims and Christians and Jews.
[13:09.000 --> 13:15.000]  I mean, it's just what are they going to do when they thought they just ignored us for 22 years?
[13:15.000 --> 13:21.000]  And now everything we talked about is coming true exactly as we said. And why exactly as we said?
[13:21.000 --> 13:33.000]  Because it was in the documents. It was in a congressional committee that came a decade after the Warren Commission with witnesses in the same files about the shooters on the overpass and the grassy know.
[13:33.000 --> 13:40.000]  We even know their names. And then later we did the deathbed confessions.
[13:40.000 --> 13:47.000]  It's just there now admitting what we already knew. And this is a microcosm.
[13:47.000 --> 13:53.000]  I mean, I made films about the JFK assassination, put them online for free.
[13:53.000 --> 14:06.000]  And showed with E Howard Hunt's son, St. John Hunt and the late great Jim Mars where they shot from the overpass, where they shot from the grassy know how they had triangulation from behind.
[14:06.000 --> 14:11.000]  The FBI documents on all his wall being CIA.
[14:11.000 --> 14:21.000]  But the media ignored the congressional hearing on the JFK assassination that found he was killed by more than one gunman and probably the CIA working with La Cosa Nostra.
[14:21.000 --> 14:27.000]  They just killed the news and say, you're crazy. You're crazy. Congress had those hearings.
[14:27.000 --> 14:39.000]  And so now 53 years and 11 months later, 53 years, 11 months and a few days later.
[14:39.000 --> 14:44.000]  So 20 seconds coming up.
[14:44.000 --> 14:50.000]  They killed the president of the United States in Dallas, Texas, my hometown.
[14:50.000 --> 14:55.000]  He died in the hospital I was born in. Come into the world, come out of the world.
[14:55.000 --> 15:07.000]  And the Surgeon General's report in the FBI's report or read all the documents from the CIA said he was shot through the windshield into the throat blew out the back one of his vertebrates.
[15:07.000 --> 15:15.000]  As we always told you as the JFK film tells you Oliver Stone vindicated all of them indicated.
[15:15.000 --> 15:23.000]  The actors of the movie vindicated. Jim Garrison vindicated the Attorney General or the District of Turning down in New Orleans.
[15:23.000 --> 15:29.000]  Everybody vindicated the hundreds of witnesses that pointed to said the shots are coming from the grassy know and they overpassed them.
[15:29.000 --> 15:33.000]  You hear guns going off and smoke.
[15:33.000 --> 15:40.000]  Over 100 witnesses just there got killed. So you live to see it and it's all hidden in plain view in the corporate media will ignore it.
[15:40.000 --> 15:44.000]  But that's why they're dead. And then it gets even crazier.
[15:44.000 --> 15:48.000]  It gets even crazier. It's in the files photos of Hitler and South America.
[15:48.000 --> 15:54.000]  We already knew this, but now the photos and our government knew it's just incredible.
[15:54.000 --> 15:58.000]  Wow. Thanks to Trump. You're seeing it all.
[15:58.000 --> 16:03.000]  Enjoy all natural bath and beauty products with Emmerich's Essentials.
[16:03.000 --> 16:13.000]  We are proud to bring you a collection of organic based household products at infowarstore.com including non-nano SPF 30 zinc oxide sunscreen,
[16:13.000 --> 16:22.000]  date free herbal bug spray, concentrated peppermint mouthwash, unscented body wash, tea tree shampoo and long lasting natural deodorant.
[16:22.000 --> 16:26.000]  Emmerich's Essentials is free of chemicals and toxins that may harm your body.
[16:26.000 --> 16:32.000]  We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic.
[16:32.000 --> 16:37.000]  Our mission is to offer you everyday organic household products to enhance your life.
[16:37.000 --> 16:42.000]  Truly feel the difference by going organic natural without compromising on quality.
[16:42.000 --> 16:49.000]  Feel good about using Emmerich's Essentials. Start saving money and stop exposing yourself and your family to toxic ingredients.
[16:49.000 --> 16:55.000]  Visit infowarstore.com and learn more about the new Emmerich's Essentials line of organic products.
[16:55.000 --> 16:58.000]  That's infowarstore.com.
[17:25.000 --> 17:29.000]  We have biological warfare going on everywhere. These are all parasites.
[17:29.000 --> 17:31.000]  Tell us about all the stuff that's said. There's so many things that are in it.
[17:31.000 --> 17:36.000]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[17:36.000 --> 17:39.000]  I recommend doing the parasite cleanse at least twice a year.
[17:39.000 --> 17:42.000]  All right. Well, I'm glad we've got some back in because I'm going back on it today.
[17:42.000 --> 17:45.000]  It just came back in yesterday. Living Defense, infowarstore.com.
[17:45.000 --> 17:48.000]  And folks, you can't lose full of stuff that's great for your body, period.
[17:48.000 --> 17:54.000]  And you support the broadcast, infowarstore.com. Thank you Dr. Group from the Global Healing Center.
[17:54.000 --> 17:57.000]  Thank you so much for all your work, sir, on this great product.
[18:00.000 --> 18:04.000]  Thousands of years ago, there was a basic form of chivalry.
[18:04.000 --> 18:11.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[18:11.000 --> 18:17.000]  60 years ago, when foreign air forces were approaching filled with bombs,
[18:17.000 --> 18:20.000]  they had drums of their own, air raid sirens.
[18:20.000 --> 18:24.000]  But in the 21st century, there are silent weapons for quiet war.
[18:24.000 --> 18:30.000]  Pathogens added to the food and water, and to the lining of plastics that destroy our vitality,
[18:30.000 --> 18:34.000]  turn off our hormones, and accelerate our journey towards death.
[18:34.000 --> 18:37.000]  I personally counter this onslaught with Anthroplex.
[18:37.000 --> 18:43.000]  Anthroplex is designed with known, organic, concentrated herbs
[18:43.000 --> 18:49.000]  to create the basic foundation to normal metabolic activity inside the human body.
[18:49.000 --> 18:52.000]  Discover why Anthroplex has turned so many heads today.
[18:52.000 --> 18:58.000]  It's time for us to take our bodies back into our own hands, and it starts at infowarslife.com with Anthroplex.
[18:58.000 --> 19:05.000]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing
[19:05.000 --> 19:09.000]  to find the very best systems that God gave us through Mother Nature to detoxify the body.
[19:09.000 --> 19:14.000]  That's why I'm introducing ZShield, Toxic Metal and Chemical Defense Support.
[19:14.000 --> 19:21.000]  It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body
[19:21.000 --> 19:24.000]  and it supports the info war. It is a classical 360 win.
[19:24.000 --> 19:28.000]  This is the formula that I personally have been taking for over a year,
[19:28.000 --> 19:34.000]  and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[19:34.000 --> 19:39.000]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world
[19:39.000 --> 19:45.000]  that Patriots stay as healthy and as clean and as focused as you can be because we need you,
[19:45.000 --> 19:51.000]  the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[19:51.000 --> 19:54.000]  Thanks to your support and your prayers together, we're changing the world.
[19:54.000 --> 20:10.000]  Now it's time to change our bodies with ZShield and InfoWarsLive.com
[20:24.000 --> 20:40.000]  From the front lines of the information war, it's Alex Jones.
[20:40.000 --> 20:46.000]  What we are looking at is good and evil, right and wrong.
[20:46.000 --> 20:51.000]  Well, President Trump said that in military operations, we're not going to tell our enemies when we're coming.
[20:51.000 --> 20:56.000]  But he said when it came to secret government operations against the American people,
[20:56.000 --> 21:02.000]  and he said when it came to the JFK assassination and suppressed technology and secrets to the universe
[21:02.000 --> 21:06.000]  that have been discovered by DARPA and other groups, that we would start deploying that to the people
[21:06.000 --> 21:13.000]  to turn the economy on and empower humanity and push forward towards life extension technology.
[21:13.000 --> 21:18.000]  You name it. That's exciting.
[21:18.000 --> 21:23.000]  A lot more exciting than the World Series, which is the Astros and the Yankees or whatever.
[21:23.000 --> 21:26.000]  I know that's exciting and everything, but this is the big ball game.
[21:26.000 --> 21:31.000]  And you have lived to see the JFK files released by President Trump.
[21:31.000 --> 21:37.000]  And the media spun it on CNN and everywhere else like, this has nothing to do with Trump.
[21:37.000 --> 21:42.000]  It was time for him to be released. The law was passed in 92.
[21:42.000 --> 21:53.000]  And George Herbert Walker Bush and William Jefferson Clinton and George W. Bush and Barack Obama
[21:53.000 --> 21:57.000]  for seven different terms.
[21:57.000 --> 22:00.000]  Well, that's a long time.
[22:00.000 --> 22:08.000]  Is it seven? It's Bush had one, the Clinton's had two, Bush Jr. had two.
[22:08.000 --> 22:12.000]  Then Obama, I mean, it just makes your head spin.
[22:12.000 --> 22:14.000]  They didn't release it. Trump did.
[22:14.000 --> 22:20.000]  But like they say, Trump could find a cure to cancer or real leprechauns and pots of gold.
[22:20.000 --> 22:24.000]  And it doesn't matter. They wouldn't give them credit.
[22:24.000 --> 22:31.000]  So, ladies and gentlemen, they have released the files, all of them.
[22:31.000 --> 22:35.000]  And no wonder they wanted to suppress the money to get more into that coming up.
[22:35.000 --> 22:43.000]  Meanwhile, we've put out the names exclusively here of who's been indicted according to our sources
[22:43.000 --> 22:53.000]  and who is going to be arrested tomorrow and who's been told don't try to use your passport and don't try to leave the country.
[22:53.000 --> 23:01.000]  Urgent Paul Manafort and his campaign deputy will be indicted tomorrow morning with a third unidentified person.
[23:01.000 --> 23:06.000]  They're reporting a plane deputy Rick Gates is the other deputy.
[23:06.000 --> 23:09.000]  That's Manafort and then Rick Gates.
[23:09.000 --> 23:17.000]  They do not know the charge and the sources not know again, the third person or then later I learned who the person was,
[23:17.000 --> 23:19.000]  but they don't want that out because they don't want it.
[23:19.000 --> 23:21.000]  Nones. They haven't talked to him.
[23:21.000 --> 23:26.000]  So that's that get tomorrow's news today here at info horse.
[23:26.000 --> 23:27.000]  They want to shut us down.
[23:27.000 --> 23:29.000]  They do not like it.
[23:29.000 --> 23:35.000]  They don't have access to that or you having access to us to give us info and a symbiotic relationship.
[23:35.000 --> 23:40.000]  And now the media, even his friends, the New York Post are calling it a temper tantrum or whatever.
[23:40.000 --> 23:49.000]  Trump's in press conferences and tweets saying, man, Hillary got caught paying for the dossier that they got from the conservatives,
[23:49.000 --> 23:54.000]  so-called conservatives, you have Bush and others, and putting all the PP Gates stuff in there.
[23:54.000 --> 23:55.000]  Trump already knows all that.
[23:55.000 --> 23:56.000]  He has all the intelligence.
[23:56.000 --> 23:59.000]  But now because it's in the news, he's out talking about it.
[23:59.000 --> 24:01.000]  And John McCain's involved as well.
[24:01.000 --> 24:07.000]  Trump calls for prosecution of Democrats at reports of impending indictment in Russian probe.
[24:07.000 --> 24:10.000]  Do something, he says.
[24:10.000 --> 24:18.000]  Yeah, because all we got is his son going and trying to find out if Hillary was involved in the Russians, which she was.
[24:18.000 --> 24:20.000]  That's not collusion.
[24:20.000 --> 24:30.000]  But see, Manafort worked with the Podesta brothers decades ago, 15 years ago in Ukraine on legitimate U.S. government sponsored stuff.
[24:30.000 --> 24:36.000]  That's why they knew Manafort had gotten all sorts of offshore money and put it in offshore accounts, which is legal.
[24:36.000 --> 24:38.000]  That's how they set it up.
[24:38.000 --> 24:42.000]  They knew where his bodies were buried, even though they weren't really bodies.
[24:42.000 --> 24:47.000]  They knew that it was shady enough, at least, with the FBI, the way regulations are written.
[24:47.000 --> 24:49.000]  That's why they went after Manafort day one.
[24:49.000 --> 24:57.000]  Something Manafort could even have been a plant, even though he didn't know it.
[24:57.000 --> 25:03.000]  Oh, but now Mueller's investigating Democrat lobbyist Tony Podesta says NBC.
[25:03.000 --> 25:06.000]  They're being forced to do that to make it look like he's impartial.
[25:06.000 --> 25:17.000]  The guy himself is worse than the Podesta brothers and almost as bad as Hillary when it comes to being in bed with Russian companies and transferring uranium in suitcases to him.
[25:17.000 --> 25:23.000]  I mean, wow, who transfers weapons-grade uranium on tarmacs to the FSB?
[25:23.000 --> 25:26.000]  That's the KGB.
[25:26.000 --> 25:28.000]  And who runs the investigation now?
[25:28.000 --> 25:34.000]  It's like they were saying on Tucker Carlson last week, the only person not involved with Russia is Donald Trump.
[25:34.000 --> 25:44.000]  That's why they're going after him on something this corrupt, on something this big.
[25:44.000 --> 25:47.000]  If they want you to be corrupt, then they'll leave you alone.
[25:47.000 --> 25:48.000]  That's why they don't like Trump.
[25:48.000 --> 25:50.000]  He's not corrupt.
[25:50.000 --> 25:51.000]  They don't have any bodies.
[25:51.000 --> 25:52.000]  They don't have any skeletons.
[25:52.000 --> 25:54.000]  They don't have anything to get him.
[25:54.000 --> 25:56.000]  He's a one-woman man.
[25:56.000 --> 25:59.000]  Yeah, he's had three wives and some girlfriends, but he's with her.
[25:59.000 --> 26:00.000]  He's with you.
[26:00.000 --> 26:02.000]  And then when you're mean to him, he doesn't like you.
[26:02.000 --> 26:03.000]  He's gone.
[26:03.000 --> 26:07.000]  Just like I told you before, he said it in the press conference, he's a germaphobe, folks.
[26:07.000 --> 26:17.000]  He might take a woman when he's not even married out 20 times before he takes her upstairs if she wants a drink because he doesn't drink.
[26:17.000 --> 26:21.000]  I'm not going to get into what I've known, not from just Stone, but others about Trump.
[26:21.000 --> 26:28.000]  To say he's getting pee-peed on by Russians, you know, do you think a guy that wild wouldn't have been caught doing that before?
[26:28.000 --> 26:30.000]  Of course, it's turned out to be fake.
[26:30.000 --> 26:37.000]  Trump calls for prosecution of Democrats, has reports of impending indictments in Russia probe, do something, he says.
[26:37.000 --> 26:42.000]  Never seen such Republican anger and unity as I have concerned.
[26:42.000 --> 26:51.000]  The lack of investigation on Clinton made fake dossier now $12 million.
[26:51.000 --> 26:58.000]  Yeah, that's what they paid for somebody to make up that Trump got pissed on, excuse me.
[26:58.000 --> 27:03.000]  Trump demands Republicans do something in Twitter meltdown.
[27:03.000 --> 27:11.000]  No, you have Robert Mueller, Mueller, Mueller, Mueller.
[27:11.000 --> 27:16.000]  We need to make a promo with Mueller and Gays and Corruption playing Ferris Bueller day off clips.
[27:16.000 --> 27:19.000]  That's not funny.
[27:19.000 --> 27:26.000]  Literally, so in bed with the Russians, so paid off, so bought off, that's what globalism is, is selling your country out.
[27:26.000 --> 27:30.000]  I mean, there's a hundred times to sell out to China, but doesn't make the Russians tough okay.
[27:30.000 --> 27:35.000]  But what do you think the Russians are going to do when we've got people running the country literally selling the nation off?
[27:35.000 --> 27:37.000]  That's what globalists have left to starve.
[27:37.000 --> 27:42.000]  They tell us they hate America because to sell the country out, you gotta hate it.
[27:42.000 --> 27:46.000]  You ever wonder why a bank robber might just pistol whip the clerk for no reason?
[27:46.000 --> 27:51.000]  Because they know they're a jerk, they know they're scum, they're robbing people's savings, they're robbing a bank,
[27:51.000 --> 27:57.000]  and they feel guilty for what they've done, so they decide to be nasty and pistol whip the clerk while they're at it.
[27:57.000 --> 28:01.000]  And the left could have bankrupted America, could have controlled it, could have run in the ground,
[28:01.000 --> 28:06.000]  but they wanted it like hurt Christians and create race war and create all this division.
[28:06.000 --> 28:11.000]  And so it finally woke people up because they were so degenerate and so nasty.
[28:11.000 --> 28:17.000]  And now they've been caught in bed with every foreign government that had money to buy us off.
[28:17.000 --> 28:21.000]  And so they pointed at the guy that wanted to make the country great again, who wanted to bring the jobs back,
[28:21.000 --> 28:26.000]  who didn't want to sell us off, and they say, he's the traitor!
[28:26.000 --> 28:30.000]  Because that's all they can do.
[28:30.000 --> 28:32.000]  Here's another one.
[28:32.000 --> 28:35.000]  We'll get into it when we come back on Trump.
[28:35.000 --> 28:40.000]  But again, last Friday, all these lawmakers, including Democrats, including former CIA director Panetta,
[28:40.000 --> 28:45.000]  went on TV and said, this looks illegal, this is really bad, they lied about the dossier, they lied about Russia.
[28:45.000 --> 28:49.000]  Now, all that's out of the news, it's all in Diet Manafort.
[28:49.000 --> 28:51.000]  That's how you change the subject.
[28:51.000 --> 28:53.000]  That's how the swamp drains America.
[28:53.000 --> 29:19.000]  It's how the vampires suck our blood dry.
[29:19.000 --> 29:27.000]  The Prostagart formula does just that, with this mixture of plant-based nutrients and antioxidants that help give your body total support.
[29:27.000 --> 29:36.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[29:36.000 --> 29:40.000]  Prostagart is something that the men on the Info Wars crew take every day,
[29:40.000 --> 29:47.000]  and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[29:47.000 --> 29:50.000]  Now's the time to start naturally supporting your body.
[29:50.000 --> 29:55.000]  Get Prostagart on your side today, exclusively at InfoWarsLife.com.
[29:55.000 --> 30:18.000]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high-quality products and fund the InfoWars.
[30:18.000 --> 30:28.000]  We're giving you free shipping on all orders of about $50.
[30:28.000 --> 30:34.000]  Listeners have been requesting this for years, because it's so easy to forget to reorder the products that you need each month.
[30:34.000 --> 30:42.000]  Just go to InfoWarsStore.com, select your favorite product or products, click on AutoShip, and choose how often you want us to send you another order.
[30:42.000 --> 30:49.000]  As you know, I coined the term 360 win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[30:49.000 --> 30:51.000]  10% off on AutoShip.
[30:51.000 --> 30:55.000]  Win, win, win at InfoWarsLife.com, free shipping on orders of about $50.
[30:55.000 --> 30:59.000]  And all out of stock items are never out of stock when you sign up for AutoShip.
[30:59.000 --> 31:13.000]  It's not just going to have to end in the next week, the BrainForce Plus special 50% off, I'm going to have to end even sooner, our caveman, ultimate paleo bone broth, turmeric chaga mushroom, bee pollen, and more.
[31:13.000 --> 31:19.000]  Concentrate, you talk about next level meal replacement, next level compared to whey, and it's great to mix with whey and then make shakes.
[31:19.000 --> 31:27.000]  It's incredible, my son is growing like a weed using it, it's bigger than I am already, 15% incredible, it is amazing.
[31:27.000 --> 31:33.000]  InfoWarsLife.com, 50% off caveman, but only a few days left, it's about to end.
[31:33.000 --> 31:41.000]  And folks, the globalists hate it when you do this, we're the tip of the spear because we're fearless, we're bold, because we understand the stakes are too high.
[31:41.000 --> 31:43.000]  The globalists win, we're all slaves.
[31:43.000 --> 31:47.000]  So don't thank me for what I'm doing, I want to thank you, we're all in this together.
[31:47.000 --> 31:53.000]  And when you get the great Molan Lobby t-shirts, you get the great books and videos, you're fighting the tip of the spear.
[31:53.000 --> 31:58.000]  Again, visit infowarstore.com today and commit to helping the InfoWars.
[32:24.000 --> 32:28.000]  100% organic coffee at infowarslife.com.
[32:28.000 --> 32:35.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[32:35.000 --> 32:37.000]  Hands down, this is my favorite coffee.
[32:37.000 --> 32:42.000]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[32:42.000 --> 32:46.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed.
[32:46.000 --> 32:50.000]  Available in original or with our immune support infusion blend.
[32:50.000 --> 32:56.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[32:56.000 --> 33:21.000]  Available at infowarslife.com.
[33:21.000 --> 33:28.000]  From the front lines of the information war, it's Alex Jones.
[33:36.000 --> 33:39.000]  Alex Jones has been talking about this for years.
[33:39.000 --> 33:45.000]  The UN is to get UNESCO World Heritage site biosphere designation over the Alamo.
[33:45.000 --> 33:50.000]  Now they admit they're trying to get that designation so it's designated by tourists and people so they can go there.
[33:50.000 --> 33:53.000]  I get that, but I'm an expert on this.
[33:53.000 --> 33:55.000]  I made a film about it 16 years ago.
[33:55.000 --> 33:58.000]  They've had congressional testimonies, they've had legislative testimonies.
