[00:00:01.000 --> 00:00:03.000]  InfoWars, tomorrow's news, today.
[00:02:34.000 --> 00:02:38.000]  They've dissolved the borders. COVID-19 was a fraud.
[00:02:38.000 --> 00:02:41.000]  They knew the shots were hurting people.
[00:02:41.000 --> 00:02:45.000]  The mask hurt the children, didn't help you.
[00:02:45.000 --> 00:02:49.000]  Everything is coming out, and so that's a very, very positive situation.
[00:02:49.000 --> 00:02:57.000]  And now last week, and this week, we have FBI whistleblowers, senior-level people coming out and saying,
[00:02:57.000 --> 00:03:02.000]  we knew about Hunter Biden, we knew the laptop was real three-plus years ago,
[00:03:02.000 --> 00:03:08.000]  and we were ready to SWAT team him, and it was killed by the Justice Department.
[00:03:08.000 --> 00:03:10.000]  It was stopped by the Justice Department.
[00:03:10.000 --> 00:03:13.000]  Trump never got control of the Justice Department.
[00:03:13.000 --> 00:03:18.000]  At the top, the people at mid-level and even high-level, but not the highest levels, did their jobs.
[00:03:18.000 --> 00:03:26.000]  So we've got that breaking news with Kev McCarthy saying House will start impeachment inquiries against Merrick Garland in July 6th
[00:03:26.000 --> 00:03:31.000]  over IRS whistleblower evidence regarding Hunter Biden, huge developments.
[00:03:31.000 --> 00:03:41.000]  We also have one of the biggest FBI whistleblowers joining us, coming up in the third hour today, Kyle Serafin.
[00:03:41.000 --> 00:03:43.000]  He won't just get into the situation with Hunter Biden.
[00:03:43.000 --> 00:03:49.000]  He's going to look at the persecution of Christians being named, particularly Catholics, the number one terror threat in America,
[00:03:49.000 --> 00:03:51.000]  with zero evidence of that.
[00:03:51.000 --> 00:03:54.000]  Why would this evil Justice Department jump the shark?
[00:03:54.000 --> 00:04:00.000]  Well, why would Target sell T-shirts saying we're going to cut Christians' heads off and your children belong to us?
[00:04:00.000 --> 00:04:02.000]  Because this is a spirit.
[00:04:02.000 --> 00:04:03.000]  This is an agenda.
[00:04:03.000 --> 00:04:04.000]  They can't help it.
[00:04:04.000 --> 00:04:05.000]  That's coming up.
[00:04:05.000 --> 00:04:10.000]  We have Shemaine Nugent, an amazing lady who I've been trying to get to come on as a guest for years.
[00:04:10.000 --> 00:04:13.000]  She's been on many times with her incredible husband, Ted Nugent.
[00:04:13.000 --> 00:04:19.000]  She's got a new, incredibly important book coming out, but she is a flamethrower of truth and knowledge.
[00:04:19.000 --> 00:04:21.000]  She'll be in studio in Austin.
[00:04:21.000 --> 00:04:25.000]  I was supposed to be back last night, but she's still coming down with her son Rocco.
[00:04:25.000 --> 00:04:30.000]  She's going to be in studio, second hour today, in the Austin studios.
[00:04:30.000 --> 00:04:34.000]  And I'll be here in these amazing studios in Tampa, Florida.
[00:04:34.000 --> 00:04:37.000]  And then, of course, we have some other special guests.
[00:04:37.000 --> 00:04:41.000]  They're going to be in studio with us here in Florida as well.
[00:04:41.000 --> 00:04:46.000]  This guy is an amazing Russia expert, worked at the National Security Agency, you name it.
[00:04:46.000 --> 00:04:48.000]  Literally fought the Russians for decades.
[00:04:48.000 --> 00:04:53.000]  And we'll be talking to Pastor J.C. Hall.
[00:04:53.000 --> 00:04:59.000]  I was already aware of his work and his wife's work, but didn't know that they actually worked and go to this church.
[00:04:59.000 --> 00:05:00.000]  When I ran into him, I go, I know you guys.
[00:05:00.000 --> 00:05:06.000]  A lot of people have asked me, why is InfoWars Store at InfoWars Live not at a probiotic for more than three years?
[00:05:06.000 --> 00:05:07.000]  The answer is simple.
[00:05:07.000 --> 00:05:10.000]  We only bring you the highest quality at the lowest prices.
[00:05:10.000 --> 00:05:15.000]  We had a top maker, top certified of probiotics for more than seven years.
[00:05:15.000 --> 00:05:20.000]  They got bought by a libtard company and said, we're not doing business with you, Mr. Jones, anymore.
[00:05:20.000 --> 00:05:26.000]  Finally, we got a probiotic just as good or better with a top lab that loves our show.
[00:05:26.000 --> 00:05:30.000]  We're able to private label it under InfoWars MD as our probiotic formula.
[00:05:30.000 --> 00:05:37.000]  So you can get a super high quality probiotic for amazing gut health and more at InfoWarsStore.com for 25% off right now.
[00:05:37.000 --> 00:05:40.000]  Now, wherever you get your probiotics, it's something everybody should be doing.
[00:05:40.000 --> 00:05:42.000]  But I'm asking you to try our probiotic.
[00:05:42.000 --> 00:05:45.000]  I think you're going to have an amazing effect and it funds our entire operation.
[00:05:45.000 --> 00:05:49.000]  So get your InfoWars MD probiotic today at InfoWarsStore.com.
[00:05:49.000 --> 00:05:52.000]  It's a high quality formula and it keeps us on the air.
[00:05:52.000 --> 00:05:55.000]  Take action now at InfoWarsStore.com.
[00:05:56.000 --> 00:05:57.000]  Thank you.
[00:06:26.000 --> 00:06:41.000]  Ladies and gentlemen, again, thank you so much for joining us on this live Tuesday Worldwide broadcast.
[00:06:41.000 --> 00:06:46.000]  I am Alex Jones, your host, Shemaine Nugent, wife of Ted Nugent, an incredible lady.
[00:06:46.000 --> 00:06:50.000]  We'll be in studio with us in Austin, Texas, coming up next hour.
[00:06:50.000 --> 00:06:53.000]  I am remote from Florida at the Great River Church.
[00:06:54.000 --> 00:06:56.000]  I'll be coming back to Austin next Sunday.
[00:06:56.000 --> 00:07:01.000]  I'm about to go to Omaha, Nebraska, but I'll be broadcasting live throughout the week visiting some sick family.
[00:07:01.000 --> 00:07:03.000]  Again, we have Shemaine Nugent coming up.
[00:07:03.000 --> 00:07:07.000]  We have a major FBI whistleblower coming on the broadcast, Kyle Serafin.
[00:07:07.000 --> 00:07:14.000]  And then, of course, we have Russia experts and Constitution experts, Chris Ann Hall and her husband, J.C. Hall,
[00:07:14.000 --> 00:07:20.000]  who worked at the NSA as a Russia expert, coming on about the incredible developments that we see unfolding.
[00:07:20.000 --> 00:07:27.000]  We have the U.N. openly announcing control, not just of your health care, but of your speech, and major backlash against that.
[00:07:27.000 --> 00:07:32.000]  We have the Pentagon caught involved censoring Americans and a major blow against that tyranny.
[00:07:32.000 --> 00:07:37.000]  Congress has banned, or the House has banned, hasn't passed the Senate yet, but it's in the defense bill,
[00:07:37.000 --> 00:07:39.000]  them being involved censoring the American people.
[00:07:39.000 --> 00:07:41.000]  Thought that would be a no-brainer.
[00:07:41.000 --> 00:07:47.000]  Kevin McCarthy says the House will start impeachment inquiries against Merrick Garland by July 6th
[00:07:48.000 --> 00:07:50.000]  regarding Hunter Biden.
[00:07:50.000 --> 00:07:56.000]  We are also going to get some incredible statements by Trump and even more incredible statements on the side of Ebel by Biden,
[00:07:56.000 --> 00:07:59.000]  where he admits in public to selling national security secrets.
[00:07:59.000 --> 00:08:04.000]  He's gone from just having dementia to being completely, out of his mind, insane.
[00:08:04.000 --> 00:08:06.000]  We have got all of that coming out.
[00:08:06.000 --> 00:08:14.000]  And then also New York City's banning gas stoves and barbecues and charcoal stoves.
[00:08:14.000 --> 00:08:16.000]  We told you this was coming.
[00:08:16.000 --> 00:08:18.000]  It's no joke. It's part of the U.N. plan.
[00:08:18.000 --> 00:08:20.000]  California's moving to ban it as well.
[00:08:20.000 --> 00:08:24.000]  Places in Europe have already banned fireplaces and space heaters years ago.
[00:08:24.000 --> 00:08:26.000]  And single-family dwelling homes.
[00:08:26.000 --> 00:08:29.000]  This is total tyranny, cutting off your resources.
[00:08:29.000 --> 00:08:32.000]  They're also going to put giant congestion taxes on all cars entering the city.
[00:08:32.000 --> 00:08:33.000]  This is the model.
[00:08:33.000 --> 00:08:35.000]  You say, well, that's a hellhole. That's New York.
[00:08:35.000 --> 00:08:37.000]  It's the model of the takeover.
[00:08:37.000 --> 00:08:40.000]  If they get away with it now, there, it's coming to your town next year.
[00:08:40.000 --> 00:08:42.000]  So that's coming up.
[00:08:42.000 --> 00:08:45.000]  We've got such a big broadcast lined up for you today.
[00:08:45.000 --> 00:08:53.000]  But I wanted to air this very, very important report that really strikes at the heart of everything we're dealing with.
[00:08:53.000 --> 00:08:55.000]  And now it blew up in their face.
[00:08:55.000 --> 00:08:57.000]  Peter Hotez stepped in it big time.
[00:08:57.000 --> 00:08:58.000]  Here's the report.
[00:08:58.000 --> 00:09:14.000]  No adverse effects for the nose, throat, and sinuses.
[00:09:14.000 --> 00:09:19.000]  And it comes from a doctor who's been examining a group of Chesterfield smokers.
[00:09:19.000 --> 00:09:26.000]  As part of a program supervised by a responsible, independent research laboratory.
[00:09:26.000 --> 00:09:34.000]  Now, after a full year and four months, the doctor reports again.
[00:09:34.000 --> 00:09:40.000]  No adverse effects for the nose, throat, or sinuses from smoking Chesterfields.
[00:09:40.000 --> 00:09:41.000]  A COVID jab shill.
[00:09:41.000 --> 00:09:43.000]  Peter Hotez attacks Alex Jones.
[00:09:43.000 --> 00:09:45.000]  Claims he never took money from Big Pharma.
[00:09:45.000 --> 00:09:47.000]  He's really jumped the shark on this one.
[00:09:47.000 --> 00:09:49.000]  He's playing a shell game.
[00:09:49.000 --> 00:09:51.000]  He says, I take money from Bill Gates and the NIH.
[00:09:51.000 --> 00:09:53.000]  Well, that's the top.
[00:09:53.000 --> 00:09:55.000]  They pay for policy.
[00:09:55.000 --> 00:09:57.000]  And then the research is done.
[00:09:57.000 --> 00:10:01.000]  The dummy research that they've requested, the outcome they want.
[00:10:01.000 --> 00:10:05.000]  And then that is given back to Big Pharma.
[00:10:05.000 --> 00:10:11.000]  That then produces the poison and is given liability protection by the NIH and by the federal government.
[00:10:11.000 --> 00:10:16.000]  And then the money travels back to Bill Gates and a few other big companies.
[00:10:16.000 --> 00:10:18.000]  And it's tax-free foundation.
[00:10:18.000 --> 00:10:19.000]  Then he pays no taxes.
[00:10:19.000 --> 00:10:26.000]  About 10 years ago, we got approached by a group at the New York Blood Center, led by Shibu Jiang and Lan Ying Du,
[00:10:26.000 --> 00:10:29.000]  that had a pretty good idea for coronavirus vaccines.
[00:10:29.000 --> 00:10:32.000]  And at the time, nobody cared about coronavirus vaccines.
[00:10:32.000 --> 00:10:34.000]  They were sort of orphaned.
[00:10:34.000 --> 00:10:36.000]  And so we adopted it.
[00:10:36.000 --> 00:10:39.000]  What about Big Pharma being tax-exempt?
[00:10:39.000 --> 00:10:45.000]  And that's really what's happening here, is that Bill Gates brags, oh, I get 21 return on my vaccine investment.
[00:10:45.000 --> 00:10:49.000]  You've invested $10 billion in vaccinations over the last two decades.
[00:10:49.000 --> 00:10:51.000]  And you figured out the return on investment for that.
[00:10:51.000 --> 00:10:52.000]  And it kind of stunned me.
[00:10:52.000 --> 00:10:53.000]  Can you walk us through the math?
[00:10:53.000 --> 00:10:57.000]  It's been $100 billion overall that the world's put in.
[00:10:57.000 --> 00:11:01.000]  Our foundation is a bit more than $10 billion.
[00:11:01.000 --> 00:11:04.000]  But we feel there's been over a 20-to-1 return.
[00:11:04.000 --> 00:11:10.000]  So if you just look at the economic benefits, that's a pretty strong number compared to anything else.
[00:11:10.000 --> 00:11:12.000]  Potez has a lot.
[00:11:12.000 --> 00:11:23.000]  When I say a lot of nerve, I mean he has a lot of nerve to sit up there and tell the world that I am making this up.
[00:11:23.000 --> 00:11:26.000]  And what do you have to say to people who think they're vaccine injured?
[00:11:26.000 --> 00:11:28.000]  Anything for them?
[00:11:28.000 --> 00:11:32.000]  I mean, do you have anything to say to people that think?
[00:11:32.000 --> 00:11:35.000]  Do you have anything to say to people?
[00:11:35.000 --> 00:11:36.000]  Yeah.
[00:11:36.000 --> 00:11:39.000]  I mean, do you think vaccine injuries are real, Peter?
[00:11:39.000 --> 00:11:43.000]  Sure. He's worth $35 million on record.
[00:11:43.000 --> 00:11:45.000]  That's just what he shows on his taxes.
[00:11:45.000 --> 00:11:46.000]  $35 million.
[00:11:46.000 --> 00:11:50.000]  And the man is a pediatrician who runs a children's hospital.
[00:11:50.000 --> 00:11:52.000]  Think guinea pigs.
[00:11:52.000 --> 00:11:54.000]  And he thinks your children should be made to take shots.
[00:11:54.000 --> 00:11:57.000]  It's all about mask compliance.
[00:11:57.000 --> 00:11:59.000]  That's going to be absolutely critical.
[00:11:59.000 --> 00:12:02.000]  Because if you don't have masks, remember, this virus aerosolizes.
[00:12:02.000 --> 00:12:04.000]  So even six feet is not enough.
[00:12:04.000 --> 00:12:07.000]  It can go 17, 18 feet, several meters.
[00:12:07.000 --> 00:12:10.000]  What we really have to do is have vaccine mandates in the schools.
[00:12:10.000 --> 00:12:16.000]  We should have a rule that anyone who walks into a school over the age of 12 has to be vaccinated.
[00:12:16.000 --> 00:12:19.000]  This is the nature of the anti-vaccine movement in this country.
[00:12:19.000 --> 00:12:26.000]  It's somehow married now to far right wing extremism and white nationalist group.
[00:12:26.000 --> 00:12:34.000]  Anyone who's unvaccinated and has been lucky enough to escape COVID, your luck is about to run out.
[00:12:34.000 --> 00:12:36.000]  And I call it anti-science aggression.
[00:12:36.000 --> 00:12:41.000]  Coming from Senator Rand Paul, Senator Johnson, members of the House of Representatives,
[00:12:41.000 --> 00:12:44.000]  in addition to those two senators, are killers.
[00:12:44.000 --> 00:12:50.000]  Starting to see now those same anti-vaccine messages that's coming out of the U.S.
[00:12:50.000 --> 00:12:53.000]  And now we're finding it in Africa and Latin America.
[00:12:53.000 --> 00:12:58.000]  And remember what the other reason we're seeing this is the Putin government has,
[00:12:58.000 --> 00:13:00.000]  this has been reported by U.S. and British intelligence,
[00:13:00.000 --> 00:13:04.000]  has been piling on with this whole systematic program of what's been called
[00:13:04.000 --> 00:13:11.000]  weaponized health communications, trying to destabilize democracies with anti-vaccine, anti-science messages.
[00:13:11.000 --> 00:13:16.000]  The Biden administration has to realize that anti-science is a killer, disinformation.
[00:13:16.000 --> 00:13:18.000]  It's not even just disinformation.
[00:13:18.000 --> 00:13:21.000]  This is an anti-science empire right now.
[00:13:21.000 --> 00:13:22.000]  And we need homeland security.
[00:13:22.000 --> 00:13:24.000]  We need the Justice Department.
[00:13:24.000 --> 00:13:30.000]  We've really got health and human services will not be able to figure this out on their own.
[00:13:30.000 --> 00:13:31.000]  This is so criminal.
[00:13:31.000 --> 00:13:32.000]  This is so in America.
[00:13:32.000 --> 00:13:33.000]  This is so evil.
[00:13:33.000 --> 00:13:36.000]  Plus, everything they said the last three and a half years was a lie.
[00:13:36.000 --> 00:13:37.000]  These are epidemiologists.
[00:13:37.000 --> 00:13:38.000]  These are scientists.
[00:13:38.000 --> 00:13:40.000]  These are virologists.
[00:13:40.000 --> 00:13:41.000]  These are pathologists.
[00:13:41.000 --> 00:13:47.000]  They knew what they were doing, hurting the public and setting the precedent to weaponize Big Pharma
[00:13:47.000 --> 00:13:51.000]  and the media against the people and get away with murder.
[00:13:51.000 --> 00:13:52.000]  Because you can get away with murder.
[00:13:52.000 --> 00:13:55.000]  You can then do whatever you want and you can play God.
[00:13:55.000 --> 00:14:02.000]  Ted stepped in at big time.
[00:14:02.000 --> 00:14:09.000]  It's only got 40,000 views, 41,000 views, which isn't paltry, but it needs 4 million views.
[00:14:09.000 --> 00:14:10.000]  Everyone watching, please.
[00:14:10.000 --> 00:14:12.000]  They're going to come back with a new pandemic.
[00:14:12.000 --> 00:14:15.000]  The same criminals are going to launch the same attack again or worse.
[00:14:15.000 --> 00:14:17.000]  It is a life and death situation.
[00:14:17.000 --> 00:14:18.000]  Get ahead of this.
[00:14:18.000 --> 00:14:19.000]  Go to Band.Video.
[00:14:19.000 --> 00:14:20.000]  It's free.
[00:14:20.000 --> 00:14:24.000]  We'll post on the front page of Infowars.com in the live show feed.
[00:14:24.000 --> 00:14:27.000]  I got busy today and didn't give the crew a live show headline.
[00:14:27.000 --> 00:14:28.000]  Let's see what live show they came up with.
[00:14:28.000 --> 00:14:32.000]  I'm sure the live show headline is great, but I'll also add to it live here on air.
[00:14:32.000 --> 00:14:36.000]  We're going to add that video under it so you can get it and then share it.
[00:14:36.000 --> 00:14:38.000]  Remember, they block Band.Video URL.
[00:14:38.000 --> 00:14:43.000]  They block Infowars, but you can go to MadMaxWorld.TV and it duplicates all the same links,
[00:14:43.000 --> 00:14:46.000]  the same videos, and share that link and it's not blocked.
[00:14:46.000 --> 00:14:47.000]  MadMaxWorld.TV.
[00:14:47.000 --> 00:14:48.000]  Let's do it.
[00:14:48.000 --> 00:14:49.000]  Let's warn people.
[00:14:49.000 --> 00:14:50.000]  Let's win.
[00:14:50.000 --> 00:14:51.000]  It's an Infowar.
[00:14:51.000 --> 00:14:52.000]  There it is.
[00:14:52.000 --> 00:14:53.000]  World exclusive.
[00:14:53.000 --> 00:14:57.000]  FBI whistleblower reveals deep state persecution of Christians and more.
[00:14:57.000 --> 00:14:58.000]  Yep, that's big.
[00:14:58.000 --> 00:14:59.000]  That's huge.
[00:14:59.000 --> 00:15:03.000]  We should probably add in there that Shemaine Nugent is coming in with huge news.
[00:15:03.000 --> 00:15:08.000]  We're also going to have a former NSA, Russia expert, and a constitutional expert on.
[00:15:08.000 --> 00:15:09.000]  It's just so much, folks.
[00:15:09.000 --> 00:15:14.000]  Such a big broadcast today, but I got busy and dropped the ball and did not write up the
[00:15:14.000 --> 00:15:15.000]  live show headline.
[00:15:15.000 --> 00:15:17.000]  How could they know it was coming up?
[00:15:17.000 --> 00:15:20.000]  A lot of this just got finished last minute.
[00:15:20.000 --> 00:15:21.000]  Here today.
[00:15:21.000 --> 00:15:24.000]  Okay, we're going to skip this network break so we have more time.
[00:15:24.000 --> 00:15:25.000]  Such an emergency situation.
[00:15:25.000 --> 00:15:31.000]  I'm going to get into the really good news happening with Kevin McCarthy finally and
[00:15:31.000 --> 00:15:37.000]  moving to start impeachment of Garland and then of Biden.
[00:15:37.000 --> 00:15:41.000]  So they're getting their ducks in the row and that's very exciting and incredible.
[00:15:41.000 --> 00:15:47.000]  Most hardcore statements yet from Trump on the nature of the evil globalist operation
[00:15:47.000 --> 00:15:52.000]  and how this country is literally an existential war for its very existence.
[00:15:52.000 --> 00:15:53.000]  So that's coming up here in a few minutes.
[00:15:53.000 --> 00:15:56.000]  But first, let me come right to the listeners with this.
[00:15:56.000 --> 00:16:03.000]  Infowars is a one-of-a-kind operation that conservatively reaches, conservatively with
[00:16:03.000 --> 00:16:09.000]  the full show, 5 million people a day and conservatively 20, 30 million people a day
[00:16:09.000 --> 00:16:13.000]  with clips and boil downs of what's on the show every day.
[00:16:14.000 --> 00:16:18.000]  Conservatively, we are reaching 40 million people a day one way or another.
[00:16:18.000 --> 00:16:23.000]  That's a very conservative number and so many times you notice our research, our understanding
[00:16:23.000 --> 00:16:29.000]  is the cutting edge that then others research and then find out is true and duplicate.
[00:16:29.000 --> 00:16:34.000]  And Media Matters and the ADL, the Southern Poverty Law Center and the CIA and the Pentagon
[00:16:34.000 --> 00:16:39.000]  and the Justice Department have all had articles out there saying nine times out of ten.
[00:16:39.000 --> 00:16:40.000]  I don't think that's true.
[00:16:40.000 --> 00:16:41.000]  Seven times out of ten.
[00:16:41.000 --> 00:16:46.000]  But they said most of the time we track it back to Jones and he needs to be dealt with.
[00:16:46.000 --> 00:16:47.000]  He needs to be arrested.
[00:16:47.000 --> 00:16:48.000]  He needs to be shut down.
[00:16:48.000 --> 00:16:49.000]  All this.
[00:16:49.000 --> 00:16:50.000]  You know the fight we've been in.
[00:16:50.000 --> 00:16:55.000]  So I see our greatest work ahead, but quite frankly, we've already done some devastating
[00:16:55.000 --> 00:16:56.000]  work together.
[00:16:56.000 --> 00:16:59.000]  You, the listeners, spreading the word, praying for the broadcast and keeping us on air by
[00:16:59.000 --> 00:17:00.000]  buying product.
[00:17:00.000 --> 00:17:04.000]  So you've noticed I've been skipping a lot of breaks and I have been not plugging a lot.
[00:17:04.000 --> 00:17:07.000]  I've got so many big guests on and so many calls.
[00:17:07.000 --> 00:17:08.000]  We are in the hole.
[00:17:08.000 --> 00:17:10.000]  We're staying the way we are.
[00:17:10.000 --> 00:17:12.000]  $500,000 right now.
[00:17:12.000 --> 00:17:15.000]  And we're in Chapter 11, Subchapter 5 bankruptcy.
[00:17:15.000 --> 00:17:16.000]  That's a reorganization.
[00:17:16.000 --> 00:17:17.000]  So the product's there.
[00:17:17.000 --> 00:17:18.000]  We're staying open.
[00:17:18.000 --> 00:17:20.000]  You know, it's all going forward.
[00:17:20.000 --> 00:17:24.000]  The only problem is if I don't come to you and sell a great product and you don't buy
[00:17:24.000 --> 00:17:27.000]  it, then we won't be able to have enough money to say we can operate.
[00:17:27.000 --> 00:17:31.000]  And the reorganization that's going to be complete in about a month and a half or less
[00:17:31.000 --> 00:17:32.000]  won't go through.
[00:17:32.000 --> 00:17:36.000]  So the big problem is me not selling the great products we have and not, you know,
[00:17:36.000 --> 00:17:37.000]  getting you to get them.
[00:17:37.000 --> 00:17:38.000]  I don't blame you.
[00:17:38.000 --> 00:17:39.000]  These are products you really need.
[00:17:39.000 --> 00:17:43.000]  And good news, normally it's the second largest sale of the year.
[00:17:43.000 --> 00:17:45.000]  This year, it's as good as the Christmas sale.
[00:17:45.000 --> 00:17:48.000]  And that is, we've been doing this for over 20 years.
[00:17:48.000 --> 00:17:51.000]  Fourth of July, super sales starts yesterday.
[00:17:51.000 --> 00:17:54.000]  It's now up to 60% off plus double Patriot points.
[00:17:54.000 --> 00:17:56.000]  That's 10% off on your next order.
[00:17:56.000 --> 00:18:00.000]  You have your little profile on the shopping cart and you can use the Patriot points you've
[00:18:00.000 --> 00:18:01.000]  got right now.
[00:18:01.000 --> 00:18:06.000]  Brain Force plus 50% off an amazing, good, clean, natural brain boost.
[00:18:06.000 --> 00:18:10.000]  Brain Force Ultra, super strong, fast acting, but only lasts about two hours.
[00:18:10.000 --> 00:18:13.000]  The other lasts about five, but it's amazing.
[00:18:13.000 --> 00:18:18.000]  Probiotic fiber that has a probiotic in it and the prebiotic and all that really cleans
[00:18:18.000 --> 00:18:19.000]  out your gut.
[00:18:19.000 --> 00:18:20.000]  So healthy.
[00:18:20.000 --> 00:18:22.000]  Prebiotic fiber, 50% off.
[00:18:22.000 --> 00:18:24.000]  Immune support, 50% off.
[00:18:24.000 --> 00:18:28.000]  Organic green fiber caps, amazing from the sprouts, 50% off.
[00:18:28.000 --> 00:18:30.000]  Ultimate fish oil, highest quality fish oil.
[00:18:30.000 --> 00:18:32.000]  So good for your brain, your heart, everything.
[00:18:32.000 --> 00:18:33.000]  40% off.
[00:18:33.000 --> 00:18:36.000]  Ultimate bone broth, full of the tumeric, full of the concentrated chicken bone broth,
[00:18:36.000 --> 00:18:38.000]  the chaga mushroom, the bee pollen.
[00:18:38.000 --> 00:18:39.000]  It's the super food.
[00:18:39.000 --> 00:18:40.000]  40% off.
[00:18:40.000 --> 00:18:44.000]  Down and out sleep support, sold out for a while, now back in stock, really strong.
[00:18:44.000 --> 00:18:47.000]  Super female vitality, 60% off.
[00:18:47.000 --> 00:18:48.000]  And we're sold out of the super male.
[00:18:48.000 --> 00:18:50.000]  Super female is the same thing as the super male, folks.
[00:18:50.000 --> 00:18:53.000]  Stamina, libido, energy, cold pressed herbs, amazing.
[00:18:53.000 --> 00:18:54.000]  60% off.
[00:18:54.000 --> 00:18:56.000]  That's going to sell out soon.
[00:18:56.000 --> 00:18:58.000]  The sale is only for one week.
[00:18:59.000 --> 00:19:01.000]  Ultimate krill oil, it sells out in days.
[00:19:01.000 --> 00:19:02.000]  Still 30% off.
[00:19:02.000 --> 00:19:04.000]  Turbo force, selling out, 25% off.
[00:19:04.000 --> 00:19:06.000]  That's 10 hours of incredible energy.
[00:19:06.000 --> 00:19:10.000]  That's the Tyrannosaurus Rex, the Godzilla of natural stimulants.
[00:19:10.000 --> 00:19:13.000]  Survival shield X3, 25% off.
[00:19:13.000 --> 00:19:14.000]  That's selling out within days.
[00:19:14.000 --> 00:19:16.000]  Vitamin D3 gummies, 25% off.
[00:19:16.000 --> 00:19:18.000]  Whole food multivitamin.
[00:19:18.000 --> 00:19:20.000]  All Infowars MD products, 30% off.
[00:19:20.000 --> 00:19:23.000]  All Dr. Jones natural products, that's the mouthwash and the turmeric toothpaste
[00:19:24.000 --> 00:19:27.000]  and the coral calcium toothpaste.
[00:19:27.000 --> 00:19:30.000]  All that's 25% off.
[00:19:30.000 --> 00:19:33.000]  All Infowars platinum products, 25% off.
[00:19:33.000 --> 00:19:35.000]  The testosterone boost, all of it.
[00:19:35.000 --> 00:19:38.000]  All food, water, and air filtration products that are already the highest rated,
[00:19:38.000 --> 00:19:40.000]  the lowest price, 10% off.
[00:19:40.000 --> 00:19:42.000]  We make like 20% on that, folks.
[00:19:42.000 --> 00:19:44.000]  That is such a good deal.
[00:19:44.000 --> 00:19:49.000]  The Alexa Pure Breeze, Alexa Pure Pro, water filters, air filters, highest rated.
[00:19:49.000 --> 00:19:52.000]  Leading competitors are 50% to 100% more.
[00:19:52.000 --> 00:19:59.000]  It's all there, infowarsstore.com or 888-253-3139.
[00:19:59.000 --> 00:20:01.000]  And that's how you keep us on air.
[00:20:01.000 --> 00:20:03.000]  It takes money to fight a war.
[00:20:03.000 --> 00:20:05.000]  We don't take your money like the feds and use it against you.
[00:20:05.000 --> 00:20:07.000]  We're just simply asking you to support us in this fight.
[00:20:07.000 --> 00:20:09.000]  We cannot do it without you.
[00:20:09.000 --> 00:20:10.000]  Please take action today.
