[00:00.000 --> 00:26.000]  You want to stop tyranny well so does he live from the infowars.com studios it's Alex Jones
[03:21.000 --> 03:28.000]  at you know in a bar bathroom or wherever okay this is this is children hemophiliacs getting it
[03:28.000 --> 03:35.000]  and there's a religion this is mainstream news of giving people HIV and then AIDS of killing them
[03:35.000 --> 03:40.000]  and then of wanting to get killed but see that's not enough of a thrill it's more of a
[03:40.000 --> 03:47.000]  sacrament for Jerry Brown to destroy the entire blood industry to destroy even further and then let
[03:47.000 --> 03:52.000]  the entire US blood supply be tainted again but it's okay it's like it's okay to teach five-year-olds
[03:52.000 --> 03:56.000]  you know that they're not really a man or not really a woman they're really something else in school
[03:56.000 --> 04:03.000]  pedophilia being normalized by mainstream news by the New York Times by Salon it's all about how far
[04:03.000 --> 04:08.000]  can they push you what can they get away with so read this again from the LA Times
[04:08.000 --> 04:12.000]  Governor Jerry Brown signed a bill Friday that lowers from a felony to a misdemeanor the crime of
[04:12.000 --> 04:17.000]  knowingly exposing a sexual partner to HIV without disclosing the infection the measure also applies to
[04:17.000 --> 04:21.000]  those who give blood without telling the blood bank they're HIV positive so you can go in give them
[04:21.000 --> 04:27.000]  the blood it infects the entire system and you kill a bunch of people but it's liberal so it's like
[04:27.000 --> 04:33.000]  well it's liberal California hepatitis an outbreak on the verge of statewide epidemic again most of
[04:33.000 --> 04:38.000]  us actually transmitted the illegals coming in but that's okay the black man on folks that are fascinated
[04:38.000 --> 04:44.000]  man intentionally poke holes in condoms to inflict grinder hookups with HIV well hell that's that's a
[04:44.000 --> 04:48.000]  good thing in California
[04:48.000 --> 04:53.000]  oh
[04:59.000 --> 05:03.000]  it was Thomas Jefferson who once said that our country is now taking so steady of course as to
[05:03.000 --> 05:08.000]  show by what road it will pass to destruction to wit by consolidation of power first and then corruption
[05:08.000 --> 05:13.000]  its necessary consequence Jefferson was warning us about the global elite the 1% of the 1%
[05:13.000 --> 05:17.000]  consolidating the world's wealth and subverting the people's voice in government
[05:17.000 --> 05:22.000]  unfortunately we didn't heed his advice we now live in a neo feudalistic society which were treated
[05:22.000 --> 05:26.000]  as indentured servants who only exist to serve the needs of the establishment political office no
[05:26.000 --> 05:30.000]  longer represents the voice of the people but rather the initiation process politicians go through
[05:30.000 --> 05:35.000]  to gain acceptance into the aristocracy simply put we the people are responsible for civilization
[05:35.000 --> 05:39.000]  and culture yet we're suppressed by a tiny elite who have organized into criminal gangs that
[05:39.000 --> 05:43.000]  operate governments around the world we falsely believe that everything is simply black and white
[05:43.000 --> 05:48.000]  one extreme against the other conservative versus liberal but things will change once more of us
[05:48.000 --> 05:53.000]  realize this truth as Thomas Jefferson also said in light of the people generally and tyranny
[05:53.000 --> 05:57.000]  and oppressions of the body and mind will vanish like evil spirits at the dawn of day this is Kit
[05:57.000 --> 06:01.000]  Daniels with info wars dot com
[06:01.000 --> 06:07.000]  you know Australia is a good example Canada is a good example the UK is a good example why
[06:07.000 --> 06:12.000]  because each of them had mass killings somebody somewhere will comment
[06:12.000 --> 06:16.000]  and say Obama politicized this issue
[06:16.000 --> 06:19.000]  well this is something we should politicize
[06:19.000 --> 06:22.000]  I'm not going to carry a gun I don't want to be involved in a gunfight
[06:22.000 --> 06:30.000]  if I could have gotten 51 votes in the senate of the United States for an outright ban
[06:30.000 --> 06:35.000]  picking up every one of them Mr. and Mrs. America turn them all in
[06:35.000 --> 06:41.000]  go ahead
[06:41.000 --> 06:43.000]  make my day
[06:43.000 --> 06:47.000]  so the notion that gun laws don't work it's not borne out by the evidence
[06:47.000 --> 06:53.000]  he says that the Chicago police had a plan over this bloody 4th of July weekend
[06:53.000 --> 06:59.000]  nonetheless as you indicated Corey there was a count of casualties that could have been from
[06:59.000 --> 07:06.000]  Afghanistan or Iraq will make it harder for law abiding citizens and criminals will still get their guns
[07:06.000 --> 07:14.000]  in many cases the offenders felons some out on parole some out on bond
[07:14.000 --> 07:21.000]  we have to respect the tradition in this country of people who want to defend themselves and their family from violence
[07:21.000 --> 07:27.000]  there are people at high levels in this government who have bodyguards
[07:27.000 --> 07:32.000]  24 hours a day 7 days a week the average American does not have that
[07:32.000 --> 07:38.000]  Mayor Bloomberg why can you defend yourself but not the majority of Americans
[07:38.000 --> 07:41.000]  I mean look at the team of security you got
[07:41.000 --> 07:47.000]  every day every school at every level one thing that I think is clear with young people and with adults as well
[07:47.000 --> 07:52.000]  is that we just have to be repetitive about this and we need to do this every day of the week
[07:52.000 --> 07:57.000]  and just really brainwash people into thinking about guns in a vastly different way
[07:57.000 --> 08:04.000]  was this the weapon of choice for a new kind of terrorist when a five-year-old girl said she and a classmate
[08:04.000 --> 08:09.000]  should shoot each other with bubbles the school called it a terrorist threat
[08:09.000 --> 08:13.000]  AK-47s belong in the hands of soldiers not in the hands of criminals
[08:13.000 --> 08:17.000]  you know the right to bear arms is because that's the last form of defense against tyranny
[08:17.000 --> 08:25.000]  lay down your arms you damn rebels but we don't need the ability to arm ourselves against the army or the police
[08:25.000 --> 08:28.000]  what kind of a situation in the U.S. would you see that happening
[08:28.000 --> 08:32.000]  I mean we've got a lot of constitution listening to a lot of people that stockpile weapons
[08:32.000 --> 08:37.000]  Governor the clergy would help the government with potentially their biggest problem
[08:37.000 --> 08:46.000]  us to say we're not turning our guns in and we're not running and we're not knocking down if you want a commentation
[08:46.000 --> 08:51.000]  rallying Patriots Worldwide the defense of human liberty
[08:51.000 --> 08:54.000]  it's Alec Jones
[09:06.000 --> 09:15.000]  they are preparing a violent overthrow sometime in November October now why do you think the communists are suddenly uncloking themselves
[09:15.000 --> 09:22.000]  because after growing under the floorboards they want to look like a legitimate government when they take over
[09:22.000 --> 09:29.000]  and when they call for the racial war when they call for the uprising this is this is a playbook and it's from them
[09:29.000 --> 09:34.000]  they're saying this is happening and they're being allowed to prepare and gear up for it
[09:34.000 --> 09:44.000]  what will it be in a month
[09:44.000 --> 09:50.000]  what will it be in just a few weeks what will it be
[09:50.000 --> 10:00.000]  it's snuck up on us hasn't it it's the October Revolution that stretched into November and December
[10:00.000 --> 10:07.000]  it's the 100 year anniversary of the Bolshevik Revolution
[10:07.000 --> 10:16.000]  we're here it's happening now this is real what are you going to do about it it's a big question you've got to ask yourself
[10:16.000 --> 10:23.000]  because they mean business
[10:23.000 --> 10:31.000]  we have to hold our fire but we have to be prepared and no they're coming over the line
[10:31.000 --> 10:38.000]  and we've got to be on target and ready and everybody's got to start packing
[10:38.000 --> 10:44.000]  because when they strike it'll be like fire ants where they crawl up over your legs
[10:44.000 --> 10:49.000]  when they get in place one of them that's leading and it's all genetically engineered
[10:49.000 --> 10:54.000]  by mother nature that way stings you releases a pheromone and all the others sting
[10:54.000 --> 11:00.000]  once they get in place they communicate by pheromones and it's the same thing
[11:00.000 --> 11:07.000]  they get all over you they get in place and it's going to be boom you wake up one morning and 300 cops are dead
[11:07.000 --> 11:13.000]  you wake up and talk show host and members of Congress are wiped out
[11:13.000 --> 11:24.000]  Trump towers from Chicago to New York are on fire so the police don't think they can respond
[11:24.000 --> 11:31.000]  but there'll be something that happens right before that a mass shooting at a school
[11:31.000 --> 11:38.000]  a bombing of a federal building maybe more pinned on a right-wing patsy who's a listener of this show
[11:38.000 --> 11:43.000]  that's why they're putting us all over the news and putting us on Comedy Central with all their drooling viewers
[11:43.000 --> 11:50.000]  to go here's the bad guy here's the terrorist get ready for this when it all happens it's his fault
[11:50.000 --> 12:04.000]  he made his followers do it so they false flag and they'll blame Alex Jones and Donald Trump and Matt Drudge and Rush Limbaugh
[12:04.000 --> 12:09.000]  and even a lot of other conservative talk show host will kind of halfway get go along with it because they'll think
[12:09.000 --> 12:14.000]  oh my competition's about to get shut down no idiot you're about to get shut down
[12:14.000 --> 12:19.000]  Bolshevik style that's how it worked the Bolshevik said we've just seized Moscow
[12:19.000 --> 12:26.000]  but if you turn in your guns and work with us to some of the other political parties we'll let you rule with us
[12:26.000 --> 12:32.000]  and just help us get the white Russians to help us get the Christian Russians just help us get the pro czarist
[12:32.000 --> 12:41.000]  just help us get that one group and then you're going to be fine and then they just killed people with each new group of moron traders
[12:41.000 --> 12:52.000]  that lowered the drawbridge so we're here and I'm sure of it that this whole NFL thing was the activation of this
[12:52.000 --> 13:00.000]  my sources concur with that it's not gone well for them so if there's a big terror attack that they blame on patriots
[13:00.000 --> 13:05.000]  or Christians or conservatives or independent media since they want to shut down
[13:05.000 --> 13:12.000]  not if when you'll have two or three days of them hyping it to get people to a fever pitch so they can make it look like it was organic
[13:12.000 --> 13:19.000]  but by the second or third night you've got to be you want to stop these folks you got to be basically eyes and ears
[13:19.000 --> 13:26.000]  and they're going to hit at night they're going to start at about 10 o'clock at night you got to be waiting on them
[13:26.000 --> 13:31.000]  two to three days after I don't think they're going to change their operation this is too tried and true
[13:31.000 --> 13:39.000]  you got to be waiting for them ladies and gentlemen because they're going to try to overwhelm the police forces in cities that don't control first
[13:39.000 --> 13:46.000]  they're going to lay them out they may also do it in cities they control as they know the police chief will be involved in it
[13:46.000 --> 13:57.000]  and will order basically a stand down so they're going to make their move that's where everybody's on edge
[13:57.000 --> 14:10.000]  and we've really tried to fix this as peacefully as we can and if the attorney general who's completely surrounded I know doesn't move on these forces
[14:10.000 --> 14:18.000]  you need to understand the antifa idiots are just going to be the cover for the squads and some of the other specialized groups
[14:18.000 --> 14:27.000]  that they're going to be using to decapitate and they think intimidate and confuse patriot government
[14:27.000 --> 14:31.000]  but you better believe they're going to try to kill conservative Supreme Court justices
[14:31.000 --> 14:35.000]  you better believe they're going to try to kill Judge Roy Moore people like that
[14:35.000 --> 14:49.000]  I mean it's folks you know they're coming for you they're coming for you October is only a few days away
[14:49.000 --> 15:01.000]  they're saying their operation launches November 4th that's probably a diversion
[15:01.000 --> 15:08.000]  I think the attacks coming in the middle of October that's just looking at all the pieces
[15:08.000 --> 15:15.000]  I'd say look for middle of October but first look for a new Charlottesville much bigger or a group of Charlottesville
[15:15.000 --> 15:23.000]  that's going to be the cover for the detonation
[15:23.000 --> 15:32.000]  that's just one of the videos clipped out of the live show from Friday September 28th 2017
[15:32.000 --> 15:37.000]  where I said I think they'd attack it like something like 10 o'clock at night to trigger the revolution
[15:37.000 --> 15:47.000]  and I had some FBI folks call up some of our team and say how did Alex know that what are his sources
[15:47.000 --> 15:55.000]  does he have any information and I said yeah it's the Democratic Party Soros and all the liberals are saying come October 1st we're coming to kill you
[15:55.000 --> 15:58.000]  and I said they'd probably attack at 10 o'clock at night
[15:58.000 --> 16:03.000]  refresh your breath with Immerses Central's organic mouthwash
[16:03.000 --> 16:12.000]  honor formula is made from organic herbal ingredients to help stimulate the gums and provide a cleansing effect while adding a pleasant refreshing taste
[16:12.000 --> 16:23.000]  Immerses Central's mouthwash is non-GMO certified organic made without alcohol, chemicals or other artificial ingredients such as flavors, fragrances or dyes
[16:23.000 --> 16:32.000]  the pure organic plant extracts are concentrated containing antibacterial properties that work well to help tone gums and freshen your breath
[16:32.000 --> 16:39.000]  this antiseptic mouthwash is a concentrated formula you will need to dilute 1 part mouthwash to 10 parts water
[16:39.000 --> 16:44.000]  Immerses Central's mouthwash is a great addition to your daily brushing routine
[16:44.000 --> 16:49.000]  it is effective yet gentle enough for the most sensitive gums and canker source
[16:49.000 --> 16:52.000]  go organic today with Immerses Central's
[16:52.000 --> 17:20.000]  infowarstore.com to learn more at infowarstore.com
[17:20.000 --> 17:31.000]  biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function
[17:31.000 --> 17:38.000]  our researchers are confident that we have been able to develop what will be the leading probiotic on the market
[17:38.000 --> 17:47.000]  secure your biome defense in ultra strength or regular strength at infowargelife.com today and get started supporting your digestive system naturally
[17:47.000 --> 17:53.000]  we've been testing this formula for years but this is the limited first run to the public so please take advantage of it today
[17:53.000 --> 18:19.000]  support your own health and support the infowar
[18:19.000 --> 18:28.000]  it is easy to use and let me tell you something it is perfect for freeze drying fruits vegetables meats dairy products desserts and entire meals
[18:28.000 --> 18:36.000]  that's what I'm talking about and when compared to traditional methods of preservation like canning or dehydrating you know like what you get at the grocery store
[18:36.000 --> 18:47.000]  there is no comparison harvest right freeze dryers retain 97% of the foods taste color and nutritional value and have a shelf life of up to 25 years
[18:47.000 --> 18:55.000]  now that's what I call the miracle of food preservation harvest right is truly the world's best most affordable freeze dryer so what are you waiting for
[18:55.000 --> 19:20.000]  check it out right now at infowargestore.com we've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body
[19:20.000 --> 19:31.000]  and it supports the info war it is a classical 360 win this is the formula that I personally have been taking for over a year and now we believe we have come as close to perfection
[19:31.000 --> 19:45.000]  when it comes to a detoxifier as you can possibly get you want to yourself you want to your family and you owe it to the future of this country in the world that patriots stay as healthy and as clean and as focused as you can be because we need you
[19:45.000 --> 19:54.000]  the remnant of America to reignite those brush fires the next level and to be healthy and as focused as you can be thanks to your support and your prayers together we're changing the world
[19:54.000 --> 20:16.000]  now it's time to change our bodies with z-shield infowargelive.com you're listening to the Alex Jones show
[20:16.000 --> 20:28.000]  waging war on corruption it's Alex Jones coming to you live from the front lines of the info war
[20:28.000 --> 20:49.000]  what's behind the entire Weinstein firestorm what's behind it is Hollywood's collapsing the money's not there anymore and the rats are leaving the sinking ship
[20:49.000 --> 21:16.000]  the Matt Damon's and others the Ben Affleck's are being forced to reverse their cover ups for Mr. Weinstein and as the invincibility aura dissipates the pedophilia is going to come out next and that's what they feel nipping at their heels breathing down their necks
[21:16.000 --> 21:34.000]  is the fact that the American people and patriots in law enforcement and the populace Trump revolution and this broadcast is all just part of a worldwide move against the satanic pedophile elites
[21:34.000 --> 21:55.000]  Hungary's government has come out and declared George Soros a quote agent of Satan and their secretary of state their prime minister they've all come out and said it's their Christian duty to fight against Satan slash Soros plan
[21:55.000 --> 22:07.000]  and they are sending nationwide to all the homes documents and quotes by Soros admitting the plan to destroy Europe and turn it over to Islam
[22:07.000 --> 22:27.000]  now what have I said a thousand times and I'll say it again if you have a private corporate above the law tax free world government that also backs authoritarianism once you expose it it's dead it may take a while to remove the face sucker it may take a while to remove the parasite
[22:27.000 --> 22:45.000]  but once you're aware that Hollywood's a parasite once you're aware that George Soros is a parasite once you're aware that royalties a parasite and once you're aware of all these unelected corrupt systems that we pay for that we live under it's over
[22:45.000 --> 22:56.000]  it's worse than garbage it's worse than something you take out to the curb it's something you throw into the deepest pit of the ocean
[22:56.000 --> 23:04.000]  so I can tell you historically and culturally the tide isn't just going out on globalism
[23:04.000 --> 23:12.000]  globalism is a dead letter globalism is the plague
[23:12.000 --> 23:35.000]  globalism is a failure and as bad as the death rows are of the Hollywood combine and the NFL and late night talk shows and so-called comedians reading off teleprompters it's just that frothing agonizing melting away death rows
[23:35.000 --> 23:43.000]  and that's it and you've got to ask yourselves what are they going to do to try to stop us
[23:43.000 --> 23:48.000]  well they're going to try to start wars they're going to try to start culture wars they're going to try everything they can
[23:48.000 --> 24:02.000]  but the giant Ponzi scheme that's mainstream media and the giant Ponzi scheme that's the Fortune 100 corporations that all dreamed of how they were building this great world government where they'd be gods in the Elysium fields
[24:02.000 --> 24:08.000]  and all us mere mortals would be down here not even aware of their global government
[24:08.000 --> 24:18.000]  well guess what you miscalculated you thought enough people would just go along with the New York Times and the ADL and Southern Primary Law Center and the Washington Post
[24:18.000 --> 24:31.000]  beating people over the head calling them all these names if they didn't submit
[24:31.000 --> 24:44.000]  they thought you could bully us but all you did with your hen pecking over and over trying to keep us in line you thought you had us intimidated and scared
[24:44.000 --> 24:58.000]  really we were in a deep sleep it's like trying to keep us in line you thought you were so powerful you thought you dominated us and finally went what is that pecking on my head
[24:58.000 --> 25:13.000]  some gremlin creature how about I just break your neck how's that feel now it's eyes are bugged out it's arms legs are scrabbling an arm got a few scratches
[25:13.000 --> 25:30.000]  how about we just throw you into a pit of hell bye bye take all of it with you your red carpets all your glitter bug narcissism garbage and go fall off a cliff
[25:30.000 --> 25:36.000]  and break your neck down there politically culturally spiritually like every other failed system in history
[25:36.000 --> 25:55.000]  it is ladies and gentlemen a true time that prize humanity souls on this Wednesday October 11th 2017 worldwide broadcast and I'm your host we're going to be live here for the next three and a half hours now
[25:55.000 --> 26:13.000]  you have left in the broadcast and let's just do something different today I've got enough news and powerful clips wow fill a whole day and we'll get to a lot of it but I really do want to early on take your calls first time callers on the fall of Hollywood
[26:13.000 --> 26:33.000]  NFL the fall of the Democratic Party the beginning of the fall of the Republican establishment and the fall of the EU and the fall of the Islamic takeover Arab spring and just the misfire the backfire that is globalism
[26:33.000 --> 27:02.000]  becoming unclogged and the really accelerated beginning of their cultural destruction this has been the reign of the pedophile devil worshipers and it doesn't mean it's going to end quickly but while humanity slept they leave their webs
[27:02.000 --> 27:19.000]  but the sun always comes back and we're not just in the early morning hours now the sun is starting to rise high into the sky and the night creatures are beginning to feel the heat
[27:19.000 --> 27:41.000]  and when the sun rises to the high point it will be the complete end of the age for the globalist and that's where we are and they know it and they think AI is going to save them and they think telling you they're invincible is going to save them
[27:41.000 --> 27:56.000]  because they all know their losers they all know their fakes they all know their frauds they all know their jokes they all know no one really wants to be around them and they've never had real love and they'll never get real love and so they want to destroy all that's good
[27:56.000 --> 28:19.000]  when you hear these hairy Weinstein tapes and you hear all this other garbage and you hear the brothers defense and Harvey Weinstein you realize that he's not wanting to have sex with these beautiful women or put them on a pedestal and make them have a good time
[28:19.000 --> 28:38.000]  he is enjoying as I predicted days ago last week before the tapes came out because I just want to show folks what I'm talking about we ought to we ought to find that when I said you see it isn't the sex he wants it's the power
[28:38.000 --> 28:57.000]  and I mean if you're going to make a gorgeous smart woman sit there and watch you when you look like a disease hippopotamus rub on yourself in a shower and watch you play with yourself I mean that shows you how low these demons are
[28:57.000 --> 29:16.000]  choose to take control of your chemistry with survival shield x2 and bio true selenium this powerful combo is perfect for supporting your thyroid and health bio true selenium formula is far from synthetic and is made from a source of 100% organic mustard seed
[29:16.000 --> 29:32.000]  our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals this essential mineral is necessary in order to produce thyroid hormones which influence every cell tissue and organ in the body
[29:32.000 --> 29:50.000]  with inadequate thyroid hormones you may experience low metabolism lethargy weight gain and overall brain fog survival shield x2 and bio true selenium work together to support the systems in your body take control of your chemistry today with this super combo
[29:50.000 --> 30:03.000]  discover the power of survival shield x2 and bio true selenium at infowarslife.com
[30:20.000 --> 30:38.000]  21% zinc oxide which is the largest particle size use and we do not use nanoparticles the larger the particle the safer it is for your body the organic oils help hydrate the skin leaving it nice and smooth the truly natural fragrance free sunscreen for the most sensitive
[30:38.000 --> 30:53.000]  skin emeryx essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life naturally protect your skin with SPF 30 sunscreen lotion by emeryx essentials stop exposing yourself and your family to toxic ingredients
[30:53.000 --> 31:09.000]  visit infowarsstore.com and learn more about the new SPF 30 sunscreen lotion as most of you already know I am a voracious consumer of news and information and in the last four or five years doing more and more research I came across the fact that the elite
[31:09.000 --> 31:26.000]  establishment is fully aware of the fact that our ancient ancestors in many cases had much better nutrition than we do today and our ancient ancestors sought out the bones of the animals that they were hunting killing and processing and so I set out to develop caveman
[31:26.000 --> 31:44.000]  but to not just have concentrated bone broth from chicken but seven other superfood ingredients known for cleansing and supercharging the body at the same time info wars isn't just fighting the globalist we're getting results and we're expanding in the face of the complete
[31:44.000 --> 32:01.000]  media assault and winning because of your support caveman is back in stock people absolutely love it so please secure your caveman today at infowarslife.com or by calling toll free triple a 253 3139 it's not just our water we need to filter it's
[32:01.000 --> 32:16.000]  not just our food that needs to be cleaned it's the air we're breathing especially for our children the artificial particulates the chemicals is absolutely weighing down our immune systems the same team based right here in America that brought you the Alexa pure groundbreaking
[32:16.000 --> 32:34.000]  water filtration systems have now developed Alexa pure breeze whether it's your home or office you know it's yourself your coworkers your family your children to the best job you can to purify your air the elite are masters at poisoning our environment while themselves doing things that mitigate or avoid
[32:34.000 --> 32:49.000]  most toxic effects for themselves the general public doesn't the Alexa pure breeze would be a steal at three hundred four hundred five hundred dollars one of these systems can keep eight hundred square feet incredibly clean this is a system I'm personally putting in throughout my house replacing
[32:49.000 --> 33:04.000]  older more expensive filters that didn't do as good a job find out why this system is so revolutionary today then for our store.com you're listening to the Alex Jones show
[33:19.000 --> 33:42.000]  I am a shotgun rider for the San Jacinto line the desert is my brother my skin is cracked and dry I was riding on the full coast and everything was fine till we took a shorter road to save some time bandits only fired once bandits only fired once they shot me in the chest
[33:42.000 --> 33:53.000]  they may have wounded me but they'll never get the best of better men welcome back folks I'm your host Alex Jones.
[33:53.000 --> 34:07.000]  Waging war on corruption it's Alex Jones coming to you live from the front lines of the info war.
[34:07.000 --> 34:15.000]  I'm going to give the phone number out for first time callers again today so all of you can get involved on air with us on this Wednesday global transmission.
[34:15.000 --> 34:38.000]  The number to join us is 877-789-ALAX 877-789-ALEX is the number to join us we don't screen your calls other than you have a good phone line and that you're calling in and want to basically get on air we'd like to know how you're listening if you'd like to volunteer that's we can plug some of our affiliates out there as well.
[34:38.000 --> 34:58.000]  But again the number is 877-789-ALAX. I don't really have glee to see Hollywood and the NFL and the whole mentally ill media complex faltering because I knew it was going to collapse.
[34:58.000 --> 35:10.000]  And I'm already basically so sick of looking at them and hearing from them just like you are that I almost don't want to begin doing a forced mortem.
[35:10.000 --> 35:34.000]  Review of their body politic but it's got to be done and see the same reason I'm disgusted by them and you're disgusted by them just the same way I can't even play clips from all these history channel and discovery channel and HBO and.
[35:34.000 --> 35:42.000]  Comedy Central shows that lie about yours truly and make up things I never said.
[35:42.000 --> 35:51.000]  Because I just am so divorced from them so separate that I can't even look at it to review it.
[35:51.000 --> 36:08.000]  And that's when you know you've really broken the back of the stalker. If you've ever had a stalker as soon as you really don't care about them and just forgive them but don't want to give it any attention they just metaphysically pick up on it and go away.
[36:08.000 --> 36:23.000]  It's psychic vampire behavior and you've got to understand folks this is the big truth Hollywood mainstream media corporate systems are loser collections of scum that want to be in power.
[36:23.000 --> 36:36.000]  That want to be in charge and want to control the great engine of America and our individualism and our entrepreneurship and our will.
[36:36.000 --> 36:44.000]  And so they wanted to make the host weak and controllable while still exploiting it.
[36:44.000 --> 36:47.000]  But like fire.
[36:47.000 --> 36:58.000]  That spirit is a dangerous servant and a fearful master to borrow a phrase from our first president George Washington.
[36:58.000 --> 37:16.000]  He was saying government is like fire a dangerous servant and fearful master. Yes. But when you've conquered freedom when you believe you have your thumb on the people on fly over country on Christians and you want to beat the well out of them because you you you feel they're struggling away.
[37:16.000 --> 37:39.000]  You understand people like Harvey Weinstein calling in these models calling in these these fawning women to put them up on a pedestal because they believe that they fond and gobbled to this dead possum on the side of the road.
[37:39.000 --> 37:54.000]  That's what the Satanist wants. That's what the ugly demon wants spiritually ugly is to have all these people fawning and all this beauty fawning at it so that it can make you think it's what is shining.
[37:54.000 --> 38:09.000]  That's why Satan is going to use up children torture children and kill children and destroy children's innocence and if they can't do it to your child if they can't get their hands on every child. How are they going to do it.
[38:09.000 --> 38:24.000]  They're lowering IQ. They're going to do it through the floor right. They admit is lowering IQ. It's all playing. They're going to do it through GMO. They admit destroying the genetics. They're going to do it through the culture of two plus equals five common core.
[38:24.000 --> 38:43.000]  They're raising your children on Nickelodeon. That's an admitted plan teaching your children about their twisted view of the human condition because that's all they've got is soulless servants of Satan of soulless servants of that archetype.
[38:43.000 --> 39:00.000]  They believe in the devil. They manifest it. So it's real because they are so incredibly desperate on their knees and they know if you just go live a good wholesome happy life that you'll be free of them.
[39:00.000 --> 39:16.000]  It's like the spider. It wants to catch you in the web. So when you listen to Ambra Gutierrez of Filipino Italian beauty when he's calling her in.
[39:16.000 --> 39:29.000]  He starts at first. He's the man that he's begging. He's begging. He goes, I do this all the time. I can't have you say no. I do this all the time. He has nothing to do with wanting to have sex with a woman or love a woman or be with a woman.
[39:29.000 --> 39:43.000]  It's all about dominating, controlling and just to show you. I know the enemy just to show you just of last week I said it isn't about the sex with the women.
[39:43.000 --> 39:53.000]  He tells just two days ago I said it before it broke. I said that's why he's got two or three coming through a day and bringing them on these tours.
[39:53.000 --> 40:02.000]  And I said notice they come out looking completely freaked out because folks, these are the women that said no that didn't go to the next steps.
[40:02.000 --> 40:21.000]  Let me tell you, he wants those women to feel humiliated and scared. Those are the ones that Pennywise or Harvey Weinstein wants because he can't feed on your energy unless you're repulsed.
[40:21.000 --> 40:35.000]  He doesn't want the women to have a great time. He doesn't want to empower women. He wants to squat on them satanically on the great energy God gave us through women.
[40:35.000 --> 40:49.000]  Foremost except for children and that's the fruit of the woman's womb. They want your children, the abortion, the partial birth, all of it is their sacrament.
[40:49.000 --> 41:04.000]  And when you listen to him dripping and slithering and no, no, no, no, it's like the performance in the new it when Pennywise is just like an angler fishes light hung out front of the real spider behind it.
[41:04.000 --> 41:13.000]  When it can't scare you, it can't feed because it's spiritual feeding.
[41:13.000 --> 41:21.000]  And then you understand the bullying of everybody by these people. That's all it is is they want to run your mind.
[41:21.000 --> 41:34.000]  They want your soul. They want to feed off your fear. They want to have your children play video games that are designed to scramble their brains and give them permanent basically electronic induced autism.
[41:34.000 --> 41:52.000]  They want to disassociate everyone because these are truly, truly, truly completely and absolutely evil people turned over to the abyss.
[41:52.000 --> 41:57.000]  And of course she went to the NYPD and they did nothing.
[41:57.000 --> 42:07.000]  You can do whatever you want as long as you go along with the big banks and the globalist and as long as you give political contributions.
