[00:00:01.616 --> 00:00:03.397]  We are on the march.
[00:02:50.489 --> 00:02:58.772]  In its 30 years, it's grown to be one of the largest in the world, mainly exploiting people in a dying media market who want jobs in the establishment.
[00:02:59.272 --> 00:03:09.836]  And so people come here spending a third of their year's salary in some cases, attempting again to find the Holy Grail when the Holy Grail isn't even anywhere near this area.
[00:03:09.836 --> 00:03:17.300]  There are some good films to see, you can go hear some interesting people speak, but you can always just watch it online later anyways.
[00:03:17.300 --> 00:03:23.442]  But it's just a giant, trendy event, and we're going to discuss how pathetic it is coming up here today.
[00:03:23.442 --> 00:03:25.303]  And by the way, it's not that I'm not invited to the party.
[00:03:25.623 --> 00:03:33.326]  I've spoken at big SXSW events, been on a bunch of different TV channels here, had films premiere that I'm in at SXSW.
[00:03:33.326 --> 00:03:38.128]  When they request me to come speak at SXSW, I just say, go jump in a river.
[00:03:38.128 --> 00:03:43.510]  So let's make it clear, I'm not bitching about SXSW because I'm not invited to it.
[00:03:43.510 --> 00:03:48.933]  I will not be part of an anti-liberty, anti-gun, anti-sovereignty scam.
[00:03:49.833 --> 00:03:56.635]  I will not invest in prison corporations, even though 15 years ago I said invest in them, they'll triple in profit if you're immoral.
[00:03:56.635 --> 00:04:01.656]  I will not invest in the private run for private fellow reserve or its member banks.
[00:04:01.656 --> 00:04:03.476]  I would not invest in Bitcoin.
[00:04:03.476 --> 00:04:05.397]  And I'm saying, look, you want to ride a bubble up and ride it down?
[00:04:05.397 --> 00:04:06.257]  Go ahead.
[00:04:06.257 --> 00:04:09.918]  Now it's got government agents connected to it and venting it and the whole thing stinks.
[00:04:09.918 --> 00:04:10.598]  I follow my gut.
[00:04:11.294 --> 00:04:12.375]  My gut.
[00:04:12.375 --> 00:04:27.543]  And I'm not saying I'm the most perfect person on earth, but I do have a moral compass, and I just will not be part of South by Southwest other than waging war against its anti-human exploitation of the trendies.
[00:04:27.543 --> 00:04:31.565]  Now when we come back, the big story is up on InfoWars.com.
[00:04:31.565 --> 00:04:33.987]  South by Southwest's anti-gun event fails.
[00:04:34.929 --> 00:04:40.674]  Lack of attendance at South by Southwest event proves the popularity of basic human freedoms.
[00:04:40.674 --> 00:04:46.659]  They've been having Mayor Bloomberg sponsored events where literally eight or nine people show up.
[00:04:46.659 --> 00:04:56.467]  There's more people on the panels spewing their victim disarmament than there are twits in the audience and lapdog media spilling their guts for the establishment.
[00:04:56.467 --> 00:04:57.728]  It's all coming up today.
[00:04:58.556 --> 00:05:07.644]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:05:07.644 --> 00:05:16.052]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:16.052 --> 00:05:20.716]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:20.916 --> 00:05:27.701]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfoWarsLife.com.
[00:05:27.701 --> 00:05:34.886]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:05:34.886 --> 00:05:41.911]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:05:41.911 --> 00:05:46.254]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:05:46.314 --> 00:05:50.015]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:06:38.115 --> 00:06:42.618]  Ladies and gentlemen, we are live broadcasting across the world right now.
[00:06:42.618 --> 00:06:46.861]  And we've got the crew in Austin, Texas at the Central Texas Command Center.
[00:06:46.861 --> 00:07:00.350]  David Knight and Anthony Gucciardi coming up in a roundtable discussion on the fact that the so-called liberal facade, not just here in the U.S., but worldwide, is collapsing on every single front.
[00:07:00.350 --> 00:07:03.392]  The fact that they are not the cultural arbiters of truth.
[00:07:03.392 --> 00:07:05.794]  They do not have the moral high ground.
[00:07:05.794 --> 00:07:07.635]  They are authoritarians.
[00:07:08.475 --> 00:07:16.043]  Who are attempting to domesticate the population worldwide, bankrupt the middle class, and complete our journey into slavery.
[00:07:16.043 --> 00:07:26.173]  We're also exposing the establishment right wing as being simply the other wing of this bird of prey that is the kleptocratic neoliberal system.
[00:07:26.173 --> 00:07:28.415]  Again, welcome to this March 9th, 2014 Sunday Worldwide
[00:07:31.778 --> 00:07:34.962]  Broadcast where every Sunday 4 to 6 p.m.
[00:07:34.962 --> 00:07:37.164]  Central Standard Time back weekdays 11 a.m.
[00:07:37.164 --> 00:07:37.685]  to 2 p.m.
[00:07:37.685 --> 00:07:40.648]  Central with the weekday transmission.
[00:07:40.648 --> 00:07:49.498]  I am your host Alex Jones on the road and as I said David Knight and Anthony Gucciardi are there in studio in Austin, Texas.
[00:07:49.498 --> 00:07:51.720]  Speaking of Austin, Texas.
[00:07:52.321 --> 00:08:03.666]  We have these articles up on PrisonPlanet.com and InfoWars.com if you'd like to see the video clips and the photos of this shameful activity on so many fronts.
[00:08:03.666 --> 00:08:09.208]  The headline is, South by Southwest Anti-Gun Event Fails.
[00:08:09.208 --> 00:08:16.651]  Lack of attendance at South by Southwest event proves the popularity of basic human freedoms.
[00:08:16.651 --> 00:08:20.212]  South by Southwest run by a man named Lewis Black.
[00:08:20.212 --> 00:08:21.513]  That is his pen name.
[00:08:22.673 --> 00:08:31.302]  Has always been anti-free speech, always been anti-gun, always been anti-family, basically authoritarian, masquerading as bearded trendies.
[00:08:31.302 --> 00:08:35.606]  And now this year they have sworn themselves to victim disarmament.
[00:08:35.606 --> 00:08:45.295]  And Mayor Bloomberg, with his hundreds of millions he's already spent, has sent in the mayors against illegal guns and moms demand action.
[00:08:45.976 --> 00:08:50.221]  And they've put on multiple South by Southwest events.
[00:08:50.221 --> 00:08:55.868]  The London Guardian and others have given lapdog, just sycophantic
[00:08:58.803 --> 00:09:12.856]  Praise to calling for banning civilian ownership of firearms, banning the transfer of firearms, banning all semi-automatic firearms, and mayors have quit the group and gone public and actually released the documents the last few months.
[00:09:12.856 --> 00:09:21.644]  That's linked to an Infowars.com article, South by Southwest anti-gun event fails, you can read it there, and also video from the New York State House where they show the documents.
[00:09:21.644 --> 00:09:24.167]  The plan is to register all guns and then confiscate.
[00:09:25.223 --> 00:09:31.668]  And the Mayor Pro-TM in Austin, there's video of that as well, saying, once we register we will confiscate.
[00:09:31.668 --> 00:09:33.310]  So they're also very disingenuous.
[00:09:33.310 --> 00:09:40.155]  Now, last week we broke the story, and it got picked up nationally, that the Bloomberg money's having an effect.
[00:09:40.155 --> 00:09:52.044]  Facebook, headed up by Zuckerberg, who called his users dumb F'ers because they trust him, they are censoring pro-gun talk, pro-gun memes, pro-gun promotion, pro-Second Amendment promotion.
[00:09:53.226 --> 00:10:13.446]  uh... and it's spreading across the web and they had a meeting bragging uh... how they are censoring free speech we had a free speech issue last year in march of my magazine we handed out ten thousand free copies uh... down on second street and uh... they had the police come and threaten to arrest us saying no free speech in austin until i threatened to uh...
[00:10:13.986 --> 00:10:27.476]  Sue the police, and they said, sorry, we were ordered to by our lord and saviors, as Jamie Foxx calls him, Barack Obama's minion, South by Southwest, run by the Austin Chronicle, and Louis Black.
[00:10:27.476 --> 00:10:29.857]  So it's an ongoing attack on free speech.
[00:10:29.857 --> 00:10:42.787]  But when we had 1,500 plus people a few months ago, with the land commissioner, Jerry Patterson, down at the Alamo doing a rally for open carry, in defiance of the city law that's unconstitutional, the police didn't stand down.
[00:10:43.587 --> 00:10:44.049]  I don't know.
[00:10:53.093 --> 00:10:55.214]  The police chief did the right thing and backed off.
[00:10:55.214 --> 00:10:59.057]  They had three people from Moms Demand Action there.
[00:10:59.057 --> 00:11:02.380]  They had three people from Moms Demand Action.
[00:11:02.380 --> 00:11:06.904]  They were giving BBC, Al Jazeera, CNN coverage.
[00:11:06.904 --> 00:11:15.591]  CNN would show close shots to not show there wasn't a crowd there, or would show our crowd with them standing in front of it and claim that that crowd was theirs.
[00:11:15.591 --> 00:11:18.533]  They threatened us, threatened to physically attack us.
[00:11:18.533 --> 00:11:19.514]  This is all on video.
[00:11:20.154 --> 00:11:26.178]  on Infowars.com in the South by Southwest anti-gun event fails article.
[00:11:26.178 --> 00:11:45.169]  So, the London Guardian reported on this and we have their photos up there and our own video showing literally 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 media people in attendance in a giant auditorium for five anti-gunners on the stage to spew their victim disarmament.
[00:11:45.169 --> 00:11:46.970]  And here's the message of what I'm putting out.
[00:11:48.268 --> 00:11:56.053]  CNN, MSNBC are literally falling apart, going bankrupt, belly up, 300,000, 400,000 viewers.
[00:11:56.053 --> 00:11:57.374]  That is joke level.
[00:11:57.374 --> 00:11:59.355]  This Sunday show has 2 million listeners.
[00:11:59.355 --> 00:12:01.337]  My weekday show has 3 million.
[00:12:01.337 --> 00:12:03.518]  Much of talk radio has 10 million listeners a day.
[00:12:03.518 --> 00:12:05.540]  Some of the bigger shows out there like Limbaugh.
[00:12:05.540 --> 00:12:12.884]  These people are a joke, but they always sit up there in the hoax like they culturally control everything.
[00:12:12.884 --> 00:12:17.768]  Just like the Attorney General said, we've got to literally brainwash the public with the media against guns.
[00:12:18.688 --> 00:12:23.032]  They literally want us as their prey to be disarmed.
[00:12:23.032 --> 00:12:28.137]  That is the conscious idea of Dianne Feinstein, Barack Obama, Hillary Clinton.
[00:12:29.464 --> 00:12:34.648]  Michael Moore, all of them, have bodyguards, their own guns, they're into guns.
[00:12:34.648 --> 00:12:37.990]  It is a criminal instinct to disarm your political enemies.
[00:12:37.990 --> 00:12:43.094]  As Mao Zedong said, all power, political power, grows out of the barrel of a gun.
[00:12:43.094 --> 00:12:51.299]  So they're having these events, but Anthony Gucciardi, our reporter, is coming up to talk about this, and he's doing some video interviews that are going to be airing later in the week on the Nightly News.
[00:12:51.299 --> 00:12:56.663]  Talking to attendees at South by Southwest, almost none of them are anti-gun.
[00:12:57.990 --> 00:13:01.572]  Almost none of them are pro-Obama or pro-Republican Party.
[00:13:01.572 --> 00:13:02.553]  They've totally woken up.
[00:13:02.553 --> 00:13:04.854]  Look at Congress with a 6% approval rating.
[00:13:04.854 --> 00:13:06.455]  It was 10% a year ago.
[00:13:06.455 --> 00:13:09.838]  What I'm saying is there's a total collapse of confidence in the system.
[00:13:09.838 --> 00:13:24.247]  But still, the mainstream media creates this illusion that Moms Against Gun Violence and Moms Demand Action and Million Mom March is really the Five Mom March or the Five Democratic Party Operative Control Freak March.
[00:13:24.247 --> 00:13:25.748]  It is all a giant hoax.
[00:13:26.368 --> 00:13:37.852]  Just like SXSW is a hoax, where if somebody wants to start their own media, go out and make your own film, go out and make your own music, go out and make your own website, you're not going to learn anything at something like SXSW.
[00:13:37.852 --> 00:13:39.152]  You couldn't learn online.
[00:13:39.152 --> 00:13:42.213]  Why pay thousands of dollars for the stupid badges?
[00:13:42.213 --> 00:13:43.493]  And again, I don't have sour grapes.
[00:13:43.493 --> 00:13:53.777]  I've spoken at SXSW, been at movie premieres I'm in SXSW, get invited every year to SXSW, and I just said a few years ago when they started censoring free speech, I'm boycotting SXSW.
[00:13:55.177 --> 00:13:59.720]  Other than invading the big media conference to expose what a fraud it is.
[00:13:59.720 --> 00:14:05.143]  We're going to be doing this all week on the weekday radio show with myself and the crew and the reporters.
[00:14:05.143 --> 00:14:20.131]  And I'm told there's going to be an open carry march Thursday or Friday, we don't have the day yet, from the different Texas groups to counter all five of the Bloomberg people giving the big silver platter presentation
[00:14:20.951 --> 00:14:21.972]  Uh, here for the media.
[00:14:21.972 --> 00:14:24.114]  So we're going to crash their event as well.
[00:14:24.114 --> 00:14:29.539]  Totally take that over with Open Carry to show the general public that guns aren't dirty.
[00:14:29.539 --> 00:14:35.605]  Everybody should take photos of themselves with their guns, put it on Facebook, put it on Twitter, put out your own memes, do your own YouTube videos.
[00:14:35.965 --> 00:14:40.329]  Crash the enemy platforms of Facebook, the enemy platforms of YouTube and Google.
[00:14:40.329 --> 00:14:43.331]  Crash South by Southwest with the First Amendment.
[00:14:43.331 --> 00:14:45.053]  Crash it with Open Carry.
[00:14:45.053 --> 00:14:46.314]  Crash it with Liberty.
[00:14:46.314 --> 00:15:02.427]  And show them who the real liberals are in the vein of Thomas Jefferson, not the fake cultural authoritarians who want to dominate everyone and spew race baiting and race division, selling their socialist agenda for megabanks offshore that are tax-exempt, that want to destroy their competition, the free market.
[00:15:02.427 --> 00:15:04.348]  Do you understand that, ladies and gentlemen?
[00:15:05.149 --> 00:15:06.530]  This is what we're talking about.
[00:15:06.530 --> 00:15:08.410]  This is what we're dealing with.
[00:15:08.410 --> 00:15:15.873]  We're about to go to break, but David Knight's got a lot coming up as well today from the InfoWars Command Center in Central Texas.
[00:15:15.873 --> 00:15:18.894]  We're going to go to break and come back and talk to David Knight.
[00:15:21.328 --> 00:15:42.717]  Got a very, very exciting video that is coming up from Detroit, Mainstream News, where the police chief's saying, buy guns, arm yourself, defend yourself, and that's the only reason that suddenly Detroit crime is dropping in the last two years, because citizens have been arming themselves at the direction of the police, and the criminals are getting their butts shot off every day.
[00:15:43.437 --> 00:15:48.523]  Everywhere the globalists are in control, New York, Chicago, D.C., highest crime rates in the U.S.
[00:15:48.523 --> 00:15:56.511]  Everywhere they're not in control, low crime rates like Switzerland, places like Dallas, Texas, you name it, places like San Antonio.
[00:15:56.511 --> 00:15:57.512]  We're gonna be right back.
[00:15:57.512 --> 00:15:58.053]  Stay with us.
[00:15:59.974 --> 00:16:10.658]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:16:10.658 --> 00:16:12.719]  Guess what else is in the halogen family?
[00:16:12.719 --> 00:16:13.600]  Fluoride!
[00:16:13.600 --> 00:16:15.520]  Ladies and gentlemen, Alex Jones here.
[00:16:15.520 --> 00:16:21.843]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:16:22.083 --> 00:16:27.029]  It's the good halogen on the periodic table, and the results are on record.
[00:16:27.029 --> 00:16:33.335]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:16:33.335 --> 00:16:35.758]  Bottom line, iodine is important.
[00:16:35.758 --> 00:16:38.701]  Unbound, clean, in a glycerin base.
[00:16:38.701 --> 00:16:42.085]  Nascent iodine was the answer for myself and my family.
[00:16:42.185 --> 00:16:47.631]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:16:47.631 --> 00:16:52.736]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:16:52.736 --> 00:16:53.918]  I take it every day.
[00:16:53.918 --> 00:16:56.781]  That's InfoWarsLife.com or call toll free 888-253-3139.
[00:16:59.964 --> 00:17:02.988]  Alex Jones here with a message to fellow freedom lovers.
[00:17:02.988 --> 00:17:07.995]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:17:07.995 --> 00:17:15.185]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:17:15.305 --> 00:17:20.951]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:17:20.951 --> 00:17:24.975]  These are items that I did research on, that I personally use.
[00:17:24.975 --> 00:17:29.700]  We've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:17:29.700 --> 00:17:34.906]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:17:35.146 --> 00:17:38.387]  Strategic Relocation 3rd Edition by Joel Scalzin.
[00:17:38.387 --> 00:17:40.887]  When Disaster Strikes by Matthew Stein.
[00:17:40.887 --> 00:17:45.649]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:17:45.649 --> 00:17:48.529]  Hand crank shortwave AM FM radios.
[00:17:48.529 --> 00:17:55.531]  Everything that we've researched and found to be the best is available at InfoWarshop.com and your purchase makes our InfoWar possible.
[00:17:55.751 --> 00:17:57.012]  We're getting prepared.
[00:17:57.012 --> 00:17:57.672]  Are you?
[00:17:57.672 --> 00:17:59.693]  Infowarsshop.com.
[00:17:59.693 --> 00:18:01.593]  Introducing Pro-1.
[00:18:01.593 --> 00:18:05.235]  All of your filtration in one system, portable, on the go.
[00:18:05.235 --> 00:18:09.757]  No more do you have two or three filters to just reduce sodium fluoride.
[00:18:09.757 --> 00:18:12.118]  You have a system that cuts out the sodium fluoride.
[00:18:12.358 --> 00:18:15.880]  And up to 95% of hydrofluorosilicic acid.
[00:18:15.880 --> 00:18:26.888]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:18:26.888 --> 00:18:33.372]  It is the only one that does it and out of the gates we have a discounted at 10% off with promo code water.
[00:18:33.372 --> 00:18:38.856]  This is the only system that in one unit helps reduce or remove pesticides.
[00:18:39.116 --> 00:18:50.679]  Herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:18:50.679 --> 00:18:55.980]  Get your Pro-Pure with the new Pro-1 filters today at info-workstore.com or by calling 888-253-3139.
[00:18:59.381 --> 00:19:04.105]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:19:04.105 --> 00:19:07.228]  Why do we have the highest cancer rates on the planet?
[00:19:07.228 --> 00:19:12.772]  The highest rates of diabetes, autism, and every other major disease.
[00:19:12.772 --> 00:19:14.714]  It all comes down to one thing.
[00:19:14.714 --> 00:19:16.355]  We are what we eat.
[00:19:16.355 --> 00:19:21.019]  Our food is devoid of nutrition and processed with poisons and additives.
[00:19:21.019 --> 00:19:25.263]  Our water is filled with toxic poisons and big pharma runoff.
[00:19:25.263 --> 00:19:27.525]  All of this has been engineered by design.
[00:19:27.785 --> 00:19:34.034]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:19:34.034 --> 00:19:36.998]  To learn more visit InfoWarsHealth.com.
[00:19:36.998 --> 00:19:43.828]  The site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma.
[00:19:44.028 --> 00:19:50.111]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:19:50.111 --> 00:19:56.275]  When you visit Infowarshealth.com, be sure and check out the catalog, with nearly 400 life-changing products.
[00:19:56.275 --> 00:19:58.776]  And get free shipping when you sign up for AutoShip.
[00:20:00.993 --> 00:20:04.576]  Coast to coast, direct from Austin.
[00:20:04.576 --> 00:20:07.899]  You're listening to the Alex Jones Broadcasting Network.
[00:20:07.899 --> 00:20:11.762]  This is an emergency transmission.
[00:20:11.762 --> 00:20:13.284]  This is an emergency transmission.
[00:20:13.284 --> 00:20:15.065]  From FEMA Region 6 in Austin.
[00:20:33.297 --> 00:20:34.978]  There is a war.
[00:20:34.978 --> 00:20:36.839]  It's happening now.
[00:20:36.839 --> 00:20:39.221]  It will decide the fate of humanity.
[00:20:39.221 --> 00:20:41.783]  The time to choose sides has come.
[00:20:41.783 --> 00:20:43.684]  We are the resistance.
[00:20:43.684 --> 00:20:47.926]  We are the InfoWars.
[00:20:47.926 --> 00:20:50.508]  That's right.
[00:20:50.508 --> 00:20:53.710]  Ladies and gentlemen, we're live on this Sunday, Worldwide Edition.
[00:20:53.710 --> 00:21:02.076]  Again, coming up is co-host David Knight and of course, InfoWars.com reporter and StoryLeak.com reporter Anthony Gucciardi to break down
[00:21:03.263 --> 00:21:20.486]  The way the system labels everything and creates these illusions, the illusion that everyone wants to turn their guns in, when polls show almost 80% are now against it, and the forces of pro-gun, pro-survival, pro-self-defense are growing.
[00:21:21.107 --> 00:21:23.428]  Abortion is becoming more unpopular.
[00:21:23.428 --> 00:21:25.048]  Upwards of 70% are against it.
[00:21:25.048 --> 00:21:28.689]  Flipping numbers from Roe v. Wade in 1973.
[00:21:28.689 --> 00:21:31.509]  On so many fronts, people don't trust the government.
[00:21:31.509 --> 00:21:33.070]  They don't trust the system anymore.
[00:21:33.070 --> 00:21:40.591]  I had the Austin police chief in just a few weeks ago and he said, no, never before has government been so unpopular and so untrusted.
[00:21:40.591 --> 00:21:44.292]  And police tend to be where the rubber meets the road and get the blame for it.
[00:21:45.100 --> 00:21:52.182]  When they're not even involved in the policy of setting and dictating how police behave and what their mission is.
[00:21:52.182 --> 00:22:02.004]  And so you're going to see the establishment act more arrogant, more controlling, as if they are imperious and they have all the power and they have all the answers.
[00:22:02.004 --> 00:22:10.266]  And this is so well illustrated by one of the biggest media tech music conferences in the world, South by Southwest,
[00:22:13.035 --> 00:22:16.737]  Financed at many levels by taxpayers.
[00:22:16.737 --> 00:22:23.201]  In the middle of Austin, Texas with trendies from Japan to England, from Canada to Mexico.
[00:22:23.201 --> 00:22:26.323]  All over the world traveling here.
[00:22:26.323 --> 00:22:29.705]  Trying to get a job, trying to get noticed, trying to have an effect.
[00:22:29.705 --> 00:22:35.408]  Trying to be part of a Hollywood scene that's already imploding and falling apart itself worldwide.
[00:22:35.408 --> 00:22:41.552]  True media, true independent journalism, true independent filmmaking is already supplanting the system.
[00:22:42.458 --> 00:22:46.960]  And people are more desperate than ever running to the system trying to get fulfillment.
[00:22:46.960 --> 00:22:48.941]  If you go to Infowars.com, you can see the story.
[00:22:48.941 --> 00:22:51.942]  South by Southwest anti-gun event fails.
[00:22:51.942 --> 00:22:57.244]  And they're having all these anti-gun events and no one's showing up and no one's supporting it.
[00:22:57.244 --> 00:22:59.365]  And there are no real moms there.
[00:22:59.365 --> 00:23:01.686]  There are no real people against guns there.
[00:23:01.686 --> 00:23:08.629]  It's all financed, hardcore, Michael Bloomberg financed, victim disarmament crews.
[00:23:08.629 --> 00:23:11.010]  Bloomberg has like 15 armed bodyguards when he was mayor.
[00:23:11.840 --> 00:23:15.103]  I've seen him on TV just a few weeks ago, a live feed in New York.
[00:23:15.103 --> 00:23:17.525]  He had like six bodyguards with him, packing heat.
[00:23:17.525 --> 00:23:20.027]  But he doesn't want you to be armed.
[00:23:20.027 --> 00:23:23.309]  These are usurpers dominating you.
[00:23:23.309 --> 00:23:29.074]  These are people who literally have a will to control you and your life, and it's outrageous.
[00:23:29.074 --> 00:23:31.636]  It's not liberal to try to disarm people.
[00:23:31.636 --> 00:23:38.402]  It's not liberal to race bait all day and say, you're racist if you don't support Obamacare, or you're racist if you don't turn your guns in.
[00:23:38.402 --> 00:23:39.343]  That's the new talking points.
[00:23:40.003 --> 00:23:48.728]  These are people manipulating us who sit there with the fake moral authority and condescend all day telling us what to do.
[00:23:48.728 --> 00:23:53.371]  And that's the point I keep hammering and hammering and hammering and hammering.
[00:23:53.371 --> 00:23:55.532]  Is it's time to reject these voices.
[00:23:55.532 --> 00:23:57.894]  It's time to realize what jokes they are.
[00:23:58.820 --> 00:24:02.502]  And to realize how they're using peer pressure to control us.
[00:24:02.502 --> 00:24:07.844]  I mean, ladies and gentlemen, I'm no fan of some of the stuff Vladimir Putin does or what goes on in Russia.
[00:24:07.844 --> 00:24:09.324]  But Russia's not expanding.
[00:24:09.324 --> 00:24:11.205]  Russia's not trying to flex its muscle.
[00:24:11.205 --> 00:24:16.267]  Russia isn't trying to manipulate my politics domestically to take my guns or to raise my taxes.
[00:24:16.267 --> 00:24:20.309]  The globalists are the ones too big to fail, stealing tens of trillions of taxpayer money.
[00:24:20.922 --> 00:24:24.405]  Warren Buffett and all the rest of them, the biggest recipients of bailout money.
[00:24:24.405 --> 00:24:26.747]  He's the one financing gun control as well.
[00:24:26.747 --> 00:24:28.848]  Of course you want to disarm who you're robbing.
[00:24:28.848 --> 00:24:33.071]  Of course you want to disarm who you've politically taken control of fraudulently.
[00:24:33.071 --> 00:24:35.273]  To secure your ill-gotten political gains.
[00:24:35.273 --> 00:24:36.774]  We are being usurped.
[00:24:36.774 --> 00:24:38.195]  We are being conquered.
[00:24:38.195 --> 00:24:40.958]  Authoritarianism is taking over at every level.
[00:24:40.958 --> 00:24:42.499]  Because it's illegitimate.
[00:24:42.499 --> 00:24:44.761]  Because the government has a 6% approval rating.
[00:24:45.541 --> 00:25:09.759]  And I'm sick of people, nothing against people with beards, but you know what I mean, beatniks, old pot-bellied fake hippies, that literally are worth tens of millions of dollars, like Louis Black, who owns South by Southwest, lecturing everyone about raising their taxes, lecturing everyone about turning your guns in, lecturing everyone about how families aren't good, and the state owns your kids, and how inoculation is the law, and how Planned Parenthood's so good.
[00:25:10.720 --> 00:25:14.806]  All of this is authoritarianism, and they're consciously authoritarian.
[00:25:14.806 --> 00:25:17.390]  They're not environmentalist wackos.
[00:25:17.390 --> 00:25:20.995]  Obama's not some, you know, obozo idiot with Obamacare.
[00:25:20.995 --> 00:25:23.478]  They are hardcore political assassins.
[00:25:24.452 --> 00:25:29.137]  Usurping, in a piratical way, society and civilization.
[00:25:29.137 --> 00:25:31.299]  They know what they're doing.
[00:25:31.299 --> 00:25:33.821]  They know the systems they're setting up.
[00:25:33.821 --> 00:25:35.503]  They understand it.
[00:25:35.503 --> 00:25:36.123]  They know it.
[00:25:36.123 --> 00:25:48.115]  And it's time for everybody, when someone tries to tell you, with political correctness, what to think, what to wear, how to act, that you're not a liberal, you're not a trendy, you're a control freak, part of a cult, quit telling me what to do.
[00:25:49.161 --> 00:25:56.403]  And the same thing goes for the Republican Party bluebloods at CPAC trying to stop libertarian and constitutional ideas.
[00:25:56.403 --> 00:26:01.004]  The Republicans are part of the same power structure as the Democratic leadership trying to suppress the American people.
