[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[00:07:34.600 --> 00:07:35.361]  Who's to blame?
[00:07:36.321 --> 00:07:39.005]  Well, certainly there are those who are more responsible than others.
[00:07:39.005 --> 00:07:40.928]  They will be held accountable.
[00:07:40.928 --> 00:07:46.796]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[00:07:48.015 --> 00:07:49.995]  I know why you did it.
[00:07:49.995 --> 00:07:51.076]  I know you were afraid.
[00:07:51.076 --> 00:07:52.716]  Who wouldn't be?
[00:07:52.716 --> 00:07:53.476]  War?
[00:07:53.476 --> 00:07:54.116]  Terror?
[00:07:54.116 --> 00:07:55.416]  Disease?
[00:07:55.416 --> 00:08:01.838]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:08:01.838 --> 00:08:08.239]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:08:08.239 --> 00:08:14.420]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[00:08:21.158 --> 00:08:22.819]  There is a war.
[00:08:22.819 --> 00:08:24.701]  It's happening now.
[00:08:24.701 --> 00:08:27.062]  It will decide the fate of humanity.
[00:08:27.062 --> 00:08:29.664]  The time to choose sides has come.
[00:08:29.664 --> 00:08:31.546]  We are the resistance.
[00:08:31.546 --> 00:08:38.071]  We are the Infowar.
[00:08:38.071 --> 00:08:42.214]  And it is Cyber Monday, the 27th day of November 2017.
[00:08:42.214 --> 00:08:45.176]  I'm Alex Jones, your host.
[00:08:45.176 --> 00:08:47.037]  We're going to be live here for the next four hours.
[00:08:47.037 --> 00:08:49.779]  I do intend to open the phones up and take your calls today.
[00:08:51.164 --> 00:08:58.271]  The news is getting so insane, so crazy, that I don't even know where to start anymore.
[00:08:58.271 --> 00:09:01.394]  I mean, just look at these headlines.
[00:09:01.394 --> 00:09:08.420]  Amazon warehouse of hell, robots replace exhausted humans.
[00:09:08.420 --> 00:09:11.984]  And then, if you go deeper,
[00:09:14.366 --> 00:09:34.865]  You learn that all of Amazon, every bit of it is taxpayer subsidized, nationwide, and it is exempt from all of the major laws that it lobbies for against us to shut down Main Street, to even shut down Walmart.
[00:09:36.684 --> 00:09:50.509]  It has slave factories in China, the equivalent of slavery here, absolutely cold-blooded, absolutely technocratic.
[00:09:50.509 --> 00:09:55.671]  It gets $1.48 every package it ships of taxpayer money.
[00:09:55.671 --> 00:09:56.992]  Other big companies don't get that.
[00:09:58.683 --> 00:10:15.273]  He's building buildings all over the major cities where he's based, where they basically push the employees to then live in a small apartment, pay more per square foot than you normally would.
[00:10:15.273 --> 00:10:23.738]  He's buying up the grocery stores, he's buying up the infrastructure, and he's doing it all through monopoly systems.
[00:10:25.575 --> 00:10:35.660]  And he says he's going to replace humans, that that's his ultimate goal, but it's okay, he's abusive and oppressive and repressive, because he likes Obama!
[00:10:35.660 --> 00:10:46.005]  And that makes it trendy, kind of like Apple, with the suicide nets and the stairwells, and around the buildings at their Foxconn factories.
[00:10:46.005 --> 00:10:48.726]  Remember that?
[00:10:48.726 --> 00:10:53.889]  And the people jumping off the roofs, and the forced drugging, but the media didn't care because it's Apple!
[00:10:55.458 --> 00:11:00.343]  And they're trendy and they support Black Lives Matter.
[00:11:00.343 --> 00:11:17.061]  So it's okay if Obama funded the Arab Spring and the Muslim Brotherhood to put hundreds of thousands of women into slavery as young as six years of age and rape them to death and throw gays off buildings because they pose and say they're liberal.
[00:11:17.061 --> 00:11:18.182]  So it must be okay.
[00:11:21.195 --> 00:11:37.405]  Meanwhile, while all of this is going on, while Google admits that even if you turn off all the spy functions, they're still watching you, they're still listening to you, they're still tracking where you go, what you do.
[00:11:37.405 --> 00:11:45.330]  You've got cancer rates skyrocketing, you've got vaccines killing people all over the place, and causing neurological disorders, and causing all sorts of problems.
[00:11:45.330 --> 00:11:49.033]  But despite all of that, we're told
[00:11:49.946 --> 00:12:12.396]  That sex scandals dealing with men asking women out is paramount to Harvey Weinstein raping women, according to eyewitnesses, and Kevin Spacey basically sexually assaulting men.
[00:12:12.396 --> 00:12:16.278]  All of that is paramount in the media's conflation
[00:12:18.032 --> 00:12:29.460]  With a man asking a woman out or a man trying to kiss a woman and then she rebuffs him, that is paramount now with rape and pedophilia.
[00:12:29.460 --> 00:12:34.724]  But the American people see right through all of this.
[00:12:34.724 --> 00:12:44.791]  We've seen wall-to-wall coverage in the controlled corporate press that Trump supports a child molester, Roy Moore, as if he is a child molester, as if he's been proven or convicted
[00:12:46.527 --> 00:13:04.821]  When they have far more proof of Bill Clinton on a sex traffickers airplane going to an island where sex traffic children were taken, and we have senior Secret Service agents like Mr. Bongino saying that while they were there, they witnessed things you couldn't believe, and they've threatened to release the information.
[00:13:04.821 --> 00:13:07.062]  But that's not even in the news.
[00:13:07.062 --> 00:13:09.524]  They wrote about it last Friday, didn't even get any coverage.
[00:13:09.524 --> 00:13:11.806]  Who cares?
[00:13:11.806 --> 00:13:15.589]  Ex-Secret Service agent threatens to drop new details about Bill Clinton and Lolita Express.
[00:13:16.837 --> 00:13:19.378]  Newswars.com.
[00:13:19.378 --> 00:13:27.439]  But meanwhile, Trump comes out and says, we haven't seen any proof, and until I see proof on Roy Moore, I'm not gonna support the Democrat.
[00:13:27.439 --> 00:13:31.380]  Pelosi comes out and calls Conyers an icon.
[00:13:31.380 --> 00:13:33.540]  But that's okay.
[00:13:33.540 --> 00:13:39.202]  Now the media spins it, oh look, Trump supports a child molester.
[00:13:39.202 --> 00:13:41.782]  But he hadn't been convicted of it, hadn't been proven.
[00:13:41.782 --> 00:13:45.363]  Talk about defamation, but see, he's a public figure, so they hide behind that.
[00:13:48.902 --> 00:13:52.744]  Meanwhile, Trump has come out and said that he will not campaign for Moore.
[00:13:52.744 --> 00:13:56.787]  And he said he wouldn't campaign for him before and didn't originally support him.
[00:13:56.787 --> 00:14:05.772]  But again, it turns into this giant diversion as if all the crimes on earth against women were done by Judge Roy Moore.
[00:14:05.772 --> 00:14:13.977]  Meanwhile, CNN had a big report out yesterday saying sexual harassment globally by the numbers and said, oh, the Middle East doesn't have any problems.
[00:14:13.977 --> 00:14:16.859]  America, that's where we're bad to women.
[00:14:16.859 --> 00:14:17.399]  I'm not kidding.
[00:14:18.902 --> 00:14:20.023]  So that's how they operate.
[00:14:20.023 --> 00:14:44.080]  Meanwhile, last week, major corporations broke ties with Google and YouTube, for now, over the fact that they have been promoting sexualization of children and softcore child porn, if you could call it that, and weird snuff film videos, simulated snuff films of children being killed, cut into videos that are supposed to look like they're family friendly.
[00:14:45.492 --> 00:14:49.658]  Last night I started getting more intel about this and then saw it in the news today.
[00:14:49.658 --> 00:14:53.724]  This is on InfoWars.com.
[00:14:53.724 --> 00:14:57.349]  YouTube autocomplete tool shows users
[00:14:58.393 --> 00:15:06.480]  Profoundly disturbing child sex results when they search for how-to videos, and that's coming up as well.
[00:15:06.480 --> 00:15:18.730]  You just type in how to change a tire, how to sail a boat, how to tie your shoelaces, how to plant tulips, how to sell your bike.
[00:15:18.730 --> 00:15:21.272]  No, that's not what you get.
[00:15:21.272 --> 00:15:25.075]  How to have sex with your kids and then a bunch of other vulgar
[00:15:26.184 --> 00:15:29.706]  Searches are the first thing you get.
[00:15:29.706 --> 00:15:32.487]  How to have sex with your kids.
[00:15:32.487 --> 00:15:34.307]  You think that's all by accident?
[00:15:34.307 --> 00:15:39.590]  This is the religion of the people running things, is hurting innocents.
[00:15:39.590 --> 00:15:41.891]  And if they can't screw their brains up with television...
[00:15:42.981 --> 00:15:44.002]  That's the low-level stuff.
[00:15:44.002 --> 00:15:46.666]  At least they can screw your kid up, get him on drugs.
[00:15:46.666 --> 00:15:49.890]  That's the main overall satanic transmission.
[00:15:49.890 --> 00:15:52.653]  Then they can get their hands on him and rape him even better.
[00:15:52.653 --> 00:15:57.880]  But the real good thing is torturing him to death before you gouge their eyeballs out while they beg for mommy.
[00:15:58.360 --> 00:16:00.260]  Fully cooked, ready-to-eat bacon.
[00:16:00.260 --> 00:16:03.481]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:16:03.481 --> 00:16:05.081]  Savory and delicious.
[00:16:05.081 --> 00:16:07.902]  I buy some, I use some, I store some.
[00:16:07.902 --> 00:16:08.582]  Awesome!
[00:16:08.582 --> 00:16:11.663]  No refrigeration needed with a 10-year shelf life.
[00:16:11.663 --> 00:16:13.223]  NASA PAC Technology.
[00:16:13.223 --> 00:16:13.843]  Bacon.
[00:16:13.843 --> 00:16:18.004]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[00:16:18.004 --> 00:16:19.444]  Or warm and serve.
[00:16:19.444 --> 00:16:21.485]  Life-saving, ready-to-eat bacon.
[00:16:21.485 --> 00:16:23.425]  10-year shelf life bacon.
[00:16:23.425 --> 00:16:26.206]  Ships free at FullyCookedBacon.com.
[00:16:26.206 --> 00:16:27.426]  FullyCookedBacon.com.
[00:16:28.154 --> 00:16:33.278]  The answer to being in control of your own health care is freedom from insurance.
[00:16:33.278 --> 00:16:38.983]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:16:38.983 --> 00:16:44.187]  Individual share amounts begin at $107 a month and $347 for families.
[00:16:44.187 --> 00:16:46.129]  Choose from three health sharing programs.
[00:16:46.129 --> 00:16:48.511]  Holistic treatments may be eligible for sharing.
[00:16:48.511 --> 00:16:49.472]  See guidelines.
[00:16:49.472 --> 00:16:52.754]  Discount programs available for dental, vision, and pharmacy.
[00:16:52.754 --> 00:16:54.696]  Go to LibertyOnCall.org.
[00:16:54.696 --> 00:16:56.257]  That's LibertyOnCall.org.
[00:17:00.066 --> 00:17:01.527]  Hello, Mr. Anderson.
[00:17:01.527 --> 00:17:05.311]  The NSA has noticed how much time you spend on conservative news sites.
[00:17:05.311 --> 00:17:09.114]  We have no choice but to consider you a domestic terrorist.
[00:17:09.114 --> 00:17:11.816]  Tired of your internet activity being monitored by Big Brother?
[00:17:11.816 --> 00:17:15.740]  Get VirtualShield.com, the world's easiest-to-use virtual private network.
[00:17:15.740 --> 00:17:19.563]  Browse the web anonymously, leaving pesky advertisers and spies in the dust.
[00:17:19.563 --> 00:17:21.825]  Get started today at VirtualShield.com.
[00:17:21.825 --> 00:17:23.827]  Take advantage of our free 30-day trial.
[00:17:23.827 --> 00:17:25.188]  VirtualShield.com.
[00:17:25.188 --> 00:17:26.970]  You have the right to remain private.
[00:17:27.870 --> 00:17:30.912]  Want revenge on the common housefly?
[00:17:30.912 --> 00:17:34.894]  Well, after 10,000 years, someone has finally come up with a better way.
[00:17:34.894 --> 00:17:36.155]  The Bug-A-Salt.
[00:17:36.155 --> 00:17:41.037]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[00:17:41.037 --> 00:17:43.018]  Non-toxic and no batteries required.
[00:17:43.018 --> 00:17:47.221]  So much fun, you'll forget you have a wife and kids!
[00:17:47.221 --> 00:17:48.641]  $39.95 and free economy shipping.
[00:17:48.641 --> 00:17:53.744]  Use discount code GCN and get an extra 10% off your purchase at Bug-A-Salt.com.
[00:17:53.744 --> 00:17:55.585]  Makes the perfect stocking stuffer.
[00:17:55.585 --> 00:17:56.926]  Get your Bug-A-Salt today!
[00:17:59.389 --> 00:18:08.473]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:18:08.473 --> 00:18:16.877]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:16.877 --> 00:18:21.759]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:21.759 --> 00:18:25.140]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:18:26.681 --> 00:18:27.422]  We're good to go.
[00:18:50.640 --> 00:19:00.890]  I know I don't have to remind most of you of the fact that culturally, societally, economically, spiritually, militarily, the planet's sitting on top of a giant time bomb with populations and globalism.
[00:19:12.921 --> 00:19:16.364]  The New World Order's manipulation of people's minds.
[00:19:16.364 --> 00:19:17.905]  Things are getting crazy.
[00:19:17.905 --> 00:19:20.487]  We're trying to fix the country and fix the planet.
[00:19:20.487 --> 00:19:23.229]  We've also got to have rear-guard actions to be prepared.
[00:19:23.229 --> 00:19:27.773]  The number one thing, after getting right with God, is to have high-quality, storable food.
[00:19:27.773 --> 00:19:32.157]  Well, the entire line of My Patriot Supply Foods, private-labeled as MFOR Select,
[00:19:32.737 --> 00:19:33.818]  Is now 50% off.
[00:19:33.818 --> 00:19:37.920]  We've only done that one time before previously.
[00:19:37.920 --> 00:19:38.760]  50% off.
[00:19:38.760 --> 00:19:40.121]  You cannot beat that.
[00:19:40.121 --> 00:19:42.743]  And we're only doing that through Cyber Monday.
[00:19:42.743 --> 00:19:46.545]  So it starts today on Thanksgiving and runs through next Monday.
[00:19:46.545 --> 00:19:48.386]  InfoWarsTore.com.
[00:19:48.386 --> 00:19:49.686]  You can go right there.
[00:19:49.686 --> 00:19:51.467]  It's the full spectrum of myPatriot.
[00:19:51.467 --> 00:19:52.708]  It's private label by us.
[00:19:52.708 --> 00:19:53.649]  Totally fresh.
[00:19:53.649 --> 00:19:54.469]  Last 25 years.
[00:19:54.469 --> 00:19:54.789]  50% off.
[00:19:54.789 --> 00:19:55.069]  50% off.
[00:19:55.069 --> 00:19:56.290]  Take action today.
[00:20:01.494 --> 00:20:19.061]  You're listening to the Alex Jones Show!
[00:20:19.061 --> 00:20:26.544]  Rallying patriots worldwide in defense of human liberty, it's Alex Jones!
[00:20:26.544 --> 00:20:29.065]  Alright, coming up, ladies and gentlemen,
[00:20:30.581 --> 00:20:43.474]  Inside Amazon's slave factories, and inside their slave shipping centers, and how Jeff Bezos is truly organized evil.
[00:20:43.474 --> 00:20:52.302]  Everything he does is meant to be dehumanizing, anti-human, and quite frankly, I walked in this morning, there was my wife again on Amazon,
[00:20:53.280 --> 00:20:56.603]  And I said, honey, we gotta dehabitualize this.
[00:20:56.603 --> 00:21:00.606]  All these little packages coming to people's houses are undercutting all the markets.
[00:21:00.606 --> 00:21:02.768]  He's made special deals with the government.
[00:21:02.768 --> 00:21:06.330]  He gets $1.48 every package from us.
[00:21:06.330 --> 00:21:07.972]  He took over the publishing industry.
[00:21:07.972 --> 00:21:09.333]  He devastated that.
[00:21:09.333 --> 00:21:10.914]  He's moving on to everything.
[00:21:10.914 --> 00:21:11.995]  He's anti-free speech.
[00:21:11.995 --> 00:21:22.163]  He owns the Washington Post, churning out lies against America, trying to have Infowars shut down, and putting out disinfo that I'm a Russian agent that needs to be arrested.
[00:21:24.881 --> 00:21:28.323]  And he does this to any industry, any media, anything.
[00:21:28.323 --> 00:21:31.004]  He wants total control.
[00:21:31.004 --> 00:21:35.647]  And he psychologically studies how to get you tied into his systems.
[00:21:35.647 --> 00:21:43.251]  He wants to own the grocery stores you go to, the self-driving cars, the packages you get, where you live.
[00:21:43.251 --> 00:21:47.533]  He's pushing the coffin apartments so you own nothing, you have nothing.
[00:21:47.533 --> 00:21:49.954]  He's trying to replace you with robots.
[00:21:49.954 --> 00:21:52.476]  He's a super uncool guy, okay?
[00:21:56.792 --> 00:22:04.518]  And of course he's all tied into DARPA and his daddy and a whiz kid who just magically did all this on his own.
[00:22:04.518 --> 00:22:05.299]  Bull!
[00:22:05.299 --> 00:22:06.760]  It's like Bill Gates.
[00:22:06.760 --> 00:22:08.081]  It's like Apple.
[00:22:08.081 --> 00:22:11.885]  All of it are in-Q-Tel government DARPA fronts.
[00:22:11.885 --> 00:22:16.168]  And they even admit it when you read deeper literature.
[00:22:16.168 --> 00:22:20.472]  And Trump is trying to stop this anti-human system.
[00:22:20.472 --> 00:22:25.536]  That's his big crime, is that he's against this total control grid
[00:22:27.281 --> 00:22:30.902]  The globalists are building, so that's coming up.
[00:22:30.902 --> 00:22:38.384]  YouTube, when you type in how to fix the number one search is how to have sex with your kids.
[00:22:38.384 --> 00:22:48.107]  Massive pedophile arrests going on all over the place of people sex trafficking three, four, and six-month-old babies for gang raping.
[00:22:48.107 --> 00:22:49.448]  That's all coming up.
[00:22:49.448 --> 00:22:51.848]  As liberal media says, there is no pedophilia.
[00:22:51.848 --> 00:22:52.949]  It doesn't exist.
[00:22:52.949 --> 00:22:56.690]  No one wants to sexualize your children, and you turn on the television
[00:22:57.904 --> 00:23:08.247]  And it's sexualization of children, and then we've got a report break in the next few days of what Disney's up to.
[00:23:08.247 --> 00:23:10.508]  And I'm just gonna leave it at that.
[00:23:10.508 --> 00:23:14.769]  But you talk about caught red-handed.
[00:23:14.769 --> 00:23:18.431]  This is the coming out of the pedophiles, folks.
[00:23:18.431 --> 00:23:20.631]  I'm gonna stop right there.
[00:23:20.631 --> 00:23:25.373]  But this stuff's gotten so hardcore that I already knew it was true, and that their religion is pedophilia.
[00:23:26.266 --> 00:23:45.613]  But when you actually see them on store shelves selling sexualization of babies, I don't even know what to say at this point.
[00:23:45.613 --> 00:23:50.895]  You know, I almost just need to take a vacation because I'm not complaining.
[00:23:50.895 --> 00:23:53.076]  I've just reached the maximum point here.
[00:23:53.076 --> 00:23:53.576]  I mean, I'm
[00:23:58.328 --> 00:23:59.389]  I don't even know what to say anymore.
[00:23:59.389 --> 00:24:01.109]  I mean, these people are evil.
[00:24:01.109 --> 00:24:03.290]  They are scientifically evil.
[00:24:03.290 --> 00:24:05.111]  They have a will to dominate you.
[00:24:05.111 --> 00:24:06.452]  They hate you.
[00:24:06.452 --> 00:24:10.214]  It's a feeling of just pure, complete, absolute.
[00:24:10.214 --> 00:24:11.354]  They're going to run your life.
[00:24:11.354 --> 00:24:12.455]  They know how you work.
[00:24:12.455 --> 00:24:13.695]  They're going to program you.
[00:24:13.695 --> 00:24:14.856]  They're going to set you up.
[00:24:14.856 --> 00:24:15.936]  They're going to get you.
[00:24:15.936 --> 00:24:17.337]  They're going to make you sick.
[00:24:17.337 --> 00:24:18.818]  They're going to dominate your life.
[00:24:18.818 --> 00:24:20.218]  They're just vicious.
[00:24:20.218 --> 00:24:23.500]  They only feel good when they're running over you and doing something bad.
[00:24:25.802 --> 00:24:31.307]  And if people would just wake up to how bad these folks are and start making better life choices, it'd all be over!
[00:24:31.307 --> 00:24:39.514]  I have harangued everybody around me to not use Amazon for years.
[00:24:39.514 --> 00:24:41.715]  We were off of Amazon for years.
[00:24:41.715 --> 00:24:44.298]  Without me even knowing, they put our stuff back on Amazon.
[00:24:45.461 --> 00:24:53.389]  And the argument is in our marketing and shipping, sir, we had to do it because then they sell counterfeits or our products at lower prices and undercut us.
[00:24:53.389 --> 00:24:58.594]  So we have to have a presence there so we can shut down everybody else selling our stuff.
[00:24:58.594 --> 00:25:03.839]  So we have to just have a limited deal there just so we can't be associated with Amazon.
[00:25:03.839 --> 00:25:05.080]  It's such a monopoly.
[00:25:05.080 --> 00:25:10.065]  We've got to have one of their tentacles around our neck or we can't even communicate with the monster.
[00:25:14.246 --> 00:25:21.255]  And they've got the exhausted humans hanging around inside the factories as the robots are right next to them replacing them.
[00:25:21.255 --> 00:25:25.200]  That's up on newswars.com and everywhere else.
[00:25:25.200 --> 00:25:29.686]  And then meanwhile, I have Bezos breathing down my neck.
[00:25:35.044 --> 00:25:50.190]  And he's about to get not just a $1.48 every package and tax exemptions in all these cities and where the cities actually pay to build their factories and it's all you thought you thought paying to build a sports stadium was bad.
[00:25:50.190 --> 00:25:51.031]  This is next level.
[00:25:52.301 --> 00:26:11.128]  They now have a bill that's set to pass the Senate anytime with bipartisan support, because Bezos has greased all the skids, where every federal purchase, whether it be automobiles or printer ink or government uniforms, will go through Amazon.
[00:26:11.128 --> 00:26:17.891]  And Amazon's going to give them a computer program interface where you can only shop on government computers with Amazon.
[00:26:20.714 --> 00:26:24.856]  And of course Trump's trying to stop that, and that's why they want to kill him.
[00:26:24.856 --> 00:26:44.344]  Because you're going to buy from Jeff Bezos, who's anti-gun, anti-Christian, anti-family, anti-human, pro-robot takeover, because he's such a jerk, that if he thinks he can wreck humanity with Apple and Google and all the rest of these psycho jerks, then he's a big man, because he screwed over everybody!
[00:26:46.033 --> 00:26:53.880]  He made you pay for it, and you were so stupid, you kept buying everything from him in the little Pavlovian boxes.
[00:26:53.880 --> 00:26:57.282]  Oh, and the free shipping, because it's been paid for by taxpayers.
[00:26:57.282 --> 00:27:00.905]  And there you are, slitting your own throat, shutting your own city down.
[00:27:00.905 --> 00:27:03.468]  It's not innovation, it's cancer!
[00:27:03.468 --> 00:27:07.211]  It's organized, scientific, bug-eyed evil!
[00:27:09.448 --> 00:27:19.323]  By a collection of psychopaths who love slave camps, who love slave labor, who love forced abortion, who love forced drugging, who love suicide nets.
[00:27:20.640 --> 00:27:32.143]  You're never going to hear Black Lives Matter or Kaepernick or anybody bitch and complain about millions of Chinese slaves or millions of Buddhists in prisons with their organs being harvested because that's not the script!
[00:27:32.143 --> 00:27:49.027]  You follow Apple and Amazon's script and Google's script to act like you're all liberal and loving while your own white papers say you're going to replace humans and humans are dog meat and garbage and filth!
[00:27:49.027 --> 00:27:49.727]  Now coming up!
[00:27:50.751 --> 00:27:52.573]  Should have said it at the start of the broadcast.
[00:27:52.573 --> 00:27:54.794]  You want movement from Trump?
