[00:00.000 --> 00:12.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[02:37.000 --> 02:46.000]  Sometimes there's not room, sometimes they set up the list every few weeks, sometimes major Christian channels with more viewers than CNN can't get in.
[02:46.000 --> 02:54.000]  Why can't they be there? Why is CNN God with its average show maybe 100,000 viewers?
[02:54.000 --> 03:00.000]  I mean, I can fart in the wind and it's got more people watching it and smelling it.
[03:00.000 --> 03:03.000]  I don't mean to be gross but it's a funny joke than CNN has.
[03:03.000 --> 03:11.000]  It's literally a joke and Trump everywhere he goes has gotten the best ratings in U.S. television history.
[03:11.000 --> 03:16.000]  He's got the best Q-scores out there, probably anybody on TV.
[03:16.000 --> 03:21.000]  People watch him more because they've done Q-scores, means watchability in these focus groups they do.
[03:21.000 --> 03:24.000]  Trump's got more Q-scores than a beauty pageant.
[03:24.000 --> 03:27.000]  Of course he hosted those as well, figuring that out.
[03:27.000 --> 03:33.000]  So when he brags about his ratings, nobody's got ratings better than Trump.
[03:33.000 --> 03:39.000]  Mainstream media has gone straight down in the last decade, as everybody knows, they have a lower approval rating than even Congress at 7%.
[03:39.000 --> 03:41.000]  Congress has a 9%.
[03:41.000 --> 03:50.000]  Why is Trump the superstar going to go have a correspondence dinner set up by Ever Bernays 80-something years ago to make the media into superstars?
[03:50.000 --> 03:53.000]  He said, turn the media into burgeoning Hollywood.
[03:53.000 --> 03:55.000]  Mix it all together.
[03:55.000 --> 03:58.000]  Make corporate media superstars.
[03:58.000 --> 04:01.000]  And Trump's going to not make you superstars anymore.
[04:01.000 --> 04:09.000]  The public's already left you in droves, but your last little peacock events to go there when there's a president or somebody else that's somewhat popular,
[04:09.000 --> 04:14.000]  like Trump, super popular with the people, despite your fake polls,
[04:14.000 --> 04:19.000]  and he's there and he makes you look good and then you bitch about it.
[04:19.000 --> 04:22.000]  Good, you go to the correspondence dinner.
[04:22.000 --> 04:25.000]  And I don't think Spicer should be there.
[04:25.000 --> 04:28.000]  None of the White House, in fact, let's tweet Trump.
[04:28.000 --> 04:31.000]  Everyone should be barred from going.
[04:31.000 --> 04:38.000]  You know, the president's not authoritarian, so I guess if people in the White House get in the invite and they want to go, you go peacock around.
[04:38.000 --> 04:45.000]  But who wants to hang around with Benedict Arnold and Joseph Goebbels and Judas Iscariot?
[04:45.000 --> 04:54.000]  I mean, you better have some big money to pay me to go to that thing and hang around with a bunch of mummies with no ratings and a bunch of narcissists to sell out scumbags.
[04:54.000 --> 05:17.000]  No, this is big. You can put a fork in them, they're done.
[05:24.000 --> 05:38.000]  We have to ask ourselves how safe is our country when we have shadow elements in various intelligence agencies with holding information from the president that could be pertinent to him being able to make fast decisions in regard to the safety of the nation.
[05:38.000 --> 05:43.000]  And lastly, given the history of nefarious conduct by various intelligence agencies,
[05:43.000 --> 05:56.000]  would Trump make an executive order within constitutional restrictions to drain the swamp within the intelligence agencies before they enact a coup against him which would undermine the American democratic process?
[05:56.000 --> 06:13.000]  We are on the March. The Empire is on the run. Alex Jones and the GCN Radio Network.
[06:26.000 --> 06:46.000]  Stick a fork in the corporate dinosaur media. You can really see that Trump is the tombstone of mainstream dinosaur fake stream media.
[06:46.000 --> 07:00.000]  And with his latest announcements that he's not attending the White House press corps event, that he won't attend the correspondence dinner announcing that he just won't always out of hand let CNN and the New York Times into press briefing.
[07:00.000 --> 07:06.000]  Sometimes there's other groups that haven't been allowed in that are trying to get in. He's going to let them in. You're not God.
[07:06.000 --> 07:12.000]  There are 14 year old YouTubers that have more viewers every day than all of CNN combined.
[07:12.000 --> 07:21.000]  We certainly have more viewers and listeners here every week on average and CNN does. They are a complete hoax.
[07:21.000 --> 07:30.000]  And so Trump says you want to have CNN. You want to have the Washington Post Newsweek Time Magazine all calling for civil insurrection overthrow murder of the president.
[07:30.000 --> 07:39.000]  You want to boycott and financially block anybody on YouTube or Google or Facebook trying to promote the president's ideas and bringing our jobs back.
[07:39.000 --> 07:52.000]  Well, the president's going to start blocking you bullies. We're only calling for his death. We're only calling him a Nazi. We're only lying about him when he says fake news is the enemy of the American people.
[07:52.000 --> 07:59.000]  They come out and say that you hear President Trump says all media and questioning him as the enemy. That's how a dictator talks.
[07:59.000 --> 08:08.000]  And Trump gives a speech and goes I didn't do that. I said fake news is the enemy and that's my free speech. You're calling for me to be killed.
[08:08.000 --> 08:18.000]  But I'm supposed to not even say anything about you. So this is simply amazing. Meanwhile, on Friday and Saturday, it was in the New York Times.
[08:18.000 --> 08:35.000]  It was in Rolling Stone. It was in everywhere. Black magic rituals with Hollywood people and music folks calling for the death of Trump and doing a voodoo spell stabbing dolls and other effigies of Trump hoping to kill him last night.
[08:35.000 --> 08:45.000]  How Donald Trump is making witches and Christians fight again. Funny, that's their headline. Actually Rolling Stone yesterday had the headline different.
[08:45.000 --> 08:51.000]  It's actually over there in my other studio, other office. Josh has got it. I think they changed the headline. It was do a spell against Trump.
[08:51.000 --> 08:58.000]  And they said they're calling on the dark forces of Satan to kill him. Witches around the world plot mass spell against Trump.
[08:58.000 --> 09:09.000]  So I've always told you that at the bottom of the left is occultism and a lot of my research sex abuse and they continue to get caught doing it.
[09:09.000 --> 09:17.000]  And clear evidence of it is in the WikiLeaks. And you look at Wiener on the child porn charges. We told you that was coming three months ago.
[09:17.000 --> 09:23.000]  Now it's in the news. We told you there'd be pedophile roundups around the country. Those are now happening by the thousands.
[09:23.000 --> 09:30.000]  So there's this whole underbelly. But then when we say Hillary was a witch, she was admittedly a witch. Hillary was into black magic.
[09:30.000 --> 09:34.000]  You know, they're saying we call on dark powers to go after Trump.
[09:34.000 --> 09:40.000]  Whether you believe in that or not, they're doing this. Kind of their own ghost dance.
[09:40.000 --> 09:52.000]  So where are the apologies to me again telling you that we're dealing with people that are doing the spirit cooking and all the rest of stuff that Podesta goes to.
[09:52.000 --> 09:56.000]  Where they've got listed on the menu, blood, semen.
[09:56.000 --> 10:02.000]  Epigies of children being sacrificed. People's and vats of blood. Children are brought to these events.
[10:02.000 --> 10:15.000]  There's photos that they put out themselves of little kids at night at these meetings while they're doing, quote, simulated Satan rituals. They call art.
[10:15.000 --> 10:21.000]  In fact, again, it's over in my stack. And there's actually some of the articles where it talks about, you know, like, you know, they're calling on the forces of darkness, of hell,
[10:21.000 --> 10:28.000]  to kill Trump. They want to turn him into ashes. You can pull that up yourself. So that's what's going on here.
[10:28.000 --> 10:34.000]  And then Trump, with the mainstream media calling for his death, his assassination, Newsweek calling for a time to riot.
[10:34.000 --> 10:41.000]  The Soros funding group saying, bang, bang, you know, cops dead, oink, oink, bang, bang, you're dead. Time to kill cops.
[10:41.000 --> 10:48.000]  All this craziness going on. People being beat up to try to go to Trump events in private, you know, facilities or in college facilities.
[10:48.000 --> 11:00.000]  That's all okay. Calling for punching people that are Trump supporters. Violence is okay because we're the anointed bullies that tell you what words to use and what you can do and what you can say.
[11:00.000 --> 11:10.000]  And then Trump says, fine, I'm not going to the White House Correspondence Dinner. I'm boycotting you. You're boycotting me, fine. And they freak out.
[11:10.000 --> 11:20.000]  Then they freak out and say, oh, we're the mainstream media. We control reality. We don't have the ratings. People don't trust us. We have a 7% of brutal rating. It doesn't matter.
[11:20.000 --> 11:26.000]  You must bow down to us. You must give in to us. You must submit to us because we're almighty.
[11:26.000 --> 11:39.000]  And Trump, again, is only delivering on what he said he would do, shaying no to all of this. But again, we really should pray for President Trump because, as I've told you, it's a cultism.
[11:39.000 --> 11:55.000]  The whole globalist system, their whole program is about being anti-God, anti-Christian, anti-family. Everything they do is exclusionary to the normal life force of men and women together, creating children and having a world together.
[11:55.000 --> 12:01.000]  It is a systematic system of failure and death that they're pushing.
[12:01.000 --> 12:10.000]  So let's get into some of these articles. Trump says he will not attend White House Correspondence Dinner. He tweeted, I will not be attending the White House Correspondence Association Dinner this year.
[12:10.000 --> 12:20.000]  Please wish everyone a great evening. Please wish everyone well and a great evening.
[12:20.000 --> 12:31.000]  Isn't that just cute? So that's what this is all about. They want to boycott him. They want to call for his death. Then he calls them fake canoes when they lie about him.
[12:31.000 --> 12:36.000]  And they only intensify on what they're doing. They won't have any ratings unless Trump goes.
[12:36.000 --> 12:47.000]  Trump's the reason they admit that CNN's gone from almost no viewers to a little bit. And every other major outlet admits that Trump gives them huge, huge ratings.
[12:47.000 --> 12:59.000]  So if he doesn't go, and if he doesn't give them the exclusive at the event, and if he doesn't go on their channels, it's game over. They need him. Not the way around.
[12:59.000 --> 13:04.000]  We don't need the globalist. We don't need these people lecturing us down their noses all day.
[13:04.000 --> 13:11.000]  White House blocks CNN, New York Times for press briefings, hours after Trump slams media, Washington Post.
[13:11.000 --> 13:17.000]  They go on to say, oh, we're not going to go to the White House now in solidarity with the other media that's been banned.
[13:17.000 --> 13:25.000]  No, they just said, you don't get into the press briefing this time. We're going to let some other folks in that there's never room for who are accredited.
[13:25.000 --> 13:40.000]  Oh, we just don't get everything automatically when Jeff Bezos owns the Washington Post and got $600 million last year and $600 million budgeted this year by Obama from the CIA to fund the Washington Post.
[13:40.000 --> 13:47.000]  There should be congressional hearings. Obama passed the law three years ago that the CIA could fund domestic media.
[13:47.000 --> 13:50.000]  Well, I don't care if Obama said it was legal to do that. It shouldn't be.
[13:50.000 --> 13:56.000]  Just like Obama said he would just let illegals come across with diseases and not even test them or let felons in.
[13:56.000 --> 14:02.000]  Well, he's a criminal. He's gone. He's out of office now.
[14:02.000 --> 14:08.000]  So every other country has laws and has visas and has rules. We're going to have them. Oh my gosh.
[14:08.000 --> 14:15.000]  Fake news media outlets CNN, New York Times, Buzzfeed not invited a White House presser. They call it being banned.
[14:15.000 --> 14:21.000]  No, they just didn't get into this one. Woodward press shouldn't whine. Not in media's interest to have war with Trump.
[14:21.000 --> 14:25.000]  We should continue investigations. You have to bring him down with made up crap.
[14:25.000 --> 14:35.000]  House Democrats plan to troll Trump at big speech. Remember the one guy during an inauguration or during a state of the union said you lie.
[14:35.000 --> 14:44.000]  And the whole media said how dare him when Obama said that he wasn't opening the borders, that Obamacare was free and a bunch of other crap.
[14:44.000 --> 14:50.000]  The congressman said you lie. Well, now they're saying, oh, this is good. Politico.
[14:50.000 --> 15:01.000]  House Democrats plan to troll Trump at big speech. Lawmakers are inviting dreamers, Muslim Americans and others to join a dress before Congress this Tuesday.
[15:01.000 --> 15:06.000]  Let's carry it live here. I'll have commentary. We'll be covering it live.
[15:06.000 --> 15:14.000]  Father of Seals laid in Yemen calls for investigation. So Trump promises to go after these bases that Obama had targeted but then blocked.
[15:14.000 --> 15:20.000]  A seal gets killed and the dad comes out. So now Trump's bad fulfilling another promise to go after Al Qaeda and ISIS.
[15:20.000 --> 15:27.000]  That's the way this all works. So we're going to be breaking more of this down after we come back from break.
[15:27.000 --> 15:33.000]  It's time to boycott them. They want to boycott America. They want to try to bully us into submission.
[15:33.000 --> 15:39.000]  It's time to say to the globalist, we're done with Hollywood. We're done with the Oscars. We're done with all your stinking garbage.
[15:39.000 --> 15:45.000]  We're done with your public schools. If they're federally and globalist run, we're breaking away from you. And guess what?
[15:45.000 --> 15:53.000]  We're the producers. We're the workers. We're the inventors. We're the strivers. And we're going to make America great again.
[15:53.000 --> 15:58.000]  So if you don't want to surround you, that's great. You'll collapse vampires.
[15:58.000 --> 16:03.000]  We have the new product in enforce life dot com bio true selenium.
[16:03.000 --> 16:14.000]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[16:14.000 --> 16:23.000]  If you take selenium in the body, it actually benefits the detoxification systems in your body. It helps balance the thyroid gland. It helps detoxify.
[16:23.000 --> 16:26.000]  Selenium is another one of those absolute must haves.
[16:26.000 --> 16:31.000]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[16:31.000 --> 16:37.000]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[16:37.000 --> 16:45.000]  So it really is a all around nutrient that everybody really needs. I'm taking it now every day. This is so key.
[16:45.000 --> 16:49.000]  Bio true selenium is the product, the best selenium that we could bring.
[16:49.000 --> 16:51.000]  We believe it's the best out there at a very, very low price.
[16:51.000 --> 16:57.000]  Exclusively available at infowarslife.com or by calling toll free triple eight, two, five, three, three, one, three, nine.
[16:57.000 --> 17:11.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[17:11.000 --> 17:15.000]  Young Jebedee also offers you an ingenious way to augment your income.
[17:15.000 --> 17:19.000]  And the best part, you'll be helping your friends and family along the way.
[17:19.000 --> 17:27.000]  Visit infowarsteam.com today, become a member, get discounts on the amazing products and free shipping when you sign up for auto ship.
[17:27.000 --> 17:33.000]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[17:33.000 --> 17:39.000]  Another win-win. That's why I'm a member of the Young Jebedee team at infowarsteam.com and you can be too.
[17:39.000 --> 17:45.000]  It's simple. Just go to infowarsteam.com today, complete a short sign up and you're part of the team.
[17:45.000 --> 17:54.000]  That's infowarsteam.com or infowarshealth.com. So many people call into my radio show and tell me how Young Jebedee and the products at infowarsteam.com have changed their lives.
[17:54.000 --> 18:16.000]  Check it out for yourself today.
[18:25.000 --> 18:31.000]  We drill down more than 7,000 feet to gather these purple-blue crystals to extract the ultra-pure iodine.
[18:31.000 --> 18:35.000]  On top of that, we also screen our iodine for radiation before bottling.
[18:35.000 --> 18:38.000]  It is the purest, cleanest, strongest out there.
[18:38.000 --> 18:42.000]  Quite frankly, I'm flattered that with the launch of Survival Shield, nascent iodine,
[18:42.000 --> 18:51.000]  that major brands and major companies have been knocking down our doors to get our formula and that they have been unable to come up with anything even close to what we have.
[18:51.000 --> 18:58.000]  It is exclusive to infowarslife.com and the infowarslife family of incredible products.
[18:58.000 --> 19:07.000]  Today we call it bone broth and for thousands of years our ancestors enjoyed its benefits before it became a loss to our modern diet of processed junk.
[19:07.000 --> 19:10.000]  We are now introducing Caveman by infowarslife.com.
[19:10.000 --> 19:20.000]  The ultimate and true paleo nutrition with bone broth, turmeric root, shaga mushroom and 7 total primal superfoods in a single great tasting formula.
[19:20.000 --> 19:28.000]  Caveman is those people living in the wilds having to actually build civilization that are our superior ancestors and we need to do everything we can to recapture that.
[19:28.000 --> 19:36.000]  Everyone knew that you used all the parts of the animal. You used the meat for sustenance, the fat for cooking, but you used the bones for strength.
[19:36.000 --> 19:44.000]  From the outside structure full of minerals and key cofactors to the marrow that produces the blood for the body, this is the engine of the life essence.
[19:44.000 --> 19:52.000]  I'm a long way from the caveman my ancestors were, but I'm sure as hell trying to get back to that essence that made us what we were and this is a big part of it.
[19:52.000 --> 20:14.000]  I know you're going to want to check out Caveman ultimate paleo formula for yourself at infowarslife.com today.
[20:14.000 --> 20:24.000]  You thought the lead in winter would bring you down forever, but you rode upon a steamer to the violence of the sun.
[20:24.000 --> 20:33.000]  Broadcasting live from the UN stronghold Austin, Texas, you're listening to the Alex Jones show.
[20:33.000 --> 20:44.000]  That's right, we're not really saying from deep behind enemy lines anymore because we're recapturing the country.
[20:44.000 --> 20:56.000]  But I do come to you from a model UN city, the number one in the world, their own admission of putting people in 200 square foot apartments, getting rid of cars, breaking up families, banning shingle family dwellings,
[20:56.000 --> 21:12.000]  code next is what they call it or agenda 2030. And it's just amazing, you know, my ancestors helped found the state and this county and now I've got all the brainwashed poor Californians and other slaves that literally look at Texans like we shouldn't be here.
[21:12.000 --> 21:16.000]  I mean, it's amazing. It is absolutely amazing.
[21:16.000 --> 21:27.000]  Now Trump's calling for the biggest rally ever of his supporters just to put the idea out there and they're saying obviously go to town halls, be politically engaged, pray for America. The fight has just begun.
[21:27.000 --> 21:36.000]  Because the Soros groups and others are really pushing to bully people at town hall meetings, city council meetings, state house meetings and all over the country.
[21:36.000 --> 21:38.000]  We have these videos.
[21:38.000 --> 21:51.000]  They're up on infowars.com. They chant hail Satan, hail Lucifer. And again, they're doing all this witchcraft against the president, all this basically mental illness, according to their whole atheist views.
[21:51.000 --> 22:00.000]  But I found that atheists themselves, when you talk about a political philosophy at the top, are a cultist that don't want the public aware of how the system actually operates.
[22:00.000 --> 22:08.000]  But regardless, you never see the atheists criticizing all the crazy Satanists and Luciferians running around.
[22:08.000 --> 22:27.000]  No, no, no. They're only criticizing Trump for invoking the birthright and God and Jesus Christ. Remember, CNN's Jake Tapper calls Trump inaugural speech one of the most radical because he invoked the birthright and God and providence and destiny.
[22:27.000 --> 22:40.000]  This is Rolling Stone, you know, with the witches and the occult and mass spell against Trump, hoping he dies. Good witch, Lain Adele Ray, participates in casting a spell against Trump.
[22:40.000 --> 22:43.000]  Good witches did black magic.
[22:43.000 --> 22:58.000]  So again, this is all going on and they're freaking out and oh, Melania, she had the Lord's Prayer. This is horrible. Separation search in state. If a president's Christian, that's their right. You don't have a state-run religion forcing you to practice one.
[22:58.000 --> 23:07.000]  But political correctness and breaking up our families and being globalist, that is the new religion. And how many times have I told you?
[23:07.000 --> 23:18.000]  Most of the anti-American folks, most of the pro-abortion people that are really hard-cored into it will tell you, I'm not just into people having their right to abortion. I like it. It's I love it.
[23:18.000 --> 23:28.000]  All the big top feminists wear shirts saying, I had an abortion. I'm proud of it. We've played the clips where they say, I went and got one. I got pregnant. Just to have one, it's so loving.
[23:28.000 --> 23:42.000]  It's about being sick. ISIS just put out videos of puppies with bombs tied to them and said, look, we blow up puppies. We want to be bad. It's like the communists attacking a cat sanctuary in Austin to run it out of the East Austin.
[23:42.000 --> 23:51.000]  It's about being nasty. It's about being evil. If you study history, you learn where all this comes from. And that's what they hate about it so much.
[23:51.000 --> 24:00.000]  So let's go ahead and go to some of these clips. This is Trump at CPAC a few days ago. Not afraid to mention God, then President Trump at the inauguration.
[24:00.000 --> 24:11.000]  And then First Lady recites the Lord's Prayer. This is what they hate. But when they do this, it's horrible. It's evil. It's bad. It's the worst thing in the world.
[24:11.000 --> 24:23.000]  But when, oh, you promote witchcraft and Satanism and Luciferianism everywhere, that's okay. And it's a bunch of spoiled brats declaring they hate prosperity and God's natural order.
[24:23.000 --> 24:33.000]  Well, if they want to go off and be losers and failures, I'm into freedom. So is God. Do what you want. As Alistair Crowley says, you know, you got right. You got free will.
[24:33.000 --> 24:41.000]  I love how Crowley acts like he invented the idea of you got your own free will. You know, do as I will. Yeah, do as I will. But pay the consequences of your action.
[24:41.000 --> 24:50.000]  You know, drink a gallon of vodka today and die of liver failure. Smoke six packets of cigarettes every few days. Die of lung cancer. Hey, we live in a free society.
[24:50.000 --> 24:58.000]  But don't make us adopt what you do that's destroying you. Believe me, I don't say that from some high horse. I just understand natural law.
[24:58.000 --> 25:02.000]  So let's go ahead. Trump, not afraid to mention God.
[25:02.000 --> 25:15.000]  We all salute with pride, the same American flag, and we all are equal, totally equal unification in the eyes of Almighty God.
[25:15.000 --> 25:21.000]  We're equal. Unification.
[25:21.000 --> 25:26.000]  If you want to be unified.
[25:26.000 --> 25:35.000]  Oh, God, whatever. Oh, but let's devil worship all day. Let's sexualize children. That's the religions ruling innocence. Satanist worldwide have always been ruling innocence.
[25:35.000 --> 25:53.000]  I want to thank, by the way, the evangelical community, the Christian community, communities of faith, rabbis and priests and pastors, ministers,
[25:53.000 --> 26:05.000]  because the support for me was a record, as you know, not only in terms of numbers of people, but percentages of those numbers that voted for Trump.
[26:05.000 --> 26:06.000]  And it's a spirit.
[26:06.000 --> 26:24.000]  I want to thank you folks. I was amazing and amazing outpouring, and I will not disappoint you. As long as we have faith in each other and trusted God, then there is no goal at all beyond our reach.
[26:24.000 --> 26:29.000]  There is no dream too large, no task too great.
[26:29.000 --> 26:44.000]  We are Americans and the future belongs to us. The future belongs to all of you and America is coming about and it's coming back and it's roaring and you can hear it.
[26:44.000 --> 26:46.000]  It's going to be bigger and better.
[26:46.000 --> 27:01.000]  It is going to be. It is going to be. Remember, and it's roaring. It's going to be bigger and better and stronger than ever before.
[27:01.000 --> 27:11.000]  Trump's got incredible will. He is speaking that into existence, but it isn't some magic. We have the base to do it. We have the both right. We're in. If we take it back, he knows it.
[27:11.000 --> 27:29.000]  I want to thank you and Matt and Mercedes. I want to thank the two of you and all of the supporters that I have. I see them. They're all over the place. You are really great people. I want to thank you.
[27:29.000 --> 27:37.000]  And I want to say to you, God bless you and God bless the United States of America. Thank you.
[27:37.000 --> 27:44.000]  Now, again, Hillary never once got used. He took American flags down during their convention because they lost. She's now saying God bless too.
[27:44.000 --> 27:50.000]  So when the devil thought he had you be, he took his mask off. Now that he knows you're awake, he puts the little Jesus mask back on.
[27:50.000 --> 28:01.000]  The difference is, Judge Trump buys fruits, small businesses exploding, stock market exploding. Everything happening. Yeah, yeah, yeah. Let's cue it back up and just play the part when Hillary says God bless you.
[28:01.000 --> 28:13.000]  I'm going to come back and play Milani and other clips. And what's more important was his inaugural where he called in the birthright, the destiny and ask God back in. That was key.
[28:13.000 --> 28:22.000]  Because if you reject God, God didn't like the devil or the spirit of oppression. Whether you call it energy, wavelengths, whatever. I want to get new age you with people. This is real, though.
[28:22.000 --> 28:34.000]  In every culture they know you call on dark, evil forces. It comes, but it's destructive and it's bad for you as well. You call on God and you mean it with a good heart. God will deliver.
[28:34.000 --> 28:36.000]  Let's go out with Hillary. Here she is.
[28:36.000 --> 28:42.000]  Three step of the way. God bless you and God bless America.
[28:42.000 --> 28:53.000]  Never heard that from her in decades. You hear it now because she must now be the counterfeit Christ. We'll be back.
[29:13.000 --> 29:23.000]  Obesity, diabetes, cancer, heart disease and autoimmune illnesses are rampant. One out of three or four people is dealing with some kind of health challenge and everyone knows at least one person with a degenerative disease.
[29:23.000 --> 29:41.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day to day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats and amino acids that needs to do its healing work.
[29:41.000 --> 29:51.000]  You need to check out infowarsteam.com. Give your body the gift of good nutrition. Head over to infowarsteam.com. Your body will be very grateful.
[29:51.000 --> 30:15.000]  Follow the web at infowarsteam.com. That's infowarsteam.com.
[30:22.000 --> 30:30.000]  Like a small refrigerator so you can keep food from spoiling. Plus, you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[30:30.000 --> 30:37.000]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[30:37.000 --> 30:42.000]  Perfect for cabins, remote locations, any time you need to get off the grid for a while.
[30:42.000 --> 30:53.000]  Go to privatepowergrid.com to watch this thing in action. That's privatepowergrid.com. Even better, use coupon code PRIVATE at checkout and get a second PPX Energy Unit for free.
[30:53.000 --> 31:17.000]  Check it out at privatepowergrid.com. That's privatepowergrid.com.
[31:24.000 --> 31:26.000]  Deep cleanse doesn't hold back.
[31:26.000 --> 31:35.000]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[31:35.000 --> 31:42.000]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietary SpyJurex herbal processing technique.
[31:42.000 --> 31:48.000]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[31:48.000 --> 31:53.000]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit infowarslife.com.
[31:53.000 --> 32:19.000]  That's infowarslife.com, or call 888-253-3139.
[32:19.000 --> 32:27.000]  The Prostagard formula does just that with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[32:27.000 --> 32:36.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[32:36.000 --> 32:47.000]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[32:47.000 --> 32:55.000]  Now's the time to start naturally supporting your body. Get Prostagard on your side today, exclusively at infowarslife.com.
[32:55.000 --> 33:02.000]  That's infowarslife.com.
[33:02.000 --> 33:10.000]  You're listening to the Alex Jones Show.
[33:10.000 --> 33:20.000]  You can have that pass with your friends.
[33:20.000 --> 33:26.000]  You can make use of your voice and make use of what's good for you.
[33:26.000 --> 33:28.000]  K. L. N. Los Angeles.
[33:28.000 --> 33:34.000]  Clone Radio. We play the songs that sound more like everyone else than anyone else.
[33:34.000 --> 33:37.000]  Clone.
[33:37.000 --> 33:42.000]  Hitler took the guns, Stalin took the guns, Mal took the guns, and El Castro took the guns.
[33:42.000 --> 33:45.000]  You know Chavez took the guns.
[33:45.000 --> 33:51.000]  1776 will commence again if you try to take our firearms.
[33:51.000 --> 33:56.000]  The Republic will rise again when you attempt to take our guns.
[33:56.000 --> 34:08.000]  I am sworn upon the altar of God, internal hostility against every form of tyranny over the mind of man.
[34:08.000 --> 34:20.000]  The answer to 1984 is 1776. You're listening to the Alex Jones Show.
[34:20.000 --> 34:27.000]  My gut's never wrong and my gut told me Donald Trump's for real, not perfect, but he's not out to get us.
[34:27.000 --> 34:30.000]  He understands Americana. He understands the globalist.
[34:30.000 --> 34:36.000]  He really is the David versus Goliath. He seems as a billionaire. He's up against globalists in trillions.
[34:36.000 --> 34:42.000]  But I couldn't believe my gut was right for the first year I was supporting him, but I just had to go with my gut.
[34:42.000 --> 34:46.000]  When I was younger, I wouldn't go with my gut. And as I get older, it says gut, gut, gut, gut, gut, gut.
[34:46.000 --> 34:52.000]  I didn't intellectually analyze everything, but I guess wisdom is learning to go with your gut.
[34:52.000 --> 34:57.000]  And I was during the break watching clips of a C-pack speech that we aired during the breaks for TV viewers.
[34:57.000 --> 35:05.000]  And I was just like back there with Darren McBreen and Josh Owens that are so driven, without me even asking, they're up here working seven days a week,
[35:05.000 --> 35:10.000]  even though they both got wives and girlfriends.
[35:10.000 --> 35:17.000]  And it's just because as a real man, normal men would be watching a football game, which is simulated war on Sunday night,
[35:17.000 --> 35:22.000]  because men are supposed to be in business and life and involved and in councils of the village,
