[00:00:01.596 --> 00:00:02.618]  It's official.
[00:06:37.648 --> 00:06:41.030]  Coming to you from deep in the heart of Texas.
[00:06:41.530 --> 00:06:42.810]  Broadcasting worldwide.
[00:06:42.830 --> 00:06:46.491]  328 days, 12 hours, 63 minutes, 27 seconds left.
[00:06:46.511 --> 00:06:51.413]  Until the most important election in world history.
[00:06:53.874 --> 00:06:55.574]  The Great Awakening is here.
[00:06:57.315 --> 00:06:57.695]  Alright.
[00:06:59.335 --> 00:07:04.097]  I was already coming in this morning, I hadn't looked at Drudge, and I was planning to go with this headline, and oh, there it is!
[00:07:05.982 --> 00:07:06.863]  Z for Defeat!
[00:07:09.004 --> 00:07:10.826]  That was the earlier headline, overhead shot please.
[00:07:11.446 --> 00:07:12.607]  Z for Defeat!
[00:07:13.368 --> 00:07:17.391]  Biden Aid Package Risk Collapse Ukraine on Cusp of Losing War.
[00:07:17.411 --> 00:07:25.458]  George Soros went on Fareed Zarqari's show seven years ago.
[00:07:26.581 --> 00:07:27.842]  Played the clip probably 500 times.
[00:07:28.802 --> 00:07:40.369]  We played it again and he said, two years ago we got five billion dollars and we overthrew the government and now we're going to start a war with Russia and they're going to call me the new czar of Russia.
[00:07:42.510 --> 00:07:46.072]  All of that is meant to enrage the Russians and start a war with them.
[00:07:46.752 --> 00:07:53.636]  And then if you're against a war on the edge of Russian territory, starting a fight with them, you're a Russian agent folks.
[00:07:55.316 --> 00:08:00.761]  We don't like sending hundreds of billions of dollars into a black hole so Hunter Biden can get more hookers and crack cocaine.
[00:08:02.723 --> 00:08:03.563]  You're a Russian agent.
[00:08:03.583 --> 00:08:07.046]  And we don't like Biden being on the Chai Com titty.
[00:08:07.106 --> 00:08:08.147]  You're a Russian agent.
[00:08:08.207 --> 00:08:09.308]  No, I'm an American.
[00:08:09.849 --> 00:08:10.950]  But first I'm a Christian.
[00:08:12.351 --> 00:08:13.232]  And then I'm a father.
[00:08:13.652 --> 00:08:14.553]  And then I'm an American.
[00:08:15.874 --> 00:08:16.935]  I serve God.
[00:08:16.955 --> 00:08:18.837]  I serve my family.
[00:08:19.297 --> 00:08:20.378]  Then I serve my country.
[00:08:20.398 --> 00:08:22.200]  I'm proud of our Republic.
[00:08:23.462 --> 00:08:23.862]  And it's
[00:08:46.349 --> 00:08:51.032]  RT, main channel, broadcast all over the world today, live for 35 minutes.
[00:08:51.833 --> 00:08:53.954]  And I laid all this out, and they're going to have headlines everywhere.
[00:08:54.274 --> 00:08:56.195]  Jones is a Russian agent, he went on Russian TV.
[00:08:57.116 --> 00:08:58.937]  I think Biden should be on Russian TV.
[00:09:00.158 --> 00:09:01.739]  I think Senator Rand Paul should be on there.
[00:09:01.979 --> 00:09:03.079]  I think Elon Musk should be on there.
[00:09:03.119 --> 00:09:05.481]  I think Putin should be on US TV.
[00:09:06.141 --> 00:09:09.583]  Like, you know, Kennedy did, and Khrushchev did.
[00:09:09.964 --> 00:09:13.266]  We need to start talking to these people, and we need to stop this right now.
[00:09:14.787 --> 00:09:16.448]  No, I'm an agent of living.
[00:09:17.509 --> 00:09:19.770]  I'm an agent of not having a nuclear war.
[00:09:19.790 --> 00:09:23.233]  Because I love all my children.
[00:09:23.253 --> 00:09:28.696]  I got four of them, but the other three are pretty much grown up.
[00:09:28.716 --> 00:09:29.717]  21, 19, and 15.
[00:09:31.318 --> 00:09:32.319]  But man, there's something about
[00:09:34.431 --> 00:09:39.614]  Your little girls, little boys too, my six and a half year old daughter, she's so innocent, so good, so sweet.
[00:09:40.135 --> 00:09:42.656]  You see God in there, God made that, the innocence.
[00:09:43.176 --> 00:09:46.859]  And I just get beyond pissed off, I get committed.
[00:09:47.759 --> 00:09:54.283]  When I look at her, I know the world these psychos are building and trying to force us into, and I just tell them, I'm not going along with this.
[00:09:54.984 --> 00:10:00.107]  I want stability, I want prosperity, I want security, I want freedom.
[00:10:01.604 --> 00:10:05.526]  And if you look at what the globalists offer, they offer the opposite on every front.
[00:10:05.606 --> 00:10:15.672]  I mean, folks, a document has now come out in the State House, and we know this because it's already happened, and they've already proposed it around the country, and a bunch of cities have already put it in place.
[00:10:16.533 --> 00:10:22.956]  Last time I checked, over 100 major cities, it was 107, the last document I saw, let illegal aliens vote.
[00:10:24.117 --> 00:10:28.039]  Oh, but only local elections, but then they actually vote in the state and federal.
[00:10:29.540 --> 00:10:30.621]  And there's a new document out.
[00:10:31.627 --> 00:10:33.748]  In New York, where they're going to have the illegal aliens vote, period.
[00:10:35.588 --> 00:10:38.329]  I mean, just that's an incredible story right there.
[00:10:40.030 --> 00:10:40.750]  Frontlines.
[00:10:40.850 --> 00:10:46.232]  Mayorkas warns of heightened terror threat amid war in the Middle East and immigration crisis.
[00:10:48.712 --> 00:10:50.713]  New York lawmaker claims smoking gun.
[00:10:51.513 --> 00:10:53.174]  It's not smoking gun, it's a real document.
[00:10:53.474 --> 00:10:55.434]  In New York City, migrant voter fraud scheme.
[00:10:55.975 --> 00:10:56.955]  I got the documents right here.
[00:10:58.228 --> 00:11:00.029]  And then freezing weather hits New York.
[00:11:00.369 --> 00:11:05.752]  They have hundreds of thousands of illegals just everywhere, sleeping in unheated warehouses.
[00:11:05.812 --> 00:11:07.273]  I mean, they tell people, come here.
[00:11:08.814 --> 00:11:13.576]  We have more video out of Chicago where 3,000 people are in a tiny warehouse with two bathrooms.
[00:11:16.158 --> 00:11:19.140]  I mean, this is just so out of control.
[00:11:19.420 --> 00:11:25.143]  And we're going to be hitting on all of that because that's front and center in the third hour with Anthony Rubin.
[00:11:26.598 --> 00:11:50.419]  You know, when we talk to Michael Young, who's such a great reporter and former Special Forces operative, been in hundreds of battles, this is a reporter, he says, talking about a stud, this guest we've got coming on, Anthony Rubin, he's the guy for years, with some of his other compadres, on the trains from Central America all the way up to Texas and California and Arizona,
[00:11:51.613 --> 00:11:56.374]  With the illegal alien hordes coming in, and now it's into the hundreds of thousands every couple weeks.
[00:11:56.534 --> 00:11:57.415]  I mean, it is crazy.
[00:11:57.455 --> 00:11:58.175]  He's got all the footage.
[00:11:58.395 --> 00:11:58.775]  He's here.
[00:11:59.135 --> 00:12:02.436]  He was on American Journal with Harris Smith this morning.
[00:12:03.256 --> 00:12:04.696]  He'll be with us in the studio in the third hour.
[00:12:04.816 --> 00:12:10.478]  Jack Posobiec has got to come on again today because Jack is just so 100% dead on.
[00:12:11.118 --> 00:12:14.219]  So I asked him to come on today to talk about the Zelensky situation.
[00:12:15.609 --> 00:12:18.831]  And the war, it's rapidly moving so quickly.
[00:12:18.851 --> 00:12:28.455]  And he said, sure, I'll come on, but I also want to get into, he said, Iowa Governor Kim Reynolds under fire over satanic idol and altar on display inside the state capitol.
[00:12:29.876 --> 00:12:30.997]  This is going on everywhere.
[00:12:31.397 --> 00:12:36.319]  So they're taking down George Washington and Thomas Jefferson, who told you it would start with Robert E. Lee.
[00:12:38.120 --> 00:12:39.321]  And now it's that.
[00:12:39.381 --> 00:12:41.222]  Oh, it's their right too, their free speech.
[00:12:42.389 --> 00:13:01.311]  Ladies and gentlemen, this group says they conduct abortions as a ritual to kill babies and even major publications like the Washington Post and women's magazines and others, we covered it last week, major ones,
[00:13:02.389 --> 00:13:07.271]  are saying how women can go kill their baby and how much fun it is and how much power Satan will give them.
[00:13:07.291 --> 00:13:15.473]  And you go to Target and they've got dozens of books for little kids to conjure demons, books for seven-year-olds, how they can worship Satan and conjure demons.
[00:13:15.993 --> 00:13:21.175]  This isn't throwing it in Christians' faces and LARPing or trolling.
[00:13:21.495 --> 00:13:22.535]  This is who they are.
[00:13:22.555 --> 00:13:23.536]  And I'm going to explain to you again.
[00:13:25.016 --> 00:13:30.538]  God gives us experiences in our life to teach us how the world really works for missions God has for us.
[00:13:30.598 --> 00:13:31.178]  And most people
[00:13:32.526 --> 00:13:34.748]  End up never really taking the mission on that God offers them.
[00:13:35.989 --> 00:13:36.530]  And that's fine.
[00:13:37.671 --> 00:13:42.196]  As long as you still love God and try to do the right thing and ask Christ your heart, I think you're going to be all right.
[00:13:42.816 --> 00:13:49.183]  But I was like growing up in a rich area of Dallas, richest area in Texas at the time.
[00:13:50.264 --> 00:13:55.149]  And I was just like, what is up with all the devil worship with the rich people?
[00:13:56.290 --> 00:13:56.410]  And
[00:13:58.875 --> 00:14:00.717]  I was like, why am I being shown this?
[00:14:00.977 --> 00:14:03.959]  Why am I getting caught up in this?
[00:14:03.999 --> 00:14:18.730]  I mean, I never took part in the rituals, but I mean, I've literally been taken to eyes wide shut type events and had to leave and walk down the highway back before they had, you know, people had cell phones and knock on a farmer's door and have my dad drive 40 minutes out in the country to pick me up.
[00:14:19.491 --> 00:14:20.571]  Because I've been there, folks.
[00:14:20.591 --> 00:14:21.352]  I mean, eyes wide shut.
[00:14:22.113 --> 00:14:22.553]  Eyes wide shut.
[00:14:23.925 --> 00:14:34.774]  I just thought, man, I'm lucky I'm dating the sexiest girl in the high school, the high school senior, when I'm a freshman, and I was promiscuous, and it's like, and it happened repeatedly again.
[00:14:36.295 --> 00:14:44.142]  Because these cults are real, ladies and gentlemen, and the devil doesn't have an omnipresence, but the devil can pick up on things.
[00:14:45.343 --> 00:14:46.944]  And the devil's like, we're going to get this guy.
[00:14:47.998 --> 00:14:49.179]  And that's how they operate.
[00:14:49.199 --> 00:14:50.139]  They're all over the place.
[00:14:50.159 --> 00:14:51.160]  They're devil worshippers.
[00:14:51.700 --> 00:14:53.401]  Just all over the place, ladies and gentlemen.
[00:14:53.881 --> 00:14:59.424]  And I told you this for a long time, and now it's out in the open.
[00:15:02.526 --> 00:15:03.627]  And I still didn't learn my lesson.
[00:15:03.647 --> 00:15:11.411]  A few months later, oh, one of the other hottest chicks from the nearby school, you know, driving her Jaguar.
[00:15:12.832 --> 00:15:14.272]  Oh, she lives in a 20-bedroom house.
[00:15:14.392 --> 00:15:14.833]  Oh, she, you know.
[00:15:16.201 --> 00:15:18.823]  Oh, you know, she's a high school senior, too.
[00:15:18.863 --> 00:15:19.724]  She wants to date me.
[00:15:21.005 --> 00:15:27.669]  And then, I'm on top of her, and she's, you know, you really ought to join our group.
[00:15:29.671 --> 00:15:32.513]  Then I'm leaving the house, and the dad's like, you enjoy having sex with my daughter?
[00:15:33.153 --> 00:15:33.713]  I sure do.
[00:15:34.154 --> 00:15:35.235]  Why don't you join us, Jones?
[00:15:37.096 --> 00:15:38.417]  These people are for real.
[00:15:39.755 --> 00:15:41.336]  And they're all over the place.
[00:15:42.097 --> 00:15:45.820]  And they've been building the army under the surface, and now they're launching.
[00:15:46.641 --> 00:15:49.203]  Alright, I've been there, I've seen it.
[00:15:50.383 --> 00:15:51.805]  Yeah, Tom Cruise is in a movie.
[00:15:52.325 --> 00:15:53.086]  I've actually been there.
[00:15:53.566 --> 00:15:54.467]  We'll be right back, stay with us.
[00:16:00.154 --> 00:16:09.302]  What would you do if there was a tyrannical totalitarian world government taking over whose plan was to kill 90% of the world population and they were already beginning to do it?
[00:16:09.763 --> 00:16:10.664]  You would rally against it?
[00:16:10.684 --> 00:16:11.204]  You would fight it?
[00:16:11.584 --> 00:16:12.946]  And that's what we're doing.
[00:16:13.426 --> 00:16:14.527]  This is the reality of 2023.
[00:16:15.788 --> 00:16:15.968]  Let's go!
[00:16:33.428 --> 00:16:37.111]  The Great Awakening, The Plan to Defeat the Globalists, and Launch the Second Renaissance.
[00:16:37.531 --> 00:16:39.153]  Twice as long as my last book.
[00:16:39.453 --> 00:16:40.434]  Incredibly powerful.
[00:16:40.514 --> 00:16:41.314]  Signed or unsigned.
[00:16:41.675 --> 00:16:42.796]  InfoWarsTore.com.
[00:16:43.176 --> 00:16:45.998]  And we have X2 finally back in stock after over a year.
[00:16:46.318 --> 00:16:47.279]  InfoWarsTore.com.
[00:16:47.499 --> 00:16:50.321]  We have TurboForce, 10-Hour Clean Energy, back in stock.
[00:16:50.622 --> 00:16:52.703]  And a bunch of other great products as well.
[00:16:53.004 --> 00:16:56.747]  So please visit InfoWarsTore.com and do your Christmas shopping there.
[00:16:57.027 --> 00:16:59.529]  Fund the InfoWar and get great products all at the same time.
[00:17:00.819 --> 00:17:03.201]  Thanksgiving 2023 is here.
[00:17:03.961 --> 00:17:08.884]  And I'm giving Thanksgiving for all we've done against tyranny and your incredible support together in this fight.
[00:17:09.405 --> 00:17:20.732]  And I'm particularly giving Thanksgiving that X2, our number one product, the only true atomic iodine on the market after a year plus of being sold out, is finally back in stock, ready to ship now.
[00:17:21.313 --> 00:17:25.235]  If you don't know the power of X2 and the iodine conspiracy, you are insane.
[00:17:25.916 --> 00:17:26.956]  Get X2 now.
[00:17:27.017 --> 00:17:28.077]  It could be the last run ever.
[00:17:28.117 --> 00:17:28.838]  We get shut down.
[00:17:28.858 --> 00:17:30.139]  While you still can,
[00:17:31.179 --> 00:17:38.482]  At InfoWarsTore.com, research iodine deficiency and billions of people with cognitive disabilities because they don't have it.
[00:17:39.122 --> 00:17:39.722]  X2.
[00:17:40.242 --> 00:17:40.802]  X2.
[00:17:41.323 --> 00:17:44.664]  X2 is now back in stock at InfoWarsTore.com.
[00:17:44.704 --> 00:17:47.805]  Takes a few weeks to kick in, but it is the building block to everything.
[00:17:47.865 --> 00:17:48.565]  It's the missing link.
[00:17:48.585 --> 00:17:52.647]  They bomb us with the fluoride that is in the same family, but has the opposite effect.
[00:17:53.107 --> 00:17:56.608]  This is the holy grail of supplements and empowering yourself.
[00:17:56.808 --> 00:17:58.469]  X2, back in stock right now.
[00:17:58.529 --> 00:17:59.649]  Discount at InfoWarsTore.com.
[00:17:59.969 --> 00:18:07.972]  We have not had this many of our best-selling products back in stock in years because of supply chain breakdowns and all the rest of the stuff that's going on.
[00:18:08.232 --> 00:18:09.593]  And these are game-changing products.
[00:18:09.613 --> 00:18:11.494]  It's like our information's game-changing.
[00:18:11.534 --> 00:18:12.774]  These products are incredible.
[00:18:13.755 --> 00:18:16.316]  And I'm personally glad that these are now back in stock.
[00:18:17.536 --> 00:18:28.121]  All three of the InfoWars Platinum flagship products that have been sold out for months are now back in stock, but a very limited run because we only had a budget to get
[00:18:29.241 --> 00:18:32.143]  We've got 3 or 4,000 bottles of each one of these.
[00:18:32.163 --> 00:18:36.205]  We've got 4,000 bottles of the HGH Max Boost that people love so much.
[00:18:37.205 --> 00:18:41.067]  We've got about 4,000 bottles of 1776 Testosterone Boost that just came in.
[00:18:41.087 --> 00:18:47.491]  And we've got about 3,000 bottles of Pain MD, an incredible natural pain reliever situation.
[00:18:48.631 --> 00:18:54.815]  All three of these are back in stock and they're incredible and they fund our operation at InfoWarstore.com.
[00:18:59.980 --> 00:19:05.281]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[00:19:05.742 --> 00:19:10.103]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[00:19:10.563 --> 00:19:13.024]  I turned down so many companies that wanted to work with us.
[00:19:13.604 --> 00:19:22.986]  But now, we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[00:19:23.166 --> 00:19:25.807]  It's powered by the company Minuteman Coffee.
[00:19:26.427 --> 00:19:34.449]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[00:19:34.930 --> 00:19:36.330]  It is game-changing.
[00:19:36.790 --> 00:19:38.971]  All you gotta do is buy a bag of it and try it.
[00:19:39.031 --> 00:19:42.132]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[00:19:42.372 --> 00:19:46.373]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[00:19:46.413 --> 00:19:47.193]  That's the strongest.
[00:19:47.453 --> 00:19:49.854]  The amazing medium-roast wig of America.
[00:19:50.314 --> 00:19:57.584]  And finally, the best tasting dark roast tip of the spear, now exclusively available at InfoWarsStore.com.
[00:19:57.824 --> 00:19:58.645]  Get your coffee now.
[00:20:01.249 --> 00:20:07.157]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:28.456 --> 00:20:30.061]  Welcome back to the Alex Jones Show.
[00:20:30.442 --> 00:20:33.791]  Back to Summit's got more big breaking news coming up next segment.
[00:20:35.157 --> 00:20:37.938]  Let me do this, because I'm going to hit all this today, one way or another.
[00:20:38.699 --> 00:20:40.199]  Let me just go over the headlines here.
[00:20:40.499 --> 00:20:47.042]  First off, as I mentioned, Z for defeat, Biden aid package risk collapse, Ukraine on cusp of losing war.
[00:20:47.923 --> 00:20:53.305]  As if $26 million could beat $180 million or whatever the Russians have got in all their weapons.
[00:20:54.006 --> 00:21:03.070]  I mean, this is just sick and evil, and they knew, and the Pentagon told them they would lose day one, but it was a good way for the globalists to launder money and rob the American people and kill a bunch of people.
[00:21:04.540 --> 00:21:06.261]  Ukraine's on the cusp of losing this war.
[00:21:06.341 --> 00:21:07.162]  We're screwed.
[00:21:08.703 --> 00:21:10.164]  Is this the end for Zelensky?
[00:21:10.184 --> 00:21:11.284]  Yeah, they're getting ready to blame him.
[00:21:11.925 --> 00:21:15.627]  Ukrainian Zelensky to visit Capitol Hill and USA package risk collapse.
[00:21:17.388 --> 00:21:19.209]  He says, no, no, no, we're not going to defend your border.
[00:21:19.610 --> 00:21:20.390]  Don't pass that.
[00:21:20.410 --> 00:21:21.351]  No, no, no, Biden.
[00:21:21.691 --> 00:21:23.312]  You know, we're not going to shut down the border either.
[00:21:24.193 --> 00:21:27.595]  Just give us money to keep this war going on forever.
[00:21:29.335 --> 00:21:32.877]  And then here's the big enchilada that I'm going to raise with Jack Posobiec.
[00:21:32.917 --> 00:21:35.178]  People ask how I know tomorrow's news today.
[00:21:37.219 --> 00:21:51.447]  Because the globalists know statistically since the advent, you can call it that, since the tragedy of television, that the average person is in a near-sleep daydream state.
[00:21:51.467 --> 00:21:53.969]  They're not in it, but they're very highly suggestible.
[00:21:55.816 --> 00:22:00.097]  And the more you watch television, the higher levels of neurological disorders, Alzheimer's, death.
[00:22:00.637 --> 00:22:04.118]  Just type in, watching a lot of television statistically kills you earlier.
[00:22:04.498 --> 00:22:06.158]  Television watching tied to Alzheimer's.
[00:22:06.198 --> 00:22:07.698]  There's literally thousands of studies.
[00:22:10.839 --> 00:22:21.921]  And so, when you see Klaus Schwab say, if you think COVID is bad, wait until there is a cyber attack that will shut down civilization.
[00:22:23.721 --> 00:22:25.402]  So we need global government to stop it.
[00:22:25.442 --> 00:22:28.723]  Meanwhile, he wants to shut down civilization for the general public.
[00:22:28.743 --> 00:22:30.324]  They want to go back to feudalism.
[00:22:31.224 --> 00:22:32.505]  And that was going on a few years ago.
[00:22:32.545 --> 00:22:34.566]  And I said, they're pre-programming a cyber attack.
[00:22:34.906 --> 00:22:37.427]  They're going to blame it on Russia and claim they're working with domestic groups.
[00:22:37.487 --> 00:22:38.768]  I just saw that in the tea leaves.
[00:22:39.228 --> 00:22:45.591]  And then they came out earlier this year, what in January, now 10 months ago, 11 months ago, and said,
[00:22:46.807 --> 00:22:48.388]  FBI memo with no proof.
[00:22:49.028 --> 00:23:00.754]  The American MAGA movement working with Russia, we already know that's all crap, is going to cyber attack America, probably for the election, to steal it for Trump.
[00:23:00.994 --> 00:23:01.214]  What?
[00:23:03.875 --> 00:23:06.096]  And now Obama's new Netflix show is out.
[00:23:09.998 --> 00:23:11.659]  Leaving the world behind.
[00:23:11.719 --> 00:23:12.599]  Yeah, give up.
[00:23:13.020 --> 00:23:13.940]  The world's gonna end.
[00:23:13.980 --> 00:23:15.241]  Just accept it's your fault.
[00:23:15.301 --> 00:23:15.821]  You're bad.
[00:23:17.702 --> 00:23:21.084]  I haven't seen the show, I've seen the trailer, but the crew, one of the crew saw it.
[00:23:21.144 --> 00:23:30.989]  It's all just the cyber attacks coming, everything's over, dystopia, everybody's cheating on each other, you know, all this, you know, perverts everywhere.
[00:23:31.009 --> 00:23:33.811]  I mean, just, just, just a nasty snake bite.
[00:23:35.512 --> 00:23:36.132]  Just poison.
[00:23:37.112 --> 00:23:43.636]  Obama produced dystopian movie foretells nightmare future after cyber attack collapses civilization.
[00:23:44.156 --> 00:23:46.337]  So the UN officially, Rio de Janeiro 1992,
[00:23:48.484 --> 00:23:54.465]  Once a post-industrial world, and they're telling you everything's shutting down because you're bad.
[00:23:54.505 --> 00:23:56.045]  No, they're cutting all the resources off.
[00:23:57.125 --> 00:24:03.307]  And they've got King Charles saying it, and they've got all the Hollywood, William Shatner out running around doing it.
[00:24:04.087 --> 00:24:07.467]  And now the new Obama show is out.
[00:24:09.027 --> 00:24:14.108]  Obama produced a dystopian movie foretells nightmare future after cyber attack collapses civilization.
[00:24:14.148 --> 00:24:15.229]  And you're like, well, yeah, okay.
[00:24:15.649 --> 00:24:16.769]  And then the WEF
[00:24:18.550 --> 00:24:30.426]  Just had their big meeting after COP 28, and they say imminently, cyber attacks and the power going off.
[00:24:32.762 --> 00:24:37.263]  So I'm going to talk about this with Jack Faso, but in the interest of time, I won't play the clip.
[00:24:37.283 --> 00:24:40.144]  So next hour, I'm going to start with this and give you my analysis.
[00:24:40.164 --> 00:24:44.545]  But this is, they always foretell and pre-program.
[00:24:44.585 --> 00:24:47.465]  Now, if you're not in a trance, you're like, okay, they're getting you ready for it.
[00:24:47.945 --> 00:24:48.546]  Predictive programming.
[00:24:48.586 --> 00:24:53.847]  But if you're in a trance, then you accept it when it happens and who they tell you has done it.
[00:24:54.147 --> 00:24:58.808]  So they're telling the FBI in briefings, men, women, agents of the Bureau,
[00:24:59.710 --> 00:25:09.334]  We've got Intel, it's classified, we can't show it to you, but Trump supporters are going to shut off the power grid and or the internet grid and there'll only be government websites available during this.
[00:25:09.354 --> 00:25:11.855]  That's obviously internet kill switch, coup d'etat move.
[00:25:12.855 --> 00:25:18.638]  But it's not the government seizing power when this happens, it's the Russians with the Trump supporters.
