[00:00.000 --> 00:11.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[21:07.000 --> 21:09.000]  I thought it would be a six month supply for listeners.
[21:09.000 --> 21:14.000]  And since then, people are beating down our doors wanting to be able to resupply their Super Blue.
[21:14.000 --> 21:16.000]  Research across the board is clear.
[21:16.000 --> 21:17.000]  In fact, it's certified.
[21:17.000 --> 21:22.000]  When bacteria infect your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[21:22.000 --> 21:29.000]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body.
[21:29.000 --> 21:32.000]  Super Blue fluoride free toothpaste is a groundbreaking new formula.
[21:32.000 --> 21:35.000]  It's loaded with good halogen iodine, so the bad halogen fluoride.
[21:35.000 --> 21:42.000]  Super Blue contains natural oils and ingredients used its biblical times to help wipe out bad bacteria and eliminate bad breath.
[21:42.000 --> 21:46.000]  Just some of the ingredients in Super Blue chosen by our dental experts include
[21:46.000 --> 21:50.000]  xylitol, peppermint oil, iodine, nano silver and more.
[21:50.000 --> 21:55.000]  Learn more about M4Ware's Life Super Blue toothpaste at m4ware'slife.com
[21:55.000 --> 21:58.000]  and support the M4Ware while you support healthy gums and teeth.
[21:58.000 --> 22:05.000]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[22:05.000 --> 22:09.000]  Since 2005, thousands have depended on Berkey purified water.
[22:09.000 --> 22:17.000]  The Berkey guy provides the lowest price filtration systems in every size for incredibly delicious water now and in an emergency.
[22:17.000 --> 22:19.000]  Get to goberkey.com.
[22:19.000 --> 22:23.000]  We're call 877-886-3653.
[22:23.000 --> 22:26.000]  877-886-3653.
[22:26.000 --> 22:50.000]  Goberkey.com.
[22:57.000 --> 23:00.000]  Frustrated trying to get business capital?
[23:00.000 --> 23:03.000]  Want to take the slow process and rejection out of the equation?
[23:03.000 --> 23:08.000]  GCN Loans.com removes the slow, irritating approval process.
[23:08.000 --> 23:11.000]  Instead, get quick, simple funding.
[23:11.000 --> 23:17.000]  Powered by David Allen Capital, 80% of our pre-qualified clients are approved in days.
[23:17.000 --> 23:21.000]  Pre-qualify at GCN Loans.com and get your money this week.
[23:21.000 --> 23:27.000]  It's that easy. GCN Loans.com. That's GCN Loans.com.
[23:51.000 --> 23:57.000]  That's PortableSolarLLC.com. Energy insurance for your family.
[24:22.000 --> 24:31.000]  Alright, I really wanted to focus and to tail into what's happening with the Mexico mega quake that's killed 248 people at least, a lot of them children.
[24:31.000 --> 24:36.000]  Because you bet your bottom dollar the United States is next.
[24:36.000 --> 24:42.000]  Those earthquakes are making their way up along the Pacific Rim from the south towards the north.
[24:42.000 --> 24:47.000]  And the U.S. is 12 years overdue according to every seismologist we talk to.
[24:47.000 --> 24:53.000]  The USGS, they all admit it. The LA Times is running ads saying get ready.
[24:53.000 --> 24:59.000]  So folks need to understand this is serious and we are all in the crosshairs of this.
[24:59.000 --> 25:02.000]  It's bad for the economy. It just devastates things.
[25:02.000 --> 25:04.000]  Hurricane is bad.
[25:04.000 --> 25:13.000]  Earthquakes like this are extremely deadly and they just wreck buildings and destroy infrastructure.
[25:13.000 --> 25:17.000]  And obviously I'm stating the obvious here but this is serious.
[25:17.000 --> 25:26.000]  Now that said, I'm going to play an 18 minute boil down of Trump's 35 minute over the top powerful speech from yesterday.
[25:26.000 --> 25:31.000]  Because it's so important coming up in the next segment. This is why we elected Trump.
[25:31.000 --> 25:42.000]  And you've got leftist and globalist gasping in awe and horror when he discredits socialism, when he discredits orthodox radical Islam.
[25:42.000 --> 25:49.000]  And when he promotes nationalism, this is everything we've ever wanted.
[25:49.000 --> 25:57.000]  And it's not just words because promoting the fact that socialism and communism is failed and oppressive and evil
[25:57.000 --> 26:05.000]  is the truth and will further discredit it at a time when megabanks are trying to reboot socialism and communism
[26:05.000 --> 26:16.000]  because they're multinational, they're not affected by it and they want to be able to use those oppressive systems for control as a new colonialism.
[26:16.000 --> 26:23.000]  Netanyahu has come out and said Trump's UN speech the bravest in 30 years. Absolutely.
[26:23.000 --> 26:27.000]  You can say what you want about Netanyahu folks. He's not trying to overthrow the US.
[26:27.000 --> 26:32.000]  He's rooting for our economy. He's trying to support Trump. They're trying to remove him.
[26:32.000 --> 26:40.000]  They're trying to put him in jail for his wife having the government chef cook dinner for heads of state at their house.
[26:40.000 --> 26:44.000]  That's what they're trying to put her in. I mean, say what you want about Netanyahu.
[26:44.000 --> 26:49.000]  Everybody, it's just so fashionable to hate Netanyahu and not know why.
[26:49.000 --> 26:58.000]  That's the corruption. Is a government chef cooking food for the prime minister of Israel?
[26:58.000 --> 27:08.000]  Wow. That's like Colonel Schaefer. They tried to put him in jail for $45 cell phone bill to his wife because he blew the whistle about our government protecting Al Qaeda.
[27:08.000 --> 27:14.000]  So a lot is happening. That's coming up. Incredible video and audios on infowars.com.
[27:14.000 --> 27:20.000]  Hillary Clinton says she's the modern day Paul Revere. You've got the bizarre footage with Morgan Friedman.
[27:20.000 --> 27:25.000]  Very, very sad because Morgan Friedman said a lot of good things as well.
[27:25.000 --> 27:28.000]  What I'm told by Hollywood is he'll say whatever he's paid to say.
[27:28.000 --> 27:35.000]  Now he's made hundreds of millions of dollars. He's probably the most cast actor in Hollywood. I mean, he's in everything.
[27:35.000 --> 27:47.000]  And he says we are at war with Russia. In fact, the exact quote here is, he says we're at war with Russia, close quote, and he declares war on Russia.
[27:47.000 --> 27:57.000]  And of course, that's financed by Clapper. He's actually on the grip and financed it with the Neocon Max Boot. So that's all coming up as well.
[27:57.000 --> 28:04.000]  And we've got the Kremlin's response to that. We have another powerful video. BOM and Trump supporters shatter divided American narrative.
[28:04.000 --> 28:10.000]  The Trump supporters just invited Black Lives Matter to come on up. They were just the useful idiots that have been financed.
[28:10.000 --> 28:15.000]  They weren't totally controlled. They realized it was all a hoax. And by the end, it was a love fest.
[28:15.000 --> 28:29.000]  And it's starting to happen all over the place. If it's actual Black Lives Matter that aren't totally financed and just don't know, and then show up and learn there's no KKK members there, then it absolutely changes their paradigm.
[28:29.000 --> 28:38.000]  That's why the media was so scared at my rallies that we held with folks at the RNC was that you'd have more than half the people weren't white.
[28:38.000 --> 28:46.000]  And man, there were writers there from Mother Jones Newsweek Time and they looked, I saw them looking at those crowds and they were scared.
[28:46.000 --> 28:54.000]  They were looking at me and they later wrote about it and said, this guy's got minorities listening. We're in trouble. That's right.
[28:54.000 --> 29:00.000]  Minorities want free market. They want prosperity. They don't want to live in communism or socialism. That's right.
[29:00.000 --> 29:11.000]  We're winning the ideological war. That's why you're panicking. But that's why you're scripting. Myself, Ron Paul, Rand Paul, they're trying.
[29:11.000 --> 29:23.000]  Mike Cernovich of all people saying we're white supremacists. That's like saying we're snowmen or something or we're elephants or we're walruses.
[29:23.000 --> 29:31.000]  It's just everybody who knows who we are knows it's a lie and all that does is wake people up more. And then that's what's coming up.
[29:31.000 --> 29:41.000]  Darren McBrain put together an incredible compilation video of all the late night shows making fun of Trump, myself and others for saying that there was illegal wiretapping.
[29:41.000 --> 29:48.000]  Now it turns out we were exactly right. They have royal egg on their pathetic teleprompter reading faces.
[29:48.000 --> 29:55.000]  Here on the march, the empire's on the run. Alex Jones and the GCN Radio Network.
[30:18.000 --> 30:25.000]  This is how the power elite and the government stay in power. They use psychological manipulation to turn the public into obedient sheeple.
[30:25.000 --> 30:32.000]  And over time, we lose our ability to distinguish reality from deception. But how does political correctness and other deliberate deceptions work?
[30:32.000 --> 30:42.000]  Well, first, the establishment saturates mass media with their agenda they're trying to push until it invades every aspect of popular culture and is accepted as truth, such as global warming, for example.
[30:42.000 --> 30:51.000]  Then the establishment suppresses any counter-arguments through their agenda by calling critics kooky, nutjobs, racists, or in the case of man-made climate change, climate deniers.
[30:51.000 --> 31:13.000]  You can learn more about this tyranny over the minds of men at infowars.com, PrismPlanet.tv, and our YouTube channel, Resistance News. This is Kit Daniels reporting.
[31:22.000 --> 31:29.000]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children, to the best job you can to purify your air.
[31:29.000 --> 31:37.000]  The elite are masters at poisoning our environment, while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[31:37.000 --> 31:39.000]  The general public doesn't.
[31:39.000 --> 31:54.000]  The Alexa Pure Breeze will be a steal at $300, $400, $500. One of these systems can keep 800 square feet incredibly clean. This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[31:54.000 --> 32:00.000]  Find out why this system is so revolutionary today at infowars.com.
[32:00.000 --> 32:11.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium. This powerful combo is perfect for supporting your thyroid and health.
[32:11.000 --> 32:18.000]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[32:18.000 --> 32:34.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure, deep earth iodine crystals. This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[32:34.000 --> 32:48.000]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog. Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[32:48.000 --> 33:12.000]  Take control of your chemistry today with this super combo. Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[33:12.000 --> 33:28.000]  Defending the Republic from enemies foreign and domestic. It's Alex Jones.
[33:28.000 --> 33:42.000]  Ladies and gentlemen, a private corporate world government is now partially in place. It's totally unelected. It's tax exempt. It has diplomatic immunity. It believes it's going to establish a world government based on technocracy.
[33:42.000 --> 34:04.000]  And at Davos, Bilderberg, you name it, they all call themselves technocrats. That means an unelected system of bureaucrats using technology to control a political system known as a technocracy or control by computer and a ruling oligarchy of technocrats.
[34:04.000 --> 34:15.000]  That's all fancy names for high tech authoritarianism. I'm about to air excerpts with John Bowne breaking it down of the incredibly historic and powerful speech.
[34:15.000 --> 34:22.000]  And we're posting this full video on the next hour to infowars.com and newswars.com.
[34:22.000 --> 34:38.000]  Then coming up just to illustrate how morally bankrupt CNN, but also this Nerdy Wells University is, they still haven't fired him or condemning CNN ignores Antifa dead cops tweet focuses on Trump golfing instead.
[34:38.000 --> 34:52.000]  We have this professor, Professor chicken neck, who keeps tweeting about some of y'all might think it sucks being an anti fascist teacher at John J college, but I think it's a privilege to teach future dead cops.
[34:52.000 --> 35:10.000]  And then he goes on to make other statements about how good the dead cops are, just just randomly, you know, if a cop does something bad in another state, well, then you know, just a cop driving down the street or sitting in a red light, you know, pop a couple bullets in their head, like BLM and other folks have been doing.
[35:10.000 --> 35:12.000]  BLM connected people.
[35:12.000 --> 35:18.000]  It's sick to attempt to start a civil war. And it's crazy.
[35:18.000 --> 35:31.000]  That is all coming up. We're also going to get into Tucker Carlson. We live in a country with deeply corrupt institutions. We live in a country with deeply corrupt politicians who are illegally spying on us.
[35:31.000 --> 35:38.000]  Getting into the illegal wiretapping that totally vindicates myself, Trump and so many others.
[35:38.000 --> 35:48.000]  And as I mentioned, we're going to get into some of the statistics out there. I've told people this over and over again, because the CIA admitted this in the 50s.
[35:48.000 --> 36:11.000]  Aldous Huxley wrote about it in Brave New World, revisited and other publications that the plan was to pump pornography everywhere, not for freedom, but so that you would be so used to hardcore pornography that it would be to give you a George Arwell quote, like a bowel movement.
[36:11.000 --> 36:24.000]  Or washing the dishes is how they describe it. And that your children would then be taken from you at birth, like you take eggs from a hen. These are all quotes from George Arwell and Aldous Huxley kind of mixed together.
[36:24.000 --> 36:36.000]  Because they were elitists in the Fabian Socialist Society of England and were let in on the real plan. Well, here it is. U.S. teens slower to drink.
[36:36.000 --> 36:45.000]  You think that's good, right? Or have sex than previous generation study finds. A lot of Christian conservatives are like, oh, that's great.
[36:45.000 --> 36:57.000]  You know, they're being more, more lordly. No, they're not. They're watching hardcore porn. They're taking drugs, hardcore drugs, and they are not hanging out with real people and they're not having babies.
[36:57.000 --> 37:16.000]  And the birth rates imploding in the West, because everybody does simulated sex now. Simulated sex. It's one thing if you're like to look at a 1960s playboy and it's a beautiful woman and you just admire her scannily clad, that actually excites you more about your wife.
[37:16.000 --> 37:30.000]  But it's not a woman degradated with 20 guys, you know, hammering on her like they're a beef tenderizer. That dehumanizes the woman, that dehumanizes the men, and every study shows it.
[37:30.000 --> 37:40.000]  And I'm not up here on some Puritan high horse telling you, you look at those naked pictures, you're gonna go blind and the devil's gonna get your soul, boy.
[37:40.000 --> 37:53.000]  What I'm telling you is, it's declassified that this was all pushed and legalized to end the family, to end reproduction, and to end the enjoyment of sex.
[37:53.000 --> 38:09.000]  They started the whole sexual revolution to break up families, to make leftism look fun and cool, to get birth control in place, and then attack male and female, attack the two sexes, bring in all these new sexes,
[38:09.000 --> 38:14.000]  and finally have a sexless thing.
[38:14.000 --> 38:22.000]  Now this is in the Department of Education documents from the 80s, it's in the documents from the 30s, 40s, 50s, 60s, 70s, from the UN, the Club of Rome.
[38:22.000 --> 38:27.000]  This is all public, how they'd add chemicals to the water to further blur the sexes.
[38:27.000 --> 38:35.000]  Forget transgenderism, you go to the mall, half the men and women, you can't tell which is a male, which is a female, they all look like blobs.
