[00:00.000 --> 00:01.840]  replace the
[06:56.200 --> 06:58.200]  Radioactive poisoning.
[06:58.200 --> 07:04.200]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[07:04.200 --> 07:09.200]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[07:09.200 --> 07:15.200]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs
[07:15.200 --> 07:18.200]  in children, the elderly, the sick, and pets.
[07:18.200 --> 07:23.200]  Order the official potassium iodate for only $24 and save $5.
[07:23.200 --> 07:28.200]  By calling new millennium at 888-803-4438.
[07:28.200 --> 07:34.200]  Call now and get pre-shipping. That's 888-803-4438.
[07:34.200 --> 07:40.200]  Times are tough right now, but there are a lot of different ways to get ourselves out of this mess,
[07:40.200 --> 07:44.200]  providing for our own food, water, and power are a good start.
[07:44.200 --> 07:51.200]  As you may have heard by now, Ken's solar has been configuring alternative energy packages for over a decade.
[07:51.200 --> 07:55.200]  One of Ken's most popular items right now is the new solar-powered generator.
[07:55.200 --> 08:01.200]  For a lot less than you'd expect, this portable system can chop up nearly a third of your electric bill.
[08:01.200 --> 08:06.200]  Getting yourself onto solar power is one of the most liberating things you can do for yourself.
[08:06.200 --> 08:11.200]  And your family, the solar-powered generator will run your lights, fan, electric blanket,
[08:11.200 --> 08:14.200]  your refrigerator, and a whole slew of household items.
[08:14.200 --> 08:20.200]  Visit Ken's website at kensolar.com for free downloads, free videos and how-tos,
[08:20.200 --> 08:23.200]  and of course the new solar-powered generator.
[08:23.200 --> 08:28.200]  Enter the GCN coupon code during your order and save an additional 10%.
[08:28.200 --> 08:32.200]  Get a solar-powered generator now from kensolar.com.
[08:32.200 --> 08:35.200]  That's kensolar.com.
[08:35.200 --> 08:44.200]  Big Brother, mainstream media, government cover-ups.
[08:44.200 --> 08:46.200]  You want answers?
[08:46.200 --> 08:48.200]  Well, so does he.
[08:48.200 --> 08:52.200]  He's Alex Jones on the GCN Radio Network.
[08:52.200 --> 09:02.200]  And now, live from Austin, Texas, Alex Jones.
[09:02.200 --> 09:06.200]  All right.
[09:06.200 --> 09:12.200]  Number one, we have this illusion that Iraq is governing itself,
[09:12.200 --> 09:17.200]  that they have real elections and people with a stupid ink on their fingers.
[09:17.200 --> 09:21.200]  And, I mean, it's just a total joke.
[09:21.200 --> 09:25.200]  And Saddam, number one, there's this claim he got a free trial.
[09:25.200 --> 09:30.200]  Whether you love him or hate him, just a new order thug who got set up.
[09:30.200 --> 09:35.200]  And now our government, run by these global criminals,
[09:35.200 --> 09:40.200]  is responsible in taking us along to be accomplices in the murder of 3 million people.
[09:40.200 --> 09:42.200]  Hope you're proud of yourselves.
[09:42.200 --> 09:48.200]  They've got the nerve to claim that Iraq is some free place run by the people.
[09:48.200 --> 09:51.200]  Then they've got the total civil war by design.
[09:51.200 --> 09:57.200]  Then they've got the nerve to claim that he had a fair trial.
[09:57.200 --> 10:02.200]  Every major legal institution in the world that's looked at this said it's a complete travesty.
[10:02.200 --> 10:05.200]  Well, he's obviously guilty. He doesn't deserve a fair trial.
[10:05.200 --> 10:09.200]  Regardless, folks, if you've got all that proof, let's see it.
[10:09.200 --> 10:11.200]  Well, they couldn't let there be a fair trial.
[10:11.200 --> 10:13.200]  They wouldn't let him talk, defend himself half the time.
[10:13.200 --> 10:22.200]  Four of his lawyers were killed, two other aides, six people on his defense team killed.
[10:22.200 --> 10:24.200]  I mean, they weren't messing around.
[10:24.200 --> 10:29.200]  Every time they'd bring up how he was CIA hired and how he was told to go into Iran,
[10:29.200 --> 10:32.200]  and they were trying to go after him for that,
[10:32.200 --> 10:40.200]  they would blow the attorney's head off as soon as they left the building in the green zone.
[10:40.200 --> 10:44.200]  I mean, there was no trial. It's like some of the Milajevic never got a trial.
[10:44.200 --> 10:48.200]  Every time he tried to bring up how the government hired Al-Qaeda to attack Serbia,
[10:48.200 --> 10:49.200]  they'd tell him shut up.
[10:49.200 --> 10:51.200]  They'd have him bound and they'd drag him out of the room.
[10:51.200 --> 10:53.200]  They wouldn't allow cameras in there.
[10:53.200 --> 10:57.200]  He said they're poisoning me and then he did die and they did find poison in him,
[10:57.200 --> 11:01.200]  and the UN said, oh, he probably poisoned himself.
[11:01.200 --> 11:04.200]  I mean, these guys are so bad, at least let him have a fair trial.
[11:04.200 --> 11:06.200]  Oh, but you can't let the complicity come out.
[11:06.200 --> 11:12.200]  So the complicity of the West and the CIA and Clark Clifford and all of them and the Bushes,
[11:12.200 --> 11:20.200]  you can't have all that coming out, James Baker.
[11:20.200 --> 11:23.200]  And so they claim that there was a fair trial.
[11:23.200 --> 11:27.200]  I mean, just stop insulting our intelligence, okay?
[11:27.200 --> 11:32.200]  I hear neocons all over talk radio having whole shows about how it was really a fair trial.
[11:32.200 --> 11:36.200]  Just stop talking to us like we're, it wasn't even a trial.
[11:36.200 --> 11:38.200]  It was a joke.
[11:38.200 --> 11:42.200]  Then, quote, coalition forces hand over Saddam.
[11:42.200 --> 11:43.200]  They had him the whole time.
[11:43.200 --> 11:48.200]  You know, Iraq's running the place what the Iraqi government couldn't holding.
[11:48.200 --> 12:00.200]  No, coalition forces hand him over and they march him out and scream at him and yell at him and call him names under Islamic law with your Shiite or Sunni.
[12:00.200 --> 12:02.200]  You never yell at somebody before you kill them.
[12:02.200 --> 12:04.200]  It's done very solemnly.
[12:04.200 --> 12:07.200]  You never do this, but of course they do.
[12:07.200 --> 12:09.200]  They're wearing black mask.
[12:09.200 --> 12:20.200]  Those were black mask folks and they taught him and yell at him and they lead him up there and then state run TV cuts the camera off and doesn't show the hanging.
[12:20.200 --> 12:27.200]  And then, oh, they let somebody in plain view, very cramped quarters in there, shoot it with a camera phone.
[12:27.200 --> 12:32.200]  So they can then claim, you know, that the government didn't release it.
[12:32.200 --> 12:43.200]  They released that on purpose and it's meant to heighten Shiite Sunni in fighting, just like when our government went in and blew up the Golden Dome Mosque.
[12:43.200 --> 12:44.200]  And it was on record.
[12:44.200 --> 12:49.200]  US troops went right in there in front of everybody with Iraqi National Guard.
[12:49.200 --> 12:54.200]  They were in there for eight hours planting bombs and they blew that thing sky high.
[12:54.200 --> 13:03.200]  Because remember the killing had stopped, the bombings, and there was like one in every couple of weeks instead of five a day.
[13:03.200 --> 13:05.200]  Well, that got things going again.
[13:05.200 --> 13:13.200]  Ray McGovern, chief briefer to Ronald Reagan and George Bush Jr. on this show said clearly, our government's carrying out terror over there to keep things going.
[13:13.200 --> 13:14.200]  That's the whole point.
[13:14.200 --> 13:17.200]  Well, this is worth more than 50 bombings.
[13:17.200 --> 13:30.200]  Having the Sunni leaders humiliated, called names and have them dance around the dead body.
[13:30.200 --> 13:31.200]  Well, that's really impartial.
[13:31.200 --> 13:37.200]  That's that's going to be just done in a gangland killing.
[13:37.200 --> 13:43.200]  And then they know that Americans who are into this killing into this war and who say kill all the Arabs, kill half of them.
[13:43.200 --> 13:47.200]  You know, just let kill them all at God's sort amount.
[13:47.200 --> 13:49.200]  But you wouldn't like it if it was your family.
[13:49.200 --> 13:51.200]  They know they like hearing about cowardice.
[13:51.200 --> 13:53.200]  So they made up in the media that he was afraid.
[13:53.200 --> 13:56.200]  Of course, now all the reports are he was laughing at them.
[13:56.200 --> 14:04.200]  And again, they can't even let people hear that the guy had a lot of courage when they killed him.
[14:04.200 --> 14:11.200]  No, because they know for cowardly Americans, we like to hear that he's afraid like we are.
[14:11.200 --> 14:21.200]  Not that he went up there and went out like a man like Captain Kidd did when he was falsely accused in 1701 and hung in London.
[14:21.200 --> 14:23.200]  All separate subject.
[14:23.200 --> 14:30.200]  Not saying Saddam Hussein's a Captain Kidd.
[14:30.200 --> 14:36.200]  So, I mean, this is a this is a sick joke.
[14:36.200 --> 14:41.200]  The execution video is meant to cause Shia, Sunni conflict.
[14:41.200 --> 14:51.200]  The linking of the video tape of hanging Saddam in the dialogue that was exchanged between Saddam's executioners handpicked by Americans in the subsequent planting of stories in mainstream media.
[14:51.200 --> 15:02.200]  The Saddam's hanging will be seen as she is as a welcome sacrifice on one of the holiest days of Islam was a deliberate act meant to create a backlash amongst Muslims and Sunni Shia conflict Muslim world.
[15:02.200 --> 15:08.200]  Yeah, they kill him on the high holy day of the year when you're not supposed to do executions and when violence is supposed to stop.
[15:08.200 --> 15:18.200]  As an insult, they give it to a ethnic gang of Shia who hang who make fun of him and belittle him and act like punks.
[15:18.200 --> 15:23.200]  And then they dance around his dead body and make fun of his dead body.
[15:23.200 --> 15:28.200]  And then this is released, but so they can skip the government couldn't release something like that.
[15:28.200 --> 15:37.200]  Because if people will point out it's meant to make things explode. So somebody accidentally shoots it with a camera phone with the 10 witnesses that were allowed in.
[15:37.200 --> 15:39.200]  Come on.
[15:39.200 --> 15:43.200]  Totally staged.
[15:43.200 --> 15:53.200]  Americans have predicted the art of movies in which actors are out to prescripted scenarios and dialogues, scenarios and dialogues which have a certain impact on the minds of the audience.
[15:53.200 --> 16:01.200]  Bruckheimer is admittedly consulting on Lynch and on a bunch of other cases over there.
[16:01.200 --> 16:08.200]  And I bet you that Bruckheimer or somebody else wrote this baloney up.
[16:08.200 --> 16:16.200]  By the way, the New York Times is saying it's so cinematic and it is. It's cinematic. You bet it's cinematic.
[16:16.200 --> 16:23.200]  They got just a light on him in a dark room. These are these these ringwraps and black mask, taunting.
[16:23.200 --> 16:28.200]  And it's meant to make the soonies go absolutely ape and they are.
[16:28.200 --> 16:33.200]  And the mission is completed.
[16:33.200 --> 16:38.200]  So our government hands him over directly to the people that will do this.
[16:38.200 --> 16:45.200]  Sonoma is an American custody for the moment he was caught. His trial was an American trial and his execution was carried out under American supervision.
[16:45.200 --> 16:50.200]  The puppet government had no say at all in this.
[16:50.200 --> 16:52.200]  And that's all puppets do.
[16:52.200 --> 16:56.200]  He had to go along with whatever was directed by the Americans.
[16:56.200 --> 17:01.200]  The selection of the day, Id Ulal Aldala.
[17:01.200 --> 17:03.200]  I'll pronounce that right for hanging.
[17:03.200 --> 17:14.200]  The videoing, the prescripting taunts by the hired hangman and the release of the video have the goal of creating a division between Shia and Sunni and angering Muslim youth in Europe and elsewhere.
[17:14.200 --> 17:17.200]  Don't be stupid, Shia.
[17:17.200 --> 17:25.200]  Don't be stupid, Shia.
[17:25.200 --> 17:32.200]  Americans want to get rid of Sotter, who stands in their way of delivering Iraq's oil to the American oil companies.
[17:32.200 --> 17:39.200]  This Iraqi news report doesn't get it. They don't want the oil flowing out. That jacks up prices.
[17:39.200 --> 17:49.200]  And what a better way to do it than to get the Sunni resistance in Iraq to turn their guns on Sator rather than fight the Americans.
[17:49.200 --> 17:50.200]  And it goes on.
[17:50.200 --> 17:55.200]  And yes, it was a cinematic staged event in every way.
[17:55.200 --> 18:02.200]  And of course, here domestically, a lot of people got off on it, got off on the hanging, loved it.
[18:02.200 --> 18:04.200]  I think it's really sad. It's pathetic.
[18:04.200 --> 18:15.200]  He got a young man recruited by our government, hired, did all these horrible things, put into power, funded to do even more horrible things, set up.
[18:15.200 --> 18:18.200]  Three million of his people are killed.
[18:18.200 --> 18:21.200]  And they march him out and hang him.
[18:21.200 --> 18:25.200]  And our media tries to lie the first day and claim he was begging and crying.
[18:25.200 --> 18:28.200]  I mean, it's just you like being lied to.
[18:28.200 --> 18:30.200]  You do, obviously.
[18:30.200 --> 18:35.200]  Did Saddam Hussein devalue your dollar by half? Did Saddam Hussein, is he trying to get rid of our borders?
[18:35.200 --> 18:41.200]  I mean, our government was there advising him how to spray the gas on the Iranians.
[18:41.200 --> 18:50.200]  And in the very same generals that were in the military at the time, get up there on CNN and Fox's military correspondents and experts,
[18:50.200 --> 18:57.200]  and talk about how he gasses on people like parrots that could only say one word.
[18:57.200 --> 19:01.200]  Three words, gassed his people.
[19:01.200 --> 19:04.200]  Gassed his own people.
[19:04.200 --> 19:10.200]  I mean, just an insult to everyone's intelligence, an insult to every one of you out there.
[19:10.200 --> 19:15.200]  And of course, they are ready.
[19:15.200 --> 19:19.200]  It's very mysterious that we're in Iraq right now.
[19:19.200 --> 19:21.200]  And there's a long-term plan.
[19:21.200 --> 19:25.200]  They brought in 5,000-plus Iraqi Republican Guard trained here in the 80s.
[19:25.200 --> 19:28.200]  They brought them in at the end of the Gulf War under Bush and Clinton.
[19:28.200 --> 19:31.200]  They were involved in Oklahoma City. They're U.S. government agents.
[19:31.200 --> 19:35.200]  And they're in every major U.S. city. They're in Austin. They're in Dallas. They're in Houston.
[19:35.200 --> 19:43.200]  They're in Detroit. They're in Chicago. They're in San Francisco. They're in LA. They're in Scranton.
[19:43.200 --> 19:48.200]  They're in Fayetteville. They're in every town, every city.
[19:48.200 --> 19:53.200]  You know what 5,000 special forces troops can do?
[19:53.200 --> 19:59.200]  They can bring this country to its knees in 60 minutes.
[19:59.200 --> 20:04.200]  And if they decide to go with that plan, just talking about it, and they blow the whole operation,
[20:04.200 --> 20:07.200]  this is the kind of stuff you get killed for, by the way.
[20:07.200 --> 20:12.200]  What I'm talking about right now, I don't even care anymore.
[20:12.200 --> 20:16.200]  And of course, they'll blame it on the area between they do it.
[20:16.200 --> 20:18.200]  They'll roll them with troops.
[20:18.200 --> 20:23.200]  Now, I'm going to tell those Iraqis, but that's 5,000 they brought in.
[20:23.200 --> 20:26.200]  They probably only got about 2,000 to really go along with it, the past monster.
[20:26.200 --> 20:31.200]  Don't do it. Don't be part of it. Don't be part of it.
[20:31.200 --> 20:36.200]  We'll be right back.
[20:36.200 --> 20:51.200]  We'll be right back.
[21:07.200 --> 21:11.200]  2002, the Argentine peso loses a fifth of its value to gold.
[21:11.200 --> 21:16.200]  2006, the last superpower of the USA's mighty dollar loses over half to gold and other raw goods.
[21:16.200 --> 21:18.200]  Could government let this happen?
[21:18.200 --> 21:20.200]  Without immediate backing, how much will it lose?
[21:20.200 --> 21:23.200]  Midas has Nick Parish of support covering the loss of purchasing power,
[21:23.200 --> 21:27.200]  fat tail events, bull market, economic vulnerabilities, and gold oil relationship.
[21:27.200 --> 21:29.200]  You've lost half of your purchasing power.
[21:29.200 --> 21:33.200]  Call 800-686-2237 before the rest disappears.
[21:33.200 --> 21:40.200]  Dad, can we stop? We need to go to the bathroom.
[21:40.200 --> 21:43.200]  What? Again? We just stopped two hours ago.
[21:43.200 --> 21:48.200]  Honey, let's stop because I gave the kids their sport-burky water bottles.
[21:48.200 --> 21:49.200]  Why did you do that?
[21:49.200 --> 21:54.200]  Because they can't drink and talk at the same time, and that way we don't have to listen to them singing.
[21:54.200 --> 21:56.200]  Are we there yet? Are we there yet?
[21:56.200 --> 21:58.200]  For the entire trip.
[21:58.200 --> 22:02.200]  Hmm. I didn't think about that. Great idea.
[22:02.200 --> 22:05.200]  Yeah, and it's cheap entertainment for the kids.
[22:05.200 --> 22:09.200]  Bottled water costs around 75 cents a bottle, and using our burky sport bottles,
[22:09.200 --> 22:12.200]  it costs us less than two and a half cents per refill.
[22:12.200 --> 22:15.200]  Honey, you're terrific.
[22:15.200 --> 22:20.200]  Oh honey, so are you. You're the one that bought the family our sport-burky water bottles.
[22:20.200 --> 22:22.200]  Now can we stop? I need to go too.
[22:22.200 --> 22:30.200]  Get your burky sport purification bottle for only $39 by calling new millennium at 888-803-4438.
[22:30.200 --> 22:35.200]  Or order on the web at burkywater.com.
[23:00.200 --> 23:25.200]  Call now while operators are standing by to take your call.
[23:30.200 --> 23:40.200]  I found this company online and they had this really unique variety of salt wellness products.
[23:40.200 --> 23:44.200]  I read some of the articles and ended up ordering this beautiful salt lamp.
[23:44.200 --> 23:48.200]  According to the company, they said that the salt crystal lamps gently purify indoor air.
[23:48.200 --> 23:52.200]  I was so amazed. I put it in the baby's room and it made a perfect night light.
[23:52.200 --> 23:55.200]  Both my husband and I could tell the difference.
[23:55.200 --> 24:00.200]  Salt wellness.com is a unique company that offers salt wellness products from around the world.
[24:00.200 --> 24:05.200]  So I went back to the site and ordered their Soleil Simple Natural Cleaning Products,
[24:05.200 --> 24:08.200]  also made with Himalayan Salt. I figured it would clean really well.
[24:08.200 --> 24:12.200]  The natural cleaning products worked wonderfully and there was no scent.
[24:12.200 --> 24:16.200]  This company has so many products my whole family can enjoy and feel better with.
[24:16.200 --> 24:18.200]  Plus, the service was great.
[24:18.200 --> 24:21.200]  If you're interested in natural homeopathic time-tested remedies,
[24:21.200 --> 24:26.200]  visit soleilwellness.com. That's S-O-L-A-Y-Wellness.com
[24:26.200 --> 24:30.200]  or call 312-224-2710.
[24:30.200 --> 24:39.200]  312-224-2710.
[24:39.200 --> 24:41.200]  Okay, I'm going to rush the calls right now.
[24:41.200 --> 24:43.200]  I think I'm going to play the clip at all times in a short segment.
[24:43.200 --> 24:47.200]  Then I'm going to play the 9-11, part of the 9-11 broadcast.
[24:47.200 --> 24:53.200]  It's a four-minute piece from Main Street News in Northern California on kin trails.
[24:53.200 --> 24:56.200]  Let's move quicker. I'm going to move fast.
[24:56.200 --> 24:59.200]  Let's go to Andrew.
[24:59.200 --> 25:01.200]  Andrew, where are you calling from?
[25:01.200 --> 25:02.200]  I'm from Missouri.
[25:02.200 --> 25:03.200]  Welcome. Go ahead.
[25:03.200 --> 25:07.200]  Yeah, I was wondering, the days after 9-11,
[25:07.200 --> 25:11.200]  I heard about this scientist. I can't remember his name,
[25:11.200 --> 25:15.200]  but he was found in a legit suicide.
[25:15.200 --> 25:17.200]  Do you know who I'm talking about?
[25:17.200 --> 25:18.200]  No.
[25:18.200 --> 25:21.200]  Okay, and there's another question I have.
[25:21.200 --> 25:26.200]  I don't mean no disrespect, but do you pay your taxes?
[25:26.200 --> 25:30.200]  Oh, no. Why is it disrespect to ask that question?
[25:30.200 --> 25:31.200]  I don't know.
[25:31.200 --> 25:33.200]  Do I pay my taxes?
[25:33.200 --> 25:35.200]  I don't want nobody busting down your door.
[25:35.200 --> 25:37.200]  No, no, sure. No, I don't.
[25:37.200 --> 25:39.200]  I mean, everything I've, most of my listeners know,
[25:39.200 --> 25:41.200]  I've answered this question many times.
[25:41.200 --> 25:43.200]  I choose my fights.
[25:43.200 --> 25:44.200]  Yeah.
[25:44.200 --> 25:46.200]  Okay, and so if I wanted to be,
[25:46.200 --> 25:48.200]  and I do have people on exposing the income tax as a fraud,
[25:48.200 --> 25:52.200]  and being a scam, it's just a lot of the low-level people that do it
[25:52.200 --> 25:54.200]  don't usually go to prison.
[25:54.200 --> 25:56.200]  But Joe Banister, they tried to send him to prison.
[25:56.200 --> 25:58.200]  The jury said not guilty.
[25:58.200 --> 26:03.200]  Other people like Arrow Customs, Plastics Guy, Dick Simcannon,
[26:03.200 --> 26:05.200]  went to prison.
[26:05.200 --> 26:07.200]  So that's not my issue.
[26:07.200 --> 26:11.200]  I don't personally protest by not paying the income tax.
[26:11.200 --> 26:14.200]  And people say, well, then you're funding their whole operation.
[26:14.200 --> 26:15.200]  No, no, no, no.
[26:15.200 --> 26:17.200]  That's how they control us with the tax.
[26:17.200 --> 26:19.200]  They print the money out of nothing.
[26:19.200 --> 26:21.200]  They don't even need that tax money.
[26:21.200 --> 26:24.200]  That's a way that they try to control inflation.
[26:24.200 --> 26:28.200]  So there's 60 plus million non-filers now in this country.
[26:28.200 --> 26:29.200]  I'm not one of them.
[26:29.200 --> 26:31.200]  And I know that when I sign that form,
[26:31.200 --> 26:33.200]  it violates my Fifth Amendment.
[26:33.200 --> 26:37.200]  I know that 10 different tax preparers will give you 10 different answers.
[26:37.200 --> 26:39.200]  I understand all that.
[26:39.200 --> 26:41.200]  I don't have time to mess with it.
[26:41.200 --> 26:43.200]  And quite frankly, I don't make that much money,
[26:43.200 --> 26:45.200]  so my taxes aren't that high.
[26:45.200 --> 26:46.200]  So that's not my fight.
[26:46.200 --> 26:47.200]  OK.
[26:47.200 --> 26:48.200]  All right.
[26:48.200 --> 26:49.200]  Let's just wonder.
[26:49.200 --> 26:50.200]  Sure.
[26:50.200 --> 26:51.200]  Anything else on your mind?
[26:51.200 --> 26:52.200]  No, thanks.
[26:52.200 --> 26:53.200]  Thank you.
[26:53.200 --> 26:54.200]  I appreciate the call.
[26:54.200 --> 26:58.200]  Let's go ahead and take another call here.
[26:58.200 --> 27:03.200]  Let's go ahead and talk to Cori and Georgia.
[27:03.200 --> 27:04.200]  Go ahead.
[27:04.200 --> 27:06.200]  Yeah, I was wondering what evidence there is
[27:06.200 --> 27:10.200]  that the US government put Mao into power.
[27:10.200 --> 27:15.200]  Well, yeah, I'd interviewed a bunch of former CIA individuals,
[27:15.200 --> 27:17.200]  a lot of other experts on communism.
[27:17.200 --> 27:21.200]  I'd read a lot of documents that our government
[27:21.200 --> 27:24.200]  really didn't support the nationalists and put Mao in.
[27:24.200 --> 27:28.200]  And then I saw the CIA section chief on the History Channel
[27:28.200 --> 27:30.200]  about six years ago now.
[27:30.200 --> 27:33.200]  And I should have gotten, I should have ordered the tape,
[27:33.200 --> 27:37.200]  but it was a History Channel special about 1949.
[27:37.200 --> 27:40.200]  And it was a CIA saying, contrary to popular belief,
