[00:00:05.563 --> 00:00:06.103]  Forget it!
[00:05:34.922 --> 00:05:44.065]  The exploding inflation that is now guaranteed will slash your life savings to nothing and blast the cost of necessities, particularly food, beyond many Americans' reach.
[00:05:44.065 --> 00:05:48.546]  In pre-Nazi Germany superinflation, the cost of a loaf of bread doubled every two days.
[00:05:48.806 --> 00:05:51.147]  Until it reached over 4 billion marks.
[00:05:51.147 --> 00:05:55.609]  Food prices are skyrocketing so fast, there seems as if there may be no end in sight.
[00:05:55.609 --> 00:06:01.291]  The private banks merging with our government are refusing to loan grocery stores enough money to restock their shelves.
[00:06:01.291 --> 00:06:04.552]  The stores have less food, but jack up prices to stay in business.
[00:06:04.552 --> 00:06:07.673]  Whatever happens in America, we need to be prepared and be ready.
[00:06:07.893 --> 00:06:09.714]  Everything is zeroing in on food.
[00:06:09.714 --> 00:06:13.775]  One third of Americans have to choose between buying food and paying for other necessities.
[00:06:13.775 --> 00:06:17.916]  My friends, whatever it takes, get prepared, get self-sufficient, get food.
[00:06:17.916 --> 00:06:25.458]  For everybody out there listening, it's very important for you to understand that by having a supply of storable food, the government, the new old order, has a lot less control over you.
[00:06:25.458 --> 00:06:29.379]  And so it's a mindset, a mindset of self-sufficiency and preparedness.
[00:06:29.379 --> 00:06:32.260]  No one is going to take care of your family in the final equation but you.
[00:06:32.620 --> 00:06:39.603]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:06:39.603 --> 00:06:42.884]  And they do it at almost half the cost of last year's grocery prices.
[00:06:42.884 --> 00:06:43.804]  Call 1-800-409-5633.
[00:06:43.804 --> 00:06:48.046]  Or on the web, go to eFoodsDirect.com.
[00:06:48.046 --> 00:06:54.288]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:06:54.288 --> 00:06:55.409]  Watch the free videos.
[00:06:55.609 --> 00:07:00.651]  Look at their online catalog or give them a call at 1-800-409-5633.
[00:07:00.651 --> 00:07:05.632]  Again, 800-409-5633 or on the web at efoodsdirect.com.
[00:07:05.632 --> 00:07:06.793]  Take action today.
[00:07:06.793 --> 00:07:09.954]  The first step is getting storable food.
[00:07:09.954 --> 00:07:12.695]  He's the T-Rex of political talk.
[00:07:12.695 --> 00:07:15.476]  Alex Jones on the GCN Radio Network.
[00:07:29.318 --> 00:07:36.204]  Ladies and gentlemen, I said that I was going to go to your phone calls, but just too much is happening too quickly.
[00:07:36.204 --> 00:07:40.107]  It's too insane.
[00:07:40.107 --> 00:07:44.631]  I need to make a film called Cops Gone Wild or something.
[00:07:44.631 --> 00:07:47.854]  You know, I told you that an APD officer two nights ago
[00:07:50.293 --> 00:07:53.454]  Monday night, I was leaving at 11.15 from the office.
[00:07:53.454 --> 00:07:55.795]  I see a cop car fly by about 80 miles an hour.
[00:07:55.795 --> 00:07:57.336]  It didn't have its cherries on.
[00:07:57.336 --> 00:07:59.997]  I look down the access road of 290.
[00:07:59.997 --> 00:08:02.377]  There's three lanes there.
[00:08:02.377 --> 00:08:08.660]  And I see, you know, way down the road, headlights.
[00:08:08.660 --> 00:08:09.420]  Plenty of time.
[00:08:09.420 --> 00:08:12.341]  I mean, an old lady would have pulled out.
[00:08:12.341 --> 00:08:13.842]  This was plenty of time.
[00:08:13.842 --> 00:08:14.582]  I pull out.
[00:08:14.582 --> 00:08:17.143]  The cop car comes flying up.
[00:08:18.592 --> 00:08:20.619]  You know, after I've already been driving for about 30-40 seconds.
[00:08:23.008 --> 00:08:28.210]  I mean, even though he was going real fast, it took him a while to get there, flies right up on my hind end.
[00:08:28.210 --> 00:08:49.316]  I mean, right up on my hind end, almost hitting me, and he's there for about 15, 20 seconds, and then he pulls around violently, almost runs into my car, comes up just within inches of my car, up beside me on the passenger side, and then shines a spotlight in my face, and then just violently whips in front of me and goes off tearing off down the road.
[00:08:50.476 --> 00:08:55.260]  And then I get up on the access ramp and look way up ahead and see the cop that was ahead of him.
[00:08:55.260 --> 00:09:00.063]  He exits off or stays on the exit ramp.
[00:09:00.063 --> 00:09:08.290]  The other one flies off and gets right up on the hind end of another car and then that car gets out of their way and then he goes flying down the road.
[00:09:08.290 --> 00:09:15.395]  Yesterday afternoon about 4.30 I get on the 290 to go home and this time they had their flashers on it was a big white
[00:09:17.469 --> 00:09:29.628]  Like Ford Explorer with lights in the grill just driving about 90 miles an hour and I saw there was a guy on a motorcycle
[00:09:30.848 --> 00:09:43.416]  You know, now it's a half mile ahead of me, and he doesn't see it's a cop car, he's just driving along, just comes right up on the guy's hind end, almost, almost runs him over, and I, so he gets over in the other lane, there were no cars in the middle lane.
[00:09:43.416 --> 00:09:53.402]  The cops were literally having a psychopathic power trip, an orgy of power pleasure, and almost ran down the motorcycle, so I'd forgotten about that.
[00:09:53.402 --> 00:09:55.583]  Why am I freaking out?
[00:09:55.583 --> 00:09:56.404]  Paul Hartman,
[00:09:58.228 --> 00:10:02.932]  Who runs PrisonPlanet.tv, you know, the live feeds we do in here and does some IT work.
[00:10:02.932 --> 00:10:05.494]  He gets in at 11 every day.
[00:10:05.494 --> 00:10:07.735]  He runs in, he goes, did you hear about Jeff Ward?
[00:10:07.735 --> 00:10:08.516]  Hyperventilating.
[00:10:08.516 --> 00:10:10.517]  And I guess everybody else in Austin's heard about this.
[00:10:10.517 --> 00:10:12.399]  It's on TV, it's on radio.
[00:10:12.399 --> 00:10:13.800]  I don't pay attention to local news.
[00:10:13.800 --> 00:10:16.242]  I mean, I'm not omnipresent.
[00:10:16.242 --> 00:10:23.067]  Jeff Ward, who is a pretty mainline, I'd call him conservative libertarian talk show host.
[00:10:23.067 --> 00:10:25.028]  You know, he's the number one talk show host here in town on 590 AM.
[00:10:29.440 --> 00:10:40.222]  Yesterday he hung up on somebody or disagreed with them and it was a cop and the cops stormed the building with a gun and it's huge news having some type of psychopathic break.
[00:10:41.721 --> 00:10:46.085]  And now I've got the... Listen, I want Mark Caesar, the program director, on.
[00:10:46.085 --> 00:10:46.785]  I want him on.
[00:10:46.785 --> 00:10:47.786]  His show just ended.
[00:10:47.786 --> 00:10:48.947]  I want him on!
[00:10:48.947 --> 00:10:50.729]  And Jeff Ward better come on this show.
[00:10:50.729 --> 00:10:52.490]  You know, he's my neighbor.
[00:10:52.490 --> 00:10:53.611]  I live near him.
[00:10:53.611 --> 00:10:55.253]  He lives in the same neighborhood.
[00:10:55.253 --> 00:10:57.495]  I'm gonna go over to his house.
[00:10:57.495 --> 00:10:59.436]  I want Jeff Ward to come on this show.
[00:10:59.436 --> 00:11:06.242]  You know, this is a guy who's gone along, kisses up to the police, kisses up to the system, and now the police
[00:11:07.028 --> 00:11:08.109]  Let me tell you why this is happening.
[00:11:08.109 --> 00:11:09.912]  I guarantee you this guy's going to be an Iraq vet.
[00:11:09.912 --> 00:11:11.834]  These guys have served three, four tours.
[00:11:11.834 --> 00:11:22.066]  They, their minds... I mean, one tour in World War I would put about half the men in the funny farm.
[00:11:22.066 --> 00:11:22.587]  Shell-shocked.
[00:11:23.959 --> 00:11:35.006]  They found that you could only send somebody in World War II in Korea to one year service, and then most of those men ended up having major medical problems, all sorts of psychological problems.
[00:11:35.006 --> 00:11:37.568]  Folks, we got cops that have been three, four, five tours.
[00:11:37.568 --> 00:11:45.854]  I mean, I see articles every day where they're killing their families, killing people, murdering people, running around on shooting sprees, but then it's always kept real quiet.
[00:11:46.334 --> 00:11:50.277]  You know, if Santa Claus goes and kills nine people, it's huge news, and it should be.
[00:11:50.277 --> 00:12:09.631]  But when the cop goes and kills three or four people or whatever in Garland or in Maryland last week, oh, it's no big deal.
[00:12:09.631 --> 00:12:13.513]  Now, you just ran in and told me this guy was a cop, and that's what the news was reporting last night.
[00:12:13.513 --> 00:12:14.194]  Is that the case?
[00:12:15.998 --> 00:12:18.920]  Because I was just told about this.
[00:12:18.920 --> 00:12:22.062]  The point is, this is all just crazy, so we'll see what happens.
[00:12:22.062 --> 00:12:23.923]  Yes, it... Yes.
[00:12:23.923 --> 00:12:27.265]  Oh, again, used to be a DPS officer.
[00:12:27.265 --> 00:12:32.968]  Just like this guy that killed and shot the people up in Garland last week was a cop who they kicked out.
[00:12:32.968 --> 00:12:34.529]  Because they're nuts, man!
[00:12:34.529 --> 00:12:36.010]  They're nuts!
[00:12:36.010 --> 00:12:39.432]  I mean, I'm watching cops almost run people down every day!
[00:12:39.432 --> 00:12:43.295]  I bet I can go up on 290 and watch them driving like they're Speed Racer!
[00:12:45.560 --> 00:12:46.900]  He's a demon!
[00:12:46.900 --> 00:12:49.501]  He's a demon on wheels!
[00:12:49.501 --> 00:12:53.122]  In his powerful Mach 5!
[00:12:53.122 --> 00:12:54.703]  Go Speed Racer!
[00:12:54.703 --> 00:12:56.243]  Go Speed Racer!
[00:12:56.243 --> 00:12:57.484]  Go Speed Racer!
[00:12:57.484 --> 00:12:59.464]  Go!
[00:12:59.464 --> 00:13:05.306]  And when the odds are against him... Hey, pull me up the Speed Racer theme song.
[00:13:05.306 --> 00:13:05.966]  Go to YouTube.
[00:13:05.966 --> 00:13:11.888]  Let's, uh... Oh my God, help me.
[00:13:13.516 --> 00:13:14.377]  I can't handle this.
[00:13:14.377 --> 00:13:16.538]  I mean, I'm even trying to deny this, and it does say right here.
[00:13:16.538 --> 00:13:19.480]  These people are out of their minds.
[00:13:19.480 --> 00:13:20.700]  This is what tyranny is.
[00:13:20.700 --> 00:13:24.683]  It's when psychopathic criminals and nutcases get in control of your government.
[00:13:24.683 --> 00:13:25.563]  It happens 99% of the time.
[00:13:28.442 --> 00:13:38.106]  Police say a man concealing a weapon walked into the KLBJ radio station demanding to speak to radio talk show host Jeff Ward Tuesday afternoon.
[00:13:38.106 --> 00:13:48.671]  According to the spokesman with the Austin Police Department, a man by the name of Rocky Perez Lopez asked to speak with Jeff Ward at approximately 2.45 p.m.
[00:13:48.671 --> 00:13:50.391]  today, Tuesday.
[00:13:50.391 --> 00:13:56.154]  When Ward was unable, police say the individual was led into the conference room to speak with one of the producers.
[00:13:59.554 --> 00:14:02.675]  Because the guy says, I'm a cop, and everybody just wets their pants.
[00:14:02.675 --> 00:14:03.935]  Oh my God, you're a cop!
[00:14:03.935 --> 00:14:06.575]  I mean, they claim you have to follow any officer's order.
[00:14:06.575 --> 00:14:07.356]  Well, they'll tell you.
[00:14:07.356 --> 00:14:09.216]  I ordered you to tell me what you're doing.
[00:14:09.216 --> 00:14:09.676]  Oh, you didn't?
[00:14:09.676 --> 00:14:10.436]  I'm taking you to jail.
[00:14:10.436 --> 00:14:11.076]  No Fifth Amendment.
[00:14:11.076 --> 00:14:12.817]  I mean, what's next?
[00:14:12.817 --> 00:14:14.637]  You order me to mow your lawn?
[00:14:14.637 --> 00:14:19.038]  I mean, they say that the President is above the law and can order torture.
[00:14:19.038 --> 00:14:21.218]  Well, can he order barbecuing children?
[00:14:21.218 --> 00:14:25.219]  No.
[00:14:25.219 --> 00:14:29.060]  Police say Lopez then went on a tirade, discussing his anger about the government.
[00:14:30.984 --> 00:14:34.387]  Lopez then said he was getting ready to go postal, according to police.
[00:14:34.387 --> 00:14:41.052]  After saying this to the individuals in the conference room, police say he lifted up his shirt, revealing a gun stuck in the waistband of his pants.
[00:14:41.052 --> 00:14:49.199]  At the time, police were called to the scene where they learned from the receptionist that Perez had visited the station earlier that morning, demanding to speak to Jeff Ward.
[00:14:49.199 --> 00:14:53.902]  Why did they let him in there?
[00:14:53.902 --> 00:14:56.865]  Why did they let him in there?
[00:14:56.865 --> 00:14:58.766]  Better not come around when I'm up there at the office.
[00:14:58.766 --> 00:14:59.627]  I'll tell you that right now.
[00:15:01.553 --> 00:15:03.335]  You're right now, man.
[00:15:03.335 --> 00:15:04.857]  Don't come around this office.
[00:15:04.857 --> 00:15:06.038]  You come in here with a gun.
[00:15:06.038 --> 00:15:07.400]  Oh boy.
[00:15:07.400 --> 00:15:09.302]  I tell you what, man.
[00:15:09.302 --> 00:15:14.507]  Perez also said he used to be a DPS officer and worked security detail.
[00:15:14.507 --> 00:15:18.191]  APD followed up on the statements and confirmed that Perez told the truth about his history.
[00:15:18.988 --> 00:15:21.550]  See, the headline should be, Former Cop Goes Nuts.
[00:15:21.550 --> 00:15:26.354]  Perez fled the scene and police showed up at his home in South Austin while awaiting for Perez outside.
[00:15:26.354 --> 00:15:28.576]  Perez drove his vehicle out of the garage and down the road.
[00:15:28.576 --> 00:15:33.420]  Police followed in pursuit and caught him in a parking lot of a Sunset Valley Home Depot store.
[00:15:33.420 --> 00:15:34.361]  That's down the street from here.
[00:15:34.361 --> 00:15:36.222]  That's right down the street from here.
[00:15:36.222 --> 00:15:42.668]  Perez was charged with aggravated assault with a deadly weapon according to Travis County website.
[00:15:42.668 --> 00:15:43.709]  No one was hurt at KLBJ.
[00:15:50.089 --> 00:15:50.689]  Unbelievable.
[00:15:50.689 --> 00:15:57.712]  No one was hurt at Kelby Jay or through the pursuit for Rocky Perez.
[00:15:57.712 --> 00:15:59.313]  Okay, ladies and gentlemen.
[00:15:59.313 --> 00:16:04.235]  Well, let's get this up on PrisonPlanet.com and InfoWars.com.
[00:16:04.235 --> 00:16:06.496]  You can go to KI.tv.
[00:16:06.496 --> 00:16:06.976]  They've got it.
[00:16:08.500 --> 00:16:09.860]  Ghost Speed Racer!
[00:16:09.860 --> 00:16:11.161]  Ghost Speed Racer!
[00:16:11.161 --> 00:16:14.142]  Ghost Speed Racer Go!
[00:16:14.142 --> 00:16:16.982]  He's up and flying as he guns a car around the track.
[00:16:16.982 --> 00:16:19.643]  He's jamming down the pedal like he's never coming back.
[00:16:19.643 --> 00:16:22.944]  Adventure's waiting just ahead!
[00:16:22.944 --> 00:16:24.604]  Ghost Speed Racer!
[00:16:24.604 --> 00:16:25.885]  Ghost Speed Racer!
[00:16:25.885 --> 00:16:27.385]  Ghost Speed Racer Go!
[00:16:31.705 --> 00:16:35.927]  I want the first part about, he's a demon, he's a demon on wheels.
[00:16:35.927 --> 00:16:37.528]  Go Speed Racer!
[00:16:37.528 --> 00:16:38.769]  I mean, I might as well have fun.
[00:16:38.769 --> 00:16:46.713]  There's psycho cops just rampaging down the road in their powerful Mach 5s.
[00:16:46.713 --> 00:16:49.535]  Unbelievable, ladies and gentlemen.
[00:16:49.535 --> 00:16:52.736]  Absolutely unbelievable.
[00:16:52.736 --> 00:16:53.497]  Oh my gosh.
[00:16:53.497 --> 00:16:55.158]  Alright, I'm going to come back and go to your calls.
[00:16:55.158 --> 00:16:56.038]  And there's so much news.
[00:16:56.038 --> 00:16:59.020]  We've got Psychopath Bolton saying they want to attack Iran now.
[00:17:01.007 --> 00:17:02.589]  I mean this is all just insane.
[00:17:02.589 --> 00:17:05.011]  This is all completely insane.
[00:17:15.740 --> 00:17:18.744]  He's gaining on you, so you better look alive.
[00:17:18.744 --> 00:17:21.948]  He's busy revving up the powerful Mach 5.
[00:17:21.948 --> 00:17:26.814]  And when the odds are against him, and they're dangerous work to do.
[00:17:26.814 --> 00:17:32.121]  You bet your life's eraser, to see it through.
[00:17:33.547 --> 00:17:38.770]  Yeah, if you watch the intro, you see that the car's blowing up on side to side as they get out of his way.
[00:17:38.770 --> 00:17:39.010]  Yeah!
[00:17:39.010 --> 00:17:41.211]  Yeah, and literally, I mean, literally, I'm watching this cop.
[00:17:41.211 --> 00:17:42.212]  It was going over 80 yesterday.
[00:18:04.414 --> 00:18:07.316]  There's nothing, there's no markings on the car other than cherries flashing.
[00:18:07.316 --> 00:18:15.023]  It's a big unmarked white Ford Expedition.
[00:18:15.023 --> 00:18:19.446]  And I'm in the slow lane, it flies by me.
[00:18:19.446 --> 00:18:23.509]  Other people are trying to get out of the way and way up ahead I'm watching, there's a guy on a motorcycle.
[00:18:23.509 --> 00:18:28.293]  He doesn't see the cop racing up, probably going 90 actually.
[00:18:28.293 --> 00:18:29.755]  The guy that almost ran me down was going about 80.
[00:18:33.885 --> 00:18:40.530]  All of a sudden you can't see the motorcycle anymore because the, the, the... And you see the car slow down.
[00:18:40.530 --> 00:18:44.412]  And the motorcycle barely makes it out of the way.
[00:18:44.412 --> 00:18:48.055]  And the cop had a whole lane open in the middle.
[00:18:48.055 --> 00:18:57.101]  But you just better keep your eyes open, bowing down to police at all times, because if you don't get out of their way instantly, even when their lights are off, they are going to try to run you off the road.
[00:18:57.101 --> 00:19:00.864]  Inject more steroids, drink some whiskey, and HOWL HITLER!
[00:19:09.591 --> 00:19:13.115]  Before you throw away your used batteries, you need to listen to this.
[00:19:13.115 --> 00:19:15.018]  Now, going green can save money.
[00:19:15.018 --> 00:19:20.584]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:19:20.584 --> 00:19:28.293]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:19:28.593 --> 00:19:41.402]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:19:41.402 --> 00:19:46.606]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:19:46.606 --> 00:19:52.129]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:19:52.129 --> 00:19:52.810]  Save your money!
[00:19:53.230 --> 00:19:54.551]  Save the environment.
[00:19:54.551 --> 00:19:57.572]  Visit us online at r-charge.com.
[00:19:57.572 --> 00:19:59.792]  That's r-charge.com.
[00:19:59.792 --> 00:20:02.934]  Or call us at 989-637-4179.
[00:20:02.934 --> 00:20:06.395]  That's 989-637-4179.
[00:20:06.395 --> 00:20:09.596]  Be a part of the revolution today.
[00:20:09.596 --> 00:20:16.358]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:20:16.358 --> 00:20:18.019]  The enemy struck America on September 11th.
[00:20:18.996 --> 00:20:20.537]  But who is the enemy?
[00:20:20.537 --> 00:20:21.338]  Bin Laden.
[00:20:21.338 --> 00:20:22.338]  This is his M.O.
[00:20:22.338 --> 00:20:23.719]  We have to look to the Middle East.
[00:20:23.719 --> 00:20:25.700]  We have to look to Osama Bin Laden.
[00:20:25.700 --> 00:20:32.845]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:20:32.845 --> 00:20:33.325]  Some U.S.
[00:20:33.325 --> 00:20:38.989]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:20:39.669 --> 00:20:43.191]  I'm aware that some Israeli citizens have been detained.
[00:20:43.191 --> 00:20:45.972]  Either you are with us, or you are with the terrorists.
[00:21:09.431 --> 00:21:10.491]  Hello, Ted Anderson.
[00:21:10.491 --> 00:21:15.433]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:21:15.433 --> 00:21:23.496]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:21:23.496 --> 00:21:29.078]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:21:29.078 --> 00:21:36.061]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:21:36.361 --> 00:21:41.944]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:21:41.944 --> 00:21:47.027]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:21:47.027 --> 00:21:54.971]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:21:54.971 --> 00:22:01.535]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[00:22:01.535 --> 00:22:02.656]  For more information, call 1-800-686-2237.
[00:22:05.370 --> 00:22:05.651]  That's 1-800-686-2237.
[00:22:08.809 --> 00:22:10.569]  Honey, have you seen the remote?
[00:22:10.569 --> 00:22:12.790]  Sweetie, have you seen my car keys?
[00:22:12.790 --> 00:22:14.550]  I can't find my wallet!
[00:22:14.550 --> 00:22:15.390]  Sound familiar?
[00:22:15.390 --> 00:22:18.851]  Why not save time looking for lost things and lose the stress instead?
[00:22:18.851 --> 00:22:24.212]  Introducing our patented Find One Find All Key Finders, or FOFA XD for short.
[00:22:24.212 --> 00:22:30.393]  Once a FOFA Key Finder is attached to each of those easy-to-lose things, it can find and be found by all the rest.
[00:22:30.393 --> 00:22:36.714]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[00:22:36.834 --> 00:22:38.396]  The possibilities are endless.
[00:22:38.396 --> 00:22:44.103]  Fofa goes through walls, cushions, and laundry baskets up to 30 feet and projects a clear 90 plus decibel beep.
[00:22:44.710 --> 00:22:46.572]  I forgot the remote!
[00:22:46.572 --> 00:22:48.213]  Oh, my keys!
[00:22:48.213 --> 00:22:49.575]  There's my wallet!
[00:22:49.575 --> 00:22:57.062]  Order your Fufa today with batteries included along with a 30-day money-back guarantee by calling FindOneFindAll at 866-245-8670.
[00:22:57.062 --> 00:22:57.583]  That's 866-245-8670.
[00:22:57.583 --> 00:22:59.665]  Or buy online at FindOneFindAll.com.
[00:22:59.665 --> 00:23:00.826]  That's FindOneFindAll.com.
[00:23:10.939 --> 00:23:20.943]  Uh-oh, here comes the APD!
[00:23:20.943 --> 00:23:21.404]  Oh yeah!
[00:23:35.493 --> 00:23:39.716]  And not only does Speed Racer come right up on your tail,
[00:24:04.113 --> 00:24:06.754]  Without having their lights on.
[00:24:06.754 --> 00:24:13.657]  As if running you off the road isn't enough, they then shine a light in your face just to let you know that you're scum slaves.
[00:24:13.657 --> 00:24:18.639]  And then if you're a talk show host and they don't like you, I guess they just drop by with their gun and, you know, threaten you.
[00:24:18.639 --> 00:24:22.161]  That's how America operates now.
[00:24:22.161 --> 00:24:24.102]  I guess that's how these things go.
[00:24:26.300 --> 00:24:28.441]  Again, I'm not trying to bash the police.
[00:24:28.441 --> 00:24:35.985]  I'm watching police basically try to run people off the road every day where I live, and I'm not even looking for this stuff.
[00:24:35.985 --> 00:24:38.867]  I got other things to do, okay?
[00:24:38.867 --> 00:24:40.748]  But it's out of control.
[00:24:40.748 --> 00:24:41.929]  It's out of control.
[00:24:41.929 --> 00:24:47.332]  The police are out of control.
[00:24:47.332 --> 00:24:52.875]  You know, the crime statistics they don't like to advertise is just how many crimes police are being caught committing.
