[00:00:05.214 --> 00:00:06.834]  Wednesday, October 12, 2016.
[00:06:37.254 --> 00:06:45.277]  Everything from Supermail to Brain Force to Winter Sun, X2, even got a little DNA Force.
[00:06:45.277 --> 00:06:48.899]  So I just re-upped everything and I just went to Autofill.
[00:06:48.899 --> 00:06:53.941]  Visit InfoWarsLives.com to read the information and research and to see the reviews for yourself.
[00:06:53.941 --> 00:06:55.982]  That's InfoWarsLives.com or call 888-253-3139.
[00:07:00.163 --> 00:07:02.464]  Electrify your day with Secret 12.
[00:07:02.464 --> 00:07:04.024]  It's like lightning in a bottle.
[00:07:04.024 --> 00:07:07.905]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:07:07.905 --> 00:07:15.867]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:07:15.867 --> 00:07:20.828]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:07:20.828 --> 00:07:26.270]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:07:26.630 --> 00:07:34.413]  Secret 12 by InfoWarsLive is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:07:34.413 --> 00:07:39.134]  It pairs two forms of vitamin B12 into one explosive formula.
[00:07:39.134 --> 00:07:47.937]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:07:48.157 --> 00:07:51.703]  Electrify your mind and body and take your health to the next level.
[00:07:51.703 --> 00:07:55.609]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:07:55.609 --> 00:07:57.231]  That's InfoWarsLife.com.
[00:08:05.325 --> 00:08:11.969]  I mean, she is an abject, psychopathic demon from hell that as soon as she gets into power is going to try to destroy the planet.
[00:08:11.969 --> 00:08:15.491]  She's worked like a demon, as you know, with Secretary of State.
[00:08:15.491 --> 00:08:20.334]  We came, we saw, he died.
[00:08:20.334 --> 00:08:23.276]  What difference, at this point, does it make?
[00:08:23.276 --> 00:08:33.922]  And there's only one candidate in this race who understands that democracy in a big, diverse country doesn't work if you constantly demonize each other, demonize each other.
[00:08:34.685 --> 00:08:40.067]  You could put half of Trump's supporters into what I call the basket of deplorables.
[00:08:40.067 --> 00:08:41.708]  And I mean that literally, by the way.
[00:08:41.708 --> 00:08:48.790]  I was reading the other day, there's a guy on the radio who apparently trumps on his show frequently.
[00:08:48.790 --> 00:08:51.131]  He said, me and Hillary are demons.
[00:08:51.131 --> 00:08:54.673]  I'm telling you.
[00:08:54.673 --> 00:08:57.994]  She is a demon.
[00:08:57.994 --> 00:08:58.974]  This is biblical.
[00:08:58.974 --> 00:09:00.895]  She's going to launch a nuclear war.
[00:09:02.611 --> 00:09:04.974]  I said we smell like sulfur.
[00:09:04.974 --> 00:09:16.627]  Ain't that something?
[00:09:16.627 --> 00:09:20.752]  Now... I mean... Come on, people!
[00:09:23.556 --> 00:09:25.876]  You can't wash that evil off of Hillary.
[00:09:25.876 --> 00:09:26.257]  I'm not kidding.
[00:09:26.257 --> 00:09:31.357]  People say... They say... Folks, I've been told this by high-up folks.
[00:09:31.357 --> 00:09:34.738]  They say, listen, Obama and Hillary both smell like sulfur.
[00:09:34.738 --> 00:09:40.359]  I never said this because the media would go crazy with it, but I've talked to people that are in protective details.
[00:09:40.359 --> 00:09:41.539]  I mean, they're scared of it.
[00:09:41.539 --> 00:09:45.220]  And they say, listen, she's a frickin' demon and she stinks.
[00:09:45.220 --> 00:09:45.880]  And so does Obama.
[00:09:45.880 --> 00:09:46.660]  And I go, like, what?
[00:09:46.660 --> 00:09:48.321]  Sulfur.
[00:09:48.321 --> 00:09:49.901]  They smell like hell.
[00:09:51.343 --> 00:09:54.805]  On November 8th, the arrogance of Washington D.C.
[00:09:54.805 --> 00:09:59.948]  will come face to face with the righteous verdict of the American voter.
[00:09:59.948 --> 00:10:02.269]  It's about time.
[00:10:02.269 --> 00:10:07.552]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:10:15.595 --> 00:10:34.447]  Max Bluth, a neocon at the Council on Foreign Relations, which admits it operates to shadow government, Hillary Clinton has said that in four different speeches and written about it in two books, wrote a big story over the weekend with the headline, the alt-right is destroying itself listening to its own media.
[00:10:34.447 --> 00:10:39.811]  And he said that we were in an echo chamber and that we were failing.
[00:10:41.411 --> 00:10:50.258]  When mainstream corporate media is a shadow of its former self, has 6% trust, according to the Associated Press' own research, of itself.
[00:10:50.258 --> 00:10:56.042]  I mean, North Korea, the people have more faith in their media.
[00:10:56.042 --> 00:11:00.005]  There it is, Republicans are paying the price for their addiction to their own media.
[00:11:00.005 --> 00:11:07.771]  And what they do is they sit there and create a perception that we're all crazy and take what we say out of context.
[00:11:09.241 --> 00:11:16.025]  But the truth is, the new media, whether it's left-wing, right-wing, libertarian, doesn't matter, is exploding.
[00:11:16.025 --> 00:11:19.848]  Mainstream media is corporately funded, but is collapsing.
[00:11:21.465 --> 00:11:29.286]  And so if you go look at the news every day, it's always Trump in trouble, Trump to drop out, Trump loses all of his support, Trump can't raise any money.
[00:11:29.286 --> 00:11:29.506]  Why?
[00:11:29.506 --> 00:11:32.327]  Out of the blue, 30-something Republicans turned against him.
[00:11:32.327 --> 00:11:40.128]  They were all the same Republicans that said that if you voted for him, the nomination didn't count and that your popular vote didn't count.
[00:11:40.128 --> 00:11:42.189]  So they were just waiting within minutes.
[00:11:42.189 --> 00:11:44.709]  And Jerry Falwell Jr.
[00:11:44.709 --> 00:11:47.730]  actually got calls and met with the top Republicans that warned him
[00:11:48.903 --> 00:11:54.288]  Seven weeks ago this was coming and he told Trump, well, I mean, of course it's coming!
[00:11:54.288 --> 00:12:02.216]  They even said, oh, there'll be, you know, three months, four months after the nomination for us to still get Trump.
[00:12:02.216 --> 00:12:04.598]  And that's what they did.
[00:12:04.598 --> 00:12:09.643]  And then boom, they take this tape, I mean, which is nothing compared to John McCain or Obama or Bill Clinton and their talk.
[00:12:10.911 --> 00:12:17.373]  They edited it, they take it out of context, and then it's the end of the world!
[00:12:17.373 --> 00:12:19.274]  Trump's resigning, it's over!
[00:12:19.274 --> 00:12:22.715]  We heard that three times the last few months for other scandals.
[00:12:22.715 --> 00:12:25.356]  Meanwhile, Hillary represents convicted
[00:12:26.598 --> 00:12:31.459]  And so then I baited the media a few days ago, I won't even say it on the tape I am, that Hillary and Obama are literal demons.
[00:12:53.780 --> 00:13:00.504]  Detective details, both military and Secret Service, that I said, why do they always have flies landing on them?
[00:13:00.504 --> 00:13:01.604]  We saw it happen during the debate.
[00:13:01.604 --> 00:13:11.330]  In fact, in the Middle Ages, and even in ancient times before that, a fly landing on someone when it wasn't on anybody else was seen as a symbol of death or evil.
[00:13:11.330 --> 00:13:13.691]  They would paint them in Middle Age paintings.
[00:13:17.546 --> 00:13:24.532]  Dark age paintings, renaissance paintings of a fly on a skull or a fly on a person as a sign of death.
[00:13:24.532 --> 00:13:30.577]  There's paintings of Judas Iscariot that betrayed Christ, famous renaissance paintings with a fly on it.
[00:13:30.577 --> 00:13:35.220]  And so we just said, isn't it archetypal that Hillary's becoming the lord of the flies?
[00:13:35.220 --> 00:13:38.023]  As the Bible says, the devil's the lord of the flies.
[00:13:38.023 --> 00:13:42.306]  And that Obama, all over the world has flies landing on him and they're not landing on anybody else, they're landing on her.
[00:13:42.306 --> 00:13:43.187]  It's archetypal!
[00:13:44.545 --> 00:13:51.589]  It's tongue-in-cheek when I say absolute literal demon from hell.
[00:13:51.589 --> 00:14:02.635]  She's obviously on an absolute literal, her body, but I do believe in the Bible, I do believe there's evil influence, and obviously Hillary Clinton's an evil person that brags about overthrowing countries and letting jihadis in to murder hundreds of thousands of Christians.
[00:14:04.229 --> 00:14:13.217]  And her internal emails show her hatred for the public and the common people and folks that live in their parents' basements and baristas, her own supporters, and her own emails show this.
[00:14:13.217 --> 00:14:18.802]  And more are coming out of her hatred for the public.
[00:14:18.802 --> 00:14:26.028]  Remember when I came out and I said, we need to know that they're going to try to federalize and take over the election because Trump is so far ahead in all the major internal polls?
[00:14:28.939 --> 00:14:33.380]  Obama came out two days later and said, oh, that guy in Texas, there's no such thing as election fraud.
[00:14:33.380 --> 00:14:40.782]  That's like saying there's no such thing as wildfires, or no such thing as daisies, or no such things as automobiles.
[00:14:40.782 --> 00:14:43.963]  I mean, it's just ridiculous on its face.
[00:14:43.963 --> 00:14:47.424]  And then, two weeks later, they go, emergency!
[00:14:47.424 --> 00:14:51.085]  The Russians and others are going to hack all the systems and steal it for Trump.
[00:14:51.085 --> 00:14:52.605]  We've got to federalize the elections.
[00:14:52.605 --> 00:14:53.605]  And what did I say at the time?
[00:14:53.605 --> 00:14:56.506]  I said, watch some land security claiming they're stopping hacks.
[00:14:58.885 --> 00:15:00.967]  That will be the hack.
[00:15:00.967 --> 00:15:02.708]  And they did exactly as I said.
[00:15:02.708 --> 00:15:05.811]  Oh, but the mainstream media is so smart.
[00:15:05.811 --> 00:15:08.733]  They come out and go, it's all over for Trump.
[00:15:08.733 --> 00:15:10.995]  Alex Jones says we're literal demons.
[00:15:10.995 --> 00:15:11.656]  We're devils.
[00:15:13.286 --> 00:15:15.447]  Oh my gosh, isn't it kooky?
[00:15:15.447 --> 00:15:17.989]  See, they're all run by CIA people.
[00:15:17.989 --> 00:15:27.555]  And there's more anthropologists and sociologists and psychologists in the CIA than there are commandos and historians.
[00:15:27.555 --> 00:15:38.582]  And they're all obsessed with knowing the subgroup and seeing us all as, you know, pygmy villagers or something, or, you know, ancient Germanic, you know, villagers.
[00:15:39.673 --> 00:15:51.983]  They see us as animals, and they're up there calculating our culture, and calculating our background, and looking at how we operate, keeping us in the dark while they're part of the future.
[00:15:51.983 --> 00:15:53.484]  And they say that, the new WikiLeaks emails.
[00:15:53.484 --> 00:15:59.649]  It's just full of how they control us, and they have all the answers, and they know everything.
[00:15:59.649 --> 00:16:07.555]  I covered some of those yesterday, where they said, we want to keep the public unaware and compliant.
[00:16:07.555 --> 00:16:08.316]  Remember that?
[00:16:08.316 --> 00:16:09.297]  That's the top of the campaign.
[00:16:12.566 --> 00:16:19.268]  So, the way they do it is saying, you're a loser, you failed, there's no awakening.
[00:16:19.268 --> 00:16:38.355]  You understand, until the day that the United States Army Air Corps dropped two A-bombs, Fat Man and Little Boy, on Hiroshima and Nagasaki, Tokyo Rose was on a super powerful AM transmitter every hour saying, you have lost, your ships have been sunk, your fleets are defeated, it's all over, you're dead.
[00:16:40.899 --> 00:16:42.080]  And that's what this is.
[00:16:42.080 --> 00:16:45.321]  Now 20 years ago, they had the upper hand, they were beating us.
[00:16:45.321 --> 00:16:49.243]  And I was telling you, we're getting beat, we're in trouble, it's horrible, we gotta mobilize.
[00:16:49.243 --> 00:16:53.865]  I don't sit here and like try to, like Oprah Winfrey's the secret to speak things into reality.
[00:16:53.865 --> 00:16:55.966]  You have to take action to do that.
[00:16:55.966 --> 00:17:02.229]  And I said over and over again, we have to turn the tide, we have to expose globalism, the puppet masters, not the puppets.
[00:17:02.229 --> 00:17:04.450]  They can always replace the puppets, but not the puppet masters.
[00:17:04.450 --> 00:17:06.871]  We've got to expose that.
[00:17:06.871 --> 00:17:07.471]  I'm gonna skip this break.
[00:17:08.706 --> 00:17:11.734]  And that's what I did over and over and over again.
[00:17:11.734 --> 00:17:15.484]  You did that, others did it, because you could see classical psychological warfare they were using.
[00:17:17.188 --> 00:17:25.995]  So, Max Boot of the Council on Foreign Relations, the group sworn to create world government and our sovereignty, I mean, every publication they put out every two months admits that.
[00:17:25.995 --> 00:17:34.001]  They put out stuff five years ago saying why we need Al-Qaeda in Syria, and admitted our government was financing Al-Qaeda, now known as ISIS.
[00:17:34.001 --> 00:17:36.943]  I mean, they hide this stuff in plain view.
[00:17:36.943 --> 00:17:40.606]  You can go to Barnes & Noble, every two months it comes out, Foreign Affairs.
[00:17:40.606 --> 00:17:42.928]  It's on a magazine, it's like a book, a little green book.
[00:17:42.928 --> 00:17:44.409]  It's about 200 pages thick.
[00:17:48.237 --> 00:17:50.719]  I sit here and read what they're saying, what they're doing.
[00:17:50.719 --> 00:17:57.823]  They think you're so unintellectual that you'll never look into it all and know that I'm not telling you my opinion.
[00:17:57.823 --> 00:18:05.187]  I'm telling you word for word what they've said and what they've done and what they stand for.
[00:18:05.187 --> 00:18:07.469]  So he talks about the right wing is in an echo chamber.
[00:18:07.469 --> 00:18:10.911]  Hey brother, you're in an echo chamber and you know it.
[00:18:10.911 --> 00:18:11.791]  I'm not right wing.
[00:18:11.791 --> 00:18:13.352]  I'm a constitutionalist.
[00:18:13.352 --> 00:18:14.413]  I'm a patriot.
[00:18:14.413 --> 00:18:15.874]  I transcend your left-right system.
[00:18:16.758 --> 00:18:38.893]  Now, your modern left is a bunch of fascist, control freak, victim, useful idiot morons who I am exposing with very harsh language to try to shake them out of their mind control stupor of invincible ignorance and wearing their ignorance like it's a crown of enlightenment.
[00:18:40.077 --> 00:18:42.959]  But I'm not here trying to use their ignorance against them.
[00:18:42.959 --> 00:18:44.660]  I'm trying to empower them.
[00:18:44.660 --> 00:18:51.364]  Because when they're empowered, those of us that are already more enlightened and smarter than they are, we will rise even higher.
[00:18:51.364 --> 00:18:54.106]  You can't lower people and not lower yourself.
[00:18:54.106 --> 00:18:57.788]  That's a metaphysical rule of the universe.
[00:18:57.788 --> 00:18:59.049]  It's natural law.
[00:19:00.794 --> 00:19:02.675]  That everything's interconnected.
[00:19:02.675 --> 00:19:04.777]  And these globalists are like cancer.
[00:19:04.777 --> 00:19:09.300]  They think because they take over and dominate because they're evil, they are the enlightened ones and the dominant ones.
[00:19:09.300 --> 00:19:09.740]  No.
[00:19:09.740 --> 00:19:11.422]  You're the malfunctioning cancer.
[00:19:11.422 --> 00:19:16.065]  If I get cancer, you get cancer, and it kills us, the cancer cells die too, don't they?
[00:19:16.065 --> 00:19:17.006]  But they're not conscious.
[00:19:17.006 --> 00:19:19.207]  They just think, I do whatever I want.
[00:19:19.207 --> 00:19:21.729]  I take over whatever I want.
[00:19:21.729 --> 00:19:23.690]  That's conquest versus renaissance.
[00:19:23.690 --> 00:19:25.712]  Now I'm going to get into all the big news here, but
[00:19:27.878 --> 00:19:29.800]  There are just a wall of stories.
[00:19:29.800 --> 00:19:30.480]  Trump is over.
[00:19:30.480 --> 00:19:31.161]  Trump's a loser.
[00:19:31.161 --> 00:19:32.042]  Trump's an idiot.
[00:19:32.042 --> 00:19:33.824]  You know, if you vote for Trump, you lose.
[00:19:33.824 --> 00:19:34.664]  He's gonna lose.
[00:19:34.664 --> 00:19:37.087]  He's 10 points, 20 points, 30 points, 80 points.
[00:19:37.087 --> 00:19:42.452]  I mean, I've seen articles where they're saying he's 30 points behind.
[00:19:42.452 --> 00:19:46.575]  And then you read the poll, and they're sampling 60% more Democrats than Republicans.
[00:19:46.575 --> 00:19:47.937]  I mean, it is getting crazy.
[00:19:49.738 --> 00:20:01.302]  Because again, they think they can put in the methodology of the poll the fact that it's totally fake, but you're too dumb to understand what sampling 46% Democrats and 22% Republicans means.
[00:20:01.302 --> 00:20:05.743]  Or sampling 42% Democrats and 19% Republicans.
[00:20:05.743 --> 00:20:08.464]  And then Bloomberg comes out and says, well, we're not going to do that.
[00:20:08.464 --> 00:20:11.806]  We're only going to sample 10% more.
[00:20:11.806 --> 00:20:12.606]  We're more scientific.
[00:20:14.343 --> 00:20:15.424]  Politico!
[00:20:15.424 --> 00:20:18.146]  They only sampled 7% more.
[00:20:18.146 --> 00:20:20.848]  Oh, and then Hillary was only winning by 2 points in that one.
[00:20:20.848 --> 00:20:21.949]  They had him in a dead heat.
[00:20:21.949 --> 00:20:27.454]  See, all of America should be flipping out at just the way they're running the polls.
[00:20:27.454 --> 00:20:31.557]  The way they turned his microphone off two debates ago.
[00:20:31.557 --> 00:20:37.422]  The way they interrupt him 70 times, 40 times, Hillary 6 times, 3 times.
[00:20:37.422 --> 00:20:42.106]  When you see something this rigged, and the whole corrupt establishment throwing everything it's got at the public,
[00:20:44.121 --> 00:20:46.842]  You've got to know that Donald Trump's the man.
[00:20:46.842 --> 00:20:48.163]  Doesn't mean he's perfect.
[00:20:48.163 --> 00:20:50.684]  Doesn't mean his feet won't have to be held to the fire.
[00:20:50.684 --> 00:20:56.986]  But we know the Clintons, they are the most archetypal, corrupt, out of control group that I could possibly imagine.
[00:20:56.986 --> 00:20:59.287]  Now, here's what's coming up today.
[00:20:59.287 --> 00:21:03.488]  Speaking of censorship, speaking of control, I want to show TV viewers this article right here.
[00:21:03.488 --> 00:21:04.749]  This is DrudgeReport.com.
[00:21:14.560 --> 00:21:27.151]  CNN boss Jeff Zucker has directly ordered network staff not to cover shocking allegations made by Arkansas resident Danny Williams.
[00:21:27.151 --> 00:21:28.952]  The Drudge Report has learned.
[00:21:28.952 --> 00:21:36.559]  Williams, who is set to give his first TV interview today on InfoWars.com, claims to be Bill Clinton's biological son.
[00:21:36.559 --> 00:21:41.663]  Jeff thinks it is ridiculous hoax, a top CNN source said.
[00:21:44.511 --> 00:21:52.039]  I always felt bad about Bill Clinton not wanting to be in my life, Williams explains in the video released Monday.
[00:21:52.039 --> 00:21:53.740]  Was it because I was black?
[00:21:53.740 --> 00:21:54.941]  Was there something wrong with me?
[00:21:54.941 --> 00:22:01.028]  It made me think sometimes even of suicide.
[00:22:01.028 --> 00:22:04.871]  It's not fair and it's been hurtful.
[00:22:04.871 --> 00:22:07.754]  Hillary, please do not deny I exist.
[00:22:07.754 --> 00:22:08.235]  I am your
[00:22:09.867 --> 00:22:10.387]  Stepson.
[00:22:10.387 --> 00:22:12.289]  So all of that is developing.
[00:22:12.289 --> 00:22:13.570]  But what's the bigger story here?
[00:22:13.570 --> 00:22:15.472]  He'll be in studio in about an hour with us.
[00:22:15.472 --> 00:22:17.273]  He's in the room right next to us right now.
[00:22:17.273 --> 00:22:22.177]  We're about to tweet out photos of he and I during the last break here in the studio.
[00:22:22.177 --> 00:22:29.663]  Photo of Danny standing in front of our big TV screen right here with CNN orders blackout on Clinton's son.
[00:22:29.663 --> 00:22:30.684]  Now there it is.
[00:22:30.684 --> 00:22:31.845]  Tweeted at real Alex Jones.
[00:22:34.502 --> 00:22:36.965]  And it's not like this guy just popped up like the media is saying.
[00:22:36.965 --> 00:22:40.328]  I was on air 21 years ago and interviewed his aunt.
[00:22:40.328 --> 00:22:42.410]  I remember interviewing her.
[00:22:42.410 --> 00:22:48.436]  Christian church lady.
[00:22:48.436 --> 00:22:51.139]  I remember having the Arkansas State Troopers on.
[00:22:52.500 --> 00:23:08.770]  I remember hearing about the money being delivered to the little shack, $700 a month, and the Christmas presents until he tried to go to the mansion in Little Rock down the street, a few miles away, and climb the fence and go to the front door and meet Bill Clinton.
[00:23:08.770 --> 00:23:12.672]  But Hillary had the state police come out and run him off.
[00:23:12.672 --> 00:23:16.094]  Or how his mother ran in with the baby years before when he was a baby.
[00:23:19.116 --> 00:23:24.539]  And Bill Clinton, you gotta hand it to him, actually had some heart and some soul and tried to take care of his son.
[00:23:24.539 --> 00:23:29.622]  If it wasn't his son, why would he do that?
[00:23:29.622 --> 00:23:31.464]  Please Hillary, do not deny I exist.
[00:23:31.464 --> 00:23:32.184]  I am your stepson.
[00:23:32.184 --> 00:23:32.824]  That is coming up.
[00:23:32.824 --> 00:23:34.806]  So how does the media respond?
[00:23:34.806 --> 00:23:38.528]  Oh, the head of CNN, Jeff Zucker, just says, I think it's
[00:23:41.175 --> 00:23:42.676]  Ridiculous hoax.
[00:23:42.676 --> 00:23:43.136]  Close quote.
[00:23:43.136 --> 00:23:45.918]  So he believes it just like they said in the last year.
[00:23:45.918 --> 00:23:47.299]  Never talk about Hillary's health.
[00:23:47.299 --> 00:23:48.960]  Don't let anybody talk about her falling down.
[00:23:48.960 --> 00:23:50.061]  Now we know she does.
[00:23:50.061 --> 00:23:51.562]  Now we know there's a cover up.
[00:23:51.562 --> 00:23:57.946]  They say don't talk about all these other things because the head of CNN has told everybody you don't do it.
[00:23:57.946 --> 00:23:59.367]  Same thing with MSNBC.
[00:23:59.367 --> 00:24:02.910]  So it's our job at InfoWars to break through that electronic Berlin Wall.
[00:24:03.854 --> 00:24:05.235]  And to force that discussion.
[00:24:05.235 --> 00:24:06.796]  Does Alex Jones get demonized?
[00:24:06.796 --> 00:24:07.637]  Do I get attacked?
[00:24:07.637 --> 00:24:09.118]  Do I get ridiculed by mainstream media?
[00:24:09.118 --> 00:24:10.279]  Absolutely.
[00:24:10.279 --> 00:24:12.041]  And 15 years ago, that would hurt us.
[00:24:12.041 --> 00:24:15.244]  They still had maybe 40% credibility.
[00:24:15.244 --> 00:24:19.647]  They have 6% credibility.
[00:24:19.647 --> 00:24:25.732]  This is a criminal, deceptive combine that admittedly the WikiLeaks prove even more, get daily directives and talking points.
[00:24:25.732 --> 00:24:26.293]  We already know that.
