[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[11:35.800 --> 11:48.800]  But if we become accustomed to their bullying, and if we don't resist it and speak up to it and say no to it, they could potentially bring in a new dark age.
[11:48.800 --> 12:01.800]  Now, you've got a big broadcast lined up today, and I'm going to cover as much news and information as I can.
[12:01.800 --> 12:12.800]  But just to quantify what I'm saying about Trump, we can't let covering every aspect of what Trump does and the media attacking Trump constantly and lying about him,
[12:12.800 --> 12:25.800]  change the subject from all the other big issues that are taking place. Like Soros at Davos announcing they're getting ready to launch takedown operations against China.
[12:25.800 --> 12:31.800]  I'm going to explain what ties into all of that. A lot of people say, well, that sounds good. Yeah, it is good.
[12:31.800 --> 12:36.800]  It shows that just some of the action Trump's carried out in two years is already bringing China to their knees.
[12:36.800 --> 12:40.800]  And so now Soros is jumping on the bandwagon. But that's a big story we should talk about.
[12:40.800 --> 12:50.800]  Jeff Bezos gives a pitiful amount of his $160 million fortune to charity, but he lectures everybody all day about how the middle class should pay more taxes when he basically pays no taxes.
[12:50.800 --> 12:57.800]  He gets $1.50 on every package he sends of taxpayer money. Well, so do all these top millionaires, except for a few people like Trump.
[12:57.800 --> 13:01.800]  They all have inside deals while they lecture us.
[13:01.800 --> 13:13.800]  We'll also get into the Democrat front runners. They're bringing forward Camilla Harris and Pocahontas and, of course, the Bernie Sanders types.
[13:13.800 --> 13:21.800]  And really what this signifies, the left is not turning into, but revealing they always were all along.
[13:21.800 --> 13:24.800]  We're going to be looking at all of that today.
[13:24.800 --> 13:31.800]  And we're also going to be looking at the so-called fat checkers like Scopes and others, who people keep pointing out or putting out lies.
[13:31.800 --> 13:38.800]  And folks say, hey, these are lies. You've been proven to be wrong. Why won't you change it? Because they're known liars.
[13:38.800 --> 13:42.800]  They know they're lying. They're jokes. They're frauds.
[13:42.800 --> 13:48.800]  So everyone keeps fact-checking them, showing they're liars. It's the institution itself that you know is a fraud.
[13:48.800 --> 13:58.800]  So I sit there and debate liars on a daily basis when they're already known liars.
[13:58.800 --> 14:10.800]  So that's what this comes down to. But first, when we come back, when I talk about getting into issues that the right-wing and left-wing media are unified on,
[14:10.800 --> 14:17.800]  those are the type of issues that the establishment is really pushing and those are the type of things that can get you killed.
[14:17.800 --> 14:26.800]  And I'm talking about vaccines. Vaccines are simply a catch-all term for the government mandating something to be put injected into your body.
[14:26.800 --> 14:35.800]  It's not just pathogens or attenuized viruses or dead bacteria that your body then learns how to fight.
[14:35.800 --> 14:40.800]  That's a known technology. No one's debating that it exists and has some attributes.
[14:40.800 --> 14:50.800]  It's the whole precedent of setting the precedent to put things into your body that change the very chemistry of not just your autoimmune system,
[14:50.800 --> 14:55.800]  but your brain and your organs itself.
[14:55.800 --> 14:59.800]  And now the big push on every major channel is arrest people that don't vaccinate.
[14:59.800 --> 15:06.800]  And they're claiming that there are increased pathogenic diseases and illnesses like measles in areas because of anti-vaccine.
[15:06.800 --> 15:12.800]  Well, the studies don't really show that. It's the illegal alien influxes that are causing it.
[15:12.800 --> 15:20.800]  But again, no one's saying that vaccines can't give you protection from some things.
[15:20.800 --> 15:26.800]  It's what else is in there. Remember what the government's been caught putting in vaccines before?
[15:26.800 --> 15:38.800]  Syphilis on purpose, live polio on purpose. All over the world there's a covert operation going on and the system wants the precedent to put things in your body without asking your permission.
[15:38.800 --> 15:46.800]  So when we come back, Fox News is calling for folks to be arrested who don't take vaccines and they want the doctors arrested as well.
[15:46.800 --> 15:51.800]  So they're now going to criminalize saying, no, I don't want to have some corporation that has liability protection
[15:51.800 --> 15:57.800]  injecting me with some secret contrary concoction. It's all coming up next segment.
[16:21.800 --> 16:28.800]  That's 866-295-5305. HBXTrack.com. Don't risk it when you can take charge of it.
[16:28.800 --> 16:32.800]  Hunters, anglers, campers and survivalists, get back to nature.
[16:32.800 --> 16:39.800]  Expand your horizons with the highest quality, most versatile, unique slingshots and slingbows on the market at slingbow.com.
[16:39.800 --> 16:43.800]  Slingbow products are compact and models start from just 1798.
[16:43.800 --> 16:46.800]  They're perfect for your bug out bag or storing in your vehicle.
[16:46.800 --> 16:50.800]  Give yourself and your loved ones the excitement and tradition of slingbow.
[16:50.800 --> 16:55.800]  A new frontier in archery and truly modern twist on this primitive survival tool.
[16:55.800 --> 17:20.800]  Feel the thrill only at slingbow.com.
[17:25.800 --> 17:34.800]  The United States of Empire is a book that claims the United States is the empire of the world.
[17:34.800 --> 17:37.800]  George Washington had warned us against foreign wars.
[17:37.800 --> 17:43.800]  The United States of Empire shows that World Wars I and II left England broken.
[17:43.800 --> 17:47.800]  Its former colony, the U.S., had to save the empire.
[17:47.800 --> 17:49.800]  Was there ever a vote? Who do we fight for?
[17:49.800 --> 17:52.800]  The deep state began with World War I.
[17:52.800 --> 17:58.800]  The United States of Empire by James Dunn, available at Amazon Books.
[18:02.800 --> 18:05.800]  When it comes to rebuilding your energy, convenience is key.
[18:05.800 --> 18:11.800]  While coffee, candy and other sugary products can give you a short boost, the crash can lead you more tired than ever.
[18:11.800 --> 18:19.800]  Turbo Force from Info Wars Life is a powerful mix-in energy packet that utilizes vitamins, amino acids and extracts
[18:19.800 --> 18:27.800]  used for hundreds of years to provide you focus, clarity and a boost of energy on the go.
[18:27.800 --> 18:33.800]  Simply take a packet, mix it into the indicated amount of water and enjoy.
[18:33.800 --> 18:41.800]  With 14 servings per box for a two-week or more supply, this is the formula to stock up on whenever you need a boost.
[18:41.800 --> 18:44.800]  Perfect for work, in the car or at home.
[18:44.800 --> 18:47.800]  Turbo Force is the ultimate answer to a sluggish day.
[18:47.800 --> 18:49.800]  Don't let your day slow you down.
[18:49.800 --> 19:18.800]  Perk Up with Turbo Force at InfowarsStore.com.
[19:19.800 --> 19:25.800]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water,
[19:25.800 --> 19:29.800]  to fight back against the modern-day lifestyle with the screen time and the extended hours,
[19:29.800 --> 19:33.800]  to still have the stamina and endurance, energy and drive.
[19:33.800 --> 19:39.800]  To get to the gym, get to the park and get exercise that you need for your health.
[19:39.800 --> 19:43.800]  So go to InfowarsStore.com and get SuperMailVitality before it's gone.
[19:43.800 --> 19:47.800]  This is actually our last run of SuperMailVitality.
[19:47.800 --> 19:52.800]  So I want you to experience SuperMailVitality before it's too late.
[19:52.800 --> 19:55.800]  Unleash the SuperMail in you.
[19:55.800 --> 20:02.800]  SuperMailVitality.com.
[20:02.800 --> 20:07.800]  You're listening to the Alex Jones Show.
[20:07.800 --> 20:12.800]  SuperMailVitality.com.
[20:38.800 --> 20:45.800]  We now take you live to the Central Texas Commence Center in the heart of the Resistance.
[20:45.800 --> 20:48.800]  You're listening to Alex Jones.
[20:53.800 --> 20:58.800]  Ladies and gentlemen, I'm going to go to a special report and in the next segment I'm going to get into this amazing push
[20:58.800 --> 21:04.800]  to criminally prosecute people who do not take vaccines.
[21:04.800 --> 21:12.800]  And this is a full court press all over the news, all over the media, all over everything.
[21:12.800 --> 21:16.800]  And so we're going to be breaking it down coming up in the next segment.
[21:16.800 --> 21:28.800]  But first I wanted to get to several of these reports just detailing how insane the police state and all these other systems have gotten.
[21:28.800 --> 21:37.800]  I wanted to play Pelosi as the queen of immorality first and then I wanted to get to Texas monuments under Orwellian attack
[21:37.800 --> 21:43.800]  because this is what the left does is they attack every symbol, every icon until they completely remove everything
[21:43.800 --> 21:46.800]  and set the precedent that they control language.
[21:46.800 --> 21:49.800]  All authoritarian regimes do this.
[21:49.800 --> 21:54.800]  Offended Muslims demand Nike remove all of shoes.
[21:54.800 --> 22:02.800]  Thousand sign petition claiming design looks like word for Islamic God.
[22:02.800 --> 22:11.800]  And then after we're done working on all that, we will open the phones up and take your calls throughout the broadcast today.
[22:11.800 --> 22:14.800]  There's so much more we're going to be getting to as well.
[22:14.800 --> 22:17.800]  But first Pelosi is the queen of immorality.
[22:17.800 --> 22:18.800]  Here it is.
[22:18.800 --> 22:25.800]  The socialist Marxist anti-American Democrats want you to know they think they have the moral high ground.
[22:25.800 --> 22:28.800]  Do we live in a moral world that allows for billionaires?
[22:28.800 --> 22:29.800]  Is that a moral outcome?
[22:29.800 --> 22:30.800]  No.
[22:30.800 --> 22:31.800]  It's not.
[22:31.800 --> 22:32.800]  It's not.
[22:32.800 --> 22:35.800]  But do they even know where the moral high ground is?
[22:35.800 --> 22:37.800]  Pelosi is knee deep in immorality.
[22:37.800 --> 22:45.800]  She just entered the history books as the first speaker of the House and US history to cancel the president's state of the union address.
[22:45.800 --> 22:53.800]  Censoring our duly elected president's overview of the direction of the country is so overwhelmingly totalitarian.
[22:53.800 --> 23:04.800]  I don't think it has sunk in yet with the majority of the country just how wrong and essentially immoral Nancy Pelosi's cancellation of the state of the union really is.
[23:04.800 --> 23:16.800]  Every two years we gather in this chamber for a sacred ritual under the dome of this temple of democracy, the capital of the United States.
[23:16.800 --> 23:20.800]  We renew the great American experiment.
[23:20.800 --> 23:34.800]  And in fact we have a representative Nancy Pelosi, first woman speaker of the House. She has spent more than four centuries in Congress breaking barriers and promoting equal rights for all Americans as speakers.
[23:34.800 --> 23:39.800]  She famously led the fight for a fully inclusive hate crimes bill and repealed don't ask, don't tell.
[23:39.800 --> 23:42.800]  And she's been a staunch advocate for marriage equality in Congress.
[23:42.800 --> 23:52.800]  And you know, she was one of the people who got that money here when I talked about in the 80s San Francisco having a bigger AIDS budget than the federal government had.
[23:52.800 --> 24:06.800]  Meanwhile, the family unit is torn apart by creeping Marxism dealt yet another blow by the Democrats rushed to equalize everything while trampling the way in which what's left of the United States traditional moral code.
[24:06.800 --> 24:18.800]  On the surface, the Equality Act appears as a civil rights victory, gender related identity inclusion aside, what was regarded as immoral behavior will be gradually accepted.
[24:18.800 --> 24:28.800]  I'll quote Dr. King. Dr. King said, this is no time to engage in the luxury of cooling off or take the tranquilizing drug of gradualism.
[24:28.800 --> 24:33.800]  Tranquilizing graduate. We cannot think incrementally. We have to think big.
[24:33.800 --> 24:41.800]  The Equality Act updates the definitions of sex to include a sex stereotype, sexual orientation or gender identity.
[24:41.800 --> 24:48.800]  Sexual orientation will now be defined as homosexuality, heterosexuality or bisexuality.
[24:48.800 --> 24:57.800]  Gender identity will be defined as appearance, mannerisms or characteristics regardless of the individual's designated sex at birth.
[24:57.800 --> 25:04.800]  The Equality Act also prohibits an establishment from being construed to be limited to a physical facility or place.
[25:04.800 --> 25:16.800]  Meaning, if you thought the Catholic priest rape epidemic was bad, just wait until pedophile access to our children is increased and pedophilia is eventually deemed acceptable by the government.
[25:16.800 --> 25:19.800]  And scenes like this will be commonplace.
[25:19.800 --> 25:27.800]  I'm a man. I'm a man. My ID say female. He's been rude. Know your pronoun. Know your pronoun. Know your pronoun.
[25:27.800 --> 25:33.800]  A transgender woman who recently started her transition yelling at an employee inside this Albuquerque GameStop.
[25:33.800 --> 25:41.800]  Morris says the cashier repeatedly called her sir instead of the gender pronoun she identifies with while she was trying to return a game she bought for her son.
[25:41.800 --> 25:49.800]  Ma'am, once again, ma'am. I said both of you. No, you said sir. Once again, it's ma'am. I said both of you guys.
[25:49.800 --> 25:52.800]  Right before hand, you fucking said sir.
[25:52.800 --> 26:00.800]  The definition of the family will be overhauled just as Pelosi and her immoral California Silicon Valley cohorts wanted to be.
[26:00.800 --> 26:09.800]  There are two challenges, well actually three, that I want to just close with. And these are the, here they are.
[26:09.800 --> 26:15.800]  Is there anything more immoral than subverting the strong moral foundation of the family?
[26:15.800 --> 26:17.800]  John Bowne reporting.
[26:17.800 --> 26:25.800]  Please remember we are listeners supported. We don't get billions of dollars from the government or Silicon Valley or George Soros NGOs.
[26:25.800 --> 26:28.800]  We are supported by, thankfully, you.
[26:28.800 --> 26:37.800]  So please go to infowarstore.com and check out the highest quality nutraceuticals and supplements at infowarstore.com.
[26:37.800 --> 26:43.800]  The left and its Orwellian scourge of a racing American history crept into the Texas state capital.
[26:43.800 --> 26:49.800]  Dallas Representative Eric Johnson was triggered by a plaque commemorating the children of the Confederacy.
[26:49.800 --> 27:01.800]  So the ironically named State Preservation Board, led by Governor Abbott and Lieutenant Governor Patrick, unanimously voted to take it down with zero feedback from the public.
[27:01.800 --> 27:12.800]  A portion of the 60 year old plaque reads, we therefore pledge ourselves to preserve pure ideals, to honor our veterans, to study and teach the truths of history.
[27:12.800 --> 27:20.800]  One of the most important of which is that the war between the states was not a rebellion, nor was its underlying cause to sustain slavery.
[27:20.800 --> 27:34.800]  The plaque, which is now in the hands of a curator determined by the State Preservation Board, was merely attempting to bring the complicated economic and political circumstances to those desiring education of Texas history.
[27:34.800 --> 27:40.800]  This is Texas Freedom Force, an organization that has been fighting the statewide attack on Texas monuments.
[27:40.800 --> 27:44.800]  We're finally given the floor to counter the leftist madness.
[27:44.800 --> 27:50.800]  Texas history has a lot of good and bad, but the penis, we're here to protect everything about it.
[27:50.800 --> 28:00.800]  As fellow Texans, we know that we are strong-minded, with strong will, and there's no way nobody's going to take that away from us.
[28:00.800 --> 28:02.800]  Our history means something.
[28:02.800 --> 28:06.800]  And as Texans, and especially Texas, is rich in our history.
[28:06.800 --> 28:15.800]  That's part of the report, Texas Monuments Under Orwellian Attack, the full report is on infowars.com and newswars.com.
[28:15.800 --> 28:21.800]  Now when I come back, I'm going to get to it, but I wanted to print some more articles, that's why I didn't get to it this segment.
[28:21.800 --> 28:26.800]  So I just document this for you, for radio and TV, listeners and viewers.
[28:26.800 --> 28:32.800]  This isn't about do vaccines work or don't they? It's about what are vaccines?
[28:32.800 --> 28:36.800]  What does the term vaccine even mean?
[28:36.800 --> 28:39.800]  This is hiding in plain view.
[28:39.800 --> 28:47.800]  Wait until I break this down on the other side, because now they're saying they want to put you in jail, if you don't quote, take vaccines.
[28:47.800 --> 28:52.800]  Now what was the vaccine in 1955 versus what vaccines are today?
[28:52.800 --> 28:58.800]  You'll want to hear about this. Stay with us.
[28:58.800 --> 29:03.800]  Know someone with a drinking or drug problem? Learn how to get sober after we share these stories.
[29:03.800 --> 29:08.800]  I was 35 with two beautiful children when my life and addiction started to spiral out of control.
[29:08.800 --> 29:15.800]  After my divorce, I went into a depression cycle and started drinking more often and using prescription drugs.
[29:15.800 --> 29:20.800]  After my second DWI and arrest, my ex-husband threatened to take our children away from me.
[29:20.800 --> 29:24.800]  I was 17 when I became addicted to heroin and meth.
[29:24.800 --> 29:30.800]  I thought I could quit on my own, but I couldn't. It hit me when I was arrested.
[29:30.800 --> 29:39.800]  Get sober now. Your private insurance may cover costs and we'll get you here. It's simple. Just call Elite Rehab Placement right now.
[29:39.800 --> 29:58.800]  Please, don't wait. Your life matters to us. Call right now before it's too late.
[29:58.800 --> 30:11.800]  When it comes to rebuilding your energy, convenience is key. While coffee, candy, and other sugary products can give you a short boost, the crash can leave you more tired than ever.
[30:11.800 --> 30:24.800]  Kerbal Force from InfoWarsLife is a powerful mix-in energy packet that utilizes vitamins, amino acids, and extracts used for hundreds of years to provide you focus, clarity, and a boost of energy on the go.
[30:24.800 --> 30:32.800]  Simply take a packet, mix it into the indicated amount of water, and enjoy.
[30:32.800 --> 30:40.800]  With 14 servings per box for a two-week or more supply, this is the formula to stock up on whenever you need a boost.
[30:40.800 --> 30:44.800]  Perfect for work, in the car, or at home.
[30:44.800 --> 30:59.800]  Kerbal Force is the ultimate answer to a sluggish day. Don't let your day slow you down. Perk Up with KerbalForce at InfowarsStore.com
[30:59.800 --> 31:09.800]  If you're not expanding, you're imploding. There is no set stasis. There is no managed system. There is no uncontenual. The continuum is always launching forward in the future.
[31:09.800 --> 31:16.800]  So, you support us and get creative and get fired up. We won't just be here 100 years. We'll be here forever. We'll turn the whole thing around.
[31:16.800 --> 31:25.800]  Our grandchildren on Mars bases and jump bases, and God knows what, are going to look back and say, you know, we struggled here, we made it, and that's really where this goes.
[31:25.800 --> 31:27.800]  God's got a big war for you ready.
[31:27.800 --> 31:34.800]  And so, if you can't face George Soros and Hillary Clinton and Adolf Hitler and Mao Zedong, are you going to really be able to face the other stuff?
[31:34.800 --> 31:42.800]  Because God wants warriors that are smart and are ready to build things and are also ready to fight. You don't go to the next level without getting a big weight put on your back.
[31:42.800 --> 31:49.800]  And, I mean, I don't know what's going to happen to me in the future. I mean, all I know is, I want to go with the master built. I want to go to the next level.
[31:49.800 --> 31:59.800]  I want to be with the spirit that I've experienced, not these devil worshipers. They're cold and failed and feels like being a tomb. I want life. I want Jesus.
[31:59.800 --> 32:07.800]  Fueling your body is hard work. That's why we've introduced the Info Wars Life Daily Digestive Pack to help you fuel it right.
[32:07.800 --> 32:15.800]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[32:15.800 --> 32:18.800]  There's no better way to power your body.
[32:18.800 --> 32:30.800]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[32:30.800 --> 32:36.800]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[32:36.800 --> 32:43.800]  These incredible formulas can help keep your body in tip top shape in the fight against stress, age and outside toxins.
[32:43.800 --> 32:49.800]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[32:49.800 --> 33:14.800]  Don't miss out on the chance to fuel your body and support recovery. Try the Info Wars Life Daily Digestive Pack today.
[33:19.800 --> 33:44.800]  You are listening to an InfoWars.com frontline report. If you are receiving this transmission, you are the resistance.
[33:44.800 --> 33:54.800]  So what is a vaccine? It's taking something that could potentially hurt you or kill you and it's weakening it.
[33:54.800 --> 34:08.800]  It's either radiating it or microwaving it or heating it up until it's dead and then putting it into your body so that your body learns how to fight it off or defeat it.
[34:08.800 --> 34:13.800]  So you're artificially giving your body a way to learn immunity. Total science, it's real.
[34:13.800 --> 34:21.800]  Now there's the subject of sometimes it's the virus or the bacteria itself that causes an autoimmune response that can kill you.
[34:21.800 --> 34:37.800]  It's not the bacteria or virus itself that's replicating and attacking tissues, but the body has an autoimmune response and in the learning how to beat it, your baby has that convulsion and never wakes up.
[34:37.800 --> 34:47.800]  Or wakes up and never talks again. Millions of people have autism now in the US. In the 1950s it was thousands.
[34:47.800 --> 34:53.800]  But see, I'm not even hitting at the heart of this. There's a whole other big facet here.
[34:53.800 --> 35:08.800]  I remember 20 years ago reading BBC articles and MIT articles and things that were more research level about population control and ending the criminal mind and they said back then,
[35:08.800 --> 35:18.800]  we know there's areas of the brain associated with aggression, but also with being a great sports player or great levels of passion.
[35:18.800 --> 35:35.800]  We can go in to prisoners who are homicidal maniacs and give them a quote vaccine that will target cells in the brain to be destroyed in a targeted high tech lobotomy.
[35:35.800 --> 35:39.800]  Now that's how it was described 20 years ago.
