[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[00:07:00.515 --> 00:07:01.515]  And we're losing.
[00:07:01.515 --> 00:07:03.256]  We're losing.
[00:07:03.256 --> 00:07:05.557]  But we don't have to be losing.
[00:07:05.557 --> 00:07:06.457]  Okay?
[00:07:06.457 --> 00:07:08.438]  It's totally different.
[00:07:08.438 --> 00:07:14.680]  This is something that we can all win when we decide that their narrative is wrong.
[00:07:14.680 --> 00:07:17.802]  And their narrative doesn't have to control us anymore.
[00:07:17.802 --> 00:07:19.562]  That's right.
[00:07:19.562 --> 00:07:28.826]  Anybody they attack and try to shut down is somebody's message they fear and is somebody that we should rally around, ladies and gentlemen.
[00:07:29.710 --> 00:07:39.355]  The reason I started the broadcast today with that is, without even looking, I see clips all over the internet of big public events.
[00:07:39.355 --> 00:07:51.360]  One of them was a recent large comedy show in liberal downtown Austin, and the comedian was attacking me, but when he said my name, it was resounding cheers.
[00:07:51.360 --> 00:07:54.622]  And that happens almost everywhere.
[00:07:54.622 --> 00:07:56.483]  And they try to sell the idea that Infowars
[00:07:58.041 --> 00:08:02.125]  Is unpopular, but it is overwhelmingly popular, not unpopular.
[00:08:02.125 --> 00:08:05.227]  The same thing happened with Elon Musk.
[00:08:05.227 --> 00:08:10.452]  He got a big round of applause, and then a few people booed, and the media cut out the booing and said, oh, look, he got booed.
[00:08:10.452 --> 00:08:13.535]  But the truth is, what Musk is doing is overwhelmingly popular.
[00:08:13.535 --> 00:08:21.742]  But even if what I was doing wasn't popular and wasn't common sense and wasn't for safety and security and prosperity and family and God,
[00:08:23.641 --> 00:08:32.350]  Even if I wasn't popular doing that, I would still do it, because it is the right thing to do.
[00:08:32.350 --> 00:08:38.637]  You see, Mark Twain said it best, in the beginning, a patriot's a scarce man, hated, feared, and scorned.
[00:08:38.637 --> 00:08:43.062]  But in time, when his cause succeeds, the timid join him, because then it costs nothing
[00:08:44.011 --> 00:08:44.711]  We're good to go.
[00:09:16.024 --> 00:09:21.407]  And it's not censorship when we disagree with those ideas.
[00:09:21.407 --> 00:09:25.869]  It's called good, healthy debate.
[00:09:25.869 --> 00:09:29.711]  And that's what I'm doing here on this broadcast.
[00:09:29.711 --> 00:09:36.995]  Nick Fuentes, I talked to him Sunday, said he was happy to come here today and be in studio with us, but something came up.
[00:09:36.995 --> 00:09:38.256]  I understand that.
[00:09:38.256 --> 00:09:40.197]  So he can't be in studio with us.
[00:09:40.197 --> 00:09:42.378]  He offered to come tomorrow, but we've got a bunch of
[00:09:43.325 --> 00:09:55.355]  Big scientist and doctors and experts, actuary experts on, who were at Senator Ron Johnson's critical COVID-19 hearings that have now concluded.
[00:09:55.355 --> 00:10:00.079]  And so I've got those guests on tomorrow that I can't move, so I would love to have Nick Fuentes in studio.
[00:10:00.079 --> 00:10:05.083]  But the show is full tomorrow on the Wednesday transmission.
[00:10:05.083 --> 00:10:08.766]  So Nick will be on via Skype or Zoom, I'm not sure what he's using.
[00:10:09.526 --> 00:10:15.891]  In the third and fourth hour today, I'll be hosting all four hours of the broadcast.
[00:10:15.891 --> 00:10:16.171]  And look...
[00:10:17.645 --> 00:10:20.886]  I'm billing this as a debate, because we will debate some issues.
[00:10:20.886 --> 00:10:22.326]  But I think Nick's funny.
[00:10:22.326 --> 00:10:24.307]  I think he's smart.
[00:10:24.307 --> 00:10:31.009]  I have liked Nick Fuentes in the past, and I've seen clips of him saying he doesn't like Hitler, and that he's not anti-Semitic.
[00:10:31.009 --> 00:10:37.091]  And so that's why I was a little taken back when he was here on the air, and basically agreed with what Kanye was saying.
[00:10:37.091 --> 00:10:40.232]  And look, I like Ye overall as well.
[00:10:40.232 --> 00:10:45.754]  I get that he was trying to burn down the world, burn down the censors, and just go right to what you're not supposed to say.
[00:10:46.994 --> 00:10:55.702]  And I still think he means well, but I have my right to disagree with that and it's not because I got a phone call from the ADL.
[00:10:55.702 --> 00:11:07.152]  The ADL is my enemy and has said I'm their number one enemy at every conference they have and have been battling publicly and behind the scenes to silence this broadcast because I'm doing something they don't want.
[00:11:07.152 --> 00:11:11.036]  I'm trying to fight their race-based politics where they're the main group
[00:11:12.358 --> 00:11:36.634]  Along with the Southern Poverty Law Center, they're close second, that are teaching that white people are inherently evil, and that Christians are inherently bad, and it is the most racist, bigoted, hateful organization in America, and it lives off of division, and it lives off balkanization, and it doesn't want us to come together against the policies of the New World Order.
[00:11:36.634 --> 00:11:37.735]  So I'm a big tent here.
[00:11:38.467 --> 00:11:51.695]  For Christian and Muslim and Jew and agnostic, straight, gay, old, young, black, white, Hispanic, Asian, as long as you're for basic tenets that I believe in, that is the Declaration of Independence, Bill of Rights, then
[00:11:53.030 --> 00:12:06.484]  I may disagree with some of the things you do and say, but I overall still see you in a coalition, just like Gays Against Rumors, that want to have a pro-human future, and that's what we're fighting as a technocracy.
[00:12:06.484 --> 00:12:09.326]  We're fighting a post-human, transhumanist system.
[00:12:11.232 --> 00:12:20.798]  Obsessing over someone who's been dead for 77 years, Adolf Hitler, and believing because he was in opposition to the Anglo-American establishment.
[00:12:20.798 --> 00:12:24.700]  That doesn't mean white people, that's what Putin calls the West, the Anglo-Americans.
[00:12:26.272 --> 00:12:31.275]  That's what Harvard calls the globalist establishment is what Carol Quigley called it.
[00:12:31.275 --> 00:12:40.039]  It just means the British Empire in the United States and around the world the British Empire was called the Anglos or the Anglophiles.
[00:12:40.039 --> 00:12:46.183]  That actually goes back to a tribe over 1,500 years ago that began defeating the Romans in Europe.
[00:12:46.963 --> 00:12:57.208]  And then it took over what is the UK today over a thousand years ago, and then finally complete control of William the Conqueror.
[00:12:57.208 --> 00:13:03.270]  So when I use terms like that, I'm not like the ADL saying white people and Anglos are the enemy.
[00:13:03.270 --> 00:13:13.075]  Anglos, and that term comes from a Viking Germanic tribe that dominated and controlled Europe and defeated the Romans.
[00:13:14.341 --> 00:13:19.805]  And led a coalition of groups to defeat the Romans later and the sacking of Rome.
[00:13:19.805 --> 00:13:35.157]  And so if you want to know where England's history comes from and what's unfolding there and who King Arthur was and all of that, it's important to understand the anthropological and historical roots of all of this.
[00:13:35.157 --> 00:13:39.720]  So I'm going to try to be serious when Nick is on.
[00:13:39.720 --> 00:13:40.621]  Nick is funny.
[00:13:40.621 --> 00:13:43.002]  So am I. And I like to joke around.
[00:13:43.962 --> 00:13:48.943]  And I'm going to really try to be very serious with him, because this is a serious issue and a serious topic.
[00:13:48.943 --> 00:13:57.666]  And the media, when I made jokes about Nick, and about ye, yay, also took that stuff out of context to try to create more division.
[00:13:57.666 --> 00:13:59.546]  And that is not what I'm trying to do.
[00:13:59.546 --> 00:14:02.067]  And I'll be quite frank with you.
[00:14:02.067 --> 00:14:08.628]  I don't think Nick Fuentes, on a scale of 1 to 10, if promoting racial division and things like that is a bad thing.
[00:14:08.628 --> 00:14:10.509]  He's about a 1, and the ADL is about an 11.
[00:14:12.302 --> 00:14:13.623]  They're off the chart.
[00:14:13.623 --> 00:14:28.254]  So they can't point their finger at Gay, who never brought a single Nazi into the United States, when her own government brought more than 35,000 in here in Operation Paperclip and the Rat Line, and when George Soros helped round up Jews against all these ADL awards.
[00:14:28.254 --> 00:14:33.778]  They really have no position to moralize
[00:14:36.018 --> 00:14:52.707]  To anybody, but I have here in my stack, and I was looking for it again, here it is, it's on Infowars.com, White House announces interagency group to counter anti-Semitism following gays' firestorm against Jewish media.
[00:14:52.707 --> 00:15:00.792]  So now the federal government has already announced, anybody questioning the government's a terrorist, is now officially saying they've got to mobilize to counter
[00:15:02.642 --> 00:15:04.343]  Yay, and Nick Fuentes.
[00:15:04.343 --> 00:15:08.144]  So this is definitely the clash they want.
[00:15:08.144 --> 00:15:18.348]  And I just really wish we could think about that old 1980s movie, War Games, where the computer finally explains to everybody, this is a very strange game.
[00:15:18.348 --> 00:15:22.169]  The only way to win is not to play.
[00:15:22.169 --> 00:15:23.510]  And so that's what I'm trying to do.
[00:15:23.510 --> 00:15:25.330]  All right.
[00:15:25.330 --> 00:15:30.132]  The big news in the next several hours is going to be massive.
[00:15:31.423 --> 00:15:37.889]  Sam Bankman Freed, arrested hours before he was set to testify to Congress.
[00:15:37.889 --> 00:15:40.411]  We've got him on an Epstein death watch.
[00:15:40.411 --> 00:15:52.142]  We've got massive global announcements of the World Social Credit Score, One World Government ID, actual newscast announcing it, and so much more today.
[00:15:52.142 --> 00:15:54.404]  This is going to be one hell of a broadcast.
[00:15:54.404 --> 00:15:54.845]  Stay with us.
[00:15:59.887 --> 00:16:09.313]  Introducing InfoWars super high-end supplement line at up to 50% off what these same formulas are sold for in stores.
[00:16:09.313 --> 00:16:13.595]  It's InfoWars MD, exclusively available at InfoWarsStore.com.
[00:16:13.595 --> 00:16:22.200]  We have a new line of super quality CBD oils that are incredibly good for your entire body at InfoWarsStore.com.
[00:16:22.200 --> 00:16:29.184]  We have Libido RX, Better Mood, Nitric Boost, Mushroom Maxx Powerful Nootropic, Ageless Vitality Collagen,
[00:16:29.484 --> 00:16:29.924]  I think so.
[00:16:59.758 --> 00:17:08.602]  December 2022 is here and we are proud and very excited to announce that free shipping is back at InfoWarStore.com.
[00:17:08.602 --> 00:17:12.424]  That's right, free shipping on all orders of $50 or more.
[00:17:12.424 --> 00:17:21.508]  But we've signed a new deal with a big national shipping company and they're able to cut our regular shipping costs by up to 50%.
[00:17:21.508 --> 00:17:23.589]  So that means even on orders that are below $50,
[00:17:24.309 --> 00:17:27.731]  You're going to be paying way lower than you were previously.
[00:17:27.731 --> 00:17:29.192]  This is a game changer.
[00:17:29.192 --> 00:17:30.733]  We're so excited about it.
[00:17:30.733 --> 00:17:32.994]  Our listeners have really asked for free shipping again.
[00:17:32.994 --> 00:17:37.437]  We couldn't afford it before, but by moving to a bigger national distributor, we're able to do it.
[00:17:37.437 --> 00:17:40.559]  So now, your orders will be shipped even faster.
[00:17:40.559 --> 00:17:43.000]  The same great customer service and more.
[00:17:43.000 --> 00:17:49.324]  So, get huge discounts and free shipping on so many great items at InfoWareStore.com right now.
[00:17:49.684 --> 00:17:57.234]  I want to thank you all for your support, but now there's no excuse to boost your immune system, lead a healthier life, and keep your 4s on the air at 4store.com.
[00:17:59.662 --> 00:18:20.295]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[00:18:20.795 --> 00:18:33.918]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[00:18:33.918 --> 00:18:42.760]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[00:18:42.760 --> 00:18:49.181]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[00:18:49.281 --> 00:18:50.722]  So continue to do it.
[00:18:50.722 --> 00:18:52.903]  Go to places like Infowarsstore.com.
[00:18:52.903 --> 00:18:55.005]  Go to the places like Save Infowars.
[00:18:55.005 --> 00:18:59.968]  Continue to keep Infowars alive, because in the process, you're keeping American liberty alive.
[00:19:00.561 --> 00:19:03.922]  Everybody that's watching this needs to support Alex Jones.
[00:19:03.922 --> 00:19:06.724]  Needs to support InfoWars and Band.Video.
[00:19:06.724 --> 00:19:09.445]  You know, the Bible says, let another mouth praise you.
[00:19:09.445 --> 00:19:10.765]  I'm gonna do that right now.
[00:19:10.765 --> 00:19:14.667]  Alex Jones has helped so many people in this industry.
[00:19:14.667 --> 00:19:19.829]  You guys have no idea how many people have got their first start like Savannah Hernandez.
[00:19:19.829 --> 00:19:22.790]  How many people have just been put on a launch pad that
[00:19:22.950 --> 00:19:34.740]  I've been given so many opportunities because of this man and because of this platform, and I would probably not even be half of where I am right now if it weren't for Alex Jones.
[00:19:34.740 --> 00:19:40.345]  I mean, I've been able to be on podcasts with Alex and Joe Rogan and TimCast, the super TimCast IRL.
[00:19:40.345 --> 00:19:45.770]  Listen, what I'm saying is, do not take Alex Jones and Bandot Video for granted.
[00:19:46.010 --> 00:19:48.491]  Because you don't know what you have until it's gone.
[00:19:48.491 --> 00:19:51.213]  We need to support free speech systems right now.
[00:19:51.213 --> 00:19:52.673]  So go check out the store.
[00:19:52.673 --> 00:19:53.854]  Go support their store.
[00:19:53.854 --> 00:19:55.355]  Go support InfoWars.
[00:19:55.355 --> 00:19:56.635]  Leave a donation right now.
[00:19:56.635 --> 00:20:01.157]  Don't wait until they're gone!
[00:20:01.157 --> 00:20:05.760]  Leading a frontal assault on the lies of the New World Order.
[00:20:05.760 --> 00:20:07.040]  It's Alex Jones.
[00:20:25.982 --> 00:20:31.684]  Welcome back ladies and gentlemen to this live December 13th Tuesday broadcast.
[00:20:31.684 --> 00:20:34.445]  I'm your host Alex Jones.
[00:20:34.445 --> 00:20:45.529]  All right let's start drilling right into this critical news and information for the next hour and 45 minutes ahead of Dick Fuentes debating me in the third and fourth hour.
[00:20:45.529 --> 00:20:52.271]  Sam Bankman Fried has been arrested hours before scheduled congressional
[00:20:53.308 --> 00:20:55.511]  Testimony, more on that in a moment.
[00:20:55.511 --> 00:20:57.514]  Tuesday Live, Sam Bankman-Frye.
[00:20:58.777 --> 00:21:04.298]  At risk of Epstein-style suicide by elites covering up FTX scandal.
[00:21:04.298 --> 00:21:08.199]  I totally agree with Harrison Smith's headline for a show this morning.
[00:21:08.199 --> 00:21:12.660]  FTX founder Sam Bankman fried arrested the Bahamas after US files criminal charges.
[00:21:12.660 --> 00:21:16.040]  And they redacted out of it all the politicians and people they gave money to.
[00:21:16.040 --> 00:21:19.681]  Sam Bankman freed, criminal charges unsealed.
[00:21:19.681 --> 00:21:24.342]  Conspiracy to defraud the US, wire fraud, securities fraud, and money laundering.
[00:21:25.990 --> 00:21:30.612]  Former FTX CEO Bankman Fried hit with 8 count indictment.
[00:21:30.612 --> 00:21:31.853]  Their silence is deafening.
[00:21:31.853 --> 00:21:42.779]  Stars including Larry David, Shaquille O'Neal and a whole bunch of others are totally silent about all the money they got to promote the pump and dump of FTX.
[00:21:42.779 --> 00:21:43.219]  Breaking!
[00:21:43.219 --> 00:21:47.881]  Securities and Exchange Commission indictment of FTX's Bankman Fried released.
[00:21:47.881 --> 00:21:52.484]  Any mention of the amount of donations from FTX to politicians is omitted.
[00:21:54.116 --> 00:22:03.899]  Hillary Clinton's 2016 campaign CFO and Biden's head of SEC caught hiding meetings with Hillary Soros and Pelosi and others from his calendar.
[00:22:03.899 --> 00:22:06.060]  Illegal to do that.
[00:22:06.060 --> 00:22:08.921]  But of course he helped run the whole FTX scam.
[00:22:08.921 --> 00:22:12.282]  What a nice person.
[00:22:12.282 --> 00:22:13.242]  And it continues.
[00:22:13.242 --> 00:22:15.843]  SEC chairman against Scrubb.
[00:22:15.843 --> 00:22:17.724]  We've also got more top DOJ official.
[00:22:18.968 --> 00:22:25.294]  Vanita Gupta admits to targeting conservatives following overturn of Roe v. Wade for criminal prosecution.
[00:22:25.294 --> 00:22:27.096]  They're just a bunch of terrorists.
[00:22:27.096 --> 00:22:28.738]  More and more of them are.
[00:22:28.738 --> 00:22:36.005]  Sam Bankman-Fried hires lawyer who defended Ghislaine Maxwell and the whole Jeffrey Epstein situation.
[00:22:36.005 --> 00:22:38.688]  Boy, that sure tells you a lot.
[00:22:41.115 --> 00:22:51.097]  Right on the eve of his congressional testimony, which was going to be very, very embarrassing, he is snatched up.
[00:22:51.097 --> 00:22:59.019]  Not because they're going to ever really try to bring him to justice unless they kill him in a jail cell, break his neck in two places.
[00:22:59.019 --> 00:23:05.381]  No, because they want to control the information coming out because he was a deep state Harvard mafia
[00:23:06.337 --> 00:23:13.372]  Globalist operative pumping tens of millions of dollars into Ukraine, out of Ukraine, back into their pockets.
[00:23:13.372 --> 00:23:17.560]  And then, a lot of patriot organizations, not just here but around the world,
[00:23:19.036 --> 00:23:24.398]  Exposed FTX in the last few months and brought it down a big blow against the Deep State.
[00:23:24.398 --> 00:23:27.040]  Just like you see Elon Musk going after them right now.
[00:23:27.040 --> 00:23:32.102]  He may be just wanting to take over the New World Order, but he's certainly going after the dinosaurs that currently run it.
[00:23:32.102 --> 00:23:38.225]  It's bare minimum an inter-New World Order battle for control of the AI technocracy.
[00:23:38.225 --> 00:23:43.027]  I got a big announcement on AI coming up next segment, but this is a big
[00:23:44.045 --> 00:23:46.686]  Big deal.
[00:23:46.686 --> 00:23:50.027]  And they did it very, very transparently.
[00:23:50.027 --> 00:23:52.188]  They thought they were invincible.
[00:23:52.188 --> 00:24:04.353]  Bill Clinton, Maxine Waters, Barack Obama, the Securities and Exchange Commission heads, all of these individuals were over it, directing it, meeting with it.
[00:24:04.353 --> 00:24:13.056]  Bankman, Freed's mother, I mean, just all of the usual suspects
[00:24:14.329 --> 00:24:24.491]  Were there robbing crypto investors while then using it to go after legitimate crypto and crypto markets.
[00:24:24.491 --> 00:24:33.252]  But the crypto markets recognized the contagion, the poison, and fried them first.
[00:24:33.252 --> 00:24:38.573]  So the new world order is learning that this is a two-way street.
[00:24:38.573 --> 00:24:42.334]  In a big, big, big way.
[00:24:43.427 --> 00:24:49.409]  And there's a lot of other criminal charges coming out right now.
[00:24:49.409 --> 00:24:54.530]  So we all know Bernie Manoff was a front guy for Deeper Gribbs.
[00:24:54.530 --> 00:24:56.670]  And then he sloppily got caught.
[00:24:56.670 --> 00:24:59.491]  So they had to control that.
[00:24:59.491 --> 00:25:03.792]  And had to get rid of him and members of his family as well.
[00:25:03.792 --> 00:25:09.974]  We also have some of these other arrests that are now taking place.
[00:25:11.061 --> 00:25:11.461]  Breaking!
[00:25:11.461 --> 00:25:16.364]  Notorious non-Bioneer Biden official fired after multiple theft charges.
[00:25:16.364 --> 00:25:19.346]  Has all these warrants out for him.
[00:25:19.346 --> 00:25:21.107]  No one knows where he is right now.
[00:25:21.107 --> 00:25:23.688]  Another one.
[00:25:23.688 --> 00:25:24.149]  Breaking!
[00:25:24.149 --> 00:25:31.073]  Disgraced CNN producer pleads guilty to child sex crime.
[00:25:31.073 --> 00:25:34.735]  Grooming and having sex with children.
[00:25:34.735 --> 00:25:37.617]  And then here's just some of the Hunter Biden laptop that we can show you on air.
[00:25:38.752 --> 00:25:41.353]  Just the president's son with his friends, nothing to see here.
[00:25:41.353 --> 00:25:47.576]  Him in a towel, naked, with little girls sitting all over him.
[00:25:47.576 --> 00:25:52.079]  Looks like drag queen story time, doesn't it?
[00:25:52.079 --> 00:25:55.400]  That's how this system works.
[00:25:55.400 --> 00:25:57.041]  That's their endgame.
[00:25:57.041 --> 00:25:57.901]  That's their plan.
[00:25:57.901 --> 00:26:04.104]  Their currency is the destruction of children's innocence.
[00:26:04.104 --> 00:26:04.765]  Continuing.
[00:26:06.064 --> 00:26:12.105]  Save Your Sons on Twitter said it best, how to destroy society.
[00:26:12.105 --> 00:26:13.085]  Make art ugly.
[00:26:13.085 --> 00:26:15.566]  That came out in the CIA documents in the 70s.
[00:26:15.566 --> 00:26:16.586]  Make porn free.
[00:26:16.586 --> 00:26:17.546]  Make God a joke.
[00:26:17.546 --> 00:26:18.706]  Make food poison.
[00:26:18.706 --> 00:26:20.687]  Make dads optional.
[00:26:20.687 --> 00:26:22.787]  Make politics rich.
[00:26:22.787 --> 00:26:23.687]  Politicians rich.
[00:26:23.687 --> 00:26:25.027]  Make money workless.
[00:26:25.027 --> 00:26:26.187]  Make buildings oppressive.
[00:26:26.187 --> 00:26:28.528]  Make men and women compete.
[00:26:28.528 --> 00:26:30.888]  Make children hate their ancestors.
[00:26:30.888 --> 00:26:32.529]  Did you miss anything?
[00:26:32.529 --> 00:26:34.649]  Yeah, poison you with deadly shots.
[00:26:36.098 --> 00:26:39.282]  And then the left spins everything with headlines like this one.
[00:26:39.282 --> 00:26:40.503]  Oh my gosh!
[00:26:40.503 --> 00:26:44.208]  How to ban 3,600 books from school libraries across the nation.
[00:26:46.078 --> 00:26:48.999]  They call it book banning and claim the right is censoring.
[00:26:48.999 --> 00:26:49.960]  No.
[00:26:49.960 --> 00:27:03.865]  They're taking books out of the elementary and middle schools and high schools that show pictorial graphics of little boys getting picked up out of their backyards and getting in vans with men that rape them and the little boys enjoy it.
[00:27:03.865 --> 00:27:13.449]  That's just one of many books that I have physically looked at that had the Austin Middle School Library tag on it last year.
[00:27:15.939 --> 00:27:21.082]  And I was traumatized looking at it.
[00:27:21.082 --> 00:27:28.006]  And they've got books, even worse, that we will not show you here on air.
[00:27:28.006 --> 00:27:32.689]  But that's who these monsters are.
[00:27:32.689 --> 00:27:43.775]  We're going to go to a break here in a few minutes and come back with the really big announcements coming out of Italy, out of Australia, out of Canada, all backed by the WEF, the official
[00:27:45.086 --> 00:27:50.628]  Global Social Credit Score System.
[00:27:50.628 --> 00:27:57.411]  And then I'm going to get into the fact that Elon really is freeing the captives.
[00:27:57.411 --> 00:28:01.853]  Dr. Peter McCullough restored with no censorship or controls.
[00:28:01.853 --> 00:28:04.934]  Those that are under controls can see it on their dashboard.
[00:28:04.934 --> 00:28:12.597]  This is a big thing that Musk is doing because the deep state's attack on tens of thousands of prominent academics, doctors, nurses, and
[00:28:13.680 --> 00:28:23.605]  Health care workers was how the deep state was able to get away with so much their lockdowns covering up the origin of the deadly virus and the even more deadly frankenshot.
[00:28:23.605 --> 00:28:26.767]  And so I just have to give Elon Musk credit.
[00:28:26.767 --> 00:28:27.988]  You judge a tree by its fruits.
[00:28:27.988 --> 00:28:30.789]  I don't trust him as far as I can throw him.
[00:28:30.789 --> 00:28:33.431]  He has demonized me unfairly.
[00:28:33.431 --> 00:28:35.572]  But I'm not worried about Alex Jones at the end of the day.
[00:28:35.572 --> 00:28:37.593]  I'm worried about results.
