[00:00:07.332 --> 00:00:08.773]  9VoltLight.com.
[00:10:12.352 --> 00:10:16.993]  So, Kissinger came out this week and said we need to use this crisis for a new world order.
[00:10:16.993 --> 00:10:22.794]  I mean, they're really, like you said, emerging, and you've always said, others have said, at the point of emerging,
[00:10:23.755 --> 00:10:28.399]  That is when you know they're finally going for broke because now they can't cloak it anymore.
[00:10:28.399 --> 00:10:30.200]  They've got to come out in the open.
[00:10:30.200 --> 00:10:37.567]  No, there was always a time when what they were doing covertly had to break the surface because they want to change society in the image that they want to change society.
[00:10:37.567 --> 00:10:39.929]  So we have to eventually see it in our face.
[00:10:39.929 --> 00:10:40.909]  And that's what we're seeing.
[00:10:40.909 --> 00:10:48.276]  And of course, you know, you know, those of us like you and me and many others who've been warning about this for so long.
[00:10:49.079 --> 00:10:50.700]  Actually they have, David!
[00:11:11.014 --> 00:11:13.035]  Actually, they have mentioned the New World Central Bank.
[00:11:13.035 --> 00:11:14.095]  You may have missed it.
[00:11:14.095 --> 00:11:14.655]  Stay there.
[00:11:14.655 --> 00:11:15.156]  David Icke.
[00:11:15.156 --> 00:11:25.560]  We are live, blasting out on the AM and FM dials, simulcasting on global shortwave, the internet at infowars.com and prisonplanet.com, and streaming live at prisonplanet.tv.
[00:11:25.560 --> 00:11:32.902]  Don't forget the free podcast you can go sign up for for free at infowars.com on the listen page.
[00:11:32.902 --> 00:11:34.043]  Okay, David Icke.
[00:11:34.743 --> 00:11:43.407]  Continuing, for more than 15 years you've talked about how the private financial banks would engineer a crisis and then out of that bring in their world government.
[00:11:43.407 --> 00:11:54.871]  They have said, as we were getting to before we went to break, at the G20 Summit, a new world financial system with a world financial bank where you will pay your carbon credits directly to them.
[00:11:54.871 --> 00:11:57.072]  I remember seeing that in the Financial Times of London.
[00:11:57.392 --> 00:11:57.632]  I think so.
[00:12:20.999 --> 00:12:36.850]  Yeah, they're talking in Europe, people like Sarkozy and Gordon Brown, about a new global financial architecture, which is all, of course, all well speak for this centralized financial system that will dictate the whole of global finance from a central point.
[00:12:36.850 --> 00:12:40.332]  This is what they've been working towards, and it's important to stress that
[00:12:41.529 --> 00:12:46.012]  You know, when people see the banking system collapsing, that they think it's bad for the bankers.
[00:12:46.012 --> 00:12:49.475]  Well, it's bad for the bankers to lose their jobs, like you say, the bees.
[00:12:49.475 --> 00:12:51.936]  But it's not bad for the people who own the system.
[00:12:51.936 --> 00:12:53.377]  And this is the point.
[00:12:53.377 --> 00:12:56.499]  The families that we're talking about own the system.
[00:12:56.499 --> 00:13:06.046]  So if they owned the National Football League, they couldn't care less if one team beats this team or that team beats another team, because they own the game.
[00:13:06.046 --> 00:13:07.266]  They can't lose.
[00:13:07.266 --> 00:13:10.929]  So when this bank goes down or that bank goes down or this bank's absorbed by this bank,
[00:13:11.625 --> 00:13:12.766]  It doesn't matter to them.
[00:13:12.766 --> 00:13:16.947]  What it means is there's just fewer names on the doors to deal with.
[00:13:16.947 --> 00:13:32.873]  They own the game, and they're changing the game now to increase the amount of centralized global control that will, by definition, increase dramatically the amount of control over the global population, which is what money's about.
[00:13:32.873 --> 00:13:39.236]  Money's a vehicle for control, for suppressing potential, for suppressing choice, for forcing people
[00:13:39.936 --> 00:13:49.762]  Into doing things they don't really want to do because they have to raise the money to pay the essential bills To the corporations that are owned by the same people that are screwing them financially.
[00:13:49.762 --> 00:14:07.614]  So we're reaching a point now where We've gone so far along this road while people have been watching game shows and watching the soaps and the football And now it's it's peaked its head into the public arena where it's in our face and people are going where did this come from?
[00:14:07.614 --> 00:14:09.055]  Well, it's come from decades of
[00:14:09.595 --> 00:14:13.536]  And decades, indeed, hundreds of years of manipulation to get us to this point.
[00:14:13.536 --> 00:14:27.501]  And it's a point of great challenge and great danger in terms of freedom, but it's also a point of great opportunity, because you can ignore something when crazy people like me are going, it's coming.
[00:14:27.501 --> 00:14:32.102]  And you're, oh no, he's just mad, he believes in reptiles, ooh, he's mad and all this stuff.
[00:14:32.102 --> 00:14:36.303]  But when it's in your face and it's in your daily life, you can't look away anymore.
[00:14:36.303 --> 00:14:38.384]  And I'm sure you're finding the same, Alex, that
[00:14:39.301 --> 00:14:44.786]  More and more people who were ignoring it before are now going, hold on a second, what can we do about this?
[00:14:44.786 --> 00:14:59.219]  So we're moving into a stage where we can actually, those that are challenging this tyranny, this global fascism, where we can actually go to a stage of starting to do something about it rather than just talk about it.
[00:14:59.219 --> 00:15:02.482]  Okay, David, while you were talking, I went into Google.
[00:15:03.148 --> 00:15:03.508]  I think so.
[00:15:21.863 --> 00:15:23.805]  They will selectively control nations.
[00:15:23.805 --> 00:15:26.147]  They will decide how much currency can be issued.
[00:15:26.147 --> 00:15:29.209]  You'll still have your currencies of the world, in their own words.
[00:15:29.209 --> 00:15:31.631]  It will just all be regulated and controlled by them.
[00:15:31.631 --> 00:15:34.473]  Kind of like the national ID card in the U.S.
[00:15:34.473 --> 00:15:39.117]  It's the states administering it, but the feds set it up and control the computer systems.
[00:15:39.117 --> 00:15:46.022]  So it's really a national ID card tied into a world ID database, but the public thinks it's a driver's license when it's really the real ID.
[00:15:46.022 --> 00:15:47.143]  But there is Newsweek,
[00:15:47.503 --> 00:16:01.413]  For anyone that doubts this, and I could sit here showing people hundreds of these where they are saying not just that they're setting up a World Central Bank, but that you will pay your taxes on every activity you are involved in on your carbon footprint to them.
[00:16:02.606 --> 00:16:19.621]  Yeah, the idea is to eventually get rid of all currencies for a simple reason that at the moment if you go into a store or you want to buy something anywhere and you give them electronic money and the computer says no to your credit card then at least still just just
[00:16:20.101 --> 00:16:23.465]  You have the opportunity to say, well, I'll pay cash then.
[00:16:23.465 --> 00:16:27.090]  But what they want to do eventually is take all cash out of circulation.
[00:16:27.090 --> 00:16:31.535]  So that computer, whoever programs it, decides if and what you purchase.
[00:16:31.535 --> 00:16:33.337]  That's the idea of the cash.
[00:16:33.337 --> 00:16:33.878]  Good day.
[00:16:33.878 --> 00:16:35.440]  Jim Newcomer from Midas Resources.
[00:16:35.440 --> 00:16:35.960]  January 30th, 2000.
[00:16:36.561 --> 00:16:36.841]  That's 947.68, 473.84, and 236.92.
[00:16:51.129 --> 00:16:55.010]  Bailout equals market distortions, increased money supply while productivity is going down.
[00:16:55.010 --> 00:16:59.132]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[00:16:59.132 --> 00:17:03.693]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[00:17:03.693 --> 00:17:09.115]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[00:17:09.115 --> 00:17:12.296]  Fiat currency's value is based on trust, fiscal responsibility.
[00:17:12.296 --> 00:17:15.957]  Is Congress and the White House acting responsibly, earning your trust and confidence?
[00:17:15.957 --> 00:17:17.758]  Or is it time to ensure your hard-earned wealth?
[00:17:17.938 --> 00:17:23.140]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[00:17:23.140 --> 00:17:25.721]  Do you believe that more bailout will solve our economic problems?
[00:17:25.721 --> 00:17:27.521]  Or would you like to call Midas Resources at 1-800-686-2237?
[00:17:27.521 --> 00:17:28.622]  That's Midas Resources at 1-800-686-2237.
[00:17:33.957 --> 00:17:39.459]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:17:39.459 --> 00:17:40.260]  and the world.
[00:17:40.260 --> 00:17:44.121]  And for the first time in their lives, they are feeling the need for preparedness.
[00:17:44.121 --> 00:17:50.624]  Ready Reserve Foods has been in continuous operation, manufacturing the finest in dehydrated foods for almost 40 years.
[00:17:50.624 --> 00:17:52.645]  Ready Reserve is the manufacturer.
[00:17:52.645 --> 00:18:00.588]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:18:00.868 --> 00:18:05.573]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:18:05.573 --> 00:18:11.379]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:18:11.379 --> 00:18:13.561]  Many companies do not even offer a catalog.
[00:18:13.561 --> 00:18:15.804]  We will be more than happy to send a catalog to you
[00:18:16.144 --> 00:18:17.224]  Free of charge.
[00:18:17.224 --> 00:18:17.565]  Dial 1-800-453-2202.
[00:18:17.565 --> 00:18:17.645]  1-800-453-2202.
[00:18:17.645 --> 00:18:19.185]  Or visit our website at ReadyReserveFoods.com.
[00:18:19.185 --> 00:18:21.326]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:18:21.326 --> 00:18:21.686]  Call us at 1-800-453-2202.
[00:18:34.833 --> 00:18:38.296]  Stop wasting your time struggling with everything you're trying to learn.
[00:18:38.296 --> 00:18:40.439]  Learning should be a pleasure, not torture.
[00:18:40.439 --> 00:18:47.105]  The School of Phenomenal Memory gives you the training and tools you need to memorize any type of information quickly and efficiently.
[00:18:47.105 --> 00:18:50.068]  Just as you need to exercise to get your body into shape, you need to
[00:18:53.643 --> 00:18:54.123]  We're good to go!
[00:19:22.370 --> 00:19:23.130]  We're good.
[00:19:34.631 --> 00:19:36.813]  Your engine is the heart of your vehicle.
[00:19:36.813 --> 00:19:40.116]  Wouldn't it be nice to be able to determine whether it's going to go the long run?
[00:19:40.116 --> 00:19:43.439]  Or should you dump your vehicle before you experience a major expense?
[00:19:43.439 --> 00:19:47.903]  The military has developed such a technology, and it's called oil analysis.
[00:19:47.903 --> 00:19:56.971]  By taking a mere 4-ounce sample during an oil change, you can get an easy-to-read, complete report by an independent laboratory covering engine wear, oil condition,
[00:19:56.991 --> 00:19:57.451]  Yes, just $14.95
[00:20:26.991 --> 00:20:27.211]  That's 888-873-7371.
[00:20:27.211 --> 00:20:27.271]  888-873-7371.
[00:20:27.271 --> 00:20:28.232]  You are listening to GCN.
[00:20:28.232 --> 00:20:29.213]  Visit GCNlive.com today.
[00:20:29.213 --> 00:20:30.373]  Listen up, you motherfuckers!
[00:20:52.119 --> 00:20:53.801]  So we're already going into that system.
[00:20:53.801 --> 00:21:12.757]  I mean, I see them carting 75-year-old men buying cigarettes or beer at the store now, and the corporations admit they're getting us ready to have to show ID to buy and sell, and they're going to have a new world and local sales tax that will also have a database of everything you buy, sell, and do in the name of administering the sales tax.
[00:21:13.900 --> 00:21:15.481]  Yeah, and this is happening everywhere.
[00:21:15.481 --> 00:21:21.226]  I mean, in Britain, the Big Brother state is hurtling forward.
[00:21:21.226 --> 00:21:30.053]  And in terms of the economic situation here, I mean, it's not really reached the point that it's going to reach as we were talking about earlier.
[00:21:30.053 --> 00:21:31.354]  But when I go around
[00:21:32.729 --> 00:21:56.150]  The shops which I occasionally do not very often or you go into a pub or a restaurant or something places are empty Where I go where they never were before and so, you know, we're on the brink of a massive economic Situation here globally and it's been deliberately engineered for the ends that we're talking about David
[00:21:57.697 --> 00:21:59.740]  How do we get the word out to the people?
[00:22:13.996 --> 00:22:16.777]  How do we reach out to them and say, look, it's now here.
[00:22:16.777 --> 00:22:24.980]  We're not warning you about something coming and all the preparatory phase that was bad enough setting up this tyrannical, dehumanizing, soul-stealing grid.
[00:22:24.980 --> 00:22:34.084]  We're now entering in to the long slide into the depths of global mass extermination, population reduction, because we're not making even predictions.
[00:22:34.084 --> 00:22:35.744]  We're following their own documents.
[00:22:35.744 --> 00:22:37.285]  We know where it goes.
[00:22:37.285 --> 00:22:42.127]  Can the public face the horror of what's going to happen if they keep living in la-la land?
[00:22:43.345 --> 00:22:51.252]  Well, what I say to people is, you know, if you think you don't like the situation now, then think what you're going to face a little way down the road.
[00:22:51.252 --> 00:22:54.715]  And more than anything, think of what your children are going to have to face.
[00:22:54.715 --> 00:22:59.740]  Because you think if we live in a controlled society now, this is nothing compared with what they are going to have to live in.
[00:23:00.280 --> 00:23:06.463]  So, in terms of parents who are listening to this information, I would say this.
[00:23:06.463 --> 00:23:12.406]  Go and look your children in the eyes and tell them that you can't be bothered or you're too frightened to do anything about it.
[00:23:12.406 --> 00:23:13.987]  You're too frightened to get involved.
[00:23:13.987 --> 00:23:17.049]  Too frightened to get involved in being another conduit for
[00:23:17.959 --> 00:23:18.379]  I don't know.
[00:23:40.564 --> 00:23:43.226]  As long as you stay in line and you do as you're told, you'll be fine.
[00:23:43.226 --> 00:23:46.188]  And then you realize at the end of it, well, actually, it ain't fine.
[00:23:46.188 --> 00:23:50.471]  And if you'd have all rebelled earlier, you wouldn't be in the situation you're facing now.
[00:23:50.471 --> 00:23:57.196]  The point of mathematics alone ought to let us see where the real power is here.
[00:23:57.196 --> 00:24:04.261]  There are billions of people, six billion, nearly get on for seven billion on this planet, who are being manipulated.
[00:24:04.261 --> 00:24:07.183]  There are, in full knowledge of what they're doing,
[00:24:07.863 --> 00:24:13.245]  A relative handful of those who are doing the manipulating to the end that we're talking about.
[00:24:13.245 --> 00:24:22.209]  Because of the compartmentalized pyramids that they've constructed within all these institutions of government and finance and corporations.
[00:24:22.930 --> 00:24:39.348]  The vast majority of people who are daily making contributions to push the world towards this Orwellian global state have no idea that they're doing that because they don't know how their contributions fit in with everyone else's, only the few at the top do.
[00:24:39.348 --> 00:24:41.831]  And what we need to start doing is realizing
[00:24:42.446 --> 00:25:05.187]  But we've reached the fork in the road, and if we keep going the way we're going, and we keep putting our heads in the sand, because you know, you can put your head in a bucket of sand when a tornado's coming, but it's still coming, and your bum is still in the air, and it's still coming, and you're going to get it eventually, even though you've ignored the fact that you have, you know, up to the point where you get hit.
[00:25:05.187 --> 00:25:07.049]  If you lift your head from the sand,
[00:25:07.729 --> 00:25:15.315]  And you look and face the situation, a tornado's coming, you can now take action to avoid the consequences.
[00:25:15.315 --> 00:25:15.655]  Exactly.
[00:25:15.655 --> 00:25:17.577]  That's where we're looking at now.
[00:25:17.577 --> 00:25:30.767]  We need to grow up, start being adults, look at the future our children are going to have unless we do something, and get off the backsides, you know, disconnect them from the sofa, and let's get this sorted.
[00:25:31.966 --> 00:25:32.606]  Well, absolutely.
[00:25:32.606 --> 00:25:35.788]  We're going to go to break and come back and get more into this mass awakening.
[00:25:35.788 --> 00:25:39.149]  People, and I want your take on this after the break, David.
[00:25:39.149 --> 00:25:47.493]  People love to say, oh, look at those stupid Jews or those stupid gypsies or those stupid Anglicans who didn't like Hitler.
[00:25:47.493 --> 00:25:53.475]  And they just went on trains and they went to camps and they stripped down naked and they got run into pits and gunned down.
[00:25:53.475 --> 00:25:54.536]  Why didn't they fight back?
[00:25:54.536 --> 00:25:57.397]  And we see those Nazi film footage of that.
[00:25:58.166 --> 00:26:02.687]  When that was done incrementally, we're going to come back and get your analysis on this, that was done incrementally.
[00:26:02.687 --> 00:26:10.429]  They were slowly trained to live in ghettos and then to wear yellow stars or pink triangles or whatever the case was.
[00:26:10.429 --> 00:26:21.432]  They were slowly trained by incremental steps to put up with more and more until, well now we're taking you here to a camp to be safe because the public's beating you up and smashing your store windows.
[00:26:22.192 --> 00:26:25.916]  And, you know, now just take your clothes off over here.
[00:26:25.916 --> 00:26:27.096]  We're going to take care of you.
[00:26:27.096 --> 00:26:33.742]  And then they would line up and see the people being shot in front of them, but they would still just run into the pit obediently to their deaths.
[00:26:33.742 --> 00:26:34.943]  That is mind control.
[00:26:34.943 --> 00:26:36.344]  That is incremental conditioning.
[00:26:36.344 --> 00:26:40.448]  And we're going into the same thing as the ambient tyranny is turned up.
[00:26:40.448 --> 00:26:44.931]  We have to learn to recognize that, to stop it now and break our conditionings.
[00:26:44.931 --> 00:26:48.755]  If you don't think the global architects running the Western world and the planet
[00:26:49.827 --> 00:26:53.552]  Won't kill you, won't enslave you, won't rob your pension funds blind.
[00:26:53.552 --> 00:26:55.914]  It's happening.
[00:26:55.914 --> 00:27:05.466]  Just yesterday I saw several mainstream news articles admitting that British SAS trained Pol Pot's people to kill between three and four million.
[00:27:05.466 --> 00:27:06.187]  Why did they do this?
[00:27:06.187 --> 00:27:07.528]  We'll talk more about that with David Icke.
[00:27:07.528 --> 00:27:07.789]  David?
[00:27:09.068 --> 00:27:16.593]  I went into the mass mind control of people in Nazi Germany, the Soviet Union, over and over again, who will just march in and be mowed down and killed.
[00:27:16.593 --> 00:27:19.996]  Why did the founders of this country, why would they not go along with that?
[00:27:19.996 --> 00:27:21.136]  Why did they fight back?
[00:27:21.136 --> 00:27:21.957]  What's the difference?
[00:27:21.957 --> 00:27:32.624]  How do we get people to psychologically realize how they're being trained to have this learned helplessness, where they just lay down to the men in black uniforms?
[00:27:32.624 --> 00:27:34.266]  Well, when you're talking about mass mind control,
[00:27:35.833 --> 00:27:39.279]  We can't go any further than Barack Obama because America has just had...
[00:27:40.595 --> 00:27:53.662]  visited upon it, a massive mass mind control operation to get him to power and to build his ludicrous, ludicrous myth of a personality and an image that so many people have bought.
[00:27:53.662 --> 00:28:07.369]  And I don't know about you, Alex, but I tell you, I've shaken my head a few times in the last few months when I've seen people who I thought had got it to an extent, who had bought the Obama myth as if somehow here out of nowhere is a change to the
[00:28:10.110 --> 00:28:12.673]  The system as it works in terms of creating precedence.
[00:28:28.650 --> 00:28:42.745]  Grasping at straws, you know, seeing things, mirages in the desert, a man dying of thirst will, you know, see huge lakes of cool, clean water to go drink and will even go crazy and think he's drinking water when he's throwing sand into his mouth.
[00:28:42.745 --> 00:28:47.670]  And you've written a great analysis breaking down the mass mind control, the real programs
[00:28:49.252 --> 00:28:56.721]  It's Barack Obama, the naked emperor.
[00:28:56.721 --> 00:29:01.807]  You've introduced a very, very important point, Alex, in terms of mass mind control.
[00:29:01.807 --> 00:29:05.312]  It's the principle of the target wanting it to be true.
[00:29:06.072 --> 00:29:15.037]  And in many ways, the worse it gets, the more people can be enticed into following someone who's telling them what they want to be true.
[00:29:15.037 --> 00:29:21.020]  I mean, if you take what happened in Nazi Germany and those other examples you gave, at each point
