[00:00.000 --> 00:26.940]  the
[16:20.540 --> 16:26.300]  get things like X2 and X3, the absolute building block of the whole body, clean iodine, atomic,
[16:26.300 --> 16:31.340]  powerful, total booster in your whole life, not just for immunity, but for libido stamina,
[16:31.340 --> 16:37.020]  you name it. And you need to boost your immunity at infowarstore.com with bodies with DNA force plus
[16:37.020 --> 16:41.260]  with vitamin mineral fusion with ultra 12. It's back in stock and turbo force, by the way,
[16:41.260 --> 16:45.580]  just came back into stock and just boost everything infowarstore.com. You fund the info
[16:45.580 --> 16:49.580]  war, you fund the rebellion against the globalist, you get great prices and you boost your immune
[16:49.580 --> 16:54.860]  system by total 360 when take action in four store.com today because just as important as food is
[16:54.860 --> 17:00.620]  boosting you and your family's immune system infowarstore.com. Everybody needs food. I'm proud
[17:00.620 --> 17:05.340]  we're selling high quality food elections, globalism, the economy, the bubble. This is something you
[17:05.340 --> 17:11.180]  need on your checklist to have done. But for me, it just is a bummer to know that everybody needs
[17:11.180 --> 17:15.340]  food. And I had long discussions this morning over an hour long discussion with different
[17:15.340 --> 17:19.260]  individuals at different levels of this, right down to the folks run the plants to get the best
[17:19.260 --> 17:23.980]  idea we have. But they want me to say six to eight weeks just so people aren't getting pissed. But
[17:23.980 --> 17:29.020]  understand the last food company, the biggest food company is now at hundreds of times their
[17:29.020 --> 17:33.980]  regular order and they were having discussions with me about stopping the promotion of food sales
[17:33.980 --> 17:37.820]  next week. And at a certain point just saying we're done because people are going to take food
[17:37.820 --> 17:42.140]  orders out 10 weeks. We don't want to sit on your money 10 weeks and then just all the weirdness
[17:42.140 --> 17:46.140]  that comes with that because we're honest, under promise over deliver. But technically it's going
[17:46.140 --> 17:49.900]  to be six to eight weeks and we want you to get a great deal and feel like we took care of you.
[17:49.900 --> 17:54.140]  So you come back again. We want relationships with you. We're not Satanist. We're the opposite.
[17:54.140 --> 17:58.540]  We don't screw people over. We believe in Jesus Christ and we've been blessed by you. We're all
[17:58.540 --> 18:04.540]  in this together. If you understand why the globalist, why the servants of Satan hate info
[18:04.540 --> 18:12.220]  awards, it's because we're awake. We're alive. We're passionate and we're not giving up. That's
[18:12.220 --> 18:18.060]  why it's critical for those of us that are aware of the new orders plans to not get down when they
[18:18.060 --> 18:24.060]  attack us and they persecute us and they lie about us. That's what we should expect because we are
[18:24.060 --> 18:29.260]  hurting these scumbags. The globalists have literally sold their souls to the dark side
[18:29.260 --> 18:35.100]  and they do what they do because they're slaves because they are eternally driven to try to suppress
[18:35.100 --> 18:41.020]  and dominate and destroy the innocent. It is up to us who are awake, not the sheep and not the
[18:41.020 --> 18:48.940]  wolves, but the sheepdogs to stand firm and resist these wicked tyrants. They fear the fact that
[18:48.940 --> 18:55.980]  we are awake. They fear the fact that we are alive. They fear the fact that we love God and
[18:55.980 --> 19:05.500]  that's all we ever have to know is that God is in charge. Allergies, dander, asthma, germs, toxins.
[19:06.380 --> 19:10.060]  There are many reasons why we need to think about what is really in the air around us.
[19:10.620 --> 19:14.540]  We may not be able to stop breathing, but we can control what's in the air we breathe.
[19:14.540 --> 19:20.620]  The revolutionary Alexa Pure Breeze air filtration system is a powerful ally in the fight against
[19:20.620 --> 19:26.940]  the dangerous toxins and viruses in the air. Powerful, quiet and effective, the breeze uses a
[19:26.940 --> 19:32.460]  four-step purification process to help you breathe easier and cleaner. Similar systems could cost
[19:32.460 --> 19:37.900]  hundreds to even thousands of dollars, but the Alexa Pure Breeze air purification is the best
[19:37.900 --> 19:43.660]  and most affordable bar none. The breeze in the ion cluster patented technology used in the system
[19:43.660 --> 19:49.740]  eliminate up to 99.97 percent of airborne contaminants. Get the Alexa Pure Breeze today
[19:49.740 --> 19:54.780]  and save big on a world-class air filtration system for your home. Don't keep breathing toxic
[19:54.780 --> 20:14.780]  or dangerous air. Get this special today at InfoWarsStore.com. You're listening to the Alex Jones show.
[20:24.780 --> 20:41.820]  Welcome back, ladies and gentlemen. You know, I'm going to get into the coronavirus and the
[20:41.820 --> 20:45.660]  second half of this segment and into the next segment and the last segment of this hour,
[20:45.660 --> 20:49.740]  and then I do intend to open the phones up for first-time callers on this Sunday
[20:49.740 --> 20:52.460]  to give you a chance to respond to what you really think is happening in the world,
[20:52.460 --> 20:58.300]  the Democratic Party and the economy and the attempts to blame America and Trump for the
[20:58.300 --> 21:02.620]  coronavirus and all the rest of it. But I want to get back to Joe Biden because
[21:04.220 --> 21:09.020]  you've got Joe Biden being endorsed by the Democratic Party and you've got them clearly
[21:09.020 --> 21:14.380]  trying to steal it from Bernie Sanders again, but Bernie Sanders really represents who the
[21:14.380 --> 21:24.540]  Democrats are and all the pre-goodies that are being offered. But it's all delusion. It's all
[21:24.540 --> 21:30.380]  lies and it only gets worse and worse from that point. But then you look at Brian Williams,
[21:30.380 --> 21:40.700]  a big Democrat. He was on TV just a few days ago on Thursday. We covered it on Friday on NBC
[21:40.700 --> 21:47.500]  where he anchors and he said, it's incredible. The math is amazing, but documented $500 million
[21:47.900 --> 21:54.380]  that was spent by Bloomberg would give every American $1 million. Well, there's not 500 Americans.
[21:54.380 --> 22:01.020]  There's 327 million and it turned out it was just a few dollars each person would get.
[22:01.820 --> 22:07.340]  But they defended it. The original article was in the Washington Post and said, who cares about
[22:07.340 --> 22:15.020]  math? Blah, blah, blah. That's done on purpose. That's psychological warfare. But if you're
[22:15.020 --> 22:22.940]  going to have a party of mentally handicapped people, a party of people of dementia and of people
[22:22.940 --> 22:29.740]  that have screen sickness and people that are in a mesmerized sleep-like state and run the
[22:29.740 --> 22:34.380]  gamut from mentally retarded from all the fluoride to just flat out out of their minds
[22:34.380 --> 22:40.780]  for mental illness, well, then you're going to have the leader of them being someone like them.
[22:41.820 --> 22:45.340]  You don't understand a word they say, but it doesn't matter if you can't understand what Joe
[22:45.340 --> 22:51.660]  Biden has to say because his followers are idiots. And so it just sounds like words to them.
[22:52.780 --> 23:00.220]  You know, take care of corn pop and the fly hairs and black kids roaches. And you can't
[23:00.220 --> 23:07.020]  beat Trump and I don't miss rep stop my wife. That's my daughter. I don't know who I am. I mean,
[23:07.020 --> 23:13.260]  those are real quotes, folks. And then you got Sanders going, white people don't know what it's
[23:13.260 --> 23:18.700]  like to be poor. We are going to take the rich people's money. You everything will be free.
[23:19.900 --> 23:23.900]  The rich people are offshore. You'll never get their money. They're funding socialism
[23:23.900 --> 23:30.380]  to control us. 9% of their wealth is made up stock market numbers leveraged.
[23:31.500 --> 23:37.260]  You take 2% out of any of these companies, they'll fold overnight. It's not real money.
[23:38.300 --> 23:46.060]  It's called Zimbabwean or Weimar Republic where wheelbarrows of cash can't buy you a cup of coffee.
[23:48.940 --> 23:53.660]  And so that's where all this is headed. And the left wants to destroy the confidence
[23:53.660 --> 23:57.420]  in the Ponzi scheme to bring it down. And they think there's going to be some giant red terror
[23:57.420 --> 24:01.820]  crisis they're going to manage. It's going to give them all this power and control when all their
[24:01.820 --> 24:07.980]  poop and needle and homeless ridden cities have been sucked by them already. They think they're
[24:07.980 --> 24:13.420]  going to manage the takeover of the biggest armed camp in the world of people that hate their guts.
[24:13.420 --> 24:19.580]  They are literally getting in a cave with a grizzly bear and slapping it upside the face over
[24:19.580 --> 24:26.460]  and over again. But again, they're a party led by a gibbering lying con man communist
[24:28.860 --> 24:33.980]  who said he dreams of raping 12-year-old girls and gang rapes. He writes news articles.
[24:33.980 --> 24:40.540]  I like to get what the male doesn't think about gang raping with 20 men, a 12-year-old girl.
[24:41.100 --> 24:48.780]  I want to see her bound. I'm going to rape her. And Sink Uggur or Sink Uggur has made
[24:48.780 --> 24:54.220]  similar comments online. And so have all these people. It's like, no, dude, the average man doesn't
[24:54.220 --> 25:00.700]  think about tying down 12-year-old girls and gang raping them, dude. That's you, bro. I like
[25:00.700 --> 25:08.540]  raping little kids. It's what I do. We understand, bro. So speaking of that,
[25:10.860 --> 25:15.420]  it's a long video. It's like 30 minutes long. It's on employers.com. Here's the short compilation.
[25:15.420 --> 25:20.700]  Sink Uggur, Sink Uggur, whatever his name is, freaks out at black airline employees over
[25:20.700 --> 25:25.900]  delayed flight. And look, I get getting mad over delayed flights. They're being told by the airline
[25:25.900 --> 25:30.300]  what's happening. They think they can fix a plane. Then it's another problem. A censor says something.
[25:30.300 --> 25:33.980]  We have some of the best airlines in the world. We have some of the best systems in the world.
[25:33.980 --> 25:37.980]  In communist countries, if a flight's delayed, you might be there two days. But they all want
[25:37.980 --> 25:42.940]  everything free. This guy's worth reported like $50 million. But he's a communist. So he's flipping
[25:42.940 --> 25:47.180]  out of American Airlines and screaming at them because they keep thinking they're going to
[25:47.180 --> 25:50.140]  have a plane and they don't. They're not just telling you they don't have a plane for no reason.
[25:50.700 --> 25:55.260]  So again, it's another spoiled rotten baby looking for it. The plane, the plane.
[25:59.740 --> 26:08.140]  We've been here three hours. And American Airlines sucks. They decided for whatever reason
[26:08.140 --> 26:12.940]  to screw everybody on this flight. It just frustrates me that some industries just get to
[26:12.940 --> 26:18.860]  screw you over and go, yeah, you got to fly at some point, right? And it's Gustavo. That's a
[26:18.860 --> 26:26.940]  TYG viewer. And I'm hungry and I'm tired. And so like, you know me, I get more agitated when I'm
[26:26.940 --> 26:33.820]  hungry and tired. So look, if you guys think this is bad, wait till if that plane doesn't
[26:33.820 --> 26:41.580]  actually come from the hangar in 20 minutes. Is the flight coming? Supervisors, the flight
[26:41.580 --> 26:48.220]  coming supervisor, you at least got to be honest. Is there a flight? Is there a plane? You got to
[26:48.220 --> 27:07.340]  be honest. Is there a plane? Is there a plane? Where is the plane? Where is the plane? Is there a
[27:07.340 --> 27:13.660]  plane? Where is it? Where is the plane? You know, but listen, if we just sit here and take it,
[27:13.660 --> 27:19.260]  they'd have us here until six in the morning, and then they'd fuck this even harder. Okay. So
[27:19.260 --> 27:24.380]  I need you're a supervisor, aren't you? Where's the plane? I'm not going to answer your question.
[27:24.380 --> 27:30.300]  No, I know because I've been here for four hours. Don't give me this. Where's the plane? Here, I got
[27:30.300 --> 27:35.180]  a question for you. When did you make the decision that we weren't going to have a plane? You know,
[27:35.180 --> 27:40.220]  when did you make that decision? Who made the decision? Who made the decision that we weren't
[27:40.220 --> 27:44.460]  going to have a plane? It's funny to you, right? It's not funny to us. Who made the decision? Who
[27:44.460 --> 27:49.260]  made the decision? That's right. Who made it? Well, who is it? That's what I'm asking. Who's fault
[27:49.260 --> 27:53.020]  is it? Who's fault is it? This goes on for too long. Now he tells you what he's really thinking
[27:53.020 --> 27:57.580]  about. So he wants to hurt innocent people that aren't running things. He's a communist. He does
[27:57.580 --> 28:01.580]  understand they're not in command. It's the engineers. They don't know why the planes broke
[28:01.580 --> 28:06.300]  and they're trying to fix this as quickly as possible. But now, back it up 10 seconds, he's
[28:06.300 --> 28:10.860]  about to tell you what he really wants to take care of. And that's animals. He wants to pleasure
[28:10.860 --> 28:18.380]  sexually, reportedly donkeys. Here it is. Is there a plane or a crew? Like 204, your plane is
[28:18.380 --> 28:24.060]  already on its way from the hangar. No, no, no, but they told us that four hours ago. Is it actually
[28:24.060 --> 28:29.980]  coming? Is it actually coming because I literally heard it was coming from the hangar three hours
[28:29.980 --> 28:39.020]  ago? I literally heard that. If I were the rule, the benevolent dictator of the world, I would
[28:39.020 --> 28:49.420]  legalize bestiality where you are giving. You are your pleasuring animal. You see what I'm saying?
[28:51.980 --> 28:56.460]  But he doesn't want to pleasure and just be nice to the poor people at the ticket counter
[28:56.460 --> 29:01.980]  who have not done anything wrong. Stay with us. Everybody's calling me. I'm getting constant
[29:01.980 --> 29:07.260]  streams of text messages and phone calls and family visiting the house saying, is coronavirus really
[29:07.260 --> 29:11.900]  deadly? How bad is it really? So I would encourage listeners, yes, go get high quality, swirable
[29:11.900 --> 29:15.580]  foods. We have the only company, the biggest in the nation that actually still has food. It does
[29:15.580 --> 29:18.780]  take five to eight weeks to get it to you because they got a package and they got the food. But I
[29:18.780 --> 29:23.260]  would encourage listeners to do the most important thing and that's drink purified water. That's a
[29:23.260 --> 29:27.260]  prey. That's get focused. That's not be stressed out because you're prepared and that's get DNA
[29:27.260 --> 29:32.140]  Force Plus, the PQQ and CoQ10 that cleans up the mitochondria and the cells and is the biggest
[29:32.140 --> 29:37.420]  immune booster you can engage in the X2, the X3, the foundation, everything. The Ultra 12 back in
[29:37.420 --> 29:42.620]  stock are nano silver, super silver and super blue toothpaste. It's still 50% off. Tumeric is known
[29:42.620 --> 29:48.060]  for doing a super job when it comes to cleaning out your cells. We have the strongest tumor
[29:48.060 --> 29:51.820]  you're gonna find out there. 95% humanoid from bodies. Old man tumor forming with that's back
[29:51.820 --> 29:55.100]  in stock and purchases at m4store.com with the highest quality supplements,
[29:55.100 --> 29:59.420]  swirable food and you actually get them delivered in stock at m4store.com. So get those today.
[30:03.340 --> 30:07.980]  Owl killer in New Jersey. You're on the air. Go ahead. Alex. Hey, I just want to say it's great
[30:07.980 --> 30:11.660]  to be back once again and I've never gotten to do this, but I'm going to give you a shout out for
[30:11.660 --> 30:15.820]  your product. So that's super blue Florida free toothpaste and that's super blue whitening
[30:15.820 --> 30:19.900]  toothpaste is on another level. I use the one I use the super blue in the morning and then the
[30:19.900 --> 30:24.860]  whitening at night and it absorbs into your gum. It is by far the best product that I've ever used
[30:24.860 --> 30:29.260]  in my life. I literally just took turbo force on my way to the gym right now. I've had four shoulder
[30:29.260 --> 30:34.300]  surgeries and the back surgery and that body has made me feel better than any type of physical
[30:34.300 --> 30:37.660]  therapy or anything that I've ever done in my life. So I just want to get that out of the way.
[30:37.660 --> 30:42.060]  Support this man. Everything that he exposed. Nobody knew about the hemean grove. Nobody knew
[30:42.060 --> 30:47.820]  about fd. Nobody knew about build a bird. Nobody called 911 before it happened in July 2001. Go look
[30:47.820 --> 30:51.260]  it up yourself. Well, we try our best, sir. They definitely want us off the air without you
[30:51.260 --> 30:53.820]  or not here, but yeah, these are all great products. So thank you, sir.
[31:00.860 --> 31:03.980]  Hannah meant about pronouncing that right. What do you think is really going on and thanks for
[31:03.980 --> 31:07.820]  calling. So yes, I was in Costco a couple of weeks ago. I was getting ready. I went to buy a bunch
[31:07.820 --> 31:13.020]  of part of the paper and some things before crowds really hit and I had my phone, I had
[31:13.020 --> 31:17.260]  your show going on and sticking on my pocket so I could hear it. I wasn't using headphones. This lady
[31:17.260 --> 31:21.580]  starts says, who are you listening to? Who is that talking? I said, this is Alex Jones and she
