[00:00.000 --> 00:11.000]  Defending the Republic from enemies, foreign, and domestic, it's Alex Jones.
[06:59.000 --> 07:02.000]  We're looking at 80,000 to 90,000 dead by July.
[07:02.000 --> 07:06.000]  We have reinfection popping back up in Taiwan and Hong Kong.
[07:06.000 --> 07:20.000]  Evidence mounting that it's just absolutely man-made consensus forming in the intelligence community here in the United States, the patriot side, that it is a CHICOM attack.
[07:20.000 --> 07:29.000]  And we are definitely seeing the leftist globalist arms trying to exacerbate the fear, trying to have the longest lockdown they can.
[07:29.000 --> 07:31.000]  They called for 18 months first.
[07:31.000 --> 07:34.000]  They went, oh, let's be conservative. It's a psychological tactic.
[07:34.000 --> 07:36.000]  It's a huge thing.
[07:36.000 --> 07:42.000]  You know, give you a mile and then they cut you back to a half mile and all they wanted was an inch.
[07:42.000 --> 07:44.000]  So, oh, we want 18 months.
[07:44.000 --> 07:46.000]  Oh, no, just to shut down through the election.
[07:46.000 --> 07:52.000]  And then we'll turn it back on next fall when Corona comes back and we're going to have Corona every year now and that's just the way it is.
[07:52.000 --> 07:57.000]  Corona is the most common family of common cold.
[07:57.000 --> 08:08.000]  In bioweapons literature, they always said the best thing would be a highly communicable cold virus that you piggybacked bioweapons into.
[08:08.000 --> 08:19.000]  And now with all of this DNA manipulation, RNA manipulation, they have been able for decades to produce a common cold that kills the majority of people that come in contact with it.
[08:19.000 --> 08:30.000]  They have the mouse pox sequencing that they gave out 20 years ago. There was a big international debate about why were universities publishing the sequencing for mouse pox that if you engineered it for humans quite easily,
[08:30.000 --> 08:34.000]  even a level three facility could do it, a private company could do it.
[08:34.000 --> 08:39.000]  It kills about 97, 98% of people that would get it.
[08:39.000 --> 08:47.000]  They're also working on airborne Ebola, the head of the UT biology department at the time, Dr. Francis Bianca.
[08:47.000 --> 08:57.000]  He came out and he talked about in some of my film Endgame how he hoped the airborne Ebola would come soon to end world population and kill at least 90% of people.
[08:57.000 --> 09:04.000]  And he's in the film and he was given awards for saying that by major international academies, including royalty.
[09:04.000 --> 09:08.000]  And of course you have Prince Philip saying he wants to come back as a virus to kill the majority of humanity.
[09:08.000 --> 09:16.000]  And you've got Bill and Linda Gates and Ted Turner and others part of that big international group that's in the Wall Street Journal and how they're heroes for setting up a world government to have a plan to reduce our population.
[09:16.000 --> 09:18.000]  It's the best thing to do for the earth.
[09:18.000 --> 09:35.000]  But now Bill Gates is all over the news, is pressing it and as a hero and as this incredible person who is going to save us and who predicted everything that was going to be unfolding.
[09:35.000 --> 09:41.000]  And he's the guy saying, look, don't worry, just 10 weeks, keep it shut for 10 more weeks.
[09:41.000 --> 09:50.000]  And then you will be habituated and you will be prepared and you will live like this the rest of your lives with drones controlling you and apps on your phone,
[09:50.000 --> 09:53.000]  telling you where you can go and what you can do with only essential stuff.
[09:53.000 --> 09:59.000]  And that's what children have been taught for about 15 years in England in their textbooks and in little videos that are online.
[09:59.000 --> 10:04.000]  Look up Megaopolis UK on YouTube and you'll see their own videos.
[10:04.000 --> 10:12.000]  Children are shown in the future. The computer tells you what's essential travel. What's not. You get meat once a year on your birthday and robots control everything.
[10:12.000 --> 10:16.000]  So the children are being shown this, that this is your new life. This is what it's going to be like.
[10:16.000 --> 10:22.000]  And we're all just being told this is it. This is the extinction rebellion, carbon neutral world.
[10:22.000 --> 10:29.000]  And then if you're not essential, the bioethics boards will tell you will let you keep living if you agree to be sterilized.
[10:29.000 --> 10:35.000]  And then, oh, we'll let you keep living if you agree to all these inoculations. And then, of course, that kills you.
[10:35.000 --> 10:51.000]  So when you get universal income, that comes with all the controls. None of this is my opinion. This is the official State Department memorandum 200 Club of Rome, Davos, CFR statements out of all of them.
[10:51.000 --> 10:58.000]  Now, I was saying this 26 years ago, folks were like, oh, that's crazy because it was in academic reports and UN reports. That was it.
[10:58.000 --> 11:07.000]  I mean, the UN said back in 1992 at the big Rio de Janeiro Earth Summit for 2021. Now they've gotten that. They're now in 2030.
[11:07.000 --> 11:15.000]  They said, we're going to bring in total world government and we're going to bring back human sacrifice like the pagans had to reduce population.
[11:15.000 --> 11:22.000]  We're going to tear up the families. We're not going to have single parent or double parent homes, single family dwelling facilities.
[11:22.000 --> 11:30.000]  We're going to ban fireplaces. We're going to ban individual farming. We're going to only have giant factory farms, total control, and we're going to phase out humans.
[11:30.000 --> 11:38.000]  Well, that's now all public, but that's on the UN website. Just like they said, we're going to get rid of freedom.
[11:38.000 --> 11:45.000]  We're going to lower the borders in Europe, bring in 450 million people to take over and 650 million to take over the United States.
[11:45.000 --> 11:48.000]  Look up replacement migration. You'll be on the UN's website.
[11:48.000 --> 11:55.000]  But Sasha Barak Owen says you talk about it, you should be arrested and put in prison. He says it does not exist.
[11:55.000 --> 12:00.000]  And then it's only official UN website. And that's our plan.
[12:00.000 --> 12:04.000]  And you've got all these clips of them. I mean, these are dangerous, evil people.
[12:04.000 --> 12:09.000]  They're going to tell you what they're going to do, how they're going to slowly poison you, how they're going to kill you and your family.
[12:09.000 --> 12:19.000]  And if you talk bad to Sasha Barak Owen, who looks like a psychotic vampire, you don't look like a child molester. He looks like Count Dracula.
[12:19.000 --> 12:24.000]  Brian Stutter looks like a child molester. And the cover of the book fits it.
[12:24.000 --> 12:28.000]  I mean, we're dealing with a guy that wants to suck your rights out, but you get a prison camp.
[12:28.000 --> 12:32.000]  And he's got the full power of the ADL behind him. So this is it, folks.
[12:32.000 --> 12:35.000]  And if you want to be a slave, you're about to get front row seats to it.
[12:35.000 --> 12:40.000]  Or you can point out, you understand what's happening, but it's two camps. They're false camps.
[12:40.000 --> 12:44.000]  Either it's a fake virus and a total hoax, and nothing's going on. It's all a giant lie.
[12:44.000 --> 12:47.000]  Or it's the end of the world.
[12:47.000 --> 12:51.000]  No, ladies and gentlemen, it's a real bio weapon, but they know the trajectory of it.
[12:51.000 --> 12:55.000]  And they've had other strains. They're obviously the chikoms have been caught sneaking them in.
[12:55.000 --> 13:00.000]  The FBI warned it back six months ago, three months ago that the chikoms have been sneaking in.
[13:00.000 --> 13:05.000]  More deadlier versions to the U.S. Chikoms are celebrating on TV that's devastating our economy.
[13:05.000 --> 13:08.000]  They're saying, but we're strong. We're reopened. Ha ha ha.
[13:08.000 --> 13:13.000]  Our communist system defeated America while our own media and our own corporations work with them
[13:13.000 --> 13:18.000]  to choreograph all the fear and make sure we stay locked down when the chikoms aren't.
[13:18.000 --> 13:25.000]  So Trump tried to introduce the idea of reopening April 1st, but they said, no, you can't do that.
[13:25.000 --> 13:30.000]  It's going to be your fault every death. So he goes, OK, two more weeks.
[13:30.000 --> 13:35.000]  Let's see. It's going to keep mutating and keep popping up because we took the bait.
[13:35.000 --> 13:38.000]  We cowered in fear and they're going to launch more of the bio attacks.
[13:38.000 --> 13:43.000]  So this is it. And it's very, very sophisticated, but when you pull back from it, it's all pre-programmed
[13:43.000 --> 13:49.000]  so we know exactly what would happen. Here, let's hear from the president.
[13:49.000 --> 13:57.000]  Prepare for hard days ahead as many as 250,000 dead by middle of July.
[13:57.000 --> 14:04.000]  Mike Adams projected 250,000 dead by the middle of July about five weeks ago here on air.
[14:04.000 --> 14:08.000]  Now he's downgraded that because Trump went along with some of the lockdown.
[14:08.000 --> 14:12.000]  And so he's saying 90,000. He'll be joining us by the hour. But here's the president.
[14:12.000 --> 14:20.000]  We're at war with a deadly virus. Success in this fight will require the full absolute measure
[14:20.000 --> 14:24.000]  of our collective strength, love, and devotion. Very important.
[14:24.000 --> 14:30.000]  Each of us has the power through our own choices and actions to save American lives
[14:30.000 --> 14:38.000]  and rescue the most vulnerable among us. That's why we really have to do what we all know is right.
[14:38.000 --> 14:42.000]  I want every American to be prepared for the hard days that lie ahead.
[14:42.000 --> 14:45.000]  We're going to go through a very tough two weeks.
[14:45.000 --> 14:53.000]  And then hopefully, as the experts are predicting, as I think a lot of us are predicting after having studied it so hard,
[14:53.000 --> 14:56.000]  you're going to start seeing some real light at the end of the tunnel.
[14:56.000 --> 15:01.000]  But this is going to be a very painful, very, very painful two weeks.
[15:01.000 --> 15:04.000]  And the stock market's almost down 800 points right now.
[15:04.000 --> 15:08.000]  People go, oh, the stock market, Wall Street, who cares? It's tied to the entire economy.
[15:08.000 --> 15:12.000]  And when it starts tanking, they're going to demand bigger bailouts.
[15:12.000 --> 15:15.000]  And then that creates more inflation down the road.
[15:15.000 --> 15:21.000]  But the depressionary thing's happening so fast right now that all the stimulus may not even be able to stop it.
[15:21.000 --> 15:28.000]  And that's why Jim Acosta praised Trump last night when he said, OK, we got to stay close two more weeks.
[15:28.000 --> 15:38.000]  They went, good, good. Because then it will set the precedent that when he opens it in a month to stop total depression,
[15:38.000 --> 15:40.000]  it's all his fault. They're setting the trap.
[15:40.000 --> 15:42.000]  But Trump knows the trap. It was a trap.
[15:42.000 --> 15:45.000]  Though if he didn't respond, they blame every death on him.
[15:45.000 --> 15:48.000]  So he's riding the tiger. We're all riding the tiger together.
[15:48.000 --> 15:51.000]  And I'm in St. Potico with the president. I understand what he's doing.
[15:51.000 --> 15:53.000]  It's the only path he's got right now.
[15:53.000 --> 15:58.000]  Pray, ladies and gentlemen, for a global awakening, we'll be right back. Stay with us.
[16:23.000 --> 16:27.000]  Trust your family's survival to survivalistcamps.com.
[16:53.000 --> 16:58.000]  50% over our competition and a portion of all sales is contributed to veteran nonprofits and events.
[16:58.000 --> 17:04.000]  Many of our customers have experienced improved quality of life, help with anxiety, PTSD and overall well-being.
[17:04.000 --> 17:10.000]  Our products do not contain THC. They are safe, non-addictive, effective and 100% legal.
[17:10.000 --> 17:18.000]  GCN listeners, get your free trial bottle of premium CBD by simply paying, shipping and handling at GCNFreeCBD.com.
[17:18.000 --> 17:26.000]  That's GCNFreeCBD.com. Again, GCNFreeCBD.com, offered by Veterans Vitality Premium CBD.
[17:48.000 --> 18:03.000]  When the globalists and the mainstream media and the big box stores zig, we zag.
[18:03.000 --> 18:11.000]  They've all been raising prices on high-quality nutraceuticals and supplements because people are doing their own research and grabbing them off the shelves.
[18:11.000 --> 18:20.000]  Well, guess what? We've cut the prices on our best-selling products massively, and despite the fact that our iodine selling out, X2 just did,
[18:20.000 --> 18:25.000]  X3 is going to 60% off. That's right, folks, even though it's about to sell out.
[18:25.000 --> 18:33.000]  Our amazing super blue fluoride-free toothpaste with the nano silver, the tea tree oil and the iodine, it's still 50% off about to sell out.
[18:33.000 --> 18:44.000]  And then, Real Red Pill, Real Red Pill Plus, the big multi-vitamin mineral with pregnant women and all that zinc, it's 50% off right now at infowarstore.com.
[18:44.000 --> 18:53.000]  And a bunch of other best-selling items are as well. So get your X3 before it sells out, 60% off. Get your Real Red Pill Plus, 50% off.
[18:53.000 --> 18:58.000]  Get Living Defense, 40% off. DNA Force, 50% off at infowarstore.com.
[18:58.000 --> 19:06.000]  One of our best-selling products is Living Defense, and it's been sold out for over four months because it's hard to source the ingredients that are organic.
[19:06.000 --> 19:12.000]  We've got a limited supply right now, but it's selling out fast, and I want those of you that haven't experienced Living Defense to get it for yourself.
[19:12.000 --> 19:14.000]  Here's just part of one testimonial.
[19:14.000 --> 19:29.000]  In January 2016, I went in a hospital. I went to VA Hospital out here in Boise, and I was in there until June. And one of the only things that got me through that ordeal was listening to info wars three hours a day, and I kept hearing Dr. Group and all you guys talking about Living Defense.
[19:29.000 --> 19:37.000]  Let me tell you something, man. I had an internal digestive problem, and I stumbled with it for about five or six years, and the doctors, they tried every test.
[19:37.000 --> 19:45.000]  Nobody could figure out what it is, and then every day when I kept hearing you and Dr. Group and those commercials, I said, you know what? I'm going to get me some of that freaking Living Defense.
[19:45.000 --> 19:53.000]  Now, I wasn't supposed to have any nutritionals because they don't want you to have that stuff, but I ordered it, had it shipped to me. I got it. I hid it from the nurses. I started taking it, man.
[19:53.000 --> 20:08.000]  I just have changed my life. It saved my life. Alex Jones and Info War saved my life.
[20:23.000 --> 20:36.000]  The last hundred and twenty years, it's really been the era of the rise of communism.
[20:36.000 --> 20:49.000]  But as with all things on the surface, what communism appears to be, a movement of the people and the intelligentsia and the professors to empower populations, it's completely the opposite.
[20:49.000 --> 21:08.000]  And that's a known fact in the practitioners of it. It is an elitist aristocracy. It is a system of creating a new class structure.
[21:08.000 --> 21:35.000]  And in 1917, British intelligence funded over 100,000 former Russians, people from Russia, to invade and overthrow the Tsars at the end of World War One when their people were starving to death because they just lost millions in a fight with the Germans in the Austrian-Hungarian Empire.
[21:35.000 --> 21:48.000]  And the Spanish flu was beginning to rage through the world population. Yes, a plague also came with the Red Terror.
[21:48.000 --> 22:06.000]  And then the very same globalist in 1949 killed US OSS operatives and Army officers who were following their orders from the United States.
[22:06.000 --> 22:23.000]  And the globalist shadow organization, this is all came out in the history books of the CIA, no more than around two years at the time, tracked down and murdered hundreds of Army officers fighting with Shankai Shek in China.
[22:23.000 --> 22:45.000]  And the CIA sabotaged the hundreds of thousands of rifles and weapons by removing the firing pins and by removing the explosives out of the hand grenades after the ships launched from San Diego and Long Beach to China.
[22:45.000 --> 22:54.000]  That's just little snippets of history. And, you know, I was always read this from the John Birch Society and saw congressional hearings when I was a kid. I heard people talking about it.
[22:54.000 --> 23:07.000]  And then I saw it on Discovery Channel like 22 years ago. I was watching History Channel and it had the old former section chief of the CIA bragging, yeah, a lot of us thought Mao was going to really help China.
[23:07.000 --> 23:21.000]  So working with the Rockefeller Foundation, this guy looked like a mummy on there. He goes, we've helped him kick Shankai Shek out and we thought Congress, you know, didn't understand how great Mao was going to be for China.
[23:21.000 --> 23:27.000]  And he was great. And so we kicked Shankai Shek out.
[23:27.000 --> 23:41.000]  And I'm sitting there on History Channel watching them talk about this so Mao Zedong could kill 80-something million people himself.
[23:41.000 --> 23:48.000]  So when we talk about China and how we're at war with China, let's get one thing straight.
[23:48.000 --> 24:03.000]  We, the American people, saved China from the Japanese in World War II. World War II started because we had U.S. troops under private contracts with the British, flying tigers, but a lot more than that, people like E. Howard Hunt.
[24:03.000 --> 24:13.000]  He was a sniper there years before World War II began. That's the real character they built Mission Impossible off of. He's the guy that ran the operation to kill Kenny in Dallas, a little bit of background history.
[24:13.000 --> 24:30.000]  But they were there. And it was supposedly to kick the Japanese out and build China up as a capitalist nation. You imagine China as a capitalist nation, a free nation? No, no, no, no, no.
[24:30.000 --> 24:45.000]  So the intelligentsia and the people that ran the CIA at the top put Mao Zedong into power so they could hobble China and control it and then build it up.
[24:45.000 --> 24:52.000]  And later, by the 70s, launch it to take over the planet in the future and be the model. And now it is.
[24:52.000 --> 25:08.000]  That's where they perfect the human cloning and the chimeras and the surveillance and the death camps and the apple factories and the drones controlling people and robots, combat robots now armed on the streets and mobile execution vans.
[25:08.000 --> 25:19.000]  No judge, no jury, no, no trial, no jail cell. You're just picked up. You're gone. Your organs flown out to Europe or Japan to be put in somebody.
[25:19.000 --> 25:32.000]  So China's a big spare parts, human body parts, auto parts store. It's everything. It's, it's the wild, wild West.
[25:32.000 --> 25:37.000]  So why do I get a little history lesson here before we get into what's currently happening?
[25:37.000 --> 25:53.000]  This is a globalist, deep state, scripted, choreographed, propagandized, programmed, roll out with drills, disease X, UN, 201, event 201, all the TV shows, all the scripting.
[25:53.000 --> 26:00.000]  The left saying it's not dangerous so it would incubate, spread, China closes its borders, but let's flights still come in the U.S.
[26:00.000 --> 26:07.000]  The left says go out, have fun, they know damn well what they're doing. Several Democrat politicians are hiding everywhere a month ago.
[26:07.000 --> 26:14.000]  Then they say Trump doesn't respond. They hit the economy, their main target, which they admitted was their main target.
[26:14.000 --> 26:20.000]  And now they're going to say every death is Trump's fault. We know that, but a couple thousand deaths now in New York.
[26:20.000 --> 26:25.000]  This is going to end up being a really, really bad flu. It is a weaponized cold virus.
[26:25.000 --> 26:35.000]  It does have four delivery systems. It does attack the lungs, the heart, the testicles.
[26:35.000 --> 26:44.000]  It's everything the globalists said they wanted and the way the big corporations followed the communist regime, the way the corrupt EU followed it,
[26:44.000 --> 26:54.000]  the way the corporations locked down first, the Democrats locked down their cities first and said, Trump, you must to stampede the public into the new way of life,
[26:54.000 --> 26:59.000]  the new way of life, the post-human world where you work from home because you're being made obsolete.
[26:59.000 --> 27:03.000]  This is all the carbon neutral extinction rebellion.
[27:03.000 --> 27:15.000]  UN admitted revolution to drive you off the land, to drive you out of your job, to kill your economy, so you're not the happy fat
[27:15.000 --> 27:28.000]  trolls that are out there not wanting the revolution. They got to make it so horrible and destroy it so they can be the saviors even while they destroy and enslave you.
[27:28.000 --> 27:33.000]  And that's why that's the plot for Vita Vendetta. That's why it's the plot of X-Files. That's why it's the plot of The Simpsons.
[27:33.000 --> 27:37.000]  The exact plots of what's going on that will say, well, why is it all these shows and movies?
[27:37.000 --> 27:43.000]  Because it's in the Rockefeller Foundation reports. It's in the Club of Rome reports. It's in them all.
[27:43.000 --> 27:50.000]  It's on record. What is the John Birch Society? I'm not even part of it, but everything I ever saw them write or do turned out to be accurate.
[27:50.000 --> 28:00.000]  John Birch was an Army officer. The Chai comms captured him. Our government knew they tortured him to death. He didn't give up any of the secrets.
[28:00.000 --> 28:09.000]  But he represented hundreds of Americans tortured. And the Army is corrupt and has its problems like any big old institution.
[28:09.000 --> 28:17.000]  But it saw the CIA do that and already knew it was globalist and there's been a fight between the Army and the CIA ever since.
[28:17.000 --> 28:27.000]  And that's why the CIA has the robot army. The 10,000 Predator Drones alone. And that's why it runs all those operations because the CIA is just the biggest intelligence agency.
[28:27.000 --> 28:36.000]  It got all the funding to get rid of naval intelligence and army intelligence and all the rest of it and get all the funding to then control and corral that and get its people in.
[28:36.000 --> 28:46.000]  But as soon as the military realizes that it's checkmate and now Trump's bringing his people into the CIA and that's why there's a giant civil war because we're that close to taking the government back.
[28:46.000 --> 29:07.000]  We're on the march. The empire's on the run. But the fight is now intensifying. So get ready.
[29:16.000 --> 29:34.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house. I sued the IRS in one.
[29:34.000 --> 29:42.000]  I beat the IRS then and I've been beating them ever since. I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[29:42.000 --> 29:48.000]  I can help you too. If you owe taxes, you can't pay. Don't wait another day. There's no such thing as a hopeless tax case.
[29:48.000 --> 29:58.000]  Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[29:58.000 --> 30:12.000]  Alex Jones here with some good news. Two weeks ago we had to stop taking new storeable food orders because the company that supplies us was backed up and was busy getting out the orders they had.
[30:12.000 --> 30:16.000]  Now they've opened up two more factories. They've bought a whole bunch more high quality food. They're packaging it right now and they're going to be able to ship it out to you very soon.
[30:16.000 --> 30:30.000]  So get your orders in now. Every other major food manufacturer in the storeable food area has been sold out for a long time. Many of them are still telling you they got food. They don't. We do, but it takes time to package it and get it out to you.
[30:30.000 --> 30:44.000]  The bad news is, hey, I hope the virus blows over, but the globalist trying to cancel the election and the economy may go south now more than ever is the time to have high quality storeable food and the place to get it is infowarstore.com.
[30:44.000 --> 30:56.000]  A lot of you have gotten food from us. You've loved it. It's been very helpful for you and your family. Now is the time to double down with as crazy as this world is. If they're able to take Trump down, we are screwed. We've got to fend for ourselves.
[30:56.000 --> 31:14.000]  This is infowarstore.com. One of the best nutrients nature has provided beetroot has been used for hundreds of years in natural medicine. Now you can experience the power of this ingredient today with basso bead from infowar's life. Guaranteed to be the next addition to your daily routine, basso bead is the most concentrated liquid bead extract on the market.
[31:14.000 --> 31:28.000]  Fully utilizing the heart healthy nitrates and antioxidants to support your mind and body, basso bead is great for anyone looking to support a healthy living or athletic performance. So check out one of the most incredible ingredients today with basso bead from infowar's life.
[31:44.000 --> 31:59.000]  This brand new donation module donating to support the infowar's crew has never been easier. You asked, we delivered. This easy option gives you the means to donate directly to the cause. Remember we're all part of the fight. Info wars brought to you by you.
[32:15.000 --> 32:42.000]  For 26 years, Alex Jones and info wars have been sounding the alarm for patriots worldwide, waking people up to the new world order. Bohemian Grove, the American deep state, the rise of communist China, the plan for global depopulation and global elite pedophiles who pray off of our young.
[32:42.000 --> 32:57.000]  The enemy has done their best to destroy us, but because of your support, our fight continues. Join us, support the info war, and together we will slay the dragon. Keep fighting Alex, you're the gladiator.
[32:57.000 --> 33:09.000]  You're listening to the Alex Jones show.
[33:27.000 --> 33:47.000]  Welcome back, ladies and gentlemen. I'm Alex Jones, your host.
[33:47.000 --> 34:03.000]  You know, the kleptocrats, the psychotics sociopaths think that those of us that believe in something, that stand for something, are idiots. They think Machiavellian manipulation is the key.
[34:03.000 --> 34:17.000]  But notice it's the societies that are based on justice and freedom and at least shoot for that, that go the highest and the best, and where people are empowered. It's the places where everybody gets Machiavelli that turn into the Middle East.
[34:17.000 --> 34:33.000]  I'm going to go to Mike Adams in a moment. He's hosting the fourth hour. I want to show you these articles. FDA approves use of Trump supported drug to fight coronavirus as positive results emerge. It already did in Europe.
[34:33.000 --> 34:49.000]  Man with coronavirus 19, COVID-19 says hydroxychloroquine saved him along with ZPAC. That's Fox News. New Jersey doctor gives update on use of hydroxychloroquine.
[34:49.000 --> 35:09.000]  Governor Whitmer, who said she'd arrest doctors that gave it out last week's reverses. Of course, on coronavirus drugs is now asking Feds for hydroxychloroquine and chloroquine itself, an FDA breakthrough treatment.
[35:09.000 --> 35:31.000]  And here's Zink at the NIH saying it's antiviral. That's the NIH. NIH.gov. Just type in Zink. It just says it's antiviral and essential to fighting off viruses and it just all says it right here. But CNN, ABC News, all of them attack me and say, you shut your filthy American mouth.
[35:31.000 --> 35:42.000]  You don't say hydroxychloroquine. All these studies is 90-plus percent effective. You don't say Zink is key. I don't care you have a medical doctor on. They can't say it. There is no hope.
[35:42.000 --> 35:49.000]  Because we're going to talk about some scary stuff here, but these people are failing.
[35:49.000 --> 36:02.000]  Look at media matters. Last week, they're the ones that got us banned off the Google app we've now learned. Look at this right here. It says right here, Jones promotes hydroxychloroquine. And it says I'm a fraud.
