[00:00.000 --> 00:29.700]  This is the GCN Radio Network.
[14:14.700 --> 14:18.700]  Notice how he acts like it's some free market thing.
[14:18.700 --> 14:20.700]  That's a $45 billion deal.
[14:20.700 --> 14:22.700]  That'll just bring federal control over the insurance companies.
[14:22.700 --> 14:24.700]  It was truly competitive bidding.
[14:24.700 --> 14:25.700]  It might be a good idea.
[14:25.700 --> 14:31.700]  But that's 40 something billion out of a three and a half trillion dollar budget so he can act like he's some libertarian.
[14:31.700 --> 14:32.700]  Keep going.
[14:32.700 --> 14:36.700]  Lenders won't like the idea that we're ending their huge taxpayer subsidies.
[14:36.700 --> 14:41.700]  But that's how we'll save taxpayers nearly $50 billion and make college-
[14:41.700 --> 14:42.700]  Stop right there.
[14:42.700 --> 14:46.700]  Ending, ending special interest.
[14:46.700 --> 14:48.700]  I mean, this is just keep going.
[14:48.700 --> 14:54.700]  I know that oil and gas companies won't like us ending nearly $30 billion in tax breaks.
[14:54.700 --> 14:58.700]  But that's how we'll help fund a renewable energy economy that will create new jobs.
[14:58.700 --> 15:02.700]  Stop right there. That's just a new tax. The oil companies will just raise prices.
[15:02.700 --> 15:04.700]  That'll be passed on to you.
[15:04.700 --> 15:07.700]  The oil companies, while they're corrupt, they bought up most of the refineries in the U.S.
[15:07.700 --> 15:10.700]  and shut them down to artificially create a bottleneck.
[15:10.700 --> 15:15.700]  They're not involved in most of the big countries in the fields and the actual profits to go to the central banks.
[15:15.700 --> 15:18.700]  So another bait and switch, looting one of the few industries we had left.
[15:18.700 --> 15:19.700]  Keep going.
[15:19.700 --> 15:20.700]  Distries.
[15:20.700 --> 15:26.700]  In other words, I know these steps won't sit well with the special interests and lobbyists who are invested in the old ways of doing business.
[15:26.700 --> 15:32.700]  Stop it again. The lobbyist. This is Mr. Lobbyist who promised he wouldn't hire one lobbyist or donor.
[15:32.700 --> 15:34.700]  That's all he's done. Keep going.
[15:34.700 --> 15:39.700]  Steering up for a fight as we speak. My message to them is this. So am I.
[15:39.700 --> 15:40.700]  Oh, come on.
[15:40.700 --> 15:45.700]  The system we have now might work for the powerful and well-connected interest.
[15:45.700 --> 15:46.700]  Stop right there.
[15:46.700 --> 15:50.700]  I mean, ladies and gentlemen, when we come back, I'm going to finish up with comments on this.
[15:50.700 --> 15:56.700]  He is the special interest, but instead of just the low-level corporations getting some goodies,
[15:56.700 --> 16:01.700]  it's all got to go to the banks because once they bankrupt the nation or a third-world country,
[16:01.700 --> 16:05.700]  then all the money goes to the banks on interest, nothing else.
[16:05.700 --> 16:08.700]  So it is true that some of the board members are going to be cut,
[16:08.700 --> 16:13.700]  but the overall spending is going to increase because it all goes to the new world order. Stay with us.
[16:13.700 --> 16:17.700]  This year, many of us will have to make the tough decision on what to cut back on
[16:17.700 --> 16:21.700]  and what's essential as we prepare for an uncertain future.
[16:21.700 --> 16:26.700]  In these troubled times, one of the most important things your family can have is good health.
[16:26.700 --> 16:30.700]  Some of the contributors to poor health are parasites, viruses, toxins and heavy metals.
[16:30.700 --> 16:32.700]  It's a documented fact.
[16:32.700 --> 16:39.700]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[16:39.700 --> 16:45.700]  Now you can fight internal parasites, heavy metals and high cholesterol naturally and safely
[16:45.700 --> 16:52.700]  by mixing fossilized phytoplankton powder, also known as FPP with your favorite beverage once a day.
[16:52.700 --> 16:56.700]  FPP is now available to you from FreshwaterOrganics.com.
[16:56.700 --> 16:59.700]  A two-month supply starts at just $17.
[16:59.700 --> 17:03.700]  FPP is so affordable you can't afford to do without.
[17:03.700 --> 17:10.700]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[17:10.700 --> 17:13.700]  That's 888-949-3570.
[17:13.700 --> 17:18.700]  Hello, this is Peter Cronch Novel from Midos Resources and I'd like to share some thoughts with you.
[17:18.700 --> 17:23.700]  In today's economy, with the government spending on wild, the banking system on the verge of collapse
[17:23.700 --> 17:30.700]  and Wall Street and continuous freefall, we both know that it's critical that you protect your savings and retirement programs now.
[17:30.700 --> 17:36.700]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[17:36.700 --> 17:38.700]  It's purchase of gold and silver.
[17:38.700 --> 17:44.700]  These precious metals have been the trusted means of exchange for centuries and they've never been more important in our country's history.
[17:44.700 --> 17:49.700]  It's up to you to design your survival plan, one based on gold and silver.
[17:49.700 --> 17:55.700]  Give me a call. I'm Peter Cronch Novel at 800-686-2237, extension 108.
[17:55.700 --> 17:58.700]  And allow me to outline an easy answer to your questions.
[17:58.700 --> 18:04.700]  That's Peter Cronch Novel at 1800-686-2237, extension 108.
[18:04.700 --> 18:12.700]  Call Peter at 1800-686-2237, extension 108, while you can still purchase gold with paper.
[18:15.700 --> 18:17.700]  Life Change T sets the standard.
[18:17.700 --> 18:24.700]  Have you heard on radio all the new T's with funny names, movie stars, celebrities, endorsing these products and so on?
[18:24.700 --> 18:29.700]  Have you checked the results? Not the pictures of the Bikini babes and such, but the results.
[18:29.700 --> 18:34.700]  Have you checked the pricing and the funky three month contracts and all that stuff?
[18:34.700 --> 18:37.700]  Have you checked the results? Oh, that's right. I said that.
[18:37.700 --> 18:39.700]  Did you check the ingredients and you checked for caffeine?
[18:39.700 --> 18:42.700]  Yeah. Life Change T is the real deal.
[18:42.700 --> 18:48.700]  Not a new Yippee-y-yay T, but a T if you drink it daily, it'll change your life and it will clean your body.
[18:48.700 --> 18:50.700]  Our middle name is Results.
[18:50.700 --> 18:53.700]  You can pay more and you can have a celebrity smile or you can get results.
[18:53.700 --> 18:56.700]  Your call. Or should I say, make the call.
[18:56.700 --> 19:04.700]  Get the T at 928-308-0408. That's 928-308-0408.
[19:04.700 --> 19:07.700]  Or you can order online at GetTheT.com.
[19:07.700 --> 19:12.700]  That's GetTheT.com. Order now for real results.
[19:12.700 --> 19:16.700]  Everyone knows that Omega 3 should be an essential part of our daily diet.
[19:16.700 --> 19:22.700]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[19:22.700 --> 19:26.700]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[19:26.700 --> 19:29.700]  Nature's Gem, Premium Omega 3.
[19:29.700 --> 19:35.700]  Unlike other flax seed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[19:35.700 --> 19:40.700]  and longer summer hours, producing the highest quality premium golden flax seed around.
[19:40.700 --> 19:45.700]  In addition, we selectively harvest and sort flax seeds by size and weight,
[19:45.700 --> 19:49.700]  keeping only the best seeds that can produce the highest abundance of Omega 3.
[19:49.700 --> 19:52.700]  The result is a delicious, nutty, buttery flavor.
[19:52.700 --> 19:58.700]  Nature's Gem Golden Flax is pure. There is nothing added and nothing taken away and non-GMO.
[19:58.700 --> 20:00.700]  We offer a 100% money back guarantee.
[20:00.700 --> 20:04.700]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[20:04.700 --> 20:11.700]  GoldenFlax.com. Or call 800-387-5516. That's 800-387-5516.
[20:11.700 --> 20:13.700]  Free shipping included.
[20:15.700 --> 20:17.700]  You are listening to GCN.
[20:17.700 --> 20:21.700]  Visit GCNLive.com today.
[20:36.700 --> 20:40.700]  We're back live. Thank you for joining us.
[20:40.700 --> 20:48.700]  If you go up to WhiteHouse.gov with the audio we're playing for the video, the headline is Keeping Promises.
[20:48.700 --> 20:50.700]  All he does is break them.
[20:50.700 --> 20:52.700]  So he's going to fight special interest.
[20:52.700 --> 20:58.700]  $9.7 trillion during Bush in the last few months and then under Obama in the last month and a half
[20:58.700 --> 21:01.700]  has gone to offshore banks with no strings attached.
[21:01.700 --> 21:05.700]  He talks about no business as usual. He's going to fight special interest.
[21:05.700 --> 21:08.700]  I mean, this is sick. Here it is.
[21:08.700 --> 21:15.700]  In other words, I know these steps won't sit well with the special interests and lobbyists who are invested in the old ways of doing business.
[21:15.700 --> 21:18.700]  And I know they're gearing up for a fight as we speak.
[21:18.700 --> 21:22.700]  My message to them is this. So am I.
[21:22.700 --> 21:29.700]  The system we have now might work for the powerful and well-connected interests that have run Washington for far too long.
[21:29.700 --> 21:32.700]  But I don't. I work for the American people.
[21:32.700 --> 21:33.700]  Stop right there.
[21:33.700 --> 21:38.700]  Oh, really? Is that why you brought in all the former Bush people and Clinton people?
[21:38.700 --> 21:46.700]  Like Larry Summers who actually got rid of the different laws that allowed the banks to create all these derivatives in the 1990s.
[21:46.700 --> 21:52.700]  And Bush continued it, but to sit there and say that this is not business as usual. This is something new.
[21:52.700 --> 22:00.700]  It is new. You're just letting those that have raped us and looted this nation do it even at a bigger level on a higher plane.
[22:00.700 --> 22:04.700]  I can't listen anymore of it. Let's go ahead and go to another big fat lie by this guy.
[22:04.700 --> 22:06.700]  Here's a headline out of Reuters.
[22:06.700 --> 22:13.700]  Obama says combat operations in Iraq to end in August of 2010 or 18 months from now.
[22:13.700 --> 22:19.700]  Well, you read the Pentagon really says they'll start looking then at withdrawing some of the combat forces,
[22:19.700 --> 22:24.700]  but leaving 50,000 U.S. troops there in all these bases that they built.
[22:24.700 --> 22:25.700]  They were never going to leave.
[22:25.700 --> 22:29.700]  And leaving at least 100,000 mercenaries there. There's 200,000 there now.
[22:29.700 --> 22:33.700]  That's 150,000 troops in support.
[22:33.700 --> 22:40.700]  And now they want a million person domestic military that will be here in the U.S. and overseas to get around Posse Comitatus.
[22:40.700 --> 22:45.700]  And what does this new million person civilian army do?
[22:45.700 --> 22:48.700]  It occupies countries. The globalists take over using U.S. force.
[22:48.700 --> 22:54.700]  The bankers use us as their attack dog to take countries over and then we pay for it and tax money.
[22:54.700 --> 23:00.700]  And all these idiot good old boys, I hear them call talk radio. Yeah, we're taking the oil. That's why we do so good.
[23:00.700 --> 23:06.700]  No idiot. Because of all of that, they don't explore for oil here. It hurts our economy and you pay for it.
[23:06.700 --> 23:08.700]  Oh, it makes me sick.
[23:08.700 --> 23:13.700]  Now, we've heard this end of major combat operations before. It's the same Pentagon lies.
[23:13.700 --> 23:15.700]  Remember under Bush the last six years? Yes.
[23:15.700 --> 23:23.700]  Coming up the 14th of this month, it'll be six years since 2003 that the troops have been there when they promised they'd be home in six months.
[23:23.700 --> 23:27.700]  Remember Bush on the deck of an aircraft carrier. Major combat operations are over.
[23:27.700 --> 23:54.700]  Well, now Obama's saying what?
[23:57.700 --> 24:17.700]  Well, in 16 to 23 months major combat operations might be over.
[24:17.700 --> 24:21.700]  History book says U.S. back, but it's globalist back. They control us.
[24:21.700 --> 24:27.700]  And then they he attacked Iran with U.S. funding. Then the U.S. told him go ahead and attack.
[24:27.700 --> 24:31.700]  April Gillespie U.S. ambassadors to go ahead and attack Coate.
[24:31.700 --> 24:40.700]  And then they had 14 years of siege a million and a half Iraqis died and then a million 300 plus thousand have died in the last six years of occupation.
[24:40.700 --> 24:42.700]  But it doesn't matter.
[24:42.700 --> 24:51.700]  Reality doesn't matter. They'll just put out three doors down music videos and kid rock music videos showing the troops playing soccer with the kids over there.
[24:51.700 --> 24:54.700]  And again, people say, oh, don't you be anti military in Germany?
[24:54.700 --> 24:58.700]  I would have been against the military because Hitler controlled it in Russia.
[24:58.700 --> 25:04.700]  I wouldn't be against their military against Stalin controlling it or mal controlling the Chinese military.
[25:04.700 --> 25:08.700]  In every case in history, when you have tyranny, they use the military against the people.
[25:08.700 --> 25:16.700]  They're openly announcing they're going to use the military against us here in the U.S. They've hired felons, aggravated felons, illegal aliens, aggravated illegal aliens.
[25:16.700 --> 25:20.700]  Not just criminals, but illegal aliens that are criminals. That's what's making up the military.
[25:20.700 --> 25:26.700]  That's how they're making our military a foreign force.
[25:26.700 --> 25:28.700]  The country has been captured by offshore banks.
[25:28.700 --> 25:34.700]  Now, if you love the illusion of we're the good guys and everything's fine and you're going to lose your pension fund.
[25:34.700 --> 25:37.700]  You're going to lose your stock market. You're going to lose your 401k.
[25:37.700 --> 25:41.700]  The IMF, the World Bank, openly say they're going to make us a third world country.
[25:41.700 --> 25:43.700]  They don't like their being middle classes.
[25:43.700 --> 25:49.700]  They're going to use the carbon taxes over every facet of your life to break you, to break me.
[25:49.700 --> 25:54.700]  This is going to happen. How many things do I have to be right about over the years?
[25:54.700 --> 26:00.700]  I have their own battle plans.
[26:00.700 --> 26:02.700]  By the way, I'm making a film. It's basically done today.
[26:02.700 --> 26:08.700]  And it's going on to be manufactured tomorrow. And I finally wrote the back cover last night for the film,
[26:08.700 --> 26:11.700]  The Obama Deception. And I think this sums up what's happening.
[26:11.700 --> 26:18.700]  The Obama Deception is a hard-hitting film that completely destroys the myth that Barack Obama is working with the best interest of the American people.
[26:18.700 --> 26:22.700]  The Obama phenomenon is a hoax, carefully crafted by the captains of the New World Order.
[26:22.700 --> 26:28.700]  He is being pushed as savior in an attempt to con the American people into accepting global slavery.
[26:28.700 --> 26:34.700]  We have reached a critical juncture in the New World Order's plans. It's not about left or right, it's about a one-world government.
[26:34.700 --> 26:37.700]  Being openly announced, I would add.
[26:37.700 --> 26:42.700]  The International Bankers plan to loot the people of the United States and turn them into slaves on a global plantation.
[26:42.700 --> 26:48.700]  Covered in this film, who Obama works for, what lies he is told, and the real agenda.
[26:48.700 --> 26:52.700]  If you want to know the facts and cut through all the hype, then this is the film for you.
[26:52.700 --> 26:58.700]  That's right, if you don't want to be a sucker, you want to know reality, not what you make up in your head of the TV tells you this is the film.
[26:58.700 --> 27:05.700]  Watch The Obama Deception and learn how Obama is continuing the process of transforming America into something that resembles Nazi Germany,
[27:05.700 --> 27:13.700]  which forces national service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, FEMA camps, and martial law.
[27:13.700 --> 27:20.700]  All of that's now mainstream news. It's not just Alex telling you 12 years ago it was being set up, it's now public, because they're getting ready to go with it.
[27:20.700 --> 27:28.700]  Obama's handlers are openly announcing the creation of a new bank of the world that will dominate every nation on earth through carbon taxes and military force.
[27:28.700 --> 27:35.700]  International bankers are purposefully engineering the worldwide financial meltdown to bankrupt the nations of the planet and bring in world government.
[27:35.700 --> 27:42.700]  Obama plans to loot the middle class, destroy pensions, and federalize the states so the population is completely dependent on the central government.
[27:42.700 --> 27:53.700]  The elite are using Obama to pacify the public so they can usher in the North American Union by stealth, launch a new Cold War, and continue the occupation of Iraq and Afghanistan.
[27:53.700 --> 27:58.700]  The information contained in this film is vital to the future of the republic and to freedom worldwide.
[27:58.700 --> 28:12.700]  President Obama is only the tool of a larger agenda. Until, until all are made aware, humanity will remain captive of the masters of the new world order.
[28:12.700 --> 28:20.700]  And I got a call about this Friday and I YouTube it and did find it. I meant to bring it in guys, we'll look for it during a break.
[28:20.700 --> 28:28.700]  Rush Limbaugh Friday said, yes, there's a world government, a bank of the world, a new world order is going to run America, but the liberals are behind it.
[28:28.700 --> 28:39.700]  All those years he said it didn't exist, all those years he said it wasn't real. And I was asking on the air a few weeks ago, how is Hannity and Limbaugh and all of them still saying there's no plan for a world government when the Wall Street Journal,
[28:39.700 --> 28:52.700]  The New York Times, The Washington Post, The Associated Press, Reuters, The Times of London, The Financial Times of London, hundreds of Time Magazine Newsweek announcing world government with a world bank ruling us.
[28:52.700 --> 29:02.700]  How would they deny that? They can't deny it. See now they think it's too late for us to stop it. Now it's going public, so they're having to admit it's real.
[29:02.700 --> 29:13.700]  Ladies and gentlemen, we can still defeat this. If you will wake up, face the facts, get the word out. Stay with us, ladies and gentlemen, don't forget the ObamaDeception.net.
[29:33.700 --> 29:42.700]  Unless you expect the government to bail you out, you must be able to grow your own healthy food.
[29:42.700 --> 30:03.700]  Survivalistseeds.com has just released a brand new heirloom seed pack at a dramatically reduced price, dramatically reduced, so you and your family have a long term food solution. The choice between starvation and freedom is made by you right now. Go to survivalistseeds.com.
[30:03.700 --> 30:32.700]  It's a new year full of uncertainties. People are being laid off in record numbers. The price of food continues to rise, and the economy continues to falter. You know that you need to prepare, and maybe you've been putting it off, but the time to act is now.
[30:32.700 --> 30:47.700]  Now you need to visit organicaseed.com. At organicaseed.com you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
