[00:00.000 --> 00:24.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[03:35.000 --> 03:57.000]  Dr. Cassacea pointed to the published incidents that the WorldNet Daily had previously reported on including how in May of 2014, Bill Clinton told the audience that the concussion Hillary suffered required six months of very serious work to get over.
[03:57.000 --> 04:07.000]  You may recall the Fresnel glasses that Hillary was wearing during the Benghazi hearings to treat double vision resulting from her concussion and blood clot.
[04:07.000 --> 04:09.000]  She's wearing those glasses again.
[04:09.000 --> 04:21.000]  As far back as 2013, two of Hillary's assistants, Huma Abedin and Monica Hanley, said it was very important to go over phone calls with Hillary because she was often confused.
[04:21.000 --> 04:27.000]  Then there was the odd five minute bathroom break at the third Democratic debate in New Hampshire.
[04:27.000 --> 04:33.000]  Hillary was actually sitting off stage recovering from dizziness, fatigue, and disorientation.
[04:33.000 --> 04:39.000]  Hillary Clinton is nothing less than a new world order puppet of a very dark order.
[04:39.000 --> 04:47.000]  May the Providence invested by the good people of the United States prevent Hillary Clinton from wielding the highest power on Earth.
[04:47.000 --> 04:52.000]  John Bowne for Infowars.com
[05:18.000 --> 05:23.000]  Like cilantro, milk thistle, folvic acid, orange peel, zeolites, and others.
[05:23.000 --> 05:25.000]  Deep cleanse doesn't hold back.
[05:25.000 --> 05:34.000]  Instead of buying five, six, or even seven different cleansing products, we use decades old scientific research that puts together the Rolls Royce of all in one cleansing.
[05:34.000 --> 05:41.000]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietaries by Jurex herbal processing technique.
[05:41.000 --> 05:47.000]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[05:47.000 --> 05:52.000]  If you wish to find deep cleanse and experience the all in one cleansing, visit infowarslife.com.
[05:52.000 --> 06:21.000]  At infowarslife.com or call 888-253-3139.
[06:22.000 --> 06:27.000]  Waging war on corruption.
[06:27.000 --> 06:38.000]  It's Alex Jones coming to you live from the front lines of the Infowar.
[06:38.000 --> 06:44.000]  That's a new track off the Megadeth album, The A Day Mustain.
[06:44.000 --> 06:51.000]  The threat is real.
[06:51.000 --> 07:11.000]  It was a decade ago, ladies and gentlemen, that I told you that I'd talked to high level military officers and I'd also talked separately to family that it was in the time was involved in Army Special Operations.
[07:11.000 --> 07:27.000]  And when I brought up the fact that Iraq doesn't have nukes and didn't have nukes, but Iran and Saudi Arabia do, the family members mouth fell open and he never tells me anything.
[07:27.000 --> 07:31.000]  He even thinks he didn't get promoted once because of the family association.
[07:31.000 --> 07:42.000]  He likes the show, he's a patriot, super patriot, but does not tell me basically what he thinks the weather is going to be concerning the military, obviously because of the close family connection.
[07:42.000 --> 07:47.000]  And it was his dad that was like the Army assassin before that.
[07:47.000 --> 07:52.000]  And his mouth fell open and he goes, how do you know that?
[07:52.000 --> 07:54.000]  Because that was nowhere in the news then.
[07:54.000 --> 08:05.000]  And he said that's exactly what we've been briefed on basically, that any time a nuclear war could start between Iran and Saudi Arabia.
[08:05.000 --> 08:09.000]  And that that's really what the Pentagon is constantly in the Middle East about and freaked out about.
[08:09.000 --> 08:18.000]  And the Pentagon did not want to go into Iraq a second time, thought it was really bad, thought Iran or Saudi Arabia would come in and take over, which they both basically done.
[08:18.000 --> 08:34.000]  Saudi Arabia runs the ISIS group into Syria trying to take that and then the Shiites backed by Hezbollah and Iran are in the eastern area and then into Syria as well.
[08:34.000 --> 08:37.000]  It is a disaster.
[08:37.000 --> 08:41.000]  And so the biggest news of the day is not Donald Trump winning South Carolina.
[08:41.000 --> 08:51.000]  It is not Hillary obviously having serious health problems and clear videos of her stealing Nevada as well.
[08:51.000 --> 08:53.000]  No, that's not.
[08:53.000 --> 08:56.000]  That's not the issue.
[08:56.000 --> 09:10.000]  The issue for me looking at this is the fact that Saudi Arabia on international television and the article in the videos up on info wars.com has come out last week and said,
[09:10.000 --> 09:23.000]  we're sending ground troops into Syria to fight the Russians and the Russians better back off because we have nuclear weapons.
[09:23.000 --> 09:28.000]  Yeah, but they have nuclear weapons to and better than yours.
[09:28.000 --> 09:35.000]  So everybody's so scared of quote, you know, let's go provide the airport or the radical Muslims are going to blow us up.
[09:35.000 --> 09:43.000]  But our government has allowed nuclear weapons to be transferred.
[09:43.000 --> 09:46.000]  The word is from Israel.
[09:46.000 --> 09:54.000]  And Israel was talking about giving them nukes two years ago, and also the delivery systems as well as from Pakistan.
[09:54.000 --> 09:56.000]  And everybody knows I'm not an Israel basher.
[09:56.000 --> 10:03.000]  I also know there's a bunch of political parties over there just like America and they and they've got their own problems and I'm and I'm critical all the time.
[10:03.000 --> 10:13.000]  I don't have some weird mental illness attached to obsessing over Israel and blaming everything on Israel and you know, just it's it's it's crazy.
[10:13.000 --> 10:15.000]  I don't mindlessly worship it and follow it.
[10:15.000 --> 10:17.000]  I don't also don't just mindlessly hate it.
[10:17.000 --> 10:24.000]  But I mean, Israel has been involved in a lot of really bad hanky pinky with Saudi Arabia.
[10:24.000 --> 10:25.000]  And I frankly am tired of it.
[10:25.000 --> 10:27.000]  And so is Pakistan.
[10:27.000 --> 10:28.000]  Here's the article.
[10:28.000 --> 10:30.000]  Saudis claim to have nuclear bomb.
[10:30.000 --> 10:34.000]  Pakistan has agreed to deliver nuclear weapons to Riyadh.
[10:34.000 --> 10:35.000]  They already had them.
[10:35.000 --> 10:38.000]  They're just now claiming it's from Pakistan.
[10:38.000 --> 10:41.000]  They said last year we have that in the article.
[10:41.000 --> 10:50.000]  I shot a video last night on the subject where I show myself 10 years ago, five years ago last year, also doing videos on this and showing it in mainstream news.
[10:50.000 --> 10:55.000]  Then I mean, it's known that South Africa had nukes when they weren't supposed to in the 80s.
[10:55.000 --> 10:59.000]  It's known that Israel's had nukes since the 60s and still doesn't admit it.
[10:59.000 --> 11:03.000]  It's known that France has nukes, but they're not supposed to.
[11:03.000 --> 11:08.000]  And then they took their nukes back when De Gaulle took back over.
[11:08.000 --> 11:10.000]  So I'm not telling some big secret here.
[11:10.000 --> 11:21.000]  It's just that it's not publicly admitted, but it's a big deal that they're saying they have them and threatening to use them inside Syria.
[11:21.000 --> 11:24.000]  That is a big deal.
[11:24.000 --> 11:39.000]  Meanwhile, on the military front, Chinese media calls for government to fire shots and ram US warships at state run media to teach them a lesson over disputed China sea islands.
[11:39.000 --> 11:42.000]  Well, I don't choose sides in the geopolitical stuff.
[11:42.000 --> 11:44.000]  I choose the side of truth and research.
[11:44.000 --> 11:46.000]  China's in the wrong here.
[11:46.000 --> 11:51.000]  These are sandcastles they've built with these dredges and the three foot sea out there near the islands.
[11:51.000 --> 11:58.000]  And then they're claiming 12 miles on every side of the navigable waters that is not under China's control.
[11:58.000 --> 12:10.000]  They're claiming not just the Spratly, but they're also claiming that they control islands that have been the domain of the Philippines since the days of the Barbary pirates.
[12:10.000 --> 12:19.000]  So China is just trying to start some type of military operation to divert from the fact that they are collapsing.
[12:19.000 --> 12:23.000]  Now, we're going to be getting into this in detail today.
[12:23.000 --> 12:28.000]  Mark Zuckerberg says that on his reading list is Henry Kissinger's book World Order.
[12:28.000 --> 12:32.000]  And that what he's thinking about these days is New World Order.
[12:32.000 --> 12:40.000]  We're going to get into sneaky change to ran specific partnership drastically extends criminal penalties.
[12:40.000 --> 12:42.000]  International law.
[12:42.000 --> 12:44.000]  International court.
[12:44.000 --> 12:58.000]  We're going to be getting into the big EU push to keep the UK inside the European Union because that could bring down the whole New World Order if that falls apart and so much more today.
[12:58.000 --> 13:04.000]  But obviously, first, before we get into all of that.
[13:04.000 --> 13:17.000]  I want to go over the numbers from what unfolded in South Carolina in Nevada and in other areas.
[13:17.000 --> 13:24.000]  So we're going to be breaking all of that down.
[13:24.000 --> 13:33.000]  But Donald Trump got 32.5% in South Carolina.
[13:33.000 --> 13:47.000]  Rubio was a distant 22.5 10 crews almost in the dead heat 22.3 Jeb Bush 7.8 K6 7.6 Ben Carson 7.2.
[13:47.000 --> 13:56.000]  And similar numbers we've been seeing in polls in the next states to come up.
[13:56.000 --> 14:06.000]  Donald Trump handily won that state but here's what really matters and here's what we really need to go over.
[14:06.000 --> 14:21.000]  And that's the fact that Donald Trump got 67 total delegates now in these last three caucus and primaries and his closest rival.
[14:21.000 --> 14:31.000]  It's not like Formula One where you get points so you get 22 points and Trump gets 32 so you're still close a close second.
[14:31.000 --> 14:48.000]  It's winter take all in places like South Carolina and Trump has 67 delegates and crews has 11 Rubio 10 K6 5 Carson 3 and of course Jeb Bush 0.
[14:48.000 --> 14:53.000]  And that's why Jeb Bush went ahead and punched out.
[14:53.000 --> 14:57.000]  That is a big, big, big deal.
[14:57.000 --> 14:59.000]  And why is that obviously such a big deal?
[14:59.000 --> 15:13.000]  Because most of the money in the last two years went into the exploratory committee in the last year of the campaign of Jeb Bush, obviously the son of Bush 41, the brother of Bush 43.
[15:13.000 --> 15:20.000]  And the fact that the media was behind him for so long, the fact that they kept him in the debates, the fact that he couldn't get one delegate,
[15:20.000 --> 15:27.000]  shows how the House of Bush started with Senator Prescott Bush being the main Nazi banker in the U.S.
[15:27.000 --> 15:36.000]  All the way up to his son being CIA director in the 70s and then being vice president under Reagan, then president, then his son after Clinton becoming president.
[15:36.000 --> 15:39.000]  This is the end of the Bush dynasty.
[15:39.000 --> 15:42.000]  And it's being hailed as that, it's a great thing.
[15:42.000 --> 15:47.000]  We also may be seeing the end of the Clinton dynasty straight ahead in every major poll.
[15:47.000 --> 15:57.000]  Donald Trump will annihilate the man who was a bum until the age of 40, never had a job, until 40, the bum, Bernie Sanders.
[15:57.000 --> 16:01.000]  When cells become toxic, they die early and aging sets in.
[16:01.000 --> 16:09.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[16:09.000 --> 16:14.000]  Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[16:14.000 --> 16:17.000]  You want the best that's out there at the lowest price anywhere?
[16:17.000 --> 16:19.000]  We now have the synergistic solution.
[16:19.000 --> 16:39.000]  We're introducing the best yet, the brand new ProPure ProMax high performance shower filter. It removes and reduces over 200 contaminants while preserving a strong powerful flow.
[16:39.000 --> 16:46.000]  This new four stage filtration process helps protect the largest organ in your body, your skin from the unhealthy contaminants in the water.
[16:46.000 --> 16:57.000]  Find more details on this amazing new filter and free shipping at infowarstore.com or call 888-253-3139 to order your ProMax shower filter from ProPure today.
[16:57.000 --> 17:02.000]  Thousands of years ago, there was a basic form of chivalry.
[17:02.000 --> 17:10.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[17:10.000 --> 17:18.000]  Just the years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[17:18.000 --> 17:23.000]  But in the 21st century, there are silent weapons for quiet war.
[17:23.000 --> 17:32.000]  Pathogens added to the food and water, and to the lining of plastics that destroy our vitality, turn off our hormones, and accelerate our journey towards death.
[17:32.000 --> 17:47.000]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[17:47.000 --> 17:57.000]  Discover why Anthroplex has turned so many heads today. It's time for us to take our bodies back into our own hands and it starts at infowarslife.com with Anthroplex.
[17:57.000 --> 18:06.000]  Brainforce, it's completely different. Try a bottle of it. RobDoo joins us. You worked, I guess, like 20 plus hours. Tell us what Brainforce did.
[18:06.000 --> 18:13.000]  I'd been working all day. I took a couple hours off coaching basketball. I get in here at 8.30. I was kind of run down.
[18:13.000 --> 18:17.000]  You know, I just didn't feel like I was going to make it. And I really wanted to do a good job on the interview.
[18:17.000 --> 18:24.000]  I got my bottle of Brainforce right there. I popped two of them. And about 20 minutes later, it's like, bing, everything just kind of clears up.
[18:24.000 --> 18:37.000]  It's got four and a half stars. People really love it. Read about it. Find out why third-party nutraceutical sites give it such high praise because it really does have the best organic-based systems that will blow your socks off.
[18:37.000 --> 18:47.000]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brainforce. I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brainforce and came in.
[18:47.000 --> 18:56.000]  You will find Brainforce and other game-changing products at infowarslife.com or call 888-253-3139.
[19:17.000 --> 19:27.000]  Join your friends and family along the way. Visit infowarsteam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship,
[19:27.000 --> 19:33.000]  and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[19:33.000 --> 19:43.000]  Another win-win. That's why I'm a member of the young Jebedee team at infowarsteam.com, and you can be too. It's simple. Just go to infowarsteam.com today.
[19:43.000 --> 19:48.000]  Complete a short sign-up and you're part of the team. That's infowarsteam.com or infowarshealth.com.
[19:48.000 --> 20:17.000]  So many people calling to my radio show and telling me how young Jebedee and the products at infowarsteam.com have changed their lives. Check it out for yourself today.
[20:19.000 --> 20:28.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[20:28.000 --> 20:54.000]  It is a big deal to see basically the fall of the arrogant, hereditary, would-be empire of the bushes. And we have a very powerful special report that's going to air in the final segment of this hour. We'll have open phones and cover a lot of financial and world news in the second hour.
[20:54.000 --> 21:09.000]  But our intrepid reporters were able to talk to Jebed Bush in South Carolina not once, but twice this week and bring up the 28 pages that is from the congressional joint inquiry into 9-11 that's also classified to seal.
[21:09.000 --> 21:19.000]  But mirrors classified areas of the 9-11 commission, with six of the 10 commissioners coming out saying there is a cover-up, a smoking gun.
[21:19.000 --> 21:30.000]  Well, I've had members of Congress like Jones of North Carolina, Walter Jones, Senator Rand Paul and others who've seen the classified 28 pages and they clearly come out and say they should not be classified.
[21:30.000 --> 21:36.000]  So I'm going to tell you what's in it. Saudi Arabia ran the attacks. There was an ordered stand down of NORAD and the FBI.
[21:36.000 --> 21:57.000]  Well, I don't have to believe Jones or Paul, even though they're very reputable, courageous men. I remember the news at the time. They had FBI agents all over the United States from Texas to Minnesota to Nevada to Arizona to Florida saying we were ordered to stand down
[21:57.000 --> 22:05.000]  and not stop these people training to not land or take off and telling people they're planning to fly them into the World Trade Center.
[22:05.000 --> 22:13.000]  That's why I talk about the FBI's corrupt at the top and there are major problems in these agencies, but the average person on the ground is not bad.
[22:13.000 --> 22:22.000]  They've got higher ups time and time again that are doing the dirty work. That's why when it's some special task force run by key operatives, then you know, uh-oh, we're in trouble.
[22:22.000 --> 22:29.000]  Like Oklahoma City. We know who was in town. We know who was witness at the building. We know who their names are.
[22:29.000 --> 22:42.000]  And they lied about being there and folks went, rolled that daily went and there were lawsuits and they found the hotel receipts two days before the attack of the ATF and the FBI and German intelligence at the same hotel.
[22:42.000 --> 22:50.000]  We have the witnesses with them doing the phone work in the stairwells with the gray sticks of butter. What's that?
[22:50.000 --> 23:03.000]  Don't worry about it, lady. Well, it looks like butter. Oh, it's butter. All right. Stick little wires in it and put detonators on it. It's called plastic explosives.
[23:03.000 --> 23:19.000]  But I digress. Excuse me. Just realize who we're facing here. Good FBI agents exposed what was going on. And I mean, I'll never forget the headlines with one of the deputy heads of counterterrorism was saying Al Qaeda was always one step ahead of us.
[23:19.000 --> 23:34.000]  It was like they had moles above us at the FBI. Well, you just said it. So Donald Trump comes out. This is really the big seismic move that I freaked out about this week and said specifically, oh, you want to call me 911 truth or all I said is Bush is no hero.
[23:34.000 --> 23:51.000]  It came out in the Conalisa Rice memo that bin Laden determined to attack. They want to use airliners and fly them to the World Trade Center. That was in the FBI report. They lied and said it wasn't there. And so why are you a hero when we get attacked on your watch?
[23:51.000 --> 23:53.000]  You're not a hero.
[23:53.000 --> 23:55.000]  You lose your job. You get in trouble.
[23:55.000 --> 24:11.000]  Head should have rolled. Instead, the whole bureaucracy and the power structure that more of our rights, more of our freedoms and hundreds and hundreds of billions of dollars since then, the private contractors and folks to spy on Congress and the American people and take more of our freedom.
[24:11.000 --> 24:21.000]  And now they're rewriting the Patriot Act to say it's for political speech of conservatives. You thought the persecution via the IRS was bad. Get ready. That's in the news today. That's coming up.
[24:21.000 --> 24:26.000]  And it just shows you how totalitarian the left is in government.
[24:26.000 --> 24:30.000]  That they're making it worse than what Bush did. I was a big critic of Bush.
[24:30.000 --> 24:41.000]  So now we see the fall of the House of Bush, but the Clintons were involved protecting Al Qaeda and blocking the FBI as well. That's why what's in the pages goes back to the mid nineties and right up to 911.
[24:41.000 --> 24:57.000]  And it mirrors what whistleblowers at the NSA like C. Bell Edmonds has said and others that she was to the day of 911 listening to the intercepts where the FBI and the military and Colonel Schaefer and the army were being blocked from stopping Al Qaeda and stopped from killing bin Laden.
[24:57.000 --> 25:10.000]  And she was getting all the intercepts and because she was on that particular case and she was from Turkey and spoke Arabic fluently and heard them bragging about how they were, you know, in bed with our government.
[25:10.000 --> 25:20.000]  She broke her gag order to say our government and the bushes with the bin Laden's who they're in business with at the Carlisle group. They were having breakfast with them the morning of 9 11.
[25:20.000 --> 25:29.000]  Look up the London Guardian and Associated Press at a Carlisle group weapons conference at the same table. George Bush senior Herbert Walker with the bin Laden family.
[25:29.000 --> 25:36.000]  And then they had an order to let the bin Laden's get out of the country on 9 11 and for five days after remember all that.
[25:36.000 --> 25:46.000]  And I would cover that on air. He would be in CBS News local. It would be in the Miami Herald and they would go on national news and go Alex Jones is insane.
[25:46.000 --> 25:53.000]  He's making it up that the bushes let the bin Laden's fly out.
[25:53.000 --> 26:01.000]  And he says Bush had bombs in the buildings like Wiley coyote. That's an actual quote they use on Fox MSNBC. You name it.
[26:01.000 --> 26:11.000]  And that Wiley coyote was there blowing it up. Just like they say that I say space aliens, you know, blow it up. They just make it up.
[26:11.000 --> 26:19.000]  All I did was cover was in mainstream news, actually, but didn't get national coverage.
[26:19.000 --> 26:22.000]  And so Trump comes out.
[26:22.000 --> 26:27.000]  There it is. CBS News actually found it bin Laden family evacuated boom.
[26:27.000 --> 26:31.000]  Number 30 2001 boom. Wow, they found it.
[26:31.000 --> 26:39.000]  So I would cover stuff and then would you say it wasn't true.
[26:39.000 --> 26:46.000]  And Trump comes out and says you're no hero. Stop saying I don't know national security. Stop saying I don't know what I'm talking about.
[26:46.000 --> 26:53.000]  We've got to attack ISIS. We've got to cut their funding off. Stop saying I'm an idiot. You are the one whose brother allowed this to happen bare minimum.
[26:53.000 --> 27:00.000]  Oh, you're a 9 11 truth. And he goes, you know what? I guess I am. The 28 pages says you stood down and I'm going to release that when I'm president.
[27:00.000 --> 27:06.000]  And boy, Jeb Bush put his tail between his legs, shut his mouth and dropped out of the race.
[27:06.000 --> 27:14.000]  And many political pundits are actually saying it was Trump bringing up 9 11 that that that made the establishment remove Bush.
[27:14.000 --> 27:19.000]  That's when his funding got cut off a week ago when it started.
[27:19.000 --> 27:23.000]  And so Richard Reeves not once, but twice.
[27:23.000 --> 27:27.000]  And our other great reporters went up.
[27:27.000 --> 27:36.000]  And would say, are you going to call the 28 pages to be released? They say, what's that never heard of it? Of course, he's been getting hit with it for years.
[27:36.000 --> 27:41.000]  And then he looks, he goes, who are you with info wars? He goes, oh, very powerful group. Don't know who you are.
[27:41.000 --> 27:52.000]  As if his dismissal of us, some East Coast Ivy League Democrat sheep dipped into a Republican to control the party on record for the Rockefellers on record.
[27:52.000 --> 27:58.000]  They call themselves Rockefeller Republicans, the progenitors of the Rhino movement.
[27:58.000 --> 28:03.000]  Fit like peas in a pod with George Soros, other Nazi collaborator. You can't make this up.
[28:03.000 --> 28:08.000]  The leftovers, the leavings of World War Two.
[28:08.000 --> 28:20.000]  Really, the literal droppings of Hitler, George Soros and the Bushes are the actual, like, you know, that, you know, some dog, your door's up and a dog gets in your house and goes to the bathroom on the carpet.
[28:20.000 --> 28:23.000]  You know, the dog's gone, but there's the dog, you know, manure.
[28:23.000 --> 28:27.000]  And I mean, that's Hitler's gone. But here you still walking in it, still stepping in it.
[28:27.000 --> 28:31.000]  And I hate to be gross, folks, but that's what George Soros and the bushes are.
[28:31.000 --> 28:34.000]  So I want to celebrate as soon as the fall of Soros comes.
[28:34.000 --> 28:38.000]  I don't want to fall at Hillary, but right now I can celebrate the fall of Bushes.
[28:38.000 --> 28:44.000]  Get out of here. Get out of here. Go to your 400,000 acre ranch in South America.
[28:44.000 --> 28:47.000]  Yeah, they'll join Ken Lay down there.
[28:47.000 --> 28:52.000]  But when we come back, how seismic is this? What does this portend for the future?
[28:52.000 --> 28:57.000]  Donald Trump will win the election unless they cheat him. We're going to break it down straight ahead.
[28:57.000 --> 29:05.000]  North Korea is planning a terrorist attack on South Korea, this according to the National Intelligence Service
[29:05.000 --> 29:11.000]  that says North Korea's leader Kim Jong-un gave the order to begin preparations.
[29:11.000 --> 29:19.000]  The NIST warning covered a large number of possible targets, including subways, shopping malls, and even a nuclear power plant.
[29:19.000 --> 29:24.000]  All key lines of communication between North and South Korea have been cut off.
[29:24.000 --> 29:31.000]  I've long predicted in my World Affairs briefs that North Korea's attack on South Korea will be a trigger event for World War III
[29:31.000 --> 29:37.000]  and you'll probably have a nuclear EMP and nuclear strike on America within a week after that starting.
[29:37.000 --> 29:41.000]  Now his political scientist and author of strategic relocation, Joel Scousen,
[29:41.000 --> 29:47.000]  who says that a fight between North and South Korea might be a trigger event to World War III.
[29:47.000 --> 29:52.000]  Meanwhile, U.S. forces in the region are making their presence known.
[29:52.000 --> 29:56.000]  You can learn more right now at infowars.com.
[30:23.000 --> 30:32.000]  And when you visit infowarslife.com, see the instructional video on how to do a six-day liver detox.
[30:32.000 --> 30:35.000]  This isn't a game and let me tell you, the results are dramatic.
[30:35.000 --> 30:40.000]  Liver shield is totally organic and made of the safest high-quality herbs.
[30:40.000 --> 30:44.000]  But that said, you need to consult your physician before you do the full detox.
[30:44.000 --> 30:48.000]  Liver shield can also be used daily by itself for overall upkeep of the liver.
[30:48.000 --> 30:54.000]  Secure your liver shield today exclusively at infowarslife.com for the lowest price available at infowarslife.com
[30:54.000 --> 30:57.000]  or call 888-253-3139.
[30:57.000 --> 30:58.000]  Hey, how you doing?
[30:58.000 --> 30:59.000]  Good, brother.
[30:59.000 --> 31:03.000]  I just recently started using your products. Everything you said about them is correct.
[31:03.000 --> 31:07.000]  Me and my wife both used a lot of them and it made a lot of changes in our lives.
[31:07.000 --> 31:09.000]  Well, thank you, brother, because it also funds our operation,
[31:09.000 --> 31:12.000]  but doing that, I know I've got to have the highest quality.
[31:12.000 --> 31:20.000]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[31:20.000 --> 31:25.000]  We do the super male and the super female vitality. Big changes, a lot of energy.
[31:25.000 --> 31:29.000]  We've gotten off to the cheap energy drinks, energy shots, saving a ton of money there.
[31:29.000 --> 31:37.000]  Sourced from powerful organic herbs, harvested around the planet and then concentrated, or maximum potency.
[31:37.000 --> 31:42.000]  They want to stun and dumb down and energy drinks and stuff, just cover that up for a while,
[31:42.000 --> 31:48.000]  but then burn you out in my experience, whereas stuff that gets your glands naturally going goes right to the source.
[31:48.000 --> 31:50.000]  So, it's pretty exciting and I love it.
[31:50.000 --> 31:57.000]  Visit infowarslife.com today to secure your super male vitality and other powerful products from infowarslife.
[31:57.000 --> 32:02.000]  Tell folks how you got introduced to super male and then when super female came out, tell us what happened.
[32:02.000 --> 32:07.000]  After I saw such a huge positive change in my husband, I had to try it for myself.
[32:07.000 --> 32:08.000]  Talk about the effects.
[32:08.000 --> 32:13.000]  I feel great when I wake up in the morning. I have drive to go to the gym. I feel like I look better.
[32:13.000 --> 32:15.000]  I feel better. I feel sexier. I love it.
[32:15.000 --> 32:21.000]  Even if you don't believe in supplements, take the challenge. Get a bottle of super male, a bottle of super female.
[32:21.000 --> 32:27.000]  Check it out for yourself. Consult your physician. Visit infowarslife.com today. This is Life Changing.
[32:27.000 --> 32:34.000]  Shower filters. We're introducing the best yet. The brand new Pro Pure Pro Max High Performance Shower Filter.
[32:34.000 --> 32:39.000]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[32:39.000 --> 32:46.000]  This new four-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[32:46.000 --> 32:57.000]  You can find more details on this amazing new filter and free shipping at infowarsstore.com or call 888-253-3139 to order your Pro Max Shower Filter from Pro Pure today.
[33:17.000 --> 33:22.000]  You want answers? Well, so does he. It's Alex Jones.
[33:27.000 --> 33:41.000]  So a major referendum on the establishment. Hillary cheats openly with six coin tosses, one in a row, and precincts that actually went for Sanders going to her in Iowa.
[33:41.000 --> 33:46.000]  Then she loses by 20 points in New Hampshire, but still gets more delegates than Sanders.
[33:46.000 --> 33:53.000]  They admit they just go get the super delegates that are elected by the Democrats to steal all the other delegates and just tell them that's the way it is.
[33:53.000 --> 34:00.000]  And now magically she's won by 10 points, 52 to 47 against Bernie Sanders in Nevada.
[34:00.000 --> 34:07.000]  Now the Republican primary is coming up there on a different day. Our reporters are on their way there right now, Richard Reeves and others.
