[00:00.000 --> 00:11.640]  Waging war on corruption.
[03:38.520 --> 03:42.560]  Now they wanna put it in everything and not even have it labeled.
[03:42.560 --> 03:46.360]  All the time I say, hey, to friends and family, that's sugar gum you're chewing, it's got
[03:46.360 --> 03:47.360]  aspartame in it.
[03:47.360 --> 03:48.360]  No, it doesn't have sugar gum.
[03:48.360 --> 03:50.760]  I go, read the back, it does have it.
[03:50.760 --> 03:56.680]  Yeah, type 2 diabetes, both the sugar mints, you name it, the sweetened stuff.
[03:56.680 --> 04:04.140]  Well, now they just call it additives, secret ingredients.
[04:04.140 --> 04:08.960]  And so we've got a report on that and we don't know what's in it because Pepsi replaces sugar
[04:08.960 --> 04:10.680]  with mystery ingredient.
[04:10.680 --> 04:14.520]  It could be aspartame, we don't know.
[04:14.520 --> 04:20.840]  So this is the new age of tyranny where you're like, okay, I'm gonna start reading the label.
[04:20.840 --> 04:21.840]  Well, you know what?
[04:21.840 --> 04:24.560]  We're just not gonna tell you what's in it.
[04:24.560 --> 04:28.920]  It's kind of like Jim Jones, he had really hundreds and hundreds of Kool-Aid drinking
[04:28.920 --> 04:29.920]  drills.
[04:29.920 --> 04:33.760]  They never tell them if it had the cyanide in it or not, but we're gonna be looking at
[04:33.760 --> 04:34.760]  that.
[04:34.760 --> 04:41.280]  Big Second Amendment news coming up as well, very, very important broadcast lined up today
[04:41.280 --> 04:46.920]  and the incredible unprecedented attack on reporters and free speech, not just here but
[04:46.920 --> 04:47.920]  all over the world.
[04:47.920 --> 04:50.240]  We have a special report on that front straight ahead.
[04:50.240 --> 04:55.360]  I am Alex Jones, your host, and we've got the best crew in radio and TV right behind
[04:55.360 --> 05:06.120]  that glass.
[05:06.120 --> 05:33.800]  Thank you
[05:33.800 --> 05:37.200]  or shed, getsimplysafe.com.
[05:37.200 --> 05:39.520]  SimpliSafe is also ridiculously easy
[05:39.520 --> 05:41.900]  to install yourself in under 20 minutes,
[05:41.900 --> 05:44.560]  so there's no need to let a stranger into your home.
[05:44.560 --> 05:46.240]  If you move or need to relocate,
[05:46.240 --> 05:48.680]  you can take the system with you wherever you go.
[05:48.680 --> 05:50.000]  You aren't always at home,
[05:50.000 --> 05:51.800]  but SimpliSafe will stand guard,
[05:51.800 --> 05:55.640]  protecting your property 24 hours a day, seven days a week.
[05:55.640 --> 05:58.160]  Again, that's getsimplysafe.com.
[05:58.160 --> 06:03.160]  We are on the march.
[06:10.440 --> 06:13.560]  The empire is on the run.
[06:13.560 --> 06:37.240]  Alex Jones and the GCN Radio Network.
[06:37.240 --> 06:44.480]  It is Sunday, the 17th day, hard to believe time
[06:44.480 --> 06:51.200]  is really moving that fast, of March, 2013.
[06:51.200 --> 06:54.560]  And we are going to be live here for the next two hours,
[06:54.560 --> 06:59.560]  as we are every single Sunday from 4 to 6 p.m.
[06:59.560 --> 07:01.920]  Central Standard Time and back weekdays,
[07:01.920 --> 07:06.360]  11 a.m. Central Time, the three-hour weekday transmission.
[07:06.360 --> 07:10.120]  Any news websites are infowars.com,
[07:10.120 --> 07:13.520]  prisonplanet.com is the auxiliary backup mirror
[07:13.520 --> 07:16.040]  that has a lot of exclusive news on it as well,
[07:16.040 --> 07:17.200]  but a general mirror.
[07:17.200 --> 07:20.480]  And then we stream video at infowarsnews.com
[07:20.480 --> 07:21.880]  and prisonplanet.tv,
[07:21.880 --> 07:24.360]  if you'd like to see the TV version of the radio show
[07:24.360 --> 07:26.800]  that's simulcast and the nightly news weeknights,
[07:26.800 --> 07:28.080]  seven o'clock Central.
[07:29.480 --> 07:31.640]  Okay, wow, where to start?
[07:31.640 --> 07:33.880]  I knew this was coming,
[07:33.880 --> 07:39.160]  but it is certainly gotten here a lot quicker.
[07:39.160 --> 07:42.200]  And the meltdown of the Euro is accelerating.
[07:42.200 --> 07:44.800]  The head of the Bundesbank,
[07:44.800 --> 07:47.000]  that's the most important bank in Europe,
[07:47.000 --> 07:49.720]  because Germany is the engine of the EU,
[07:49.720 --> 07:54.400]  has said that it would have to be an act of God.
[07:54.400 --> 07:56.240]  He said, technically, to be exact,
[07:56.240 --> 07:59.880]  he said Jesus Christ would have to intervene.
[07:59.880 --> 08:02.520]  That's in all the major German papers and British papers.
[08:02.520 --> 08:04.600]  We're gonna go over that here on the radio.
[08:04.600 --> 08:07.520]  For the Euro not to collapse.
[08:07.520 --> 08:09.840]  Now, the Euro was established,
[08:09.840 --> 08:12.000]  as heads of the Euro have bragged,
[08:12.000 --> 08:15.400]  to take over national sovereignty
[08:15.400 --> 08:19.600]  and to implode those countries under economic dominance,
[08:19.600 --> 08:21.600]  and then to implode the world economy
[08:21.600 --> 08:25.760]  and have the Euro be the heart of that new bankrupted system
[08:25.760 --> 08:28.960]  and to come out with the new strategic drawing reserves,
[08:28.960 --> 08:31.000]  global digital currency.
[08:31.000 --> 08:32.560]  You'll still have your regional currencies,
[08:32.560 --> 08:34.720]  but they will be denominated and backed
[08:34.720 --> 08:38.920]  in the new super fiat currency.
[08:38.920 --> 08:45.800]  So we have that report coming up today
[08:45.800 --> 08:50.080]  and happening again even quicker than I thought it would.
[08:50.080 --> 08:56.480]  Cyprus depositor haircut bailout turns into saver panic,
[08:56.480 --> 09:00.880]  frozen assets, bank runs, broken ATMs.
[09:00.880 --> 09:04.160]  The announcement was made by the European Union on Friday,
[09:04.160 --> 09:08.480]  that's the unelected bureaucracy.
[09:08.480 --> 09:17.920]  The announcement was made that they were going to take 10%
[09:17.920 --> 09:20.080]  out of everyone in the Mediterranean nation
[09:20.080 --> 09:25.160]  of Cyprus' bank accounts, including foreigners,
[09:25.160 --> 09:28.520]  the BBC is reporting, who have bank accounts in Cyprus.
[09:28.520 --> 09:30.960]  And they admit it is a private bailout
[09:30.960 --> 09:33.920]  for the European Union private central banks
[09:33.920 --> 09:39.560]  that the Federal Reserve gives $85 billion a month
[09:39.560 --> 09:41.000]  of US taxpayer money.
[09:41.000 --> 09:45.040]  That's what QE Unlimited was.
[09:45.040 --> 09:46.840]  QE3 is QE Unlimited.
[09:46.840 --> 09:47.800]  Remember hearing that?
[09:47.800 --> 09:51.000]  About six months ago, Bernanke announced QE Infinity,
[09:51.000 --> 09:56.480]  QE Unlimited, $85 billion that we have to pay interest on.
[09:56.480 --> 09:58.880]  You give it to the bankers, the private shareholders
[09:58.880 --> 10:00.880]  of the Federal Reserve, mainly European banks,
[10:00.880 --> 10:02.480]  but they're really offshore banks.
[10:02.480 --> 10:03.960]  They're above the laws.
[10:03.960 --> 10:05.440]  They're above taxation.
[10:05.440 --> 10:08.960]  General Electric's part of it, $108 billion profit last year,
[10:08.960 --> 10:12.080]  offshore alone, none of that money coming back tax-free.
[10:12.080 --> 10:15.840]  And then General Electric lobbies to raise people making
[10:15.840 --> 10:21.440]  over $125,000 a year's taxes to transfer that to themselves
[10:21.440 --> 10:23.640]  in corporate bailouts and government bailouts.
[10:23.640 --> 10:27.760]  See, it's the mega-rich waging war against everybody else,
[10:27.760 --> 10:32.160]  fooling the unwashed masses into thinking that wealth itself is
[10:32.160 --> 10:35.960]  a crime and that if they destroy wealth,
[10:35.960 --> 10:39.880]  they will somehow get money.
[10:39.880 --> 10:44.560]  Now, if you go to infowars.com, you
[10:44.560 --> 10:49.040]  can see a special report, a video
[10:49.040 --> 10:51.720]  that I filed this morning breaking this down
[10:51.720 --> 10:54.800]  and going over some of the background.
[10:54.800 --> 10:57.480]  And we can punch that up on screen for TV viewers.
[10:57.480 --> 11:02.520]  Special report, EU steals nation's private bank accounts,
[11:02.520 --> 11:05.480]  starts EU-wide bank runs.
[11:05.480 --> 11:06.880]  Now, that's my headline.
[11:06.880 --> 11:12.960]  I can show you again here from the Daily Mail.
[11:12.960 --> 11:15.720]  Osborne vows to protect Britain's armed forces
[11:15.720 --> 11:18.680]  in Cyprus as cash machines are emptied
[11:18.680 --> 11:25.080]  and 60,000 British savers face losing 10% in bank accounts,
[11:25.080 --> 11:27.240]  10% out of their bank accounts.
[11:27.240 --> 11:30.320]  That's just some of the headlines
[11:30.320 --> 11:33.800]  that we have dealing with all of this.
[11:33.800 --> 11:34.640]  Here's another one.
[11:34.640 --> 11:38.440]  ATM's drained as bailout tax triggers run on banks.
[11:38.440 --> 11:42.080]  That's the Australian newspaper, The Edge.
[11:42.080 --> 11:44.080]  The UK party, UK Independence Party,
[11:44.080 --> 11:46.760]  is denied as O'Farr Hodge, fastest growing party
[11:46.760 --> 11:49.440]  in England, who's been on this frequently.
[11:49.440 --> 11:51.640]  He has predicted all of this, so now their party
[11:51.640 --> 11:53.600]  is just winning elections everywhere,
[11:53.600 --> 11:56.360]  including in the EU elections.
[11:56.360 --> 11:58.800]  And the so-called Conservative Party
[11:58.800 --> 12:02.960]  and the Prime Minister of England is totally freaking out,
[12:02.960 --> 12:06.240]  saying do not join their party or it'll basically
[12:06.240 --> 12:08.240]  bring down England.
[12:08.240 --> 12:10.560]  See, being right has a lot of power attached to it.
[12:10.560 --> 12:12.360]  Let's continue here.
[12:12.360 --> 12:15.160]  Here's Business Insider.
[12:15.160 --> 12:17.800]  Only Jesus can save the Euro zones
[12:17.800 --> 12:19.120]  as the head of the Deutsche Bank.
[12:19.120 --> 12:20.840]  We're going to be getting into that report.
[12:20.840 --> 12:23.560]  But again, it was designed from the beginning to implode.
[12:23.560 --> 12:27.600]  So the announcement was made Friday afternoon by the EU.
[12:27.600 --> 12:30.560]  Now, the EU has a parliament that Nigel Farage
[12:30.560 --> 12:32.000]  is a UK member of.
[12:32.000 --> 12:35.680]  But as he's pointed out, 80 plus percent of British laws
[12:35.680 --> 12:38.640]  or UK laws now get made not by the parliament.
[12:38.640 --> 12:39.840]  They just get to vote.
[12:39.840 --> 12:45.560]  And then that's a recommendation to the EU bureaucracy
[12:45.560 --> 12:47.840]  that's exempt from taxes.
[12:47.840 --> 12:50.040]  You just heard me right, just like our Congress exempts
[12:50.040 --> 12:54.680]  themselves from Obamacare and insider trading laws.
[12:54.680 --> 12:57.000]  And of course, that's illegal to pass a law saying
[12:57.000 --> 12:58.120]  you can do something illegal.
[12:58.120 --> 12:59.040]  It's unconstitutional.
[12:59.040 --> 13:01.040]  They should all be arrested that vote for that.
[13:01.040 --> 13:04.080]  Still, they don't even pay their own taxes.
[13:04.080 --> 13:06.200]  Remember when the head of the IMF
[13:06.200 --> 13:08.880]  that's part of the EU bureaucracy,
[13:08.880 --> 13:10.640]  what is it, Legrand, how do you pronounce her name?
[13:10.640 --> 13:12.880]  The blonde.
[13:12.880 --> 13:15.240]  She came out and said, oh, the people in the euro
[13:15.240 --> 13:16.400]  aren't working enough.
[13:16.400 --> 13:18.680]  We want six or seven days a week,
[13:18.680 --> 13:20.600]  and we want you to pay more.
[13:20.600 --> 13:23.800]  And they have these new excise taxes over Greece and Spain
[13:23.800 --> 13:26.200]  and Italy that are, in some cases,
[13:26.200 --> 13:30.600]  20% on top of other VAT taxes and the rest of it.
[13:30.600 --> 13:32.560]  And it's just shutting the economies down,
[13:32.560 --> 13:34.120]  which is the plan.
[13:34.120 --> 13:36.240]  People say, well, when you raise taxes that much,
[13:36.240 --> 13:38.240]  it kills tax receipts.
[13:38.240 --> 13:38.960]  Don't they know?
[13:38.960 --> 13:39.720]  Boy, they're stupid.
[13:39.720 --> 13:41.560]  No, they're not stupid.
[13:41.560 --> 13:43.840]  They're on record bragging that they
[13:43.840 --> 13:47.000]  work for the IMF and World Bank that are just front groups,
[13:47.000 --> 13:50.000]  like the Federal Reserve for Goldman Sachs, JP Morgan,
[13:50.000 --> 13:52.240]  and a handful of other globalists.
[13:52.240 --> 13:54.320]  And they're raiding these countries,
[13:54.320 --> 13:57.560]  driving down the value of everything
[13:57.560 --> 14:01.480]  and buying it up for pennies on the dollar.
[14:01.480 --> 14:03.200]  This is economic warfare.
[14:03.200 --> 14:05.560]  And they plan, they've already done some of it here,
[14:05.560 --> 14:06.640]  but they plan to do it here.
[14:06.640 --> 14:07.960]  So let me ask you this question.
[14:07.960 --> 14:10.520]  You notice Bank of America a few years ago got in big trouble
[14:10.520 --> 14:14.880]  because they wanted to take $5 out of all debit card
[14:14.880 --> 14:18.160]  or bank card transactions with your money,
[14:18.160 --> 14:20.680]  not enough to pay $3, $4 to get cash out.
[14:20.680 --> 14:24.800]  Now they're going to charge you all these fees, $5 every time
[14:24.800 --> 14:26.640]  to use your own card, while pressuring
[14:26.640 --> 14:30.000]  you to get out of cash.
[14:30.000 --> 14:32.480]  Once they get you on a cashless society,
[14:32.480 --> 14:35.240]  then they can put all the fines, all the fees they want on.
[14:35.240 --> 14:36.880]  And countries like Finland that are
[14:36.880 --> 14:39.600]  the model of this progressive socialism that
[14:39.600 --> 14:42.920]  leads to communism for more than 15 years.
[14:42.920 --> 14:45.160]  I first learned about this from an engineer for a computer
[14:45.160 --> 14:46.760]  company that works for a major company.
[14:46.760 --> 14:49.040]  He worked for IBM, who'd been over in Finland the year
[14:49.040 --> 14:51.640]  before, and working on their computer systems.
[14:51.640 --> 14:53.840]  He said, Alex, did you know everyone there
[14:53.840 --> 14:56.960]  has a national ID card that has your bank account, that
[14:56.960 --> 14:59.160]  has everything on it, and they just take money out
[14:59.160 --> 15:01.160]  whenever they want, arbitrarily?
[15:01.160 --> 15:02.680]  And as you know, that's the model.
[15:02.680 --> 15:03.840]  And he was working at IBM.
[15:03.840 --> 15:07.400]  So he was over there helping set it up EU-wide.
[15:07.400 --> 15:09.760]  He said, you've got to come on the air and talk about this.
[15:09.760 --> 15:12.160]  He said, no, I'm not allowed to because of confidentiality
[15:12.160 --> 15:13.680]  agreements working for IBM.
[15:13.680 --> 15:15.320]  But he said, just go look it up.
[15:15.320 --> 15:16.520]  And I went and looked it up, and sure enough,
[15:16.520 --> 15:17.640]  found a couple articles.
[15:17.640 --> 15:19.000]  But it should be huge news.
[15:19.000 --> 15:22.520]  See, it's not that a cashless society would be bad.
[15:22.520 --> 15:26.200]  It'd be great, except global criminals run it.
[15:26.200 --> 15:28.200]  And they're going to, other than to hide,
[15:28.200 --> 15:30.320]  they don't care if you have nothing to hide.
[15:30.320 --> 15:32.240]  They want to bankrupt you.
[15:32.240 --> 15:35.920]  Because they're all offshore, exempt from it.
[15:35.920 --> 15:38.680]  I mean, if they kill a million Iraqis to get oil and power,
[15:38.680 --> 15:41.640]  which they did, a million died since the invasion.
[15:41.640 --> 15:44.400]  British Medical Journal did the breakdown
[15:44.400 --> 15:45.960]  with British government data.
[15:45.960 --> 15:48.680]  What will they do to you to have power and control?
[15:48.680 --> 15:50.120]  It's called scorched earth.
[15:50.120 --> 15:51.080]  So it's already begun.
[15:51.080 --> 15:54.560]  It's the beginning of the meltdown of the euro by design.
[15:54.560 --> 15:55.840]  We'll break it down when we come back.
[15:55.840 --> 15:56.400]  Stay with us.
[15:56.400 --> 15:59.800]  If you're listening, you know your basic freedoms
[15:59.800 --> 16:01.200]  are being threatened every day.
[16:01.200 --> 16:03.200]  If you're listening, you know the economy
[16:03.200 --> 16:04.480]  is not getting better.
[16:04.480 --> 16:07.280]  You know gas and food prices are skyrocketing.
[16:07.280 --> 16:09.440]  Now is the time to get prepared.
[16:09.440 --> 16:12.400]  For years, we've told you about our friends at e Foods Direct.
[16:12.400 --> 16:14.880]  They have the best tasting, long-term, storable food
[16:14.880 --> 16:15.680]  on the planet.
[16:15.680 --> 16:18.760]  This food will taste just as great 25 years from now
[16:18.760 --> 16:19.840]  as it does tonight.
[16:19.840 --> 16:22.640]  A long-term food supply allows you to freeze the cost
[16:22.640 --> 16:24.640]  and the availability of food.
[16:24.640 --> 16:26.760]  Freeze the cost and the availability
[16:26.760 --> 16:28.640]  of the one thing you need most.
[16:28.640 --> 16:32.320]  Be prepared and get your supply from e Foods Direct.
[16:32.320 --> 16:34.560]  Right now is the best time to stock up and save
[16:34.560 --> 16:37.840]  hundreds of dollars with free shipping on all food supplies.
[16:37.840 --> 16:40.440]  Give yourself peace of mind and be prepared.
[16:40.440 --> 16:46.400]  Act now and call 800-409-5633 or visit efoodsdirect.com
[16:46.400 --> 16:47.520]  slash alex.
[16:47.520 --> 16:50.160]  Get free shipping on all orders for a limited time.
[16:50.160 --> 16:56.480]  Call 800-409-5633 or go to efoodsdirect.com slash alex.
[16:56.480 --> 17:00.520]  You can bet your life on e Foods Direct.
[17:00.520 --> 17:03.160]  Now that we have moved into the winter season,
[17:03.160 --> 17:05.960]  there is an increased need to support our immunity
[17:05.960 --> 17:07.280]  and health.
[17:07.280 --> 17:09.240]  At Silver Lungs, we are committed
[17:09.240 --> 17:11.920]  to meeting your needs by providing a full selection
[17:11.920 --> 17:14.000]  of silver-based products.
[17:14.000 --> 17:16.320]  Our most popular silver-based products
[17:16.320 --> 17:19.080]  are the 32-ounce nano silver solutions.
[17:19.080 --> 17:21.920]  Our 2-ounce nano silver nasal applicators,
[17:21.920 --> 17:24.960]  as well as our all-natural silver soaps.
[17:24.960 --> 17:29.080]  Just released is our 100% natural silver gel.
[17:29.080 --> 17:32.600]  Our new silver gel is not based on synthetic gelling agents,
[17:32.600 --> 17:34.720]  which quickly evaporate and leave the silver
[17:34.720 --> 17:36.080]  at the surface.
[17:36.080 --> 17:38.680]  But rather, we have formulated our silver gel
[17:38.680 --> 17:40.720]  using the natural skin nourishing chemistry
[17:40.720 --> 17:43.520]  of aloe vera to quickly penetrate and nourish
[17:43.520 --> 17:47.320]  the skin while delivering the silver more effectively.
[17:47.320 --> 17:52.320]  Visit www.silverlungs.com and click on our store page
[17:52.400 --> 17:55.240]  to find what silver-based products are best for you.
[17:56.080 --> 17:59.560]  That's www.silverlungs.com.
[17:59.560 --> 18:01.400]  Introducing Pro One.
[18:01.400 --> 18:05.120]  All of your filtration in one system, portable, on the go.
[18:05.120 --> 18:07.520]  No more do you have two or three filters
[18:07.520 --> 18:09.640]  to just reduce sodium fluoride.
[18:09.640 --> 18:12.140]  You have a system that cuts out the sodium fluoride
[18:12.140 --> 18:15.720]  and up to 95% of hydrofluorosolic acid,
[18:15.720 --> 18:17.520]  advanced manufacturing technology,
[18:17.520 --> 18:20.160]  combines silver impregnated white ceramic
[18:20.160 --> 18:22.720]  with new Aquamedics advanced media
[18:22.720 --> 18:25.040]  for removal of fluoride and other heavy metals,
[18:25.040 --> 18:26.680]  all in one filter element.
[18:26.680 --> 18:29.600]  It is the only one that does it, and out of the gates,
[18:29.600 --> 18:33.240]  we have it discounted at 10% off with promo code water.
[18:33.240 --> 18:36.220]  This is the only system that in one unit
[18:36.220 --> 18:39.880]  helps reduce or remove pesticides, herbicides,
[18:39.880 --> 18:42.400]  chloramines, ammonia, and chlorine.
[18:42.400 --> 18:45.400]  Hydrofluorosolic acid, the most common form
[18:45.400 --> 18:48.120]  of fluoride not covered by other fluoride filter brands,
[18:48.120 --> 18:50.520]  and sodium hexafluorosilicate.
[18:50.520 --> 18:53.560]  Get your Pro Pure with the new Pro One filters today
[18:53.560 --> 18:58.560]  at infowarsstore.com or by calling 888-253-3139.
[18:59.640 --> 19:02.600]  Devastating events like earthquakes, tornadoes, floods,
[19:02.600 --> 19:04.760]  hurricanes, or the threat of martial law
[19:04.760 --> 19:06.560]  have highlighted the need for Americans
[19:06.560 --> 19:08.200]  to prepare for emergencies.
[19:08.200 --> 19:11.920]  As a result, millions are stockpiling food, gold, and weapons.
[19:11.920 --> 19:15.320]  But how will these items help if you or one of your loved ones
[19:15.320 --> 19:16.280]  becomes ill?
[19:16.280 --> 19:18.880]  Supernatural Silver is the ultimate tool
[19:18.880 --> 19:21.360]  to prepare you for a medical emergency.
[19:21.360 --> 19:24.680]  Supernatural Silver is a natural antibiotic
[19:24.680 --> 19:27.920]  that is uniquely effective against bacteria, viruses,
[19:27.920 --> 19:31.560]  molds, and fungus, and is remarkable for wound care.
[19:31.560 --> 19:33.920]  Taken internally or used topically,
[19:33.920 --> 19:36.920]  it can help keep you safe from deadly pathogens.
[19:36.920 --> 19:40.600]  Supernatural Silver has over 500 different uses
[19:40.600 --> 19:44.080]  and a long-term shelf life, making it the number one choice
[19:44.080 --> 19:45.760]  of preppers across the country.
[19:45.760 --> 19:48.480]  To find out how this amazing new technology
[19:48.480 --> 19:52.880]  can help you be prepared, go to supernaturalsilver.com.
[19:52.880 --> 19:57.080]  Use the promo code PREPARED for 20% off your entire order
[19:57.080 --> 19:58.560]  and like us on Facebook.
[20:00.880 --> 20:04.440]  Coast to Coast, direct from Austin.
[20:04.440 --> 20:08.120]  You're listening to the Alex Jones Broadcasting Network.
[20:08.120 --> 20:11.720]  Crashing through the lies and disinformation,
[20:11.720 --> 20:15.800]  it's Alex Jones on the GCN Radio Network.
[20:21.800 --> 20:24.520]  So we've all been told over and over again
[20:24.520 --> 20:27.400]  that the mega global international banks,
[20:27.400 --> 20:30.920]  the groups lobbying for UN treaties to take our guns,
[20:30.920 --> 20:33.680]  the groups lobbying for larger private companies
[20:33.680 --> 20:35.640]  to take our guns, the groups lobbying
[20:35.640 --> 20:39.680]  for larger private prisons, the groups lobbying
[20:39.680 --> 20:44.000]  for hundreds of different things to destroy societies
[20:44.000 --> 20:46.160]  and make us as weak as possible.
[20:46.160 --> 20:50.000]  They are waging war against us.
[20:50.000 --> 20:55.640]  They are carrying out Agenda 21, which is stated UN policy
[20:55.640 --> 20:58.160]  to create a post-industrial world
[20:58.160 --> 21:01.760]  for the general population of the planet.
[21:01.760 --> 21:03.880]  And two articles that back this up,
[21:03.880 --> 21:08.520]  Mexico bans large cash transactions.
[21:08.520 --> 21:11.000]  Yeah, even a couple hundred dollars.
[21:11.000 --> 21:13.960]  That's to track everybody and control everybody.
[21:13.960 --> 21:18.640]  Two years ago, insane ban on cash transactions in Louisiana
[21:18.640 --> 21:22.680]  on any secondhand items effectively banning
[21:22.680 --> 21:28.440]  the underground economy like swap meets and farmers markets.
[21:28.440 --> 21:31.640]  And this is happening all over the world.
[21:31.640 --> 21:34.720]  And imagine being in Cyprus, and this is now being announced.
[21:34.720 --> 21:36.440]  The EU is officially announcing.
[21:36.440 --> 21:39.320]  We have the Daily Mail, we have the BBC,
[21:39.320 --> 21:42.760]  we have all the articles linked up at info.wars.com
[21:42.760 --> 21:45.080]  for radio listeners.
[21:45.080 --> 21:47.320]  And you can go there and see them announcing
[21:47.320 --> 21:48.880]  that they seized the bank accounts.
[21:48.880 --> 21:52.680]  They froze bank accounts system-wide Friday evening.
[21:52.680 --> 21:54.640]  People can't even get into them.
[21:54.640 --> 21:57.720]  And the word is on Monday, the EU's announced 10%
[21:57.720 --> 21:58.720]  will be taken out.
[21:58.720 --> 22:00.800]  And they say they may start taking more.
[22:00.800 --> 22:02.480]  So how do you like too big to fail?
[22:02.480 --> 22:05.160]  You see, if you were Bernie Madoff's only problem
[22:05.160 --> 22:07.840]  was stealing $100 billion and stealing it
[22:07.840 --> 22:10.720]  from other elitists that invested with him.
[22:10.720 --> 22:12.960]  He kind of ripped off the robber baron class,
[22:12.960 --> 22:15.200]  the kind of insider Wall Street class,
[22:15.200 --> 22:17.480]  with Ponzi schemes beyond Ponzi schemes.
[22:17.480 --> 22:20.520]  Now, if he would have been MF Global and John Corzine,
[22:20.520 --> 22:22.720]  the head of MF Global, of course,
[22:22.720 --> 22:24.680]  previously been the head of Goldman Sachs,
[22:24.680 --> 22:28.200]  the very top of the pyramid, $40 billion
[22:28.200 --> 22:29.720]  just came up missing.
[22:29.720 --> 22:33.200]  $2 billion of it, private people's bank accounts
[22:33.200 --> 22:36.520]  in a gold company, a gold broker company
[22:36.520 --> 22:38.400]  that they had taken over.
[22:38.400 --> 22:40.480]  And by the way, they'd done that a year before.
[22:40.480 --> 22:42.320]  No one, because we've interviewed victims of it,
[22:42.320 --> 22:44.320]  and it came out in the press a few years ago.
[22:44.320 --> 22:45.360]  I mean, most of you know about it.
[22:45.360 --> 22:46.440]  Even if you're hiding under a rock,
[22:46.440 --> 22:48.720]  that was big financial news, that,
[22:48.720 --> 22:51.680]  oh, we took your private sequestered accounts.
[22:53.600 --> 22:56.000]  So this is the type of stuff going on.
[22:56.000 --> 22:59.240]  And that's the problem with the cashless system.
[22:59.240 --> 23:04.160]  Cashless society, if Jesus was running it,
[23:04.160 --> 23:05.080]  it wouldn't be a problem.
[23:05.080 --> 23:09.160]  But see, when corrupt devils have full control over you,
[23:09.160 --> 23:13.640]  and you have no privacy, but they have total privacy,
[23:13.640 --> 23:15.000]  that's called tyranny.
[23:15.000 --> 23:16.960]  When the government has total secrecy,
[23:16.960 --> 23:19.320]  and you have no secrecy, that's called tyranny.
[23:19.320 --> 23:21.520]  When we have total secrecy,
[23:21.520 --> 23:23.880]  and the government has no secrecy, that's called liberty.
