[00:00.000 --> 00:19.000]  Info Wars. Tomorrow's news. Today.
[05:01.000 --> 05:14.000]  I'm going to explain one of America's greatest writers and satirists and minds. Famously said more than 150 years ago, rumors of his demise had been greatly exaggerated.
[05:14.000 --> 05:24.000]  Because the newspapers kept saying he died decades before he did die. And it's the same si-op today. Info Wars is more influential and more powerful than ever because of your support.
[05:24.000 --> 05:36.000]  Because the facts of what we've covered is coming true. But if they can convince you we've been shut down, if they can convince you that we're going away, and you stop supporting, you stop spreading the word, then they do win.
[05:36.000 --> 05:44.000]  Ladies and gentlemen, there's only one group of people that can shut down Info Wars, and that's you, the viewers and listeners. If you decide we're done, we're done.
[05:44.000 --> 05:51.000]  If you decide to go to infowarstore.com and get supplements and books and films and t-shirts and so much more, we will stay on the air indefinitely.
[05:51.000 --> 05:59.000]  It is all in your hands. So thanks for your support. Stand up against the globalists. Go to infowarstore.com right now and keep us on air. It's up to you.
[06:22.000 --> 06:43.000]  I know that you have, cause there's magic in my eyes. I can sleep for miles and miles and miles and miles and miles.
[06:43.000 --> 07:00.000]  Oh yeah. The Eiffel Tower and the Tartmonger, let's see our clear days. You thought that I would need a crystal ball to see you right through the face.
[07:00.000 --> 07:16.000]  You're gonna poke at you, you're gonna choke on it too, you're gonna lose that smile, because of why. I can sleep for miles and miles. It's Friday, January 13th, 2023.
[07:16.000 --> 07:23.000]  I'm your host Alex Jones. We'll be here for the next four hours ahead of the war room here on the Info Wars Network with Owen Shroyo, 3PM Central.
[07:23.000 --> 07:32.000]  Wow. Look, I'm not gonna talk about the Pierce Morgan interview yesterday until the third hour.
[07:32.000 --> 07:43.000]  I'm gonna play some excerpts and just look at it as a exhibit of disinformation and propaganda, because I wouldn't just cover it if it was an interview I was involved in.
[07:43.000 --> 07:54.000]  That's not really newsworthy enough, but the level of deception, the level of manipulation and how they use this playbook is very important to understand.
[07:54.000 --> 08:07.000]  So that's coming up for some of the third hour. We have Gerald Salente, one of our favorite guests joining us to talk about the trends for 2023 and beyond in the second hour today.
[08:07.000 --> 08:14.000]  And I intend to open the phones up so you can also ask specific questions of Gerald Salente.
[08:14.000 --> 08:19.000]  And in the meantime, wow, are we gonna be covering the waterfront?
[08:19.000 --> 08:26.000]  You can learn a lot about where our hijacked government wants to take us.
[08:26.000 --> 08:34.000]  If you look at operations they run in places like Brazil and areas of Africa and the Middle East and just all over the world,
[08:34.000 --> 08:39.000]  but also especially what globalists are doing in the UK and the European Union.
[08:39.000 --> 08:46.000]  And one of those big things they're doing is outlawing their political opposition after they steal elections.
[08:46.000 --> 08:51.000]  And there's a report we're gonna be getting to coming up here in the next segment.
[08:51.000 --> 08:58.000]  Brazilian concentration camps exposed and the government's admitting they have these camps they built.
[08:58.000 --> 09:11.000]  And now they're putting their political opposition in there, including people that just won House and Senate seats who are patriots and were in Bolsonaro's party.
[09:11.000 --> 09:17.000]  And they're forcing poison COVID shots on them.
[09:17.000 --> 09:27.000]  So we're going to be going over that coming up because whatever you see being done there, the globalist plan to bring here, it's all being run by the State Department.
[09:27.000 --> 09:34.000]  The State Department even brags that they helped Lula steal this way back into office.
[09:34.000 --> 09:38.000]  So that's why you see the parallels being extremely similar.
[09:38.000 --> 09:46.000]  And that's why Bolsonaro had to leave and go to Florida because they promised to arrest him if he lost the election.
[09:46.000 --> 09:51.000]  That's what left us do. That's the authoritarian model they carry out.
[09:51.000 --> 09:53.000]  So that's an important stack.
[09:53.000 --> 09:55.000]  We're gonna tackle very early.
[09:55.000 --> 10:09.000]  MTG was on yesterday and she said what is true and what's politically obvious, not just by what the Justice Department's done or the way the governmental officials are handling it,
[10:09.000 --> 10:14.000]  but the way the media is handling it, ABC, CNN, the Associated Press.
[10:14.000 --> 10:16.000]  Oh, Biden's got to go.
[10:16.000 --> 10:19.000]  Biden's engaged in criminal activity.
[10:19.000 --> 10:21.000]  He had these documents illegally.
[10:21.000 --> 10:25.000]  Trump's allowed to declassify documents that Biden isn't.
[10:25.000 --> 10:29.000]  So they can fry Biden and fry Trump is the move they're making.
[10:29.000 --> 10:35.000]  Yesterday in the videos on M4Wars.com, MTG says deep state preparing to dump Biden.
[10:35.000 --> 10:40.000]  A.G. Gardland appoints special prosecutor, probe Biden's classified dots.
[10:40.000 --> 10:43.000]  Biden's top secret document problem.
[10:43.000 --> 10:45.000]  He is on the way out.
[10:45.000 --> 10:50.000]  Biden's political future clouded by classified document probe AP.
[10:50.000 --> 11:01.000]  So they all covered up the 100 Biden laptop that's way worse than these illegal documents, which are illegal, pertaining to China, Ukraine,
[11:01.000 --> 11:04.000]  the European Union and other key areas.
[11:04.000 --> 11:14.000]  In the Biden laptop, this is one of the Biden laptops, it's the payoffs he's making to his dad, the payoffs he's making to others.
[11:14.000 --> 11:19.000]  And there is his son talking about how they're under the command of the head of Chinese intelligence.
[11:19.000 --> 11:25.000]  But now that video from a year ago of Biden driving around in an agreeably really cool green Corvette.
[11:25.000 --> 11:27.000]  Got good taste on that.
[11:27.000 --> 11:32.000]  Backing it up into the garage where they now admit there were tons of these documents stored.
[11:32.000 --> 11:37.000]  You can even see piles of the documents there in the background as he's backing in.
[11:37.000 --> 11:43.000]  But a larger discussion, he's been a placeholder, he's been a true Marionette, a true puppet the entire time.
[11:43.000 --> 11:46.000]  But why are they getting rid of him now?
[11:46.000 --> 11:50.000]  Because they don't want him to announce he's about to run for president again.
[11:50.000 --> 11:52.000]  He actually thinks he's the president.
[11:52.000 --> 11:54.000]  That's the big joke about him.
[11:54.000 --> 12:01.000]  And Obama doesn't think he's an effective puppet, even with the election fraud, they can get back in in two years.
[12:01.000 --> 12:05.000]  So they're preparing to flush him down the toilet.
[12:05.000 --> 12:06.000]  Well, they were moving from office.
[12:06.000 --> 12:10.000]  I don't know, but they certainly want to let him know we're going to prosecute you if you don't go away.
[12:10.000 --> 12:13.000]  Which is what they do to who they don't want to run for office, whether it's Trump or Biden.
[12:13.000 --> 12:18.000]  If you like the candidate or dislike him, if the globalists don't want you, well, they're going to block you.
[12:18.000 --> 12:21.000]  It's like Tulsi Gabbard's won the first two debates.
[12:21.000 --> 12:27.000]  All the poll numbers showed she was the front runner and they just removed her from the media, no coverage, and put out fake polls.
[12:27.000 --> 12:33.000]  And then she basically got almost no votes at the voting booth because she'd been taken out of the discussion.
[12:33.000 --> 12:36.000]  So there's different ways they manipulate elections, different ways they do it.
[12:36.000 --> 12:38.000]  Yeah, they have fake mail-in ballots.
[12:38.000 --> 12:39.000]  Yeah, they have deputable voting.
[12:39.000 --> 12:41.000]  Yeah, they have illegal aliens voting.
[12:41.000 --> 12:46.000]  But more importantly, they manipulate the whole process up to that point as top computer scientists Epstein,
[12:46.000 --> 12:50.000]  not of Jeffrey Epstein's fame, exposed years ago.
[12:50.000 --> 12:53.000]  He said there'll be no more free elections four years ago in testimony.
[12:53.000 --> 12:58.000]  If Google and Facebook and Twitter are allowed to manipulate the algorithms with AI.
[12:58.000 --> 13:01.000]  So that's coming up as well.
[13:01.000 --> 13:06.000]  Multiple Biden aides have been interviewed by the federal law enforcement and classified document review.
[13:06.000 --> 13:21.000]  Second set obviously found at his house, though he said he had no idea why they were founded his Penn State office in a building paid for six years ago by the Communist Chinese that he literally moved into.
[13:21.000 --> 13:24.000]  It cannot get more ridiculous.
[13:24.000 --> 13:34.000]  And folks are looking at the numbers of Chinese money going to Penn State was negligible until he got in and then hundreds of millions of dollars poured in after he became the chair of that.
[13:34.000 --> 13:42.000]  Now, speaking of AI manipulation, this ties into all that we're going to be getting to this as well.
[13:42.000 --> 13:47.000]  AI replaced humans in job role for months and no one noticed.
[13:47.000 --> 13:53.000]  Popular news outlet has been publishing AI articles since November and no one noticed.
[13:53.000 --> 13:56.000]  Now, what am I told you the last couple of years?
[13:56.000 --> 14:10.000]  I said most of these articles on Buzzfeed and on even CNN and in articles over that seen at you name it are written by AI.
[14:10.000 --> 14:19.000]  The CIA about 15 years ago came out with a headline CIA has created AI that writes articles on its own.
[14:19.000 --> 14:30.000]  And that way the CIA can put in a couple pages of data and then make it look like thousands of writers are saying it because it rewrites it different ways of different combinations.
[14:30.000 --> 14:40.000]  So basically you write one article that's 10 pages long and then it gets recycled into thousands of other articles that are a page to three pages long and the AI just moves around.
[14:40.000 --> 14:50.000]  And I remember seeing articles I could tell didn't quite make sense and didn't have names on them or had names I'd look up that don't exist.
[14:50.000 --> 14:56.000]  So they now admit in the latest document, I thought the one last week was 14.
[14:56.000 --> 14:59.000]  I got mixed up. This is 14.
[14:59.000 --> 15:10.000]  We added up 14 to Matt Taibbi of Rolling Stone last night and it confirms that congressional trolls.
[15:10.000 --> 15:15.000]  Twitter files show company new Democrat claims about Russia bots were false.
[15:15.000 --> 15:24.000]  But indeed there were massive bot farms posing as humans up to 80% of Twitter was computer bots.
[15:24.000 --> 15:29.000]  They are interacting with these bots. These bots are complimenting you if they agree.
[15:29.000 --> 15:32.000]  They're attacking you if they disagree. They're reporting you if they disagree.
[15:32.000 --> 15:34.000]  They're promoting you if they agree.
[15:34.000 --> 15:45.000]  And most of these people on Facebook and Twitter, it's not just Twitter, they are interacting and living their lives out with imaginary friends online that are giving them up votes and telling them great job.
[15:45.000 --> 15:47.000]  And it's a form of currency.
[15:47.000 --> 15:56.000]  But it's inflated. It's not real. It's fraudulent, but it does give them the dopamine kick they need all this and more straight ahead.
[16:18.000 --> 16:29.000]  I thank you for your past support and I ask you now to count the cost and realize that only your commitment to keep Info Wars on the air will ensure our victory against the New World Order.
[16:29.000 --> 16:33.000]  They're coming for you and your family. They're coming for me. They're coming for the children.
[16:33.000 --> 16:36.000]  But to get to the children, they've got to get through us first.
[16:36.000 --> 16:39.000]  These monsters are all over television wanting to give these shots to newborn babies.
[16:39.000 --> 16:41.000]  They're already given to pregnant women.
[16:41.000 --> 16:48.000]  Info Wars users are off the chart. 80 plus percent increase in miscarriages in the first two prime ministers after these poison shots.
[16:48.000 --> 16:52.000]  We can and will save the children and they are counting on us.
[16:52.000 --> 16:54.000]  Let's do it together.
[16:54.000 --> 16:56.000]  And the fight starts at infowars.com.
[16:56.000 --> 16:59.000]  And the fight continues with your financial support at infowarsstore.com.
[16:59.000 --> 17:11.000]  Now take action now.
[17:29.000 --> 17:34.000]  This sucker is amazing. Look for yourself and how loaded each bottle is.
[17:34.000 --> 17:40.000]  Ladies and gentlemen, every one of these will supercharge your day and everything you do.
[17:40.000 --> 17:43.000]  Just look into the preglonone that we've got that's in this product.
[17:43.000 --> 17:53.000]  Get your real Red Pill Plus of a proprietary product nobody else has exclusively back in stock for 50% off at infowarsstore.com.
[17:53.000 --> 17:56.000]  This is as close as the Matrix Red Pill as you're going to get.
[17:56.000 --> 18:00.000]  Red Pill Plus 50% off at infowarsstore.com.
[18:00.000 --> 18:05.000]  Introducing our new incredible supplement line, Info Wars MD.
[18:05.000 --> 18:09.000]  Now in 60 seconds it's hard to tell you how incredible these products are.
[18:09.000 --> 18:17.000]  But all of these products are already sold on store shelves under other brand names for up to twice the cost we're selling it to you.
[18:17.000 --> 18:20.000]  These are high end. These are the very best.
[18:20.000 --> 18:22.000]  You know our body's ultimate tumor formula is amazing?
[18:22.000 --> 18:28.000]  Well guess what? We now have Tumoring 95 that's basically the same formula for a lower price.
[18:28.000 --> 18:31.000]  CBD oil of the highest quality.
[18:31.000 --> 18:38.000]  Up to 50% less than major competitors selling the exact high quality full spectrum CBD.
[18:38.000 --> 18:43.000]  And it goes on for all the new Info Wars MD products at infowarsstore.com.
[18:43.000 --> 18:53.000]  The highest quality directly from the manufacturer to your door at prices up to 50% in some cases 100% lower than what they're sold for in stores.
[18:53.000 --> 19:18.000]  Info Wars MD at infowarsstore.com.
[19:18.000 --> 19:25.000]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[19:25.000 --> 19:31.000]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[19:31.000 --> 19:40.000]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms including
[19:40.000 --> 19:50.000]  Uricoma Longifolia, originally from Malaysia, Makarou from Peru, Horny Goatweed from China and Tribulus from India.
[19:50.000 --> 19:54.000]  Reach your alpha male potential with Alpha Power.
[19:54.000 --> 20:11.000]  Head to infowarslife.com and secure your bottle today.
[20:11.000 --> 20:26.000]  So I talked about something last segment I'm going to dig into more and it ties into Biden and ties into all of us.
[20:26.000 --> 20:38.000]  Think about how we just calmly discussed the fact that oh AI for many years secretly is writing news articles with information, with disinformation it's fed.
[20:38.000 --> 20:46.000]  That way you don't have a reporter that can come back later and say I was told to lie or you can't even basically expose the person.
[20:46.000 --> 20:56.000]  It's following orders, it doesn't have a conscience and it goes to the military and drones and combat robots being the real in game of the system
[20:56.000 --> 21:04.000]  because they won't ask questions, they will follow criminal orders and they can have their memories wiped.
[21:04.000 --> 21:11.000]  So there's no record of what the robots actually did. This is the world I'm talking about that removes humans from the process.
[21:11.000 --> 21:23.000]  On Tuesday I talked about how until the 1990s most public schools and schools for that matter made you use your mind to do math
[21:23.000 --> 21:35.000]  even though calculators, the Texas Instrument Calculator were around since the early 1970s and were thousands of dollars then and hundreds of dollars by the 80s and then just a few dollars by the 90s.
[21:35.000 --> 21:42.000]  And that through that process it's on record that most people are completely mathematically illiterate now.
[21:42.000 --> 21:53.000]  And I said the calculator is a great tool but look how it basically removed mathematics from our species. Think about cell phones.
[21:53.000 --> 22:02.000]  Until cell phones and until iPhones and smartphones came out in the last 15 years, I could remember the phone number I had when I was a teenager.
[22:02.000 --> 22:11.000]  I could remember my grandma's phone number, I could remember some of my girlfriend's numbers because I was trained, we were all trained to commit numbers to memory.
[22:11.000 --> 22:18.000]  Once I dialed a number two or three times, I could remember that number. You couldn't write it down but you could just punch it into the phone.
[22:18.000 --> 22:30.000]  It was mental memory, a form of like muscle memory. And now I can't remember my own phone number most of the time unless I go look it up because we all count on the phone to have the information for us.
[22:30.000 --> 22:38.000]  It's very convenient. And so the Democrats picked that up and the clip went viral online on Twitter and Facebook and news articles were written about it.
[22:38.000 --> 22:49.000]  Jones says the beginning of the end of humanity was calculators. No, that's not what I said. I said it was an example of how we were becoming domesticated mentally or beyond domesticated.
[22:49.000 --> 23:00.000]  I mean, go back to skeletons they dig up in ancient England, in ancient Africa, in ancient Europe, in ancient Asia, ancient, you name it.
[23:00.000 --> 23:24.000]  The people they estimate were twice as strong as they are today and a man from 5,000 years ago in England or a man from 1,000 years ago in Africa or a man from 6,000 years ago in the Middle East was twice as strong as the average man today just with their genetics.
[23:24.000 --> 23:42.000]  But now we're becoming softer and softer and softer and the televisions and the dopamine and the smartphones on record have lowered the average human's attention span in the modern world to less than 14 seconds.
[23:42.000 --> 23:58.000]  The attention span of a goldfish is about 16 seconds. A lot of fish have short attention spans and short memories. That's why you have Finding Nemo and there's the joke with Dory, the fish that can't remember 10 seconds to the next because it just doesn't have an attention span.
[23:58.000 --> 24:12.000]  And once you haven't been trained to have an attention span, even if you're watching a two-hour program, there's lots of new things happening every three or four seconds. You look at old movies, they're drawn out, they build the scenes.
[24:12.000 --> 24:19.000]  There's more to the lighting and more to the nuance and you watch it and it's so much more fulfilling and real.
[24:19.000 --> 24:29.000]  And now you look at the Avengers movies and the rest of it, stuff's changing every two seconds and that wires the brain in all the studies to not operate as well.
[24:29.000 --> 24:37.000]  And television and screen time is directly linked, going back decades, to early onset of neurological disorders and things like Alzheimer's.
[24:37.000 --> 24:49.000]  Let's type into Google Web, television, watching linked to Alzheimer's and British study, you'll get a 15, 16, 17-year-old articles out of the BBC.
[24:49.000 --> 24:56.000]  But now that I've even run those articles and point that out and warn people, so what does it mean when humans are taken out of the equation?
[24:56.000 --> 25:11.000]  Well, it means we become, by action, obsolete, which is what Noah Yamal Harari and Klaus Schwab and Bill Gates are telling you.
[25:11.000 --> 25:20.000]  So do we really want to be obsolete? Do we really want to be sedentary? Do we want to be like the people on the big cruise ship floating around in space in the movie Wally?
[25:20.000 --> 25:29.000]  Because that's how the establishment sees you and that's the system they set up and I'm not perfect either. I'm not saying I don't watch too much TV or eat too much food or not exercise enough.
[25:29.000 --> 25:37.000]  But at least I understand the condition I'm in, I understand the condition they want to get me deeper into and knowing is literally half of that fight.
[25:37.000 --> 25:42.000]  So here it is, AI replaces humans in job role for months.
[25:42.000 --> 25:50.000]  No one noticed. A popular news outlet has been publishing articles written by AI since November, keeping it on the down low.
[25:50.000 --> 26:00.000]  According to Futurism and online marketing, Gail Bretton, tech brand CNET has been using AI writers and lots of readers don't seem to have noticed.
[26:00.000 --> 26:08.000]  Artificial intelligence replaced humans in job role for months and no one noticed.
[26:08.000 --> 26:17.000]  Professional trolls, Twitter files show company New Democrat claims about Russian bots were false, but they put out the fake news knowing was alive.
[26:17.000 --> 26:25.000]  Of course they did. Breaking New Twitter files expose how Democrat politicians knowingly spread the Russiagate lie.
[26:25.000 --> 26:35.000]  And it goes on from there. So I know you all already know this, but I'm simply saying we should have a bigger or in-depth discussion about it and ask ourselves,
[26:35.000 --> 26:44.000]  how do we basically protect ourselves from these type of systems and how do we make ourselves stronger, not weaker?
[26:44.000 --> 26:55.000]  Well, we first recognize it's going on and don't make jokes about it because it's documented that this is hurting humanity and that we're going in the wrong direction
[26:55.000 --> 27:00.000]  and the technology can be used to empower us, but instead it's being used to enslave us.
[27:00.000 --> 27:05.000]  Obviously the big elephant in the room I haven't mentioned yet. I'm going to get to it next segment.
[27:05.000 --> 27:12.000]  Update, 54-year-old Lisa Marie Presley suffered full cardiac arrest at home, rushed to hospital and died.
[27:12.000 --> 27:17.000]  You say, well, she didn't die from the shot. It could just be a coincidence.
[27:17.000 --> 27:24.000]  Well, not when the statistics show a 13% increase in overall death year after year since the shots began, a record number.
[27:24.000 --> 27:34.000]  We've got some other unbelievable news that ties into this when we come back and then that gets into this other stack of news
[27:34.000 --> 27:42.000]  that the whole transgender movement is a transhumanist movement for a post-human genetic engineered cybernetic world
[27:42.000 --> 27:48.000]  and it's groups of academics and academic elites that are actually the high priest of this new system.
[27:48.000 --> 27:56.000]  It's not about a man's right to feel like a woman and live their life as a woman. That's somebody's right and I don't hate them for it.
[27:56.000 --> 28:07.000]  It is a larger program to get us to accept that, then we'll accept human animal hybrids, human spliced, genetically engineered humanoids
[28:07.000 --> 28:13.000]  and we'll be forced to accept them as having rights, but they'll be controlled by the system and programmed by the system
[28:13.000 --> 28:18.000]  and will be a new force to be used against what's left of humanity.
[28:18.000 --> 28:26.000]  Organization of non-binary scientists influence universities, professional orgs and publications, big article on infowords.com
[28:26.000 --> 28:31.000]  and then we've got this important stack of news.
[28:31.000 --> 28:38.000]  University Medical System at Pittsburgh says they're going to get taxpayer money to put uteruses in men.
[28:38.000 --> 28:45.000]  I have video of that. That's coming up next segment and we're going to get into the COVID vaccine poison news
[28:45.000 --> 28:50.000]  and at least I'm going to read Presley straight ahead on the other side.
[28:50.000 --> 28:54.000]  Then we're going to look at the economy, war, all the big trends with your old Shalinte
[28:54.000 --> 29:09.000]  and then we're going to get into a bunch of other critical news in the third hour.
[29:25.000 --> 29:31.000]  Millions of people today visiting Band-Aid video, but you can take that information and cause a bigger ripple effect,
[29:31.000 --> 29:37.000]  an amplifying effect and make sure it gets out to your friends, your family, your neighbors and perfect strangers.
[29:37.000 --> 29:43.000]  You are the modern Paul Revere's. You are what takes our information and amplifies it.
[29:43.000 --> 29:48.000]  When you decide to take action, we as a species and as a race are invincible.
[29:48.000 --> 29:56.000]  So I thank you all for your past action and I challenge you to redouble your efforts now because humanity and the children are counting on you.
[30:18.000 --> 30:23.000]  And God gave us through Mother Nature incredible compounds that will supercharge our body,
[30:23.000 --> 30:26.000]  stamina, libido, energy and immune systems.
[30:26.000 --> 30:33.000]  And we came out many years ago with real red pill plus that has all the documented compounds like preglonone
[30:33.000 --> 30:41.000]  and so much more to supercharge your body and to give your body the key elements
[30:41.000 --> 30:45.000]  and the key ingredients it needs to function at a proper level.
[30:45.000 --> 30:48.000]  This is the answer to the New World Order's tyranny.
[30:48.000 --> 30:56.000]  This is real red pill plus sold out for two years, 50% off at infowarstore.com.
[30:56.000 --> 31:19.000]  Get the red pill plus exclusively infowarstore.com.
[31:26.000 --> 31:31.000]  Make it easy to fund with great products and power you and your immune system and your family as well.
[31:31.000 --> 31:35.000]  You can also make straight donations at infowarstore.com, clicking on the big red banner.
[31:35.000 --> 31:39.000]  A one-time or recurring, but I'm asking you to take action. We're non-violent.
[31:39.000 --> 31:43.000]  But every time you donate money, every time you buy products, every time you keep us on air,
[31:43.000 --> 31:50.000]  you are literally non-violently politically punching the New World Order in the nose, punching their lies in the nose.
[31:50.000 --> 31:53.000]  We are going to defeat the New World Order. We're going over the top.
[31:53.000 --> 32:00.000]  But right now is the critical juncture, so please go to infowarstore.com and donate now.
[32:00.000 --> 32:07.000]  I have an extremely important message to all of my fellow info warriors here in the United States and around the world.
[32:07.000 --> 32:11.000]  We are so excited to announce Info Wars MD.
[32:11.000 --> 32:16.000]  It turns out the top company in the U.S. for supplements is owned by a patriot.
[32:16.000 --> 32:23.000]  And it turns out they're willing to give us deals that no one else is getting because they want to support Info Wars and keep us on the air.
[32:23.000 --> 32:27.000]  This deal has been a year in the making and finally the products are being brought to market.
[32:27.000 --> 32:38.000]  Up to 50% off what you get on top national brands of the highest rated under the Info Wars label, Info Wars MD, exclusively at infowarstore.com.
[32:38.000 --> 32:47.000]  Check out the first of 10 new products at infowarstore.com, whether it's turmeric or whether it's joint care or whether it is super greens.
[32:47.000 --> 32:55.000]  We have them all at infowarstore.com under the banner of Info Wars MD.
[32:55.000 --> 33:09.000]  This is the best deal out there and it keeps Info Wars on the air, Info Wars MD.
[33:25.000 --> 33:28.000]  You want to stop tyranny? Well, so does he.
[33:28.000 --> 33:37.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[33:37.000 --> 33:47.000]  So, a lot of videos have come out in the last few years of medical ads at major universities across not just the United States but the Western world.
[33:47.000 --> 33:59.000]  Particularly the US, Canada, Australia, New Zealand, UK, Europe saying, hey, we're going to make a lot of money cutting women's breast off mastectomies,
[33:59.000 --> 34:03.000]  hysterectomies cutting out their uteruses.
[34:03.000 --> 34:07.000]  We're going to make a lot of money cutting little boys' penises and testicles off.
[34:07.000 --> 34:17.000]  And then they'll mention, well, we make 50 grand on this and 20 grand on that. And our universities, you know, just done a thousand of these this year, we're ramping up to 10,000 next year.
[34:17.000 --> 34:20.000]  You've seen the chilling videos.
[34:20.000 --> 34:25.000]  And that's what this is about at the level of the hospitals is making the money.
[34:25.000 --> 34:43.000]  But the big academics and the big think tanks and MI6 and the Pritzker's and a lot of the big Republican Party donors are also pushing this, not just the Democrats and major groups like Disney and Microsoft have given every year
[34:43.000 --> 34:56.000]  millions and millions of dollars, not just here but all over the world to pay for drag queen story time with big fat, ugly men dressed like clowns who were hideous to get children to go sit in their laps.
[34:56.000 --> 35:01.000]  In some cases when the men are not even wearing underwear, they put glitter on their penises.
[35:01.000 --> 35:04.000]  And we shot this in Austin in a major event.
[35:04.000 --> 35:11.000]  Stations have asked us not even to show it, but this is what children are going through, ladies and gentlemen.
[35:11.000 --> 35:18.000]  If you went and sat on a man's erection that had glitter on it at a topless bar, the police would arrest you.
[35:18.000 --> 35:20.000]  It's illegal.
[35:20.000 --> 35:23.000]  But if it's a child, oh, it's liberal, it's supposedly normal.
[35:23.000 --> 35:26.000]  That's been pointed out at different school boards all over the country.
[35:26.000 --> 35:37.000]  I saw a new one that Crowder put out two days ago where the school board would not let the mother read what was in the book that the middle schoolers were given.
[35:37.000 --> 35:47.000]  And they cut her time off and say, you can't speak. So her son steps up who's in high school and says, our software at school won't let us go to this book.
[35:47.000 --> 35:52.000]  And he lists the book that has graphics of little boys having sex with old men.
[35:52.000 --> 35:55.000]  And he says, but it's in the library.
[35:55.000 --> 36:03.000]  So the software the school has won't let you go to that site, rightfully so, off of the libraries or off your laptop.
[36:03.000 --> 36:08.000]  But it can be given to the children as a book. See how evil that is?
[36:08.000 --> 36:10.000]  We can't show you this on air.
[36:10.000 --> 36:19.000]  And I don't want to. What is given to middle school and elementary students and high schoolers, but they can give it to them.
[36:19.000 --> 36:23.000]  School board cuts off mom for reading out of sex scene from book available to students.
[36:23.000 --> 36:25.000]  Yeah, there's an example. Epic times right there.
[36:25.000 --> 36:27.000]  Epic times.
[36:27.000 --> 36:33.000]  So this is a big, big deal and it's scientific and it's corporately funded.
[36:33.000 --> 36:36.000]  It's not a bunch of lone perverts out there doing this.
[36:36.000 --> 36:52.000]  They have recruited many of the sex criminals to go out and do this because if you'll put up with children dancing in front of men in G strings with their Johnson's flopping around and let the kids stick money in their G strings.
