[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[05:52.000 --> 05:58.000]  Because of this, so to make up the shortfall, please buy t-shirts, books, films, things like that at M4.com.
[05:58.000 --> 06:27.000]  And please try to keep us on the air.
[06:27.000 --> 06:30.000]  That's the great Eric Clapton bringing us in.
[06:30.000 --> 06:37.000]  His family bullied him into taking the Pfizer shot, almost killing, paralyzing for a while.
[06:37.000 --> 06:41.000]  He had other friends that got deathly ill from it as well.
[06:41.000 --> 06:49.000]  You can't swing a stick in the dark and not hit somebody who's gotten hurt by this so-called vaccine.
[06:49.000 --> 06:54.000]  Alright, my friends, thank you so much for joining us on this live July 7th, Wednesday broadcast.
[06:54.000 --> 06:58.000]  And we've got, wow, a lot of amazing information today.
[06:58.000 --> 07:05.000]  Max Kaiser is in Austin, Texas for his big event tonight, the F. Elon Musk event.
[07:05.000 --> 07:06.000]  It's what it's called.
[07:06.000 --> 07:07.000]  And he's going to be in studio.
[07:07.000 --> 07:10.000]  We have Nick Fuentes, who's also in Central Texas.
[07:10.000 --> 07:15.000]  He just was on American Journal with Harrison Smith.
[07:15.000 --> 07:16.000]  That was very informative.
[07:16.000 --> 07:20.000]  He's going to be in studio with us as well today.
[07:20.000 --> 07:25.000]  And there's always the classic topics with both those guys, Bitcoin and the economy with Kaiser.
[07:25.000 --> 07:33.000]  And of course, the attack on the new right and the alt right by the media and Fuentes being on a no fly list.
[07:33.000 --> 07:35.000]  I'm interested to find out how he got down here.
[07:35.000 --> 07:36.000]  Maybe he's off the no fly list.
[07:36.000 --> 07:38.000]  I've been so busy, I haven't asked him yet.
[07:38.000 --> 07:40.000]  We'll discover that here on air today.
[07:40.000 --> 07:47.000]  But here's one of those moments where we've been so far ahead of the curve, we're behind it.
[07:47.000 --> 07:48.000]  You know what I mean?
[07:48.000 --> 07:49.000]  Sometimes you get so far ahead.
[07:49.000 --> 07:51.000]  You kind of find your tail.
[07:51.000 --> 07:56.000]  You come back and kind of lap yourself and lap everybody else.
[07:56.000 --> 07:58.000]  And I'd love to take the credit for it.
[07:58.000 --> 08:00.000]  A lot of people are freaking out right now.
[08:00.000 --> 08:02.000]  That was trending again all over the internet yesterday.
[08:02.000 --> 08:07.000]  Alex Jones predicting door to door forced inoculations.
[08:07.000 --> 08:13.000]  And Jeepers Creepers, you know, Metallica is going back on tour.
[08:13.000 --> 08:16.000]  And they're going to be in Kentucky and they're going to be in Florida.
[08:16.000 --> 08:20.000]  And they're going to be other places in September.
[08:20.000 --> 08:23.000]  And I'd kind of like to go see Metallica again.
[08:23.000 --> 08:25.000]  I haven't seen it in probably 20 years, but I probably won't.
[08:25.000 --> 08:30.000]  But the point is, I know where they're having shows.
[08:30.000 --> 08:34.000]  Just like George Strait is going to be playing the Houston Rodeo coming up in a few months.
[08:34.000 --> 08:38.000]  And I may get tickets to that just because I really love George Strait.
[08:38.000 --> 08:43.000]  But see, if George Strait shows up in a month and a half at the Houston Rodeo and people go,
[08:43.000 --> 08:46.000]  how the hell did Alex Jones say George Strait was going to show up here?
[08:46.000 --> 08:48.000]  Because he made an announcement.
[08:48.000 --> 08:50.000]  See?
[08:50.000 --> 08:52.000]  And so this is a real paradox.
[08:52.000 --> 08:54.000]  They're calling me Nostradamus.
[08:54.000 --> 09:00.000]  They are just everywhere saying, oh my God, everything he says keeps happening just like he said.
[09:00.000 --> 09:05.000]  And that's fun to have people saying all that, but that's not what's happening.
[09:05.000 --> 09:14.000]  Do you understand that I can play you hours of Bill Clinton and George Soros and Hillary and Chelsea
[09:14.000 --> 09:20.000]  bragging that they get billions of dollars a year to run the contact tracers
[09:20.000 --> 09:27.000]  and that they are going to be coming to your door with forced inoculation soon?
[09:27.000 --> 09:32.000]  They said that last year, licking their damn lips,
[09:32.000 --> 09:37.000]  and then I read what the UN said the plan was when they released the next virus
[09:37.000 --> 09:41.000]  is to actually take people out of their houses and put us in giant emergency camps,
[09:41.000 --> 09:46.000]  which they're admittedly building in the US, already have in Europe, Australia, New Zealand, Canada,
[09:46.000 --> 09:49.000]  and they're already putting tens of thousands of people on them.
[09:49.000 --> 09:54.000]  And this is a way to disappear their political dissonance and just get used to police coming to people's houses
[09:54.000 --> 09:56.000]  and dragging people away.
[09:56.000 --> 10:00.000]  And they admit that's the plan total martial law.
[10:00.000 --> 10:06.000]  But see, the average person doesn't think 10, 15 steps ahead or read globalist white papers like I do.
[10:06.000 --> 10:12.000]  I spent another two hours last night reading Davos group white papers because it's knowing the future.
[10:12.000 --> 10:14.000]  They run the damn planet.
[10:14.000 --> 10:21.000]  So of course, Biden came out said we're coming to your door to harass you to take a shot yesterday.
[10:21.000 --> 10:24.000]  He's a puppet.
[10:24.000 --> 10:26.000]  And I'll use this analogy again.
[10:26.000 --> 10:32.000]  If I was going to go to see the Nutcracker at the Austin Symphony, which I've probably seen six, seven times with my children over the years,
[10:32.000 --> 10:35.000]  it's a great Christmas tradition.
[10:35.000 --> 10:37.000]  I know the Nutcracker.
[10:37.000 --> 10:41.000]  I've seen the Nutcracker a bunch in my life, probably 20 times total in my life.
[10:41.000 --> 10:45.000]  My mom used to take me there when I was a kid, the Dallas Symphony.
[10:45.000 --> 10:50.000]  But if I'd never been to the Nutcracker, they give you a program and it tells you what's coming up next.
[10:50.000 --> 11:02.000]  So we can beat this real easy if we stop taking each phase of it like it's new and just grew out of a jack in the beanstalk somewhere.
[11:02.000 --> 11:04.000]  This is all real.
[11:04.000 --> 11:06.000]  This is a program.
[11:06.000 --> 11:08.000]  It's an operation.
[11:08.000 --> 11:19.000]  Kind of like I know every summer on the side of the highway in Texas, they're going to be selling peaches on the side of the road because that's when the peaches come in.
[11:19.000 --> 11:28.000]  Kind of like I know that once the fall of the winter gets here and once it's Thanksgiving, that's deer hunting season.
[11:28.000 --> 11:36.000]  So I'm not Nostradamus when I tell you what they're going to do.
[11:36.000 --> 11:43.000]  It's just when I tell you at the time, it sounds crazy because we all have a normalcy bias of living in a free country when we don't now.
[11:43.000 --> 11:47.000]  And they're in the process of destroying what freedoms are left.
[11:47.000 --> 11:53.000]  So let me tell you what's coming up today and let me explain what's going to come next.
[11:53.000 --> 11:57.000]  Because I could sit there and play the clips of me predicting and all and then show it come true.
[11:57.000 --> 12:05.000]  But wouldn't you rather just skip right ahead to the end so that people get horrified and say no to this and we stop this total nightmare.
[12:05.000 --> 12:07.000]  Can we please maybe just maybe do that?
[12:07.000 --> 12:13.000]  Okay, that'd be nice because that's where we are.
[12:13.000 --> 12:20.000]  This is an exact plan like Biden got up and he said, if I get elected, surge the border.
[12:20.000 --> 12:22.000]  Then he acts like he doesn't know what's going on.
[12:22.000 --> 12:36.000]  This is all premeditated and they're going to destabilize the country till it economically and culturally collapses and use that as the cover as the global world reset where you get a global ID and a global cell phone and a global chip in your body.
[12:36.000 --> 12:38.000]  And again, how do I know that's going to happen?
[12:38.000 --> 12:43.000]  It's in all the Davos Group and UN announcements. I can play videos of them saying it.
[12:43.000 --> 12:47.000]  They're not playing games.
[12:47.000 --> 12:53.000]  They are already killing millions of people with the poison vaccines. It's confirmed.
[12:53.000 --> 12:59.000]  And so we're living in the last days of even being able to be on air and talk about this.
[12:59.000 --> 13:07.000]  You're going to need to record all these shows. You're going to need to get ready to make copies because once everybody's off the air, oh, this information will be trillions of time for power.
[13:07.000 --> 13:13.000]  That's why we're way ahead of them in ways because so many people have been educated about the globalist plan.
[13:13.000 --> 13:18.000]  When they clamp things down and take everybody off the air, folks are going to know the extermination comes next.
[13:18.000 --> 13:21.000]  They're going to know going along with what's going to mean the enemy wins.
[13:21.000 --> 13:27.000]  And so they're going to end up losing. They were going to win if we hadn't done this up front and if I hadn't sacrificed my ass to do it.
[13:27.000 --> 13:33.000]  But I was going to get destroyed anyway, so I might as well make sure they lose even though they're going to take me down with them.
[13:33.000 --> 13:39.000]  And I get my most enjoyable pleasure out of that because they're not going to win. They're going to lose.
[13:39.000 --> 13:45.000]  And we've seen to that, haven't we together? You who supported this show, you did it.
[13:45.000 --> 13:52.000]  Because when it comes to knowing their operations, that's just right there in black and white print.
[13:52.000 --> 13:59.000]  But I am able to put two and two together about their operations and they're never going to get away with their plans.
[13:59.000 --> 14:08.000]  Too many people are awake. And again, when people figure out that this is a horror movie, not a utopia, not a love story,
[14:08.000 --> 14:13.000]  they're going to realize there's nothing to do left but fight and resist and not go along with it.
[14:13.000 --> 14:16.000]  And that means the servants of the system. That means everybody.
[14:16.000 --> 14:23.000]  You see, when Hitler invaded Russia, it's a great allegory or parallel to where we are today,
[14:23.000 --> 14:29.000]  he went 500, 600, 700 miles in with no resistance because the people didn't like the communists.
[14:29.000 --> 14:36.000]  They thought he was a savior. But as soon as he started putting them in forced labor camps and killing people, they turned against him.
[14:36.000 --> 14:40.000]  And it's the same thing. A lot of the dumb liberals and people really think they're about to have a utopia.
[14:40.000 --> 14:44.000]  They think they're about to get everything for free. They really think that the vaccines are to help them.
[14:44.000 --> 14:52.000]  When they all start dropping dead and dying, which is beginning, they're going to figure out real quick they've been totally and completely betrayed.
[14:52.000 --> 14:55.000]  And so that's where this is.
[14:55.000 --> 15:01.000]  Now, instead of the globalists are invading and people all think they're there to save,
[15:01.000 --> 15:05.000]  more than half the public don't trust them, don't like them and know it's a takeover.
[15:05.000 --> 15:08.000]  They just have a normalcy bias and can't believe it's getting this bad this fast.
[15:08.000 --> 15:14.000]  And I assure you, the good old days, baby, are gone, gone, gone.
[15:14.000 --> 15:19.000]  The days of just happy go lucky and you don't even know about politics is over.
[15:19.000 --> 15:33.000]  We are going into a savage, protracted nightmare situation, turning tens of millions of leftists loose on your home with code inspectors, environmental prospectors,
[15:33.000 --> 15:36.000]  contact tracer inspectors.
[15:36.000 --> 15:41.000]  And if you don't do what they say, they're going to pull up front of your house and burn it down with a freaking flame thrower.
[15:41.000 --> 15:44.000]  I mean, they're coming to kill you and your family. They can't wait.
[15:44.000 --> 15:46.000]  They've been spoiling by the fight.
[15:46.000 --> 15:49.000]  They got control of the Pentagon is declaring war on America.
[15:49.000 --> 15:53.000]  And we are, we are in deep trouble, but at least we know who the enemy is and we're going to win.
[15:53.000 --> 15:54.000]  Stay with us.
[16:01.000 --> 16:03.000]  Your voice counts.
[16:03.000 --> 16:08.000]  When you share information, be it over the Internet or in person, it changes the world.
[16:08.000 --> 16:11.000]  The globalists know their agenda is unpopular.
[16:11.000 --> 16:12.000]  They know you're angry.
[16:12.000 --> 16:17.000]  And now to get around big tech, it's more important than ever to use every tool we've got.
[16:17.000 --> 16:25.000]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds,
[16:25.000 --> 16:28.000]  both the regular shows and special reports and share them with everyone you know.
[16:28.000 --> 16:47.000]  Take action now by texting the word news in EWS to 833-470-0438. That's 833-470-0438 for info or emergency news alerts or text the word show to 833-470-0438 and receive live show notifications.
[16:47.000 --> 16:52.000]  Take action now, create the chain reaction and tell others to share those texts.
[16:52.000 --> 16:59.000]  Get news alerts at 833-470-0438.
[16:59.000 --> 17:02.000]  Gerald in South Carolina, go ahead, you're on the air trying to move quicker.
[17:02.000 --> 17:03.000]  Hey, Alex.
[17:03.000 --> 17:04.000]  Welcome.
[17:04.000 --> 17:08.000]  Would like to say first off, thanks for being the voice of reason and amongst all this stupidity.
[17:08.000 --> 17:12.000]  Wanted to warn people, I've been trying to get ahold of you for a year, okay?
[17:12.000 --> 17:18.000]  I'm a double amputee and I have bacteria infection on my lung that'll never go away.
[17:18.000 --> 17:24.000]  Living defense saved my life. They had me on antibiotics for two years that almost killed me.
[17:24.000 --> 17:26.000]  Living defense brought me back.
[17:26.000 --> 17:31.000]  I wanted to just quote from the Bible, Jesus is saying as to where we are right now.
[17:31.000 --> 17:59.000]  This is Matthew 24, verse 9, and that's because God's name is on the founding of this country no matter what they say and that's why the enemy hates it because God created this country.
[17:59.000 --> 18:04.000]  I'm up here working on a Thursday night in mid-April 2021 and I just want to say something.
[18:04.000 --> 18:09.000]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[18:09.000 --> 18:14.000]  It is truly an answer to prayer and I am so blessed and thankful for all of you, the listeners of this show.
[18:14.000 --> 18:17.000]  I want you to know that I love you and I appreciate you.
[18:17.000 --> 18:21.000]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter, you got red blood.
[18:21.000 --> 18:32.000]  And if you love freedom and justice and if you love our innocent children, we are brothers and sisters together and it has just been an incredible experience to work with you over the years.
[18:32.000 --> 18:36.000]  And as crazy your things are, I want to keep working under the future.
[18:36.000 --> 18:39.000]  But again, that's really up to you and up to God.
[18:39.000 --> 18:44.000]  So please, I hope God works through you and puts a message in your heart to support us.
[18:44.000 --> 18:46.000]  But again, that's up to you and your relationship with God.
[18:46.000 --> 18:51.000]  I just want to thank you all for the years of support you've given us and what you've done.
[18:51.000 --> 18:55.000]  And just ask you again to pray to God and ask what God's vision is for you.
[18:55.000 --> 19:22.000]  And hopefully God will touch your heart to continue to support him for worse. God bless.
[19:22.000 --> 19:27.000]  In 1814 we took a little trip along with Colonel Jackson down to mighty Mississippi.
[19:27.000 --> 19:33.000]  We took a little bacon and we took a little beans and we caught the bloody British in a town in New Orleans.
[19:33.000 --> 19:38.000]  We fired our guns and the British kept becoming. There wasn't as many as there was a while ago.
[19:38.000 --> 19:46.000]  We fired once more and they began to run in on down to Mississippi to the Gulf of Mexico.
[19:46.000 --> 19:52.000]  We looked down a river and we see the British come and they must have been a hundred of people on the drums.
[19:52.000 --> 19:57.000]  They stepped so high and they made the fables ring. We stood beside our cotton bales and didn't say a thing.
[19:57.000 --> 20:00.000]  We fired our guns and the British kept becoming.
[20:00.000 --> 20:05.000]  All right. Let me do it this way. You're on the Alex Jones show.
[20:05.000 --> 20:11.000]  Let me just read you a few of the current headlines and then connect the dots.
[20:11.000 --> 20:15.000]  But at this point you don't even need to connect the dots. This is a crystal clear picture.
[20:15.000 --> 20:24.000]  You notice Pelosi announced a new federal agency, a new federal Praetorian Guard that is exempt from oversight
[20:24.000 --> 20:30.000]  and that is exempt from the Freedom of Information Act or the National Security Act.
[20:30.000 --> 20:33.000]  Just so happens the Capitol Police are exempt from all of that.
[20:33.000 --> 20:36.000]  A tiny Praetorian Guard only on that property.
[20:36.000 --> 20:40.000]  Now they're announcing all 50 states, not just Florida and California,
[20:40.000 --> 20:47.000]  but first of Florida, California are now opening offices to track anyone criticizing Congress
[20:47.000 --> 20:52.000]  like they are the secret service.
[20:52.000 --> 20:55.000]  You're like, well, that's unconstitutional. That's crazy.
[20:55.000 --> 20:58.000]  We already have an out of control FBI.
[20:58.000 --> 21:02.000]  But there is statutes to have that going back to Constitution.
[21:02.000 --> 21:09.000]  So you got the ATF and all the rest of it dealing with interstate crimes and things.
[21:09.000 --> 21:14.000]  But that's what those agencies do, though they're bloated, not of control and political.
[21:14.000 --> 21:24.000]  To say that a branch of government by itself now, the legislative, outside of law,
[21:24.000 --> 21:29.000]  is going to deploy off of its little postage stamp size territory.
[21:29.000 --> 21:32.000]  Its jurisdiction is just part of the course.
[21:32.000 --> 21:39.000]  Now, the UN says what can be said and what can't be said about COVID and COVID treatments or where it came from.
[21:39.000 --> 21:43.000]  Oh, we say it didn't come out of Wuhan, a lab the UN was running.
[21:43.000 --> 21:48.000]  And the people writing the white washes of the Lancet Journal are the people that ran the program.
[21:48.000 --> 21:50.000]  Peter Dazzy.
[21:50.000 --> 21:55.000]  Oh, and you, by the way, you can't say hydroxychloroquine and you can't say Remdesivir.
[21:55.000 --> 22:00.000]  And you can't say any of these things, even though they're like a 99% effective because we said so.
[22:00.000 --> 22:03.000]  I mean, the UN's already in charge of our speech.
[22:03.000 --> 22:11.000]  So why shouldn't we have close, he just says, I'm opening federal police offices everywhere.
[22:11.000 --> 22:17.000]  That are intelligence agencies and watch right wingers.
[22:17.000 --> 22:23.000]  Because 600 people went in, maybe 50 of them got in the fight with the police, one guy pooped on her desk.
[22:23.000 --> 22:32.000]  And so they call it the biggest attack in our country's history is bigger than 9-11 as big as Pearl Harbor.
[22:32.000 --> 22:37.000]  Not since Pearl Harbor has it been so bad, says their talking point.
[22:37.000 --> 22:39.000]  And here they are.
[22:39.000 --> 22:42.000]  You add to that what I told you was coming next.
[22:42.000 --> 22:44.000]  And I'm going to explain this very calmly.
[22:44.000 --> 22:51.000]  Bill Gates, Klaus Schwab, Fauci, all of them have given speeches.
[22:51.000 --> 22:53.000]  All of them have been written white papers.
[22:53.000 --> 22:58.000]  All of them have been heavily involved saying we're going to release a virus or a virus is going to appear.
[22:58.000 --> 23:06.000]  It's not that deadly, but it'll be the test to get the control measures in for a UN response to terrorists releasing a really serious bio weapon.
[23:06.000 --> 23:12.000]  And the good part about this is we'll be able to shut down non-essential parts of the economy and cut the carbon,
[23:12.000 --> 23:16.000]  which means make you a prisoner, a slave, a North Korean overnight.
[23:16.000 --> 23:22.000]  And they wrote that 11 years ago, 7 years ago, 5 years ago, 4 years ago, 3 years ago, 3 years ago.
[23:22.000 --> 23:26.000]  And we've already gone over Crimson Contagion in Event 201 and Operation Lockstep.
[23:26.000 --> 23:29.000]  We've done whole shows on each one.
[23:29.000 --> 23:36.000]  And they lay out exactly how they're going to do it and how they're going to bring in a world ID and an implantable chip and a world medical system.
[23:36.000 --> 23:40.000]  And you'll get to travel outside your town three times in your lifetime.
[23:40.000 --> 23:42.000]  You'll get meat once a year on your birthday.
[23:42.000 --> 23:45.000]  And no one will be allowed to have cars except for you and bureaucrats.
[23:45.000 --> 23:47.000]  And by the way, they've officially done that.
[23:47.000 --> 23:48.000]  I'm going to show you that in a moment.
[23:48.000 --> 23:51.000]  They exempt themselves from taxes in the EU and the UN.
[23:51.000 --> 23:52.000]  They will be allowed to have jets.
[23:52.000 --> 23:54.000]  No one else will be allowed to use jets.
[23:54.000 --> 23:56.000]  It's all been announced today.
[23:56.000 --> 23:57.000]  You're like, well, that's tyranny.
[23:57.000 --> 24:01.000]  Oh, exactly.
[24:01.000 --> 24:05.000]  So the White House is embracing new lockdowns.
[24:05.000 --> 24:09.000]  This is out of the Associated Press quoted in Town Hall.
[24:09.000 --> 24:18.000]  Fauci is now saying we need new lockdowns because of the Delta Plus variant and some other thing that they lie about and say is super deadly.
[24:18.000 --> 24:24.000]  The exact same lies of a year and a half ago being run again against us now.
[24:24.000 --> 24:27.000]  But they know if you realize there's no hope, you fight back.
[24:27.000 --> 24:30.000]  So they go, oh, we're going to take the restrictions off and then right back.
[24:30.000 --> 24:32.000]  That's the enemy's tactic.
[24:32.000 --> 24:40.000]  Just like the country wakes up to critical race theory saying white people are inherently evil, great racial division and so absolute despotism.
[24:40.000 --> 24:43.000]  And so what have they announced in Europe, Australia and the US this week?
[24:43.000 --> 24:45.000]  It doesn't exist.
[24:45.000 --> 24:52.000]  And the National Education Association came out and said it doesn't exist as a conspiracy theory and deleted it off their website.
[24:52.000 --> 24:54.000]  But they're going to keep teaching.
[24:54.000 --> 24:57.000]  Oh, there's no drag queen story time.
[24:57.000 --> 24:58.000]  Oh, there's no convicted pedophiles.
[24:58.000 --> 25:13.000]  Oh, there's no, they just found out a state senator in Pennsylvania, a quote Republican who's married to the top Democrat was in satanic themed porn movies.
[25:13.000 --> 25:15.000]  Gregory's doing a report on that.
[25:15.000 --> 25:27.000]  And by the way, wait till you hear the themes of the movies are kidnapped women who are impregnated in gang rapes satanic events to then harvest the babies for blood drinking.
[25:27.000 --> 25:32.000]  Oh, my goodie, goodie gumdrop.
[25:32.000 --> 25:38.000]  So once you realize who we're up against, it all starts making a lot of sense.
[25:38.000 --> 25:40.000]  So you've got all that.
[25:40.000 --> 25:42.000]  Then you've got Biden.
[25:42.000 --> 25:44.000]  You've got Saki Jen Psaki.
[25:44.000 --> 25:56.000]  You've got them all following the exact UN plan that in the first phase, in countries that are used to freedom, you just get used to staying home, wearing masks, social distancing, getting tracking systems.
[25:56.000 --> 25:58.000]  The corporations enforce it.
[25:58.000 --> 26:04.000]  But in the areas like the UK, Canada, Australia that are globalist control, it never ends.
[26:04.000 --> 26:06.000]  And now they're announcing even bigger lockdowns.
[26:06.000 --> 26:07.000]  There was one case in the town.
[26:07.000 --> 26:08.000]  It's totally locked down.
[26:08.000 --> 26:10.000]  There were no cases in the town.
[26:10.000 --> 26:12.000]  But because there's no cases, we got to shut the town down.
[26:12.000 --> 26:14.000]  The cases might get there.
[26:14.000 --> 26:15.000]  We can't ever let you get sick again.
[26:15.000 --> 26:20.000]  And there's new variants because there's always new variants of cold viruses.
[26:20.000 --> 26:24.000]  And so they're now announcing, hey, we're going to come to your door.
[26:24.000 --> 26:36.000]  And then, oh, if we see signs that you have a fever, if we see signs that you're sick, or just maybe your neighbor did, we're just going to take you away for quarantine.
[26:36.000 --> 26:43.000]  If you actually have a fever, you're going to be isolated, and we're going to make a medical decision for you to intubate you.
[26:43.000 --> 26:47.000]  So if you're on the list, they send the contact tracers that are left to your house.
[26:47.000 --> 26:59.000]  They demand at gunpoint the PCR test that says you have COVID, you're taken away, you're strapped down, a leftist walks in, probably rapes you first, and then puts a tube down your throat into your lungs.
[26:59.000 --> 27:01.000]  They turn it up on high and kill you.
[27:01.000 --> 27:03.000]  And I'm not joking.
[27:03.000 --> 27:05.000]  They're going to murder you and your family.
[27:05.000 --> 27:13.000]  They already did all over New Jersey, all over Houston, Texas, all over New York, all over Europe, where they would get homeless people to say, hey, come on in here.
[27:13.000 --> 27:20.000]  Notice most of the deaths were at certain hotspot hospitals, and we even had medical nurses that were in there going, people would come in healthy, they were fine.
[27:20.000 --> 27:25.000]  They'd grab them, stick tubes down their neck and kill them, and get $53,000 for the murder.
[27:25.000 --> 27:29.000]  And see, you can't wake up to the fact that these are murder squads.
[27:29.000 --> 27:33.000]  Governor Northam keeps babies alive was his job before he was a governor.
[27:33.000 --> 27:37.000]  And they harvest their organs, and they legalized it in New York in places.
[27:37.000 --> 27:43.000]  These are ghouls, these are monsters. Imagine, no bottom, no morals, in fact, an enjoyment.
[27:43.000 --> 27:46.000]  An enjoyment for torture and death and raw power.
[27:46.000 --> 27:48.000]  And that's who they are.
[27:48.000 --> 27:54.000]  So when we come back, I'm going to lay out the plan for lockdown two, and the contact tracers coming to your house with weapons.
[27:54.000 --> 27:56.000]  We'll be right back. Stay with us.
[27:56.000 --> 28:01.000]  We'll be right back.
[28:26.000 --> 28:29.000]  People think I'm 55 years old.
[28:29.000 --> 28:37.000]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[28:37.000 --> 28:40.000]  But when I started taking it, I mean, it doesn't happen immediately.
[28:40.000 --> 28:52.000]  But, you know, over a period of time, I started noticing, okay, you know, this is the ticket, this is working, this is wonderful, you know, I don't have to put on derma blend anymore, you know.
