[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[00:11:36.612 --> 00:11:37.552]  Frontline infantry.
[00:11:37.552 --> 00:11:40.533]  In fact, forget about that.
[00:11:40.533 --> 00:11:42.294]  You'll be just a general.
[00:11:42.294 --> 00:11:43.634]  No military experience.
[00:11:43.634 --> 00:11:48.476]  We're gonna call you Gender Transitional General.
[00:11:48.476 --> 00:11:51.256]  In fact, it's a new post now.
[00:11:51.256 --> 00:11:52.977]  The Gender Bending General.
[00:11:55.049 --> 00:12:00.111]  Gender Bending General, appointed by Joe Biden.
[00:12:00.111 --> 00:12:06.873]  And if you actually look at the executive orders, 30 plus now, three or four of them are transgender stuff.
[00:12:06.873 --> 00:12:12.355]  Most of them are just China first, eliminating America first policy from Trump.
[00:12:12.355 --> 00:12:15.996]  They got about 15 COVID nonsensical ones.
[00:12:15.996 --> 00:12:17.497]  Again, he doesn't even know what's going on.
[00:12:18.561 --> 00:12:20.441]  He just sits down at a desk.
[00:12:20.441 --> 00:12:22.242]  There's a stack of executive orders.
[00:12:22.242 --> 00:12:23.462]  He just signs them.
[00:12:23.462 --> 00:12:27.063]  I mean, talk about how dangerous.
[00:12:27.063 --> 00:12:30.924]  We don't even have a president, ladies and gentlemen.
[00:12:30.924 --> 00:12:35.545]  The United States of America doesn't currently have a president.
[00:12:35.545 --> 00:12:37.386]  And our Congress has bought off and paid for.
[00:12:37.386 --> 00:12:43.207]  The media has bought off and paid for.
[00:12:43.207 --> 00:12:46.008]  And now that China knows Biden's on the leash with them,
[00:12:47.295 --> 00:12:49.456]  They're moving into Taiwan.
[00:12:49.456 --> 00:12:51.376]  They're moving into Hong Kong.
[00:12:51.376 --> 00:12:55.097]  They're expanding in the South China Sea.
[00:12:55.097 --> 00:12:58.298]  They're getting in battles with India at the border.
[00:12:58.298 --> 00:13:00.698]  Oh yeah.
[00:13:00.698 --> 00:13:06.280]  Now Walmart's canceling all their deals for Made in America products or buying from China.
[00:13:06.280 --> 00:13:11.101]  Headline from CNN, foreign companies are giving up on the United States and betting big on China.
[00:13:11.101 --> 00:13:14.202]  The China stock market's on the rise.
[00:13:14.202 --> 00:13:14.402]  Yeah.
[00:13:18.891 --> 00:13:24.713]  So what would you do if you wanted to weaken America?
[00:13:24.713 --> 00:13:29.014]  Well, you'd do exactly what Joe Biden is doing.
[00:13:29.014 --> 00:13:33.255]  You would do to a T what Joe Biden is doing.
[00:13:33.255 --> 00:13:44.178]  And in fact, it's already having disastrous effects on people's lives.
[00:13:44.178 --> 00:13:45.299]  And so here is a
[00:13:47.389 --> 00:14:05.333]  One of the men who was working on the Keystone Pipeline in clip four talking about how Joe Biden has already cost them hundreds of jobs.
[00:14:05.333 --> 00:14:08.893]  The numbers of jobs are thousands of jobs.
[00:14:08.893 --> 00:14:10.674]  There's Michaels, there's Precision Pipeline.
[00:14:12.301 --> 00:14:18.366]  Now, there were so many jobs in the oil industry under President Trump, they couldn't even hire enough people.
[00:14:18.366 --> 00:14:19.527]  These are jobs starting at like 70k a year.
[00:14:42.261 --> 00:14:49.422]  Biden just said, no more of that.
[00:14:49.422 --> 00:14:51.763]  Oh, we got a booming energy industry.
[00:14:51.763 --> 00:14:54.843]  We've got a booming oil industry.
[00:14:54.843 --> 00:14:59.564]  Yeah.
[00:14:59.564 --> 00:15:03.665]  And he gets up on the podium, reads off his little teleprompter.
[00:15:03.665 --> 00:15:07.846]  We got to do what's best for American workers.
[00:15:07.846 --> 00:15:09.606]  We got to get people back to work.
[00:15:10.845 --> 00:15:14.948]  We're gonna fix this economy!
[00:15:14.948 --> 00:15:18.290]  Oh, you thousands, tens of thousands in the oil industry?
[00:15:18.290 --> 00:15:21.713]  Nah, screw you.
[00:15:21.713 --> 00:15:23.694]  We will, oh, we won't ban fracking.
[00:15:23.694 --> 00:15:24.635]  We will ban fracking.
[00:15:24.635 --> 00:15:25.596]  We won't ban fracking.
[00:15:25.596 --> 00:15:26.616]  We will ban fracking.
[00:15:26.616 --> 00:15:28.077]  We won't ban fracking.
[00:15:28.077 --> 00:15:32.300]  We did ban fracking.
[00:15:32.300 --> 00:15:35.142]  Oh, and now?
[00:15:35.142 --> 00:15:38.585]  Imagine this, you're president of Guatemala, Honduras,
[00:15:40.046 --> 00:15:42.328]  Belize, you get a phone call?
[00:15:42.328 --> 00:15:43.870]  United States, what's this?
[00:15:43.870 --> 00:15:44.531]  Uh, yeah, this is, uh...
[00:15:46.260 --> 00:15:47.521]  Someone's calling on behalf of Joe Biden.
[00:15:47.521 --> 00:15:48.681]  He wants to offer you $4 billion.
[00:15:48.681 --> 00:15:49.822]  For what?
[00:15:49.822 --> 00:15:51.123]  We just want to give it to you.
[00:15:51.123 --> 00:15:52.083]  For real.
[00:15:52.083 --> 00:15:55.786]  Mexican leader says Joe Biden offered $4 billion for Central America.
[00:15:55.786 --> 00:15:57.206]  Just called him up and said, hey, you want some money?
[00:15:57.206 --> 00:15:57.847]  Not for you, though!
[00:15:57.847 --> 00:15:58.627]  Hey, everybody.
[00:15:58.627 --> 00:16:01.869]  Confused about staying healthy in a crazy COVID culture?
[00:16:01.869 --> 00:16:02.629]  Me too.
[00:16:02.629 --> 00:16:09.734]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[00:16:09.734 --> 00:16:13.716]  It's that immune system health can literally be the difference between life and death.
[00:16:14.116 --> 00:16:16.017]  You probably already believe that.
[00:16:16.017 --> 00:16:17.017]  I certainly do.
[00:16:17.017 --> 00:16:17.958]  So here's the thing.
[00:16:17.958 --> 00:16:26.861]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[00:16:26.861 --> 00:16:32.283]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[00:16:32.283 --> 00:16:33.344]  No cures or treatments there.
[00:16:33.644 --> 00:16:42.872]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[00:16:42.872 --> 00:16:43.773]  And the best part?
[00:16:43.773 --> 00:16:50.499]  You can go to the StrongerDefense website right now and claim your own supply of Immune 10X without paying anything today.
[00:16:50.499 --> 00:16:51.340]  Crazy, right?
[00:16:51.340 --> 00:16:55.323]  Learn more about this unusual limited time offer at StrongerDefense.com.
[00:16:55.323 --> 00:16:56.785]  That's StrongerDefense.com.
[00:16:57.543 --> 00:17:05.852]  Attention radio listeners, if you're concerned about the coming chaos after the November elections, this will be an extremely important message.
[00:17:05.852 --> 00:17:06.713]  Here's why.
[00:17:06.713 --> 00:17:13.641]  No matter what the outcome in November, catastrophic social upheaval is a very real possibility.
[00:17:13.641 --> 00:17:15.323]  Here's why this is important.
[00:17:15.323 --> 00:17:17.545]  Listen, we all know that silver and gold have been
[00:17:17.845 --> 00:17:18.345]  We're good.
[00:17:44.133 --> 00:17:49.516]  Visit SurvivalSeedBank.com this week and get hundreds of dollars in free bonuses.
[00:17:49.516 --> 00:17:50.816]  Beat the coming chaos.
[00:17:50.816 --> 00:17:52.197]  Beat rising food prices.
[00:17:52.197 --> 00:17:53.798]  But above all, don't wait.
[00:17:53.798 --> 00:17:58.680]  Beat the crowds by claiming your own Survival Seed Bank today.
[00:17:58.680 --> 00:18:03.223]  Introducing InfoWars Life Pure Turmeric Extract.
[00:18:03.223 --> 00:18:05.764]  This is taken under the tongue.
[00:18:05.764 --> 00:18:06.905]  It is pure turmeric.
[00:18:07.964 --> 00:18:17.156]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[00:18:17.156 --> 00:18:23.003]  This is absorbed under the tongue, into the bloodstream, and then the remaining also is then absorbed by the stomach.
[00:18:23.003 --> 00:18:25.166]  So it's more of an intense delivery system.
[00:18:25.606 --> 00:18:28.847]  The two formulas are different, but both are concentrates.
[00:18:28.847 --> 00:18:30.687]  And our first product got rave reviews.
[00:18:30.687 --> 00:18:32.807]  We've now been testing this out for several months.
[00:18:32.807 --> 00:18:34.988]  Some of our staff like it more than bodies.
[00:18:34.988 --> 00:18:36.348]  Some like bodies better.
[00:18:36.348 --> 00:18:40.469]  For me, they're both amazing for their anti-inflammatory action and so much more.
[00:18:40.469 --> 00:18:41.669]  And they fund the InfoWare.
[00:18:41.669 --> 00:18:46.270]  So get our new liquid turmeric extract exclusively at InfoWareStore.com today.
[00:18:46.270 --> 00:18:47.030]  Get an additional 25% off.
[00:18:47.030 --> 00:18:47.510]  This is a 360 win.
[00:18:50.791 --> 00:18:52.273]  Hey Alex, how you doing man?
[00:18:52.273 --> 00:18:54.395]  Is this the guy that called in about Living Defense?
[00:18:54.395 --> 00:18:55.096]  Yes sir, yes sir.
[00:18:55.096 --> 00:19:04.185]  I've been trying to get a hold of you since Monday when I heard you got that fresh shipment of Living Defense in from Utah.
[00:19:12.533 --> 00:19:16.154]  I said, man, I got to get on that show and give him an update.
[00:19:16.154 --> 00:19:25.217]  I said, if I ever get a chance to be on Alex Jones Show, I'm going to tell the world about Living Defense and what it did for me personally.
[00:19:25.217 --> 00:19:29.058]  Now look, I'm 64 years old going on 20, thanks to this info
[00:19:29.558 --> 00:19:30.959]  So it's like God working is so amazing.
[00:19:30.959 --> 00:19:31.480]  We didn't know.
[00:19:31.480 --> 00:19:33.041]  We didn't screen your call.
[00:19:33.041 --> 00:19:33.822]  We had no idea.
[00:19:33.822 --> 00:19:38.065]  And I go to you a year later and you're here telling people about Living Defense.
[00:19:38.065 --> 00:19:38.625]  Living Defense.
[00:19:38.625 --> 00:19:39.146]  Living Defense.
[00:20:01.633 --> 00:20:13.041]  You're listening to The Alex Jones Show.
[00:20:13.041 --> 00:20:18.324]  Keeps on raining.
[00:20:18.324 --> 00:20:19.505]  Levee's gonna break.
[00:20:30.638 --> 00:20:38.841]  If we keep introducing communism in the West, the West is going to break.
[00:20:38.841 --> 00:20:42.803]  Back here on the Alex Jones Show, Alex Jones coming up here in 10 minutes.
[00:20:42.803 --> 00:20:48.625]  We're going to play some other video clips and get some other news here in this segment.
[00:20:48.625 --> 00:20:53.547]  But first, ladies and gentlemen, every day we're on air is a blessing.
[00:20:53.547 --> 00:20:56.868]  Thanks to you, your support, your prayers, sharing the links.
[00:20:58.263 --> 00:21:04.006]  And so keep InfoWars on air today by shopping at InfoWarsStore.com.
[00:21:04.006 --> 00:21:14.672]  And Vitamin Mineral Fusion is one of the great supplements, one of the great products we have at InfoWarsStore.com.
[00:21:14.672 --> 00:21:18.174]  Very highly reviewed, very highly recommended.
[00:21:18.174 --> 00:21:19.675]  I recommend it myself.
[00:21:19.675 --> 00:21:27.379]  I mix Vitamin Mineral Fusion in with a glass of water and juice every morning to start my day.
[00:21:28.473 --> 00:21:37.458]  But I was told to let you know that this is likely to sell out today.
[00:21:37.458 --> 00:21:44.682]  I was told to let you know that Vitamin Mineral Fusion is likely to sell out today.
[00:21:44.682 --> 00:21:50.245]  And personally, I was actually glad I was told that because I'm going to make sure that I'm stocked up on Vitamin Mineral Fusion.
[00:21:51.152 --> 00:21:51.412]  We're good.
[00:22:03.072 --> 00:22:06.655]  So, boost your natural immune systems.
[00:22:06.655 --> 00:22:08.036]  Start your day off right.
[00:22:08.036 --> 00:22:12.200]  Vitamin Mineral Fusion from InfoWarsStore.com.
[00:22:12.200 --> 00:22:13.661]  That's how I start.
[00:22:13.661 --> 00:22:16.243]  Every morning, you should do the same.
[00:22:16.243 --> 00:22:17.164]  It's 50% off.
[00:22:17.164 --> 00:22:25.091]  It could be the last day it's available until or if we get another supply in.
[00:22:25.091 --> 00:22:31.176]  All right, so you've got the Democrats allied with the Chinese Communists.
[00:22:32.995 --> 00:22:49.310]  Who have completely cucked the Republican Party, made the Republican Party their bitch, and so now they are bringing in the communist agenda into this entire planet, through the West, like a vaccine.
[00:22:49.310 --> 00:22:50.331]  Because if they can defeat
[00:22:51.172 --> 00:23:02.218]  The free market in the West, if they can defeat the rugged individual in the West, in the United States of America, then Chinese totalitarian communism can go worldwide.
[00:23:02.218 --> 00:23:13.944]  And that's of course the agenda for the One World Government, the UN, the World Health Organization, you're already getting a taste of that with COVID.
[00:23:13.944 --> 00:23:18.647]  And so, remember though, Biden said that
[00:23:19.727 --> 00:23:21.348]  Trump doesn't know what he's doing.
[00:23:21.348 --> 00:23:23.890]  As soon as Biden gets in, he's gonna have it under control.
[00:23:23.890 --> 00:23:24.951]  He knows what he's doing.
[00:23:24.951 --> 00:23:27.092]  Day one, he's gonna have the virus under control.
[00:23:27.092 --> 00:23:27.672]  That was his thing.
[00:23:27.672 --> 00:23:29.193]  I'll have the virus under control.
[00:23:29.193 --> 00:23:30.714]  I'll have the virus under control.
[00:23:30.714 --> 00:23:32.956]  I'll have the virus under control.
[00:23:32.956 --> 00:23:45.224]  But then yesterday, he came out and made a statement during a press conference, and I guess he forgot his own campaign issue, because here's what he said yesterday.
[00:23:45.224 --> 00:23:46.065]  If we fail to act,
[00:23:47.165 --> 00:23:53.248]  There will be a wave of evictions and foreclosures in the coming months as this pandemic rages on.
[00:23:53.248 --> 00:23:58.411]  Because there's nothing we can do to change the trajectory of the pandemic in the next several months.
[00:23:58.411 --> 00:24:02.714]  Nothing we can do to change the trajectory of the pandemic now.
[00:24:02.714 --> 00:24:04.034]  He said he'd be in control!
[00:24:04.034 --> 00:24:06.095]  He said he'd get it under control!
[00:24:06.095 --> 00:24:07.376]  All you had to do was vote Biden.
[00:24:07.376 --> 00:24:07.916]  You didn't know.
[00:24:07.916 --> 00:24:09.437]  Oh, but maybe you did.
[00:24:09.437 --> 00:24:12.639]  You just vote Biden and then COVID magically.
[00:24:12.639 --> 00:24:13.339]  Under control.
[00:24:13.339 --> 00:24:15.801]  Of course, that was a lie.
[00:24:18.573 --> 00:24:28.476]  And it's funny watching all these people squirm about the Biden voters remorse, which there's not much of because there weren't, there wasn't much of a Biden vote anyway.
[00:24:28.476 --> 00:24:31.377]  But for those that did, oh, they're getting it real, real fast.
[00:24:31.377 --> 00:24:34.498]  And they're seeing Americans lose their jobs.
[00:24:34.498 --> 00:24:39.540]  And you know, they are going to try to set Biden up for success with the reopening of the economy.
[00:24:39.540 --> 00:24:45.422]  In fact, Gavin Newsom, California psycho,
[00:24:46.638 --> 00:24:53.963]  Says that he's finally going to lift the home, uh, house arrest that everyone was under.
[00:24:53.963 --> 00:24:55.284]  He put everyone under house arrest.
[00:24:55.284 --> 00:24:57.846]  He's a good commie.
[00:24:57.846 --> 00:24:59.407]  A good dictator.
[00:24:59.407 --> 00:25:03.950]  Destroyed the economy, but see.
[00:25:03.950 --> 00:25:10.634]  Oh, you can open it back up and they'll show all of these surges in the economy and it'll be, oh my gosh, Biden.
[00:25:10.634 --> 00:25:15.517]  Oh, oh, you can just see the media gushing.
[00:25:15.517 --> 00:25:16.198]  And it's not even.
[00:25:17.406 --> 00:25:18.066]  Legitimate.
[00:25:18.066 --> 00:25:19.987]  They closed the economy for a year.
[00:25:19.987 --> 00:25:25.648]  And then they reopen it, and it'll be, oh, Biden is so great!
[00:25:25.648 --> 00:25:27.129]  No, you just reopened the economy.
[00:25:27.129 --> 00:25:29.009]  You could have done it a year ago.
[00:25:29.009 --> 00:25:32.050]  Just look at South Dakota, perhaps the best example.
[00:25:32.050 --> 00:25:34.771]  Unemployment rate went down.
[00:25:34.771 --> 00:25:36.432]  Went down.
[00:25:36.432 --> 00:25:40.573]  South Dakota unemployment rate went down in 2020.
[00:25:40.573 --> 00:25:41.033]  Why?
[00:25:41.033 --> 00:25:43.334]  Because they never closed.
[00:25:43.334 --> 00:25:44.274]  No pandemic there either.
[00:25:46.420 --> 00:25:49.623]  But there are some developments in the fake pandemic.
[00:25:49.623 --> 00:25:51.545]  This is a hoot.
[00:25:51.545 --> 00:25:55.909]  China now claims that the coronavirus pandemic started in a U.S.
