[00:00.000 --> 00:04.740]  Gavin McInnis is back with his all-new online network, FreeSpeech.tv.
[04:32.740 --> 04:35.740]  And I can tell you, the threats are flowing like water.
[04:35.740 --> 04:41.740]  Very, very serious threats that the lovelies have made due on their previous threats.
[04:41.740 --> 04:44.740]  And so everybody is deciding which side they're on.
[04:44.740 --> 04:47.740]  I decided a long time ago, and I feel really good about it.
[04:47.740 --> 04:56.740]  Because now we've reached the point of actual war and battle, and there's almost a silence in the den and the clash and the collision.
[04:56.740 --> 04:58.740]  Isn't there? There's a peace now.
[04:58.740 --> 05:07.740]  As we finally enter the crucible, as we enter the slow motion of war, stay with us.
[05:07.740 --> 05:10.740]  Hello today on All Things Considered.
[05:10.740 --> 05:19.740]  I'm Wilbur Snakily to tell you all that there's been a lot of conspiracy theories out there that fluoride in your water is hurting you.
[05:19.740 --> 05:27.740]  Now, sure, the Journal of American Medical Association admits that it's causing some cancer and massive brain damage and infertility.
[05:27.740 --> 05:32.740]  But after all, isn't there too many people? That's right. Drink the fluoride.
[05:32.740 --> 05:38.740]  Don't visit infowarstore.com and get the good halogen. I mean the bad halogen.
[05:38.740 --> 05:42.740]  Iodine, don't give it to yourself. Your husband, your wife, your children.
[05:42.740 --> 05:49.740]  Just drink the fluoride and plunge into subservience to us.
[05:49.740 --> 05:53.740]  We don't want to compete with you. Just drink the fluoride.
[05:53.740 --> 05:59.740]  Don't learn about how deadly it is and whatever you do. Don't support Alex Jones.
[05:59.740 --> 06:03.740]  Remember, I'm speaking with a soft voice, so I'm a liberal.
[06:03.740 --> 06:13.740]  Oh, and letting Ambla have access to your children, huh?
[06:34.740 --> 06:44.740]  Ladies and gentlemen, it is October 25th, 2019 on this live Friday edition.
[06:44.740 --> 06:49.740]  I am your host, Alex Jones, and we are seeing incredible history.
[06:49.740 --> 06:58.740]  It's already been unfolding, really just explode right now in all of its vivid colors.
[06:58.740 --> 07:02.740]  If you're a TV viewer, you can see this. If you're a radio listener, you go to newswars.com.
[07:02.740 --> 07:12.740]  There's the live headline feed of the show today with the live feed Hammerful.
[07:12.740 --> 07:18.740]  Justice Department announces criminal investigation of deep state coup attempt against President Trump.
[07:18.740 --> 07:26.740]  Watch live. The planets are aligning. Expect explosive developments in the next seven days.
[07:26.740 --> 07:37.740]  Plus, special surprise guest joins us truly coming up in the second hour.
[07:37.740 --> 07:43.740]  An individual truly at the center of it all.
[07:43.740 --> 07:58.740]  If you back up at the point we're in, everything in full wars has laboriously documented is now public.
[07:58.740 --> 08:02.740]  And as I've said a thousand times, I'll say it for the thousands and first time.
[08:02.740 --> 08:06.740]  It's not because I had a Palantir or a crystal ball.
[08:06.740 --> 08:13.740]  It's because the establishment has one set of reports and statements where they communicate with each other very arrogantly.
[08:13.740 --> 08:17.740]  And then another set for the general public where they completely lie to you.
[08:17.740 --> 08:20.740]  And I go back to this. Remember Gruber five, six years ago, he said,
[08:20.740 --> 08:23.740]  I helped write Obamacare to triple prices and rip people off.
[08:23.740 --> 08:27.740]  And he was there on C-SPAN talking to a bunch of other professors.
[08:27.740 --> 08:29.740]  And they were rubbing their hands together and just in glee.
[08:29.740 --> 08:36.740]  Why would you go on C-SPAN and say I'm a criminal that rips people off and lies to them and how we rip off all ladies?
[08:36.740 --> 08:41.740]  We're going to bankrupt the health care system and take it over and have three companies run it.
[08:41.740 --> 08:47.740]  Ezekiel Emanuel bragged about that on Fox because they think you're so stupid they want to piss in your face.
[08:47.740 --> 08:55.740]  You know, they have sayings like he pissed in my face because in the old days people would actually do that to humiliate someone.
[08:55.740 --> 08:57.740]  They would piss in your face.
[08:57.740 --> 09:00.740]  And you go, why would somebody want to piss in somebody's face?
[09:00.740 --> 09:05.740]  Because that's what these criminals do. That's what criminology is like.
[09:05.740 --> 09:09.740]  A normal person doesn't want to rub something in on somebody.
[09:09.740 --> 09:11.740]  You don't want to go after somebody for no reason.
[09:11.740 --> 09:16.740]  And even if you have to crush somebody, you still have empathy and don't enjoy it.
[09:16.740 --> 09:21.740]  I mean, maybe during the exertion of your physically say strangling somebody's head off their shoulders, you have a little enjoyment,
[09:21.740 --> 09:24.740]  but you feel guilty for it later. You know what I mean?
[09:24.740 --> 09:34.740]  So here we are, ladies and gentlemen, in this moment where there is a battle by all these different factions over control of the United States.
[09:34.740 --> 09:37.740]  And almost everybody's hedging their bets out there.
[09:37.740 --> 09:39.740]  And no one's sure who's really going to come out on top.
[09:39.740 --> 09:41.740]  But they do know this.
[09:41.740 --> 09:49.740]  If you support President Trump, you get threatened, you get audited, you get harassed, you get spied on, you get killed.
[09:49.740 --> 09:56.740]  And then Trump, he just sits up there and promotes Americana and the belief in the country.
[09:56.740 --> 10:02.740]  But because he's not a dictator and isn't really in control, he can't even protect his own people.
[10:02.740 --> 10:04.740]  And that's the paradox.
[10:04.740 --> 10:17.740]  We have to understand Trump can't even protect himself until he goes on the offense and decides to cry havoc to quote William Shakespeare and let loose the dogs of war.
[10:17.740 --> 10:28.740]  And Trump has made the decision and he's got a coterie of people around him, led by Mr. Barr, who are deep establishment.
[10:28.740 --> 10:43.740]  But representing more of the type of establishment that's cold-blooded but not psychotic and not wanting to sacrifice the country on the altar of globalism,
[10:43.740 --> 10:50.740]  just to piss it down the sewer for some power trip.
[10:50.740 --> 11:01.740]  They don't want to mount America's head on the wall and they don't want to sterilize seven-year-old boys because it's trendy.
[11:01.740 --> 11:04.740]  They think that's a little too far.
[11:04.740 --> 11:13.740]  They've been part of this establishment but not part of the establishment that wants to burn it all down.
[11:13.740 --> 11:22.740]  And so they went to the Democrats and the Chai comms and the Globals and they said, look, we can get Trump to make some moderate deals with you but we're not flushing America down the toilet
[11:22.740 --> 11:28.740]  and we're not going to collapse the borders and bankrupt the nation and sell our secrets out to China and finally just destroy the country.
[11:28.740 --> 11:36.740]  For no reason, also, world government can be here when the United States could already take over the whole world government that we paid for and ran.
[11:36.740 --> 11:44.740]  And then 1776 worldwide, my plan, which is common sense plan, has been adopted by Trump.
[11:44.740 --> 11:47.740]  Why the hell would we sit there and do this?
[11:47.740 --> 11:55.740]  And that's how you can talk to these people and say, really, you want your grandkids to grow up in this and you really want to have a post-human world because now it's all admitted
[11:55.740 --> 11:58.740]  and you really want the worst elements to run this thing?
[11:58.740 --> 12:04.740]  Let's devolve power back to the states, back to the countries, let's have international alliances that are based on freedom
[12:04.740 --> 12:10.740]  and let's abolish this crony capitalism system that's so destructive and so dangerous.
[12:10.740 --> 12:15.740]  Well, the establishment had that common sense discussion.
[12:15.740 --> 12:23.740]  And the truth is evident in a forest of lies, the one tree that's telling the truth just stands out.
[12:23.740 --> 12:31.740]  And I believe in humanity, I believe we promoted things that were just basic and common sense and the alternative is hellish that people would want to go with that idea.
[12:31.740 --> 12:36.740]  I didn't invent Americana or 1776, I just thought it ought to go worldwide.
[12:36.740 --> 12:41.740]  You know, that's how they sold people early on on globalism is that's what we were doing.
[12:41.740 --> 12:43.740]  But that really wasn't what was going on.
[12:43.740 --> 12:51.740]  I'm saying take over the plan, but actually make it good and make it strong and then remove the tentacles and let people be free.
[12:51.740 --> 12:54.740]  The alternative is hell on earth.
[12:54.740 --> 13:04.740]  So the Democrats, the globalist, the Hollywood scum, they just got more enraged by Trump and more enraged by how decadent and out of control they are
[13:04.740 --> 13:09.740]  and projected their hate of themselves on the Trump and the American people and all over the country.
[13:09.740 --> 13:13.740]  And they've really thought they could stop him from getting elected, stop him from being seated as president.
[13:13.740 --> 13:19.740]  They thought he'd be removed way before now and now everything they do falls on its face as their power diminishes.
[13:19.740 --> 13:27.740]  But they're so dangerous trying to cause a violent revolution right now and still believing that they can like a gambler,
[13:27.740 --> 13:34.740]  the generic gambler go back to the craps table even though they've already lost the farm and somehow get it all back.
[13:34.740 --> 13:43.740]  And so it's because they're so dangerous and they're not quitting that instead of having a deal and being able to keep their stolen loot,
[13:43.740 --> 13:46.740]  they're going to have to be destroyed now.
[13:46.740 --> 13:52.740]  And that's why you're hearing the squealing and the freaking out and the running around and Soros is out doing his confidence game,
[13:52.740 --> 13:58.740]  telling everyone that globalism has never been stronger all of a sudden, telling the faithful troops everything's going to be okay,
[13:58.740 --> 14:05.740]  victory is right around the corner. No! Your victory is not around the corner. You are defeated.
[14:05.740 --> 14:11.740]  There's no going back now. You can try to hold on longer. It only makes it worse for you and your families.
[14:11.740 --> 14:17.740]  Because I assure you, you start a hot war.
[14:17.740 --> 14:20.740]  You and your families won't be safe anywhere on the planet.
[14:20.740 --> 14:25.740]  You will be a cancer that has to be dug out of every rat hole you hide in.
[14:25.740 --> 14:30.740]  So I'm going to warn the globalists right now, you have failed and you know you failed.
[14:30.740 --> 14:36.740]  And your hysteric attempts to destroy the Republic are your undoing. You already ran the country.
[14:36.740 --> 14:43.740]  But you knew it had a spirit better than yours. So you wanted to sacrifice it. You wanted to cock it.
[14:43.740 --> 14:51.740]  You wanted to have it in a ritual just like those kids you rape and behead and rebel in their blood in your selfishness.
[14:51.740 --> 14:55.740]  You're not chopping America's head off and pissing on our dead body.
[14:55.740 --> 15:03.740]  You might be able to do it to some of the knights that defend the Republic, but you'll never do it to the spirit.
[15:03.740 --> 15:09.740]  You can't get that and you never will and you know it. I have the birthright.
[15:09.740 --> 15:17.740]  America has the birthright. I have the Providence. I have God's countenance. I have a connection to God.
[15:17.740 --> 15:23.740]  I see. You don't see. You don't bring light. You bring death and darkness and destruction.
[15:23.740 --> 15:27.740]  Everything you touch collapses.
[15:27.740 --> 15:34.740]  And so now the real war, the heart and soul of America and the world begins.
[15:34.740 --> 15:41.740]  Ask yourself which side you're on and realize that if you cower in fear of the political correctness in these bullies,
[15:41.740 --> 15:46.740]  you will suffer a fate thousands of times worse than you can even imagine.
[15:46.740 --> 15:56.740]  The only choice is to proclaim before God and man that you are not on the side of the anti-human, exterminist, globalist eugenicist.
[15:56.740 --> 15:59.740]  So it's all coming up today, but it's on.
[15:59.740 --> 16:06.740]  There's a criminal investigation now launched against the deep state of the tempest coup and they're going to go down or we're going to go down.
[16:06.740 --> 16:12.740]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[16:12.740 --> 16:16.740]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[16:16.740 --> 16:22.740]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[16:22.740 --> 16:26.740]  I can help you too. If you owe taxes you can't pay, don't wait another day.
[16:26.740 --> 16:28.740]  There's no such thing as a hopeless tax case.
[16:28.740 --> 16:54.740]  Call 834 no tax or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[16:58.740 --> 17:05.740]  If you're trying to quit drinking or doing too many drugs, listen to me. You don't know me and will never meet.
[17:05.740 --> 17:17.740]  I had a problem like you once. I drank and used to party a little too much till it got out of control and almost ruined my life.
[17:17.740 --> 17:22.740]  I realized I needed help to fix my problem before it totally destroyed me.
[17:22.740 --> 17:31.740]  If you've tried to fix your drinking and drug problem and you know you can't do it alone, you need to call the National Treatment Advisors.
[17:31.740 --> 17:38.740]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[17:38.740 --> 17:43.740]  And if you have PPO, private health insurance, the entire program may be covered.
[17:43.740 --> 17:47.740]  Fix your problem right now before it gets any worse. Get clean.
[17:47.740 --> 17:52.740]  Call now and learn more.
[17:52.740 --> 18:07.740]  800-506-6740-800-506-6740, that's 800-506-6740.
[18:07.740 --> 18:17.740]  It is now an admitted fact. Fluoride out of the water has caused tens of millions of Americans to be brain damaged and to have infertility and low IQs.
[18:17.740 --> 18:24.740]  And it doesn't matter if the Journal of American Medical Association comes out and says it's terrible, still the city's put it in the water.
[18:24.740 --> 18:28.740]  Because the ruling globalists want you and your family poisoned and stupid.
[18:28.740 --> 18:40.740]  And they sure don't want you to know about the good allergen iodine that absolutely increases IQ and fertility and makes life so wonderful and opens up your consciousness, your mind, everything.
[18:40.740 --> 18:46.740]  Thank God. Thank God. I discovered this eight years ago. Of course, the enemy knows all about it and they hope you don't discover it.
[18:46.740 --> 18:48.740]  They hope you just roll over and die.
[18:48.740 --> 18:59.740]  So whatever you do, don't visit mforestore.com and get 60% off right now on the wake up the world to the iodine conspiracy combo. 60% off with X2 and X3 together with your bottle of Biotrusillinium.
[18:59.740 --> 19:07.740]  Whatever you do, don't go to mforestore.com. Just give up America. Give up Christians. Drink your fluoride and die. Give into Satan. Give in.
[19:07.740 --> 19:21.740]  Here are the facts. Iodine raises IQ and across the board makes you more healthy in thousands of top studies, including the American Medical Journal.
[19:21.740 --> 19:32.740]  Every type of fluoride lowers IQ, massively increases cancer and destroys fertility. That's the facts. Learn about the iodine conspiracy.
[19:32.740 --> 19:41.740]  And then once you've learned about it, protect yourself and your family. The reason I'm so hot on this is the globalists put the fluoride in the water while making sure we don't get the iodine.
[19:41.740 --> 19:47.740]  In China, they put the iodine in the water and ban the fluoride because they've already got their people under their control.
[19:47.740 --> 19:55.740]  The globalists are targeting us here. Please go to mforestore.com. Experience iodine and Biotrusillinium that goes with it together.
[19:55.740 --> 20:04.740]  And then once you see the great results, warn others. This is the Achilles Hill of the Globalist. It's a win-win situation. The only way you lose is not taking action. Take action now.
[20:04.740 --> 20:14.740]  You're listening to the Alex Jones show.
[20:34.740 --> 20:46.740]  Nike promotes itself as a so-called social justice champion. But when it comes to Hong Kong, it prefers checking its social conscience at the door.
[20:46.740 --> 21:05.740]  Nike stores in China actually removed their Houston Rockets merchandise from their shelves to join the Chinese government in protest against the Rockets General Manager's seven-word tweet, which read, fight for freedom, stand with Hong Kong.
[21:05.740 --> 21:21.740]  And some of the NBA's biggest players and owners who routinely exercise their freedom to criticize this country lose their voices when it comes to the freedom and rights of the people of China.
[21:21.740 --> 21:32.740]  Insighting with the Chinese Communist Party and silencing free speech, the NBA is acting like a wholly-owned subsidiary of that authoritarian regime.
[21:32.740 --> 21:46.740]  A progressive corporate culture that willfully ignores the abuse of human rights is not progressive, it is repressive.
[21:46.740 --> 21:58.740]  When American corporations, professional sports, pro-athletes, embrace censorship, it's not just wrong. It's un-American.
[21:58.740 --> 22:08.740]  American corporations should stand up for American values here at home and around the world.
[22:29.740 --> 22:56.740]  Coming up next hour, we've got the big surprise guest. You don't want to miss it, and it ties into the impeachment of the president, Ukraine gate, attempted coup, will the president resign under any circumstance?
[22:56.740 --> 23:15.740]  We'll talk to insider of insiders coming up in the second hour today, and I'll let you know at the start of the last segment of this hour, maybe earlier, who's coming on the broadcast, but I've been asked not to until right before.
[23:15.740 --> 23:27.740]  Though some folks, I think, have figured it out. But you just saw the vice president, we can destroy the left. They're trying to destroy us. We can finish them.
[23:27.740 --> 23:38.740]  They're not a political group. They're a criminal takeover army, the left-hand path, deception, the hidden, the Jacobins, the French Revolution, the counter to what we did here.
[23:38.740 --> 23:53.740]  Devil always has a counterfeit. Looks the same, sounds the same, but it's not. And they want to overthrow the family, overthrow everything, and create a system where they're absolute dictators to destroy humanity.
[23:53.740 --> 24:08.740]  If you want an image when some of the future, it's a boot stomping on a human face forever. Not a culture that gets more beautiful and stronger and better, where people live longer and are happier, but one where you live less and you're trampled on, and you trample, and everything's ugly.
[24:08.740 --> 24:24.740]  That's the power for priests that feast upon the destruction of the human race, towards our will. And they assail sanity.
[24:24.740 --> 24:39.740]  Communist China, again, in their own admissions, has killed 115 million of their own people. That's 35 million or so since Mao went bye-bye.
[24:39.740 --> 24:51.740]  Two million Mongolians are in forced labor camps. They execute up to 600 to 700 a day. That's come out. And they sell their organs.
[24:51.740 --> 25:03.740]  But AOC gets up on the news and says Trump killed a little girl who was an illegal alien who didn't get healthcare at a hospital. And it turns out it's all made up. It's just not true.
[25:03.740 --> 25:25.740]  Let's see, it's all our fault, you see. We're the bad people here in America. And AOC can't even live in her, not AOC, excuse me, Ilhan Omar. It's all the same. Can't even live in her own country because of the sex slavery of women and how to fail civilization.
[25:25.740 --> 25:34.740]  AOC also says children are dying in cases, so it's all interchangeable. They all spout the same lies. They all say the earth's ending in 10 to 12 years. I mean, it's all interchangeable.
[25:34.740 --> 25:44.740]  Like, I'm like, oh, I'm talking about Ilhan Omar. I'm saying AOC, and I'm like, what actually? She says all that too, so they're so interchangeable you can't even make a mistake with the four of them.
[25:44.740 --> 26:00.740]  Because they all have the same sorrows, scripts, betting on minorities being stupid, betting on immigrants wanting to debase the country and bring it down. I don't think they're right. But speaking of communist China, this is part six of fentanyl, the Chai Comm Dragon.
[26:00.740 --> 26:10.740]  I think it's the best report that Du McBrain and I have put out. Look about a week to make. I hope you share it. It's on infowars.com. And, you know, it sounds like comedy, but it's not. Everything we say is actually true here.
[26:10.740 --> 26:21.740]  So Chinese government responds to Shaquille O'Neal's free speech statement. Please make this video go viral. It's at newswars.com and infowars.com. Shaquille O'Neal did come out yesterday in defense of free speech.
[26:21.740 --> 26:26.740]  And so this is how the Chai comms have responded to others that have set up a free speech. So here it is.
[26:26.740 --> 26:48.740]  And that's why I would not just shut up and dribble because I mean too much to my two boys here, my wife, my family and all these other kids that look up to me for inspiration.
[26:48.740 --> 27:01.740]  You are good. You told the Rockets that they're uneducated and stupid.
[27:01.740 --> 27:16.740]  I believe he wasn't educated on the situation at hand and any spoke. And so many people could have been harmed, not only financially but physically, emotionally, spiritually.
[27:16.740 --> 27:27.740]  He was the manager of the Rockets that shaked home condos of freedom. No, that's just people have. I can tell you've been watching my broadcast.
[27:27.740 --> 27:37.740]  That is how you refer to the Americans as stupid, uneducated. LeBron James knows the best.
[27:37.740 --> 27:46.740]  And now some evil Americans have said that he is bad. So he has said that he will no longer speak. Yes, yes.
[27:46.740 --> 27:52.740]  I'm talking about it now and I won't talk about it again. LeBron, shut up and dribble.
[27:52.740 --> 28:07.740]  All LeBron James has a mandate of heaven now. And finally this evening, I have a very special announcement to make to you stupid Americans.
[28:07.740 --> 28:18.740]  Winnie the Pooh was illegal. But now after a long period of reeducation, he is now ready to carry out his new job with us late.
[28:18.740 --> 28:27.740]  I mean, good helper servant. Here is LeBron James at the latest exhibition game in Peking.
[28:27.740 --> 28:35.740]  We have issued directives to NBA what they are to say. Hold on, I'm getting called. Guess what?
[28:35.740 --> 28:49.740]  Shaquille O'Neill say what? Show me. Let me see. And one of our best values here in America is free speech. We are allowed to say what we want to say and we are allowed to speak up about injustices.
[28:49.740 --> 28:54.740]  And that's just how it goes. And if people don't understand that, that's something that they have to deal with.
[28:54.740 --> 29:07.740]  Oh, and Tamata need me going to Shaquille O'Neill. All reports on forewords.com. And we will teach you sooner.
[29:07.740 --> 29:12.740]  Fellow Patriots, my name is Todd Savage, founder of Black Rifle Real Estate.com.
[29:12.740 --> 29:17.740]  Like you, I was a prisoner of the out left sanctuary state until one day I chose to leave my family to freedom.
[29:17.740 --> 29:25.740]  Today we live on a sustainable 20 acre homestead where we shoot, hunt, garden and homeschool our children without the tyranny of the nanny state looking over us.
[29:25.740 --> 29:31.740]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[29:31.740 --> 29:47.740]  Go to BlackRifleRealEstate.com. That's BlackRifleRealEstate.com.
[30:01.740 --> 30:07.740]  Feel the thrill only at slingbow.com.
[30:32.740 --> 30:40.740]  Okay, it's the same thing. Well, ladies and gentlemen, the bad halogen is fluoride. That's why in every western nation, they put it in the water.
[30:40.740 --> 30:45.740]  They're going to teach us Christians lay down and die. The chai comms don't put it in the water. They'd execute you if you did that.
[30:45.740 --> 30:53.740]  They put iodine in the water because it's the good halogen and increases fertility and lifespan and intelligence and everything else.
[30:53.740 --> 31:03.740]  So again, learn about the iodine conspiracy at InfowarsStore.com. We have all the documents and articles linked. And then get good iodine for yourself because the globalists are fighting to make sure you don't.
[31:03.740 --> 31:06.740]  Again, get iodine at InfowarsStore.com.
[31:06.740 --> 31:18.740]  Infowars presents Alex Jones.
[31:36.740 --> 31:45.740]  And then they have a waiver and can add thousands of deadly chemicals to your water because the liberals love you and they want to sexualize your children.
[31:45.740 --> 31:53.740]  So whatever you do, drink lots of fluoride and don't get the thing that counters iodine at InfowarsStore.com. Drink fluoride and die.
[31:53.740 --> 32:03.740]  Drink fluoride, dirty Americans, and roll over. Do not visit InfowarsStore.com and get high poly iodine to counter it. No, roll over and die, dirty Americans.
[32:03.740 --> 32:07.740]  Infowars.com forward slash show.
[32:07.740 --> 32:12.740]  Welcome back to NPR here today. I'm Wilbur Snakeland.
[32:12.740 --> 32:22.740]  I just want you to know that when you hear the intro of the show and it's the Rockefeller Foundation and the Carnegie Foundation, don't look into the 1920s and 30s documents.
[32:22.740 --> 32:35.740]  Where they said that to be free from war, we must end the family and masculinity and that we must put chemicals in the food and water to make the men subservient and the women infertile.
[32:35.740 --> 32:47.740]  A real terrorist, Alex Jones, has been on air with that gravely evil male voice telling you to look into how iodine's good for your body and essential and how fluoride's bad.
[32:47.740 --> 33:04.740]  Listen, that's a conspiracy theory, okay? There's no medical journals. There's no facts. You need fluoride. Just drink extra fluoride and then you don't have to think anymore and just go to sleep when I talk to you real soft like this.
[33:17.740 --> 33:31.740]  People should not be afraid of their governments. Government should be afraid of their people.
[33:31.740 --> 33:55.740]  If an old government's response of death spawns 100,000 people, you hear them now?
[33:55.740 --> 34:08.740]  Everybody members have been murdered.
[34:08.740 --> 34:12.740]  We're interrupting your regularly scheduled program to bring you this terrifying report.
[34:12.740 --> 34:17.740]  It was almost as if it were a planned infusion. It's just pancake.
[34:17.740 --> 34:28.740]  Jane, what more can you tell us about the Salomon Brothers building and its collapse?
[34:28.740 --> 34:51.740]  The sky now black with smoke in front of us just across the Tigris River here. This is shock and awe, Tom, for the population of Bagdad. Shock and awe, indeed.
[34:51.740 --> 35:02.740]  It is a big idea. A new world order. I love my dad. I'd kill for him. I'd go to prison for him because I love him so much.
[35:02.740 --> 35:06.740]  I love Bill Clinton. What does that make Hillary Clinton to the Bush family?
[35:06.740 --> 35:13.740]  My sister-in-law, when you are subverting the power of government, that's a fundamentally dangerous thing to democracy.
[35:13.740 --> 35:24.740]  What do you think of Edward Salomon? I think he's a traitor. Obama is the one that kills the US troops if the Russians bomb any of them. Obama is the one that put him in arms' way. Obama is the one using him as human shields.
[35:24.740 --> 35:32.740]  It is the most corrupt, degenerate, criminal government in American history. I'm here to warn people. You keep telling me to shut up. This isn't a game.
[35:32.740 --> 35:47.740]  Welcome to America, ISIS. This is what we do. We got people that have taken your asses out in this building right now. We're armed to the teeth and we're not scared. You got that, you sons of bitches.
[35:47.740 --> 35:56.740]  In 2012, your agency was saying, quote, the Salafists, the Muslim Brotherhood and al-Qaeda in Iraq are the major forces driving the incidents in Syria.
[35:56.740 --> 36:02.740]  In 2012, the US was helping coordinate arms transfers to those same groups. And why did you not stop that?
[36:02.740 --> 36:05.740]  Why didn't you come forward before? What were you waiting for?
[36:05.740 --> 36:27.740]  Well, for you, Inspector, I needed you. I suddenly had this feeling that everything was connected. We're all part of it. Are we ready for it?
[36:35.740 --> 36:56.740]  Crashing through the lies and disinformation, it's Alex Jones.
[36:56.740 --> 37:17.740]  Well, President Trump has accused Obama of treason. We're going to get to that in just a moment. And the establishment, ladies and gentlemen, is really getting ready to pull out all the stops.
[37:17.740 --> 37:30.740]  We've got giant hordes of Antifa funded by Soros. And remember, Soros funded the giant fake women's marches with the pussy hats, as they call them, the pink, purple hats.
[37:30.740 --> 37:39.740]  Now he's got giant hordes of mentally ill people, criminals, gang members, MS-13, you name it, dressed up, and the numbers are just swelling everywhere.
[37:39.740 --> 37:50.740]  To, quote, drive the president from power. We warned him this last week. It's in the news today that this is all happening.
[37:50.740 --> 38:08.740]  And we have the Justice Department opening a criminal probe that's already been opened, but announcing there's a criminal probe of the attempted coup against the president, the whole fake Russia gate canard.
[38:08.740 --> 38:23.740]  So we're now in the thick of it. Trump knows they're not going to stop trying to set him up. He knows they're not going to stop having all these Soros puppets, like the U.S. ambassador to Ukraine, who we warned back at the time, openly works for George Soros.
[38:23.740 --> 38:32.740]  And that's the guy that goes and testifies that he heard Trump said, you've got to do stuff I want if you want the money. But then the witnesses, they said, totally not true.
[38:32.740 --> 38:43.740]  William Taylor, Democrat star witness sat on board of Ukraine NGO with deep ties to George Soros. Yes, they've all been caught with their hands in the cookie jars.
[38:43.740 --> 39:01.740]  They came up with the dossier out of Ukraine, this group. And that's why they're having secret fake hearings the Republicans can't be in to try to docker up that they have the evidence and get all their witnesses lined up and coached to then bring this forward.
