[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[10:16.000 --> 10:26.000]  all persecuting their political enemies. That's all huge. And down there at the bottom is the persecution of Alex Jones and show trials.
[10:26.000 --> 10:36.000]  But then why wasn't the number one story off and on, on Instagram, on Google, on Facebook, on Twitter in the last two weeks, Alex Jones.
[10:36.000 --> 10:51.000]  Every day we friended number one, thousands and thousands and thousands and thousands of articles, every corporate TV station, every network lying about us, attacking saying we're the enemy, we're the problem, shut us down.
[10:51.000 --> 11:00.000]  Don't you see it? When they talk about Alex Jones, they're talking about you. When I say this, you need to really let that sink in.
[11:00.000 --> 11:07.000]  They see me as the populist resistance. They see me as everything they hate.
[11:07.000 --> 11:14.000]  Pro-human, pro-God, pro-family, pro-truth, asking questions, not daunted by them, not intimidated.
[11:14.000 --> 11:28.000]  They see that dauntless spirit, that indomitable spirit as their enemy, because they hate you, whether you're white or brown or black or gay or straight or old or young or where you're from.
[11:28.000 --> 11:32.000]  They want to break your will and they want to dominate and control you.
[11:32.000 --> 11:40.000]  So I am extremely honored to be under this massive attack because it means I'm over the target.
[11:40.000 --> 11:53.000]  But in this hierarchy of attacks, 60 plus million starving to death and tens of millions dying from the poison shots and all of it, why am I saying Alex Jones is the least important?
[11:53.000 --> 11:58.000]  Because individually, this is not important. What happens to me?
[11:58.000 --> 12:06.000]  But when you realize that if they can silence us and they can surveil us to enforce the censorship, they can silence you.
[12:06.000 --> 12:15.000]  And on CNN and the New York Times and the Washington Post and MSNBC, I've got the clips. I've got a stack of news right here.
[12:15.000 --> 12:25.000]  The Democrats crow. They brag like a rooster at dawn. Alex Jones is the model to shut everyone down now. We're going to ban their speech.
[12:25.000 --> 12:31.000]  And so the attack on Info Wars is not the bottom of the hierarchy. It's the top.
[12:31.000 --> 12:46.000]  Individually, it's not important in the scale of things. But when you realize what they fear, you being vocal, you have encouraged that they're trying to chill you and trying to intimidate you and trying to scare others from telling the truth,
[12:46.000 --> 12:53.000]  then you understand that our speech and our resistance and our non-compliance is beyond paramount.
[12:53.000 --> 13:01.000]  It is essential. It is critical. It is key, key.
[13:01.000 --> 13:08.000]  We cut through their lives. We cut through their propaganda. We know who they are. We know their plan.
[13:08.000 --> 13:17.000]  And we know how to stop them. And we will do it together with God's spirit and blessing.
[13:17.000 --> 13:25.000]  So I want all of you listening today. The power of us coming together is unstoppable with God's energy.
[13:25.000 --> 13:33.000]  But God is a free will God and will only do this if we ask and say our Heavenly Father, we ask you to cleanse us.
[13:33.000 --> 13:37.000]  You ask us to connect us to your great will and lead God and direct us.
[13:37.000 --> 13:49.000]  And we ask you now in a unified prayer to pray for justice for the children and justice for the innocent and for the great awakening that's happening to expand at record levels
[13:49.000 --> 13:55.000]  and that a hedge of protection be put up for all of us that are standing against this satanic force.
[13:55.000 --> 14:01.000]  In the name of your Son, our Savior, Christ Jesus, amen.
[14:01.000 --> 14:10.000]  You will simply say that prayer in unison together that God, we cry out to you for direction.
[14:10.000 --> 14:19.000]  We cry out to you to send us the Holy Spirit to stand against the spirit of evil. We can't beat Satan as individuals.
[14:19.000 --> 14:29.000]  But together with God, we are infinity more powerful.
[14:29.000 --> 14:35.000]  So that's what people need to understand is that I expected this. I've known this. I've told you forever this was coming.
[14:35.000 --> 14:46.000]  And I've understood the bargain I made and how the Holy Spirit was so honest that you really want to fight tyranny.
[14:46.000 --> 14:52.000]  You really want to take it on a point like range. You really want to mobilize the people. You really want to be that person.
[14:52.000 --> 15:00.000]  And I said yes. And I was shown the aftermath and what it would mean to me personally. And because I'm imperfect and I'm a sinner,
[15:00.000 --> 15:04.000]  my best efforts can still be twisted against me because Satan is the great accuser.
[15:04.000 --> 15:10.000]  But it doesn't matter. God knows the heart. Just as you knew King David's heart.
[15:10.000 --> 15:20.000]  And so I said yes to that commission more than 25 years ago. Art of Honor a few years.
[15:20.000 --> 15:24.000]  I remember sitting there in that Waterloo ice house after a two hour show I'd done.
[15:24.000 --> 15:28.000]  I was eating chicken fried steak by myself and drinking an iced tea.
[15:28.000 --> 15:34.000]  And I just got like the down low while I was sitting there and was like, this is what you decided. This is what's going to happen.
[15:34.000 --> 15:40.000]  I'm ready to back you. You're going to be able to do this. But are you 100% on board?
[15:40.000 --> 15:46.000]  100% on board. And I said yes, sir. And it's all happened just like God said it would.
[15:46.000 --> 15:50.000]  God's in control not the Satanist and they will pay for what they've done.
[15:50.000 --> 15:56.000]  But that's a side issue. We're doing this for the innocent children. Massive news straight ahead. Stay with us.
[16:00.000 --> 16:05.000]  The great reset in the war for the world is the book that the government doesn't want you to read.
[16:05.000 --> 16:12.000]  That most of the big powerful companies trying to control your life, the big tech companies, they don't want you to read this book.
[16:12.000 --> 16:17.000]  They want to control what you think, what you do, what you read, but you don't want that.
[16:17.000 --> 16:25.000]  And Alex Jones doesn't want that. And this book shows you what's happening and gives you the sort of playbook for how to fight against it.
[16:25.000 --> 16:31.000]  And so by buying this book, you're going to prove that censorship doesn't work, that freedom is alive in this country.
[16:31.000 --> 16:38.000]  This is essential reading. And you know, I would go right now and buy it before the censorship kicks in.
[16:38.000 --> 16:43.000]  It's not going to be available in bookstores. It's not going to be available in libraries.
[16:43.000 --> 16:48.000]  They're going to try to take it down from every platform that they can, but they're not going to be able to do it.
[16:48.000 --> 16:52.000]  Prove that censorship doesn't work. Buy the great reset. Thank you, Alex Jones.
[16:52.000 --> 16:58.000]  I really appreciate you having me on and I appreciate you writing this book and getting the information out there.
[16:58.000 --> 17:07.000]  We brought the game changing product previously only available to major oil companies around the world to the civilian market two years ago.
[17:07.000 --> 17:14.000]  The BioProse, for septic tanks, for porta potties, for RVs, for your drains, your boats, it goes on and on.
[17:14.000 --> 17:17.000]  It'll eat the oil off of your driveway if you just add water.
[17:17.000 --> 17:24.000]  But it's been so successful now, we're selling it to major RV parks, pig farms, you name it.
[17:24.000 --> 17:28.000]  Because this stuff will eat anything that is organic.
[17:28.000 --> 17:35.000]  And it's exclusively available at thebioprose.com and now infowarstore.com.
[17:35.000 --> 17:44.000]  We sold out of this for almost a year, but we made a major purchase and it is now in stock for whatever your need is at infowarstore.com.
[17:44.000 --> 17:50.000]  You'll also find instructional videos and more information at infowarstore.com or thebioprose.com.
[17:50.000 --> 17:56.000]  Made in America, powered by God's great creation, it is amazing and it funds the infowar.
[17:59.000 --> 18:07.000]  The globalists are fighting around the clock to destroy the family, to destroy heterosexual relationships, to annihilate our marriages.
[18:07.000 --> 18:09.000]  And the studies are all clear.
[18:09.000 --> 18:15.000]  The number one cause of marital splits is that there's problems in the bedroom.
[18:15.000 --> 18:19.000]  And the number one issue men have is erectile dysfunction.
[18:19.000 --> 18:25.000]  Ladies and gentlemen, the left makes big jokes about this because they don't want people having lasting, good, loving relationships.
[18:25.000 --> 18:27.000]  They want to break up society.
[18:27.000 --> 18:36.000]  And we are so excited to have the number one natural male enhancement pill in the world, available as a major sponsor now.
[18:36.000 --> 18:41.000]  Go to theironpatriot.com today, theironpatriot.com.
[18:41.000 --> 18:46.000]  And watch the instructional video, look at the science yourself and then get a bottle of InstaHeart.
[18:46.000 --> 18:49.000]  It's discreet shipping, I've used it, it's amazing.
[18:49.000 --> 18:51.000]  And it's not just for folks that have problems in the bedroom.
[18:51.000 --> 18:53.000]  This also enhances it.
[18:53.000 --> 19:20.000]  So again, get yours today at theironpatriot.com.
[19:20.000 --> 19:27.000]  There is nothing stopping we the people from making our own rules and building our own society.
[19:27.000 --> 19:30.000]  All we got to do is survive the crash.
[19:30.000 --> 19:33.000]  And right now we still have time to prepare.
[19:33.000 --> 19:37.000]  The world fiat currency system is racing towards zero.
[19:37.000 --> 19:46.000]  It's time to convert it into hard assets now, including food, water and survival gear to keep us strong and at the ready.
[19:46.000 --> 20:01.000]  Go to preparetoday.com for the essentials, storable foods, water filtration, first aid, power and more at preparetoday.com.
[20:01.000 --> 20:19.000]  The leading up frontal assault on the lies of the New World Order, it's Alex Jones.
[20:19.000 --> 20:33.000]  The design collapse of our civilization is taking place to make us poor, to make us homeless, to make us absolutely susceptible to turning ourselves over to the great reset and the casual society now being announced.
[20:33.000 --> 20:39.000]  ABC News, NBC News, they've all announced again you will soon take microchips to buy and sell.
[20:39.000 --> 20:41.000]  That's coming up next segment.
[20:41.000 --> 20:52.000]  I told you two years ago they would soon be promoting cannibalism as a good thing from the New York Times to the Washington Post, the CNN, we have those clips as well.
[20:52.000 --> 20:54.000]  But let's hit the big issue.
[20:54.000 --> 20:59.000]  Again, mass death, mass murder, the New World Order, that's the top story.
[20:59.000 --> 21:10.000]  But if they can silence us and censor the leading lights that are fighting this tyranny, then they can succeed they believe.
[21:10.000 --> 21:13.000]  They wouldn't be trying to censor us if we weren't effective.
[21:13.000 --> 21:14.000]  So look at some of these headlines.
[21:14.000 --> 21:16.000]  This is from WFYI.
[21:16.000 --> 21:25.000]  Insurance executive says death rates among working age people up 40%.
[21:25.000 --> 21:26.000]  Huge, huge numbers.
[21:26.000 --> 21:32.000]  Insurance group sees death rates up 40% over pre-pandemic levels.
[21:32.000 --> 21:35.000]  That's been out for eight months now.
[21:35.000 --> 21:41.000]  Mortality crisis ensures he rise in non-COVID deaths, the biggest in history.
[21:41.000 --> 21:44.000]  More than we're lost in World War II.
[21:44.000 --> 21:49.000]  Mortality trends rise among questions for life insurers.
[21:49.000 --> 21:51.000]  This is mainstream news.
[21:51.000 --> 22:00.000]  And then there's this local KUSI news with Dr. Kelly Victory, who's a medical doctor.
[22:00.000 --> 22:10.000]  And she lays out the numbers she's now been censored off of Twitter for daring to talk about it.
[22:10.000 --> 22:12.000]  That's coming up.
[22:12.000 --> 22:18.000]  I'm going to read some of the comments too on the YouTube video from morticians and others and what they're seeing.
[22:18.000 --> 22:20.000]  But this is so insane.
[22:20.000 --> 22:22.000]  It's testing to see if they can kill us.
[22:22.000 --> 22:24.000]  Logan's run style.
[22:24.000 --> 22:28.000]  Seeing it will accept it and just rolling this out.
[22:28.000 --> 22:33.000]  It's not a vaccine, it's a gene therapy, it's rid of your immune system, causes blood clots, infertility, cancer.
[22:33.000 --> 22:37.000]  That was in the October 2000 document from the CDC.
[22:37.000 --> 22:39.000]  They even told you what it would do.
[22:39.000 --> 22:40.000]  It's satanic.
[22:40.000 --> 22:42.000]  They've got to post what they're planning.
[22:42.000 --> 22:54.000]  And if you want to see the censored video from KUSI, it's posted the live show feed from today under the live show feed at infowars.com.
[22:54.000 --> 23:00.000]  So take that video and share it because she's put her reputation alive on the line.
[23:00.000 --> 23:17.000]  She's only covering all the main line admitted insurance actuaries that confirm, triple the deaths that we saw in 2020 that we've seen in 2021 and now in 2022.
[23:17.000 --> 23:18.000]  It's an eight minute report.
[23:18.000 --> 23:20.000]  Here's just a few minutes of it.
[23:20.000 --> 23:28.000]  U.S. life insurance companies have reported an overwhelming and unexplainable increase in all cause deaths among 18 to 49 year olds.
[23:28.000 --> 23:34.000]  Along with that, there's also been an increase in certain medical diagnosis such as miscarriages and Bell's palsy.
[23:34.000 --> 23:43.000]  Here to give us her take on the new data and what she believes could be causing the rise in numbers is emergency medicine and disaster specialist Dr. Kelly Victory.
[23:43.000 --> 23:44.000]  Dr. Victory, good morning.
[23:44.000 --> 23:46.000]  Great to talk to you as always.
[23:46.000 --> 23:47.000]  Good morning, Jason.
[23:47.000 --> 23:48.000]  Thanks for having me.
[23:48.000 --> 23:54.000]  Okay, we want to make sure that anytime we talk, we want to make sure the information that we have is accurate.
[23:54.000 --> 23:58.000]  So let's start this interview by telling us, I've seen your correspondence here.
[23:58.000 --> 24:03.000]  What is the source of the information that you're about to present?
[24:03.000 --> 24:17.000]  Well, this information became available to me or on my radar last week following a hearing with Senator Ron Johnson, who was looking at sort of what he calls a second opinion on the entire response to the COVID pandemic.
[24:17.000 --> 24:34.000]  The medical data was released by three career military physicians who got the information from the military database that collects what we call ICD codes, which are the diagnosis codes.
[24:34.000 --> 24:44.000]  And these physicians had a feeling they believed based on their own observation that they were seeing a significant uptick in certain conditions.
[24:44.000 --> 25:04.000]  So they actually went back and called the database from the military on certain conditions over a five year period from 2016 through 2020, notably containing one year, 2020, of the full blown pandemic.
[25:04.000 --> 25:16.000]  So they looked at 2016, 17, 18, 19 and 20 at the prevalence of certain conditions, including things like heart attack, blood clots to the lung, miscarriages, those sorts of things.
[25:16.000 --> 25:27.000]  And they compared it to the incidents of those same things in the calendar year 2021 and saw an alarming increase in certain things.
[25:27.000 --> 25:53.000]  For example, they saw a 270% increase in myocardial infarction in 2021, a 300% increase in incidents of Bell's palsy and of certain neurologic complaints, a 470% increase in pulmonary embolisms, blood clots to the lungs, and many, many other huge increases that they found alarming.
[25:53.000 --> 26:06.000]  Now, no one is saying with any certainty, Jason, what is causing this, but we certainly would be remiss as scientists if we didn't look at that and say, there is something going on.
[26:06.000 --> 26:19.000]  What happened in 2021 that was so different from the previous five year average that would cause this massive increase in certain medical conditions?
[26:19.000 --> 26:26.000]  And again, you can go to the CDC's own website in October. It's still on their site. Two years ago, 2020, they predicted it all.
[26:26.000 --> 26:34.000]  So let's go over some of this. Look at the comments on YouTube when people had to say, her Twitter account has been suspended, which means she's 100% on the truth.
[26:34.000 --> 26:38.000]  The only reason to silence someone is because you fear the truth continues.
[26:38.000 --> 26:50.000]  Philip Paulson, when exposing a crime is treated as committing a crime, you're being ruled by criminals. Edward Snowden, Black Sun, the doctor should be all over the media. She is to be commended.
[26:50.000 --> 26:58.000]  Another one, she raises a good point about people reacting to inquisitiveness about the sudden spike, asking what's going on.
[26:58.000 --> 27:05.000]  Some people would rather attack her than hear her, and those people can fuse and worry me to the no end.
[27:05.000 --> 27:18.000]  As a funeral director, says funeral director, EJ, I can tell you that we did have many more deaths in our location in 2021 than 2000, and it goes on and on.
[27:18.000 --> 27:34.000]  They're trying to silence military doctors, this AI technology they have, calling for whistleblowers and conspiracy theorists, which in the past we call good doctor scientists who recognize patterns, question all aspects and speak up when the data is collected.
[27:34.000 --> 27:42.000]  And it goes on and on, folks. You got to read every comment. Every comment I read over a hundred today is awake. The globalists are in trouble. We're winning.
[27:42.000 --> 27:49.000]  But I usually the crew can pull it up and it's not their fault. I just called for it real fast. There it is. They found it.
[27:49.000 --> 28:12.000]  It's on the CDC website. FDA COVID-19 vaccine safety surveillance planning and what they predict would happen. And they go on in the document to talk about adverse reactions and what they predict heart attacks, microcarditis, blood clots, cancer, autoimmune disease,
[28:12.000 --> 28:26.000]  Guillain-Barre, narcolepsy, stroke, which has all happened. And we have the senior scientists who retired a year before they started. Dr. Michael Yeadon at Pfizer predicting an all-in-law suits he filed two years ago.
[28:26.000 --> 28:39.000]  This is a smoking gun. And this is why they want us silenced. Because we're telling you the truth. We won't stand by while they kill little babies, record deaths in little babies.
[28:39.000 --> 28:46.000]  Now taking the so-called vaccine and all the fools that serve the system for power thinking they're getting ahead of everything doing this.
[28:46.000 --> 28:59.000]  We're going to cover the economic collapse by design, this new Senate legislation that just passed into the House and more and how the media is openly promoting cannibalism as we predicted coming up.
[28:59.000 --> 29:13.000]  People say Alex Jones is crazy. He's a conspiracy theory guy. He's a nutcase. He's got these rants and all that. What they miss is that this guy's ahead of the curve on so many different topics of signal, not noise.
[29:13.000 --> 29:25.000]  If you look at the signal and you compare that to PBS and NPR and BBC and we'll do what Alex Jones put out there versus what your collective body has put out there.
[29:25.000 --> 29:31.000]  And if you're a Senate human being and just watching it, you say, well, Alex Jones is ahead of this. Not only that, he kind of explained it.
[29:31.000 --> 29:39.000]  You are one of the great thinkers of this. That is very rare. You've got to go back almost to the revolutionary generation and see that.
[29:39.000 --> 29:46.000]  In this new book, I've got to tell you, when Tony Lyons first approached me, I read this thing. I go, this is it. This is no Beatrix.
[29:46.000 --> 29:50.000]  You're not going to be flipping pages or you're going to be having a pen out and you're going to be underlining stuff.
[29:50.000 --> 29:59.000]  The Great Reset by Alex Jones. Order your copy now at Amazon or infowarstore.com.
[29:59.000 --> 30:05.000]  There is nothing, there is no more epitome of free speech than right here.
[30:05.000 --> 30:09.000]  And that's what people recognize and resonate with.
[30:09.000 --> 30:13.000]  And as Ward said, you're not going to find a better place for information.
[30:13.000 --> 30:18.000]  You might not agree with everything. You might not agree with all our perspectives, but we cover all the information.
[30:18.000 --> 30:22.000]  And there's nowhere else really that does it like we do here. Thank you for that, Ward.
[30:22.000 --> 30:27.000]  Infowarsstore.com, by the way, the products he mentions, infowarstore.com is where to get them, folks.
[30:27.000 --> 30:37.000]  And we do have the best supplements. I mean, just like we try our best with our news coverage and our information, we do the best with our supplements as well.
[30:37.000 --> 30:44.000]  I mean, look at the hair and beard support formula. Folks, this is a joke. I mean, we're giving this thing away at 75% off.
[30:44.000 --> 30:53.000]  By the way, it works for me in case you haven't noticed. The hair and beard formula is working for me quite well, I might add.
[30:53.000 --> 30:59.000]  Quite well, my barber appreciates hair and beard support for men. I go and see him quite often now.
[30:59.000 --> 31:06.000]  The number one selling category in supplements worldwide is fat burners, is weight loss formulas.
[31:06.000 --> 31:12.000]  And listen, there are hundreds of them out there that work, but most of them do it in a toxic way.
[31:12.000 --> 31:28.000]  Ladies and gentlemen, we went out and did deep research on the safest, healthiest ways to take your overall body's metabolic system and your metabolism and turn that clock back by turning up your metabolism.
[31:28.000 --> 31:37.000]  Ladies and gentlemen, Diet Force does it in a clean, healthy way. It's amazing. I've almost lost 40 pounds the last three months just using the samples of it.
[31:37.000 --> 31:44.000]  But it's come into the Info War Store and it's ready for sale to you and your family exclusively at infowarstore.com.
[31:44.000 --> 31:54.000]  Diet Force from X7 exclusively available at infowarstore.com for 40% off. I want you to experience Diet Force for yourself.
[31:54.000 --> 31:58.000]  I can't wait for the reviews because it's worked great for me.
[31:58.000 --> 32:04.000]  Sold out for more than six months. Our number one best seller is now back in stock.
[32:04.000 --> 32:14.000]  Vitamin mineral fusion, all the minerals, all the vitamins, all the key amino acids to turbo charge your immune system and make your body as healthy as it could possibly be.
[32:14.000 --> 32:18.000]  Ladies and gentlemen, this is our best selling product because people love it. We first launched it four years ago.
[32:18.000 --> 32:26.000]  I was like, okay, it's another item. It's high quality vitamins, minerals, okay, great. People love it because it tastes great and they see the results and it funds the Info War.
[32:26.000 --> 32:35.000]  So sold out for more than six months. Vitamin mineral fusion is now back in stock for a limited time at infowarstore.com for 40% off.
[32:35.000 --> 32:40.000]  Because I want you to experience it. I want you to get it. I want to move it out the door and hopefully get more in the future.
[32:40.000 --> 32:49.000]  But who knows, watching breakdowns, it may not happen. So get your vitamin mineral fusion at infowarstore.com today and keep Info Wars on the air.
[32:49.000 --> 32:57.000]  Vitamin mineral fusion back in stock 40% off at infowarstore.com. Vitamin mineral fusion.
[33:38.000 --> 33:46.000]  At a 2019 food conference where topics included whether humans were too selfish to live sustainably,
[33:46.000 --> 33:56.000]  an economist suggested cannibalism could be a viable solution for climate change and that we could start off by eating our pets.
[33:56.000 --> 34:10.000]  School of Economics Professor Magnus Soderland says that eating human meat from the dead might help save the human race and that we could overcome the taboos against eating each other by simply trying it out.
[34:10.000 --> 34:25.000]  And today a new company is boasting their lab grown artisanal salami derived from human flesh and several articles normalizing cannibalism have recently been published by the mainstream media.
[34:25.000 --> 34:30.000]  The Wikipedia page leads with the benefits of cannibalism.
[34:30.000 --> 34:44.000]  Where it says in environments where food availability is constrained, individuals can receive extra nutrition and energy if they use other conspecific individuals as an additional food source.
[34:44.000 --> 34:54.000]  This would in turn increase the survival rate of the cannibal and thus provide an evolutionary advantage in environments where food is scarce.
[34:54.000 --> 35:02.000]  This may be true when there are no other food options, but when there are, it is never favorable for any species.
[35:02.000 --> 35:16.000]  Cannibals are at risk of related diseases such as Khuru disease, similar to Mad Cow disease, a neurological prion disease caused by cannibalistic consumption.
[35:16.000 --> 35:23.000]  And when there are other food options cannibalism will always be the most challenging.
[35:23.000 --> 35:33.000]  Studies show that cannibals tend to eat the young because it is the easiest and they tend to hunt outside their own gene pool as a way of decreasing the competition.
[35:33.000 --> 35:42.000]  Cannibals are constantly at war with their own species and animals have evolved various protections against this barbarism.
[35:42.000 --> 35:51.000]  Cannibalism is the ultimate expression of barbarism, the absence of civilization and culture, extreme cruelty.
[35:51.000 --> 36:01.000]  One could argue that the whole purpose of civilization is to increase the amount of food available to keep humanity from turning to cannibalism.
[36:01.000 --> 36:06.000]  Because who on earth wants barbarism over civility and compassion?
[36:06.000 --> 36:14.000]  The New York Times published a piece entitled A Taste for Cannibalism and they promoted it by tweeting,
[36:14.000 --> 36:23.000]  cannibalism has a time and a place. Some recent books, films and shows suggest that the time is now.
[36:23.000 --> 36:33.000]  The article promotes a list of recent movies and shows about cannibalism, suggesting that perhaps we should all take the cue and give it a go.
[36:33.000 --> 36:45.000]  As if pop culture decides the destiny of mankind and maybe it does, there is definitely a herd mentality that finds comfort in blind obedience
[36:45.000 --> 36:55.000]  and will do whatever they are told by the authoritative state emerging from the shadows and the mainstream narrative is now normalizing cannibalism.
[36:55.000 --> 37:00.000]  So that's what is coming if we continue accepting their offers.
[37:00.000 --> 37:16.000]  It will be like the film Soylent Green, which was set in 2022, or like the film Cloud Atlas, wherein a dystopian government processes the dead into food to feed the wretched masses.
[37:16.000 --> 37:22.000]  Reporting for Infowars, this is Greg Rees.
[37:22.000 --> 37:32.000]  Ladies and gentlemen, two years ago, I did the Eat My Neighbors rant and I says they collapse society, they're going to promote cannibalism,
