[00:00:08.604 --> 00:00:10.707]  It's Sunday, September 25th.
[00:08:53.643 --> 00:08:55.744]  I mean, this is feudalism 2.0.
[00:08:55.744 --> 00:09:03.270]  This is just absolute, total and complete tyranny.
[00:09:05.745 --> 00:09:09.567]  And the name of the report is, Tyranny is Just the Beginning.
[00:09:09.567 --> 00:09:13.710]  This tyranny is just the beginning, and it lays it all out.
[00:09:13.710 --> 00:09:17.612]  We're going to be playing it here in a moment.
[00:09:17.612 --> 00:09:31.340]  But first, I just want this to sink into everybody, the magnitude, and I say this all the time, but just the absolute, sheer, historical magnitude.
[00:09:32.347 --> 00:09:55.898]  of where we are right now and just let it sink in that a very predatory authoritarian world government is taking over and gaslighting the public and is in the process of establishing a worldwide ID to carry out the orderly impoverishment, enslavement, and then extermination of the vast majority of the human population.
[00:09:55.898 --> 00:09:59.080]  And so we're going to witness something on the scale
[00:10:01.154 --> 00:10:07.231]  of human suffering and pain never before even seen or dreamt of on this planet.
[00:10:08.300 --> 00:10:09.901]  So that is coming up.
[00:10:09.901 --> 00:10:14.844]  And I just have all the other incredible side issues that feed into this.
[00:10:14.844 --> 00:10:21.148]  Like two federal boards, the top boards, said do not do booster shots, do not give under-16s the injections.
[00:10:21.148 --> 00:10:24.830]  And Pfizer just waved the wand and said, we're in charge, you're going to do it.
[00:10:24.830 --> 00:10:26.351]  And is out there bragging that that's the case.
[00:10:26.351 --> 00:10:28.172]  So that is coming up.
[00:10:28.172 --> 00:10:30.033]  This is quite the report.
[00:10:30.033 --> 00:10:34.356]  The tyranny is just the beginning?
[00:10:34.356 --> 00:10:36.577]  The tyranny that you're already witnessing is just the beginning?
[00:10:37.483 --> 00:10:49.514]  And then we're going to come back and get into all the latest news and information in our world that feeds back to the globalist program of destabilization and the shutdown of human society.
[00:10:49.514 --> 00:10:55.239]  So that is coming up here on the other side of this transmission.
[00:10:55.239 --> 00:11:00.203]  And then we have Ricardo Bossi that we just played a clip of in the first segment joining us.
[00:11:00.203 --> 00:11:00.704]  Here's the report.
[00:11:04.403 --> 00:11:13.167]  Joe Biden's rambling misspoken speech at the United Nations was as transparent as it was a veiled message to the international order.
[00:11:13.167 --> 00:11:21.951]  And global health threat, and a global health threat council, council toward global COVID response, the global COVID response.
[00:11:21.951 --> 00:11:28.694]  Vaccinating the world, working with countries, technologies that reduce the risk.
[00:11:28.694 --> 00:11:31.656]  Similarly, we know the bitter string of terrorism.
[00:11:32.884 --> 00:11:35.047]  The bitter sting of terrorism is real.
[00:11:35.047 --> 00:11:36.949]  Heroic, horrific violence.
[00:11:36.949 --> 00:11:38.671]  Climactic climate change.
[00:11:38.671 --> 00:11:41.675]  Ignoring his hand in the murder of 13 U.S.
[00:11:41.675 --> 00:11:50.245]  soldiers and an aid worker's family, and the impending doom of replacement migration, while betraying our oldest ally, France.
[00:11:50.245 --> 00:11:52.428]  Emmanuel Macron is officially fuming.
[00:11:52.708 --> 00:12:02.397]  He's, you know, he's not attending this UN summit and we don't really know what the state of affairs is, even though they're sort of set to have some talk with Biden in the next few days.
[00:12:02.397 --> 00:12:08.022]  Biden's poorly coded message predicted more pandemics to control the population.
[00:12:08.022 --> 00:12:17.670]  Will we work together to save lives, defeat COVID-19 everywhere, and take the necessary steps to prepare ourselves for the next pandemic?
[00:12:18.550 --> 00:12:19.911]  Or there will be another one.
[00:12:19.911 --> 00:12:23.994]  And signal that the global carbon tax system is imminent.
[00:12:23.994 --> 00:12:35.063]  Will we meet the threat of challenging climate, the challenging climate we're all feeling, already ravaging every part of our world, with extreme weather?
[00:12:35.063 --> 00:12:42.749]  Or will we suffer the merciless march of ever-worsening droughts and floods, more intense fires and hurricanes,
[00:12:43.601 --> 00:12:47.146]  Longer heat waves and rising seas.
[00:12:47.146 --> 00:12:50.550]  Agenda 2030, tyranny on steroids.
[00:12:50.550 --> 00:12:56.437]  The recent report of the Intergovernmental Panel on Climate Change was a code red for humanity.
[00:12:56.437 --> 00:12:59.781]  We see the warning signs in every continent and region.
[00:13:00.814 --> 00:13:11.880]  Scorching temperatures, shocking biodiversity loss, polluted air, water, and natural spaces, and climate-related disasters at every turn.
[00:13:11.880 --> 00:13:23.087]  The climate change rhetoric will accelerate piggybacking on the COVID lockdowns as climate change hysteria will saturate the remainder of the Biden administration occupation.
[00:13:23.087 --> 00:13:26.569]  The climate crisis is not our fight alone, it's a global fight.
[00:13:26.889 --> 00:13:36.138]  The president believes that what's in the infrastructure package is an important down payment on addressing what he sees as a crisis in our climate.
[00:13:36.138 --> 00:13:42.384]  Climate change poses an existential threat to our lives, to our economy, and the threat is here.
[00:13:42.384 --> 00:13:44.526]  It's not going to get any better.
[00:13:45.146 --> 00:13:46.708]  Well, let me tell you why that won't happen.
[00:13:46.708 --> 00:13:47.309]  Because the
[00:14:00.724 --> 00:14:06.109]  Major corporations of the world, including in the United States, are all moving in this direction.
[00:14:06.109 --> 00:14:11.553]  And no politician is going to turn them around once they've committed trillions of dollars to this endeavor.
[00:14:11.553 --> 00:14:13.055]  That's just not going to happen.
[00:14:13.055 --> 00:14:21.982]  The normalization of contact tracing via COVID-19 apps and the expansion of the IRS and its reach into everyone's bank account
[00:14:22.122 --> 00:14:22.683]  We're good to go.
[00:14:37.302 --> 00:14:40.404]  as a means of reducing global carbon emissions.
[00:14:40.404 --> 00:14:41.864]  Paul Joseph Watson wrote,
[00:14:55.071 --> 00:15:00.933]  The authors make it clear that the program would be a national mandatory policy.
[00:15:00.933 --> 00:15:14.276]  Also, the uproar at the border, where Border Patrol has made a record one millionth stop, is merely the beginning as the State Department announced that it will increase its allotment of immigrants from 62,500 in the fiscal year of 2021
[00:15:17.717 --> 00:15:19.498]  We stand, in my view, at an inflection point in history.
[00:15:39.534 --> 00:15:48.618]  And I'm here today to share with you how the United States intends to work with partners and allies to answer these questions.
[00:15:48.618 --> 00:15:59.163]  I believe we, and particularly you, has an incredible window of opportunity to lead in shaping a new world order for the 21st century.
[00:16:02.202 --> 00:16:09.328]  What was the most important point in Joe Biden's declaration of war against America on Thursday, September 9, 2021?
[00:16:11.212 --> 00:16:15.954]  Was it the announcement of forced inoculations of 80 to 100 million Americans?
[00:16:15.954 --> 00:16:24.418]  Was it the announcement of federalization of all the major cities, the bypassing of state governors, the threat to basically remove them?
[00:16:24.418 --> 00:16:25.218]  No, it wasn't.
[00:16:25.218 --> 00:16:27.199]  That was all bad enough.
[00:16:27.199 --> 00:16:37.424]  It's the fact that he's following a UN globalist Great Reset blueprint that Australia, the UK, Europe, and the rest of the Western world is, and that this is just the beginning.
[00:16:38.284 --> 00:16:49.589]  More lockdowns, national medical IDs approved by the United Nations, carbon taxes that don't just track a trace of a tax shoot, but actually tell you when you can go somewhere and what you can do.
[00:16:49.589 --> 00:16:52.130]  It's all been announced at the UN level.
[00:16:52.130 --> 00:16:58.313]  This is a UN, world government takeover, corporate revolution through global governments.
[00:16:58.313 --> 00:17:01.134]  It's illegal and Congress must stand up and stop it now.
[00:17:02.074 --> 00:17:05.818]  I don't like coming to you and saying this could be our last broadcast.
[00:17:05.818 --> 00:17:09.523]  Hell, I've been on there 27 years, and only the last year or so have I said that.
[00:17:09.523 --> 00:17:16.811]  But let me tell you, the New World Order's breathing down our neck, the big globalist publications are coming after us, and they're doing everything they can to shut us down.
[00:17:17.171 --> 00:17:22.915]  So please pray to keep InfoWars on the air, and please support the local station you're listening to as well.
[00:17:22.915 --> 00:17:35.164]  At the same time, go to InfoWarsStore.com while you still can, and get a book, get a film, get a t-shirt, get some supplements, because it's that money that helps us stay on air in the face of this thing.
[00:17:35.164 --> 00:17:37.306]  I need your help more than ever now.
[00:17:37.306 --> 00:17:41.329]  I want to keep fighting the globalists, but I can't do it if you don't support us.
[00:17:41.929 --> 00:17:51.993]  Pray for us, word of mouth, tell folks about the broadcast, however you can, and buy great products that will enrich you and your family's lives every day at infowarestore.com.
[00:17:51.993 --> 00:18:01.537]  Whether it's high quality coffee, or supplements, or books or films, all of it nurtures the soul, all of it empowers humanity, all of it is pro-human and pro-God.
[00:18:01.537 --> 00:18:02.177]  Thank you so much.
[00:18:03.390 --> 00:18:05.933]  We're already halfway through September 2021.
[00:18:05.933 --> 00:18:08.737]  It's just incredible.
[00:18:08.737 --> 00:18:13.643]  And now the world is waking up that InfoWars was the tip of the spear and was dead on.
[00:18:13.643 --> 00:18:16.065]  That's why it's more important than ever to keep us on air.
[00:18:16.065 --> 00:18:19.510]  And I thank you all for your support, your prayers, and your word of mouth that is key.
[00:18:19.930 --> 00:18:20.290]  I think so.
[00:18:46.192 --> 00:18:48.255]  Knockout, back in stock, InfoWarStore.com.
[00:18:48.255 --> 00:18:49.957]  And the hair and beard formula for men.
[00:18:49.957 --> 00:18:50.878]  It's also great for women.
[00:18:50.878 --> 00:18:51.980]  It's really a multivitamin.
[00:18:51.980 --> 00:18:52.781]  Back in stock.
[00:18:52.781 --> 00:18:56.546]  All 50% off at InfoWarStore.com.
[00:18:56.546 --> 00:18:58.389]  We can't stay on air without you.
[00:18:58.389 --> 00:18:59.771]  Please continue to support us.
[00:18:59.771 --> 00:19:01.273]  I want to thank you from the bottom of my heart.
[00:19:01.273 --> 00:19:02.174]  Plus, these are great products.
[00:19:02.174 --> 00:19:02.795]  Please take action.
[00:19:03.470 --> 00:19:12.896]  So if you understand that this is not FDA approved, it's totally experimental, it's never been given to human beings before.
[00:19:12.896 --> 00:19:20.161]  Some of the ingredients inside of these shots have never been injected in human beings before.
[00:19:20.161 --> 00:19:22.583]  There are no long-term studies.
[00:19:22.583 --> 00:19:31.989]  We don't know what's going to happen inside your body somewhere four to six weeks after your second injection or four to six months or even two years.
[00:19:31.989 --> 00:19:33.070]  We have no idea.
[00:19:34.210 --> 00:19:40.852]  Whether it's going to cause infertility, whether it's going to cause cancer, how bad your autoimmune disease is going to be.
[00:19:40.852 --> 00:19:54.434]  My conclusion after looking at this for a long time and listening to the arguments for these masks, I've determined that if you believe, if you're a medical doctor or a scientist that is spouting, using these masks, you're either being played or you're being paid.
[00:19:54.434 --> 00:19:58.215]  Secure your copy of COVIDland today at covidland.com.
[00:19:58.215 --> 00:20:01.976]  If you order by October 6th, you get a free copy of Endgame, Blueprint for Global Enslavement.
[00:20:05.268 --> 00:20:15.011]  You're listening to The Alex Jones Show.
[00:20:15.011 --> 00:20:16.631]  It's Sunday, September 26th.
[00:20:16.631 --> 00:20:23.413]  We're live broadcasting worldwide.
[00:20:23.413 --> 00:20:30.515]  InfoWars, the most banned network in the world.
[00:20:31.678 --> 00:20:35.741]  Okay, thank you for joining us on this Sunday edition.
[00:20:35.741 --> 00:20:38.863]  This happens a lot these days before I go on air.
[00:20:38.863 --> 00:20:40.724]  I get so angry I can barely do the show.
[00:20:40.724 --> 00:20:46.368]  And that's not good because I don't get to all the news and information and it's not good because I'm our deal of for the crew.
[00:20:46.368 --> 00:20:48.870]  And I apologize for that.
[00:20:48.870 --> 00:20:56.335]  But, you know, I do not apologize for being deeply upset with what's happening in the world today.
[00:20:56.335 --> 00:20:59.838]  We are living in such an incredibly dangerous and historic time.
[00:21:00.814 --> 00:21:09.799]  And we have naked corporate world government abolishing every aspect of what is a free society.
[00:21:09.799 --> 00:21:27.308]  And we have large groups of people standing up and saying no and not going along, but they are met with just such a wall of corporate oppression and such a sea of lemming-like individuals going along with it
[00:21:29.701 --> 00:21:29.841]  That's
[00:21:50.265 --> 00:21:53.486]  Pot of water on the stove and turning the flame up on high.
[00:21:53.486 --> 00:21:54.666]  It's going to bubble at the bottom.
[00:21:54.666 --> 00:21:56.047]  It's going to start getting hot.
[00:21:56.047 --> 00:21:57.907]  It's going to come to a boil.
[00:21:57.907 --> 00:22:01.028]  We now are starting to come to a boil.
[00:22:01.028 --> 00:22:17.974]  So we're already in fabulous levels of oppression and tyranny and surveillance and control and giant Ponzi scheme banks just printing out quadrillions in fiat currency that they give to themselves to then buy up all the infrastructure.
[00:22:19.690 --> 00:22:43.890]  And when they can't buy up every single piece of property because some won't sell, they cut the world economy off with the global lockdown so that they have a pretext to go in and force you to sell, and then to dictate to your family and yourself through the new carbon apps that are going to be on all the phones they've announced, and that all credit cards are connected to, to then artificially make you poor so that you can be their slave.
[00:22:43.890 --> 00:22:49.054]  I mean, this is just absolute, total, and complete bondage that we're going into.
[00:22:52.110 --> 00:23:09.720]  And I saw an individual that has one of the independent nationalist populist parties, Ricardo Bossi, doing some good work over in Australia, speaking up against the level of absolute oppression they're under, that is the beta test for the rest of the world.
[00:23:09.720 --> 00:23:13.782]  So I thought our focus on Australia would be really informative if we got him on with us.
[00:23:16.607 --> 00:23:28.617]  Sunrise, where he's at, and he'll be joining us from the other side of the world, coming up at the start of the next segment, AustraliaOneParty.com.
[00:23:28.617 --> 00:23:37.165]  And you can see his very important video that we've been really pushing and promoting, A War for the World at Man.Video.
[00:23:38.148 --> 00:23:41.290]  So I look forward to having him on with us.
[00:23:41.290 --> 00:23:51.177]  And then we have some other folks, a political prisoner and others joining us later in the next hour who've been locked up for peacefully protesting against the ongoing lockdown.
[00:23:51.177 --> 00:23:55.700]  So there's the video of your TV viewer, a war for the world.
[00:23:55.700 --> 00:23:56.961]  Let me do this right now.
[00:23:56.961 --> 00:24:04.546]  Let me just hit some headlines for you on the whole COVID tyranny takeover, just to give you an idea of where we are currently at.
[00:24:05.356 --> 00:24:15.300]  Pfizer's CEO says CDC decision to boost boosters against recommendations of top scientist panels a very good idea.
[00:24:15.300 --> 00:24:17.400]  He said that on ABC News today.
[00:24:17.400 --> 00:24:18.681]  I'll read that to you again.
[00:24:18.681 --> 00:24:21.182]  You can see the video at Infowars.com.
[00:24:21.182 --> 00:24:32.005]  Pfizer's CEO says CDC's decision to push boosters against recommendations of top scientific panels a very good idea.
[00:24:32.005 --> 00:24:33.406]  A very good one, he said.
[00:24:35.868 --> 00:24:47.839]  Now that's the CDC panel and the FDA panel that are scientists and virologists who were put there under statutory law to basically make sure there's oversight.
[00:24:47.839 --> 00:24:50.822]  That has been overridden.
[00:24:50.822 --> 00:24:59.791]  And Fauci says, and Pfizer says, around Halloween, they're going to announce, down to two-year-olds are going to get the shot.
[00:25:01.283 --> 00:25:25.454]  Even though the FDA scientists quit, that are over that, even though the CDC scientists have gone public, even though two FDA boards and a CDC board have come out and said, this vaccine isn't a vaccine, it doesn't work, the drug is failing, it's causing a lot of heart attacks and heart swelling and blood clots, and all these shots are really bad, and we need to pull these back, and England yellow carded the vaccine, but there is an advisory group saying pull it, but they still went forward.
[00:25:25.454 --> 00:25:26.895]  So it's the same story all over the world,
[00:25:27.515 --> 00:25:34.879]  Where this is happening, Australia, New Zealand, Europe, the UK, Canada, the US, the regulators are all, whoa, this is really bad.
[00:25:34.879 --> 00:25:40.242]  They're like, you're just the top scientist.
[00:25:40.242 --> 00:25:48.827]  Even though these are pro-vax people, bought and paid for by big pharma, they've gone, whoa, whoa, whoa, this is going to discredit vaccines for generations.
[00:25:48.827 --> 00:25:53.990]  That's a quote by the chief scientist at the FDA that quit three weeks ago.
[00:25:53.990 --> 00:25:56.052]  And then the panels voted the way they said they should.
[00:25:57.014 --> 00:25:58.375]  And they got overridden.
[00:25:58.375 --> 00:26:10.884]  And that's why the two top scientists, number one, number two, at the FDA quit three weeks ago, is they were told, when the boards say this shouldn't be given, we're going to override them.
[00:26:10.884 --> 00:26:15.287]  They said, the political hack, who's not even a doctor at the White House, is going to override?
[00:26:15.287 --> 00:26:16.668]  They said, yes.
[00:26:16.668 --> 00:26:19.230]  And the head of Pfizer, he's your president.
[00:26:19.230 --> 00:26:20.070]  He's your God.
[00:26:20.070 --> 00:26:20.831]  He's your doctor.
[00:26:20.831 --> 00:26:23.193]  But you know, your doctor can't make you do something.
[00:26:23.193 --> 00:26:24.173]  He can.
[00:26:24.173 --> 00:26:24.694]  And he is.
[00:26:27.068 --> 00:26:38.795]  So that's why Fauci came out three weeks ago when those two FDA scientists quit and said, well, that's nice, but it will be approved and you will give it to babies as well.
[00:26:38.795 --> 00:26:42.917]  Because he knew they don't care.
[00:26:42.917 --> 00:26:44.198]  They run things.
[00:26:44.198 --> 00:26:45.358]  It's tyranny.
[00:26:45.358 --> 00:26:51.662]  They know that the vaccine creates a spike protein in your body that is what is the COVID-19 and makes you sick.
[00:26:52.844 --> 00:26:55.066]  They know it causes autoimmune disorders.
[00:26:55.066 --> 00:27:09.341]  They know people that take two to three shots of this garbage within a cold season or two or three max will come in contact with a regular coronavirus and have a horrible autoimmune attack.
[00:27:10.638 --> 00:27:15.719]  Again, they used to grow, starting in the 70s, some vaccines on peanut protein.
[00:27:15.719 --> 00:27:20.320]  And you got millions of people, for the first time in history, violently allergic to peanuts.
[00:27:20.320 --> 00:27:23.261]  The first time, after they had the inoculation, they'd get a little sick.
[00:27:23.261 --> 00:27:28.722]  But mom would feed it to them over and over again, and finally, if they took a bite of peanut, they'd die.
[00:27:28.722 --> 00:27:31.023]  It's the same thing.
[00:27:31.023 --> 00:27:32.363]  And I've had scientists on to describe it.
[00:27:32.363 --> 00:27:35.344]  There's a bunch of different disorders, but they could never make a cold
[00:27:36.584 --> 00:27:44.652]  Virus vaccine, that's what this is, because there's too many of them and it makes your body later freak out, just like a bee sting.
[00:27:44.652 --> 00:27:48.796]  That's your body having an immune response.
[00:27:48.796 --> 00:27:55.883]  And so, that's why the scientists say within two to three years, you're going to see mass death just from the autoimmune response.
[00:27:57.776 --> 00:28:07.420]  That's what killed most people with the Spanish flu back during the end of World War I was not the virus, but just the body's incredible overreaction to it, freaking out.
[00:28:07.420 --> 00:28:14.604]  That's why with COVID-19 you take steroids, inhalable and corticotopic pills, anti-inflammatory.
[00:28:15.564 --> 00:28:21.489]  And that's why it deals with it most of the time if it's early, because it's an autoimmune response.
[00:28:21.489 --> 00:28:26.373]  Well, if you think that's bad, you wait down the road, and they know this!
[00:28:26.373 --> 00:28:35.321]  And then even the FDA scientists and CDC scientists and UK scientists are like, hey, we better, EU scientists, we better not do this, we better stop!
[00:28:35.321 --> 00:28:38.364]  They're like, shut up with your boards that used to be in charge!
[00:28:38.364 --> 00:28:41.827]  Pfizer and Moderna, that's DARPA, they say full speed ahead!
[00:28:43.266 --> 00:28:45.069]  And, oh, and talk about Australia.
[00:28:45.069 --> 00:28:49.836]  They're under lockdown for like 500 and something days.
[00:28:49.836 --> 00:28:50.717]  Coming up on 600.
[00:28:50.717 --> 00:28:53.200]  And that's what's coming here next.
[00:28:53.200 --> 00:28:57.487]  Australia is tomorrow's tyranny today.
[00:28:57.487 --> 00:28:58.608]  This is Hardcore.
[00:28:58.608 --> 00:28:58.949]  Stay with us.
[00:29:03.404 --> 00:29:04.846]  It's General Lee.
[00:29:04.846 --> 00:29:06.027]  It's General Milley.
[00:29:06.027 --> 00:29:09.091]  I just want you to know that Trump tried to overthrow the U.S.
[00:29:09.091 --> 00:29:18.603]  government two days ago on January 6th, and I just want you to know I've taken control of the nuclear weapons, and if Trump tries to launch an attack on you, we'll let you know first the attack's coming.
[00:29:19.739 --> 00:29:21.481]  That is from the transcript.
[00:29:21.481 --> 00:29:26.445]  Then he called up Pelosi, Schumer, and others to say, I'm loyal to you.
[00:29:26.445 --> 00:29:28.807]  I'm going to protect Trump from using nuclear weapons.
[00:29:28.807 --> 00:29:34.351]  When Trump was going for detente with China and North Korea at the time, and Trump's respondents saying it's a total lie.
[00:29:34.351 --> 00:29:36.253]  Pelosi's come out and admitted it happened.
[00:29:36.253 --> 00:29:43.419]  Hell, she bragged back on January 8th that it took place then, and is saying that she honors Milley and that he's this courageous person.
[00:29:43.419 --> 00:29:44.520]  So are all these other Democrats.
[00:29:45.040 --> 00:29:51.806]  So this is the permanent deep state coup that's been in control for a long time, now coming out of the shadows publicly.
[00:29:51.806 --> 00:29:54.227]  Remember, these people literally hate you and your family.
[00:29:54.227 --> 00:29:58.111]  Now they're injecting you with poison, soft kill injections.
[00:29:58.111 --> 00:29:59.652]  Wake up America or be destroyed.
[00:30:02.193 --> 00:30:12.300]  We've all heard about the pastor and his famous statement from inside a concentration camp in World War II that when they came for one group, he wasn't part of that group so he didn't stand up.
[00:30:12.300 --> 00:30:16.663]  And then when they came for another group, he wasn't part of that group so he didn't stand up.
[00:30:16.663 --> 00:30:17.223]  And finally,
[00:30:18.104 --> 00:30:20.205]  And they can't apprehend those, nobody else to stand up.
[00:30:20.205 --> 00:30:25.048]  Well, the global social credit score that China's putting in, it's banning people to three hours of video games a week.
[00:30:25.048 --> 00:30:29.050]  And if you criticize the government, you can never buy or sell again.
[00:30:29.050 --> 00:30:33.152]  Well, that's being brought here and all over the world under the guise of COVID.
[00:30:33.152 --> 00:30:35.113]  Vaccine passports, they even admit it now.
[00:30:35.113 --> 00:30:37.755]  They're saying there's going to be a carbon tax attached to it.
[00:30:37.755 --> 00:30:42.177]  They're going to track where you go and what you do and decide where you can go and what you can do.
[00:30:42.177 --> 00:30:43.978]  That's what the lockdowns are about.
[00:30:43.978 --> 00:30:45.539]  You'll accept that, you'll accept anything.
