[00:00:00.817 --> 00:00:02.922]  We are drugged out!
[00:03:02.741 --> 00:03:11.825]  There is no municipality in America that has more than 5,000 people that does not have access to at least one of these devices.
[00:03:11.825 --> 00:03:14.767]  Some of the largest cities have many hundreds of these devices.
[00:03:16.187 --> 00:03:37.939]  The central problem with the stingrays, other than the fact that the Harris Corporation, almost in league with the government, has a contract so tightly bound that anyone who buys one cannot tell anybody else where they got it from, what the name of the product is, how much they paid for it, how many other products similar to it that they own or anything else.
[00:03:38.919 --> 00:03:39.600]  Think about that.
[00:03:39.600 --> 00:03:59.478]  They're saying that they signed a paper with a corporation that they're not going to disclose this information to a judge as required under the law, under the Constitution, that their non-disclosure agreement with this corporation is more important than the Constitution or any laws that we write subsequent to that.
[00:03:59.478 --> 00:04:03.782]  The surveillance state has grown like an STD that, of course, nobody wants.
[00:04:04.142 --> 00:04:14.091]  Automatic facial recognition and automatic number plate recognition have in the span of a few years become the norm in a big brother prison planet society.
[00:04:14.091 --> 00:04:28.825]  All the technocrats and their socialistocratic government soldiers need to do is apply the Chinese style social credit system on American citizens and a sliding slope for totalitarian domination is right around the corner.
[00:04:29.105 --> 00:04:36.839]  Unfortunately, we have reached the point where Americans need to demand the enforcement of their Bill of Rights now more than ever.
[00:04:36.839 --> 00:04:39.123]  John Bowne reporting for InfoWars.com
[00:05:00.606 --> 00:05:02.928]  Fueling your body is hard work.
[00:05:02.928 --> 00:05:08.712]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:05:08.712 --> 00:05:17.139]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:05:17.139 --> 00:05:19.361]  There's no better way to power your body.
[00:05:19.901 --> 00:05:26.786]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:05:26.786 --> 00:05:37.253]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:05:37.933 --> 00:05:45.375]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:05:45.375 --> 00:05:51.537]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:05:51.537 --> 00:05:55.378]  Don't miss out on the chance to fuel your body and support recovery.
[00:05:55.378 --> 00:05:58.519]  Try the InfoWars Life Daily Digestive Pack today!
[00:06:07.622 --> 00:06:13.924]  For humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:06:13.924 --> 00:06:16.585]  You better believe you got one!
[00:06:16.585 --> 00:06:23.228]  From the front lines of the Information War, it's Alex Jones.
[00:06:41.837 --> 00:06:46.320]  Everyone thinks so, but I would never say it.
[00:06:46.320 --> 00:06:47.781]  You know what I want to do?
[00:06:47.781 --> 00:06:50.383]  I want to get it finished.
[00:06:50.383 --> 00:06:52.524]  The prize I want is victory for the world.
[00:07:10.402 --> 00:07:15.008]  It's also what happens when you listen to the radio host, Alex Jones.
[00:07:15.008 --> 00:07:16.910]  Move, bitch!
[00:07:16.910 --> 00:07:17.711]  Get out the way!
[00:07:25.903 --> 00:07:30.166]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:07:30.166 --> 00:07:33.729]  It's been a cozy relationship from the beginning.
[00:07:33.729 --> 00:07:34.850]  I will not let you down.
[00:07:34.850 --> 00:07:38.472]  You will be very, very impressed, I hope.
[00:07:38.472 --> 00:07:39.974]  And I think we'll be speaking a lot.
[00:07:39.974 --> 00:07:42.095]  Donald Trump and Alex Jones.
[00:07:42.095 --> 00:07:47.840]  This means that Donald Trump will be the 45th President of the United States.
[00:07:47.840 --> 00:07:50.422]  Waging war on corruption.
[00:07:50.422 --> 00:07:51.423]  It's Alex Jones!
[00:07:54.741 --> 00:08:01.826]  A lot of his supporters believe that we are the enemy of the American people, and that is really, really an awful situation.
[00:08:01.826 --> 00:08:04.048]  We are not the enemy of the American people.
[00:08:04.048 --> 00:08:16.658]  We love the American people.
[00:08:16.658 --> 00:08:18.880]  We are not the enemy of the American people.
[00:08:18.880 --> 00:08:20.381]  We love the American people.
[00:08:20.381 --> 00:08:21.762]  We love the American people.
[00:08:23.726 --> 00:08:26.108]  We love the American people.
[00:08:26.108 --> 00:08:40.017]  They came in peace.
[00:08:40.017 --> 00:08:42.198]  We are not the enemy of the American people.
[00:08:42.198 --> 00:08:43.679]  We love the American people.
[00:08:51.431 --> 00:08:52.692]  This is CNN.
[00:08:52.692 --> 00:09:05.080]  If you are receiving this transmission, you are the resistance.
[00:09:05.080 --> 00:09:13.346]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[00:09:22.934 --> 00:09:27.956]  It's 11.59 at Radio Free America, and this is Uncle Sam with music and the truth until dawn.
[00:09:27.956 --> 00:09:31.957]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:09:31.957 --> 00:09:34.018]  The chair is against the wall.
[00:09:34.018 --> 00:09:36.238]  The chair is against the wall.
[00:09:36.238 --> 00:09:38.239]  John has a long mustache.
[00:09:38.239 --> 00:09:40.280]  John has a long mustache.
[00:09:40.280 --> 00:09:43.121]  It's 12 o'clock, Americans, another day closer to victory.
[00:09:43.121 --> 00:09:47.262]  And for all of you out there on or behind the lines, this is your song.
[00:09:53.155 --> 00:09:55.017]  But they took a lot of people away.
[00:09:55.017 --> 00:09:57.158]  People that they thought were gonna make trouble for them.
[00:09:57.158 --> 00:10:00.361]  People that had guns or things they wanted, they just took them away.
[00:10:00.361 --> 00:10:01.742]  Where?
[00:10:01.742 --> 00:10:03.824]  Re-education camps, that's what they call it.
[00:10:03.824 --> 00:10:12.050]  So part of it is we have to break through our kind of private idea that kids belong to their parents, or kids who belong to their families and recognize that kids belong to whole communities.
[00:10:12.050 --> 00:10:15.954]  I have decided we really need camps for adults.
[00:10:17.697 --> 00:10:22.382]  And we need a chance that you all run.
[00:10:22.382 --> 00:10:23.283]  I mean, really.
[00:10:23.283 --> 00:10:26.667]  All persons of Japanese descent were required to register.
[00:10:26.667 --> 00:10:31.732]  Now they were taken to racetracks and fairgrounds where the army almost overnight had built assembly centers.
[00:10:31.732 --> 00:10:33.714]  I'm a sovereign citizen.
[00:10:33.714 --> 00:10:35.316]  I refuse to recognize you guys.
[00:10:35.716 --> 00:10:37.538]  What kind of a situation in the U.S.
[00:10:37.538 --> 00:10:38.838]  would you see that happening?
[00:10:38.838 --> 00:10:43.382]  We've got a lot of Constitutionalists and a lot of people that stockpile weapons.
[00:10:43.382 --> 00:10:53.168]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[00:10:53.168 --> 00:10:59.153]  These people are radicalized and they don't support the United States and they're disloyal to the United States.
[00:10:59.153 --> 00:11:03.736]  It's our right and our obligation to segregate them from the normal community.
[00:11:10.492 --> 00:11:13.053]  That's what we're doing here and let's not kid about it.
[00:11:13.053 --> 00:11:18.115]  We're building a domestic army because the government is afraid of its own citizens.
[00:11:18.115 --> 00:11:21.316]  Put your gun down, really?
[00:11:21.316 --> 00:11:26.298]  Rallying patriots worldwide in defense of human liberty.
[00:11:26.298 --> 00:11:28.139]  It's Alex Jones.
[00:11:28.139 --> 00:11:30.100]  Are you some kind of a constitutionalist?
[00:11:32.814 --> 00:11:38.345]  So these people who hold themselves out to be patriots are not.
[00:11:38.345 --> 00:11:41.130]  They're nothing more than domestic terrorists.
[00:11:41.130 --> 00:11:45.017]  If you are receiving this transmission, you are the resistance.
[00:11:59.116 --> 00:12:07.499]  President Trump gives every indication by what he says and what he does and what he doesn't do, that he's mean as a wolverine.
[00:12:07.499 --> 00:12:13.082]  Wolverines!
[00:12:13.082 --> 00:12:18.424]  Ladies and gentlemen, it is Monday, the 30th day of July 2018.
[00:12:18.424 --> 00:12:25.987]  I'm your host, Alex Jones, and we're going to be live here for the next four hours.
[00:12:25.987 --> 00:12:27.568]  And we've got, obviously, the war room.
[00:12:29.643 --> 00:12:40.947]  I don't feel sorry for myself being a hunted, demonized, lied about individual because I know I'm on the right side of history.
[00:12:40.947 --> 00:12:41.628]  I know this is a
[00:12:42.694 --> 00:13:06.866]  Globalist military propaganda operation we're fighting and I signed up for this so I expect it, but I will tell you The level of deception and lies by these people is so over-the-top And so duplicitous and you can only know it when you're on the inside of it that it's it's a real education And I'm gonna try my best today to go over some of that I mean Here's an example.
[00:13:06.866 --> 00:13:11.468]  I don't want our show to be the soap opera of what's happening to Alex Jones, but you know you've got
[00:13:12.873 --> 00:13:23.199]  Everybody from Tucker Carlson to Senator Ted Cruz to Sean Hannity coming out defending me and saying basically I'm being lied about.
[00:13:23.199 --> 00:13:26.801]  They're setting a precedent to ban conservatives off the internet.
[00:13:26.801 --> 00:13:28.302]  That's totally Twilight Zone.
[00:13:28.302 --> 00:13:30.263]  You've got tens of thousands of articles.
[00:13:30.263 --> 00:13:38.007]  Every local TV station in the country basically is running disinfo pieces with pure lies about me.
[00:13:38.007 --> 00:13:41.029]  They've got something big planned.
[00:13:50.089 --> 00:13:59.533]  Now, here's just an example of what I've read this weekend.
[00:13:59.533 --> 00:14:07.196]  Alex Jones threatened to poison David Hogg.
[00:14:07.196 --> 00:14:08.436]  Totally untrue.
[00:14:08.436 --> 00:14:11.998]  Alex Jones bullied a child and endangered them.
[00:14:11.998 --> 00:14:17.520]  Totally untrue.
[00:14:17.520 --> 00:14:19.561]  Alex Jones said,
[00:14:21.164 --> 00:14:23.466]  Mean things to transsexuals and bullied them.
[00:14:23.466 --> 00:14:25.808]  Not true.
[00:14:25.808 --> 00:14:30.692]  And that's what's amazing about all this is it's total lies.
[00:14:30.692 --> 00:14:39.558]  And then when they say it, they don't even link to where I said it or show it.
[00:14:39.558 --> 00:14:46.444]  I mean, I started seeing this weekend that Alex Jones made threats on David Hogg to poison his water.
[00:14:48.786 --> 00:14:52.208]  And that's why he's been taken off Facebook and YouTube.
[00:14:52.208 --> 00:14:53.428]  And I'm like, what?
[00:14:53.428 --> 00:15:01.292]  And then you see it, and like, Forbes saying I beat up a kid, and then not showing where the town was, when it happened, what the police report said.
[00:15:01.292 --> 00:15:06.615]  Just stuff they've always have to do, and it's in all these publications never showing it.
[00:15:06.615 --> 00:15:09.577]  It's next level lies.
[00:15:09.577 --> 00:15:13.139]  The likes of which I've never seen, I've never heard of.
[00:15:13.139 --> 00:15:17.701]  It just makes me ask, what in the world is going on, ladies and gentlemen?
[00:15:20.103 --> 00:15:23.446]  What in the world is going on?
[00:15:23.446 --> 00:15:30.672]  If you're asking why, if you're watching TV, why I'm wearing my sunglasses, this happens every few years.
[00:15:30.672 --> 00:15:33.555]  I fall asleep on my face with your eye open on the pillow.
[00:15:33.555 --> 00:15:35.777]  You know, you wake up, your eye's stuck to the pillow.
[00:15:35.777 --> 00:15:41.442]  I got a big cut on my eye and it got infected and I look like a vampire or something.
[00:15:41.442 --> 00:15:43.143]  So the light hurts my eye.
[00:15:43.143 --> 00:15:45.585]  So I've got these shades on.
[00:15:46.969 --> 00:15:47.870]  Not visually impaired.
[00:15:47.870 --> 00:15:48.790]  I better not say blind.
[00:15:48.790 --> 00:15:49.551]  That'll be hate speech.
[00:15:49.551 --> 00:15:52.013]  He'll be banned off the air show.
[00:15:52.013 --> 00:15:54.275]  Did you hear Alex Jones beat up a blind man today?
[00:15:54.275 --> 00:15:55.836]  That'll be the next thing.
[00:15:55.836 --> 00:15:57.277]  It's just, that's what they, it's just total lies.
[00:15:59.551 --> 00:16:02.632]  This is Jessica Armand, founder of MyMagicMud.
[00:16:02.632 --> 00:16:07.594]  Our team helped organize a successful effort to remove fluoride from our city's water supply.
[00:16:07.594 --> 00:16:09.315]  This is our passion.
[00:16:09.315 --> 00:16:13.496]  MyMagicMud Oral Care purifies and brightens your smile naturally.
[00:16:13.496 --> 00:16:19.479]  GCN listeners, please support my family business by purchasing our products from your local health food store.
[00:16:19.479 --> 00:16:22.120]  We're also available at CVS Pharmacy.
[00:16:22.120 --> 00:16:27.542]  Or visit us at MyMagicMud.com and take 10% off now with coupon code GCN10.
[00:16:29.395 --> 00:16:31.276]  Healthcare reform is confusing.
[00:16:31.276 --> 00:16:39.882]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[00:16:39.882 --> 00:16:43.585]  Control your own healthcare costs and choices with Liberty HealthShare.
[00:16:43.585 --> 00:16:45.526]  Liberty HealthShare is not insurance.
[00:16:45.526 --> 00:16:51.590]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[00:16:51.590 --> 00:16:53.071]  Neighbor helping neighbor.
[00:16:53.071 --> 00:16:55.653]  Learn more now by going to libertyoncall.org.
[00:16:55.653 --> 00:16:57.534]  That's libertyoncall.org.
[00:16:58.795 --> 00:17:02.440]  Who has the only raw living whole plant hemp CBD extract in the world?
[00:17:02.440 --> 00:17:03.501]  MetaHemp Solutions.
[00:17:03.501 --> 00:17:06.726]  A radically innovative approach to hemp CBDs for exceptional results.
[00:17:06.726 --> 00:17:07.146]  Why?
[00:17:07.146 --> 00:17:10.431]  Because they contain absolutely all the elements present in the original plant.
[00:17:10.431 --> 00:17:15.858]  All our hemp CBD products are independently lab tested for potency and purity and manufactured in our FDA registered facility.
[00:17:16.038 --> 00:17:16.639]  Try it today.
[00:17:16.639 --> 00:17:19.022]  10% off with coupon code GCN10.
[00:17:19.022 --> 00:17:20.523]  Call 833-858-7500.
[00:17:20.523 --> 00:17:23.347]  That's 833-858-7500.
[00:17:23.347 --> 00:17:26.831]  Or buy MetaHemp Solutions today at metahempsolutions.com.
[00:17:26.831 --> 00:17:28.693]  That's metahempsolutions.com.
[00:17:28.693 --> 00:17:33.199]  If you like alkaline water, or know someone that does, you're going to love the Dillon Living Water Bottle.
[00:17:33.419 --> 00:17:37.782]  It creates alkaline water on the go while reducing plastic waste and saving you money.
[00:17:37.782 --> 00:17:46.008]  Made with surgical grade stainless steel, the Dillon Bottle increases the pH up to 9 to deliver both alkaline and antioxidant water anywhere you want it.
[00:17:46.008 --> 00:17:49.350]  Alkaline water is healthier, tastes better, and can even boost energy.
[00:17:49.350 --> 00:17:54.054]  The Dillon Bottle makes it easy and affordable to be healthy and achieve optimal hydration.
[00:17:54.054 --> 00:17:56.896]  Get your Dillon Bottle today at DYLN.CO.
[00:17:56.896 --> 00:17:57.936]  That's DYLN.CO.
[00:18:00.208 --> 00:18:03.811]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.811 --> 00:18:05.573]  Introducing Pollen Block.
[00:18:05.573 --> 00:18:17.643]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.643 --> 00:18:22.647]  In the 1960s, researchers in France noticed that people who ate certain quail eggs
[00:18:23.407 --> 00:18:32.774]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:18:32.774 --> 00:18:38.478]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:38.478 --> 00:18:47.024]  In fact, current research has found that it actually acts by blocking the activity of tryptase.
[00:18:47.244 --> 00:18:52.191]  Which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.191 --> 00:18:54.815]  Go outside and enjoy the air you breathe.
[00:18:54.815 --> 00:18:59.562]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:00.051 --> 00:19:06.535]  We are kept afloat only by your loyal patronage, and that's why we need you to go to the site now.
[00:19:06.535 --> 00:19:13.379]  If you're not in the market for one of our greatest nutraceuticals, please consider a contribution.
[00:19:13.379 --> 00:19:28.909]  $25, $50, $100, $250, or even $500 would be a godsend to our important work here to beat back the globalists and to destroy their campaign of censorship in which they want to strangle our First Amendment rights.
[00:19:30.054 --> 00:19:33.877]  Hey, how would you like to take InfoWars with you wherever you go?
[00:19:33.877 --> 00:19:39.120]  Well now, you can do just that with the new official InfoWars app!
[00:19:39.120 --> 00:19:42.263]  And here's the best part, it is absolutely free!
[00:19:42.263 --> 00:19:47.486]  At the Apple Store and Google Play, you can join the InfoWars today!
[00:19:47.486 --> 00:19:51.429]  Check it out right now at InfoWars.com forward slash app app!
[00:19:51.429 --> 00:19:53.290]  It's the InfoWars official app!
[00:19:53.290 --> 00:19:55.552]  Taken on the globalist at point blank range!
[00:19:55.552 --> 00:19:59.675]  And with your help spreading it, and with your help downloading it, we are unstoppable!
[00:20:03.338 --> 00:20:18.601]  You're listening to the Alex Jones Show.
[00:20:18.601 --> 00:20:28.042]  Defending the Republic from enemies foreign and domestic, it's Alex Jones.
[00:20:38.763 --> 00:20:52.953]  So, I want to lay something out right here in front of the whole world so people understand what is happening politically, culturally, economically, spiritually, genetically on this planet.
[00:20:52.953 --> 00:20:57.016]  And all of it's intertwined.
[00:20:57.016 --> 00:21:02.180]  Powerful corporate systems want control of the human life cycle.
[00:21:03.715 --> 00:21:06.237]  They want control of every action of humanity.
[00:21:06.237 --> 00:21:10.900]  They call it the final revolution.
[00:21:10.900 --> 00:21:24.751]  Where everything humans do naturally, the whole process of life, is put into an artificiality system, just like the Terminator seeds put out 30 years ago by Monsanto, that are child's play today.
[00:21:27.318 --> 00:21:35.674]  Where the plants no longer produce seeds that continue the life cycle, you've got to get new seeds out of the laboratory.
[00:21:35.674 --> 00:21:39.581]  It is a total scientific, cold-blooded, corporate takeover.
[00:21:41.445 --> 00:21:44.346]  And that's what all the transgenderism is.
[00:21:44.346 --> 00:21:47.107]  That's what all the attack on the family is.
[00:21:47.107 --> 00:21:50.468]  All of that is a takeover of civilization.
[00:21:50.468 --> 00:21:51.989]  A takeover of the life cycle.
[00:21:51.989 --> 00:22:04.694]  And the people that are into whatever the latest globalist fad is, to push the agenda, they are victims of it.
[00:22:04.694 --> 00:22:09.896]  So that when you criticize the system, they then personalize it and say, oh look, you're attacking this poor individual.
[00:22:11.718 --> 00:22:30.045]  This is a codified, declassified, long-term strategic plan that you can read about in the 1920s being developed by the Royal Commission in England and then being deployed by the UN by the 1960s in a global plan.
[00:22:30.045 --> 00:22:34.207]  We are living in this science fiction dystopic system.
[00:22:35.496 --> 00:22:45.443]  And humanity is trying to learn how this thing works, trying to struggle against it, pretty late in the game, but coming back late in the game.
[00:22:45.443 --> 00:22:48.405]  So I want to say something.
[00:22:48.405 --> 00:22:56.150]  I would obviously do some things differently in hindsight of how I said certain things or how I did certain things, but in the main,
[00:22:58.364 --> 00:23:01.166]  95% of what I've done, I would do it all over again.
[00:23:01.166 --> 00:23:06.009]  I would endorse Donald Trump three years ago even stronger than I did.
[00:23:06.009 --> 00:23:24.700]  I would follow this course because I know we're changing history for the better and I know we're standing up against really, really twisted, selfish, anti-human individuals that think they're playing God and who don't live by the same rules they want to foist upon us.
[00:23:24.700 --> 00:23:25.701]  And this is
[00:23:27.222 --> 00:23:32.607]  The epic battle for humanity taking place and transpiring right now.
[00:23:32.607 --> 00:23:46.560]  And no one else, other than President Trump, or maybe a Rand Paul, could tell you from the trenches and the experiences I've been in, how this thing works.
[00:23:46.560 --> 00:23:49.683]  And I learn more exponentially every day.
[00:23:49.683 --> 00:23:52.846]  And I have no fear for myself or for InfoWars itself.
[00:23:55.183 --> 00:24:15.216]  I have true nauseating concern now that we haven't done a good enough job to wake people up because now I really know for sure my research and my fact-finding missions and all the interviews we did and the facts that we just stolted together.
[00:24:15.216 --> 00:24:17.178]  I just got massive chills.
[00:24:17.178 --> 00:24:23.582]  We're totally dead on except for we saw a mountain of evil and thought that was the evil.
[00:24:24.915 --> 00:24:29.037]  And then we scaled the peak and saw a mountain ten times bigger.
[00:24:29.037 --> 00:24:32.279]  And that this mountain was just the first wave.
[00:24:32.279 --> 00:24:41.944]  God, there may be something bigger on the other side of that, but God's gonna lift us up for those challenges for each wave we go over and then see a bigger tsunami.
[00:24:41.944 --> 00:24:44.105]  This is the animating contest.
[00:24:44.105 --> 00:24:45.346]  This is it.
[00:24:45.346 --> 00:24:48.728]  And I just hope folks out there can understand
[00:24:49.781 --> 00:24:55.007]  What we're facing and what we're dealing with, because these are going to be the times that drive men and women's souls.
[00:24:55.007 --> 00:25:04.459]  And if you look at the public that are under leftist, globalist, corporate TV control, I mean, TV is what's killing humanity.
[00:25:04.459 --> 00:25:06.001]  The shut in society, the
[00:25:07.688 --> 00:25:12.009]  The passivity, the sedentariness, the brainwaves lowering.
[00:25:12.009 --> 00:25:17.971]  If you look at people that follow the system, they look like they're dead.
[00:25:17.971 --> 00:25:21.952]  They're not just physically in bad shape.
[00:25:21.952 --> 00:25:23.393]  They look shriveled.
[00:25:23.393 --> 00:25:26.094]  Their eyes are dead.
[00:25:26.094 --> 00:25:28.014]  There's nothing there.
[00:25:28.014 --> 00:25:29.095]  It's beyond sleep.
[00:25:29.095 --> 00:25:34.056]  They are being put into a trance to then be psychically fed on.
[00:25:34.056 --> 00:25:35.637]  The whole Bible's real.
[00:25:35.637 --> 00:25:36.457]  It's interdimensional.
[00:25:37.699 --> 00:25:42.023]  And this whole thing is anti-life, anti-human.
[00:25:42.023 --> 00:25:45.585]  The Earth is in the process of being killed right now.
[00:25:45.585 --> 00:25:51.450]  And they know you at a spiritual and intellectual level, and mathematical level, know that's happening.
[00:25:51.450 --> 00:25:58.235]  So they go, oh, the Earth's dying, we're the guardians of it, let's cut the carbon dioxide off, that's the key to the whole life cycle.
[00:25:58.235 --> 00:26:04.100]  And they could actually clean the planet, and we could boost it, like it was in previous ages.
[00:26:04.100 --> 00:26:06.182]  The one thing that could, really,
[00:26:07.591 --> 00:26:08.772]  Clean the planet up.
[00:26:08.772 --> 00:26:10.713]  That is the regenerative system.
[00:26:10.713 --> 00:26:12.694]  It's not oxygen, it's carbon dioxide.
[00:26:12.694 --> 00:26:14.996]  And it's what's lowering really fast.
[00:26:14.996 --> 00:26:16.216]  The lowest levels ever recorded.
[00:26:16.216 --> 00:26:25.482]  If you compare the numbers of the last century to a million years ago, 10 million, 25 million, I mean, we're in a crisis and it's big.
[00:26:25.482 --> 00:26:31.666]  And the globalists are terraforming their geoengineering towards everything they say they're trying to stop.
[00:26:31.666 --> 00:26:33.828]  And so when you really pull back from this, it's big.
[00:26:35.486 --> 00:26:43.249]  They're so upset that a anti-Satanist, a pro-human, has gotten into the White House in the middle of their operation.
[00:26:43.249 --> 00:26:44.950]  They've got him walled off.
[00:26:44.950 --> 00:26:48.432]  He's only been able to do limited things to prove he can turn the economy around.
[00:26:48.432 --> 00:26:55.875]  But if Trump could just get into the real shadow government, you would be blown away.
[00:26:57.847 --> 00:26:58.627]  So that's it.
[00:26:58.627 --> 00:27:00.288]  Everybody's being targeted by this.
[00:27:00.288 --> 00:27:09.010]  I don't care if you're black or white or old or young or, you know, you're a transsexual or you're a whatever you are.
[00:27:09.010 --> 00:27:23.295]  This whole delusion about be whatever you want in an imaginary world is because they want you to imagine imaginary rights and they want you to think about crimes against humanity hundreds of years ago so that you don't recognize the crimes against humanity that are taking place now.
[00:27:31.690 --> 00:27:38.853]  This is... This is how the evil attacks.
[00:27:38.853 --> 00:27:40.414]  It does it by stealth.
[00:27:40.414 --> 00:27:41.455]  It does it through the culture.
[00:27:41.455 --> 00:27:44.376]  It does it through the water, the food, the chemicals.
[00:27:44.376 --> 00:28:01.344]  It does it through the whole program, and it gets a bunch of people full of anxiety, a bunch of people scared, because at their human gut level, they know humanity's in a crisis, and then they misdirect it at the surface level onto people that are trying to turn the ship around and fix things, and say, you're full of anxiety, you've got Trump derangement syndrome,
[00:28:04.963 --> 00:28:14.968]  Because of Trump and Alex Jones, not because the whole globalist system was designed to make you a failure, and was designed to bring you down.
[00:28:14.968 --> 00:28:28.554]  So we have a lot of good things happening, and we have a lot of bad things happening, and we're going to break it all down coming up today, but if you want to know why they're really mad at InfoWars, it's little things like the top of InfoWars.com, the front page.
[00:28:28.554 --> 00:28:30.275]  You just click right there, save the internet,
[00:28:32.029 --> 00:28:36.052]  And it's the Adams report on the shadow bang and everything we put out two weeks ago.
[00:28:36.052 --> 00:28:39.074]  And you notice Congress, literally no one had written a report.
[00:28:39.074 --> 00:28:40.214]  We got it to them.
[00:28:40.214 --> 00:28:40.955]  You got it to them.
[00:28:40.955 --> 00:28:41.355]  You did that.
[00:28:41.355 --> 00:28:45.237]  That's one example of just standing up a little bit brings victory.
[00:28:45.237 --> 00:28:49.480]  They want you demoralized in a trance, not believing you can have any victory.
[00:28:49.480 --> 00:28:50.581]  Well, we know there's victory.
