[00:00:03.086 --> 00:00:04.287]  You found it!
[00:21:00.959 --> 00:21:04.761]  And again, at governmental PhD level, it's all public.
[00:21:04.761 --> 00:21:07.503]  Post-human world, eugenics.
[00:21:07.503 --> 00:21:17.530]  To do it, we've got to sabotage the normal human system so that it's so unlivable, so failed, people will then beg for the new, quote, augmented or cyborg existence.
[00:21:18.749 --> 00:21:27.535]  That was in 1978 Pentagon document that got declassified in 2000 to the Federation of American Scientists.
[00:21:27.535 --> 00:21:35.960]  It got reclassified, but I put the classified document in my film, 9-11 Dissent to Tyranny.
[00:21:35.960 --> 00:21:47.608]  And it describes humans born into tanks, and then the heat from our bodies powers the AI that then jacks into our brains for virtual reality for an AI human interface.
[00:21:48.670 --> 00:21:53.874]  You're probably saying, wait a minute, I saw a 1999 film called The Matrix.
[00:21:53.874 --> 00:21:57.537]  You see, this is an externalization of the method.
[00:21:57.537 --> 00:22:02.742]  One hypothesis and model is that model.
[00:22:02.742 --> 00:22:11.209]  Incomplete with aircraft that will be used to try to block the sun out in a war to kill the AI.
[00:22:11.209 --> 00:22:12.550]  It's already war-gamed all that.
[00:22:13.533 --> 00:22:17.955]  And so they'll have to send out hunter-killer robots to kill all the humans on the ground that are powered by humans.
[00:22:17.955 --> 00:22:21.897]  And you're going, wait a minute, that's another one of the Matrix movies.
[00:22:21.897 --> 00:22:23.237]  Exactly.
[00:22:23.237 --> 00:22:26.519]  And that's actually in this NBC article, how they're chemtrailing you.
[00:22:26.519 --> 00:22:40.385]  So you have to understand, since Francis Galton and since the Wedgwoods and the Huxleys and the Darwins all interbred for the British royal family to create what they believe is superhuman,
[00:22:41.499 --> 00:22:43.379]  To try to envision the future.
[00:22:43.379 --> 00:22:52.341]  They envision computers, biometrics, everything we have was channeled to them by entities from other dimensions.
[00:22:52.341 --> 00:22:54.642]  Now you have to understand, this is not me saying this.
[00:22:54.642 --> 00:22:58.142]  You notice they don't attack me for this in the news, because they know it's their religion.
[00:22:58.142 --> 00:23:01.723]  They want me off the air because of this.
[00:23:01.723 --> 00:23:06.284]  And so they breed people that have the proper electrochemical
[00:23:09.258 --> 00:23:27.702]  Cells in their brain, just like birds can fly according to the magnetic lines, butterflies can fly from Mexico to Canada, lay their eggs, hatch, fly back off of magnetic control.
[00:23:27.702 --> 00:23:35.183]  They bred humans to be able to inter-dimensionally interface with the entities that then sent them the messages to build all this.
[00:23:36.653 --> 00:23:38.534]  Now again, you're getting the big secrets here.
[00:23:38.534 --> 00:23:39.954]  They don't want you to know this.
[00:23:39.954 --> 00:23:46.237]  They're rolling out what I told you 25 years ago about the planetary government, how they're going to exterminate you and your family.
[00:23:46.237 --> 00:23:48.657]  That's because they're ready to start implementing this now.
[00:23:48.657 --> 00:23:50.558]  They're getting ready to roll out this phase.
[00:23:50.558 --> 00:24:02.402]  But I'm explaining to you why they're all doing this, because they really believe they're going to be given immortality when they're given the blueprints to merge with the AI.
[00:24:02.402 --> 00:24:05.604]  So yes, you're on a planet, you're in a real science fiction movie.
[00:24:05.604 --> 00:24:06.144]  Satan's real.
[00:24:07.870 --> 00:24:16.656]  And tomorrow when I come in, I'm going to read this whole article and then go through exhibits showing you where they actually say it and where they do it.
[00:24:16.656 --> 00:24:25.843]  But again, Darwin had visions where an entity told him about the origin of the species and how it would all work and they were all doing this.
[00:24:25.843 --> 00:24:28.565]  Let me just read you a few paragraphs from here.
[00:24:28.565 --> 00:24:32.788]  Cyborgs will replace humans and remake the world, James Lovelock says.
[00:24:34.244 --> 00:24:37.405]  Now, cyborgs are humans merging with machine.
[00:24:37.405 --> 00:24:46.768]  But again, the superclass, the real controllers, are only going to give 99.9% of people systems that totally control them, totally enslave them.
[00:24:46.768 --> 00:25:02.714]  But just as above, so below, the globalists have been deceived, just like an Egyptian pharaoh, again believing if he spent 90% of his GDP on building giant pyramids and then mummifying himself, that he would somehow live forever.
[00:25:03.612 --> 00:25:08.816]  And of course he was building this pyramid for a completely different reason than what he was told.
[00:25:08.816 --> 00:25:10.617]  Little secrets I'll get to later.
[00:25:10.617 --> 00:25:14.480]  But cyborgs will replace humans and remake the world.
[00:25:14.480 --> 00:25:21.865]  James Lovelock says, for tens of thousands of years humans have reigned as our planet's only intelligent self-aware species.
[00:25:21.865 --> 00:25:24.207]  You really think we're the only thing on the planet?
[00:25:24.207 --> 00:25:28.190]  No, the Bible tells us a really bad dude with a whole legion
[00:25:29.628 --> 00:25:31.949]  Hundreds of thousands of crew are on the planet.
[00:25:31.949 --> 00:25:32.929]  Don't listen to it, though.
[00:25:32.929 --> 00:25:38.652]  It just told you about the whole world government, the casual society, robots, nuclear weapons, it's all in there.
[00:25:38.652 --> 00:25:43.454]  But the rise of intelligent machines means that could soon change.
[00:25:43.454 --> 00:25:51.657]  Perhaps in our own lifetimes, not long after that, Homo sapiens could vanish from the Earth entirely.
[00:25:51.657 --> 00:25:56.699]  So we're all dead, but oh, it's liberal because it goes into it to save the Earth.
[00:25:56.699 --> 00:25:57.880]  We're gonna have to die.
[00:25:59.116 --> 00:26:04.299]  And yes, like they've all told everybody, when you merge with a machine, your body has to die.
[00:26:04.299 --> 00:26:06.860]  We can't have two of you running around.
[00:26:06.860 --> 00:26:11.923]  But of course it's the ultimate con, just like the pharaohs, believing mummification made them live forever.
[00:26:11.923 --> 00:26:16.645]  They could keep their body intact.
[00:26:16.645 --> 00:26:22.749]  That's the jarring message of the new book by James Lovelock, the famed British environmentalist and futurist.
[00:26:22.749 --> 00:26:26.411]  He's not famed by real scientists, but he's worshipped by the heights of science.
[00:26:27.833 --> 00:26:33.214]  Because he brought out the Gaia hypothesis that the Earth itself has a spirit.
[00:26:33.214 --> 00:26:36.335]  Remember Final Fantasy?
[00:26:36.335 --> 00:26:47.458]  The Earth itself has a spirit that's under attack by the real devil, Jesus Christ.
[00:26:47.458 --> 00:26:49.939]  And Lucifer is the feminine spirit.
[00:26:49.939 --> 00:26:56.421]  This gets into all this twisted Kabbalah stuff that's not really out of Solomon's Temple, but a different deal.
[00:26:56.421 --> 00:26:57.301]  Oh yeah, that's right there.
[00:26:58.618 --> 00:27:08.902]  And then, Lucifer and the goddess must defeat the devil, Jehovah.
[00:27:08.902 --> 00:27:09.462]  That's what they teach.
[00:27:09.462 --> 00:27:11.362]  Jehovah is the devil.
[00:27:11.362 --> 00:27:14.363]  Lucifer is the Christ.
