[00:00.000 --> 00:02.000]  You
[07:50.080 --> 07:52.520]  It's it's it's it's the first truly
[07:54.680 --> 07:56.920]  Alzheimer's dementia ridden person
[07:56.920 --> 08:00.360]  In control the nuclear codes who had the election stolen
[08:01.680 --> 08:07.920]  For him and put into power then you've got the invasion at the south Texas border that's now stretched out over 200 miles
[08:08.960 --> 08:11.960]  Confirming again Fox News the DPS the state police
[08:12.480 --> 08:16.200]  The governor's office put out a report that yes, there's thousands and thousands of more Asians
[08:16.960 --> 08:19.640]  Five plus hours by car an hour by air
[08:20.520 --> 08:22.880]  200 plus miles away as the crow flies
[08:22.880 --> 08:27.600]  Coming across or are now building up on the reanosis side of McAllen, Texas
[08:28.480 --> 08:30.760]  This is just a complete collapse of the country and now it's confirmed
[08:31.760 --> 08:37.680]  That biden is basically taking the unaccompanied males the men with women the people with children
[08:37.680 --> 08:43.680]  They're all being flown different parts of the country broken up on the buses and turned into the Democratic Party
[08:43.680 --> 08:48.040]  That'd be a permanent underclass that they're gonna fly a few flights out for PR purposes
[08:48.040 --> 08:54.200]  But they told these people to come here just like biden said in March before the election a year and a half ago or now more
[08:55.120 --> 08:58.880]  He said if I win the election or when I get in immediately surge the border
[08:58.880 --> 09:03.800]  Well, he said 12 days ago for all the started. Hey, we're gonna let the Haitians stay
[09:04.360 --> 09:09.960]  And they stopped deportations of Haitians that are already gotten here. So they call their families and they said
[09:10.440 --> 09:14.920]  Now is the time to come into the country now is the time
[09:14.920 --> 09:18.400]  Vamanos underlay underlay underlay so that's Spanish
[09:18.400 --> 09:22.960]  I don't know how you say hurry up get here in in in French or in Creole
[09:23.680 --> 09:25.680]  But but there you go
[09:27.280 --> 09:29.920]  Ladies and gentlemen, and I don't blame these people want to come here
[09:29.920 --> 09:35.400]  The issue is they're gonna come here and be brainwashed for a Democratic Party operatives and the globalists have stolen the aid
[09:35.400 --> 09:41.040]  Help shut down a rob Haiti and all these other countries. Then they bring these people here to be another client group that they control
[09:41.400 --> 09:43.400]  So that's all coming up today
[09:43.400 --> 09:45.400]  I
[09:45.760 --> 09:50.320]  Want next segment to try to judiciously as best I can because they hope all this comes out
[09:51.520 --> 09:54.400]  They try to suppress all this and buy people off and control them
[09:54.400 --> 10:01.120]  But regulators in the EU regulators in India regulators even in Australia regulators in Russia
[10:02.240 --> 10:09.560]  Regulators in the UK regulators in Canada regulators in the United States have all come out and and the more come out the more courage there is
[10:09.560 --> 10:15.960]  And said look we yellow carded this so-called vaccine three months ago and said it should be pulled and we got ignored
[10:16.600 --> 10:22.280]  That's just the vaccine period the main advisory group for 20 years and as advised the UK government that's in the statute
[10:22.280 --> 10:24.760]  They're supposed to follow they're like, oh, we're not gonna follow them now
[10:24.760 --> 10:29.600]  And then the two head scientist quit at the FDA and then now they voted in two different boards
[10:29.600 --> 10:34.480]  When the highest board 16 to 2 the vaccines not working and this is endangering all vaccines
[10:34.480 --> 10:40.360]  The public's gonna never trust them again and children shouldn't take it and under and and and old people shouldn't take boosters
[10:40.360 --> 10:46.360]  And Israel says the boosters don't help you they give 48 hours of coverage that doesn't even mean anything so
[10:47.520 --> 10:51.400]  This is insane. This is crazy. But again, they did it on purpose and in their own
[10:53.480 --> 10:59.480]  Spars 2023 2025 document that we covered now six eight months ago. I forget how long ago
[10:59.480 --> 11:05.160]  We guys look up the spars report. That's like four million views on Bandai video. We'll put it on screen to give the actual date
[11:05.280 --> 11:09.920]  Five six months ago. I don't remember. I know general Flynn had a big gill about it said that reports dead on
[11:10.080 --> 11:14.000]  It's a war game and in the war game one year into vaccines
[11:14.080 --> 11:20.200]  It comes out they're killing everybody and causing heart attacks and neurological disorders and then all the regulators get in trouble
[11:20.360 --> 11:26.280]  But not big pharma and not Bill Gates. They even had that war game doubt that it's gonna cause heart attacks strokes
[11:26.280 --> 11:32.320]  That it'll then destroy confidence in the government and then you get into deeper parts of that document and others
[11:32.320 --> 11:39.120]  Then it means we overthrow the government. We that's the snow. It's globalist did this through the government who want to cause a civil war
[11:39.120 --> 11:45.080]  We want Gates. We want Fauci. We want Peter Dazik. We want the chai comms
[11:45.160 --> 11:49.720]  We want the UN the UN and the globalists did this through our government
[11:50.000 --> 11:55.200]  So then we lose total faith in it and everything collapses and I'm not saying have blind faith in the government
[11:55.200 --> 11:59.040]  But they're dissolving our republic framing it for the crimes. They've committed
[11:59.360 --> 12:05.440]  That they make our border patrol and National Guard go bring across millions. It's not two million this year
[12:05.840 --> 12:13.960]  Restimating eight to ten million by October 31st. That's the end of fiscal year 2021. That's directly in a hotel room with a senior
[12:15.400 --> 12:22.200]  Whistleblower from the border patrol. You have the head of the board full union saying everything I say they're ordered to complete the smuggling process
[12:22.200 --> 12:29.800]  They should just walk off because they're they're making it all orderly this giant invasion and then they complete the illegal activity
[12:30.280 --> 12:32.280]  And and so that's the case and
[12:33.040 --> 12:39.880]  They also have NGOs controlling it. So Owen, we're gonna cover a lot here today. We're gonna go over the incredible news lands it
[12:40.600 --> 12:42.960]  The publication not just a lands it study
[12:43.480 --> 12:46.200]  Lands it most respected group out their hands down
[12:46.200 --> 12:52.320]  New England medical journal John Hopkins. They're respected. That's because they want to quarterback the attack not all the scientists there
[12:52.320 --> 12:58.880]  But they're actually John Hopkins working group is what is under Gates command and swabs command on record with all these different war game drills
[12:58.880 --> 13:04.280]  They do the Rockefeller Foundation actually controlling it from on high, but then it's it's it's like
[13:06.000 --> 13:10.880]  Then managed by the Gates Foundation John Hopkins and the chai comms and the media below that
[13:11.840 --> 13:13.840]  They've don't come out and said look
[13:13.840 --> 13:15.840]  Fauci created the weapon
[13:16.440 --> 13:17.680]  Fauci did it
[13:17.680 --> 13:22.160]  Fauci's a total criminal and then Fauci fed fake medical journals info
[13:23.200 --> 13:27.160]  Into the main journals and lied and the whole house of cards is coming down
[13:27.160 --> 13:30.680]  So and if folks, you know, I don't give you positive news to give you fake positive news
[13:30.680 --> 13:32.200]  I give you the whole
[13:32.200 --> 13:38.680]  Hard scary facts because I believe in you and I believe that regulators and others that have been sheep dipped and brainwashed and
[13:38.680 --> 13:44.840]  Conditioned and gas lit to go along with this and suddenly find themselves inside this depopulation op
[13:44.960 --> 13:47.920]  Need to really see others on the outside say what it really is
[13:48.080 --> 13:52.880]  That's what we've done with all these doctors and scientists and medical reports and studies. And so now they really
[13:53.240 --> 13:58.520]  Know what they've done and a lot of them are now going to defect back to the reality and back to their own future and their own families
[13:58.520 --> 14:05.200]  Because they figure out this is a dystopia. They're building and so oh and this is a really big moment to watch the wheels go off worldwide
[14:05.200 --> 14:11.280]  Now they're moving forward with indictments against the regulators in India that try to block ivermectin from the public
[14:11.280 --> 14:13.280]  I've now cured everybody with ivermectin
[14:13.320 --> 14:20.600]  More in Australia. They've been caught secretly giving patients ivermectin because hospitals are doing a good job and not following the government's orders to murder people
[14:20.600 --> 14:24.160]  I mean, this is all this an exercise of pure power Owen and the wheels have come off
[14:25.520 --> 14:32.120]  Yeah, and now we have more evidence that the vaccines are neither safe or effective if
[14:32.840 --> 14:34.840]  Oscar de la Jolla and
[14:34.840 --> 14:38.240]  The contrast to joe rogan wasn't the perfect example
[14:38.240 --> 14:41.360]  We now have a gold medal olympic swimmer
[14:41.600 --> 14:47.020]  Anybody knows swimmers or maybe some of the most conditioned athletes on earth except for maybe boxers that would have been
[14:47.520 --> 14:53.000]  De La Hoya as the example who was fully vaccinated and now is in the hospital with
[14:53.440 --> 14:54.680]  COVID
[14:54.680 --> 15:03.280]  Alex I also have as you're kind of on the ground right now in DC on the ground digging deeply into the border story on the ground
[15:03.280 --> 15:09.120]  Digging deeply into what I guess the feds were trying to set up yesterday for the justice for J6
[15:09.120 --> 15:14.320]  Or they just were there and all such numbers that the one arrest happens to be a fed with a gun
[15:14.880 --> 15:18.240]  But there's so many other things developing here Alex. I
[15:18.760 --> 15:23.040]  Know it's yesterday's news, but I mean Hillary Clinton has been caught red-handed
[15:23.760 --> 15:26.560]  working with top executives and lawyers
[15:27.200 --> 15:30.240]  Framing Donald Trump so that she could spy on him now
[15:30.240 --> 15:33.800]  It's all out there, but but the media that lied about that's not gonna get caught
[15:34.440 --> 15:39.600]  We've got more border news Alex. We've got more news on the election front coming as well
[15:39.600 --> 15:46.600]  I mean, I can't even give you a surface-level view of this waterfront Alex without like ten minutes because so much is developing right now
[15:47.880 --> 15:51.040]  Well, you're absolutely right and so their whole narrative is falling apart
[15:51.040 --> 15:54.440]  But they still control the justice department so are able to carry out all this crimes
[15:54.440 --> 15:58.480]  We're in this paradox where they're in power when everybody sees what monsters they are. We'll be right back
[15:58.480 --> 16:03.440]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity
[16:03.960 --> 16:12.160]  This will be the most important message. You'll hear this year. Here's why we now have a small number of solar generators back in stock
[16:12.400 --> 16:19.120]  These emergency backup systems provide a life-saving backup power when you need it most and unlike gas generators
[16:19.160 --> 16:26.360]  solar generators run quietly emit no dangerous fumes and produce an endless supply of free electricity from the Sun
[16:26.360 --> 16:31.280]  Whether it's wildfires dangerous weather power grid issues or just getting off the grid
[16:31.280 --> 16:34.920]  You'll never have to suffer through painful power outages again
[16:35.320 --> 16:44.440]  Even better all this week radio listeners get over $700 in free off-the-grid bonuses to go to my solar backup comm to learn more and check
[16:44.680 --> 16:49.440]  Availability, that's my solar backup comm look for the free report crisis cooling
[16:49.440 --> 16:55.440]  How to make absolutely sure your meat milk and medicines stay safe and cool in any power outage
[16:55.440 --> 16:58.280]  Yours free at my solar backup comm
[16:58.480 --> 17:03.800]  Hey everybody, if you've ever thought about heirloom beans as a storable survival food
[17:03.800 --> 17:08.360]  I've got great news. In fact, I'll bet it's the best news you've heard in a while. Here's the thing
[17:08.360 --> 17:13.840]  We've just received a fresh batch of gourmet heirloom beans survival soup beans
[17:13.920 --> 17:19.000]  These beans are gorgeous highly nutritious and above all with no hesitation whatsoever
[17:19.000 --> 17:26.800]  The best tasting beans in the entire world the best part we've dropped the price by 33% this week for listeners
[17:26.800 --> 17:31.000]  Who know higher food prices are coming and want an inflation hedge
[17:31.000 --> 17:37.200]  You can actually eat if you want to gets even better with your permission and with a high regard for your health and well-being
[17:37.200 --> 17:45.040]  I also want to send you two pounds of what we think is the single most underrated superfood in the world period
[17:45.040 --> 17:51.000]  Go to soup bean survival comm that soup bean survival comm and discover the real reason
[17:51.000 --> 17:57.440]  We're giving this unusual superfood away at soup bean survival comm that soup bean survival comm
[18:00.920 --> 18:05.920]  Globalist general Milley has revealed to the world that the United States
[18:06.280 --> 18:09.720]  It's not a free republic, but it's run by a permanent state by a network
[18:09.720 --> 18:16.080]  Birocracy the big takeaway here is is that he didn't act alone. He felt that he was safe to talk
[18:16.480 --> 18:23.080]  On an overseas phone line system that he knew was being watched by not just our government with the five eyes the Russians
[18:23.080 --> 18:27.360]  And the Chinese he wanted the world to know that he was proud of what he was doing
[18:27.600 --> 18:34.560]  Because he was backed by the deep state this permanent bureaucracy sees America as its enemy it sees the American people as his enemy
[18:34.560 --> 18:42.440]  It sees prosperity as its entity and it conspired with the Communist Chinese to threaten them basically and say Trump may nuke you
[18:42.640 --> 18:47.000]  But if he tries we'll call and say we're attacking you so you can respond first
[18:47.120 --> 18:53.040]  That's beyond treason, but it shows the type of anti-american sycophants living in their own fetid bubble
[18:53.040 --> 18:58.160]  They try to get away with this Milley and all of his accomplices to go to prison now for life
[18:58.160 --> 19:05.320]  What was the most important point in Joe Biden's declaration of war against America on Thursday, September 9th, 2021
[19:06.760 --> 19:11.720]  wasn't the announcement of forced inoculations of 80 to 100 million Americans wasn't the announcement of
[19:12.560 --> 19:18.280]  federalization of all the major cities the bypassing of state governors the threat to basically remove them
[19:19.560 --> 19:21.560]  No, it wasn't that was all bad enough
[19:22.480 --> 19:24.560]  It's the fact that he's following a UN
[19:24.560 --> 19:32.520]  Globalist Great Reset blueprint that Australia the UK Europe and the rest of Western world is and that this is just the beginning
[19:33.320 --> 19:35.320]  more lockdowns
[19:35.360 --> 19:37.880]  National medical IDs approved by the United Nations
[19:38.520 --> 19:44.200]  Carbon taxes that don't just track and trace you a tax you but actually tell you when you could go somewhere and what you could do
[19:44.200 --> 19:49.840]  It's all been announced at the UN level. This is a UN world government takeover
[19:49.840 --> 19:56.040]  Corporate revolution through global governments. It's illegal and Congress must stand up and stop it now
[19:56.040 --> 20:17.440]  You're listening to the Alex Jones show
[20:17.440 --> 20:25.880]  Ladies and gentlemen again, we are back live on this live Monday edition. I'm Alex Jones in DC
[20:25.880 --> 20:30.800]  I want Shroyer is in the ATX in Austin, Texas, and I want to just talk now
[20:31.560 --> 20:37.280]  About how big this is and just thank God for this because their entire globalist agenda
[20:39.000 --> 20:44.320]  Is about creating fear releasing a virus releasing other nanotech
[20:44.320 --> 20:51.760]  Simulant protein crystals that do grow and replicate yourselves like viruses. That's what they've made and
[20:52.680 --> 20:56.240]  To then basically target certain populations to scare them into submission
[20:56.640 --> 21:03.040]  And also make trillions of dollars while they kill you and intubate you to then further corrupt the medical system and take over
[21:03.240 --> 21:06.600]  They admit an operation lockstep. That's their plan. So we know the plan
[21:06.600 --> 21:10.720]  And so all we have to do is become aware of the plan admit to ourselves
[21:10.720 --> 21:17.720]  How horrible and evil the globalist are because that's a big thing to get over for most people and I understand but medical doctors and
[21:17.920 --> 21:19.920]  scientists and nurses and
[21:19.920 --> 21:21.920]  very prestigious people
[21:22.120 --> 21:26.040]  Across the board have gone public and I've talked off record to a
[21:26.800 --> 21:32.080]  Major head of a major biotech company that actually gets approval and creates real products
[21:33.520 --> 21:38.000]  And they told me eight months ago. Hey, I know this is bad. Don't take the vaccine. It's a gene therapy
[21:38.000 --> 21:40.680]  It's gonna hurt people Bill Gates and fouts. You're crazy
[21:41.480 --> 21:45.040]  It's all about power for them. My god watch. It's gonna blow up in their face and
[21:45.520 --> 21:49.520]  I'm like you got to say something you got to go public. Oh, no, you got a promise not to say my name
[21:49.800 --> 21:54.880]  You can tell people a big guy in biotech told you that because you know, I'm just not gonna fight these guys
[21:54.880 --> 21:59.320]  They'll crush you even me but watch they've bitten off more than they can chew and
[22:00.360 --> 22:04.560]  Here we are eight months later and and we're eight nine months into these injections here
[22:04.560 --> 22:07.920]  We're a year in the UK and it's hell on earth. So
[22:09.080 --> 22:11.200]  What I'm saying is as negative as it is
[22:11.920 --> 22:13.920]  Fauci was on TV Saturday and Sunday
[22:14.600 --> 22:18.960]  Going you can pull the clips up. They were on info wars.com a lot of you probably saw it going
[22:18.960 --> 22:23.760]  Oh, well, I think it's okay. The FDA is having a debate about science and boosters will see
[22:24.280 --> 22:29.240]  But then the head of the NIH comes out and says no, we're gonna do it same thing Boris Johnson says we're doing booster shots
[22:29.240 --> 22:31.880]  We don't care if their regulatory group said no
[22:32.400 --> 22:33.640]  so
[22:33.640 --> 22:38.600]  They've always covered up tainted vaccines and vaccines that have had things added to them and they've done
[22:39.080 --> 22:44.960]  Experiments through them, but those were old-fashioned vaccines that in many cases would protect you from measles mumps rebella
[22:45.160 --> 22:51.060]  They just might give a certain percentage of boys autism and some were contaminated with lung cancer viruses
[22:52.720 --> 22:55.720]  That's a fact the main mmr for 40 years has been
[22:56.360 --> 22:58.720]  Detaminated because they grow it on tissues that have that at them
[22:58.720 --> 23:04.680]  That's why peanut allergies didn't exist till 40 years ago, then they grew these people complained about fetal tissue
[23:05.120 --> 23:12.840]  They started growing it on peanut protein, and it worked real good except a certain percentage people given vaccines grown on peanut protein
[23:13.320 --> 23:18.160]  Would have would basically be violently allergic to it. Let's see. There's all those issues
[23:18.880 --> 23:24.540]  So they go, oh forget growing stuff on tissue forget doing all that. We'll just take the genome of
[23:24.540 --> 23:31.300]  A human being and just mix it in with mr. And a and then we'll just program the cells ourselves and then of course
[23:31.300 --> 23:37.500]  They're like but for 20 years you tried to get that approved in it certain percentage people take mr. And a kills them
[23:38.220 --> 23:44.940]  I mean folks I can play you congressional hearings. I have of the head scientist at Baylor who's pro vaccine
[23:45.660 --> 23:49.860]  But the dean of their biology department saying no one's ever succeeded at
[23:49.860 --> 23:57.380]  At a mRNA or no one's ever succeeded at a vaccine period for a coronavirus, but Bill Gates is trying again
[23:58.180 --> 24:00.340]  And he goes on to say and I think it's a great idea
[24:01.700 --> 24:03.700]  mad scientists folks
[24:04.860 --> 24:09.700]  Skip animal trials go directly to humans have no surveillance and then just hope you cover it up
[24:10.100 --> 24:13.980]  Hope you just say oh well you're censored on Facebook. You're censored on Twitter
[24:13.980 --> 24:21.620]  Oh, you can't talk about your son. It was in good shape and went to go play basketball inside with a heart attack was no heart defects
[24:22.140 --> 24:24.140]  five days after Moderna and
[24:24.460 --> 24:28.620]  The list goes on and on and now they admit. Oh, it's not as rare as we thought
[24:29.540 --> 24:34.100]  Your heart swelling or flat-out heart attacks. Oh, and then last October for even rolled it out
[24:34.220 --> 24:39.620]  Here's what we believe the side effects will be our scientists tell us their scientists aren't
[24:39.620 --> 24:45.180]  Stupid at the NIH and the CDC and the FDA that's above them or the British
[24:45.780 --> 24:49.980]  Medical system and they told them don't do it and then they did it
[24:50.340 --> 24:56.420]  But no and I like it this all the time to deep water horizon, which I watched some of the trawling line
[24:56.420 --> 24:58.420]  I read the transcript. I covered it heavily
[24:58.420 --> 25:02.660]  Back when the BP oil spill happened and that was because they were drilling the deepest
[25:02.660 --> 25:07.100]  well ever recorded at that time now they go even deeper yelling something like 30,000 feet and
[25:07.100 --> 25:13.620]  They told the engineers from England to Houston to the Gulf of Mexico
[25:14.140 --> 25:18.260]  They're the transcripts of this and they told them we don't want to use concrete in the hole
[25:18.740 --> 25:23.180]  You know as you fill it to keep pressure above the drill bit and the casings going down
[25:23.500 --> 25:31.180]  We believe you can just pump salt water in there and the pressure will hold the natural gas the oil in and they said
[25:31.180 --> 25:37.380]  Yeah, if you don't hit natural gas and oil, that'll be fine if we hit natural gas and oil even small patches
[25:37.380 --> 25:39.380]  It's gonna blow the rig up
[25:40.140 --> 25:42.940]  and they gamble these are gamblers and
[25:43.900 --> 25:47.140]  It blew up because they hit a gigantic gas well
[25:47.740 --> 25:58.820]  Okay, now they were so the media is now in the lands it and all the places going you rolled the dice and it really hurt people and we need to yell a card this vaccine
[25:58.820 --> 26:03.940]  That's the UK main advisory group the group under law. They're supposed to listen to it came out three months ago
[26:04.980 --> 26:09.940]  Now imagine they didn't roll the dice folks. They wanted to kill nationalism
[26:09.940 --> 26:16.020]  They wanted to push the you and they want a world ID. They want to divide and conquer the country's more to stop populism
[26:16.740 --> 26:21.940]  And they believe with big tech and corporate media and the rest of it. They could release a bio weapon
[26:22.860 --> 26:26.020]  and then release even more dangerous variants later and
[26:26.020 --> 26:30.100]  Scare everybody into accepting it and going along with the idea that a bunch of people died
[26:30.100 --> 26:34.980]  That's what the Gulf War syndrome was was the anthrax shots killed 40,000 US troops. We now know
[26:35.900 --> 26:41.820]  All the other militaries took it as well. They all got comparable per capita percentage of their troops that got sick and or die
[26:42.340 --> 26:49.420]  Something like 6% ended up dying within a couple years or quicker over 20% ended up getting sick French didn't take it
[26:49.420 --> 26:56.340]  They didn't get sick. We know all this their congressional hearings. Okay, so
[26:56.900 --> 27:00.100]  We already have tens of millions of boys that are autistic in the US alone
[27:00.100 --> 27:03.220]  It's all over the world and the more vaccinated the more it happens
[27:03.220 --> 27:08.220]  So they knew and we're testing but it has blown up in their face at their own regulators
[27:08.740 --> 27:13.700]  People that are paid off obviously corrupt most of the time have gone. Whoa. I'm coming to Jesus
[27:13.700 --> 27:19.840]  You're gonna give it all the little kids when we know it's causing them up to 16 times
[27:20.220 --> 27:23.660]  14 times 6 times in the studies have giant heart attacks
[27:23.660 --> 27:28.500]  We're gonna have hundreds of thousands of little boys with heart attacks little boys are amped up more than girls
[27:28.500 --> 27:30.500]  But little girls are dying too
[27:31.340 --> 27:34.140]  Again the healthier you are the more stuff like this kills
[27:34.140 --> 27:36.300]  You've already had problems and stuff that might not kill you
[27:36.300 --> 27:40.020]  But if you're an athlete or something and you go and you take something like this
[27:40.020 --> 27:43.980]  You're already tuned up. They're gonna kill you or you're you're gonna wish you were dead
[27:43.980 --> 27:48.140]  They say this heart swollen start swollen over a few hours and for a few days keep swelling
[27:48.140 --> 27:50.060]  They say it's like having a heart attack for three days
[27:50.540 --> 27:54.060]  So a lot of folks you have a big giant heart attack die right then that's a blessing
[27:54.060 --> 27:58.820]  But you're young and healthy and got a good heart and your heart swells up and the blood can't go through it for days
