[00:00:13.977 --> 00:00:18.842]  Defending the Republic from enemies foreign and domestic.
[00:02:39.941 --> 00:02:46.004]  But it's like you get the bad news, you know, that your dad dies of a heart attack and you go see his dead body.
[00:02:46.004 --> 00:02:51.746]  I mean, or you get the terrible news that your uncle or your son rolled their car, God forbid, and then they're dead.
[00:02:51.746 --> 00:02:53.607]  I mean, that's what this is, folks.
[00:02:53.607 --> 00:02:57.049]  OK, so bad things happen and denying
[00:02:58.453 --> 00:03:00.414]  Bad things only make some worse, but here's the good thing.
[00:03:00.414 --> 00:03:01.975]  This isn't dad dead from a heart attack.
[00:03:01.975 --> 00:03:12.079]  This isn't your son dead, or your daughter, God forbid, rolling a car, or a drunk driver hitting him like happened to George Strait's 13-year-old daughter when she was out riding with friends.
[00:03:12.079 --> 00:03:17.481]  George Strait couldn't do anything about that when he got the call that his daughter was dead south of Austin.
[00:03:17.481 --> 00:03:18.782]  She used that as a real-world analogy.
[00:03:19.574 --> 00:03:26.600]  But we can do something because they're in the middle of this attempted coup, and they're in the middle of this attempted takeover of the United States.
[00:03:26.600 --> 00:03:30.124]  And so that's why we have to get active and get aggressive and get in their face.
[00:03:30.124 --> 00:03:33.226]  Because yes, it sounds radical to admit this is all going on.
[00:03:33.226 --> 00:03:35.348]  Yes, you're going to get demonized by the deep state.
[00:03:35.348 --> 00:03:38.892]  Yes, they've been freaking out and having congressional hearings saying, get Infowars off the air.
[00:03:39.492 --> 00:03:48.922]  Because we did our homework with my research, with your research, with David Nye's research, with the crew's research, with the top guests we've had on, and our deep research analysis.
[00:03:48.922 --> 00:03:54.308]  We were pegging them 100% what was happening in their secret meetings.
[00:03:54.308 --> 00:04:01.295]  All the documents match exactly what I said was going on because I've studied history and how they've done this before and how they've done it in other nations.
[00:04:01.295 --> 00:04:01.956]  So here's the good news.
[00:04:03.047 --> 00:04:04.848]  The car hadn't rolled yet.
[00:04:04.848 --> 00:04:06.889]  Daddy didn't have the heart attack yet.
[00:04:06.889 --> 00:04:09.029]  Your daughter didn't get hit and killed by the drunk driver yet.
[00:04:09.029 --> 00:04:18.413]  Folks, we can save the country and stop this tragedy, but we've got to get serious, and not just get conditioned by this evil, where we just accept this is what they're doing.
[00:04:18.413 --> 00:04:23.495]  We have to fully expose it, and thanks to the grace of God, the audience helped build InfoWars.
[00:04:23.495 --> 00:04:29.958]  And so we have a jump point still, under massive attack, to put out the critical talking points that can sink the NWO.
[00:04:32.654 --> 00:04:38.739]  Now, when we come back, ladies and gentlemen, we're going to get into the fact that the Russian collusion has been on the Democrats the whole time.
[00:04:38.739 --> 00:04:44.843]  But not only that, now they're announcing that they decided we're going to remove the president.
[00:04:44.843 --> 00:04:46.384]  We decide we're going to remove the president.
[00:04:46.384 --> 00:04:47.145]  We're the FBI.
[00:04:47.145 --> 00:04:47.925]  We're the CIA.
[00:04:47.925 --> 00:04:49.566]  Chuck Schumer admitted it.
[00:04:49.566 --> 00:04:51.888]  They had guys go on CNN say the government's going to kill this guy.
[00:04:51.888 --> 00:04:56.792]  I mean, folks, we're talking about a deep state secret government trying to kill the president.
[00:04:56.792 --> 00:04:58.073]  You understand what's going on here?
[00:05:00.973 --> 00:05:08.440]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Lite has the formula for you.
[00:05:08.440 --> 00:05:17.708]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:05:17.708 --> 00:05:26.776]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:05:27.711 --> 00:05:39.158]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:05:39.158 --> 00:05:48.244]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:05:48.724 --> 00:05:51.445]  Paired with our Ultimate Fish Oil or used separately.
[00:05:51.445 --> 00:05:55.127]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[00:05:55.127 --> 00:06:06.952]  Now available at InfoWarsStore.com.
[00:06:06.952 --> 00:06:14.315]  From the front lines of the Information War, it's Alex Jones.
[00:06:14.315 --> 00:06:17.797]  In the next two hours of the Alex Jones Show, we're going to break down
[00:06:20.106 --> 00:06:30.593]  A corrupt FBI colluding with CIA, Democrat, Russian agents, all the above, attempting a coup against the President of the United States.
[00:06:30.593 --> 00:06:41.900]  We're going to get into a media hoax, much like Covington Catholic, about an attack on Jesse Smollett that now appears to be 100% staged.
[00:06:43.660 --> 00:06:52.463]  We're going to talk about Democrats now saying they want to confiscate guns in response to Trump declaring a national emergency at the southern border where there is no debate.
[00:06:52.463 --> 00:06:54.824]  That is a national emergency.
[00:06:54.824 --> 00:07:04.088]  And then we're going to have a bombshell report at the top of the next hour, the national emergency Trump declared a year ago that nobody is even talking about.
[00:07:04.088 --> 00:07:09.470]  Now, Alex Jones is with me here for the first couple segments, at least to help break all of this down.
[00:07:09.470 --> 00:07:11.091]  But Alex, it's honestly tough.
[00:07:12.165 --> 00:07:21.890]  To even put into words the magnitude of all these things and the fact that they're all happening in the same flashpoint.
[00:07:21.890 --> 00:07:22.470]  Absolutely.
[00:07:22.470 --> 00:07:28.053]  Let me just boil this down for how serious this is, so everybody understands.
[00:07:28.053 --> 00:07:36.757]  I got a call approximately 19 months ago from a Secret Service in Washington, D.C.
[00:07:40.186 --> 00:07:55.818]  Much of it was an off-the-record conversation, but, and of course I agreed for it to be an off-the-record conversation, but I did say that at a certain point, if I felt that it was needed, I would tell the public about it.
[00:07:55.818 --> 00:08:00.201]  I also got some other visits, and I'm just going to leave it at that.
[00:08:00.201 --> 00:08:07.527]  These were very serious visits, because the Secret Service was actually asking me
[00:08:09.270 --> 00:08:16.192]  Who I thought the ringleaders were, and what they should do, and that they had obviously been told to call me by the President.
[00:08:16.192 --> 00:08:19.672]  I'll just leave it at that.
[00:08:19.672 --> 00:08:34.336]  And it was because we were the ones putting together all these different individuals from the Aspen Institute, and the Council on Foreign Relations, and on CNN, and the CIA, and the FBI, signaling the deep state was strong.
[00:08:35.612 --> 00:08:44.898]  Hoping that their stay-behind networks, their operatives, who were scared that they were going to go to prison for planning this coup, they were telling them, stay at your post.
[00:08:44.898 --> 00:08:46.298]  Everything's going to be okay.
[00:08:46.298 --> 00:08:47.839]  I've studied ancient war.
[00:08:47.839 --> 00:08:50.101]  I've studied World War I, World War II, Korea.
[00:08:50.101 --> 00:08:51.241]  I've studied covert action.
[00:08:51.241 --> 00:08:58.185]  I've studied how different agencies overthrow other governments, how they so fear in governments before they do the coup.
[00:08:58.185 --> 00:09:02.468]  So I was able off their own statements and able off this giant body of evidence
[00:09:03.943 --> 00:09:04.524]  I don't know.
[00:09:22.927 --> 00:09:23.668]  Who mail it in.
[00:09:23.668 --> 00:09:36.716]  I was watching everything they said, and they were giving key pieces here, key pieces there, that like a Lego set or a jigsaw puzzle I could put together once I had the pieces.
[00:09:36.716 --> 00:09:48.103]  So the reason Trump and the Secret Service found out that I was dead on was the Democrats actually opened a CIA espionage operation against me, thinking I must be getting foreign intel to know all this.
[00:09:48.103 --> 00:09:49.064]  No, I've done my homework.
[00:09:49.064 --> 00:09:50.384]  I'm a dedicated American.
[00:09:50.384 --> 00:09:51.145]  Not traitors like them.
[00:09:52.467 --> 00:09:57.410]  And so I just want the listeners to understand, that's why they banned me and said get me off the air.
[00:09:57.410 --> 00:10:06.915]  Because I have blown every one of their operations on air to the other intelligence agency arms that are doing other jobs and are traitors and I have forced a focus
[00:10:07.868 --> 00:10:09.148]  On China?
[00:10:09.148 --> 00:10:11.669]  I've forced a focus on the national emergency.
[00:10:11.669 --> 00:10:14.830]  I've forced a focus- and this isn't the time- I'm not trying to brag here, folks.
[00:10:14.830 --> 00:10:16.630]  This is why I'm in so much danger.
[00:10:16.630 --> 00:10:18.771]  My Infowars is in so much danger.
[00:10:18.771 --> 00:10:27.253]  Because imagine us as like a destroyer in World War II that's, you know, sunk more tonnage than half the other submarines put together.
[00:10:27.253 --> 00:10:30.954]  The enemy's got their planes, their ships out looking for us, okay?
[00:10:31.654 --> 00:10:34.636]  And that's all I'm telling you, folks, is that it's not about us bragging.
[00:10:34.636 --> 00:10:41.119]  It's about what we've done at Infowars is the blueprint to bring these people down because we're over the target.
[00:10:41.119 --> 00:10:44.660]  So listen very, very carefully, folks, because you are what powers Infowars.
[00:10:44.660 --> 00:10:45.521]  You're the energy.
[00:10:45.521 --> 00:10:46.541]  You're everything behind it.
[00:10:46.541 --> 00:10:47.301]  I'm not just saying that.
[00:10:47.301 --> 00:10:49.542]  You are the Infowar.
[00:10:49.542 --> 00:10:51.403]  We told you Trump should declare an emergency in October.
[00:10:51.403 --> 00:10:52.284]  We thought it was coming.
[00:10:52.284 --> 00:10:52.744]  It did come.
[00:10:53.590 --> 00:11:07.358]  We told you that the Democrats were already planning an emergency in the future, a national emergency, under civil unrest, to remove the President and to confiscate firearms, one declared by Congress and worth of the 25th Amendment.
[00:11:07.358 --> 00:11:09.439]  Over 50 articles, hundreds of times on air,
[00:11:11.047 --> 00:11:11.808]  Probably thousands.
[00:11:11.808 --> 00:11:12.488]  We let it all out.
[00:11:12.488 --> 00:11:17.073]  Now you've seen CNN, you've seen the Washington Post, you've seen them all see how great it is.
[00:11:17.073 --> 00:11:21.137]  Big Deal and McCabe wanted to have a coup and they did wear a wire and all this stuff.
[00:11:21.137 --> 00:11:23.319]  They didn't just talk about wearing a wire, folks.
[00:11:23.319 --> 00:11:27.422]  They've been recording everything inside there since he was president-elect.
[00:11:27.422 --> 00:11:29.845]  So, the deep state got caught.
[00:11:30.757 --> 00:11:32.598]  They've committed massive crimes.
[00:11:32.598 --> 00:11:46.945]  They tried to act confident on TV, saying that they were going to remove the president so that their stay-behind networks wouldn't be scared when they keep committing the crimes and carry out the coup against the president, which does also include plans to kill him, which is still on the table.
[00:11:46.945 --> 00:11:49.967]  So all of this is swirling around.
[00:11:49.967 --> 00:11:52.308]  All of this is unfolding.
[00:11:52.308 --> 00:11:56.310]  And people have to understand that we are in the absolute death battle.
[00:11:57.205 --> 00:12:22.819]  For the future of this country, and we'll play these clips in a moment, and now we've had Nancy Pelosi, Speaker of the House, and Nadler, they had two powerful committees, the committee on the judiciary, not the judiciary committee, the committee on the judiciary, that oversees the judiciary itself, and then you also have his other so-called civil rights committee that he uses to destroy the First Amendment, the Second Amendment, and everything else.
[00:12:22.819 --> 00:12:24.980]  So you've got this demon, this monster out of New York,
[00:12:26.357 --> 00:12:26.678]  I don't know.
[00:12:43.027 --> 00:12:57.502]  Dictatorship, beyond martial law, with the constitutional duty of our border in crisis, and the President can't get the funding he needs, he could have just done it as Commander-in-Chief and dealt with it, but instead he went the route of the 78 Law.
[00:12:57.502 --> 00:13:05.490]  And so just the fact that they're floating these ideas shows you that they're planning to greenlight this, perhaps, in the future.
[00:13:05.490 --> 00:13:06.011]  Anytime.
[00:13:06.855 --> 00:13:18.569]  Anytime you see something like this unfolding, anytime you see them saying something this massive out in the open, it means they're really thinking about green lighting and going forward with it.
[00:13:18.569 --> 00:13:23.855]  So first, here's a short clip of Pelosi last week, now joined by Nadler yesterday.
[00:13:25.254 --> 00:13:43.889]  Republicans have some unease about it, no matter what they say, because if the president can declare an emergency on something that he has created as an emergency, an illusion that he wants to convey, just think of what a president with different values can present to the American people.
[00:13:43.889 --> 00:13:45.750]  You want to talk about a national emergency?
[00:13:45.750 --> 00:13:48.232]  Let's talk about today, the one-year anniversary.
[00:13:49.293 --> 00:13:54.417]  of another manifestation of the epidemic of gun violence in America.
[00:13:54.417 --> 00:13:56.058]  That's a national emergency.
[00:13:56.058 --> 00:13:58.760]  Why don't you declare that emergency, Mr. President?
[00:13:58.760 --> 00:14:01.302]  I wish you would.
[00:14:01.302 --> 00:14:06.506]  Now, I cut through the haze a few days ago, and I said, ladies and gentlemen, the news is focusing on her having an emergency.
[00:14:06.506 --> 00:14:10.409]  It's about guns, and I guarantee you that means confiscation.
[00:14:10.409 --> 00:14:13.211]  Then Nadler came out a day later and confirmed that.
[00:14:13.211 --> 00:14:14.632]  Here is this un-American monster.
[00:14:15.829 --> 00:14:35.888]  Um, if the President can declare an emergency today on this nonce, on this, uh, the Democratic President can decide that the, as you mentioned, the gun cri- the, the 40,000 people a year killed in this country is a, is a crisis, and why don't we take everybody's guns away, or force everybody to register their guns, or ban all assault rifles, or do all of that.
[00:14:35.888 --> 00:14:36.989]  So, folks, there you go.
[00:14:36.989 --> 00:14:41.113]  We should probably play that clip every segment as we start today, so people understand.
[00:14:41.983 --> 00:14:45.788]  The New York Times, the Washington Post now have headlines, time to repeal the Second Amendment.
[00:14:45.788 --> 00:14:46.429]  It's on.
[00:14:46.429 --> 00:14:48.812]  They're saying, don't say mother and father.
[00:14:48.812 --> 00:14:50.914]  They are coming after everybody's speech.
[00:14:50.914 --> 00:14:52.516]  They're coming after our guns.
[00:14:52.516 --> 00:14:55.039]  They're coming after our property.
[00:14:55.039 --> 00:14:57.002]  This is about slavery.
[00:14:57.002 --> 00:14:59.325]  And America has a chance to say no, but we come back.
[00:15:00.211 --> 00:15:08.775]  The really big news, because Limbaugh points out this is a soft, not a soft coup, a silent coup, a very hardcore coup against the President.
[00:15:08.775 --> 00:15:20.361]  And I'm not mad at Limbaugh, but why has it taken him months after mainstream media admits that there was a coup plan, and the documents have come out, why is it only now when it's safe Limbaugh talks about it?
[00:15:20.361 --> 00:15:25.263]  Because conservatives are afraid of mainstream corporate media, and that's why they want to destroy us.
[00:15:25.803 --> 00:15:31.452]  The truth is, lots of other talk show hosts know what I know, but they're afraid to do it and hit the bar bar first.
[00:15:31.452 --> 00:15:40.585]  That's why the listeners, no matter what happens to Infowars, have to continue on with the fight and never give up, because we have the truth, we understand what's happening, and we can defeat the globalists.
[00:15:43.624 --> 00:15:53.609]  And if you really want to see how InfoWars is tomorrow's news today, next year's news today, just go watch what happened when President Donald Trump was elected and the first response at InfoWars.com.
[00:15:53.609 --> 00:15:57.251]  We told you all of this would happen the night Trump was elected.
[00:16:00.151 --> 00:16:07.856]  And InfoWars, we're always looking for the very best, best-selling, highest-rated products that we can then private label and sell.
[00:16:07.856 --> 00:16:21.205]  Well, there is a national company who has FDA approval to sell their wound gel that is the strongest out there, and we private label it, and we sell it for $10 less online than they sell it at CVS and Walgreens.
[00:16:21.205 --> 00:16:26.108]  We also have another product, also produced by the same company, Immune Gargle.
[00:16:26.108 --> 00:16:29.691]  We've been selling a lot of the wound gel and a lot of the Immune Gargle.
[00:16:30.271 --> 00:16:39.394]  We're gonna go from full price to 40% off on both of these best-selling products right now at InfoWarsLife.com and InfoWarsTore.com.
[00:16:39.394 --> 00:16:42.135]  This is a limited-time Immune Boost Special.
[00:16:42.135 --> 00:16:49.337]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsTore.com.
[00:16:49.337 --> 00:16:52.458]  Again, this is a limited-time Immune Boost Special.
[00:16:52.458 --> 00:16:58.760]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsTore.com.
[00:17:00.017 --> 00:17:01.958]  Patriots are on the go.
[00:17:01.958 --> 00:17:06.661]  Hard-working Americans need high-quality energy when they're on the run.
[00:17:06.661 --> 00:17:16.766]  And ladies and gentlemen, we have spent years working with top developers to come out with the highest quality protein bar in vanilla coconut and chocolate peanut butter at Infowarslife.com.
[00:17:16.766 --> 00:17:21.268]  This is a high-end bar sold for up to six, seven dollars at Whole Foods.
[00:17:21.268 --> 00:17:24.150]  Normally we sell it for three dollars a piece when you get it in the box.
[00:17:24.830 --> 00:17:28.553]  But with the discount we're running right now as an introductory offer, it's $2.40 a bar.
[00:17:28.553 --> 00:17:32.097]  No one can top that, and it funds Liberty and the fight against the Globalists.
[00:17:32.097 --> 00:17:35.360]  With 15 grams of protein and so much more, they're amazing.
[00:17:35.360 --> 00:17:44.989]  Secure your box of high-quality InfoWars Life protein bars today, and you will be impressed, and you will reorder them, and you will help fund the operation to break the Globalists back.
[00:17:44.989 --> 00:17:45.829]  It's up to you.
[00:17:45.829 --> 00:17:46.210]  It's easy.
[00:17:46.610 --> 00:17:47.271]  We're good to go.
[00:18:03.238 --> 00:18:12.624]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.624 --> 00:18:23.671]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:24.051 --> 00:18:29.956]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:18:29.956 --> 00:18:41.485]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.485 --> 00:18:49.671]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:18:49.671 --> 00:18:51.873]  It's time to take care of your morning routine.
[00:18:52.153 --> 00:19:00.835]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarStore.com.
[00:19:00.835 --> 00:19:09.236]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck, even take your dog for a walk.
[00:19:09.236 --> 00:19:10.676]  Believe me, I know.
[00:19:10.676 --> 00:19:14.977]  I spend hours in front of a screen and then hours in front of bright lights every day.
[00:19:14.977 --> 00:19:20.398]  But thanks to super male vitality at InfoWarStore.com, I still have that energy.
[00:19:20.618 --> 00:19:40.769]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[00:19:41.269 --> 00:19:45.052]  So go to InfoWarsTore.com and get Supermail Vitality before it's gone.
[00:19:45.052 --> 00:19:48.955]  This is actually our last run of Supermail Vitality.
[00:19:48.955 --> 00:19:53.958]  So I want you to experience Supermail Vitality before it's too late.
[00:19:53.958 --> 00:19:56.680]  Unleash the Supermail in you.
[00:19:56.680 --> 00:20:03.906]  Supermail Vitality from InfoWarsTore.com.
[00:20:03.906 --> 00:20:06.528]  You're listening to the Alex Jones Show.
[00:20:21.661 --> 00:20:30.305]  From the front lines of the Information War, it's Alex Jones.
[00:20:30.305 --> 00:20:47.874]  If the President can declare an emergency today on this, on this, the Democratic President can decide that, as you mentioned, the gun crisis, the 40,000 people a year killed in this country is a crisis, then why don't we take everybody's guns away, or force everybody to register their guns, or ban all assault rifles, or do all of that.
[00:20:50.304 --> 00:20:54.867]  So, that's Natalo of New York, a high-powered committee chairman, echoing what Pelosi said.
[00:20:54.867 --> 00:21:00.051]  They want to declare an emergency to override the Bill of Rights and Constitution to take your guns.
[00:21:00.051 --> 00:21:04.474]  By the way, most of the shootings in this country every year are people committing suicide.
[00:21:04.474 --> 00:21:09.137]  I'm not a pro-death guy, but you know, you got bone cancer, lung cancer, incredible pain.
[00:21:09.137 --> 00:21:16.222]  Most of the people I've known that were older men, military vets, people that had cancer, they didn't want to spend all their money that their family had had.
[00:21:16.222 --> 00:21:18.543]  They just went out on the back 40 and blew their head off.
[00:21:20.244 --> 00:21:24.246]  The point is, is that Mexico's had hundreds of thousands of dead in the last few years.
[00:21:24.246 --> 00:21:28.609]  Tens of thousands die on the border every year on the Mexico side.
[00:21:28.609 --> 00:21:30.730]  And Nadler was calling it nonsense.
[00:21:30.730 --> 00:21:33.111]  But here's the problem.
[00:21:33.111 --> 00:21:37.394]  I'm supposed to be on a four or five day vacation just to spend some time and try to decompress.
[00:21:37.394 --> 00:21:40.515]  I can't do it because I know what's really going on.
[00:21:40.515 --> 00:21:41.916]  I know how important history is.
[00:21:41.916 --> 00:21:43.337]  So when I laid all that out earlier,
[00:21:44.762 --> 00:21:47.544]  Again, I want to say this for the 50,000th time, it's just so critical.
[00:21:47.544 --> 00:21:50.146]  I'm not saying, oh look, we're right.
[00:21:50.146 --> 00:21:52.948]  Oh my gosh, we're usually the first to break stuff.
[00:21:52.948 --> 00:21:54.469]  Aren't we cool?
[00:21:54.469 --> 00:21:54.950]  It's not that.
[00:21:55.837 --> 00:22:15.579]  It's that they're trying to destroy us because we're that accurate and no one can deny it and it scares the hell out of the system because we have the answers and we've done the studying and Congress is listening and the military is listening and the police are listening, the vast majority of which are good people and they know about the deep state now and thank God we've been able to hang on
[00:22:16.998 --> 00:22:24.061]  Under the attacks that have been incredible, most of which people don't even know about the last few years, so we're still here thanks to you and your prayers, folks.
[00:22:24.061 --> 00:22:27.282]  Because now the deep state is in tatters.
[00:22:27.282 --> 00:22:30.223]  They've been caught committing massive crimes.
[00:22:30.223 --> 00:22:31.063]  All of it's come out.
[00:22:31.063 --> 00:22:34.085]  It's mainstream news they were planning martial law.
[00:22:34.085 --> 00:22:37.686]  Mainstream news they were planning a coup against the president outside of impeachment.
[00:22:38.863 --> 00:22:40.244]  Threatening everybody around him.
[00:22:40.244 --> 00:22:41.604]  Threatening his family.
[00:22:41.604 --> 00:22:44.085]  Death-threatening everybody that supports him at a high level.
[00:22:44.085 --> 00:22:45.306]  You think I'm the only one they're going after?
[00:22:45.306 --> 00:22:48.387]  Listen, but it's worth it for this country.
[00:22:48.387 --> 00:22:48.927]  It's worth it.
[00:22:48.927 --> 00:22:54.770]  Our veterans go and fight in foreign countries, get their arms and legs blown off, and usually it's for, you know, some globalist fraud.
[00:22:54.770 --> 00:23:07.375]  This is America, fighting godless Hollywood and the globalists backed up by the Chi-Coms that literally want to control our psyches and our souls, and literally want to destroy this once great Christian nation.
[00:23:07.975 --> 00:23:16.477]  But the good news is, their attempt at assault has caused a backlash and a major resurgence and awakening.
[00:23:16.477 --> 00:23:19.638]  America was on its deathbed, and I'm getting chills, folks.
[00:23:19.638 --> 00:23:21.619]  This is pure truth, everybody knows it.
[00:23:21.619 --> 00:23:25.099]  America was on its deathbed, and now it's fighting back from the dead.
[00:23:25.099 --> 00:23:34.722]  And we have just got to get supercharged in this fight and just absolutely spread the word and get out there on the ground demonstrating and get out on the ground at city council meetings.
[00:23:35.860 --> 00:23:54.469]  Get out on the ground at the Capitol and go talk to your congressmen and women and just get in their face and say we know what's going on because we're relaunching the American operating system of free market capitalism and Christianity and real freedom instead of this godless, anti-family, globalist, kill babies after they're born culture of death.
[00:23:54.469 --> 00:23:57.211]  God is giving us a decision right now.
[00:23:58.237 --> 00:23:59.697]  And I think Owen actually predicted it.
[00:23:59.697 --> 00:24:20.602]  You know, my wife, God love her, puts up with all the work I do, but she's not told I'll be done in 20 minutes, but I'll probably need to do another segment because I can be very calm in person, but once I sit here for hours getting ready for this, writing all these notes and start thinking about how serious this is, it literally puts this, this, this, well, it's the term they, you know, use at the church that's absolutely accurate.
[00:24:20.602 --> 00:24:21.983]  It puts it on my heart.
[00:24:21.983 --> 00:24:22.743]  It convicts me.
[00:24:23.583 --> 00:24:25.225]  It convicts me.
[00:24:25.225 --> 00:24:29.548]  I just get ready for war, for fighting.
[00:24:29.548 --> 00:24:32.010]  And my brain speeds up and I can see all of it.
[00:24:32.010 --> 00:24:33.391]  And folks, pray for discernment.
[00:24:33.391 --> 00:24:34.552]  You'll have a discernment.
[00:24:34.552 --> 00:24:37.254]  But our audience already has better discernment than I do.
[00:24:37.254 --> 00:24:38.055]  We take the calls.
[00:24:39.227 --> 00:24:41.808]  People hear that, they understand how many great people we've got.
[00:24:41.808 --> 00:24:55.875]  And no matter what happens to InfoWars, folks, because I think we can hang on a lot longer, but no matter what happens to InfoWars, I just want you to know you are the brain trust, whether you're old, young, black, white, Hispanic, whether you're from Mexico, whether you're from Germany, whether you're from Japan, whether you're from South Africa.
[00:24:56.375 --> 00:25:02.642]  If you love liberty and care about children and hate this globalist system, then you are awesome and you're part of the solution.
[00:25:02.642 --> 00:25:10.891]  If you know the 5G's evil, if you know the Mark of the Beast is real, if it's on your heart that evil is spreading and you need to fight it, then we're brothers and sisters forever.
[00:25:10.891 --> 00:25:13.434]  So next segment, I'm going to get focused and calm.
[00:25:15.948 --> 00:25:24.990]  They get into really the biggest news of them all, how they're planning a race war in this country and how it's blowing up in their face by the grace of God.
[00:25:24.990 --> 00:25:30.331]  But finishing up with Rush Limbaugh here, I'm not taking Limbaugh out of the woods yet.
[00:25:30.331 --> 00:25:41.353]  But, in fact, he's even made the point that when everybody sat there and ran from Congressman King, who's a great guy who did nothing wrong with the misquote in the New York Times,
[00:25:42.225 --> 00:25:47.868]  That that's why this country is falling apart is the intimidation of the corporate media, which is toothless.
[00:25:47.868 --> 00:25:51.170]  But if something's toothless, it can still scare you and run you off a cliff.
