[00:00:05.111 --> 00:00:06.632]  Ladies and gentlemen,
[00:04:20.034 --> 00:04:29.437]  I remember when I was 12, 13, 14, you know, I believed all the stories with the other kids claiming they had all these girlfriends, and I believed everybody's stories about how tough they were.
[00:04:29.437 --> 00:04:32.058]  And so I wanted to become that.
[00:04:32.058 --> 00:04:35.759]  And that's just a normal male activity.
[00:04:35.759 --> 00:04:41.541]  But now they say if you're a really cool male, you get all into death and you go and shoot a bunch of people.
[00:04:41.541 --> 00:04:46.182]  There's all this weird art now where good-looking women do mean things to animals.
[00:04:46.182 --> 00:04:47.563]  Very sick.
[00:04:49.833 --> 00:04:53.683]  But, my gut tells me this is a black off and I'm gonna break that down.
[00:04:53.683 --> 00:04:55.828]  Coming up, big broadcast today.
[00:04:55.828 --> 00:04:56.309]  Stay with us.
[00:05:00.401 --> 00:05:04.964]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:05:04.964 --> 00:05:05.865]  Number one.
[00:05:05.865 --> 00:05:09.288]  New climate legislation could easily double or triple your electric bill.
[00:05:09.288 --> 00:05:10.148]  Number two.
[00:05:10.148 --> 00:05:15.052]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:15.052 --> 00:05:15.792]  It's true.
[00:05:15.792 --> 00:05:20.676]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:20.676 --> 00:05:21.497]  Number three.
[00:05:21.497 --> 00:05:25.079]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:25.079 --> 00:05:28.762]  And now, new socialist legislation is only compounding the problem.
[00:05:28.982 --> 00:05:29.783]  Number 4.
[00:05:29.783 --> 00:05:32.546]  Dangerous weather is always a threat to local grids.
[00:05:32.546 --> 00:05:36.210]  Every year, thousands of families lose their power from weather-related outages.
[00:05:36.210 --> 00:05:37.011]  Number 5.
[00:05:37.011 --> 00:05:41.156]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:41.156 --> 00:05:45.921]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:46.201 --> 00:05:50.367]  You can get more information at www.mysolarbackup.com.
[00:05:50.367 --> 00:05:52.169]  That's mysolarbackup.com.
[00:05:52.169 --> 00:05:54.412]  Remember, the government doesn't own the sun.
[00:05:54.412 --> 00:05:56.756]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:02.347 --> 00:06:10.452]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:10.452 --> 00:06:14.535]  Alex and his staff have used these pure soap products for years.
[00:06:14.535 --> 00:06:21.839]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:21.839 --> 00:06:24.321]  See them on the web at 5starsoap.com.
[00:06:24.841 --> 00:06:29.685]  Or call 800-340-7091 for a free catalog.
[00:06:29.685 --> 00:06:35.630]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:35.630 --> 00:06:41.055]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:41.055 --> 00:06:43.037]  This is an amazing deal.
[00:06:43.037 --> 00:06:48.261]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:06:48.261 --> 00:06:51.404]  See them on the web at 5starsoap.com or call
[00:06:51.644 --> 00:06:53.110]  Call 800-340-7091 for a free catalog.
[00:07:00.128 --> 00:07:01.368]  Let me ask you a question.
[00:07:01.368 --> 00:07:02.869]  What does freedom mean to you?
[00:07:02.869 --> 00:07:03.769]  The freedom to choose?
[00:07:03.769 --> 00:07:04.710]  The freedom to vote?
[00:07:04.710 --> 00:07:05.730]  The freedom to worship?
[00:07:05.730 --> 00:07:07.931]  How about the freedom to take control of your own future?
[00:07:07.931 --> 00:07:13.433]  My friends at eFoods Direct are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:07:13.433 --> 00:07:20.876]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:07:20.876 --> 00:07:24.497]  The Patriot Pack is a 30 day supply of eFoods Quick Fix easy to store food.
[00:07:24.777 --> 00:07:29.699]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:07:29.699 --> 00:07:33.500]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:07:33.500 --> 00:07:38.983]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[00:07:38.983 --> 00:07:44.965]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex and get your free Patriot Pack with purchase.
[00:07:45.285 --> 00:07:46.626]  Operators are standing by.
[00:07:46.626 --> 00:07:51.071]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:51.071 --> 00:07:54.534]  eFoods is so affordable, the more you store and eat, the more you save.
[00:07:54.534 --> 00:08:01.040]  Go to efoodsdirect.com forward slash Alex or call 800-409-5633 right now.
[00:08:01.040 --> 00:08:03.823]  He's the T-Rex of political talk.
[00:08:03.823 --> 00:08:06.586]  Alex Jones on the GCN Radio Network.
[00:08:23.473 --> 00:08:29.059]  Ladies and gentlemen, it is Monday, the 23rd day of July 2012.
[00:08:29.059 --> 00:08:39.909]  We have Chris Emery and Holland van der Neuwenhoff, both filmmakers and experts on false flag terror, joining us in the third hour today.
[00:08:39.909 --> 00:08:43.813]  And the reason they're joining us is they looked at a specific staged terror attack.
[00:08:47.001 --> 00:08:56.215]  In 1995, run by the very same crew, I believe, from the evidence and the earmarks and the signatures and the wavelength and the PR push.
[00:08:58.686 --> 00:09:07.471]  The prime suspects of this new shooting in Colorado are the same people that committed the Oklahoma City bombing in 1995 on April 19th.
[00:09:07.471 --> 00:09:09.152]  And by the way, that's open and shut.
[00:09:09.152 --> 00:09:14.015]  I've interviewed the police, the workers, the head of HUD.
[00:09:14.015 --> 00:09:16.736]  I've interviewed them all, except, well, those they killed.
[00:09:16.736 --> 00:09:23.440]  They killed some of the medical people and at least one police officer that saw the ATF and the dirty deeds they were committing.
[00:09:25.282 --> 00:09:30.964]  You know, the same ATF that ships guns to Mexico to blame the Second Amendment, and then the memos come out it was a false flag.
[00:09:30.964 --> 00:09:37.307]  You know, 2,000 dead of the almost 60,000 dead now in the last three and a half, four years in Mexico.
[00:09:37.307 --> 00:09:38.507]  Hundreds dead in the U.S.
[00:09:38.507 --> 00:09:41.449]  Those are very conservative numbers.
[00:09:41.449 --> 00:09:49.432]  Multiple Border Patrol, multiple police doing it all to blame the Second Amendment.
[00:09:49.432 --> 00:09:51.673]  Oh, but we shouldn't look at this same crew
[00:09:53.786 --> 00:09:54.126]  I don't know.
[00:10:13.650 --> 00:10:16.852]  Oh, that's what was in the bodies of the Mumbai massacre people.
[00:10:16.852 --> 00:10:19.614]  Remember three years ago, the attacks in India?
[00:10:19.614 --> 00:10:21.676]  I went on air and said it's an inside job.
[00:10:21.676 --> 00:10:30.582]  Oh, by the way, the head of Indian intelligence who was killed that day fighting them shed its Western intelligence trying to get a war between India and Pakistan.
[00:10:30.582 --> 00:10:31.503]  He was killed that day.
[00:10:31.503 --> 00:10:34.004]  By the way, he was a Hindu, not a Muslim.
[00:10:34.004 --> 00:10:36.306]  They want to get India and Pakistan fighting with each other.
[00:10:36.306 --> 00:10:39.228]  And then what came out months later in the Chicago Tribune?
[00:10:39.228 --> 00:10:40.089]  I covered this yesterday.
[00:10:40.860 --> 00:10:46.182]  Oh, that a CIA agent led and trained the attacks.
[00:10:46.182 --> 00:10:51.624]  And then when they finally killed the, was it five or six guys?
[00:10:51.624 --> 00:10:55.565]  You notice they weren't in Muslim guard, they didn't have beards, they looked totally crazy.
[00:10:55.565 --> 00:11:04.188]  When I saw that surveillance camera footage the day after, I said those people were on LSD, PCP, mescaline, devil's breath concoctions.
[00:11:04.188 --> 00:11:06.569]  Because, I mean, I've got MKUltra, I know what they give people.
[00:11:07.401 --> 00:11:08.421]  You know what they found?
[00:11:08.421 --> 00:11:11.763]  Injectors of PCP and LSD.
[00:11:11.763 --> 00:11:12.963]  Injectors.
[00:11:12.963 --> 00:11:20.006]  Commandos land at night on boats on PCP, LSD, and stuff like that.
[00:11:20.006 --> 00:11:24.608]  And we're injecting it into their veins.
[00:11:24.608 --> 00:11:26.869]  Do you have any idea what that does to a normal person?
[00:11:26.869 --> 00:11:31.091]  A normal person who hasn't been on it for a long period of time cannot get up and walk.
[00:11:32.611 --> 00:11:50.395]  In the 50s and 60s, they did it for psychological testing, MKUltra, at every major university, including University of Texas down the street from me, that's declassified, where they would bring in college neuroscience or psychology students and they would inject them with pure LSD and then try to program them.
[00:11:52.267 --> 00:11:54.888]  Convince them they were somebody else, screw them all up.
[00:11:54.888 --> 00:11:57.430]  I mean, we're talking about mega doses of this.
[00:11:57.430 --> 00:12:06.894]  And the only way these guys could be injecting LSD, PCP, and other hallucinogens at the Mumbai attack was if they'd been on it for six months or longer.
[00:12:06.894 --> 00:12:12.297]  Folks, they'd been strapped down with headsets and total programming electroshot probably for a year.
[00:12:13.786 --> 00:12:32.493]  And then it was like, okay, ready now, all the pain's gonna end, you're gonna win, you're gonna find the, you're gonna find the, you know, the purple monkey, and, you know, whatever weird programming word they use, Catcher in the Rye was an earlier program, you know, a lot of shooters were under, and they just are, it creates an artificial, total, obsessive-compulsive, schizoid break.
[00:12:32.493 --> 00:12:42.257]  And then they tell him, all right, and remember, you wanna keep this going for days, so they inject him as they're coming into the beach, they give him their backpacks, they give him their team leader,
[00:12:44.289 --> 00:12:45.569]  Okay, you ready for your mission?
[00:12:45.569 --> 00:12:53.572]  And then they go out for two days and hand-grenading and rocket attack and machine gun attacks inside the shopping malls.
[00:12:53.572 --> 00:12:55.793]  And then it came out in the news when they killed him.
[00:12:55.793 --> 00:12:58.193]  There's their backpacks with all the injectables.
[00:12:58.193 --> 00:12:59.194]  It's the Indian police.
[00:12:59.194 --> 00:13:00.254]  They weren't playing ball.
[00:13:00.254 --> 00:13:01.794]  They said, we think you staged that.
[00:13:01.794 --> 00:13:03.395]  That was in the Times of India.
[00:13:06.087 --> 00:13:07.229]  This is how they do it.
[00:13:07.229 --> 00:13:10.877]  Folks, they could grab you off the street, even if you were strong, mentally.
[00:13:10.877 --> 00:13:15.827]  And in six months, they could have you doing anything they wanted, including thinking you were a dog.
[00:13:16.567 --> 00:13:18.888]  Thinking you were John Wayne?
[00:13:18.888 --> 00:13:22.368]  Thinking you were the Mad Hatter from Alice in Wonderland?
[00:13:22.368 --> 00:13:24.289]  They can do whatever they want.
[00:13:24.289 --> 00:13:26.970]  They erase your memory with electroshock.
[00:13:26.970 --> 00:13:34.071]  24 hours a day, they've got headsets on you, with you tied down in a straitjacket, pumping audio in while they're injecting you.
[00:13:34.071 --> 00:13:36.472]  If that doesn't break you, they find your fear points.
[00:13:38.319 --> 00:13:43.080]  A lot of times that's people running around in monster outfits while you're hallucinating.
[00:13:43.080 --> 00:13:52.522]  Or with the Muslims, it's coming in and women having sex with them while pouring blood on them at the CIA brainwashing base, which is declassified partially.
[00:13:52.522 --> 00:13:53.222]  They admit it's there.
[00:13:53.222 --> 00:14:00.564]  They have a brainwashing laboratory to create mind control Muslim assassins to then blame on Muslims.
[00:14:01.665 --> 00:14:03.506]  And also to command Al-Qaeda forces.
[00:14:03.506 --> 00:14:12.275]  I mean, you notice the graduates of Camp X-Ray, they're the people commanding Libya attack, commanding Syria attack, commanding it all.
[00:14:12.275 --> 00:14:16.919]  But see, I'm digressing into mind control here right now.
[00:14:16.919 --> 00:14:19.962]  That's how this works.
[00:14:19.962 --> 00:14:25.047]  And you notice he was a promising, quote, young scientist in his PhD level.
[00:14:26.554 --> 00:14:28.615]  You noticed that we did look it up.
[00:14:28.615 --> 00:14:29.676]  Indeed, you can go look it up.
[00:14:29.676 --> 00:14:31.217]  I've got to get these articles written.
[00:14:31.217 --> 00:14:33.378]  I do all the research, never have time to even codify it.
[00:14:33.378 --> 00:14:41.964]  It was a Department of Defense-funded neurosciences laboratory, funded out of Pennsylvania and out of the Air Force Base nearby.
[00:14:41.964 --> 00:14:45.205]  And he's in an advanced secretive program.
[00:14:45.205 --> 00:14:50.489]  We have videos now, before he even finishes regular college degree, talking about
[00:14:51.465 --> 00:14:55.467]  Time gaps, and again, it's just so obvious.
[00:14:55.467 --> 00:14:59.528]  This whole thing is just completely... Theodore Kaczynski, the Unabomber.
[00:14:59.528 --> 00:15:01.689]  Look it up!
[00:15:01.689 --> 00:15:04.190]  Theodore Kaczynski, the Unabomber.
[00:15:04.190 --> 00:15:05.531]  He was MKUltra.
[00:15:05.531 --> 00:15:07.532]  I mean, that's admitted that he was MKUltra.
[00:15:07.532 --> 00:15:14.515]  And it was just a footnote in some of the college students that, quote, volunteered for the program.
[00:15:18.598 --> 00:15:21.860]  Captain Webb, are you ready to commit to this program no matter what?
[00:15:21.860 --> 00:15:22.440]  Yes, sir.
[00:15:22.440 --> 00:15:25.142]  Are you sure you're ready to commit to this program?
[00:15:25.142 --> 00:15:28.464]  I warn you, this program is unorthodox and highly classified.
[00:15:28.464 --> 00:15:30.845]  Are you ready to commit to this program?
[00:15:30.845 --> 00:15:33.107]  Yes, sir, I'm ready to commit to this program.
[00:15:37.580 --> 00:15:51.971]  If you are in the military or any other group and they ever want you to volunteer for some kind of program and they tell you it's classified and it deals with drugs to enhance your ability, which they admit they've been doing, but they won't tell you the details, do not do it.
[00:15:51.971 --> 00:15:53.112]  Do not do it.
[00:15:53.112 --> 00:16:00.958]  Because a lot of times they get you to volunteer and don't tell you, by the way, we're going to set you up as a patsy and send you to death row or send you to a mental institution.
[00:16:07.611 --> 00:16:10.672]  You do not want to be part of this.
[00:16:10.672 --> 00:16:12.753]  So the point is, this is real.
[00:16:12.753 --> 00:16:14.053]  This is going on.
[00:16:14.053 --> 00:16:14.993]  This is happening.
[00:16:14.993 --> 00:16:16.714]  Every major government does it.
[00:16:16.714 --> 00:16:20.315]  Now, this could be mind control to the point of he was the shooter.
[00:16:20.315 --> 00:16:24.016]  That's harder to pull off.
[00:16:24.016 --> 00:16:25.917]  Okay, they could get it to that level.
[00:16:27.876 --> 00:16:39.136]  Normally it's just somebody whacked out of their mind who is programmed, probably being shown, you know, the Joker scenes 5,000 times while brain probes are in him and he's on a cocktail of hallucinogens.
[00:16:40.575 --> 00:16:41.076]  I don't think so.
[00:17:04.128 --> 00:17:10.330]  Oh, never mind, Mr. Gopher, just, you know, some friends, Mr. Rabbit, Mr... No, no, but it's a plastic explosive, nothing to worry about.
[00:17:10.330 --> 00:17:12.051]  That's a quote from Caddyshack.
[00:17:12.051 --> 00:17:13.271]  He's dropping them in there.
[00:17:13.271 --> 00:17:32.037]  They'll have, literally, they had Jolly and Wes, the protégé of Dr. Ewan Cameron, the worldwide most famous mind control doctor that kidnapped thousands of children, military personnel, you name it, and totally programmed them with the LSD, PCP, electroshock, and all of it.
[00:17:32.777 --> 00:17:35.058]  Now they just use brain probes and chips.
[00:17:35.058 --> 00:17:44.524]  You know, 20 years ago they had remote-controlled roaches, remote-controlled rats, where the rat stops, walks, gets up on its hind legs, bites, so you can send them into rubble or whatever.
[00:17:44.524 --> 00:17:47.506]  You've seen robo-rats, they've got a chip in their brain.
[00:17:47.506 --> 00:17:50.328]  You know, they've had them for decades, they send them into rubble and stuff.
[00:17:50.328 --> 00:17:53.990]  Special forces have got them now, drop them out, send them into cities.
[00:17:53.990 --> 00:17:58.193]  They've got robo-rats built where one of their eyes has been removed, and one eye is a camera.
[00:17:59.656 --> 00:18:01.879]  Ooh, well that's highly classified right there.
[00:18:01.879 --> 00:18:07.366]  They, for at least 20 years, have cybernetic dolphins with brain interfaces.
[00:18:07.366 --> 00:18:09.588]  They can go around with surveillance equipment or plant...
[00:18:12.270 --> 00:18:13.471]  Minds on things.
[00:18:13.471 --> 00:18:22.900]  But they're segwaying away from biological weapon systems to sea drones, air drones, ground drones, combat mechs of every type.
[00:18:22.900 --> 00:18:24.802]  Because you're in the 21st century.
[00:18:24.802 --> 00:18:28.845]  It's 2012 steaming right into 2013, ladies and gentlemen.
[00:18:28.845 --> 00:18:32.609]  The technology we know about is 30 years old at least.
[00:18:32.609 --> 00:18:35.011]  You're not in Kansas anymore, ladies and gentlemen.
[00:18:38.604 --> 00:18:41.327]  And this brain program was so classified.
[00:18:41.327 --> 00:18:43.188]  You know, most of these universities have DARPA funding.
[00:18:43.188 --> 00:18:52.557]  What you see, the labs, the stuff that people are being taught, that's just a farming program to see who will do what they're told to assess you for the PhD programs.
[00:18:52.557 --> 00:18:59.944]  And then when you get into the... I've only seen restricted programs at the University of Texas, and I wasn't even supposed to see that.
[00:18:59.944 --> 00:19:02.687]  And let me tell you, ladies and gentlemen, it's science fiction.
[00:19:05.765 --> 00:19:18.991]  You hit one button and you're looking at the monkey farm, and those monkeys have got those wires hooked into their brains, Department of Defense, and they're studying how to flicker that TV screen just right to put you into a trance to then program you.
[00:19:18.991 --> 00:19:28.595]  And then they've got other programs where it's above ground, where, oh, they then get the graduate students and psychological volunteers, women to come in and they have a flicker rate.
[00:19:28.595 --> 00:19:30.156]  And they do a flicker rate in one lab?
[00:19:30.156 --> 00:19:32.737]  How do you sexually arouse a woman?
[00:19:32.737 --> 00:19:33.437]  They've got another one?
[00:19:33.437 --> 00:19:34.498]  How do you make somebody hungry?
[00:19:35.779 --> 00:19:40.481]  You go to another lab, it's a retina scanner that tracks you from 100 yards away that you don't even know is there.
[00:19:40.481 --> 00:19:45.504]  Or you go to another lab, it's a molecular scanner.
[00:19:45.504 --> 00:19:48.145]  I saw that 12 years ago, University of Texas.
[00:19:48.145 --> 00:19:50.986]  And most of this I was allowed to see.
[00:19:50.986 --> 00:19:57.469]  Accidentally, some computer screens got left up and some things.
[00:19:57.469 --> 00:19:59.490]  And I did see some things.
[00:19:59.490 --> 00:20:00.111]  We'll be right back.
[00:20:00.970 --> 00:20:02.191]  Let me ask you a question.
[00:20:02.191 --> 00:20:03.692]  What does freedom mean to you?
[00:20:03.692 --> 00:20:04.573]  The freedom to choose?
[00:20:04.573 --> 00:20:05.514]  The freedom to vote?
[00:20:05.514 --> 00:20:06.515]  The freedom to worship?
[00:20:06.515 --> 00:20:08.736]  How about the freedom to take control of your own future?
[00:20:08.736 --> 00:20:14.181]  My friends at eFoods Direct are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:20:14.181 --> 00:20:21.567]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:20:21.567 --> 00:20:25.190]  The Patriot Pack is a 30 day supply of eFoods Quick Fix, easy to store food.
[00:20:25.450 --> 00:20:30.334]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:20:30.334 --> 00:20:34.136]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:20:34.136 --> 00:20:39.580]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[00:20:39.580 --> 00:20:45.525]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get your free Patriot Pack with purchase.
[00:20:45.825 --> 00:20:47.167]  Operators are standing by.
[00:20:47.167 --> 00:20:51.592]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:20:51.592 --> 00:20:55.037]  eFoods is so affordable, the more you store and eat, the more you save.
[00:20:55.037 --> 00:20:57.640]  Go to eFoodsDirect.com forward slash Alex or call 800-409-5633 right now.
[00:21:00.851 --> 00:21:01.832]  Hi there.
[00:21:01.832 --> 00:21:03.373]  My name is Frank Bates.
[00:21:03.373 --> 00:21:07.196]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:21:07.196 --> 00:21:16.344]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:21:16.344 --> 00:21:22.330]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:21:23.050 --> 00:21:25.233]  Some have called this a conspiracy.
[00:21:25.233 --> 00:21:31.059]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:21:31.059 --> 00:21:38.067]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:21:38.979 --> 00:21:44.581]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:21:44.581 --> 00:21:51.083]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:21:51.083 --> 00:21:56.784]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:21:56.784 --> 00:21:58.045]  Again, that's 123coverup.com.
[00:21:59.895 --> 00:22:05.116]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:22:05.116 --> 00:22:14.478]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:22:14.478 --> 00:22:28.520]  The Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:22:28.800 --> 00:22:34.225]  Order the Berkey Light System today, complete with two black Berkey elements for only two hundred and thirty one dollars.
[00:22:34.225 --> 00:22:36.948]  And the Berkey Guy will ship your order free of charge.
[00:22:36.948 --> 00:22:43.955]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only thirty nine ninety nine.
[00:22:43.955 --> 00:22:46.057]  That's over 30% off the retail price.
[00:22:46.277 --> 00:22:47.218]  Call the Berkey Guy at 1-877-886-3653.
[00:22:47.218 --> 00:22:47.438]  That's 1-877-886-3653.
[00:22:47.438 --> 00:22:48.239]  Or order online at GoBerkey.com.
[00:22:48.239 --> 00:22:48.920]  That's GoBerkey.com today!
[00:22:59.827 --> 00:23:07.152]  HempUSA.org has a revolutionary wonder food for detoxing the body and rebuilding the immune system.
[00:23:07.152 --> 00:23:15.678]  Micro plant powder can help unclog arteries and soften heart valves while removing heavy metals, virus, fungus, bacteria and parasites.
[00:23:15.678 --> 00:23:19.400]  Plus it cleans and purifies the blood, lungs, stomach and colon.
[00:23:19.400 --> 00:23:22.682]  Keep your body clean with micro plant powder.
[00:23:22.682 --> 00:23:25.904]  Visit us at HempUSA.org or call 908-691-2608 today!
[00:23:29.398 --> 00:23:30.639]  Hi, this is Ted Anderson.
[00:23:30.639 --> 00:23:35.182]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:23:35.182 --> 00:23:41.026]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:23:41.026 --> 00:23:44.648]  Gold has outperformed paper investments, yet no word about IRAs.
[00:23:44.648 --> 00:23:49.532]  If you would like to have gold for your retirement, call 800-686-2237.
[00:23:49.532 --> 00:23:52.433]  Don't get left behind by rising inflation and low returns.
[00:23:52.433 --> 00:23:52.734]  Call 800-686-2237.
[00:23:52.734 --> 00:23:54.075]  Secure your future and call 1-800-686-2237.
[00:24:14.144 --> 00:24:19.866]  Here's what's frustrating for me.
[00:24:19.866 --> 00:24:23.428]  I have watched the old black and white MKUltra hearings.
[00:24:23.428 --> 00:24:24.088]  They're online.
[00:24:27.222 --> 00:24:28.983]  I have read the documents.
[00:24:28.983 --> 00:24:32.405]  I have interviewed people who were victims of this.
[00:24:32.405 --> 00:24:34.867]  Famous people.
[00:24:34.867 --> 00:24:39.910]  Who had family members killed by operatives under mind control.
[00:24:39.910 --> 00:24:44.092]  Privately interviewed, not on air.
[00:24:44.092 --> 00:24:44.953]  Just gonna leave it at that.
[00:24:46.323 --> 00:25:00.434]  I have read the police files and the coroner files from Sirhan Sirhan, who shot RFK, we were told, but the police said he wasn't, wasn't the same caliber, his gun was held down, it was the security detail with Robert Kennedy.
[00:25:00.434 --> 00:25:03.096]  I know this stuff's real.
