[00:00.000 --> 00:02.000]  You've got it
[03:32.400 --> 03:37.400]  Which is a standard procedure for dirt and wiretaps and things
[03:37.400 --> 03:41.400]  Who do you think puts wiretaps on your house for the tabloids?
[03:41.400 --> 03:45.400]  Chinese jet pilot from the moon or the Kibler elves
[03:45.400 --> 03:50.400]  Continuing here, a son journalist arrested as bribe probe widens
[03:50.400 --> 03:53.400]  A Rupert Murdoch's own Wall Street Journal reports
[03:53.400 --> 03:56.400]  And now Murdoch's on a plane over there right now
[03:56.400 --> 04:01.400]  News corps faces renewed threat of prosecution in U.S. following son threats
[04:01.400 --> 04:05.400]  And so that's why Fox News didn't cover in Fast and Furious
[04:05.400 --> 04:10.400]  And all that white Peruvian flake the Justice Department's been caught shipping in
[04:10.400 --> 04:13.400]  The federal courts, they've declared national security
[04:13.400 --> 04:18.400]  That's all hiding in plain view, Chicago Tribune, El Paso times, other papers have reported it
[04:18.400 --> 04:22.400]  Murder for hire, eight federal agencies bringing drugs in
[04:22.400 --> 04:26.400]  Shipping guns all over the U.S. not just to Mexico but also Honduras
[04:26.400 --> 04:31.400]  So it's just different branches of mafia fighting with each other
[04:31.400 --> 04:35.400]  We've got all of that coming up for you today as well
[04:35.400 --> 04:42.400]  And we have an amazing guest on Agenda 21 that I'll tell you about after this quick break
[04:42.400 --> 04:44.400]  We'll be right back, stay with us
[04:58.400 --> 05:03.400]  A little over a year ago, I began to do a lot of research into why
[05:03.400 --> 05:06.400]  Even if I had a pretty good sized meal that I was still starving
[05:06.400 --> 05:11.400]  And my research led me to a well-known fact that most of the soils that we grow our crops on
[05:11.400 --> 05:14.400]  Here in the United States and across the industrialized world
[05:14.400 --> 05:19.400]  Are almost completely depleted of almost all of the key minerals and trace elements
[05:19.400 --> 05:24.400]  That our bodies need to rebuild themselves, fight off cancer and be healthy
[05:24.400 --> 05:28.400]  I then searched out the best vitamin and mineral company out there
[05:28.400 --> 05:30.400]  And discovered Young Jevity
[05:30.400 --> 05:34.400]  The Young Jevity products are designed to give you the real nutrition you need
[05:34.400 --> 05:38.400]  And once you've got that, you don't have to eat as much to be satisfied
[05:38.400 --> 05:44.400]  I've lost 37 pounds in two months, simply getting the vitamins and minerals I need
[05:44.400 --> 05:46.400]  Check it out for yourself, it's incredible
[05:46.400 --> 05:50.400]  Go to InfowarsTeam.com today and order your first canister
[05:50.400 --> 05:56.400]  Of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement
[05:56.400 --> 06:00.400]  At InfowarsTeam.com
[06:26.400 --> 06:30.400]  Transmitting Worldwide, it's Alex Jones
[06:32.400 --> 06:35.400]  Alright, every broadcast is important
[06:35.400 --> 06:38.400]  The weekday show from 11 a.m. to 2 p.m. central
[06:38.400 --> 06:43.400]  The Sunday transmission from 4 to 6 central, they're all important
[06:43.400 --> 06:48.400]  But I had read some of this lady's articles over the years
[06:48.400 --> 06:51.400]  And found them to be very spot on
[06:51.400 --> 06:56.400]  The spectrum understanding of how the global corporations have set up
[06:56.400 --> 07:00.400]  The United Nations to bring in a global fascist dictatorship
[07:00.400 --> 07:03.400]  And they pose as if they're liberal and trendy
[07:03.400 --> 07:06.400]  Conservatives act like they're against the UN
[07:06.400 --> 07:09.400]  And are always saying get us out of the UN
[07:09.400 --> 07:13.400]  But it was actually the Pentagon, it was actually the U.S. government
[07:13.400 --> 07:18.400]  That set up the United Nations in 1945
[07:18.400 --> 07:22.400]  So it's special corporate interests that have already taken over America
[07:22.400 --> 07:27.400]  And are taking over the world, they've set up the UN to be that new global government
[07:27.400 --> 07:30.400]  And Ban Ki-moon, the head of the UN of course a week ago
[07:30.400 --> 07:33.400]  Was all over the news called for global government and a global tax
[07:33.400 --> 07:37.400]  And a global court and a global army, it's already all in place
[07:37.400 --> 07:42.400]  Ruth Bader Ginsburg and four other justices in one week all made announcements
[07:42.400 --> 07:45.400]  She's a former justice, but four current justices
[07:45.400 --> 07:48.400]  All came out and said get rid of the Constitution
[07:48.400 --> 07:51.400]  The New York Times came out and badmouthed it and said get rid of it
[07:51.400 --> 07:56.400]  Time Magazine, Newsweek, USA Today, CNN, ABC News
[07:56.400 --> 08:00.400]  All in the last two weeks said ditch it
[08:00.400 --> 08:03.400]  I mean I was walking by newsstands and just saw it all over the place
[08:03.400 --> 08:05.400]  When I was at Barnes and Noble a week ago
[08:05.400 --> 08:10.400]  Went home, searched engines, dumped the Constitution, get rid of the Constitution
[08:10.400 --> 08:16.400]  And there were hundreds of articles, that was the globalist PR release
[08:16.400 --> 08:21.400]  You can see, they're paid talking heads, you can see the talking points
[08:21.400 --> 08:23.400]  And it's come out, there are major talking points
[08:23.400 --> 08:28.400]  They got talking points that returning veterans are going to start staging terror attacks
[08:28.400 --> 08:30.400]  And that returning veterans are the main enemy
[08:30.400 --> 08:35.400]  I told you that back when it was secret and we got documents from FBI, federal marshals
[08:35.400 --> 08:37.400]  And state police across the country
[08:37.400 --> 08:42.400]  Three years ago, governments said well that's internal, you shouldn't have it
[08:42.400 --> 08:43.400]  But admitted it was real
[08:43.400 --> 08:48.400]  Now they're doing the rollout that domestic groups are going to stage terror attacks
[08:48.400 --> 08:54.400]  That means they're getting ready to pull the trigger and carry out the staged events to be blamed on us
[08:54.400 --> 08:59.400]  Again, the PR rollout is everything you need to know
[08:59.400 --> 09:05.400]  In the PR rollout, it's always targeting dumbed down, unconscious people that buy whatever they're told
[09:05.400 --> 09:08.400]  If you're awake, it's ridiculous, it's like riding on the wall
[09:08.400 --> 09:10.400]  It's like a bullhorn siren
[09:10.400 --> 09:16.400]  It's like completely crystal clear for someone who's even half awake
[09:16.400 --> 09:24.400]  But remember, they're targeting 60 to 70% of the public that's still in a dream-like state
[09:24.400 --> 09:28.400]  Just believing whatever they're told, thinking the government loves them and wants to kiss them on the head at night
[09:28.400 --> 09:33.400]  Who don't know the government's been hijacked by a kleptocracy
[09:33.400 --> 09:41.400]  Side issue, the point is, is that Rosa Corey is going to be joining us coming up
[09:41.400 --> 09:44.400]  She's executive director of the Post-Sustainability Institute
[09:44.400 --> 09:49.400]  She's a forensic commercial real estate appraiser, specializing in imminent domain
[09:49.400 --> 09:53.400]  And that's how in the last decade she discovered it's all UN Agenda 21
[09:53.400 --> 09:57.400]  Austin, Texas openly admits they're under Agenda 21
[09:57.400 --> 10:02.400]  They're openly putting up little UN signs at the hike and bike trail entrances now
[10:02.400 --> 10:06.400]  I didn't even know this, I hadn't been to hike and bike trail in a couple years
[10:06.400 --> 10:12.400]  Because I always go to just the side of the highway and enter hike and bike trails wherever I feel like it
[10:12.400 --> 10:16.400]  But I actually went to one a few months ago and used a regular entrance
[10:16.400 --> 10:21.400]  And there were all these UN groups, signs up, basically stating it's their territory
[10:21.400 --> 10:27.400]  They've got UN biospheres, they're under the new system, going to be tearing up existing roads
[10:27.400 --> 10:34.400]  Shutting off the highway exits to rural areas, it's already begun
[10:34.400 --> 10:38.400]  The NAFTA superhighways, the trans-Texas corridor, imminent domain
[10:38.400 --> 10:44.400]  It is a total takeover of our society, ties in to the North American Union
[10:44.400 --> 10:48.400]  It's in all the security-prosperity partnership documents
[10:48.400 --> 10:56.400]  The New York Times, of course, came out demonizing people earlier in the week
[10:56.400 --> 11:03.400]  Who talk about Agenda 21 and they admit that, oh my gosh, the public's waking up to the UN Agenda 21
[11:03.400 --> 11:09.400]  But they're conspiracy theorists because they don't want the UN system running their local towns and cities
[11:09.400 --> 11:15.400]  They don't deny it's taking over, they just say, you're a conspiracy theorist for not liking the UN
[11:15.400 --> 11:18.400]  Taking over your local government through regionalism
[11:18.400 --> 11:22.400]  And it's designed to shut down the family farms, drive everybody into the cities
[11:22.400 --> 11:26.400]  It's official UN maps that have been out for more than 15 years
[11:26.400 --> 11:31.400]  That show more than half the United States off limits to human activity
[11:31.400 --> 11:40.400]  We're going to be breaking all of that down today in the second hour with our guests
[11:40.400 --> 11:46.400]  In fact, she joins us after the 45 break when we come back at 45 after she's going to be joining us
[11:46.400 --> 11:55.400]  Because I've read some of her work and it knew that she was spot on as she's written a book behind the green mask
[11:55.400 --> 12:04.400]  The whole fake green movement's about land grabbing, power grabbing, nothing to do with sensible environmental laws and things
[12:04.400 --> 12:14.400]  It's all a neo-futalistic excuse for centralized mega-corporations that control governments to take control of our society
[12:14.400 --> 12:19.400]  And when you read the New York Times article again, they don't deny it's happening
[12:19.400 --> 12:25.400]  They just say, oh my gosh, these people are starting to fight us at the local level and turn this back
[12:25.400 --> 12:30.400]  It's terrible, I mean the UN's great and this is for the earth
[12:30.400 --> 12:36.400]  But hearing her on the radio, see I've read some of her articles
[12:36.400 --> 12:42.400]  But hearing her on the radio the other day, I heard her on a local Austin station
[12:42.400 --> 12:48.400]  I was driving home and listened to her for about 30 minutes and then I sat there in the parking lot at my house
[12:48.400 --> 12:53.400]  Even though I wanted to go in and see my family for about 30 minutes listening to her just riveted
[12:53.400 --> 12:58.400]  Because I'd never heard anyone tie it all together
[12:58.400 --> 13:04.400]  I'd separately done all the research, I knew everything she was saying was true and accurate
[13:04.400 --> 13:14.400]  But I'd never heard anybody really put it all together just how hellish this is, this covert creeping takeover through the zoning boards
[13:14.400 --> 13:19.400]  The state zoning boards, the highway departments, seizing the entire infrastructure
[13:19.400 --> 13:25.400]  And then here I live in Austin, the worst city east of California
[13:25.400 --> 13:29.400]  California has fully fallen to this, total feudalism
[13:29.400 --> 13:36.400]  Only plus percent yearly carbon taxes, home inspections, they're saying no future single family dwellings
[13:36.400 --> 13:43.400]  Germany now has passed this as law, I'm not kidding, look it up, Derspiegel says how great it is
[13:43.400 --> 13:54.400]  Carbon taxes, carbon rationing, the only city to totally be implementing this at a more disgusting level is Austin
[13:54.400 --> 14:06.400]  And they just come in and openly get in everyone's face and say under Agenda 21
[14:06.400 --> 14:14.400]  And there it is from the United Nations website, you type in Agenda21UN.org and you'll be on their site as they admit global government, global tax
[14:14.400 --> 14:23.400]  But then separately they have the ADL Southern Poverty Law Center and others coming out and saying we're cooks, we're crazy, we're nuts
[14:23.400 --> 14:26.400]  It doesn't exist
[14:26.400 --> 14:36.400]  Understand that, it's all happening, world government being announced run by six megabanks that created 1,500 plus trillion in fraudulent paper
[14:36.400 --> 14:42.400]  Bought up the world through fraud, now they're imploding it to consolidate control and buy up everything on pennies at the dollar
[14:42.400 --> 14:48.400]  And having us bail out their system with hundreds of trillions of dollars to prop it up
[14:48.400 --> 14:55.400]  While lecturing us that we've got to have our taxes raised and our standard of living dropped to pay off our debts
[14:55.400 --> 15:07.400]  All planned, all official, and they have all these traitorous organizations here in the United States that pose as the arbiters of all information
[15:07.400 --> 15:15.400]  Calling those of us that read the official UN plans and see it being implemented, we are the enemy
[15:15.400 --> 15:20.400]  And part of UNESCO and the UN program is the federalization of police worldwide
[15:20.400 --> 15:23.400]  Because once they're under federal control they can be internationalized
[15:23.400 --> 15:27.400]  And they have all the major police departments doing joint training with foreign police departments
[15:27.400 --> 15:34.400]  And being able to go and arrest people in Japan and then Japanese police can come to Austin and arrest people here
[15:34.400 --> 15:37.400]  So we're going to have her on coming up
[15:37.400 --> 15:47.400]  We've got Ron Pohl news first, then news on of course Whitney Houston dead from prescription drugs, much more deadly than even illegal drugs
[15:47.400 --> 15:54.400]  We've got Rupert Murdoch, Mayface criminal charges, we've got just a massive blitz of news straight ahead
[15:54.400 --> 16:18.400]  Our websites are infowars.com and we're streaming video at prismplanet.tv
[16:25.400 --> 16:29.400]  And it can produce an endless supply of nutrient dense food for you and your family
[16:29.400 --> 16:33.400]  And here's the best part, these seeds have not been genetically modified in any way
[16:33.400 --> 16:37.400]  And you actually get enough seeds to plant a full acre crisis garden
[16:37.400 --> 16:40.400]  So visit them today at survivalseedbank.com
[16:40.400 --> 16:47.400]  That's survivalseedbank.com or give them a call at 877-327-0365
[16:47.400 --> 16:56.400]  That's 877-327-0365. Remember, in a real crisis, non-hybrid seeds are the ultimate barter item
[16:56.400 --> 16:59.400]  This is Alex Jones for survivalseedbank.com
[17:00.400 --> 17:07.400]  You've heard Alex explaining how the silver lungs generator infuses the respiratory system with your self produced colloidal silver solutions
[17:07.400 --> 17:15.400]  Yet many are unaware of the entire function of the silver lung system and how it has been designed to deliver your silver solutions anywhere in or on the body
[17:15.400 --> 17:20.400]  My name is Mario Safaldi and I'm the developer of the Silver Lungs Generator
[17:20.400 --> 17:25.400]  Not only does the silver lung system produce endless colloidal and ionic silver solutions
[17:25.400 --> 17:33.400]  It also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas
[17:33.400 --> 17:41.400]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system
[17:41.400 --> 17:48.400]  Be sure to watch our new 7 minute video tour of the silver lung system at www.silverlungs.com
[17:48.400 --> 17:55.400]  To learn more about how the silver lung system works, as well, we are always ready to answer any questions you may have
[17:55.400 --> 18:12.400]  That's www.silverlungs.com
[18:26.400 --> 18:29.400]  Number four, eFood's products don't spoil, so I never waste any food
[18:29.400 --> 18:33.400]  Three, eFood's uses only safe, healthy ingredients
[18:33.400 --> 18:37.400]  Number two, I have my own food supply and don't depend on the grocery store
[18:37.400 --> 18:43.400]  And the number one reason I promote eFood's direct is they build special offers just for my listeners
[18:43.400 --> 18:47.400]  Folks don't wait, get prepared now, we all need to be self sufficient
[18:47.400 --> 18:52.400]  Call eFood's direct at 800-409-5633 and ask for the Alex Jones special
[18:52.400 --> 18:59.400]  Call eFood's direct at 800-409-5633 or eFoodsdirect.com forward slash Alex
[18:59.400 --> 19:03.400]  I had tried everything, I had cut back the amount of food I was eating
[19:03.400 --> 19:06.400]  I was lifting weights and jogging, but nothing was working
[19:06.400 --> 19:11.400]  My body was literally starving for minerals and trace elements as well as key vitamins
[19:11.400 --> 19:18.400]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied
[19:18.400 --> 19:23.400]  Now there are hundreds of great products at infowarseteam.com but I want to point out the three
[19:23.400 --> 19:29.400]  That have helped me lose 37 pounds in just two months
[19:29.400 --> 19:34.400]  Products like Beyond Tangy Tangerine, Holland Burst and Rebound
[19:34.400 --> 19:37.400]  When I started taking the Tangy Tangerine and other products every day
[19:37.400 --> 19:40.400]  I lost more than 37 pounds in just two months
[19:40.400 --> 19:46.400]  Now that's results, I want to challenge my listeners to go to infowarseteam.com
[19:46.400 --> 19:54.400]  And to order just three of their products and you will see the changes in the way you look, feel and in your appetite almost immediately
[19:54.400 --> 20:18.400]  Start your journey to health and wellness today infowarseteam.com
[20:18.400 --> 20:24.400]  This is the leading up frontal assault on the lies of the New World Order
[20:24.400 --> 20:29.400]  It's Alex Jones on the GCN Radio Network
[20:29.400 --> 20:35.400]  Boy, I tell you, I've got a challenge here to get to all this news before our guest joins us
[20:35.400 --> 20:38.400]  Look at these headlines
[20:38.400 --> 20:44.400]  Facing bailout or chaos, Greek parliament starts debate on austerity laws
[20:44.400 --> 20:50.400]  It's about the benefits and pay almost all the money to the very banks that created the crisis
[20:50.400 --> 20:54.400]  And who have now put all their people in charge of the government
[20:54.400 --> 21:02.400]  Because their last group of operatives over Greece and the same as in Ireland, Spain, Italy, the United States
[21:02.400 --> 21:04.400]  The last group was put in place
[21:04.400 --> 21:08.400]  All of the operatives are Goldman Sachs and JP Morgan
[21:08.400 --> 21:10.400]  There's other big banks involved in the thieving
[21:10.400 --> 21:14.400]  They're operatives all over the world when they take down New Zealand
[21:14.400 --> 21:19.400]  It's Goldman Sachs operatives that are the finance minister and or the prime minister or president
[21:19.400 --> 21:23.400]  When you see them run a scam in Chile, it's the same people
[21:23.400 --> 21:27.400]  It's always a former president of Goldman Sachs or JP Morgan
[21:27.400 --> 21:31.400]  When you see them do it in England, I mean it's a crew of scam artists
[21:31.400 --> 21:34.400]  And then you look at who's funding Agenda 21
[21:34.400 --> 21:37.400]  Same groups, it's so amazing
[21:37.400 --> 21:40.400]  And then we did find the articles during the break
[21:40.400 --> 21:45.400]  Southern Poverty Law Center and others say we're insane for not wanting a world government
[21:45.400 --> 21:48.400]  First we were cooks for saying a world government was coming
[21:48.400 --> 21:54.400]  Now they admit it's here, we're bad because we don't like the world government now
[21:54.400 --> 21:59.400]  Have you noticed that? They don't deny it's a UN program in our towns and cities
[21:59.400 --> 22:01.400]  They just say we're bad because we don't want it
[22:01.400 --> 22:04.400]  Remember the old days when the world government didn't exist?
[22:04.400 --> 22:07.400]  Remember we were crazy in the big mega banks, the international banks
[22:07.400 --> 22:09.400]  They weren't going to try to set up a world government
[22:09.400 --> 22:12.400]  No, that's what cooks talk about
[22:12.400 --> 22:16.400]  Now it's in the Associated Press world governments here
[22:16.400 --> 22:19.400]  Global carbon taxes paid to the UN
[22:19.400 --> 22:22.400]  But you're still bad, you're bad for being right
[22:22.400 --> 22:25.400]  You're bad for warning fellow Americans
[22:25.400 --> 22:28.400]  You're bad for warning your fellow Canadians
[22:28.400 --> 22:34.400]  And I guess I was bad too when I pointed out over a month ago there was clear fraud in Iowa
[22:34.400 --> 22:36.400]  On January 3rd
[22:36.400 --> 22:40.400]  And then it came out three weeks later that they said we're throwing out the results
[22:40.400 --> 22:42.400]  And just giving it to Santorum
[22:42.400 --> 22:46.400]  There was fraud and trucks missing with ballots
[22:46.400 --> 22:52.400]  Well there were no trucks, they vote at the precinct, post it and then call it in
[22:52.400 --> 22:56.400]  But we had the witnesses, we had the voting fraud experts
[22:56.400 --> 22:58.400]  There was fraud in Iowa, now admitted total fraud
[22:58.400 --> 23:01.400]  There was fraud in Florida, now being admitted total fraud
[23:01.400 --> 23:04.400]  There was fraud in South Carolina, now admitted total fraud
[23:04.400 --> 23:10.400]  There was admitted total fraud in Nevada, we wrote articles about it, exposed it
[23:10.400 --> 23:14.400]  The exit poll showed Ron Paul in first place, poll showed him in first place
[23:14.400 --> 23:16.400]  He gets third place
[23:16.400 --> 23:23.400]  Every exit poll, every major poll showed Ron Paul winning main, he doesn't win
[23:23.400 --> 23:25.400]  Same deal
[23:25.400 --> 23:30.400]  And Ron Paul has now done what he didn't do in 2008
[23:30.400 --> 23:33.400]  He's come out and said yes there's fraud
[23:33.400 --> 23:36.400]  And there is fraud, and he's got to point it out
[23:36.400 --> 23:38.400]  First they told you he couldn't win
[23:38.400 --> 23:41.400]  Then they gave him less time in the debates
[23:41.400 --> 23:46.400]  Then when they didn't give him attention they lied about him and demonized him
[23:46.400 --> 23:49.400]  This is the same media that went along with the lies about WMDs
[23:49.400 --> 23:54.400]  The same media that knows the government was caught shipping guns into Mexico to blame the Second Amendment
[23:54.400 --> 23:59.400]  And won't even talk about it now
[23:59.400 --> 24:05.400]  And now Ron Paul has come out, this is from Business Wire, it's up on infowars.com
[24:05.400 --> 24:10.400]  Ron Paul campaign comments on main caucus results
[24:10.400 --> 24:15.400]  Headline Ron Paul refuses to concede main official campaign release
[24:15.400 --> 24:23.400]  And they go on to point out that all of their data shows that they basically should have won
[24:23.400 --> 24:30.400]  You know, the big telltale was when 2% were reporting in Nevada
[24:30.400 --> 24:41.400]  The entire corporate whore, dinosaur, prostitute, sewer stream, trader media said that he was the indisputed victor
[24:41.400 --> 24:45.400]  And I'm not going to go back over Iowa, I've already done four or five shows on that
[24:45.400 --> 24:50.400]  I mean, I sat there and watched Fox News with Carl Rove and I played the clip here
[24:50.400 --> 24:54.400]  And they lost a bunch of the ballots and trucks and I started laughing
[24:54.400 --> 24:58.400]  We don't know where the precinct heads are and all these precincts had to be the university towns
[24:58.400 --> 25:03.400]  Like Ames, which in polls, Ron Paul was getting close to 60% of the vote
[25:03.400 --> 25:08.400]  Of course he ended up getting like 15% once they had the little special trucks come up missing
[25:08.400 --> 25:11.400]  But there are no trucks involved in ballots
[25:11.400 --> 25:18.400]  And just all disappeared and Carl Rove said, well, you know what, there was a gentleman's agreement between Mitt Romney and Santorum
[25:18.400 --> 25:23.400]  And they decided to give those delegates to Santorum and that's the way it is
[25:23.400 --> 25:34.400]  And the Fox host didn't ask them one time, well, who's your source? Where was this behind the closed doors meeting?
[25:34.400 --> 25:37.400]  And then people said, Alex, don't say there's fraud in Iowa
[25:37.400 --> 25:42.400]  Even though we had delegates and people calling in who witnessed it all the next day and the day after that
[25:42.400 --> 25:47.400]  The eyewitnesses, a lot of them who swore out statements later
[25:47.400 --> 25:50.400]  And then it came out, of course, three weeks after that
[25:50.400 --> 25:53.400]  Oh, yeah, it's all a fraud, we don't know what happened
[25:53.400 --> 25:56.400]  We're throwing the results out, but giving it all to Santorum now
[25:56.400 --> 26:00.400]  He just gets everything
[26:00.400 --> 26:11.400]  Well, now Ron Paul is saying that something is going on and that things aren't jiving and they break it all down
[26:11.400 --> 26:15.400]  And they are beginning to contest it and they better do it
[26:15.400 --> 26:23.400]  And I'll cover that more later if we have time to get into it
[26:23.400 --> 26:28.400]  But speaking of media manipulation, and it's not just news corps that's doing this
[26:28.400 --> 26:34.400]  News corps has been caught paying off police, they admit that goes on, they've been caught spying on people
[26:34.400 --> 26:41.400]  They've been caught doing all this stuff and I'll assure you it is not just going on in England or Europe
[26:41.400 --> 26:48.400]  But here's the New York Times, British Arrest 8 in Inquiry about Murdoch Tabloid
[26:48.400 --> 26:54.400]  And now there's talk of the Justice Department in Diting Members of News Corps here in North America
[26:54.400 --> 26:59.400]  That's the parent company of Fox News for those that don't know
[26:59.400 --> 27:06.400]  And you wonder why suddenly you're hearing Fox host in the last two months say Obama's a good Christian man
[27:06.400 --> 27:14.400]  I think it could be in others, I've talked to Fox host, I'm just going to leave it at that, multiple insiders at Fox
[27:14.400 --> 27:19.400]  I had two sources and then lost them because even though I was allowed to talk about it without saying names
[27:19.400 --> 27:27.400]  Some people got yelled at and threatened, but I have some other sources that I developed years ago that I've talked to
[27:27.400 --> 27:35.400]  And yes, they've been told, in memos you will stop bashing Barack Obama or this whole place is going down
[27:35.400 --> 27:38.400]  People have complained, they're like, well that's going to kill ratings, number one
[27:38.400 --> 27:42.400]  Not that those traders up there actually care about this country
[27:42.400 --> 27:47.400]  They want to at least be able to bash Obama, that gets the ratings and they've been told back off
[27:47.400 --> 27:52.400]  Because the Justice Department is looking at arresting Rupert Murdoch
[27:52.400 --> 27:56.400]  And if I was Murdoch, I would go ahead and release everything he's got on Obama right now
[27:56.400 --> 27:59.400]  Because let me tell you, the way this is going, they're going for broke
[27:59.400 --> 28:02.400]  You notice they got rid of Glenn Beck
[28:02.400 --> 28:07.400]  And he was told, you will stop bashing George Soros, you will stop covering all this
[28:07.400 --> 28:11.400]  And Glenn Beck to his credit said, I'm not going to do that and left Fox
[28:11.400 --> 28:19.400]  And his contract was, I mean, I've gone after Glenn Beck a lot because behind the scenes, I'm going to be a guest on Fox in New York
[28:19.400 --> 28:23.400]  And they tell us, well, Glenn Beck's throwing a fit if you come on the other show
[28:23.400 --> 28:26.400]  And he's saying they won't ever have this other host on if you do that
[28:26.400 --> 28:29.400]  And Glenn Beck's gone after my sponsors and all sorts of stuff
[28:29.400 --> 28:34.400]  But, I mean, he is a hard-nosed wolf, but he did not sell out to News Corp
[28:34.400 --> 28:41.400]  You notice Judge Napolitano, who had the second highest ratings, I actually looked him up, on Fox Business and Rising
[28:41.400 --> 28:43.400]  And was making major news, gone
[28:43.400 --> 28:48.400]  So Fox News is rolling over to George Soros and Obama
[28:48.400 --> 28:52.400]  And you know what, I think when you're done doing that, they're still going to arrest you
[28:52.400 --> 28:54.400]  I think you've made a miscalculation
[28:54.400 --> 28:59.400]  Alright, more news straight ahead on Iran, Whitney Houston, and a lot more
[29:25.400 --> 29:28.400]  Guarantee you love the way they fit
[29:29.400 --> 29:34.400]  They put a diamond gusset in the crotch, where you need it most
[29:34.400 --> 29:39.400]  Blue diamond gussets got it, others don't
[29:39.400 --> 29:43.400]  We turned jeans inside out, diamond gusset jeans
[29:43.400 --> 29:46.400]  Made in the USA with unparalleled quality
[29:46.400 --> 29:50.400]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection
[29:50.400 --> 29:52.400]  So you can ride all day with confidence
[29:52.400 --> 29:55.400]  Order yours at gusset.com
[29:55.400 --> 30:24.400]  Diamond gusset jeans got it, others don't
[30:26.400 --> 30:29.400]  Your risk is the hundreds of hazardous toxic detergents
[30:29.400 --> 30:34.400]  That give you rashes, itching sores, and deteriorating clothing called lint
[30:34.400 --> 30:37.400]  If you want something better, if you want something you've never had before
[30:37.400 --> 30:39.400]  You've had to do something you've never done before
[30:39.400 --> 30:41.400]  Getting a free catalog is easy
[30:41.400 --> 30:44.400]  By calling 800-340-7091
[30:44.400 --> 30:47.400]  Or see Calvin on the web at 5starsoap.com
[30:47.400 --> 30:49.400]  Take charge of your health now
[30:49.400 --> 30:52.400]  By calling 800-340-7091
[30:52.400 --> 30:56.400]  Or see Calvin on the web at 5starsoap.com
[31:23.400 --> 31:25.400]  Fight off cancer and be healthy
[31:25.400 --> 31:29.400]  I then searched out the best vitamin and mineral company out there
[31:29.400 --> 31:31.400]  And discovered Young Jevity
[31:31.400 --> 31:35.400]  The Young Jevity products are designed to give you the real nutrition you need
[31:35.400 --> 31:39.400]  And once you've got that, you don't have to eat as much to be satisfied
[31:39.400 --> 31:42.400]  I've lost 37 pounds in two months
