[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[00:04:19.238 --> 00:04:21.220]  Let's not forget this deal that was so good.
[00:04:21.220 --> 00:04:28.808]  Obama had to send a plane with $400 million in cash to Iran the day that they made this deal official.
[00:04:28.808 --> 00:04:33.272]  And it was also a ransom payment that Iran agreed to release some of our prisoners.
[00:04:33.272 --> 00:04:35.955]  Okay, that's a report from Leanne McAdoo.
[00:04:35.955 --> 00:04:40.200]  You can find the full report on the Alex Jones YouTube channel.
[00:04:40.200 --> 00:04:40.920]  Right there it is.
[00:04:42.321 --> 00:04:52.853]  The silence from the liberal media on the Iranian protest, the silence from Linda Sarsour, the silence from the Women's March on the Iranian protest is deafening.
[00:04:52.853 --> 00:04:55.016]  We've got stacks and stacks of news on the other side.
[00:04:55.016 --> 00:04:55.937]  Roger Stone joins us.
[00:04:55.937 --> 00:04:56.578]  Don't go anywhere.
[00:04:56.578 --> 00:04:57.439]  This is The War Room.
[00:05:00.942 --> 00:05:01.723]  I'm so excited.
[00:05:01.723 --> 00:05:11.869]  The new product at Infowarslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[00:05:11.869 --> 00:05:20.395]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it, but boy does it stimulate, because it's beyond that.
[00:05:20.395 --> 00:05:29.181]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[00:05:31.260 --> 00:05:36.562]  For the formulae, and I came up with our own formula, working with some scientists and developers.
[00:05:36.562 --> 00:05:41.523]  Non-GMO, made right here in America, 120 capsules.
[00:05:41.523 --> 00:05:50.846]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[00:05:50.846 --> 00:05:53.527]  It is amazing!
[00:05:53.527 --> 00:05:58.489]  Red Pill, now available at InfoWarsStore.com, and your purchase funds the operation.
[00:06:06.440 --> 00:06:15.966]  Let's make talk radio great again!
[00:06:15.966 --> 00:06:17.828]  This is the War Room!
[00:06:41.457 --> 00:06:42.978]  Welcome back.
[00:06:42.978 --> 00:06:47.842]  I'm Roger Stone, and you're in the War Room.
[00:06:47.842 --> 00:06:58.170]  This is part of the expanded coverage that Alex Jones has mapped out for the burgeoning InfoWars Information Command Center.
[00:06:59.250 --> 00:07:23.444]  We have now opened our bureau in Miami, we've opened our bureau in New York, we've opened our bureau in DC, and we are bringing you more of the incisive investigative journalism exposing the excesses and crimes of the globalist left and those who would betray the American dream.
[00:07:23.444 --> 00:07:28.187]  They had the presidential election of 2016 completely wired, you see.
[00:07:29.450 --> 00:07:38.514]  Hillary Clinton was going to be president and Jeb Bush's job for his cut was to be a graceful loser.
[00:07:38.514 --> 00:07:57.221]  And if Hillary was so inept that Jeb managed to win, it didn't really matter because all the same people would have jobs and the Bushes will merely cut the Clintons in the way the Clintons have always cut the Bushes in for a piece of their massive theft.
[00:07:58.374 --> 00:08:01.576]  They are both crony capitalists.
[00:08:01.576 --> 00:08:02.917]  Don't kid yourself.
[00:08:02.917 --> 00:08:06.539]  The Clintons are not liberals or progressives.
[00:08:06.539 --> 00:08:10.921]  They believe in nothing but the money.
[00:08:10.921 --> 00:08:16.824]  The Bushes are not conservatives or libertarians or liberty oriented.
[00:08:16.824 --> 00:08:20.166]  They believe in anything they need to.
[00:08:20.166 --> 00:08:21.287]  George H.W.
[00:08:21.287 --> 00:08:26.950]  Bush can run as an abortion proponent and then later say he was always pro-life.
[00:08:28.011 --> 00:08:41.954]  He can support the entire agenda of the John Birch Society while running for the Senate in 1964, and he can disavow every piece of it running for Congress in 1966.
[00:08:41.954 --> 00:08:45.695]  So we have, I think, now turned the corner.
[00:08:49.336 --> 00:08:49.716]  We're good.
[00:09:07.868 --> 00:09:21.695]  Advisors to Barack Obama have been criticizing Donald Trump for supporting the uprising by women across the Middle East and in Iran.
[00:09:21.695 --> 00:09:36.182]  See, those days are over when you look the other way at the excesses of this crazy ideology that crushes women and gays and Christians or anyone who refuses to see things the way they see them.
[00:09:37.398 --> 00:09:51.374]  Donald Trump's posting of a link that showed ISIS slaughtering a handicapped Dutch man is now the formal policy of the United States.
[00:09:51.374 --> 00:09:55.980]  We call Islamic terrorism what it is.
[00:09:55.980 --> 00:09:57.081]  Let's be clear.
[00:09:57.961 --> 00:10:04.124]  None of us here at Infowars are for excessive foreign expansionism.
[00:10:04.124 --> 00:10:16.330]  We don't want more foreign wars that cost billions, in which the elites profiteer, but our inherent national interest is just nowhere to be found.
[00:10:17.930 --> 00:10:40.463]  We, at the same time, recognize that because of the conduct of foreign policy by the Bushes and the Clintons, in which they change sides so frequently and armed both our friends and our foes, leaves Donald Trump with ISIS, a loose end that unfortunately he has no choice as a realist, but to clean up.
[00:10:40.463 --> 00:10:46.626]  My fear, as I expressed yesterday on the War Room, is that the generals around him,
[00:10:47.613 --> 00:10:51.275]  Kelly, whose own politics are progressive left.
[00:10:51.275 --> 00:10:59.638]  Mattis, who admitted before the election that he voted for Hillary and specifically denounced Trump.
[00:10:59.638 --> 00:11:03.220]  And of course, H.R.
[00:11:03.220 --> 00:11:16.826]  McMaster, who has proved his disloyalty, pardon me, in the incident with Sophia Katz, the CEO of Oracle.
[00:11:17.415 --> 00:11:37.009]  It was InfoWars that first reported that the National Security Advisor to the President sat in a dinner with this eminent businesswoman who is widely respected, and after too many belts, was bad-mouthing the President of the United States.
[00:11:38.266 --> 00:11:51.909]  We reported specifically that McMaster took a cell phone call from the President, stepped away from the table, as would be appropriate, and came back to the table to comment that the President was an idiot.
[00:11:51.909 --> 00:11:54.529]  He later called him a moron.
[00:11:54.529 --> 00:12:01.991]  He said his ability to understand anything beyond 140 characters is non-existent.
[00:12:01.991 --> 00:12:02.891]  He's a child.
[00:12:03.989 --> 00:12:05.310]  I, H.R.
[00:12:05.310 --> 00:12:10.473]  McMaster, must save the world from nuclear destruction.
[00:12:10.473 --> 00:12:25.662]  Katz was so appalled by this boast and this treachery that she informed her close friend Sheldon Adelson, the philanthropist and gaming magnate from Nevada.
[00:12:25.662 --> 00:12:32.186]  And only months later, the mainstream media confirmed the existence
[00:12:33.494 --> 00:12:43.496]  of this dinner and the precise conversation that we hear at InfoWars Predictive.
[00:12:43.496 --> 00:12:51.617]  I have been extraordinarily impressed looking at the new front line of products that have come up at the InfoWars store.
[00:12:51.617 --> 00:13:01.899]  You know, I have myself long been an aficionado of both Eastern medicine, herbology,
[00:13:02.742 --> 00:13:12.890]  Acupuncture, Tai Chi, Qigong, a little more exotic form of martial arts.
[00:13:12.890 --> 00:13:31.384]  And I recognize that Chinese medicine, Eastern medicine, has only existed for several centuries longer than the take a pill mentality of big pharma and many, not all, but many AMA trained doctors today.
[00:13:33.425 --> 00:13:51.692]  Sadly, there are still millions in the medical establishment who skew what is very clearly therapy and benefits from natural herbs and natural supplements, all of which of course are legal.
[00:13:51.692 --> 00:14:02.456]  There are benefits in acupuncture, there are benefits in nutritional products, particularly if one is trying to gain weight and is training hard.
[00:14:03.237 --> 00:14:13.032]  And Alex Jones really does an amazing job of fusing the best with some of the oldest and ancient but effective blends.
[00:14:13.032 --> 00:14:14.975]  The new Alpha Power Blend.
[00:14:16.189 --> 00:14:18.390]  Look, I've taken a lot of energy tonics.
[00:14:18.390 --> 00:14:21.730]  That's what this is called in Chinese medicine.
[00:14:21.730 --> 00:14:23.530]  It's heat-based, as they say.
[00:14:23.530 --> 00:14:28.831]  This just blows me away in terms of my energy level.
[00:14:28.831 --> 00:14:30.352]  I get a better run in the morning.
[00:14:30.352 --> 00:14:34.252]  I can work later at night.
[00:14:34.252 --> 00:14:37.693]  It has really changed my work habits.
[00:14:37.693 --> 00:14:39.193]  And right now, you can get it at $34.95, which is 50%
[00:14:43.714 --> 00:14:44.735]  Cut.
[00:14:44.735 --> 00:14:54.339]  You know, I am now going to look at Carnivore, which is a digestive enzyme formula.
[00:14:54.339 --> 00:14:56.600]  It's now 33% off.
[00:14:56.600 --> 00:15:06.245]  This one is important because I, while I respect those who eschew red meat and who prefer to take their
[00:15:06.761 --> 00:15:10.683]  Protein as chicken or fish or turkey.
[00:15:10.683 --> 00:15:19.247]  And I really cannot get down with the vegans and the vegetarians out there because I think it takes protein to build muscle.
[00:15:19.247 --> 00:15:30.113]  At the same time, some red meat in your diet, some, particularly if you're trying to stay in shape and you're exercising regularly, I think is required.
[00:15:30.882 --> 00:15:39.427]  Carnivore is similar to a product that I've taken before, although my son has taken it and he says it's much better.
[00:15:39.427 --> 00:15:40.608]  I've just ordered it.
[00:15:40.608 --> 00:15:48.112]  It helps you digest in your gut and break down the enzymes commonly found in red meat.
[00:15:48.112 --> 00:15:52.215]  And it really is enticing.
[00:15:52.215 --> 00:15:52.895]  I've got it.
[00:15:52.895 --> 00:15:54.336]  I'm going to try it.
[00:15:54.336 --> 00:15:57.658]  My son is yet another satisfied customer.
[00:15:59.375 --> 00:16:07.619]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[00:16:07.619 --> 00:16:08.859]  A 360 win.
[00:16:08.859 --> 00:16:15.402]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at infowarshore.com.
[00:16:15.402 --> 00:16:22.926]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[00:16:23.326 --> 00:16:28.010]  Number three, we're giving you free shipping on all orders above $50.
[00:16:28.010 --> 00:16:34.516]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:16:34.516 --> 00:16:42.322]  Just go to InfoWarsStore.com, select your favorite product or products, click on AutoShip, and choose how often you want us to send you another order.
[00:16:42.322 --> 00:16:48.808]  As you know, I coined the term 360Win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[00:16:48.808 --> 00:16:50.329]  10% off on AutoShip.
[00:16:50.489 --> 00:16:52.909]  Win-win-win at InfoWarsLife.com.
[00:16:52.909 --> 00:16:54.890]  Free shipping on orders above 50 bucks.
[00:16:54.890 --> 00:16:58.991]  And all out of stock items are never out of stock when you sign up for auto ship.
[00:16:58.991 --> 00:17:04.972]  Climb to the top of the food chain with Alpha Power by InfoWars Life.
[00:17:04.972 --> 00:17:09.133]  For those who want to increase testosterone and energy levels.
[00:17:09.133 --> 00:17:16.414]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1 to 2 percent per year.
[00:17:17.174 --> 00:17:24.318]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[00:17:24.318 --> 00:17:30.181]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[00:17:30.181 --> 00:17:42.308]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia.
[00:17:42.988 --> 00:17:49.294]  Macaroo from Peru, Horny Goatweed from China and Tribulus from India.
[00:17:49.294 --> 00:17:53.238]  Reach your alpha male potential with Alpha Power.
[00:17:53.238 --> 00:17:58.443]  Get Alpha Power now at 50% off and secure your bottle today.
[00:17:59.887 --> 00:18:04.288]  Fuel your body with Carnivore, the new digestive enzyme product by InfoWars Life.
[00:18:04.288 --> 00:18:12.370]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[00:18:12.370 --> 00:18:17.651]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[00:18:17.651 --> 00:18:20.191]  Digestive enzyme production declines as we age.
[00:18:20.191 --> 00:18:24.412]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[00:18:24.412 --> 00:18:26.853]  Enjoy the full potential of protein-rich foods again.
[00:18:27.546 --> 00:18:34.770]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high-meat diets.
[00:18:34.770 --> 00:18:42.854]  Just one pill with every high-protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[00:18:42.854 --> 00:18:50.038]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates, so you can fully digest all types of meals.
[00:18:50.038 --> 00:18:51.499]  Don't let a meal go to waste.
[00:18:51.499 --> 00:18:53.300]  Use Carnivore by InfoWars Life.
[00:18:54.100 --> 00:18:57.584]  Head to Infowarslife.com and secure your bottle now.
[00:18:57.584 --> 00:19:02.950]  That's Infowarslife.com.
[00:19:02.950 --> 00:19:07.255]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[00:19:10.202 --> 00:19:15.268]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[00:19:15.268 --> 00:19:17.170]  O-O-O-O-Optimum levels.
[00:19:17.170 --> 00:19:18.952]  B vitamins we need every day.
[00:19:18.952 --> 00:19:24.238]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[00:19:24.238 --> 00:19:25.839]  O-O-O-O-Optimal absorption.
[00:19:26.560 --> 00:19:32.183]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[00:19:32.183 --> 00:19:34.024]  Secret 12.
[00:19:34.024 --> 00:19:35.185]  Optimal absorption.
[00:19:35.185 --> 00:19:40.328]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[00:19:40.328 --> 00:19:45.491]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[00:19:45.491 --> 00:19:46.252]  Optimum levels.
[00:19:47.673 --> 00:19:51.815]  Secret 12 is an easy way to increase your vitamin B12 intake.
[00:19:51.815 --> 00:19:56.999]  Head to InfoWarsLife.com and support optimal brain and body function with Secret 12.
[00:19:56.999 --> 00:20:04.904]  That's InfoWarsLife.com.
[00:20:04.904 --> 00:20:06.045]  The War Room.
[00:20:06.045 --> 00:20:08.666]  InfoWars.com forward slash.
[00:20:08.666 --> 00:20:10.448]  1, 2, 3.
[00:20:10.448 --> 00:20:10.488]  1, 2, 3.
[00:20:37.664 --> 00:20:39.545]  Welcome back.
[00:20:39.545 --> 00:21:01.330]  I'm Roger Stone, and you're in the War Room with your host, Roger Stone, broadcasting now from an undisclosed location in sunny South Florida, and my colleague, Owen Schroyer, in our state-of-the-art and ever-expanding InfoWars studio in Austin.
[00:21:02.397 --> 00:21:26.493]  When you visit Austin, I must tell you, it is, it's exhilarating because there's a great spirit on the InfoWars staff, not only the on-air talent, but all of the great writers and technicians and IT people, and there's always kind of a small coterie of activists hanging around, and the energy is really significant.
[00:21:26.493 --> 00:21:26.793]  It is a
[00:21:29.343 --> 00:21:30.284]  We're good to go.
[00:21:51.461 --> 00:21:55.064]  This is why Google seeks to snuff us.
[00:21:55.064 --> 00:21:59.447]  This is why Twitter seeks to silence us.
[00:21:59.447 --> 00:22:04.231]  This is why they want to put the toothpaste back in the tube.
[00:22:04.231 --> 00:22:16.260]  This is why they're using the laws set by the Congress to guarantee no pornography and decency on the needy are being used to suppress political speech.
[00:22:17.420 --> 00:22:40.759]  This is why it's important, as I say, that you hit the Infowars store because we are the spirit of the revolution and Trump can only be protected and the revolution continued if we are out there to defend him and expose the hypocrisy of the jackals, the hyenas who are nipping at the heels of a giant.
[00:22:41.645 --> 00:22:52.595]  I do want to say that I saw over the holiday break an extraordinary new book by the reporter, Edward Klein, entitled,
[00:22:56.443 --> 00:22:57.624]  We're good to go.
[00:23:23.583 --> 00:23:42.322]  He worked with Distinguished Service as a managing editor for Newsweek, also joined the New York Times, editor-in-chief of the New York Times Magazine, then led this flagship publication for a number of years, then at Time Magazine, winning a Pulitzer Prize.
[00:23:43.163 --> 00:24:02.961]  Ed Klein has written for Vanity Fair and so on, an extraordinary author, but his books specifically on the Obamas, on the Clintons, is some of the very best, completely unbiased investigative journalism out there today.
[00:24:02.961 --> 00:24:07.485]  And his new book, All Out War, is about the attempt to take Donald Trump down.
[00:24:08.280 --> 00:24:36.503]  And leafing through this terrific book, which I commend to you, I found this passage, which confirms, based on Ed Klein's research, that the Justice Department, under Barack Obama, went into the FISA court, were extraordinarily confident that they could trick a judge into allowing them to spy on four individuals.
[00:24:38.027 --> 00:24:48.950]  Those being General Flynn, Paul Manafort, the harmless, but I think decent Carter Page, and myself.
[00:24:48.950 --> 00:25:01.773]  And they were stunned when the FISA court judge declined their authority to push such a surveillance.
[00:25:01.773 --> 00:25:07.215]  Later in Klein's incredible book, he tells about how they take the exact same request
[00:25:07.927 --> 00:25:15.074]  Including yours truly, and they resubmit it to a judge and trick that judge into approval.
[00:25:15.074 --> 00:25:22.100]  Thus begins the surveillance of the Trump campaign by the deep state.
[00:25:22.100 --> 00:25:27.505]  This information is of course then used in the unmaskings.
[00:25:27.505 --> 00:25:32.610]  In some ways, I must say, I feel like the Forrest Gump of American politics.
[00:25:33.305 --> 00:25:58.711]  Whether it was the Bush-Gore recount, or whether it was the Trump campaign, or even as a wrongly accused witness in the farce that is the Russian collusion delusion, I have enjoyed a role in every major presidential campaign, albeit one.
[00:25:59.874 --> 00:26:04.559]  I was not involved in George Bush's reelection campaign.
[00:26:04.559 --> 00:26:15.910]  And I specifically told Lee Atwater, a colleague of some time, about the folly of the Willie Horton ad.
[00:26:15.910 --> 00:26:18.213]  I was a critic of that ad.
[00:26:19.183 --> 00:26:21.545]  It wasn't that I thought it might not work.
[00:26:21.545 --> 00:26:27.788]  I knew it probably would, but it would be a stain that the bushes would wear forever.
[00:26:27.788 --> 00:26:32.471]  And so, sadly, did my friend Lee Atwater.
[00:26:32.471 --> 00:26:37.714]  I have memorialized this in several articles in my books.
[00:26:37.714 --> 00:26:42.156]  I had no role in the campaign of 1992.
[00:26:43.783 --> 00:26:53.931]  So, in this particular case, I have found a few reporters who have the sources of an Ed Klein.
[00:26:53.931 --> 00:27:06.461]  I really strongly recommend Klein's book to you if you want to see the precursor to what I believe is the A, B, and C plan.
[00:27:08.445 --> 00:27:28.791]  As I reported yesterday on the War Room, the fact that Rex Tillerson is now staying after a private lunch with the President, including General McMaster, General Mattis, and General Kelly, that is because, in my opinion, they need Tillerson's vote for the coming
[00:27:29.544 --> 00:27:34.808]  11th Amendment takedown, 25th Amendment takedown, pardon me.
[00:27:34.808 --> 00:27:37.571]  We will talk about this on the other side.
[00:27:37.571 --> 00:27:45.197]  You're on The War Room with Roger Stone, and we're going to bring back my colleague Owen Schroer and kick it around.
[00:27:45.197 --> 00:27:52.142]  We'll be right back.
[00:27:52.142 --> 00:27:52.743]  And there it is.
[00:27:54.670 --> 00:28:03.035]  Alright, well actually we've got about 60 seconds left in this segment here, Roger, so I know that we're going to get into the Tillerson updates and everything else.
[00:28:03.035 --> 00:28:07.297]  I apologize, I lost my clock there for a second.
[00:28:07.297 --> 00:28:14.441]  It's interesting though, because yesterday, and I'm sure we'll talk about this too sometime before we get off here, yesterday President Trump
[00:28:15.589 --> 00:28:23.900]  Tweets out top Hillary Clinton aide Huma Abedin guilty of X and X. The same man that was found guilty of that wound up in jail.
[00:28:23.900 --> 00:28:25.522]  Doesn't she belong in jail?
[00:28:25.522 --> 00:28:31.990]  And then here we are 24 hours later and there is a fire at Bill and Hillary Clinton's house.
[00:28:31.990 --> 00:28:33.291]  I mean it's not like Hillary Clinton
[00:28:33.852 --> 00:28:41.156]  Has a history of deleting emails or, you know, the Democrats smashing servers or not turning over servers.
[00:28:41.156 --> 00:28:44.058]  So, I'm sure there's nothing to this story.
[00:28:44.058 --> 00:28:47.319]  You know, Hillary and Bill Clinton have never done anything they want to try to hide.
[00:28:47.319 --> 00:28:49.701]  So, I'm sure that there's just nothing to this.
[00:28:49.701 --> 00:28:55.384]  It was just a house fire at Bill and Hillary's house and they're not trying to hide any evidence of any wrongdoing that they've ever done.
[00:28:55.384 --> 00:28:55.664]  No way.
[00:28:59.649 --> 00:29:04.795]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[00:29:04.795 --> 00:29:09.560]  After years of research on the human microbiome, not all probiotics are made the same.
[00:29:09.560 --> 00:29:18.249]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[00:29:18.249 --> 00:29:21.613]  This is critical because stomach acid kills most probiotics and
[00:29:21.733 --> 00:29:26.976]  So if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[00:29:26.976 --> 00:29:34.299]  Floralife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[00:29:34.299 --> 00:29:38.201]  Did you know that over 80% of your immune system is located in your gut?
[00:29:38.201 --> 00:29:42.923]  That's why increasing gut probiotic levels is so important for overall health.
[00:29:42.923 --> 00:29:46.505]  Floralife is sold as a 15 billion probiotic for everyday maintenance care.
[00:29:47.165 --> 00:29:51.014]  Get 50 billion probiotic for a 30-day advanced gut restoration program.
[00:29:51.014 --> 00:29:55.223]  Head to Infowarslife.com to pick up your bottle of Floralife probiotics today.
[00:29:55.223 --> 00:29:56.525]  That's Infowarslife.com.
[00:30:01.973 --> 00:30:05.714]  2017 has been a earth-shaking year.
[00:30:05.714 --> 00:30:09.555]  And 2018, guaranteed, is even gonna be wilder.
[00:30:09.555 --> 00:30:14.335]  In fact, my good friend, Stefan Molyneux, said it's gonna be like the Battle of the Gods, Ragnarok.
[00:30:14.335 --> 00:30:16.376]  So get ready, ladies and gentlemen.
[00:30:16.376 --> 00:30:28.678]  And that's why, thanking you for all your support, we are extending free shipping store-wide at infowarestore.com into early January, and the massive 50 to 67% off all our best-selling items.
[00:30:29.518 --> 00:30:35.623]  So ladies and gentlemen, whether it's Colloidal Silver, or Brain Force, or MycoZX, or Floralife, they're now back in stock.
[00:30:35.623 --> 00:30:40.747]  They're all massively discounted with free shipping at InfoWareStore.com.
[00:30:40.747 --> 00:30:49.754]  Take advantage of it, right through the new year, in a salute to the InfoWarriors, and into a thanks to all of you that have made this operation possible.
[00:30:50.074 --> 00:30:59.530]  From myself, the entire InfoWars crew, thank you for your support, thank you for bringing America back from the edge of death, and thank you for standing against the globalists and their bullying garbage.
[00:31:00.413 --> 00:31:05.056]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[00:31:05.056 --> 00:31:12.700]  InfoWars Life brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[00:31:12.700 --> 00:31:16.943]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[00:31:16.943 --> 00:31:22.906]  Pair this groundbreaking toothpaste with the super blue fluoride free mouthwash and supercharge your oral health.
[00:31:23.066 --> 00:31:29.669]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[00:31:29.669 --> 00:31:39.814]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[00:31:39.974 --> 00:31:46.840]  Our Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[00:31:46.840 --> 00:31:49.723]  Xylitol, Nano Silver, and Iodine.
[00:31:49.723 --> 00:31:53.326]  Notice the difference with our Super Blue Fluoride-Free products.
[00:31:53.326 --> 00:31:58.330]  Refresh your breath and invigorate your oral health routine at InfoWarsStore.com.
[00:31:58.330 --> 00:32:00.232]  That's InfoWarsStore.com.
[00:32:00.492 --> 00:32:09.215]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:32:09.215 --> 00:32:09.755]  That's right.
[00:32:09.755 --> 00:32:15.017]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:32:15.017 --> 00:32:21.699]  Go to Infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
