[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[06:32.000 --> 06:41.000]  Yeah, yeah, this is the Alex Jones Show. Mike Adams filling in here from FEMA Region 6 as the bumper just said. That's absolutely true here in Austin, Texas.
[06:41.000 --> 06:52.000]  We've got an incredible show lined up for you today. Lots of news, breaking news on the DHS purchasing up to 450 million rounds of 40-caliber hollow point ammo.
[06:52.000 --> 06:57.000]  I know that story has already been covered, but we've got a new angle for you on that right here on the Alex Jones Show.
[06:57.000 --> 07:04.000]  Additional news about vaccines eating your baby's brains while doctors encourage you to ignore the symptoms. So let's get right into it.
[07:04.000 --> 07:14.000]  Let's start with the first issue right here, which is the Department of Homeland Security buying up enough ammo to wage a seven-year war against the American people.
[07:14.000 --> 07:27.000]  Several very important points you need to understand about this. Since this story broke about the ammo manufacturer ATK being awarded a contract by DHS to provide up to 450 million rounds of ammo,
[07:27.000 --> 07:35.000]  I've done some more research on this. I found some testimony of a major general at Top Brass in the US military from 2004.
[07:35.000 --> 07:44.000]  I also spoke with some of my contacts who have been in the Theater of War in the Middle East, and it turns out that even during Operation Iraqi Freedom,
[07:44.000 --> 07:53.000]  during an active war zone, active battle, US troops, according to this testimony from a top major general in the US military,
[07:53.000 --> 08:03.000]  around 5.5 million rounds of ammo were fired each month. Now that's all kinds of rounds of ammo. That's pistol ammo, that's rifle ammo, and much more.
[08:03.000 --> 08:15.000]  Now with the DHS purchasing 450 million rounds of 40 caliber hollow point ammo, that's enough ammunition if you were to put that in the frame of about 5.5 million rounds a month.
[08:15.000 --> 08:26.000]  That's enough ammunition to wage a 7-year war just from the pistol ammo alone, not to mention other contracts where they're purchasing, let's say 556 ammo for rifles,
[08:26.000 --> 08:34.000]  or 308 ammo, or other battle ammo for rifles, which there are other contracts out there to purchase all of that ammo as well.
[08:34.000 --> 08:44.000]  But here's the important point to know. The ammo that they have purchased is hollow point ammo. Now hollow point ammo, and I've actually brought a sample of this ammo in here just to show you,
[08:44.000 --> 08:53.000]  now this is perfectly legal ammo that I just have at home. This is a hollow, oh here we go. For those of you who are listening on the radio, you can see this on PrismPlan.tv.
[08:53.000 --> 09:06.000]  This is a 40 caliber, here we go, 40 caliber hollow point round. As you can see, it is hollow in the front of it here, versus let's say a truncated tip or full metal jacket tip here.
[09:06.000 --> 09:16.000]  These are both 40 caliber ammo rounds. One is a hollow point, one is truncated. The hollow point is designed, by the way, to cause more trauma,
[09:16.000 --> 09:25.000]  to cause the target of whoever you're shooting, which is why law enforcement chooses this ammo, or people choose it for self-defense.
[09:25.000 --> 09:36.000]  It causes the target to suffer more trauma, more bone breakage, more, oh excuse me, there we go, more, yeah we've got some rifle rounds here to show you by comparison.
[09:36.000 --> 09:45.000]  But this ammo is illegal under the Geneva Convention to use in war, illegal. So you cannot use this outside the United States.
[09:45.000 --> 09:55.000]  The ammo must be used domestically in order for the US to abide by the Geneva Convention. Now they might say, well, this is for training rounds,
[09:55.000 --> 10:01.000]  but that can't be true. Nobody buys hollow point for training rounds because they're too expensive. They're a lot more expensive.
[10:01.000 --> 10:09.000]  Just to show you some relative sizes here, this on your screen, if you're watching PrismPlan.tv on the far right, is a 9mm round.
[10:09.000 --> 10:18.000]  Next to that's a.40 caliber. Next to that is a.40 caliber hollow point. And to the left is a.223 Remington, or similar to a.556 military rifle round.
[10:18.000 --> 10:25.000]  Full metal jacket, which is legal under the Geneva Convention. It doesn't have a ballistic tip. And next to that, the largest one on your screen here is a.308,
[10:25.000 --> 10:31.000]  which is used by snipers in the military, as well as other rounds,.338 Lapua, and so on.
[10:31.000 --> 10:41.000]  The point is, the.40 caliber round has a very similar bullet diameter to the.308. So this is a round that is used by police to bring down bad guys very, very quickly,
[10:41.000 --> 10:47.000]  to shatter their pelvis, for example, to shatter their spine. This is actually taught in police training classes.
[10:47.000 --> 10:53.000]  If there's a bad guy that's killing innocent civilians in a scene, you shoot for their spine to bring them down.
[10:53.000 --> 11:01.000]  You shoot for their heart, their lungs, to cause massive bleed-out trauma to eliminate that threat as quickly as possible.
[11:01.000 --> 11:05.000]  This is everybody out there who's law enforcement knows that what I'm saying is absolutely true in the way that you're trained.
[11:05.000 --> 11:13.000]  So the question remains, why would the Department of Homeland Security want to buy 450 million rounds of this kind of ammo,
[11:13.000 --> 11:23.000]  which, again, is enough to wage a potentially a seven-year war on domestic soil against the American people? It's a very disturbing idea,
[11:23.000 --> 11:32.000]  very concerning to me as someone who preaches the de-escalation of violence and the peaceful resolution of any kind of conflict or disagreement.
[11:32.000 --> 11:43.000]  I can only say that I hope that we can peacefully and diligently restore liberty, restore law and order in this Republic before the Department of Homeland Security
[11:43.000 --> 11:51.000]  gets an opportunity to use its bulletproof booths, the roadside checkpoint booths, its new ammo, its hollow point ammo,
[11:51.000 --> 12:04.000]  its new assault vehicles that look like massive bulletproof, almost out of a comic book or something, cartoonishly overbuilt assault vehicles with Department of Homeland Security written right on the side.
[12:04.000 --> 12:10.000]  I'm very concerned about what the government is thinking. Why does it need to purchase this ammo? Why does it need these assault vehicles?
[12:10.000 --> 12:14.000]  Why does it need these bulletproof booths? What do they know that they're not telling us?
[12:14.000 --> 12:23.000]  Because remember, if you and I go out and buy, let's say, 5,000 rounds of that ammo, we might be called someone who's stockpiling or someone who's hoarding ammo
[12:23.000 --> 12:27.000]  or someone who's maybe even a potential domestic terrorist because we have ammunition.
[12:27.000 --> 12:34.000]  But when the government buys the ammunition, well, they're thinking of something. Something's got to be in their mind.
[12:34.000 --> 12:38.000]  I can't claim to know what that is. But that's the story I have for you today, that analysis.
[12:38.000 --> 12:45.000]  Is that posted on infowars.com yet, guys? I know it's up on natural news as of this morning.
[12:45.000 --> 12:51.000]  Okay, that should be up on infowars later today. We'll see how quickly that gets up there.
[12:51.000 --> 13:01.000]  Anyway, I want to show you that ammo because I think it's important for people to understand the difference for those of you who may not be familiar with hollow point versus full metal jacket.
[13:01.000 --> 13:10.000]  Now, moving on, because I don't want to focus on that disturbing story anymore. Not a good story for a Sunday, is it?
[13:10.000 --> 13:17.000]  By the way, I'm wearing the Infowars May the Truth Be With You T-shirt. Oh, here we go. You can see it.
[13:17.000 --> 13:21.000]  What a beautiful gradient logo here. Obviously, it looks a little bit like Star Wars.
[13:21.000 --> 13:27.000]  I love this shirt. You can get these at theinfowars.com store. It's one of the many shirts and DVDs that are available there.
[13:27.000 --> 13:34.000]  All of them help support this broadcast. There you go. Infowars May the Truth Be With You.
[13:34.000 --> 13:44.000]  Absolutely, yeah. One of the last remaining strength, bastions of truth and strength in the alternative media today.
[13:44.000 --> 13:52.000]  Let's move right into vaccinations. We've got a couple minutes on that before the next break. Check this out.
[13:52.000 --> 13:57.000]  Remember when they said that vaccines don't cause seizures? They said that for years.
[13:57.000 --> 14:05.000]  Even while Infowars and Natural News and other organizations were reporting, hey, wait a minute, these vaccines are causing babies to go into seizures.
[14:05.000 --> 14:11.000]  And some of them are dying. Some of the babies are ending up in the hospital in comas. Some of them end up paralyzed.
[14:11.000 --> 14:20.000]  This is fact. This is happening right now. Well, the vaccine industry and all of its paid-off doctors and vaccine pimps all said,
[14:20.000 --> 14:26.000]  no, it's not possible. Those vaccines couldn't cause those seizures. It's just not possible.
[14:26.000 --> 14:34.000]  If it was, if they were causing that, we would know about it, they say. Well, it turns out not only do they cause these seizures,
[14:34.000 --> 14:40.000]  but now the medical system admits that the seizures are being caused by the vaccines.
[14:40.000 --> 14:46.000]  And now they say you're supposed to ignore the seizures because that means the vaccines are working.
[14:46.000 --> 14:51.000]  Are you getting this? All right. First, there were no seizures caused by vaccines, they say.
[14:51.000 --> 14:56.000]  Now they say, oh, yeah, there are vaccines, but the vaccines are good for your baby.
[14:56.000 --> 15:00.000]  The seizures are good for your baby because they show the vaccines are working.
[15:00.000 --> 15:09.000]  Now they say you're supposed to have, you're supposed to show these five S's when your baby is suffering from a seizure
[15:09.000 --> 15:15.000]  and the brain is being eaten by the mercury and the formaldehyde and the other chemicals in this vaccine.
[15:15.000 --> 15:20.000]  As your child is suffering and their neurology is going haywire and they're actually burning out their brain,
[15:20.000 --> 15:28.000]  you're supposed to do these five S's as a parent. The five S's, they are, believe it or not, swaddling side position,
[15:28.000 --> 15:36.000]  shushing, swinging and sucking. Sounds like a bad weekend in Vegas to me, but that's what they're telling parents to do
[15:36.000 --> 15:42.000]  to their babies when they're suffering from a vaccine seizure. It's true. We'll have more details on that.
[15:42.000 --> 15:46.000]  Plus, another death of a baby after nine vaccines and one day all that and much more.
[15:46.000 --> 16:13.000]  Right here on the Alex Jones Show Stay With Us, we'll be right back with much more.
[16:16.000 --> 16:42.000]  We'll be right back with more details on that.
[16:42.000 --> 16:47.000]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[16:47.000 --> 16:52.000]  Give Eat Foods Direct a call and order one of the Alex Jones Family Packs and test it out today.
[16:52.000 --> 17:00.000]  Start your journey of food independence today at eatfoodsdirect.com forward slash Alex or call 800-409-5633.
[17:00.000 --> 17:07.000]  I had tried everything. I'd cut back the amount of food I was eating. I was lifting weights and jogging, but nothing was working.
[17:07.000 --> 17:12.000]  My body was literally starving for minerals and trace elements as well as key vitamins.
[17:12.000 --> 17:19.000]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[17:19.000 --> 17:30.000]  Now, there are hundreds of great products at infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[17:30.000 --> 17:41.000]  Products like Beyond Tangy Tangerine, Holland Burst, and Rebound. When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[17:41.000 --> 17:49.000]  Now, that's results. I want to challenge my listeners to go to infowarsteam.com and to order just three of their products.
[17:49.000 --> 17:55.000]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[17:55.000 --> 18:00.000]  Your journey to health and wellness today, infowarsteam.com.
[18:00.000 --> 18:07.000]  When you're out on the road, the last place you want to be is on the road.
[18:07.000 --> 18:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[18:12.000 --> 18:29.000]  There's a place down in Tennessee where they make blue diamond gusset jeans. They so pride in every stitch, guarantee you love the way they fit.
[18:29.000 --> 18:39.000]  They put a diamond gusset in the crotch where you need it most. Blue diamond gussets got it, others don't.
[18:39.000 --> 18:46.000]  We turned jeans inside out, diamond gusset jeans made in the USA with unparalleled quality.
[18:46.000 --> 18:52.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[18:52.000 --> 19:10.000]  Order yours at gusset.com. Diamond gusset jeans got it, others don't.
[19:23.000 --> 19:29.000]  Call 800-340-7091 for a free catalog.
[19:29.000 --> 19:35.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[19:35.000 --> 19:40.000]  Or save big with a one to two year supply of soaps for all your cleaning needs.
[19:40.000 --> 19:47.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[19:47.000 --> 19:55.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[20:17.000 --> 20:25.000]  We now take you live to the Central Texas Command Center and the heart of the Resistance.
[20:25.000 --> 20:32.000]  Rallying Patriots Worldwide.
[20:32.000 --> 20:39.000]  You're listening to the Alex Jones Show.
[20:39.000 --> 20:47.000]  Yeah, we're back here on April 22nd of Sunday. I hope you're enjoying your weekend as we move through 2012.
[20:47.000 --> 20:50.000]  The year that many people think something is up, something interesting is going to happen.
[20:50.000 --> 20:54.000]  I tell you, every day something interesting happens. Just looking at the news.
[20:54.000 --> 21:00.000]  I'm sure if you follow the Alex Jones Show and infowars.com, you're seeing a lot of interesting things happening.
[21:00.000 --> 21:05.000]  We just covered this DHS purchase of 450 million rounds of hollow point ammo.
[21:05.000 --> 21:13.000]  You gotta wonder what that's for. Now we've been moving on to the vaccination story where doctors are now telling parents to ignore the symptoms of seizure
[21:13.000 --> 21:17.000]  when their babies have seizures after receiving vaccines. Now they say that's good for your baby.
[21:17.000 --> 21:21.000]  Doctors are also saying you should drug your baby before they receive a vaccine.
[21:21.000 --> 21:29.000]  Give them painkiller drugs so that they don't show symptoms of feeling the pain and you should put them to sleep.
[21:29.000 --> 21:38.000]  Let them sleep and use these five S's technique that we talked about before the break and just let your baby just get their brain eaten away, basically.
[21:38.000 --> 21:50.000]  I hope you realize how astonishing this is that in civilization today, the medical establishment is so wedded, so invested in their vaccine mythology
[21:50.000 --> 21:57.000]  that vaccines are good for you. It's like essential nutrition that your immune system couldn't even work without these vaccines.
[21:57.000 --> 22:04.000]  They're so invested in that idea that even as it comes out that vaccines are killing babies and causing seizures and maiming children
[22:04.000 --> 22:12.000]  and hurting even many teenagers and adults and senior citizens as well, even as that news comes out, they have to now spin it and say,
[22:12.000 --> 22:21.000]  well, that's good for the baby. Remember that news clip? It's been played here on Infowars many times about, I don't know if it was a local TV news affiliate
[22:21.000 --> 22:28.000]  that said the mercury in vaccines is good for your baby. Mercury makes the vaccines work better. Oh, yeah.
[22:28.000 --> 22:34.000]  Yeah, inject a little mercury. It's actually very, very good for you. Anyway, at the bottom of the hour here coming up in about 10 minutes or so,
[22:34.000 --> 22:42.000]  we're going to be joined by John Rappaport from NoMoreFakeNews.com. He'll be giving us a little more detail about what this vaccination information means.
[22:42.000 --> 22:49.000]  So we'll come back to that story. Moving on, I wanted to cover this. The Hunger Games has been a very popular movie out there.
[22:49.000 --> 22:56.000]  And as I hinted earlier, I've got ahead and read the following two books called Catching Fire and Mockingjay.
[22:56.000 --> 23:06.000]  These are books by Suzanne Collins. They're actually written for more of a younger audience, but they've become kind of a big popular movement to go watch this movie,
[23:06.000 --> 23:14.000]  even among people who are into patriotism and into freedom and into questioning their governments when those governments become tyrannical.
[23:14.000 --> 23:23.000]  And there's been a lot of speculation about what kind of person is Suzanne Collins. Is she saying we should be in favor of liberty?
[23:23.000 --> 23:32.000]  What's the hidden message in the book? Well, it turns out that after going through these two books, it's very clear, her position.
[23:32.000 --> 23:40.000]  In the two books following the movie The Hunger Games, and there's a slight spoiler in here, the rebels from the districts,
[23:40.000 --> 23:45.000]  it turns out there are 13 districts, not just 12, they do overthrow their corrupt government.
[23:45.000 --> 23:55.000]  The Capitol gets completely overthrown, and the President Snow, who was played by Donald Sutherland in The Hunger Games,
[23:55.000 --> 24:02.000]  he actually dies as he's about to be killed in the overthrow of the government.
[24:02.000 --> 24:10.000]  And there are some very important messages in this. Suzanne Collins, she talks about the districts forming a republic.
[24:10.000 --> 24:15.000]  So when they overthrow the Capitol, their idea is to have a representative form of government.
[24:15.000 --> 24:26.000]  In the commentary about her book, she also talks about the three things that are common in mythology throughout history that led her to write this film.
[24:26.000 --> 24:32.000]  And that is number one, Ruthless Government, and she refers to Rome as another example of that.
[24:32.000 --> 24:40.000]  In fact, she refers to Spartacus, and she says Spartacus is reflected in the Katniss Everdeen character that is the star of The Hunger Games.
[24:40.000 --> 24:48.000]  She also talks about the Roman gladiator games, and she specifically uses the phrase bread and circuses in the third book of The Hunger Games.
[24:48.000 --> 24:57.000]  And she talks about how Spartacus started an uprising and then challenged the corrupt government there to work to bring liberty to the people.
[24:57.000 --> 25:06.000]  She talks about this Ruthless Government always forces people to fight to the death, and that's what we're seeing more and more in corrupt governments around the world,
[25:06.000 --> 25:11.000]  and then that that's used as a popular form of entertainment. And specifically, she asks these questions.
[25:11.000 --> 25:20.000]  She says, when you look at government today, what do you think about the choices your government is making or other governments around the world?
[25:20.000 --> 25:26.000]  She asks, what is your relationship to reality TV and your relationship to the news?
[25:26.000 --> 25:35.000]  And she says that her Hunger Games was kind of a combination of reality TV and news combined, which is a lot like what we get today,
[25:35.000 --> 25:42.000]  this sort of fictional construct, this hologram of fabrication that the White House tries to spin for us.
[25:42.000 --> 25:49.000]  The movie has much in common with that. And then she asks, was there anything in the book that disturbs you that reflects things in your own life?
[25:49.000 --> 25:57.000]  She's essentially asking you to look around and look at what's happening in society today to question government, to question reality,
[25:57.000 --> 26:05.000]  to stop watching the TV and the reality games and get out of the bread and circuses mindset and start thinking about the real world around you.
[26:05.000 --> 26:13.000]  She's not been doing interviews, Suzanne Collins, the author, and I believe Alex Jones was hoping to get her on the show,
[26:13.000 --> 26:20.000]  but her publisher said that she wasn't doing any interviews with anyone, but it's very clear that we don't need to.
[26:20.000 --> 26:28.000]  Her book says the whole story. She is pro-liberty, she supports the idea of a republic, she sees the government as being engaged in bread and circuses,
[26:28.000 --> 26:39.000]  and she is against over-oppressive, tyrannical governments, and she understands it, she understands that the capital ends up becoming this parade of these
[26:39.000 --> 26:50.000]  nitty, cosmetically modified, genetically modified total miscreants who have no, they don't know reality. Meanwhile, the 12 districts provide all the food,
[26:50.000 --> 26:58.000]  provide the coal, provide the manufacturing base, and it turns out that the so-called peacekeepers in this film, you know, the peacekeepers,
[26:58.000 --> 27:05.000]  which are really the capital soldiers, they come from district two. So the peacekeepers are actually recruited from the public,
[27:05.000 --> 27:15.000]  which is exactly what we're seeing today with the TSA. Yes, the TSA is, I think, the peacekeepers from this film,
[27:15.000 --> 27:25.000]  and the TSA, of course, is recruited from everyday mainstream perverts, I might say, some of the most bizarre people who are still sort of mainstream people,
[27:25.000 --> 27:34.000]  and they are then recruited to oppress and hammer down on the common people, let them know who's in charge and strip away their liberties and so on.
[27:34.000 --> 27:43.000]  So all of that is going on today. Let me make a prediction here, by the way. When we talk about the 450 million rounds of hollow point ammo at DHS,
[27:43.000 --> 27:51.000]  and then we talk about the TSA, and then the Hunger Games, they all have something in common. The common thread is that I believe we're going to see the TSA
[27:51.000 --> 27:59.000]  in the next few years being armed. Yes, just like the peacekeepers in the Hunger Games were armed and then used against the people,
[27:59.000 --> 28:08.000]  today I believe we're going to see the TSA agents who will actually be armed and then used at these roadside checkpoints,
[28:08.000 --> 28:15.000]  and they will be the new brown shirts in America. And you've got to wonder why? Why is that the case? Why the TSA? Why give them guns?
[28:15.000 --> 28:23.000]  Precisely because they don't have law enforcement training, because your average, well, and they don't have soldiering training.
[28:23.000 --> 28:31.000]  A typical soldier is going to uphold the Constitution and the Bill of Rights. A typical soldier has ethics and morals.
[28:31.000 --> 28:38.000]  A typical law enforcement officer understands the basics of fundamental human rights. I know there's some exceptions to that,
[28:38.000 --> 28:49.000]  but fundamentally they get it. And so the TSA has been created as a new police force, oppressive agency to bypass basic law and order and sworn oaths of office.
[28:49.000 --> 28:53.000]  And they're going to be armed. They're going to be the peacekeepers, just like we saw from the Hunger Games. A lot more straight ahead.
[28:53.000 --> 29:20.000]  Stay with us on the Alex Jones Show. We'll be right back.
[29:23.000 --> 29:30.000]  We'll be right back.
[29:53.000 --> 30:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[30:04.000 --> 30:14.000]  Number one, new climate legislation could easily double or triple your electric bill. Number two, our new energy czar wants to control how much power your electric company allows you to have.
[30:14.000 --> 30:20.000]  It's true. Total government control of electricity in the name of smart grid technology is coming.
[30:20.000 --> 30:28.000]  Number three, in some areas of the country, the power grid is dangerously overloaded. And now new socialist legislation is only compounding the problem.
[30:28.000 --> 30:35.000]  Number four, dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather related onages.
[30:35.000 --> 30:45.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[30:45.000 --> 31:01.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[31:01.000 --> 31:14.000]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator. Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[31:14.000 --> 31:30.000]  The respiratory system is the first line of defense for airborne pathogens and viruses. The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[31:30.000 --> 31:45.000]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator. Very easy to follow step by step instructions are provided, making production fast and simple.
[31:45.000 --> 32:00.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator. That's www.silverlungs.com.
[32:16.000 --> 32:29.000]  Now there are hundreds of great products at infowarsteam.com but I want to point out the three that have helped me lose 37 pounds in just two months.
[32:29.000 --> 32:54.000]  Products like Beyond Tangy Tangerine, Holland Burst and Rebound. When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months. Now that's results. I want to challenge my listeners to go to infowarsteam.com and to order just three of their products and you will see the changes in the way you look, feel and in your appetite almost immediately.
[32:54.000 --> 33:01.000]  Start your journey to health and wellness today. Infowarsteam.com
[33:01.000 --> 33:10.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[33:10.000 --> 33:29.000]  Yeah, we're right here on the front lines of the Infowar in my Infowarsteam shirt today. Infowars, may the truth be with you. Oh yeah.
[33:29.000 --> 33:41.000]  Yeah, this is Mike Adams filling in today for Alex Jones on the Alex Jones Show Sunday edition live on this April 22nd. I hope you're enjoying the show. We've got a lot more coming up for you. John Rappaport is joining us in just a couple of minutes here.
[33:41.000 --> 33:53.000]  In fact, we've got them online, but I want to cover this first. There has been some controversy about, let's say, an ad put out by the Kraft Corporation.
[33:53.000 --> 34:02.000]  This was an ad created by their public relations agency and it shows an infant breastfeeding and holding up an Oreo cookie.
[34:02.000 --> 34:09.000]  So while the infant's mouth is occupied with the breastfeeding action, the hand of the baby is holding up the Oreo cookie.
[34:09.000 --> 34:23.000]  The message to me when you look at that is that I guess the Oreo cookies are just as good a nutrition as human breast milk, which is an absurd statement trying to make these two things equal.
[34:23.000 --> 34:39.000]  By the way, you can search that. Just search online for Kraft Foods Oreo cookie breastfeeding if you want. We're not going to show it here because we just don't want to take part in that sort of, I don't know, this sort of corporate porn that they're putting out.
[34:39.000 --> 34:45.000]  Remember the deal last week with what was it HBO put out that story about the four-year-olds? I'm not even going to go into it.
[34:45.000 --> 34:55.000]  But this is breastfeeding with Oreo cookies. So I went into my museum. I have a museum because I am the health ranger.
[34:55.000 --> 35:03.000]  I collect all kinds of memorabilia of advertising and props from the history of junk food advertising.
[35:03.000 --> 35:18.000]  And I brought in here today into the studio a rare print from 1953 by the 7-Up Company showing the advertising of 7-Up to infants, toddlers in this case, and young children.
[35:18.000 --> 35:37.000]  And I also brought in a 7-Up baby bottle. I'm going to show you right here. This is a baby bottle. Well, there we go. You can feed 7-Up to your baby with a 7-Up branded baby bottle because high fructose corn syrup, let's remember, is really good for babies just like vaccines.
[35:37.000 --> 35:48.000]  Give them more seizures. And that's good for them. Of course, I'm being sarcastic. Let me read you from this ad. Go ahead with that overhead shot if you can get that.
[35:48.000 --> 35:57.000]  And you can watch this on PrismPlanet.tv. But here's the ad for 7-Up. It shows a baby in a sailor hat with a bottle of 7-Up right here.
[35:57.000 --> 36:07.000]  And it says the all family drink. Here's the text. Fresh up with 7-Up. Looks like your skipper orders nothing but the best sailor boy.
