[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[04:24.600 --> 04:32.600]  And he'd know all about that, having covertly provided direct military, financial and logistical support to ISIS for years.
[04:32.600 --> 04:36.600]  But what Trump's done is beyond insane. He's playing with fire.
[04:36.600 --> 04:41.600]  Hamas has threatened to open the gates of hell because they've never done that before.
[04:41.600 --> 04:48.600]  But aside from all that, how stupid, how stupid is it that Jerusalem could be considered the capital of Israel?
[04:48.600 --> 04:51.600]  It's not like Israel won a war or something to secure.
[04:51.600 --> 04:53.600]  All right, folks, the broadcast starts.
[04:53.600 --> 04:56.600]  Here in just a few minutes. Stay with us.
[04:58.600 --> 05:04.600]  After years of research working with top developers here in the United States with the latest cutting edge science,
[05:04.600 --> 05:09.600]  we are rolling out three new digestive gut aids.
[05:09.600 --> 05:17.600]  One of them is a powerful, pro-digestive enzyme, carnivore, for being able to break down meat and other proteins better.
[05:17.600 --> 05:27.600]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
[05:27.600 --> 05:32.600]  And we also have an everyday, extremely affordable fluorolive everyday maintenance.
[05:32.600 --> 05:42.600]  But all of these are the very cutting edge, top of the line probiotics and digestive enzymes at an extremely affordable price.
[05:42.600 --> 05:48.600]  That is my goal here, is to bring you the very best at the lowest price.
[05:48.600 --> 06:10.600]  When you purchase it at m4store.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[06:10.600 --> 06:19.600]  You found it. The tip of the spear. It is the Alex Jones show.
[06:19.600 --> 06:25.600]  Ladies and gentlemen, we're back live broadcasting worldwide. Another week spans out before us.
[06:25.600 --> 06:31.600]  It is the 11th day of December, 2017. We're going to be live here for the next four hours.
[06:31.600 --> 06:41.600]  Well, another day, another Christmas holiday season and more Islamic terror attacks.
[06:41.600 --> 06:52.600]  And right on time, Google is a story up on m4store.com with the screenshots is censoring and sending threatening notices to major libertarian and conservative news outlets saying,
[06:52.600 --> 07:01.600]  Don't say this is Islamic or will shut you down. That's right. And Facebook called us up just last week and said,
[07:01.600 --> 07:08.600]  You don't criticize transsexualism being taught to elementary school students or will shut you down.
[07:08.600 --> 07:15.600]  They actually call us now. That's the new face. They send you notices. They call you Google, Twitter, Facebook.
[07:15.600 --> 07:21.600]  They always work together in concert to censor. We get to always enjoy the new level of it.
[07:21.600 --> 07:25.600]  Remember three weeks ago, they had congressional hearings and they said,
[07:25.600 --> 07:31.600]  Don't worry. We censored info wars at lunch. Google, Facebook, Twitter executives.
[07:31.600 --> 07:37.600]  They had Congressman Wiggly out of Illinois, not making that name up.
[07:37.600 --> 07:44.600]  Piggly Wiggly. And he said, Listen, I saw their story about the truck attack was number one.
[07:44.600 --> 07:49.600]  And it was terrible, fake news. They said, We know, sir, we took it down over lunch.
[07:49.600 --> 07:53.600]  There's the headline. We'll see the video. Twitter, Google admits deliberately censoring info wars.
[07:53.600 --> 07:59.600]  And again, this is bigger than info wars. They're now sending notices to the Daily Caller,
[07:59.600 --> 08:05.600]  CNS News, a bunch of other people saying you better watch what you say.
[08:05.600 --> 08:12.600]  Here's our terms of services. You don't say this is an Islamic attack in Sweden, in Germany.
[08:12.600 --> 08:17.600]  You name it, they will send actual police to your house, but he gets better.
[08:17.600 --> 08:23.600]  Guess who Facebook hired two years ago to oversee all this and to implement it?
[08:23.600 --> 08:28.600]  Guess who? The former high level Stasi operatives.
[08:28.600 --> 08:36.600]  So Imam Warren de Blasio about New York City terror. He was too busy bashing Trump.
[08:36.600 --> 08:43.600]  He did nothing. And the ISIS folks have been saying they're going to strike New York with trucks and with bombs and the rest of it.
[08:43.600 --> 08:47.600]  The Blasio says, Oh, we want more unvetted people in here. Trump is bad.
[08:47.600 --> 08:52.600]  Come here. We'll be a sanctuary city for unvetted military aged men from the Middle East.
[08:52.600 --> 08:58.600]  You've got an Imam that's all over Fox News, all over the place coming out and saying,
[08:58.600 --> 09:04.600]  I've been in these mosques. They're preparing attacks a month before this happened a couple months ago.
[09:04.600 --> 09:12.600]  And they say that's fake news. You know why it's fake because it's number one and it's the truth and they don't like it.
[09:12.600 --> 09:18.600]  So every time we're number one, they just knock us down where nobody can read it. Nobody can see it.
[09:18.600 --> 09:26.600]  But that's on their platforms. They can't stop you from spreading the articles on info wars.com and prisonplanet.com
[09:26.600 --> 09:35.600]  and giving it to friends and family and showing it to coworkers and showing it to your church or showing it to your pastors.
[09:35.600 --> 09:43.600]  And you can see the warnings in 2016 from the particular Imam that we just put on screen who's very well known.
[09:43.600 --> 09:52.600]  Again, they said that was fake. I don't want to make it about us. It's about there's an Islamic attack by a guy with a suicide vest.
[09:52.600 --> 09:59.600]  It looks like only the detonator went off hurt him and three other people. Thank God didn't hurt more people.
[09:59.600 --> 10:08.600]  And of course, he's pledging allegiance to ISIS. Of course, it's the same story. Akkadula.
[10:08.600 --> 10:18.600]  So it just goes on and on. Flashback. ISIS threatened New York City Christmas bombing just weeks ago.
[10:18.600 --> 10:35.600]  Jihadist warned of attacks across West during Christian holidays. That's on news wars.com. We have where they warned. But again, if we say they're warning of attacks and if we break down news and places where people warned that the attacks were coming because it's so on target,
[10:35.600 --> 10:44.600]  it shows that people warned, it shows that people predicted, it shows that people were accurate. That's the kind of news they call fake because it's so real.
[10:44.600 --> 10:50.600]  It's so bonafide. It's so confirmed. It's so accurate.
[10:50.600 --> 11:00.600]  That's what they ban. Like Trump's going to win. They're giving Hillary 15 more points in the polls. Boom. He won. It's a credibility issue.
[11:00.600 --> 11:15.600]  They want to shut us down because we are credible, because we point out their lies. Just look at the last few weeks. We were the first in every case to go. That WikiLeaks info was out months before.
[11:15.600 --> 11:29.600]  And that is fake. And everybody was given the key. Boom. Hours later, they admit it's fake. We were the first to sit there and break down the fact that Flynn was only contacting the Russians after the president was president-elect.
[11:29.600 --> 11:39.600]  Boom. That was all confirmed. Same week. We were there saying, Deutsche Bank has said that we've not received any information. That was day one. I said, sounds fake again.
[11:39.600 --> 11:49.600]  Because you learn how they operate just like three months ago. And I'm not bragging. I'm explaining why they hate us because we've got the research we're focused.
[11:49.600 --> 12:00.600]  Remember, I said they're burning Weinstein and they're burning all these other Hollywood folks because A, in one case, the Weinstein company and his brother want to get rid of him.
[12:00.600 --> 12:18.600]  All these other shoes are about to drop. The cover-ups aren't working. They want to create this sacrificial lamb atmosphere where they are able to create the illusion that the Democrats have done the right thing,
[12:18.600 --> 12:31.600]  getting rid of their bad people, and that the Republicans haven't, and create the perception that Trump should step down, too, if everybody else steps down for mere allegations.
[12:31.600 --> 12:39.600]  You see, it's the Democratic Party throwing some of their people under the bus that really didn't do anything. Many of them did.
[12:39.600 --> 12:49.600]  That then tries to create that perception so that everyone basically then goes along with it. And now, what is CNN saying? What is Fox saying? What is MSNBC saying?
[12:49.600 --> 12:58.600]  What are the Democrat strategists on CNN admitting? They're going, actually, we're doing this, doing credibility with the voters back, and it's the right thing to do.
[12:58.600 --> 13:05.600]  And so we can create the perception that Trump needs to step down. That's all this is. And what do we say day one?
[13:05.600 --> 13:17.600]  Whatever the Democrats are doing in bed with Russia, selling us out to globalists, illegal servers, robbing tax-free foundation funds, that's what they say Trump's done.
[13:17.600 --> 13:33.600]  They knew Jerry Epstein and the Lolita Express and Bill Clinton and Hillary on board the aircraft used to transport kidnapped children, flying to known Sheik's palaces in the Middle East that publicly have sex with children, some of those kingdoms that it's legal.
[13:33.600 --> 13:46.600]  And they knew that was their super weak spot. So now it's breaking that the head of Fusion GPS was behind the attempt to tie Trump to Clinton's pedophile friend Epstein when there were no connections.
[13:46.600 --> 13:54.600]  Trump's a celebrity, a few big public parties or events. The two have been photographed together, but never on the airplane, never at his house, never doing all this stuff.
[13:54.600 --> 14:04.600]  But they knew that was the main weakness for the Clintons, so they then, just like they said, oh, Trump's a Russian agent, oh, he is involved with Epstein.
[14:04.600 --> 14:23.600]  Then have Jane Doze, who didn't even show up in court, fake names, gnome diplomas, file reports that Epstein and Trump, whenever Trump, 25 years ago, supposedly having sex with 15-year-old girls, isn't that just incredible?
[14:23.600 --> 14:31.600]  Bill Clinton ditched Secret Service on multiple Alita Express flights report. There's the Washington Times. So that's all confirmed.
[14:31.600 --> 14:39.600]  And Mr. Bongino and other senior Secret Service agents that have gotten out because of the corruption have said that Clintons are so evil, it's worse than I say.
[14:39.600 --> 14:53.600]  Worse than Alex Jones says, worse than Info Wars. And now Bongino says, you better watch out to the Democrats in tweets because Secret Service knows what went on on the Alita Express with Jerry Epstein and Bill Clinton.
[14:53.600 --> 15:00.600]  And don't you know that all the Blackberries didn't get erased? And so the Secret Service knows what was really going on.
[15:00.600 --> 15:10.600]  So you better shut your mouth calling me a liar. And you better shut your mouth saying Bill Clinton didn't abuse women. You understand, little man? You actually said that.
[15:10.600 --> 15:25.600]  You know what? The guy shut his mouth. So I say, release everything. Release it all. Release the hounds. Let's go thermal nuclear. Release all the Clinton pedophile garbage.
[15:25.600 --> 15:32.600]  We know their eyeballs in it. They love torturing people. They love hurting children. God, they're demons from hell.
[15:32.600 --> 15:42.600]  Hillary's first job was supporting vicious child rapists. That these rape women break their jaws, just rape them till their insides come out.
[15:42.600 --> 15:50.600]  Animals. That's who they are. They're demon animals that are totally selfish. All about them and all about how they're going to hurt you.
[15:50.600 --> 15:56.600]  That's why they love radical Islam and have visited another attack on us for Christmas as usual.
[16:20.600 --> 16:38.600]  The answer to being in control of your own health care is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[16:38.600 --> 16:45.600]  Individual share amounts begin at $107 a month and $347 for families. Choose from three health sharing programs.
[16:45.600 --> 16:52.600]  Polistic treatments may be eligible for sharing. See guidelines. Discount programs available for dental, vision and pharmacy.
[16:52.600 --> 17:18.600]  Go to libertyoncall.org. That's libertyoncall.org.
[17:22.600 --> 17:27.600]  Our free 30-day trial, virtualshield.com. You have the right to remain private.
[17:27.600 --> 17:31.600]  Excuse me, sir. Could you please take a picture of my family and me with my cell phone?
[17:31.600 --> 17:35.600]  Sure, Mrs. Anderson. Smile for the camera.
[17:35.600 --> 17:42.600]  Too bad hackers never get proper permission to access your cell phone or computer camera. Anyone is or could be susceptible to illegal spying.
[17:42.600 --> 17:49.600]  That's why virtualshield.com has developed Identisafe, a new security software that blocks camera and microphone access from unwanted spies.
[17:49.600 --> 17:57.600]  Get started today at virtualshield.com. Take advantage of our free 30-day trial, virtualshield.com. You have the right to remain private.
[18:20.600 --> 18:27.600]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com.
[18:27.600 --> 18:34.600]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:34.600 --> 18:41.600]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:41.600 --> 18:49.600]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[18:49.600 --> 18:55.600]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[18:55.600 --> 19:11.600]  Available at infowarslife.com.
[19:26.600 --> 19:38.600]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[19:38.600 --> 19:45.600]  Super blue, fluoride-free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[19:45.600 --> 19:56.600]  All nano-silver and iodine. Notice the difference with our super blue fluoride-free products. Refresh your breath and invigorate your oral health routine at infowarslife.com.
[19:56.600 --> 20:16.600]  That's infowarstore.com.
[20:27.600 --> 20:42.600]  Again, ladies and gentlemen, why is it so important that months ago I laid out specifically and exactly how they would build this momentum by denouncing their own people,
[20:42.600 --> 20:51.600]  throwing them out of the bus, making mere allegations like Judge Jury and Executioner, and get rid of their own people. What were they doing it for?
[20:51.600 --> 21:04.600]  Well, they knew that folks like John Conyers and Al Franken and Harvey Weinstein, they were all dead weight. They all had enemies in the power structure that wanted to get rid of them.
[21:04.600 --> 21:15.600]  Kevin Spacey, they believed his career had basically peaked. Everybody knew, and now it was time to start burning them, have the media give it attention,
[21:15.600 --> 21:26.600]  instead of covering it up to create the atmosphere where then people could say, well, this is hypocritical, Trump needs to go because there have been allegations.
[21:26.600 --> 21:35.600]  They've already tried race war, they've already tried culture war, they've already tried all these other hoaxes, derail the economy to derail what we're doing.
[21:35.600 --> 21:48.600]  So they're having people fall on their swords in highly Democrat districts where Al Franken won by a million and a half votes, where John Conyers wins by something like 25%.
[21:48.600 --> 22:02.600]  All of these are key areas where they just get rid of some dead wood in a safe district and then bring their people into the next election and then look like they're strong, look like they're good, look like they're doing the right thing.
[22:02.600 --> 22:14.600]  And that is exactly what they're doing. And remember, here's the key. Here's the big enchilada for the whole thing that should outrage anybody that's a thinking person.
[22:14.600 --> 22:23.600]  They covered up Weinstein for 25 years. They covered up Spacey. They covered up Conyers. They covered up Franken.
[22:23.600 --> 22:33.600]  They covered up with the big slush fund that they say now is 90% Democrat in Congress paying out not 18 million like they first said.
[22:33.600 --> 22:42.600]  Now they're reporting it's hundreds of millions because there's multiple slush funds from every Congress every two years.
[22:42.600 --> 23:04.600]  So there's a bunch of payouts, a bunch of slush funds, a bunch of hush money, and it's mainly Democrats. And you got Bill Clinton and all his rapes he settled and all the other reports and flying around on Alita Express with Harvey Weinstein, with Kevin Spacey, with all of these individuals.
[23:04.600 --> 23:14.600]  Bill Clinton, Hillary Clinton, and it's all coming out just like Russia was going to come out, just like the pedophilia was going to come out.
[23:14.600 --> 23:24.600]  And they know Trump's making his big run to go after the pedophile networks. They've been using the blackmail and control the Democrats and Republicans.
[23:24.600 --> 23:38.600]  And so that's why they had five lawsuits filed by fake people that never showed up, that didn't exist, that Donald Trump raped little girls with Mr. Epstein.
[23:38.600 --> 23:54.600]  Because you got Bill Clinton on the plane going dozens of times to the island and going to Sheik's Islands on the plane with 10-year-old girls, folks, 10-year-old girls as young as 10, most of them about 14.
[23:54.600 --> 24:11.600]  And they posed with photos with them, Bill Clinton, Epstein, all of them with little girls. And you've got Spacey on board and you know what they got for him, just like they get Sprite and Coca-Cola and pizzas or whatever is in the refrigerator.
[24:11.600 --> 24:27.600]  Hey, there's little kids because we're the elite and we get the caviar we want. New York Post, the slave scandal that exposed pedophile billionaire Jeffrey Epstein, the slave scandal, the sex slave scandal, sex slave, sex slave.
[24:27.600 --> 24:47.600]  And now you've got all these big Soros hedge fund managers busted running sex slavery of women and little girls. Dungeons, dungeons. This is who's been running our country.
[24:47.600 --> 24:54.600]  Trump's coming after them. What are they going to do? What are they going to do?
[24:54.600 --> 25:10.600]  Trump, his whole life has been about playing it safe, being straight edge so that he can win. And he's a moral guy. He's very fastidious and he's a germaphobe. And I've talked to people who have known him 50 years, not just 40, something like Roger.
[25:10.600 --> 25:28.600]  One woman man, germaphobe, courts women, gives them all this stuff in between marriages. We're not saying that's perfect. And then when he finally wants a woman, then he agonizes it over it and even would talk to his sons when they were young adults about, well, do you like this woman and stuff?
[25:28.600 --> 25:40.600]  I mean, women, I'm just going to tell you right now, because I got this intel two years ago, because I'm checking things. Let's just say this. Donald Trump doesn't have sex on the first date or the 30th date.
[25:40.600 --> 25:51.600]  He is looking for the very best. And you can see with his wife right now, he's got it. That's about as good as it gets right there in my view. Strong, focused, powerful.
[25:51.600 --> 26:00.600]  I've met her and I've been in her presence a few times. I mean, it's just in her presence in person. It's like, that's a goddess right there. Just the energy is radiant.
[26:00.600 --> 26:13.600]  Donald Trump's not in hotel rooms with hookers urinating on him. He'd know the Russians were watching it. Plus, he's a germaphobe.
[26:13.600 --> 26:23.600]  He's told people privately, he goes, one of the biggest things he got over was shaking people's hands. The guy's a germaphobe.
[26:23.600 --> 26:38.600]  And it's all completely made up, but they're building this giant wall that Donald Trump, that Donald Trump has done all these things and none of it's true.
[26:38.600 --> 26:47.600]  None of it. None of it. If it was true, if I looked into these lawsuits two years ago and there was something real there, then I would be concerned.
[26:47.600 --> 27:01.600]  Nothing. Nothing. There's nothing. It's all lies. And then you look at Bill Clinton and Hillary and Epstein and Weinstein and Hollywood and Hillary and it's just and de Blasio's office.
[27:01.600 --> 27:10.600]  All the pedophilia bust in there. I mean, Trump is whoring in on these people. He's got them in target sites. They are scared.
[27:10.600 --> 27:17.600]  And so they start trying to conflate it. They water it down. What do you do when there's something so bombshell? It'll bring them down. You water it down.
[27:17.600 --> 27:25.600]  Like you water down liquor. You water it down. You water it down with, oh, this guy raped. Oh, this guy asked a girl out.
[27:25.600 --> 27:32.600]  This guy, everybody says, Frank's is like the most conservative to the neurotic point. You know, the extreme end of conservatism.
[27:32.600 --> 27:42.600]  His wife and they already had one child through surrogacy. He's going around handing out contracts saying, look over this, I'd pay as much as $5 million.
[27:42.600 --> 27:50.600]  You go, an egg, a sperm are put together in a Petri dish implanted, nothing sex between you and Frank's not there.
[27:50.600 --> 28:03.600]  He steps down over these women that had taken the deal would have been winning the lottery from a self-made oil man who was homeless when he was a kid for a while and took care of his younger siblings.
[28:03.600 --> 28:15.600]  I mean, I've looked into Frank, the American success story, cleft lip, hold nine yards, ends up, you know, homeless, ends up being successful.
[28:15.600 --> 28:23.600]  But again, again, the women said, well, maybe they did do what surrogacy meant. They thought maybe he wanted to have sex with them like Handmaiden's tale.
[28:23.600 --> 28:26.600]  No, it was, hey, you're healthy. Come from a good family.
[28:26.600 --> 28:35.600]  You know, but it's not even their genetics. It's his wife and him because his wife can't have the baby. She's got eggs.
[28:35.600 --> 28:40.600]  She just, she just can't have a baby in her uterus and they turn into that.
[28:40.600 --> 28:54.600]  Meanwhile, you've got airplanes with kidnap kids on them confirmed with Bill Clinton and all these people and they compare that, ladies and gentlemen, to somebody asking their secretary out two or three times, which is not good, but it's not the same thing.
[28:54.600 --> 29:17.600]  Where's how many secretaries end up getting married to their rich boss?
[29:17.600 --> 29:27.600]  For more information on how to get married, please visit our website at www.powerprepper.com.
[29:27.600 --> 29:31.600]  Most people think life insurance pays after you're dead. That's true.
[29:31.600 --> 29:36.600]  But did you know you can have tax-free access to your life insurance while you're still alive?
[29:36.600 --> 29:41.600]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[29:41.600 --> 29:45.600]  No stock market risk, no tax risk and no penalties.
[29:45.600 --> 29:49.600]  Call life benefits if you'd like a free book about how this can be done.
[29:49.600 --> 29:59.600]  Call 702-660-7000. That's 702-660-7000.
[29:59.600 --> 30:15.600]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the Info War to fight the globalist and limited free society.
[30:15.600 --> 30:32.600]  For the top, stamina, libido, workout, brain formula that is safe, I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best selling product at infowarslife.com because it works so well.
[30:32.600 --> 30:40.600]  This is a gift you want to give yourself and then rest assured you're fighting the Info War so it's a total absolute sure win, no lose equation.
[30:40.600 --> 30:45.600]  Try Alpha Power exclusively available at infowarslife.com for yourself.
[30:45.600 --> 30:50.600]  Ladies and gentlemen, it's non-GMO, it's for your brain, it's for sports, it's for activities and it's made in the USA.
[30:50.600 --> 31:12.600]  Get your Alpha Power today at infowarslife.com. Everybody needs to try Alpha Power today.
[31:21.600 --> 31:33.600]  Each bottle is jam packed with a powerful antioxidant blend, clinically proven to support and accelerate your body's natural defenses against harmful toxins.
[31:33.600 --> 31:35.600]  It's in your DNA.
[31:35.600 --> 31:39.600]  Go to infowarslife.com right now and check out the reviews for yourself.
[31:39.600 --> 31:49.600]  And now, just in time for Christmas, we are offering DNA Force at 33% off, so take advantage of this incredible deal.
[31:49.600 --> 31:57.600]  Get a bottle of DNA Force today at infowarslife.com or call 1-888-253-3139.
[31:57.600 --> 32:10.600]  Mike in Arizona, you're on the air worldwide, go ahead.
[32:27.600 --> 32:32.600]  Toothpaste fans, the Super Blue is awesome and thank you so much, Alex, for the infowarslife products.
[32:32.600 --> 32:38.600]  They are quality, I can't wait to get some more and thank you so much for doing that for us to keep us healthy.
[32:38.600 --> 32:39.600]  Absolutely.
[32:39.600 --> 32:47.600]  Because then we could all as educated patriots help our other countrymen and women understand that there's bigger problems going on
[32:47.600 --> 32:57.600]  and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[33:17.600 --> 33:22.600]  It's Christmas time in the city.
[33:22.600 --> 33:24.600]  Welcome back, ladies and gentlemen.
[33:24.600 --> 33:26.600]  It's already Monday.
[33:26.600 --> 33:27.600]  Hard to believe.
[33:27.600 --> 33:30.600]  The 11th of December, 2017.
[33:30.600 --> 33:32.600]  I'm your host, Alex Jones.
[33:32.600 --> 33:37.600]  The big takeaway right now is this.
[33:37.600 --> 33:45.600]  I know a PR rollout when I see one from the Democratic Party, from the deep state, from the globalist.
[33:45.600 --> 33:49.600]  And that's how info wars was first months ago.
[33:49.600 --> 33:52.600]  We can put the videos and articles on screen right now.
[33:52.600 --> 34:05.600]  Was the first to predict that this whole Weinstein takedown, Hollywood takedown, Me Too movement, was being hijacked by the Democratic deep state operatives
[34:05.600 --> 34:14.600]  to create the perception that mere allegations mean a man needs to step down to conflate that and then target Donald Trump.
[34:14.600 --> 34:21.600]  And I now have CNN clips, you name it, with their own operatives admitting that that is indeed their plan,
[34:21.600 --> 34:32.600]  that they were just getting rid of dead weight in areas of the country where they already have pretty much guaranteed wins in blue state areas.
[34:32.600 --> 34:42.600]  So I've got that clip coming up later, several clips from CNN, you name it, where they admit all this, and it's so cold-blooded.
[34:42.600 --> 34:46.600]  But these politicos like to talk about how smart they are.
[34:46.600 --> 34:49.600]  So they couch it like, it's the right thing to do.
[34:49.600 --> 34:53.600]  Plus by doing this, we can now get rid of Trump.
[34:53.600 --> 35:03.600]  And then you find out GPS fusion behind attempt to tie Trump to Clinton, pedophile friend Epstein.
[35:03.600 --> 35:13.600]  Man behind the debunked dossier, it's beyond debunked, it's total fiction, pushed the myth of a close relationship with Trump and Epstein.
[35:13.600 --> 35:34.600]  Fusion GPS, the opposition research firm behind this credited Trump dossier used a bias for the government's investigation into the Trump campaign's alleged collusion where the Russia sought to tie Trump to pedophile Jeffrey Epstein, a good friend of former President Bill Clinton and many of the so-called global elite.
[35:34.600 --> 35:42.600]  And then it goes through all the admissions here and now how it's been reported even in major papers that they basically cooked the whole thing up.
[35:42.600 --> 35:50.600]  And they admit here that Trump's ties were mild compared to Bill Clinton's.
[35:50.600 --> 35:54.600]  And it says, strictly social at big public events and dinners.
[35:54.600 --> 36:02.600]  And in his Marlago estate, that's private, but you know, big public gathering for members.
[36:02.600 --> 36:12.600]  While he only served 13 months in prison, it has been alleged that Epstein traffic girls as young as 12 is actually 10 to his private island to engage in sex acts with his rich friends.
[36:12.600 --> 36:21.600]  Well, it's actually come out. He's just so quote powerful and had so many rich friends like the president tied into it that the investigation stopped at that point.
[36:21.600 --> 36:24.600]  So there you go, ladies and gentlemen.
[36:24.600 --> 36:39.600]  George Royer is going to be in studio with us coming up the next segment before he gets in his car and drives down to the Austin Police Department to file a complaint calling for criminal investigation of Antifa.
[36:39.600 --> 36:51.600]  Here in Austin over the weekend, there was a rally, a vigil for Kate Stanley, the woman killed by illegal alien who the San Francisco jury just released saying that, you know, it's, it's, it's, it's, we were politically correct.
[36:51.600 --> 36:55.600]  They just shoot a woman in the back and have her died, not even get a manslaughter charge.
[36:55.600 --> 37:03.600]  Well, the antifa was out there with their guns bumping in and hitting Owen and wouldn't let him wouldn't let him get to the rally.
