[00:00.000 --> 00:03.440]  mainstream media, government cover-ups.
[03:48.800 --> 03:52.800]  Well, when they pull these guys over, and I don't even want to play the audio of that
[03:52.800 --> 03:57.680]  because it's just the Associated Press spinning the story for the police officers.
[03:57.680 --> 04:03.600]  When you see it, more than a dozen officers physically assault three people who pull over.
[04:03.600 --> 04:05.560]  As far as I can tell on the video, they don't run.
[04:05.560 --> 04:09.800]  Again, I only saw the, the clip where they actually pull over, but I didn't see some
[04:09.800 --> 04:13.580]  crazy police chase.
[04:13.580 --> 04:18.680]  They grab them out, it's, it's boots to the, uh, boots to the side.
[04:18.680 --> 04:22.160]  You know, baton out, dogs out, three people.
[04:22.160 --> 04:25.240]  I hope they sue, but, but again, it doesn't even matter.
[04:25.240 --> 04:27.840]  Like these guys don't even go to jail, man.
[04:27.840 --> 04:29.920]  You know, maybe they get suspended for a week without pay.
[04:29.920 --> 04:31.480]  What could he do?
[04:31.480 --> 04:32.480]  Nothing happens to these guys.
[04:32.480 --> 04:33.480]  All right.
[04:33.480 --> 04:34.480]  We're taking your calls.
[04:34.480 --> 04:54.760]  We'll be back after this info wars.com.
[04:54.760 --> 05:00.960]  It is a big idea, a new world order in the near future.
[05:00.960 --> 05:09.540]  Earth is dominated by a powerful world government.
[05:09.540 --> 05:12.700]  For thousands of years, their dark order grew.
[05:12.700 --> 05:17.700]  Now as they hail the birth of the new world order, their great dream of exterminating
[05:17.700 --> 05:23.060]  80% of humanity is at hand.
[05:23.060 --> 05:28.020]  For the first time in history, the elites plan for world government is blown wide open.
[05:28.020 --> 05:32.380]  You will learn the secret that drives the entire new world order agenda.
[05:32.380 --> 05:35.060]  The old America is making great progress toward a world government.
[05:35.060 --> 05:36.060]  Most people have no idea.
[05:36.060 --> 05:37.060]  They're not after money.
[05:37.060 --> 05:38.060]  They have all the money they need.
[05:38.060 --> 05:39.060]  They're after power.
[05:39.060 --> 05:40.060]  That's their affidavit.
[05:40.060 --> 05:46.260]  Order in game on DVD at prisonplanet.com or info wars.com or watch it online right
[05:46.260 --> 05:51.820]  now at prisonplanet.tv in game blueprint for global enslavement.
[05:51.820 --> 05:53.860]  You have been warned.
[05:53.860 --> 05:56.900]  Have you ever thought about what's in your shampoo, soap or detergent?
[05:56.900 --> 06:02.540]  How about chlorides, dyes, ethanol, sulfate, sodium, formaldehydes and more?
[06:02.540 --> 06:06.780]  Even fragrance can indicate the presence of some 4,000 separate ingredients.
[06:06.780 --> 06:07.780]  Most of which are synthetic.
[06:07.780 --> 06:09.500]  Hi, this is Alex Jones.
[06:09.500 --> 06:13.220]  I was shocked when I discovered I could be inhaling these additives that can lead to
[06:13.220 --> 06:17.700]  coughing, wheezing and shortness of breath, headaches, nausea, irritation of the skin and
[06:17.700 --> 06:18.940]  mucous membranes.
[06:18.940 --> 06:20.780]  Now compare cowbell and pure soap.
[06:20.780 --> 06:25.020]  All natural, earth friendly, no harsh chemicals, no animal testing.
[06:25.020 --> 06:30.180]  They're safe and you save 85% of the money you're spending on cleaning products now.
[06:30.180 --> 06:33.940]  Start saving over $1,000 a year for your family of four.
[06:33.940 --> 06:34.940]  Keep it natural.
[06:34.940 --> 06:43.420]  Call cowbell and pure soap for a free catalog at 1-800-340-7091 or log on to fivestarsope.com.
[06:43.420 --> 06:47.980]  Try cowbell and pure soaps and I'll bet you'll never use any other cleaning products again.
[06:47.980 --> 06:56.820]  Call 1-800-340-7091 for all your cleaning needs.
[06:56.820 --> 06:59.380]  We're already under a scientific dictatorship.
[06:59.380 --> 07:02.700]  Martial law is coming, but it's not going to arrive overnight.
[07:02.700 --> 07:04.660]  It's going to be incremental.
[07:04.660 --> 07:06.620]  This country is already teetering on the edge.
[07:06.620 --> 07:09.900]  Any incident, small or large, could trigger a total takeover.
[07:09.900 --> 07:11.220]  Anything could be the final push.
[07:11.220 --> 07:14.700]  Visit survivalmartiallaw.com and download the e-book full of information that will prepare
[07:14.700 --> 07:17.020]  you for life under total military control.
[07:17.020 --> 07:20.420]  Know how to survive in the conditions that may soon be here on American soil.
[07:20.420 --> 07:23.540]  Learn how to act around controlling troops and how to use their own psychology against
[07:23.540 --> 07:25.260]  them through social engineering.
[07:25.260 --> 07:28.660]  When martial law is officially announced, checkpoints will be enforced, gun confiscations
[07:28.660 --> 07:31.860]  will occur for registered gun owners, and cities will be on lockdown.
[07:31.860 --> 07:34.820]  You will be dealing with a force that has been in training for years preparing for this
[07:34.820 --> 07:35.820]  takeover.
[07:35.820 --> 07:36.820]  Visit survivalmartiallaw.com.
[07:36.820 --> 07:40.500]  When ordering this e-book, you also receive weekly updates.
[07:40.500 --> 07:46.060]  Visit survivalmartiallaw.com or call 866-644-1933.
[07:46.060 --> 07:59.900]  The Genesis Communications Radio Network proudly presents the Alex Jones Show because there's
[07:59.900 --> 08:02.100]  a war on for your mind.
[08:02.100 --> 08:12.020]  All right, folks, we are back at the Alex Jones Show.
[08:12.020 --> 08:13.020]  I'm sitting in.
[08:13.020 --> 08:14.020]  I'm Jason Vermus.
[08:14.020 --> 08:18.020]  My website is www.loosechange911.com.
[08:18.020 --> 08:20.860]  I do a little blog there, and of course you can get the film there.
[08:20.860 --> 08:25.740]  I think you can watch the film in its entirety for free there.
[08:25.740 --> 08:29.540]  That's what I need you guys to do is go out, check out Loose Change.
[08:29.540 --> 08:34.340]  I could really use somebody to write a Wikipedia page for the Final Cut, but more importantly,
[08:34.340 --> 08:38.980]  find the link, email it to everybody, and get the word out about Loose Change Final
[08:38.980 --> 08:39.980]  Cut.
[08:39.980 --> 08:44.620]  I also want to let you know that Alex Jones is going to be presenting his newest film,
[08:44.620 --> 08:50.500]  The 9-11 Chronicles Part 1, Truth Rising, at a couple of screenings, a little pre-screenings,
[08:50.500 --> 08:56.580]  if you will, over at the Alamo Draft House on Saturday, May 17th, and Sunday, May 18th,
[08:56.580 --> 09:00.900]  at 4 p.m. on Saturday and 7 p.m. on Sunday.
[09:00.900 --> 09:04.860]  This really is unlike any other Alex Jones film you've ever seen.
[09:04.860 --> 09:06.140]  It's not voiced by Alex.
[09:06.140 --> 09:07.900]  It's shot cinema verite.
[09:07.900 --> 09:12.540]  It features interviews with Willie Nelson, Rosie O'Donnell, Jesu Ventura, George Carlin,
[09:12.540 --> 09:18.100]  Martin Sheen, confrontations with Bill Clinton, David Rockefeller, Arnold Schwarzenegger,
[09:18.100 --> 09:23.100]  and many, many more, including Gary Hart, Danny Bonaducci, John Gibson's in the film,
[09:23.100 --> 09:29.900]  just a slew of pop culture names, if you will, in both the media and TV and movies, as well
[09:29.900 --> 09:33.900]  as politics, you know, a nice little blend for everybody, if you will.
[09:33.900 --> 09:38.740]  I really hope this movie gets people off their duffs.
[09:38.740 --> 09:42.260]  You know, those who still don't feel like they can affect change, they don't feel like
[09:42.260 --> 09:45.860]  they can make a difference, this movie is going to show you that you can.
[09:45.860 --> 09:50.900]  It's not only going after the exploits of We Are Change and Mark Dice and others, but
[09:50.900 --> 09:58.220]  really to the smaller groups that do the highway blogging, that do the Walmart intercoming,
[09:58.220 --> 10:05.220]  and they go out there and get the message of 9-11 Truth out by any peaceful means necessary.
[10:05.220 --> 10:10.260]  Now, we were just discussing the cops and how outrageous they are, and how they throw
[10:10.260 --> 10:15.300]  you in jail now, if you don't have a turn signal, and even if the police chief thinks
[10:15.300 --> 10:19.860]  it's absolutely ludicrous, he's going to defend you, and say, we need to look into
[10:19.860 --> 10:24.420]  it more, and say, oh, he's one of my good cops, and he's well within the law to do
[10:24.420 --> 10:25.420]  that.
[10:25.420 --> 10:29.340]  Well, it should be no surprise that Tuesday night, they killed yet another guy with a
[10:29.340 --> 10:33.020]  taser, guys fighting with his wife, what happens?
[10:33.020 --> 10:37.300]  He gets tased, he goes unconscious, and that's it.
[10:37.300 --> 10:39.180]  They can't revive him.
[10:39.180 --> 10:43.820]  You come for a domestic dispute, you leave in a body bag, isn't that nice?
[10:43.820 --> 10:46.740]  That's golden, if you will.
[10:46.740 --> 10:49.740]  Before I get into the economy, I'm just going to read part of this article about the Philly
[10:49.740 --> 10:55.500]  cops, cop beating a motorist on video, this one's from Kurt Nemo.
[10:55.500 --> 10:58.740]  Yet another instance of cops acting like predatory pack animals.
[10:58.740 --> 11:02.020]  It should be obvious by now that the police are out of control.
[11:02.020 --> 11:05.740]  A parasitical force unleashed on society at large.
[11:05.740 --> 11:09.220]  Cops no longer help granny across the street, or respond to a burglary.
[11:09.220 --> 11:13.740]  Cops are like the Crips, Bloods, and Mara Salvatra, another violent street gang, but
[11:13.740 --> 11:16.020]  one armed and supported by the state.
[11:16.020 --> 11:19.740]  A half dozen police officers kicked and beat three men pulled from a car during a traffic
[11:19.740 --> 11:24.900]  stop as a TV helicopter taped the confrontation, reports the Associated Press.
[11:24.900 --> 11:27.580]  It's more than a half a dozen, it's at least a dozen.
[11:27.580 --> 11:30.260]  And it's probably a little bit more than it might even be a baker's dozen.
[11:30.260 --> 11:35.820]  Might even be 18 guys, I'm not sure I need to, they keep coming on the scene.
[11:35.820 --> 11:41.380]  The video shot by WTXFTV shows three police cars stopping a car Monday, two days after
[11:41.380 --> 11:45.380]  a city officer was shot to death, responding to a bank robbery.
[11:45.380 --> 11:47.740]  You see how they try to incorporate both together?
[11:47.740 --> 11:54.060]  Oh, well, we only beat these guys up because somebody got shot two days ago.
[11:54.060 --> 11:57.800]  Sure these aren't the same guys, and we really didn't have any reason to suspect that they
[11:57.800 --> 12:03.740]  were involved in the bank robbery, but they were a color we didn't like.
[12:03.740 --> 12:07.540]  In other words, after a fellow gang member was shot and killed protecting the bank,
[12:07.540 --> 12:11.420]  the largest gang in Philadelphia, won revenge and blood.
[12:11.420 --> 12:14.420]  Of course that's the real job of the cops.
[12:14.420 --> 12:19.100]  Black banks, not the public at large, considered the enemy.
[12:19.100 --> 12:22.000]  The tape shows about a dozen officers gathering around the vehicle.
[12:22.000 --> 12:24.940]  About a half dozen officers hold two of the men on the ground.
[12:24.940 --> 12:28.060]  Both are kicked repeatedly, while one is seen being punched.
[12:28.060 --> 12:30.260]  One also appears to be struck with a baton.
[12:30.260 --> 12:34.140]  Not appears to be struck with a baton, the dude gets the baton out and starts wailing
[12:34.140 --> 12:35.140]  on him.
[12:35.140 --> 12:37.940]  Doesn't appear that way, okay?
[12:37.940 --> 12:39.540]  It happened.
[12:39.540 --> 12:41.120]  Appears to be struck with a baton.
[12:41.120 --> 12:46.540]  The guy's swinging the baton like it's a Louisville slugger, are you kidding me?
[12:46.540 --> 12:49.900]  On the surface it certainly does not look good in terms of the amount of force that
[12:49.900 --> 12:54.540]  was used, police commissioner Charles Ramsey said, but we don't want to rush to judgment.
[12:54.540 --> 12:59.180]  Yeah, let's not rush to judgment after we watch the video of these guys getting beat
[12:59.180 --> 13:06.300]  to a bloody pulp by officers who are soccer-kicking them and wielding batons, and they have the
[13:06.300 --> 13:07.300]  dogs out too.
[13:07.300 --> 13:09.460]  Yeah, let's not rush to judgment.
[13:09.460 --> 13:11.220]  Let's not believe our own eyes.
[13:11.220 --> 13:13.420]  No, of course not.
[13:13.420 --> 13:16.900]  Even though the video plainly shows there was absolutely no reason for members of the
[13:16.900 --> 13:22.820]  police gang to savagely beat the three hapless people pictured, yeah, no reason at all.
[13:22.820 --> 13:26.120]  The officers were responding to a report of a shooting nearby, police said.
[13:26.120 --> 13:29.460]  It was not immediately clear what preceded the confrontation.
[13:29.460 --> 13:33.380]  So again, they used two separate excuses, one, the bank robbery where somebody was killed
[13:33.380 --> 13:37.340]  two days ago, and now it's not that, oh, they're responding to another shooting.
[13:37.340 --> 13:41.980]  See, if they were really responding to a shooting and they thought these guys had guns, there's
[13:41.980 --> 13:45.540]  no way it would have went down the way it did.
[13:45.540 --> 13:47.420]  Cops don't just bum rush a car with guns, folks.
[13:47.420 --> 13:49.440]  They don't want to get shot in the face.
[13:49.440 --> 13:53.260]  What they do is they surround the car, they pull their guns, and then they get everybody
[13:53.260 --> 13:54.260]  out of the vehicle slowly.
[13:54.260 --> 13:55.780]  That's not what happened here.
[13:55.780 --> 14:00.260]  They stopped their cars, they got out, they covered them, and then they rushed the car.
[14:00.260 --> 14:03.300]  It was never a question that these guys were going to give up.
[14:03.300 --> 14:07.500]  Now they came out with their hands up on their bellies, man.
[14:07.500 --> 14:14.860]  Oh, man, I really hope their lawyers is good times because they need a good lawyer.
[14:14.860 --> 14:17.580]  It does not matter what preceded the confrontation.
[14:17.580 --> 14:19.900]  As it is obvious, the motorists were not a threat.
[14:19.900 --> 14:23.300]  Once upon a time, cops handcuffed and arrested people accused of crimes.
[14:23.300 --> 14:25.140]  Now they are beaten to a pulp.
[14:25.140 --> 14:28.580]  We don't take into consideration the emotions of the police officers when it comes to discharge
[14:28.580 --> 14:29.780]  with their duties.
[14:29.780 --> 14:34.060]  Their emotional state, being tired, doesn't justify what's on the video, said D. Scott
[14:34.060 --> 14:37.580]  Perine, an attorney who represents the three men seen in the video.
[14:37.580 --> 14:41.420]  He said one of the clients suffered a wealth on his head the size of a baseball, and one
[14:41.420 --> 14:43.540]  of his legs was seriously injured.
[14:43.540 --> 14:47.500]  He didn't know the extent of any of the injuries of the other two men, of course, man.
[14:47.500 --> 14:53.700]  Dude, we have video now of a police officer dumping a person who's crippled out of their
[14:53.700 --> 14:54.940]  wheelchair.
[14:54.940 --> 14:58.540]  When the guy's like, look, I can't stand up, he's like, you're going to stand up.
[14:58.540 --> 15:01.180]  His legs are like crimped over.
[15:01.180 --> 15:04.460]  He tosses him on the ground.
[15:04.460 --> 15:09.340]  I mean, it would be obvious to any thinking human being at any level of age that this
[15:09.340 --> 15:12.140]  man cannot walk and cannot get up out of his wheelchair.
[15:12.140 --> 15:14.820]  His legs are bow-legged.
[15:14.820 --> 15:15.820]  They're skinny.
[15:15.820 --> 15:19.300]  They don't look like they've moved in decades.
[15:19.300 --> 15:20.380]  And what's this guy do?
[15:20.380 --> 15:21.380]  He just tosses them.
[15:21.380 --> 15:23.100]  A little tossy.
[15:23.100 --> 15:25.100]  I think that that guy actually got in trouble.
[15:25.100 --> 15:26.740]  Well, it's about time.
[15:26.740 --> 15:28.300]  I mean, God.
[15:28.300 --> 15:31.260]  These guys really, they really need to be gone after.
[15:31.260 --> 15:32.660]  We have to make a point of this.
[15:32.660 --> 15:35.340]  You need to send this video out to all your friends and family.
[15:35.340 --> 15:38.740]  Be like, look at what these jackboot cops are doing.
[15:38.740 --> 15:44.340]  You know, if that wasn't bad enough, I had Bob Chapman on yesterday, and we talked economy.
[15:44.340 --> 15:49.260]  Well, here's a little economic news that no one seems to be talking about, but it's
[15:49.260 --> 15:50.260]  brand new.
[15:50.260 --> 15:57.820]  CNN is now reporting that steel is going to replace copper in pennies.
[15:57.820 --> 16:03.060]  Now, you know, like I said before, you know, I've said this actually on my other show,
[16:03.060 --> 16:07.300]  it now takes a penny and a half to actually create a penny.
[16:07.300 --> 16:10.660]  So you're paying 50% more to make this penny now.
[16:10.660 --> 16:11.660]  It's pretty ridiculous.
[16:11.660 --> 16:12.660]  Right?
[16:12.660 --> 16:19.140]  Well, they're also going to start taking that out of Nicholas, I think, too.
[16:19.140 --> 16:21.420]  I think that they're actually going to put steel on Nicholas.
[16:21.420 --> 16:22.420]  Let's read it.
[16:22.420 --> 16:24.260]  Further evidence that times are tough.
[16:24.260 --> 16:26.620]  It now costs more than a penny to make a penny.
[16:26.620 --> 16:29.220]  This is new six months ago.
[16:29.220 --> 16:33.300]  And the cost of a nickel is more than seven and a half cents.
[16:33.300 --> 16:38.060]  Surging prices of copper, zinc, and nickel have some in Congress trying to bring back
[16:38.060 --> 16:44.900]  the steel made pennies of World War II and maybe using steel for nickels as well.
[16:44.900 --> 16:49.860]  Copper and nickel prices have tripled since 2003, and the price of zinc has quadrupled,
[16:49.860 --> 16:54.620]  said Representative Lewis Gutierrez, a Democrat from Illinois.
[16:54.620 --> 16:56.900]  The subcommittee oversees the US Mint.
[16:56.900 --> 16:58.700]  Isn't that lovely?
[16:58.700 --> 17:03.700]  Keeping the coin content means contributing to our national debt by almost as much as
[17:03.700 --> 17:07.580]  the coin is worth, Gutierrez says, well, I can't really argue with them there.
[17:07.580 --> 17:10.460]  They've downed the dollar so much that, yeah, of course, it costs seven and a half cents
[17:10.460 --> 17:13.380]  to make a nickel.
[17:13.380 --> 17:17.940]  This is also more evidence that precious metals are actually worth something.
[17:17.940 --> 17:22.180]  If a copper penny is worth 50% more than one of these steel pennies, and really the
[17:22.180 --> 17:26.540]  penny's worth less than a penny, folks, I mean, let's be honest, this money's not backed
[17:26.540 --> 17:27.540]  up by anything.
[17:27.540 --> 17:32.900]  The Federal Reserve is a gangster organization that has no oversight whatsoever, that prints
[17:32.900 --> 17:38.140]  as much money as it wants and gives it to the bank at interest.
[17:38.140 --> 17:40.460]  That's why the banks are starting to cap how much you can take out.
[17:40.460 --> 17:41.460]  It's a big no-no.
[17:41.460 --> 17:44.740]  It's a big red light going off.
[17:44.740 --> 17:51.300]  But the fact they're actually talking about steel to replace copper and pennies and nickels,
[17:51.300 --> 17:52.540]  watch out.
[17:52.540 --> 17:53.980]  Watch out big time.
[17:53.980 --> 17:56.580]  I guess there isn't a better time to get into gold and silver.
[17:56.580 --> 17:57.580]  It's about that time, folks.
[17:57.580 --> 17:59.460]  I mean, our dollar's worth nothing.
[17:59.460 --> 18:04.740]  They're going to replace what our coins are made with with steel because it's cheaper.
[18:04.740 --> 18:06.020]  I mean, what's next?
[18:06.020 --> 18:07.620]  Well, I'll tell you what's next.
[18:07.620 --> 18:12.780]  It's probably a unified currency in the next five to 10 years or an attempt at one between
[18:12.780 --> 18:14.540]  us, Mexico, and Canada.
[18:14.540 --> 18:18.900]  I had a caller call in yesterday and asked, what's all this about?
[18:18.900 --> 18:24.580]  Why is it that we have this North American Union agreement?
[18:24.580 --> 18:26.780]  Why do we have this Central American Free Trade Agreement?
[18:26.780 --> 18:28.700]  What's this all about?
[18:28.700 --> 18:29.860]  Why is our dollar going down?
[18:29.860 --> 18:31.060]  What are they trying to do?
[18:31.060 --> 18:35.060]  I told them, look, our dollar used to be worth way more than the euro.
[18:35.060 --> 18:37.220]  It was like a buck to 75 cents.
[18:37.220 --> 18:38.580]  This is pre-911.
[18:38.580 --> 18:43.860]  Now it's worked its way to a buck to a buck 41, so we're almost 50% under the euro.
[18:43.860 --> 18:45.100]  Then you look at Canada.
[18:45.100 --> 18:50.140]  Well, our dollar used to be worth to there like 80 cents, maybe 85, sometimes 90, but
[18:50.140 --> 18:51.980]  we were still worth more.
[18:51.980 --> 18:54.340]  Now the Canadian dollar is worth a little more than ours.
[18:54.340 --> 18:57.740]  It's like a dollar five to our dollar.
[18:57.740 --> 19:01.900]  How is it that Canada's currency is worth more than ours?
[19:01.900 --> 19:02.900]  Think about it.
[19:02.900 --> 19:03.900]  What do they export?
[19:03.900 --> 19:04.900]  Fish and wood?
[19:04.900 --> 19:09.700]  I mean, we're the greatest military industrial complex nation in the world.
[19:09.700 --> 19:13.900]  We're supposed to have the best economy in the world.
[19:13.900 --> 19:15.900]  Somehow Canada's money is worth more.
[19:15.900 --> 19:18.620]  Seriously, they don't even have a real military.
[19:18.620 --> 19:20.140]  Wake up.
[19:20.140 --> 19:22.180]  So I said, hey, that's part of the plan.
[19:22.180 --> 19:27.460]  That's why you see members of Canadian Parliament actually going up and saying, hey, let's put
[19:27.460 --> 19:29.420]  the dollar on parity with our loony.
[19:29.420 --> 19:30.420]  That's their dollar coin.
[19:30.420 --> 19:33.740]  And then they'll do that with Mexico and we'll have a new currency.
[19:33.740 --> 19:36.940]  We're taking calls over at the Alex Jones show all day long.
[19:36.940 --> 19:38.700]  I'm Jason Bermas.
[19:38.700 --> 19:40.700]  Prismplanet.com is the website.
[19:40.700 --> 19:45.300]  The Alamo Draft House is where you can see the 9-11 Chronicles on May 17th and 18th.
[19:45.300 --> 19:46.300]  Hope to see you there.
[19:46.300 --> 19:47.460]  We'll be back after this.
[19:47.460 --> 19:58.180]  Do you know the truth about cancer treatments?
[19:58.180 --> 20:03.020]  Do you realize that with all presently accepted methods, you are not correctly attacking the
[20:03.020 --> 20:07.620]  cancer and you are mostly fighting to survive the treatment?
[20:07.620 --> 20:12.980]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are
[20:12.980 --> 20:15.540]  totally unnecessary?
[20:15.540 --> 20:18.380]  But now it's cancer's turn to die.
[20:18.380 --> 20:24.060]  With laced med inks, patented methodology, without cutting, bleeding, drugs, or damaging
[20:24.060 --> 20:30.020]  radiation, we can destroy skin cancer and breast tumors of any size without adverse
[20:30.020 --> 20:33.300]  side effects at our physician's office.
[20:33.300 --> 20:35.620]  Laser technology at its best.
[20:35.620 --> 20:49.580]  For more information, call 702-953-0267 or visit www.LASEMEDINC.com.
[20:49.580 --> 20:54.580]  Call 702-953-0267.
[20:54.580 --> 20:58.820]  It is a big idea, a new world order.
[20:58.820 --> 21:03.300]  In the near future, Earth is dominated by a powerful world government.
[21:03.300 --> 21:05.860]  It's known as the Builder Bird.
[21:05.860 --> 21:09.340]  Could their objective be world domination?
[21:09.340 --> 21:12.500]  For thousands of years, their dark order grew.
[21:12.500 --> 21:18.420]  Now as they hail the birth of the New World Order, their great dream of exterminating 80%
[21:18.420 --> 21:22.860]  of humanity is at hand.
[21:22.860 --> 21:28.300]  For the first time in history, the elite's plan for world government is blown wide open.
[21:28.300 --> 21:32.180]  You will learn the secret that drives the entire New World Order agenda.
[21:32.180 --> 21:34.860]  Builder Bird is making great progress toward a world government.
[21:34.860 --> 21:35.860]  Most people have no idea.
[21:35.860 --> 21:36.860]  They're not after money.
[21:36.860 --> 21:37.860]  They have all the money they need.
[21:37.860 --> 21:38.860]  They're after power.
[21:38.860 --> 21:39.860]  That's their affidavit.
[21:39.860 --> 21:46.620]  Order in-game on DVD at prisonplanet.com or infowars.com or watch it online right now
[21:46.620 --> 21:47.620]  at prisonplanet.tv.
[21:47.620 --> 21:48.620]  In-game, blueprint for global enslavement.
[21:48.620 --> 21:49.620]  You have been warned.
[21:49.620 --> 21:57.980]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced
[21:57.980 --> 21:59.300]  alkaline environment.
[21:59.300 --> 22:04.620]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[22:04.620 --> 22:09.060]  pH balance is the foundation of energy abundance and perfect health, as well as prevention
[22:09.060 --> 22:10.240]  of disease.
[22:10.240 --> 22:14.860]  People who alkalize the water they drink experience normalized blood sugar, mental clarity, and
[22:14.860 --> 22:15.940]  loss of weight.
[22:15.940 --> 22:18.940]  It was intended for human beings to drink alkaline water.
[22:18.940 --> 22:22.180]  But due to modern way of life, most people are overly acidic.
