[00:00:09.732 --> 00:00:13.093]  It's Sunday, October 30th, 2022.
[00:04:32.476 --> 00:04:38.601]  I am worried about the social credit score, the debanking that's coming for everybody in the next phase of this.
[00:04:38.601 --> 00:04:39.401]  Real tyranny.
[00:04:39.401 --> 00:04:41.483]  You talk about clear and present danger.
[00:04:41.483 --> 00:04:51.671]  The Anti-Defamation League is just a mouthpiece of the globalists and is doing everything it can to literally bring in an iron curtain of tyranny that would make Joseph Stalin blush.
[00:04:51.671 --> 00:04:55.394]  These guys are very hardcore anti-Americans.
[00:04:55.394 --> 00:04:56.014]  We'll be right back.
[00:04:56.014 --> 00:04:56.375]  Stay with us.
[00:05:01.226 --> 00:05:07.291]  I am extremely honored to be seen by the globalists as their number one enemy.
[00:05:07.291 --> 00:05:10.394]  I am blessed to know that our information is so hardcore.
[00:05:11.510 --> 00:05:16.413]  The enemies of humanity are obsessed with silencing us.
[00:05:16.413 --> 00:05:19.936]  They know the truth about their globalist operations is exposed.
[00:05:19.936 --> 00:05:20.796]  It's game over.
[00:05:20.796 --> 00:05:26.480]  And all over the planet, humanity is awakening and peacefully fighting back.
[00:05:26.480 --> 00:05:31.084]  And our main tool is free speech and the truth we promote using free speech.
[00:05:31.084 --> 00:05:37.248]  That's why when you share articles and videos from Man.Video or Infowars.com or Newswars.com, it changes the world.
[00:05:37.708 --> 00:05:49.702]  And that's why when you go to InfoWarsTore.com and get amazing products that empower you and your body and your immune system and that of your family, you're also empowering the tip of the spear in the fight against the globalists.
[00:05:49.702 --> 00:05:55.830]  The fight starts at InfoWars.com and the support of the fight starts at InfoWarsTore.com.
[00:05:55.830 --> 00:05:57.632]  God bless and thank you all for your support.
[00:06:11.192 --> 00:06:16.014]  Big Brother, mainstream media, government cover-ups.
[00:06:16.014 --> 00:06:17.714]  You want to stop tyranny?
[00:06:17.714 --> 00:06:19.375]  Well, so does he.
[00:06:19.375 --> 00:06:24.077]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:29.187 --> 00:06:34.910]  Thank you for joining us on this live Sunday October 30th 2022 worldwide transmission.
[00:06:34.910 --> 00:06:36.511]  I'm your host Alex Jones.
[00:06:36.511 --> 00:06:43.615]  We're going to be here live for the next two hours and then Harrison Smith comes in to host Sunday live 6 to 8 p.m.
[00:06:43.615 --> 00:06:49.319]  Central Standard Time here on the embattled tip of the spear InfoWars pro-human network.
[00:06:49.319 --> 00:06:51.000]  All right I have
[00:06:51.983 --> 00:06:57.628]  Election news, I have massive Ukraine war news, I have huge economy news.
[00:06:57.628 --> 00:07:04.613]  Diesel is set to run out somewhere around the 15th of November.
[00:07:04.613 --> 00:07:08.517]  So we're talking in about 16-17 days.
[00:07:08.517 --> 00:07:12.980]  All diesel reserves and all diesel gone.
[00:07:12.980 --> 00:07:17.284]  That's what they estimate, including at the local filling station.
[00:07:17.284 --> 00:07:18.545]  They will be out of diesel
[00:07:21.687 --> 00:07:23.888]  By the 15th.
[00:07:23.888 --> 00:07:32.493]  That was reported by the federal government over a week ago, so now we're talking about 16 days, 17 days out.
[00:07:32.493 --> 00:07:44.359]  Depending on how you look at it, the 15th or the 16th of November, right after the midterms elections, diesel's already on average $5 a gallon in the United States.
[00:07:44.359 --> 00:07:48.481]  Some places it's as high as $9 a gallon on the West Coast.
[00:07:49.363 --> 00:07:54.046]  This is the purposeful de-industrialization, shutdown of the United States.
[00:07:54.046 --> 00:07:59.249]  This is economic war against the people of America.
[00:07:59.249 --> 00:08:03.812]  But the first thing I want to hit here is, why all this is happening?
[00:08:03.812 --> 00:08:15.519]  Why do they roll out poison shots they knew didn't help you, that would give you heart attacks and myocarditis and blood clots and cancer and everything else that the CDC admitted in October of 2020 was going to happen?
[00:08:16.354 --> 00:08:19.515]  In their own documents that we've shown over a thousand times here on air.
[00:08:19.515 --> 00:08:21.515]  We'll show it again.
[00:08:21.515 --> 00:08:25.416]  They want the precedent to kill us when and how they want.
[00:08:25.416 --> 00:08:34.978]  And depending on the insurance actuary, we're looking between 6 and 20 million people extra that have died from these injections alone.
[00:08:34.978 --> 00:08:38.679]  The numbers do not lie.
[00:08:41.357 --> 00:08:48.541]  And the United States is the only country in the world that is pushing it on six-month-olds and up, and now they want to, quote, authorize it for newborn babies.
[00:08:48.541 --> 00:08:51.863]  They want to make it mandatory to go to public school.
[00:08:51.863 --> 00:08:54.364]  This is absolute criminal activity.
[00:08:54.364 --> 00:09:04.430]  But if you research the Aztecs or the Mayan, or you research the ancient Egyptians, you know, it's in the Bible, but they've now found the big stone tablets where Ramses
[00:09:05.444 --> 00:09:13.171]  The first and then Ramses II and others ordered all of the Israelite firstborn boys to be put to the sword.
[00:09:13.171 --> 00:09:16.294]  You know, you watch Charlton Heston and the Ten Commandments and you see that.
[00:09:16.294 --> 00:09:19.296]  It's not just a Sesame DeMille's masterpiece.
[00:09:19.296 --> 00:09:21.478]  That really happened.
[00:09:21.478 --> 00:09:26.623]  So why, in all these different cultures, were particularly firstborn boys ordered to be killed?
[00:09:28.336 --> 00:09:45.881]  This is something that pops up in every culture, and the globalists want the power to kill us, and then have it out in the open, and have the medical system that went along with it be involved in the cover-up, and then the corruption is complete, and then they get their World Vaccine ID, Digital Cashless Society out of it.
[00:09:47.335 --> 00:09:52.997]  And that is the holy grail of the WF, the UN, the Communist Chinese, the Australian tyranny.
[00:09:52.997 --> 00:09:54.557]  It's the same unified plan worldwide.
[00:09:54.557 --> 00:10:02.180]  I've got stacks of articles showing that today, that this is now currently being rolled out.
[00:10:02.180 --> 00:10:06.221]  But the first thing I want to play is just Laura Logan.
[00:10:06.221 --> 00:10:07.301]  And you can laugh at this if you want.
[00:10:07.301 --> 00:10:15.144]  She's a former national top investigative journalist, still is, but has been purged off of all the different stations she was on.
[00:10:18.919 --> 00:10:24.484]  For exposing that there is a satanic lust and drive to hurt the children.
[00:10:24.484 --> 00:10:33.211]  Well, she's done a recent interview where she lays out that it is about hurting God.
[00:10:33.211 --> 00:10:44.380]  And what she said, and what she said that she was praying that she received from God is totally true from my own research of what the occultists throughout history have said they're doing this for.
[00:10:44.380 --> 00:10:47.223]  So we've got to get in the minds of these people and ask yourself,
[00:10:48.655 --> 00:11:11.794]  A low-level psychopath goes and kidnaps men, women, and children, but usually children and women, and then tortures them sometimes for months on end, and they describe it to the psychologists and psychiatrists when they're on death row as evil spirits told them to do it in almost every case, and that they only seemed alive when they were torturing a child and, quote, using them up.
[00:11:13.237 --> 00:11:37.604]  So if they can't kill a baby in the womb, they want to put them on a bunch of Ritalin and Prozac, they want to screw them up, they want to have mastectomies and cut their breasts off, cut their genitals off, they want to make sure they're totally alone, so that they can have their energy sucked by these people that literally are a cult of hurting innocents, because Mahatma Gandhi said, in each child is the seed of the universe.
[00:11:38.902 --> 00:11:40.143]  Well, that's what Laura Logan's saying.
[00:11:40.143 --> 00:11:41.264]  That's what I'm saying.
[00:11:41.264 --> 00:11:41.784]  That's what this is.
[00:11:41.784 --> 00:11:43.045]  You have to know your enemy.
[00:11:43.045 --> 00:11:46.268]  Here she is talking about it.
[00:11:46.268 --> 00:11:52.933]  One of the things I asked him was, I said, I don't, I get it, but I don't get it.
[00:11:52.933 --> 00:11:53.893]  The children.
[00:11:53.893 --> 00:11:58.056]  You just, you've got to, I still have, I have such a problem with this.
[00:11:58.056 --> 00:12:00.078]  You've got to explain this one to me.
[00:12:00.078 --> 00:12:03.921]  And he said, well, first of all, you're looking at it the wrong way.
[00:12:04.534 --> 00:12:05.614]  I said, what do you mean?
[00:12:05.614 --> 00:12:09.375]  And he said, well, they don't define children the way you do.
[00:12:09.375 --> 00:12:11.055]  They don't define the world the way you do.
[00:12:11.055 --> 00:12:14.576]  The choices that you face are not their choices.
[00:12:14.576 --> 00:12:15.616]  Right?
[00:12:15.616 --> 00:12:17.776]  They look at it completely differently.
[00:12:17.776 --> 00:12:21.717]  And I said, well, okay, so how do they look at it?
[00:12:21.717 --> 00:12:30.038]  And he said, for them, everything is defined by their one fundamental, all-consuming purpose.
[00:12:30.038 --> 00:12:31.279]  I said, which is what?
[00:12:31.279 --> 00:12:33.699]  He said, to defeat God.
[00:12:34.528 --> 00:12:35.328]  Right?
[00:12:35.328 --> 00:12:46.011]  Because this is the moment, I mean, for them it's about the real God, the true gods are them and Satan there, right?
[00:12:46.011 --> 00:12:58.955]  And so he said children are the closest thing on earth to God because we are created in the image of God and as you know from the moment we're created we haven't had time
[00:12:59.813 --> 00:13:04.155]  To be corrupted and destroyed.
[00:13:04.155 --> 00:13:14.761]  So for them, the younger you are, the closer you are to God, the more pain they can inflict on God.
[00:13:14.761 --> 00:13:22.165]  So the more you can make a baby or small child suffer, the greater your victory over God.
[00:13:22.165 --> 00:13:25.327]  And that is the only consideration for them.
[00:13:25.327 --> 00:13:26.748]  Outside of that doesn't exist.
[00:13:27.898 --> 00:13:37.945]  They believe in the raw exercise of power against our own instincts that God gave us as strength and as them becoming gods, deciding who lives, deciding who dies.
[00:13:37.945 --> 00:13:45.691]  And when we come back, I'm going to play the latest Gregory's Report, World War Z, and what this deals with.
[00:13:45.691 --> 00:13:54.817]  But we have Raskin, another Democrat leader, saying, we're going to have nuclear war with Russia because they won't let us cut their little girls' breasts, their little boys' penises off.
[00:13:54.817 --> 00:13:56.678]  Seriously.
[00:13:56.678 --> 00:13:57.199]  That's what he says.
[00:13:58.080 --> 00:14:00.240]  You're like, that sounds totally psychotic.
[00:14:00.240 --> 00:14:01.761]  That's who these people are.
[00:14:01.761 --> 00:14:06.182]  And that all ties into Pelosi's husband.
[00:14:06.182 --> 00:14:08.242]  We have the 9-1-1 tape.
[00:14:08.242 --> 00:14:10.683]  It's not a right-wing rumor.
[00:14:10.683 --> 00:14:12.483]  Both men were in their underwear.
[00:14:12.483 --> 00:14:14.523]  The police held it up till today.
[00:14:14.523 --> 00:14:18.204]  They released a 9-1-1 call on Friday, but it got no attention.
[00:14:18.204 --> 00:14:27.806]  But today, the San Francisco police released the fact that Mr. Pelosi and the man half his age, who is a hippie,
[00:14:28.700 --> 00:14:53.341]  From a nudist colony, not a right-winger, were in his bedroom, both in their underwear, with hammers, when someone else let the police in, and they had the 911 call where Pelosi said, I'm here with, and named the man, my friend, and he's attacking me.
[00:14:54.713 --> 00:15:06.360]  So Pelosi is circling the toilet bowl very, very quickly, 80 something years old, and you got two dudes in their underwear in a bedroom with hammers.
[00:15:06.360 --> 00:15:13.505]  And they are desperate to try to call this the new January 6th.
[00:15:13.505 --> 00:15:17.467]  It's incredibly illustrative of exactly how these people operate.
[00:15:17.467 --> 00:15:21.069]  And they put up fake websites Friday saying he was a right winger.
[00:15:21.069 --> 00:15:21.970]  It turns out those are fake.
[00:15:23.271 --> 00:15:27.332]  I guess those are fake news, too, that Pelosi got arrested drunk.
[00:15:27.332 --> 00:15:31.613]  These people are just absolutely slaves of the system.
[00:15:31.613 --> 00:15:32.613]  That's coming up as well.
[00:15:32.613 --> 00:15:36.374]  We've got so much today, but I want to get into the war on children.
[00:15:36.374 --> 00:15:42.395]  The ADL has come out ordering Elon Musk not to reinstate Trump, calling Trump a terrorist.
[00:15:42.395 --> 00:15:44.896]  And then they attacked yours truly.
[00:15:44.896 --> 00:15:49.337]  I'm extremely honored to have such an evil, un-American organization as the ADL.
[00:15:51.249 --> 00:15:53.209]  See me as one of their chief enemies.
[00:15:53.209 --> 00:15:56.350]  Because I stand against their fascist, Nazi ideology.
[00:15:56.350 --> 00:15:57.990]  They are the Nazis.
[00:15:57.990 --> 00:15:59.951]  We'll be right back.
[00:15:59.951 --> 00:16:06.732]  Don't let the globalist monsters and their mercenary minions be successful at silencing you.
[00:16:06.732 --> 00:16:19.835]  And the globalist's number one mission is to silence Infowars, because they rightly see us as one of the main beacons of resistance, alerting the people, not just of America, but the world, to the threat of the globalist and their censorship and tyranny.
[00:16:20.515 --> 00:16:34.588]  That's why it's so essential today, now more than ever, to share links for InfoWars.com and to also financially support InfoWars.com at the most critical time on our fight by using promo code 1776 at checkout to get an additional 10% off.
[00:16:36.169 --> 00:16:36.849]  By the will of God,
[00:17:03.004 --> 00:17:12.451]  And by God working through you and your support, InfoWars continues to persevere against attacks never before seen in the Western world against independent media.
[00:17:12.451 --> 00:17:14.092]  Thanks for keeping me in the fight.
[00:17:14.092 --> 00:17:21.318]  And over the years, you have come to the table, you have stepped to the plate so many times and kept InfoWars and free speech on the air, and I thank you.
[00:17:21.778 --> 00:17:26.243]  But now, I have my own legal bills that have reached the point that I can't pay them.
[00:17:26.243 --> 00:17:27.504]  And I need your support.
[00:17:27.504 --> 00:17:35.132]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalists, please visit SaveInfoWars.com.
[00:17:36.954 --> 00:17:39.476]  I don't promote things unless they really work.
[00:17:39.476 --> 00:17:41.357]  When it comes to politics or culture,
[00:18:06.522 --> 00:18:10.245]  Economics, we are always the cutting edge, the tip of the spear.
[00:18:10.245 --> 00:18:14.208]  And when we talk about the products at InfoWareStore.com, they all blow you away.
[00:18:14.208 --> 00:18:18.671]  If you'll just take them, if you'll just try them, I know you'll be repeat customers.
[00:18:18.671 --> 00:18:22.875]  And finally, one of our best selling products, sold out for months, it's back in stock, it's X3.
[00:18:22.875 --> 00:18:33.543]  It's all three types of the very best atomic iodine out there that supercharges your energy, your stamina, your libido, and number one, your immune system.
[00:18:33.543 --> 00:18:35.925]  So X3, despite the fact that it's run on iodine,
[00:18:36.505 --> 00:18:45.810]  It's still on sale at 50% off right now at InfoWarStore.com and it funds the Info War, which is a 360 win.
[00:18:45.810 --> 00:18:52.234]  If you've not experienced the power of iodine, takes two weeks to kick out on average, you've got to go to InfoWarStore.com and get X3 50% off.
[00:18:52.234 --> 00:18:52.874]  X3 50% off, InfoWarStore.com.
[00:19:00.503 --> 00:19:13.257]  We've all heard of interventions with a family member or a friend or a co-worker that's on drugs or alcohol and is in a bad place and they need family and friends to come to their aid and talk to them and get them into rehab.
[00:19:13.257 --> 00:19:15.699]  Well, it's the same thing for America and the rest of the world.
[00:19:16.460 --> 00:19:25.363]  When it comes to critical vitamins and minerals that your body must have to live, and people don't listen, and they don't supplement, it's literally an intervention.
[00:19:25.363 --> 00:19:27.363]  I lead an incredibly stressful life.
[00:19:27.363 --> 00:19:28.864]  I don't plan to miss your health.
[00:19:28.864 --> 00:19:36.486]  But if I wasn't taking products like X3 from InfoWarshaw.com, I could not continue to do what I'm doing today.
[00:19:37.006 --> 00:19:41.631]  The energy, the stamina, the libido, the immune system boost is incredible.
[00:19:41.631 --> 00:19:48.378]  And despite the fact it's selling out, X3 is 50% off right now exclusively at InfoWarStore.com.
[00:19:48.378 --> 00:19:51.040]  There's a run on iodine happening right now because of the war.
[00:19:51.040 --> 00:19:52.302]  We're not selling it for that.
[00:19:52.302 --> 00:19:55.765]  We're selling it for what it does for your immune system and your focus and clarity.
[00:19:55.765 --> 00:19:59.349]  Get X3 today, 50% off at InfoWarStore.com.
[00:19:59.349 --> 00:20:00.090]  All supplies last.
[00:20:01.078 --> 00:20:05.702]  Leading a frontal assault on the lies of the New World Order.
[00:20:05.702 --> 00:20:06.983]  It's Alex Jones!
[00:20:18.563 --> 00:20:28.607]  Thank you for joining us on this live, unfiltered, uncensored, Americana transmission.
[00:20:28.607 --> 00:20:30.168]  I'm your host, Alex Jones.
[00:20:30.168 --> 00:20:32.089]  Very blessed and honored to be here with you.
[00:20:35.100 --> 00:20:50.475]  We're under massive attack, massive demonization, massive lies, but because we haven't let the globalist mind trick us into giving up, thanks to your support and your continued word of mouth and your prayer, InfoWars.com and this broadcast is bigger than it's ever been.
[00:20:50.475 --> 00:20:56.760]  I have done hundreds of interviews in the last month and hundreds more I didn't have the time and energy to do.
[00:20:57.950 --> 00:21:02.191]  And all these different big broadcasters saying, we apologize, you were right.
[00:21:02.191 --> 00:21:03.271]  The New World Order is real.
[00:21:03.271 --> 00:21:04.851]  They want to forcibly inject us.
[00:21:04.851 --> 00:21:06.432]  They're coming after our children.
[00:21:06.432 --> 00:21:08.112]  They're building COVID camps.
[00:21:08.112 --> 00:21:09.992]  What do we do?
[00:21:09.992 --> 00:21:22.134]  And so I want to thank the listeners and viewers and the crew for being so steadfast in this fight, because we're being vindicated and we have a good chance of stopping the globalists together.
[00:21:22.134 --> 00:21:25.875]  And by the day, more and more people shift their perspective
[00:21:27.315 --> 00:21:35.758]  From being a nice, good person, which you still are, but to thinking like a globalist and reading their own documents and understanding just how evil they are.
[00:21:35.758 --> 00:21:44.661]  And it's hard to get your mind around, but once you see things through their eyes, there's no putting the genie back in the bottle.
[00:21:44.661 --> 00:21:52.844]  So there's been a war on children, a war on innocence in pagan and occultic cultures in every place in the world.
[00:21:52.844 --> 00:21:56.885]  Whether you're black, whether you're brown, whether you're white, whether you have an Asian background.
[00:21:58.453 --> 00:22:12.938]  Every culture develops, builds, hits a golden age, and then these evil cults arise that always demand the blood of children, or always want to attack and destroy the innocence of children.
[00:22:12.938 --> 00:22:26.083]  It's a very small group of people that are influenced by evil, but they then take control of government, get yes-men into positions under them, will follow orders, and then they always go after the children.
[00:22:26.083 --> 00:22:27.444]  And now they've crossed the Rubicon
[00:22:28.575 --> 00:22:47.668]  With millions of children having their breasts and penises and genitals cut off and Democrats and leftists all over the world passing laws in different jurisdictions that parents can't say no when the school starts convincing their seven-year-old to get on the fast track to sterilization.
[00:22:47.668 --> 00:22:48.729]  It is just unbelievable.
[00:22:49.818 --> 00:23:00.182]  If you went in to a doctor's office and said, I want you to cut my 8-year-old's or 10-year-old's arm off, they'd call the police or call a paddy wagon to send you to the local mental institution.
[00:23:00.182 --> 00:23:07.145]  But when it's the state and the left and the bullying Hollywood culture and the judges, well then, step back and let them have our children.
[00:23:08.018 --> 00:23:09.719]  Let them go after their genitals.
[00:23:09.719 --> 00:23:11.659]  We know having sex with them is evil and wrong.
[00:23:11.659 --> 00:23:13.080]  We know torturing them is wrong.
[00:23:13.080 --> 00:23:16.701]  But if you call it gender reassignment, then it's okay.
[00:23:16.701 --> 00:23:20.523]  Very powerful report that needs to go viral at Banned.Video.
[00:23:20.523 --> 00:23:24.264]  And remember, we built Banned.Video because they ban people all over the place.
[00:23:24.264 --> 00:23:25.885]  We have hundreds and hundreds of great contributors.
[00:23:26.525 --> 00:23:27.945]  Reaching millions of people a day.
[00:23:27.945 --> 00:23:32.507]  Not just with our videos, but the other videos are getting millions of views a day in the aggregate.
[00:23:32.507 --> 00:23:35.368]  Some of the videos get 4, 5, 6, 8 million views a piece.
[00:23:35.368 --> 00:23:37.809]  On average, my videos get about 100,000 views.
[00:23:37.809 --> 00:23:39.269]  Dozens a day.
[00:23:39.269 --> 00:23:40.950]  Greg Reese's about half a million on average.
[00:23:40.950 --> 00:23:46.792]  But the point is, it's there for you to share the truth and get it out to folks.
[00:23:46.792 --> 00:23:53.774]  So here is an extremely important report titled, World War Trans.
[00:23:54.775 --> 00:24:06.618]  Where the left openly admits they want to attack any Christian or Orthodox nation that isn't going along with their targeting of children and their in-game goal is our children.
[00:24:06.618 --> 00:24:18.460]  So I'm going to have World War Trans posted under the live show feed, under our live show feed today, so you can find it easily and share it or it's the top video at BAN.VIDEO.
[00:24:18.460 --> 00:24:19.261]  Here's the report.
[00:24:19.261 --> 00:24:20.781]  We'll come back and cover the latest news.
[00:24:27.842 --> 00:24:36.522]  The official president of the United States has warned the world they will face Armageddon if Russia uses tactical nukes in Ukraine.
[00:24:37.719 --> 00:24:52.383]  And when the Russian president said that the use of nuclear weapons in Ukraine is senseless, the Biden administration reversed the no-first-use and sole-purpose policies regarding nuclear warfare, meaning that the U.S.
[00:24:52.383 --> 00:24:58.184]  will now consider first-strike nuclear attacks against non-nuclear threats.
[00:24:59.625 --> 00:25:03.489]  In a surprising break from projection and gaslighting, U.S.
[00:25:03.489 --> 00:25:08.694]  Congressman Jamie Raskin recently explained the truth behind the current U.S.
[00:25:08.694 --> 00:25:10.456]  policy with Russia.
[00:25:10.456 --> 00:25:15.240]  Russia is an Orthodox Christian country with traditional social values.
[00:25:15.240 --> 00:25:19.765]  And for that reason, it must be destroyed, no matter what the cost to us.
[00:25:21.411 --> 00:25:23.693]  So this is not a conventional war.
[00:25:23.693 --> 00:25:25.975]  This is a jihad.
[00:25:25.975 --> 00:25:30.159]  Jamie Raskin said that out loud, but many in Washington agree with him.
[00:25:30.159 --> 00:25:34.684]  In both parties, they would like to see World War Trans immediately.
[00:25:34.684 --> 00:25:37.106]  On the surface, that's what this is.
[00:25:37.106 --> 00:25:38.648]  World War Trans.
[00:25:39.168 --> 00:25:41.550]  That is what the United States has become.
[00:25:41.550 --> 00:25:48.977]  To the rest of the world, America has become the land of abortions, castrations, death, and lies.
[00:25:48.977 --> 00:25:55.263]  Meanwhile, our diesel fuel is set to run out before the winter, and our leadership could care less.
[00:25:55.987 --> 00:26:03.577]  What are we doing to increase the supply of diesel, given that the Energy Information Administration said as of October 14th, the U.S.
[00:26:03.577 --> 00:26:06.060]  only had about a 25-day supply.
[00:26:06.060 --> 00:26:10.046]  You have Northeast and New York already rationing home heating oil.
[00:26:11.227 --> 00:26:15.790]  What are we doing to prepare for the winter and to ramp up the supply of diesel?
[00:26:15.790 --> 00:26:19.252]  I'll take the question on the diesel, because I just don't have the data on that in front of me.
[00:26:19.252 --> 00:26:22.034]  So let me take that and we'll get back to you on that.
[00:26:22.034 --> 00:26:34.381]  But writ large, the President has been working very, very hard to make sure that not only are we ready for fluctuations that could come, and of course the prices are going down, and we think that's important.
[00:26:35.982 --> 00:26:42.885]  But that we are also doing what we can to help our European friends and partners who are also going to be facing a long cold winter.
[00:26:42.885 --> 00:26:44.886]  We have doubled our commitment.
[00:26:44.886 --> 00:26:49.648]  The commitment you made in March for natural gas exports to Europe, we've doubled that commitment.
[00:26:49.648 --> 00:26:54.750]  The President has cut off our fuel and given away our emergency reserves.
[00:26:55.951 --> 00:27:00.055]  Without diesel fuel, the entire nation comes to a halt.
[00:27:00.055 --> 00:27:03.117]  And at this point, nothing is being done to stop it.
[00:27:03.117 --> 00:27:05.879]  The problem is, at this point, there may not be an answer.
[00:27:05.879 --> 00:27:08.822]  Because there may not be a way to avoid a disaster.
[00:27:08.822 --> 00:27:15.528]  Diesel fuel is not just low in this country, it's low in every western nation that has aligned itself with Ukraine.
[00:27:15.528 --> 00:27:19.371]  All these nations preparing for World War Trans are running out of diesel fuel.
[00:27:19.591 --> 00:27:33.334]  While millions may be scratching their heads over World War Trans, too afraid to speak against it, Russian President Vladimir Putin recently explained what it's all about and how Russia has already been there.
[00:27:33.334 --> 00:27:41.716]  He said, after the 1917 revolution, the Bolsheviks also said that they would change existing ways and customs.
[00:27:42.216 --> 00:27:50.862]  And not just political and economic ones, but the very notion of human morality and the foundations of a healthy society.
[00:27:50.862 --> 00:27:59.748]  The destruction of age-old values, religion, and relations between people, up to and including the total rejection of family.
[00:28:00.308 --> 00:28:03.071]  All this was proclaimed progress.
[00:28:03.071 --> 00:28:07.496]  Widely supported around the world back then, and was quite fashionable.
[00:28:07.496 --> 00:28:09.117]  Same as today.
[00:28:09.117 --> 00:28:12.260]  Parent number one, and parent number two.
[00:28:12.260 --> 00:28:15.003]  Birthing parent, instead of mother.
[00:28:15.003 --> 00:28:17.306]  I repeat, this is nothing new.
[00:28:17.306 --> 00:28:20.789]  And they made such a mess, it still makes one shudder at times.
[00:28:21.910 --> 00:28:26.893]  President Putin says America should do what they want, but leave Russia out of it.
[00:28:26.893 --> 00:28:28.634]  They've already been there.
[00:28:28.634 --> 00:28:39.381]  And seeing as how Americans have become nothing but submissive spectators, it seems as if the United States will be going there as well, starting this winter.
[00:28:39.381 --> 00:28:41.643]  Reporting for InfoWars, this is Greg Reese.
[00:28:59.810 --> 00:29:05.854]  I am extremely honored to be seen by the globalists as their number one enemy.
[00:29:05.854 --> 00:29:08.977]  I am blessed to know that our information is so hardcore.
[00:29:10.060 --> 00:29:14.962]  The enemies of humanity are obsessed with silencing us.
[00:29:14.962 --> 00:29:18.504]  They know the truth about their globalist operations is exposed.
