[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[06:03.000 --> 06:08.000]  Launched from the Infowars.com studios, it's Alex Jones.
[06:08.000 --> 06:12.000]  All units confirm weapons targeted and ready, awaiting launch codes.
[06:12.000 --> 06:13.000]  We are at launch mode.
[06:13.000 --> 06:17.000]  Do you really believe that the enemy would attack without provocation?
[06:17.000 --> 06:22.000]  If you are receiving this transmission, you are the resistance.
[06:22.000 --> 06:23.000]  We're in.
[06:23.000 --> 06:25.000]  Russians are still denying everything, sir.
[06:25.000 --> 06:28.000]  We have Soviet submarine launch detection.
[06:28.000 --> 06:32.000]  I wish I didn't know about any of this. I wish I was like everybody else.
[06:32.000 --> 06:37.000]  Strange game, the only winning game is not to be read.
[06:37.000 --> 06:44.000]  Yes, a strange game.
[06:44.000 --> 06:48.000]  The only way to win is not to play.
[06:48.000 --> 06:53.000]  I am Alex Jones, your host, coming to you from my home in central Texas.
[06:53.000 --> 06:58.000]  And we have David Knight back at the Infowars.com news studios,
[06:58.000 --> 07:02.000]  where we produce weeknight news, 7 o'clock central every evening.
[07:02.000 --> 07:07.000]  And where I bring you the weekday syndicated radio transmission, 11 a.m.
[07:07.000 --> 07:08.000]  to 2 p.m. central.
[07:08.000 --> 07:10.000]  This is the Sunday edition.
[07:10.000 --> 07:15.000]  We've had the weekday edition now for 19 years, or 18 and a half years.
[07:15.000 --> 07:17.000]  And then we've, of course, been doing for over six years,
[07:17.000 --> 07:21.000]  the Sunday, 4 to 6 p.m. central transmission.
[07:21.000 --> 07:25.000]  The news websites are Infowars.com and prisonplanet.com.
[07:25.000 --> 07:30.000]  I think that war games intro is proper because I've never been to Russia.
[07:30.000 --> 07:35.000]  I don't agree with a lot of the things the Russians do or that Vladimir Putin is up to.
[07:35.000 --> 07:39.000]  But they've been actually moving away from communism more towards free market in many ways.
[07:39.000 --> 07:41.000]  And I do agree with that.
[07:41.000 --> 07:45.000]  And the wealth of the average Russian has been going up since 1991.
[07:45.000 --> 07:47.000]  Even though they've had a lot of problems.
[07:47.000 --> 07:52.000]  So, you know, I'm rooting for the Russians to make it and to basically have the American dream.
[07:52.000 --> 07:55.000]  I want the American dream as well.
[07:55.000 --> 08:00.000]  That said, Putin's been totally defeated in the last few months.
[08:00.000 --> 08:05.000]  The EU could not get the Ukrainians to vote to join the European Union
[08:05.000 --> 08:10.000]  and be looted by the same central banks that have been looting Greece and Spain and many other countries.
[08:10.000 --> 08:15.000]  And so they went and started a civil war over through the government.
[08:15.000 --> 08:20.000]  And NATO-backed rebels took 93% of the country.
[08:20.000 --> 08:25.000]  The Russians took their military bases on their border in the Crimea and their naval bases
[08:25.000 --> 08:33.000]  and basically have seen 90% of the country that they were somewhat controlling taken over.
[08:33.000 --> 08:37.000]  The media spun it that, oh my gosh, the Russians invaded their Sohail.
[08:37.000 --> 08:41.000]  If you follow the news like we do, and we covered this last week,
[08:41.000 --> 08:49.000]  it was the deadline last Sunday for the Ukrainian military to pull out of Russian military bases that they had taken over.
[08:49.000 --> 08:52.000]  One commander refused to leave.
[08:52.000 --> 08:55.000]  And so the Russians went in with armored vehicles, blew open the wall,
[08:55.000 --> 09:02.000]  and the military there, the Ukrainians, stood down when the Russian special forces came in and they arrested them.
[09:02.000 --> 09:07.000]  And our media is trying to act like it's the beginning of World War III.
[09:07.000 --> 09:10.000]  And it certainly could be if they keep pushing the Russians.
[09:10.000 --> 09:15.000]  But the truth is NATO and the EU just took 90% of the country.
[09:15.000 --> 09:20.000]  And then the Russians simply grabbed their pipelines and their industrial area
[09:20.000 --> 09:23.000]  that feeds gas and oil to Europe and their military bases.
[09:23.000 --> 09:29.000]  And the United States would do the exact same thing if it was something like Guantanamo Bay in Cuba,
[09:29.000 --> 09:33.000]  which they kept after Fidel took over in 1960.
[09:33.000 --> 09:35.000]  It's the exact same issue.
[09:35.000 --> 09:42.000]  The West is trying to start a war with Russia, not America, but the same globalist interest that run the EU.
[09:42.000 --> 09:45.000]  The EU is run by corporate interests that are not free market.
[09:45.000 --> 09:53.000]  So it's not just the Chinese, the Russians, the US that are players on the global scene with the British and French and Germans to a lesser extent.
[09:53.000 --> 10:00.000]  The big player is the multinational corporations that operate just like governments and are above the law and have diplomatic immunity
[10:00.000 --> 10:09.000]  and basically pay no taxes, who are always lobbying JPMorgan Chase, Goldman Sachs, Microsoft, Google.
[10:09.000 --> 10:15.000]  They give money to the anti-gun groups. They give money to the Enviro Nazi groups that want to raise taxes on families and businesses
[10:15.000 --> 10:17.000]  because they're all exempt.
[10:17.000 --> 10:22.000]  They are the people running the world into the ground on record.
[10:22.000 --> 10:25.000]  They're the enemy. They're the ones perching on top America.
[10:25.000 --> 10:27.000]  They're the ones trying to start war with Russia.
[10:27.000 --> 10:31.000]  They're the ones sucking Ireland and Greece and Spain dry and Iceland.
[10:31.000 --> 10:38.000]  They're the ones creating 1.5-quadrillion in derivatives and trying to sign us on to them.
[10:38.000 --> 10:48.000]  And they know people are waking up to this worldwide, so now they're moving to try to censor media, mainstream media, alternative media, print media, internet media.
[10:48.000 --> 10:56.000]  Everywhere, people are being censored, demonstrations, hanging up signs, handing out flyers, all over the country is being outlawed.
[10:56.000 --> 11:00.000]  We criticize Russia when they do that, but then it's happening here.
[11:00.000 --> 11:08.000]  First lady, a snapping turtle, Obama's wife, a beard, a fake wife, whatever she is, like Hillary, was a fake wife for Clinton.
[11:08.000 --> 11:11.000]  That's now admitted. A ranged marriage, totally fake.
[11:11.000 --> 11:14.000]  He's chasing every woman he sees. Hillary's chasing every woman she sees.
[11:14.000 --> 11:21.000]  But side issue, the point is, is that she goes to China and says, human rights off the table.
[11:21.000 --> 11:24.000]  China will kill you if you criticize the government.
[11:24.000 --> 11:32.000]  China puts Falun Gong practitioners, peaceful Buddhists, in prisons, blood types them, and then sells their organs because they don't use drugs and have good organs.
[11:32.000 --> 11:38.000]  I mean, our government won't even criticize Tiananmen Square now on the anniversary.
[11:38.000 --> 11:47.000]  So there's all these different forms of corporate funding, foreign interfering, you know, the Chinese government censoring what could come out in movies or in print.
[11:47.000 --> 11:53.000]  I talked to authors like Michael Savage, he was told point blank, you know, your latest book's not going to be sold because the Chinese government doesn't like it.
[11:53.000 --> 11:57.000]  That's the guy who's had like 40 best-selling books.
[11:57.000 --> 12:05.000]  This is serious. They're trying to keep Rush Limbaugh from winning an award for his children's book right now, trying to disqualify it from contest.
[12:05.000 --> 12:13.000]  This is the censorship we're seeing, and you may have heard these headlines here on the air when infowars.com writes articles about them and drudgereport.com,
[12:13.000 --> 12:16.000]  the number one newsletter in the world picks them up and carries them.
[12:16.000 --> 12:18.000]  You may have heard these headlines.
[12:18.000 --> 12:23.000]  Californian signed petition to allow soldiers to commandeer anyone's home.
[12:23.000 --> 12:28.000]  College student signed petition to imprison all registered gun owners.
[12:28.000 --> 12:32.000]  Obama supporters signed to repeal First Amendment, signed petition.
[12:32.000 --> 12:38.000]  And then the story ends up being on Fox News CNN after we push it out there.
[12:38.000 --> 12:40.000]  It's a ripple effect, and they don't like that.
[12:40.000 --> 12:44.000]  Mark Dice's video, some of them had 5 million views apiece, in fact more.
[12:44.000 --> 12:48.000]  And his videos were getting bigger and bigger each time, just like ours are.
[12:48.000 --> 12:52.000]  What did Google do? They took down both his channels two days ago.
[12:52.000 --> 12:54.000]  Both his channels.
[12:54.000 --> 12:59.000]  And they did it with the supermods that the government has gotten them to approve.
[12:59.000 --> 13:02.000]  And it was only because I had contacts.
[13:02.000 --> 13:13.000]  I don't like to talk about this, but there are good people inside YouTube and Google that I was able to put Dice in contact with senior people who saw that it was basically fake moderation
[13:13.000 --> 13:16.000]  to restore his channel 30 minutes ago.
[13:16.000 --> 13:21.000]  And I don't like to talk about our connections and things, folks, but it's a war to bring you this radio show.
[13:21.000 --> 13:24.000]  It is a war to bring you news articles.
[13:24.000 --> 13:27.000]  It is a war to bring you these videos.
[13:27.000 --> 13:29.000]  It is a war.
[13:29.000 --> 13:36.000]  And there are good people in the FBI, good people in your local school, good people in the police department, good people at the local corporation,
[13:36.000 --> 13:40.000]  good people in Google, good people in Microsoft.
[13:40.000 --> 13:51.000]  And it's a war, folks, with different infiltrators from both sides, because clearly Mark Dice's videos did not cause any, you know, violation of rules.
[13:51.000 --> 13:58.000]  He goes out and interviews real people in public like Jay Walking, Jay Leno, and says, should we put all Republicans in death camps?
[13:58.000 --> 14:04.000]  90 plus percent of the Californians say, yes, I want to kill them and sign the form.
[14:04.000 --> 14:07.000]  And in many cases, he even blurs their faces out, even though it's in public.
[14:07.000 --> 14:09.000]  It's like the news can walk up to you and talk to you.
[14:09.000 --> 14:11.000]  They had a concerted effort to take his channels down.
[14:11.000 --> 14:18.000]  They're trying to take our channels down that have over 500 million views all of them together, not counting other channels that have hundreds of millions of views.
[14:18.000 --> 14:24.000]  I have films on YouTube with 14 million views, 15 million views, 10 million views, 8 million views.
[14:24.000 --> 14:26.000]  They cannot deal with us, folks.
[14:26.000 --> 14:30.000]  We are absolutely just hurting them badly just in that venue.
[14:30.000 --> 14:38.000]  Now, I'm blessed because I've got old dinosaur media, but the only true dinosaur media that's still standing, kind of like the alligators who are around with the crocodile, is talk radio.
[14:38.000 --> 14:41.000]  Because it was alternative media when there was no internet.
[14:41.000 --> 14:50.000]  When the fairness doctrine got ended by the Reagan administration and lawyers that we've interviewed on air, the former head lawyer for the FCC, were just fine.
[14:50.000 --> 14:54.000]  That's why you had the proto internet in talk radio.
[14:54.000 --> 14:56.000]  They want to shut that down too as well.
[14:56.000 --> 15:13.000]  We'll be right back.
[15:13.000 --> 15:28.000]  You are receiving this transmission. You are the resistance.
[15:28.000 --> 15:37.000]  Revolution in their minds. The children start to march.
[15:37.000 --> 15:41.000]  They want the republic. They want America back.
[15:41.000 --> 15:44.000]  They don't care if the democratic or republican party stands in their way.
[15:44.000 --> 15:48.000]  They will go up and over the top of any enemy, foreign or domestic.
[15:48.000 --> 15:50.000]  I am your host Alex Jones.
[15:50.000 --> 15:53.000]  David Knight is back at the M4 Wars News Command Center writing shotgun with us.
[15:53.000 --> 15:59.000]  We're going to have Mark Dice, media critic, who's been on Fox News, seeing it in many times.
[15:59.000 --> 16:04.000]  He's been very successful, C-SPAN best-selling author, who's been critical of me some in the past.
[16:04.000 --> 16:06.000]  Why would I then play his videos on air?
[16:06.000 --> 16:07.000]  Why would I promote him?
[16:07.000 --> 16:11.000]  Because he does a good job on the street, and he's not a communist. He's not a socialist.
[16:11.000 --> 16:13.000]  He's fighting a new world order.
[16:13.000 --> 16:17.000]  And that's the big enemy that's trying to take my guns, that's saying my kids belong to them,
[16:17.000 --> 16:23.000]  that wants to exempt major corporations from taxes, but raise my taxes to give them banker bailout money.
[16:23.000 --> 16:25.000]  That's my enemy.
[16:25.000 --> 16:31.000]  And so Dice's site, his YouTube channels with, I don't know, 50, 60-something million views or more.
[16:31.000 --> 16:34.000]  I know that's conservative. I think one of the channels had that.
[16:34.000 --> 16:43.000]  We have screenshots of it. Why would I get on the phone and give him emails to high-level people inside YouTube
[16:43.000 --> 16:51.000]  just so they could review that some of their master moderators were censoring the First Amendment
[16:51.000 --> 16:56.000]  and that they better review it and understand that clearly he didn't violate their terms of service
[16:56.000 --> 16:58.000]  and that they want a big controversy on their hands?
[16:58.000 --> 17:03.000]  Why would I do that for somebody, some other media person, somebody who's been critical of me?
[17:03.000 --> 17:07.000]  Because folks, I'm for the First Amendment and I know the rules of YouTube
[17:07.000 --> 17:09.000]  and I know the rules of how it's the public commons
[17:09.000 --> 17:14.000]  and I know how they're shutting down libertarians and conservatives and patriots and Christians everywhere.
[17:14.000 --> 17:19.000]  And I know how thousands of conservatives and libertarians, the New York Times reports,
[17:19.000 --> 17:25.000]  have to meet in secret in Los Angeles because they'll be blackballed if they discover that they're not Democrats.
[17:25.000 --> 17:28.000]  That is tyranny. That's beyond McCarthyism.
[17:28.000 --> 17:36.000]  And I'm against McCarthyism in the manifestation of McCarthy and I'm against McCarthyism squared under the Democrats.
[17:36.000 --> 17:42.000]  I stand with the First Amendment because if we don't stand together, we will hang separate.
[17:42.000 --> 17:47.000]  I wanted to bring David Knight in and then I'm going to go over the constellation, the cornucopia,
[17:47.000 --> 17:54.000]  the 15 or so torpedoes at free speech, not just here but worldwide.
[17:54.000 --> 17:58.000]  I've got a whole list here I've written. I'm going to break that down.
[17:58.000 --> 18:04.000]  But first, before we go to David Knight, of the hundreds of videos he's put out that drudge
[18:04.000 --> 18:10.000]  perennially or continually links to when we write stories about him, here's one where...
[18:10.000 --> 18:14.000]  This is unedited, folks. He'll go out and show whoever he talked to.
[18:14.000 --> 18:22.000]  I mean, he clips out the spaces but 90-plus percent of Californians say they want to put all gun owners in camps.
[18:22.000 --> 18:28.000]  They want to bring in communism. They want to arrest all conservatives.
[18:28.000 --> 18:31.000]  These are people that speak clear English. Black, white, doesn't matter.
[18:31.000 --> 18:37.000]  They don't want this out, folks. And other people are starting to copy what I did first, what Mark started doing,
[18:37.000 --> 18:45.000]  and now a bunch of college students on their colleges are showing the cult, fake, liberal, fascist, authoritarian weirdos
[18:45.000 --> 18:50.000]  calling for ending free speech. I'm seeing videos every day that we're putting on infowars.com
[18:50.000 --> 18:55.000]  where people are going to press conferences and asking real questions as citizen journalists,
[18:55.000 --> 19:00.000]  where they're going into classrooms at colleges and bringing up issues, where they're on the street talking to people,
[19:00.000 --> 19:06.000]  showing how evil they are, how dumb down they are. The system doesn't want you to see this.
[19:06.000 --> 19:13.000]  They want to make modern liberalism look trendy and intellectual, not dumb down and authoritarian and kleptocratic.
[19:13.000 --> 19:18.000]  So this is what they censored and banned for two days. Here's a clip.
[19:18.000 --> 19:24.000]  We hope to repeal the Second Amendment and keep guns off the campus and keep everybody safe.
[19:24.000 --> 19:32.000]  We just want to make sure that we support Obama and the Bilderberg group and just disarm the citizens.
[19:32.000 --> 19:36.000]  We could trust the government to be the only ones with guns.
[19:36.000 --> 19:41.000]  You have a birth date and a signature to repeal the Second Amendment.
[19:41.000 --> 19:50.000]  These peasants don't need guns, so thanks for supporting that. Appreciate that. Thanks for your help.
[19:50.000 --> 19:56.000]  We're trying to repeal the Second Amendment and put all gun owners in prison.
[19:56.000 --> 20:02.000]  The registered gun owners put them in prison. Thank you for supporting that.
[20:02.000 --> 20:08.000]  It's too dangerous. They don't need these guns anymore. Only the police need the guns, right?
[20:08.000 --> 20:14.000]  We could trust them. Have a good day. Thank you.
[20:14.000 --> 20:22.000]  Alright, that's enough. It's like an 8-minute video and he talks to a guy in pure clearing, which is an older white guy.
[20:22.000 --> 20:25.000]  He goes, we just need to take all the guns and put them in the camp.
[20:25.000 --> 20:29.000]  And the guy goes, buddy, you don't have to tell me and signs it and shakes his hand.
[20:29.000 --> 20:33.000]  We're going to put them in a forced labor camp and take all their guns because they're bad.
[20:33.000 --> 20:39.000]  He goes, you want to tell me? Do you want to arrest me because I own a gun? You nutball?
[20:39.000 --> 20:43.000]  So this is what they don't want to see. And I'm telling you, it scares them.
[20:43.000 --> 20:47.000]  We've had our YouTube shutdown before. We've had our Facebook shutdown before.
[20:47.000 --> 20:51.000]  We've had our Twitter's and people say, well, just don't get a Twitter or a Facebook, then, Alex.
[20:51.000 --> 20:57.000]  They advertise as commons. They want to be the web. So they say you bring your content there
[20:57.000 --> 21:00.000]  and then if you follow the rules, you can be there.
[21:00.000 --> 21:05.000]  If we follow the rules, we dominate as real liberals like Thomas Jefferson against the fascist liberals
[21:05.000 --> 21:08.000]  and they want to shut us down. And I'm going to go over a bunch of examples.
[21:08.000 --> 21:11.000]  This is only one small part of the censorship happening.
[21:11.000 --> 21:16.000]  And I want you to understand the modern book burning for what it is, the modern gagging for what it is.
[21:16.000 --> 21:20.000]  But I wanted to get David Knight's take on what we're seeing here.
[21:20.000 --> 21:24.000]  And again, why real media? I don't care if you're liberal or conservative.
[21:24.000 --> 21:32.000]  When I saw Dinesh D'Souza arrested clearly for stuff that wasn't even against the law, giving thousands of dollars to his friend for a Senate run.
[21:32.000 --> 21:36.000]  Imagine if Michael Moore had been arrested after his movie came out against Bush.
[21:36.000 --> 21:40.000]  Even though I didn't agree with Michael Moore, I would have come out for him.
[21:40.000 --> 21:45.000]  I mean, where's the basic instinct in the media to stand for each other?
[21:45.000 --> 21:48.000]  Where is the people's basic instinct, David Knight?
[21:48.000 --> 21:56.000]  Well, Alex, I think it's time for some people on the left to basically start looking at the free speech and due process issues that these things all bring up.
[21:56.000 --> 22:01.000]  You know, we've seen over and over again, we've seen Acta, Pippa, Sopa, Syspa twice.
[22:01.000 --> 22:09.000]  We see them trying to set up a regime where they can pull down websites, not just videos, not just YouTube sites, but just entire websites.
[22:09.000 --> 22:17.000]  And of course, when one of these was being protested, a lot of people blacked out their site for a day because that was exactly what's going to happen with this stuff.
[22:17.000 --> 22:19.000]  They're not going to be able to take it down.
[22:19.000 --> 22:25.000]  And there's the spirit of censorship that the liberals are giving a pass to because it's their guy.
[22:25.000 --> 22:27.000]  They need to wake up to this.
[22:27.000 --> 22:35.000]  We look at executive orders that Obama has put out over this Ukraine thing, where he's going to bar people who disagree with him from entering the country,
[22:35.000 --> 22:39.000]  where he's going to confiscate possessions of people in this country.
[22:39.000 --> 22:42.000]  That's not just aliens, but it's people who are here in this country.
[22:42.000 --> 22:47.000]  And suddenly our government will not criticize Communist China and their rampant human rights abuse.
[22:47.000 --> 22:48.000]  Yes, yes.
[22:48.000 --> 22:52.000]  I've had some commenters point out, and I said, yeah, I should have mentioned this when we talked about it on the nightly news,
[22:52.000 --> 23:02.000]  that what Obama's executive orders did, shutting down aliens who say something about his foreign policy in Ukraine, keeping them out of the country,
[23:02.000 --> 23:06.000]  confiscating the possessions of people in this country who criticize his policy.
[23:06.000 --> 23:12.000]  That's very similar to the Alien and Sedition Acts that we had at the very beginning of this republic.
[23:12.000 --> 23:15.000]  And we understand that we had the Kentucky Resolutions.
[23:15.000 --> 23:23.000]  We had the nullification talk that came from Jefferson and others pushing back against us saying this strikes at the very heart of the republic.
[23:23.000 --> 23:24.000]  It certainly does.
[23:24.000 --> 23:29.000]  When I come back, we're going to bring Mark Dyshup and continue to get your commentary and analysis with David Knight.
[23:29.000 --> 23:34.000]  I'm your host Alex Jones, and I want to just mention the different ways they're censoring when we come back, just a few of them.
[23:34.000 --> 23:35.000]  And there's a lot of others.
[23:35.000 --> 23:39.000]  I mean, it's a mass attack, and they want to deny it's going on.
[23:39.000 --> 23:41.000]  They don't want to have a public debate about this.
[23:41.000 --> 23:42.000]  This is going on.
[23:42.000 --> 23:46.000]  This is what the dictator's final step is, because we're winning.
[23:46.000 --> 23:47.000]  We've got it, we've got it.
[23:47.000 --> 23:50.000]  They can't stand it coming down.
[23:53.000 --> 23:56.000]  Waging war on corruption.
[23:56.000 --> 23:58.000]  All right, you are a ghost.
[23:58.000 --> 24:08.000]  It's Alex Jones coming to you live from the front lines of the Info War.
[24:08.000 --> 24:17.000]  Now imagine, now five and a half, six years ago, my film of the Obama deception comes out on DVD.
[24:17.000 --> 24:23.000]  It's seen tens of millions of times on Google and YouTube and everywhere else, or the top films in the country free for download.
[24:23.000 --> 24:28.000]  We're selling the DVD, and we put a Google store up that we already had.
[24:28.000 --> 24:30.000]  We had a bunch of different shopping carts, we still do.
[24:30.000 --> 24:33.000]  And Google says, in an email, we're shutting your store down.
[24:33.000 --> 24:35.000]  This film is racist.
[24:35.000 --> 24:43.000]  The film says nothing about Obama's shared racial, mixed racial background, white and black.
[24:43.000 --> 24:47.000]  It's about how he's a globalist and wants world government.
[24:47.000 --> 24:50.000]  Still, they would not allow us to engage in commerce.
[24:50.000 --> 24:53.000]  You can say, well, that's their site. They're allowed to do what they want.
[24:53.000 --> 25:03.000]  Really, so if they're, say, Christians have a site that allows people to come out of business and somebody else can't come on it,
[25:03.000 --> 25:07.000]  they're advertising as if they're open to everybody and then they don't let you.
[25:07.000 --> 25:13.000]  But again, there's a fight inside Google and YouTube for whether they will be good or evil.
[25:13.000 --> 25:15.000]  It's the same thing.
[25:15.000 --> 25:22.000]  We need to put pressure on Google and Microsoft and everybody else so that they can't get away with the type of things they're doing.
[25:22.000 --> 25:26.000]  We've had the Alex Jones channel that's got like 400 million views.
[25:26.000 --> 25:29.000]  Again, just one of my channels with 400 million views.
[25:29.000 --> 25:32.000]  It's like 500 something million with other channels.
[25:32.000 --> 25:35.000]  Count all the channels together. It's got to be 600, 700 million views.
[25:35.000 --> 25:37.000]  I haven't had time to count it all up. It's huge.
[25:37.000 --> 25:39.000]  That's conservative, by the way.
[25:39.000 --> 25:41.000]  And again, that's just one area we're reaching people.
[25:41.000 --> 25:48.000]  Our biggest audience is terrestrial radio every day with over 3 million terrestrial listeners six days a week.
[25:48.000 --> 25:52.000]  I'm not bragging. I'm saying we're real media. We're big media.
[25:52.000 --> 25:55.000]  We're bigger than MSNBC. We're bigger than CNN.
[25:55.000 --> 26:04.000]  But we don't have all the trappings, all the facades, but they know we have the giant audience and they're scared.
[26:04.000 --> 26:11.000]  The Communist Chinese are censoring almost every major movie that has any criticism of communism or Chinese leadership.
[26:11.000 --> 26:14.000]  It gets censored. Red Dawn, the list goes on and on.
[26:14.000 --> 26:16.000]  That's a form of massive censorship.
[26:16.000 --> 26:21.000]  You've got the chilling effect with the NSA spying on Fox News, the Associated Press.
[26:21.000 --> 26:22.000]  It came out two weeks ago.
[26:22.000 --> 26:26.000]  Drudge Report is being spied on by the Justice Department.
[26:26.000 --> 26:32.000]  We already knew that in regards to and got some of the documents with former Congress from Bob Barr that I'm being spied on.
[26:32.000 --> 26:34.000]  Drudge is being spied on.
[26:34.000 --> 26:36.000]  They're giving government briefings on how bad we are.
[26:36.000 --> 26:41.000]  They have Pentagon briefings that we've covered and played here on air where they say,
[26:41.000 --> 26:44.000]  we can't lie to the American people anymore because of the Drudge Report.
[26:44.000 --> 26:50.000]  See, they're not worried about the New York Times or CNN because they control them with fake left-right garbage.
[26:50.000 --> 26:53.000]  But they don't control infowars.com.
[26:53.000 --> 26:56.000]  They don't control drudgerport.com and they don't like that.
[26:56.000 --> 27:02.000]  I mean, the government surveils us. Jimmy Carter's out today saying he knows he's being spied on.
[27:02.000 --> 27:03.000]  Everybody's being spied on.
[27:03.000 --> 27:05.000]  Rand Paul gave a speech last week at Berkeley.
[27:05.000 --> 27:11.000]  We're going to keep Mark Dyson to the next hour with David Knight.
[27:11.000 --> 27:12.000]  He's writing shotgun.
[27:12.000 --> 27:16.000]  David Knight's got special reports on some big Second Amendment victories.
