[00:00.000 --> 00:27.480]  The
[17:18.320 --> 17:24.800]  the internal operations of the globalists are being externalized. You must decide which side
[17:24.800 --> 17:30.560]  you're on. Living in denial, having mass Stockholm syndrome learned helplessness will only deliver
[17:30.560 --> 17:37.200]  you into misery, destruction, and finally death. And this is a spiritual death. We're talking about
[17:37.200 --> 17:44.400]  not just a physical death. The delusions must end now. Info wars was correct about it all.
[17:44.400 --> 17:48.800]  And we have come so far by exposing the enemy. Most people that are aware of the new order
[17:48.800 --> 17:55.040]  decide to join it out of fear. They are truly fools. We must fight this or lose our souls.
[17:55.040 --> 18:01.840]  You're listening to the Alex Jones show.
[18:25.200 --> 18:32.240]  This isn't a simulation. It's not a drill. It's not a joke. It's not a game.
[18:33.360 --> 18:35.840]  I'm covering real issues here on air and everybody knows it.
[18:36.720 --> 18:41.520]  That's why they want to stop the air. But thanks to you, thanks to you, we're still here and still
[18:41.520 --> 18:50.800]  fighting. I'm going to reset and next segment, I am going to launch into their master plan and
[18:50.800 --> 18:57.200]  what's currently happening and what's unfolding. But you notice we lay out exactly what they would
[18:57.200 --> 19:01.920]  do and that when Trump didn't lock down, they would say it was all his fault. When he did lock
[19:01.920 --> 19:07.520]  down at first, they'd say, great job. Now keep it locked down. You're a bad guy. Then they start
[19:07.520 --> 19:13.600]  blaming the economy on Trump and try to remove it thinking you don't have logic and aren't smart.
[19:13.600 --> 19:18.800]  And that's why you see Fauci and Billa Melinda Gates and the UN all coming out against the
[19:18.800 --> 19:26.400]  United States and Brazil and the UK of all places because they're not going along with the
[19:26.400 --> 19:34.880]  globalist completely. Obama Gates coming out now, but Obama isn't attacking Trump to cover up
[19:34.880 --> 19:45.600]  Obama. They were always planning to emerge and blame President Trump for this. And now right on
[19:45.600 --> 19:52.080]  time, you see that happening. You know, I thought about talking about the president, what really
[19:52.080 --> 19:58.080]  goes on in the White House from my sources to give you a bird's eye view or a fly on the
[19:58.080 --> 20:07.040]  wall view into just how interesting Trump is. But I don't even know if I can do it justice
[20:07.040 --> 20:14.720]  because it's actually a lot of it's critical of the president,
[20:16.720 --> 20:18.640]  but then a lot of it's positive of the president.
[20:21.760 --> 20:28.720]  You know what? Last segment of this hour remind me to do it, guys. I will,
[20:28.720 --> 20:38.080]  I'll tell you what's really going on with Trump. And it's very, very sad. It's very, very pathetic.
[20:40.960 --> 20:46.480]  It's also very, very empowering and real and freaks me out even more.
[20:48.080 --> 20:53.280]  But how to explain this properly? I mean, one could spend months writing a speech about something
[20:53.280 --> 20:59.120]  this big and I just got to lay it out to the best I can here. So I will.
[21:03.360 --> 21:08.720]  But what folks do now understand is we're not in Kansas anymore. Let me just do this.
[21:09.760 --> 21:13.760]  Let's already played this clip a couple of times, but there's so much new news. But
[21:13.760 --> 21:20.160]  sometimes the new news is a distraction, right? Let's play Bill Gates last week with Stephen
[21:20.160 --> 21:24.480]  Colbert, with the monkey see monkey do their both at home and their palatial mansions.
[21:25.920 --> 21:32.080]  And Colbert is groveling to Bill Gates, who's the frontman for all the big Robert Baron money.
[21:37.200 --> 21:41.840]  And he's saying, you predicted everything. You're incredible. Tell me what's coming next.
[21:41.840 --> 21:46.640]  And Gates goes, well, I'm not happy about this because they know it all backfired his gloating
[21:46.640 --> 21:53.760]  and his predicting what he himself did, what his group did. And he goes, yeah, this is
[21:54.480 --> 22:00.480]  event one, event two is coming. It's a bio weapon attack. Now, remember, I told you when event 201
[22:00.480 --> 22:05.840]  came out last year, I said, this is the beginning of all the new events and COVID-19 is named that
[22:05.840 --> 22:12.160]  like each year you get a new virus and your savior Bill Gates. And you do what they say,
[22:12.160 --> 22:17.120]  you take the chips, you take the inoculations, and you get to go outside. We told you years ago,
[22:17.120 --> 22:21.040]  that was the plan, because they wrote about it. And now it's here that he's in the news today
[22:21.040 --> 22:26.640]  going, I told Trump right after he was elected in 2016, get ready for lockdowns and get ready for
[22:26.640 --> 22:30.960]  all this. And he didn't listen to me. He didn't agree with that. He's not good.
[22:34.000 --> 22:38.000]  But separately, people go, yeah, Gates did predict all this. And he did basically finance the
[22:38.000 --> 22:43.040]  wool on lab. And so did Fauci. Wow, they stand again. And he wants to depopulate people. But
[22:43.040 --> 22:47.440]  now he won't go, oh, I don't want to depopulate anybody. And I didn't predict anything. They
[22:47.440 --> 22:51.680]  have all these articles now that he didn't predict anything. He's trying to tell Colbert, hey, hey,
[22:51.680 --> 22:58.400]  stop it. I'm not invested in all this. And I'm not involved that I didn't predict it. Stop,
[22:58.400 --> 23:03.920]  stop. But I will tell you, the next one's going to be a lot worse. How many times have I told
[23:03.920 --> 23:08.640]  you how this works? It's common sense. They launched a simulate they own, they put vaccines
[23:08.640 --> 23:13.440]  in you that are binary weapons that lower your immunity. And then they start releasing the real
[23:13.440 --> 23:20.560]  stuff. So I just want everybody to know parties over, they decided to drop the hammer. And it's
[23:20.560 --> 23:25.120]  only going to get worse from here on out until we totally overthrow these people, these unelected
[23:25.120 --> 23:30.880]  criminals that think they're on our lives. In fact, we come back, pull up a David Knight's
[23:30.880 --> 23:34.320]  pin tweet. It may not be pinned now, but it was pinned this morning when I saw it from a couple
[23:34.320 --> 23:38.960]  days ago. Bill Gates isn't a doctor. He's not an epidemiologist. He's not a virologist.
[23:38.960 --> 23:44.240]  Who gave him the keys to the universe? Why does he rule our world? Because he's the front man.
[23:45.520 --> 23:51.920]  His mother and his father were in the boards of the World Depopulation Society, the World
[23:51.920 --> 23:59.280]  Eugenics Society, Planned Parenthood, the World Birth Control Forum. Gates is not a doctor. He's
[23:59.280 --> 24:05.680]  not an epidemiologist. He's not elected. Gates is not even a lifetime bureaucrat. So why is he the
[24:05.680 --> 24:14.560]  authority? Is this a planned demic, DARPA funded news guard and election guard now running your
[24:14.560 --> 24:22.400]  elections meet your master? So here is Billy Boy tipping his hand again because criminals
[24:22.400 --> 24:31.440]  love to brag. That's 101 in criminology. Here it is. Bill, since you tried to warn us about
[24:31.440 --> 24:37.520]  this pandemic and we didn't listen, what's the next thing you're warning us about that's going
[24:37.520 --> 24:44.720]  to happen five years from now that we're not listening to at the present? Well, I didn't want
[24:44.720 --> 24:50.800]  to be right. What I wanted to do is I understand. I'm not saying you won. Everybody loses. Nobody
[24:50.800 --> 24:54.560]  wins with us. And I'm not saying that you're sure that you're this is not an end zone dance.
[24:54.560 --> 25:00.560]  I'm just saying what else are we not listening to that we need to take action on now? Well,
[25:01.360 --> 25:08.480]  the the idea of a a bioterrorist attack is kind of the nightmare scenario because they're
[25:08.480 --> 25:12.400]  a pathogen with a high death rate would be ticked. Now, the good news is, okay,
[25:12.400 --> 25:20.640]  depression is too late. Now, most of the work we're going to do to be ready for pandemic two,
[25:20.640 --> 25:25.600]  I call this pandemic one, most of the work we'll do to be ready for that are also the
[25:25.600 --> 25:32.000]  things we need to do to minimize the threat of bias. Notice they're wearing the same glasses.
[25:33.040 --> 25:37.360]  Get boss and notice all the MSNBC and CNN hosts are wearing the same glasses.
[25:37.360 --> 25:41.040]  And so does the head of the World Health Organization. And then all the support is
[25:41.040 --> 25:46.880]  down where the same glasses. It's all little uniforms. It's all little cutesy behavior for you.
[25:46.880 --> 25:52.480]  These are sick freaks, like a Nazi armband. So you want to know your enemy? There they are. He
[25:52.480 --> 25:57.280]  goes into forced inoculations, tracking systems, can't leave your house, martial law, permanent
[25:57.280 --> 26:03.520]  martial law and Fauci just gave him a testimony to that. We'll come back and play that. But I thought
[26:03.520 --> 26:07.760]  you should want to see that for yourself because Bill Gates is just so happy there. We talked about
[26:07.760 --> 26:12.720]  collapse, never coming back. He gets all happy when he talks about this horrible
[26:12.720 --> 26:17.360]  bio attack that's coming. He gets real happy. And he could be on with a comic. He could be on
[26:17.360 --> 26:23.520]  with CNN. The freaks are curious. It's all the same. So this is their plan. And they think you're
[26:23.520 --> 26:28.000]  dumb and won't resist it. That's why they're all wearing masks and the Senate hearings. It's all
[26:28.000 --> 26:34.320]  just to show you it's a power grab. But you can fight back. Your word of mouth is paramount.
[26:34.320 --> 26:38.960]  And I can't describe to you how powerful you are. We just tell friends, neighbors,
[26:38.960 --> 26:43.280]  families, every day, random people about info wars.com, forward slash show and
[26:43.280 --> 26:46.240]  fan dot video and about the local radio and TV stations that carry the show.
[26:47.200 --> 26:50.640]  That's how we change this is your power. And by the way, people are waking up.
[26:50.640 --> 26:54.640]  We're on the razor's edge, though. It could go either way right now. You could tip the balance.
[26:54.640 --> 27:00.080]  I was talking to my wife tonight and I was saying our economy slowing down and shutting down is like
[27:00.080 --> 27:05.600]  shooting a deer and it runs 100 yards before it knows it's been shot. And then it finally dies.
[27:05.600 --> 27:10.080]  She said, well, yeah, when I grew up in Omaha, Nebraska, one time there was an argument in the
[27:10.080 --> 27:15.200]  street and another man shot another man in the head and the man that got shot in the head had
[27:15.200 --> 27:20.800]  blood pouring out a huge hole. He was holding it. He walked around gibbering talking nonsense for
[27:20.800 --> 27:26.400]  about 60 seconds and then just fell over dead. Well, that's what's going to happen with our economy.
[27:26.400 --> 27:32.240]  It is in cardiac arrest. This has been done by design and the UN the chai comms the mainstream
[27:32.240 --> 27:38.640]  media orchestrated it hyped it and tried to keep the economy closed. So remember the depression
[27:38.640 --> 27:45.200]  that's coming and the third world collapse is all on the UN on Bill and Melinda Gates on Obama on
[27:45.200 --> 27:50.800]  Hillary on Biden on the Democrats. We tried to stop it. We tried to fight it. You guys said you
[27:50.800 --> 27:55.120]  wanted to wreck America and the world and now you've done it. Congratulations. One of the best
[27:55.120 --> 28:00.000]  nutrients nature has provided beetroot has been used for hundreds of years in natural medicine.
[28:00.000 --> 28:04.800]  Now you can experience the power of this ingredient today with basso bead from info or is life
[28:04.800 --> 28:08.880]  guaranteed to be the next addition to your daily routine. Basso beat is the most concentrated
[28:08.880 --> 28:13.920]  liquid beat extract on the market fully utilizing the heart healthy nitrates and antioxidants to
[28:13.920 --> 28:18.640]  support your mind and body. Basso beat is great for anyone looking to support a healthy living or
[28:18.640 --> 28:23.600]  athletic performance. So check out one of the most incredible ingredients today with basso bead from
[28:23.600 --> 28:29.040]  info or is life. It's time to take a new healthier approach to one of your most basic needs. The
[28:29.040 --> 28:33.280]  elective pure pro water filtration system is the same water filter that Alex and the info
[28:33.280 --> 28:37.280]  war's crew use every day for the purest water possible. You can start cleaning the toxins
[28:37.280 --> 28:41.360]  from your water for clean, healthy and delicious drinking water. Perfect for preppers or anyone
[28:41.360 --> 28:46.080]  concerned with the healthier source of water. The elective pure pro can remove up to 99.9%
[28:46.080 --> 28:50.640]  of impurities. This groundbreaking gravity fed water filtration system is like no other.
[28:50.640 --> 28:54.320]  Make sure your water is up to your standards today with your elective pure pro.
[28:55.920 --> 29:02.960]  As I record this announcement, there's only one week left in the biggest sale yet of 2020. We will
[29:02.960 --> 29:09.920]  not have this sale that's going on right now in May until our Christmas sale comes up. All of our
[29:09.920 --> 29:17.120]  best selling supplements are 30 to 60% off at infowarstore.com. Let me just hone in on one of
[29:17.120 --> 29:24.400]  the products. DNA Force Plus. It's got a high quality PQQ CoQ10 and a bunch of other natural
[29:24.400 --> 29:30.960]  ingredients that are known to supercharge the effects of that. Learn what PQQ and CoQ10 can
[29:30.960 --> 29:34.960]  do for you no matter how old you are, no matter what color you are, no matter where you live in
[29:34.960 --> 29:41.760]  the world. It works the same on everybody. It's known to be able to regrow nerves. It's designed
[29:41.760 --> 29:47.040]  so that your telomeres last longer. It doesn't make them grow. It makes them shrink slower,
[29:47.040 --> 30:15.600]  which is basically the same thing. DNA Force Plus is 50% off for a limited time at infowarstore.com.
[30:17.120 --> 30:23.680]  On corruption, it's Alex Jones coming to you live from the front lines of the infowar.
[30:25.120 --> 30:34.960]  I tell you, this song from Van Halen 1984, is it? Panama is kind of hard to turn off right now.
[30:34.960 --> 30:45.280]  Yeah, it's running a little bit hot tonight. Weak down between my legs. Ease the seat back. Good stuff.
[30:49.040 --> 30:50.160]  Those are the good old days.
[30:53.680 --> 30:58.400]  Still a free country. Credible opportunity out before us.
[30:58.400 --> 31:06.080]  But we gave up on the freedom, gave up on our rights and now click. We're inside the tyranny.
[31:08.560 --> 31:11.280]  Maybe we should come in next segment with a part where he's talking about,
[31:12.320 --> 31:15.680]  I can barely see the road from the heat coming on. That's good. Shut it off there.
[31:17.040 --> 31:22.000]  Let's get serious. We all know that mainstream corporate media lies.
[31:22.000 --> 31:31.600]  We all know that ABC News said that Trump greenlit Turkey blowing up a major Turkish city.
[31:35.120 --> 31:39.760]  And instead they showed a machine gun shootout in Nob Creek, Kentucky,
[31:41.120 --> 31:48.800]  and said the 10 foot tall plumes of fire from gasoline cans being shot was 4,000 foot mushroom
[31:48.800 --> 31:54.960]  clouds as skyscrapers were vaporized. The Kurds didn't have skyscrapers.
[31:56.480 --> 32:02.320]  There weren't 10,000 foot, 4,000 foot plumes of fire. There was 10 foot plumes of fire.
[32:02.320 --> 32:06.960]  And you've got the smaller and you've got all the other lies and there's too many to go overall.
[32:06.960 --> 32:12.240]  And you've got CBS News caught with fake lines of cars, the employees of the hospital,
[32:12.240 --> 32:16.160]  to show lines there and people in hazmat suits lined up around the block
[32:16.160 --> 32:22.320]  to get in and get health care when it's empty. We told you that two months ago and we're attacked.
[32:26.560 --> 32:32.000]  I even had some own crew come to me and say, Alex, you really think in New York in places
[32:32.000 --> 32:37.120]  they'll really stage fake lines of cars and fake people in hazmat suits? And I said, yeah,
[32:37.120 --> 32:42.000]  locals went and shot video and showed it's fake. I believe them. I could look at the tape and see
[32:42.000 --> 32:50.720]  it was fake. And it's now confirmed. Let's see. It's just a blip. And the line between
[32:50.720 --> 32:56.240]  entertainment and fiction and reality has been blurred where a lot of people just decide now
[32:56.240 --> 33:02.720]  what they want to believe. Well, Bill Barr, the U.S. Attorney General, who is proving to be more
[33:02.720 --> 33:08.640]  and more independent of the globalist every day, at least pro-American trying to unseat the communist
