[00:00:03.039 --> 00:00:05.381]  I don't think so.
[00:06:59.569 --> 00:07:14.794]  Is it good news that Governor Abbott lifted the lockdown of businesses at 50%, 25% in some parts of the state, and said no more masks, and left it up to the cities to basically intimidate and continue that process?
[00:07:14.794 --> 00:07:15.034]  Yes.
[00:07:16.443 --> 00:07:17.544]  He's under massive pressure.
[00:07:17.544 --> 00:07:21.166]  It's incredibly unpopular.
[00:07:21.166 --> 00:07:22.807]  And it's destroying the state economy.
[00:07:22.807 --> 00:07:26.029]  But why did he really do it suddenly yesterday?
[00:07:26.029 --> 00:07:27.729]  Because he wasn't planning to announce it.
[00:07:27.729 --> 00:07:32.712]  I already have from sources until Texas Independence Day next Wednesday.
[00:07:32.712 --> 00:07:37.275]  And he still went ahead to announce that's when it will be because he had that plan.
[00:07:37.275 --> 00:07:40.457]  Why did he announce it early?
[00:07:40.457 --> 00:07:42.818]  Why did he announce it seven days early?
[00:07:44.406 --> 00:07:57.835]  He announced it seven and a half days early because the legislature of New York passed the law to take the emergency powers away from Cuomo and to end the statewide lockdown and to end the mask and to 100% go back.
[00:07:57.835 --> 00:08:02.638]  Well, Texas can't be shown up by the legislature to New York.
[00:08:02.638 --> 00:08:06.181]  He's also embarrassed by Governor Noem of South Dakota.
[00:08:06.181 --> 00:08:08.882]  He's really embarrassed by DeSantis.
[00:08:08.882 --> 00:08:10.524]  And look, I love my state to be a leader.
[00:08:10.524 --> 00:08:11.684]  I love Texas.
[00:08:11.684 --> 00:08:12.505]  My family's been here.
[00:08:13.328 --> 00:08:20.593]  So long that our land grants from the Spanish, not the Mexicans.
[00:08:20.593 --> 00:08:21.554]  That's pretty crazy.
[00:08:21.554 --> 00:08:26.337]  Not many, I mean, we're like some of the first hundred families here on my dad and mom's side.
[00:08:26.337 --> 00:08:27.978]  I'm not bragging, it's just a fact.
[00:08:27.978 --> 00:08:30.100]  I love Texas, okay?
[00:08:30.100 --> 00:08:32.481]  And I'm related to a bunch of the founders of the state.
[00:08:32.481 --> 00:08:33.482]  But we're a wreck.
[00:08:33.482 --> 00:08:34.243]  We're a joke.
[00:08:34.243 --> 00:08:35.443]  We're almost blue.
[00:08:35.443 --> 00:08:39.426]  So let's stop acting like we are out of the woods here, okay?
[00:08:39.426 --> 00:08:40.627]  I'm just gonna stop right there.
[00:08:40.627 --> 00:08:42.068]  I love my state enough to be honest about it.
[00:08:43.177 --> 00:08:47.439]  We're overrun by the refugees of California who are bringing their problems with them.
[00:08:47.439 --> 00:08:48.560]  They're so stupid.
[00:08:48.560 --> 00:08:50.681]  They bring what destroyed their state to us.
[00:08:50.681 --> 00:08:52.922]  But I'm digressing.
[00:08:52.922 --> 00:08:56.905]  Why did Abbott do this?
[00:08:56.905 --> 00:09:06.430]  He was already planning a partial unlocking next week, but he was going to leave it up to the cities to be their own little tyrants.
[00:09:06.430 --> 00:09:08.791]  Notice he didn't do that in this speech.
[00:09:08.791 --> 00:09:11.132]  He didn't say they still have the power to be tyrants.
[00:09:11.132 --> 00:09:11.933]  He just left it there.
[00:09:13.433 --> 00:09:15.574]  Because he sees the writing on the wall.
[00:09:15.574 --> 00:09:17.295]  And so he's playing second fiddle.
[00:09:17.295 --> 00:09:19.056]  He's playing catch-up.
[00:09:19.056 --> 00:09:25.498]  So that's why Mississippi and a bunch of other states followed suit when Texas did this yesterday.
[00:09:25.498 --> 00:09:28.140]  Because it made a lot of news headlines.
[00:09:28.140 --> 00:09:30.281]  Almost no headlines about New York.
[00:09:30.281 --> 00:09:31.021]  And why?
[00:09:31.021 --> 00:09:42.086]  Because the CNN and ABC and NBC and all the rest of the enemy media, they don't want people to know that New York City and New York State took action
[00:09:44.239 --> 00:09:49.320]  And overrode their corrupt evil governor who's in so much trouble.
[00:09:49.320 --> 00:09:50.640]  So that's why this really happened.
[00:09:50.640 --> 00:09:53.521]  Now here's the big problem.
[00:09:53.521 --> 00:09:56.042]  They're going to bring this back.
[00:09:56.042 --> 00:09:57.982]  We'll play the short clip of Abbott.
[00:09:57.982 --> 00:10:02.683]  A little 50 second one here in a second where he announces this and everybody cheers.
[00:10:02.683 --> 00:10:09.544]  The plan is always to restrict and then take the pressure off and then restrict and take the pressure off and restrict and then take the pressure off.
[00:10:09.544 --> 00:10:10.725]  That's what a boa constrictor does.
[00:10:10.725 --> 00:10:12.325]  It wraps around you, crushes you,
[00:10:13.092 --> 00:10:23.420]  And then gives itself a break, and gives you a break, and the next time crushes you even harder, until it kills you.
[00:10:23.420 --> 00:10:25.661]  And that's the process here.
[00:10:25.661 --> 00:10:30.445]  So everything you see in Australia, and in Spain, and in Germany, and in the UK is coming here.
[00:10:30.445 --> 00:10:33.047]  This is a worldwide directed program.
[00:10:33.047 --> 00:10:40.092]  They admit that's the plan, contact right here in your house, taking you away if you have a fever, disappearing you, killing you with a
[00:10:41.593 --> 00:10:43.494]  Ventilator, that's the new guillotine.
[00:10:43.494 --> 00:10:44.815]  This is their plan.
[00:10:44.815 --> 00:10:49.258]  Special political facilities run by leptists, where leptist doctors kill you.
[00:10:49.258 --> 00:10:52.020]  It's already happening in Europe.
[00:10:52.020 --> 00:10:53.381]  People are like, that sounds insane.
[00:10:53.381 --> 00:10:54.321]  Yeah, this is all insane.
[00:10:54.321 --> 00:10:56.423]  They keep babies alive and sell their organs now, folks.
[00:10:56.423 --> 00:10:59.004]  They've had human animal clones for 40 years.
[00:10:59.004 --> 00:11:00.005]  We're not in Kansas anymore.
[00:11:01.824 --> 00:11:17.288]  And so, they're talking about the devil strain, and oh, oh, there's a new strain in Brazil, it's an atomic bomb, oh, 18 million will die, 15, it's all the same lies of a year ago being recycled, but they've changed the date.
[00:11:17.288 --> 00:11:20.529]  And they've changed the countries it's coming from.
[00:11:20.529 --> 00:11:23.610]  All you gotta do is look at the World Almanac or any of the numbers.
[00:11:23.610 --> 00:11:25.410]  We had the same number of deaths roughly in 2020 as we had in 2019.
[00:11:31.309 --> 00:11:33.951]  In fact, the numbers went down for population growth.
[00:11:33.951 --> 00:11:48.799]  Actually, death went up a little bit, but if you add population growth and then the aggregate sum average, well, ladies and gentlemen, less died 2020 than 2019, if you look at the normal increase in death because of population increase.
[00:11:48.799 --> 00:11:52.961]  So, the projection was lower for deaths than it was the year before.
[00:11:52.961 --> 00:11:56.663]  The projection, you understand, our country grows by 10, 15 million a year.
[00:11:56.663 --> 00:11:59.084]  So, and there's a lot of old folks dying as well.
[00:11:59.084 --> 00:12:00.605]  So, all these actuaries go together.
[00:12:01.986 --> 00:12:03.566]  So there's the total fear-mongering.
[00:12:03.566 --> 00:12:08.727]  In fact, guys, look at that stack of news I forgot to get to yesterday on the COVID fear-mongering.
[00:12:08.727 --> 00:12:15.109]  That big stack I had you print where they're like, oh, the devil strain, the Satan strain, the atomic bomb strain.
[00:12:15.109 --> 00:12:17.149]  We're all dead.
[00:12:17.149 --> 00:12:18.490]  They just increased the fear.
[00:12:18.490 --> 00:12:24.311]  And I wanted to go back a year ago and show you the exact same headlines that they're just recycling.
[00:12:24.311 --> 00:12:27.992]  They just recycle this garbage against you.
[00:12:27.992 --> 00:12:29.072]  So here is Governor
[00:12:30.231 --> 00:12:38.217]  Greg Abbott yesterday at a Mexican food restaurant announcing to the crowd, and of course the minute you see, no one's wearing masks.
[00:12:38.217 --> 00:12:39.678]  Because it's called leadership.
[00:12:39.678 --> 00:12:44.122]  The minute he said, don't need to wear masks, they all stopped virtue signaling, and they took the stupid things off.
[00:12:44.122 --> 00:12:51.207]  They give you bacterial pneumonia, they do not protect you, and it creates the illusion that we're under a crisis when we're not.
[00:12:51.207 --> 00:12:51.928]  It's a fraud.
[00:12:53.297 --> 00:12:53.577]  So today,
[00:13:20.407 --> 00:13:27.028]  I'm issuing a new executive order that rescinds most of the earlier executive orders.
[00:13:27.028 --> 00:13:35.850]  Effective next Wednesday, all businesses of any type are allowed to open 100 percent.
[00:13:35.850 --> 00:13:41.011]  That includes any type of entity in Texas.
[00:13:41.011 --> 00:13:42.211]  Also, I am ending
[00:13:49.850 --> 00:13:53.093]  The statewide mask mandate.
[00:13:53.093 --> 00:13:55.335]  Okay, and I actually have his statement.
[00:13:55.335 --> 00:13:57.176]  There's not a new executive order out yet.
[00:13:57.176 --> 00:13:58.277]  We'll get it next Wednesday.
[00:13:58.277 --> 00:14:02.301]  But I had that in my stack and I scrolled it away and can't find it.
[00:14:02.301 --> 00:14:03.802]  So during the break, oh, I found it.
[00:14:03.802 --> 00:14:04.923]  I found it.
[00:14:04.923 --> 00:14:05.784]  I got it right here.
[00:14:05.784 --> 00:14:06.945]  I got a statement right here.
[00:14:06.945 --> 00:14:08.306]  And here's the fine print.
[00:14:08.306 --> 00:14:09.767]  You knew this was going to happen.
[00:14:09.767 --> 00:14:13.250]  He says that if the COVID numbers go back up to a very low threshold,
[00:14:14.235 --> 00:14:19.159]  Remember, it's supposed to be, you know, 4% of the public dead, 15 million, 18 million dead.
[00:14:19.159 --> 00:14:22.001]  Remember all that?
[00:14:22.001 --> 00:14:23.622]  Well, oh, no, no, no, no, no, no.
[00:14:23.622 --> 00:14:39.394]  Now, if the hospital beds just get up to a very small level, if COVID hospitalizations in any of the 22 hospital regions of Texas get above 15% of the hospital bed capacity in that region for seven straight days, they're going to lock the
[00:14:43.604 --> 00:14:45.705]  I thought they were all overflowing!
[00:14:45.705 --> 00:14:49.987]  No, they were all empty parking lots for almost a year.
[00:14:49.987 --> 00:14:54.168]  And a lot of people didn't get that mammogram, they didn't get that check, and they died of cancer.
[00:14:54.168 --> 00:14:58.490]  They admit more people died of not getting medical treatment around the world than died of COVID.
[00:14:58.490 --> 00:15:01.611]  But it doesn't matter, it's a virtue signal!
[00:15:01.611 --> 00:15:05.073]  You're a liberal wearing your mask, you're a hero!
[00:15:05.073 --> 00:15:05.973]  You're a dumbass.
[00:15:10.638 --> 00:15:12.360]  Look, a day late, a dollar short.
[00:15:12.360 --> 00:15:14.342]  I don't like Abbott.
[00:15:14.342 --> 00:15:16.284]  I hate the Democrats more.
[00:15:16.284 --> 00:15:18.446]  But they got dirt on his ass.
[00:15:18.446 --> 00:15:23.051]  And he's going to slap us right back in there bigger than Dallas.
[00:15:23.051 --> 00:15:24.673]  Until we just drive it in.
[00:15:24.673 --> 00:15:26.895]  I mean, you got to get in the face of the left.
[00:15:26.895 --> 00:15:27.896]  You got to go to your church.
[00:15:27.896 --> 00:15:31.179]  You got to go to restaurants and say, I don't want your employees wearing masks.
[00:15:31.179 --> 00:15:32.100]  They spread bacteria.
[00:15:32.100 --> 00:15:32.481]  They do.
[00:15:32.481 --> 00:15:33.702]  It's like a Petri dish.
[00:15:34.888 --> 00:15:35.548]  H-E-B!
[00:15:35.548 --> 00:15:42.690]  I'm not going to H-E-B or any of these grocery stores until you stop... H-E-B says we're gonna make our employees wear it and encourage you to!
[00:15:42.690 --> 00:15:43.990]  Kiss my ass!
[00:15:43.990 --> 00:15:45.250]  Seriously!
[00:15:45.250 --> 00:15:48.151]  You damn commies!
[00:15:48.151 --> 00:15:51.032]  Thank God my grandmother didn't marry the founder of H-E-B.
[00:15:51.032 --> 00:15:51.892]  He proposed to her.
[00:15:51.892 --> 00:15:53.912]  His name is Rusty Butts.
[00:15:53.912 --> 00:15:55.793]  It's actually his name.
[00:15:55.793 --> 00:15:57.073]  H-E-B.
[00:15:57.073 --> 00:15:57.713]  I'll be right back.
[00:15:57.713 --> 00:15:58.573]  Stay with us.
[00:15:58.573 --> 00:16:00.934]  You know, it's crazy to get to this point.
[00:16:00.934 --> 00:16:01.714]  It's very bittersweet.
[00:16:02.674 --> 00:16:05.675]  Everything we've talked about has happened just like we said it would.
[00:16:05.675 --> 00:16:06.915]  And now we have a lot of credibility.
[00:16:06.915 --> 00:16:07.856]  But I don't care about that.
[00:16:07.856 --> 00:16:09.896]  I care about beating the new world order.
[00:16:09.896 --> 00:16:14.598]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[00:16:14.598 --> 00:16:17.959]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[00:16:17.959 --> 00:16:19.459]  I can't tell you what's going on.
[00:16:19.459 --> 00:16:20.660]  But let's just say this.
[00:16:20.660 --> 00:16:21.980]  We're going to see this through to the end.
[00:16:21.980 --> 00:16:24.441]  We're going to stay on air as long as we can.
[00:16:25.061 --> 00:16:28.703]  So please pray for us and please buy the products at Impulwerestore.com.
[00:16:28.703 --> 00:16:31.284]  They're great products, plus they fund the operation.
[00:16:31.284 --> 00:16:34.466]  So you know, unlike other products you can buy, they're still great.
[00:16:34.466 --> 00:16:35.306]  Do they fund freedom?
[00:16:35.306 --> 00:16:36.427]  No, a lot of them don't.
[00:16:36.427 --> 00:16:42.890]  These are great products that fund freedom and fund justice when the whole world's waking up and looking for truth.
[00:16:42.890 --> 00:16:44.611]  That's why the globalists are censoring.
[00:16:44.611 --> 00:16:47.433]  They can't bring in all this tyranny and leave people like us on the air.
[00:16:48.013 --> 00:16:51.135]  So while you're at it, don't just financially support us and spread the word.
[00:16:51.135 --> 00:16:58.839]  Download everything we've done you can find and save it, because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[00:16:58.839 --> 00:17:06.903]  As you know, we're always upping our game at InfoWars, and we brought you a new supplement, a new product that we know you're going to love, especially if you have trouble sleeping.
[00:17:06.903 --> 00:17:07.983]  It is Down and Out.
[00:17:07.983 --> 00:17:09.804]  We don't mean bankrupt under a bridge.
[00:17:09.804 --> 00:17:11.305]  We mean down your bed, sleeping
[00:17:11.425 --> 00:17:12.786]  Hard throughout the night.
[00:17:12.786 --> 00:17:15.828]  It's got four milligrams of high quality melatonin.
[00:17:15.828 --> 00:17:18.410]  It's got 25 milligrams of passion flower.
[00:17:18.410 --> 00:17:22.053]  It's got 50 milligrams of valerian root extract concentrate.
[00:17:22.053 --> 00:17:27.077]  It's got 100 milligrams of lemon balm and 150 milligrams of German chamomile.
[00:17:27.077 --> 00:17:29.679]  Ladies and gentlemen, this is a very strong formula.
[00:17:29.679 --> 00:17:32.721]  I recommend you only take a quarter or a half the first time.
[00:17:32.721 --> 00:17:34.623]  It's liquid so it goes right to your body fast.
[00:17:35.083 --> 00:17:37.605]  If you take it subliminally under the tongue, oh!
[00:17:37.605 --> 00:17:39.586]  Talk about blasting off to sleep, it's incredible.
[00:17:39.586 --> 00:17:44.589]  It's basically a liquid formula of rocket rest that's so popular, we can't keep it in stock.
[00:17:44.589 --> 00:17:48.672]  Get yours today, down and out, exclusively at InfoWareStore.com.
[00:17:48.672 --> 00:17:52.414]  40% off, out of the gate, with free shipping, while supplies last.
[00:17:52.414 --> 00:17:53.975]  Down and out, InfoWareStore.com.
[00:18:02.168 --> 00:18:18.091]  You're listening to the Alex Jones Show!
[00:18:18.091 --> 00:18:23.172]  And then Ron Helford rides out on stage on a motorcycle.
[00:18:23.172 --> 00:18:26.432]  Which is a rip-off, it's still a great rip-off of the Hells Angels.
[00:18:26.432 --> 00:18:30.153]  With Hunter S. Thompson in the 60s riding onto that stage on that motorcycle.
[00:18:30.153 --> 00:18:31.313]  Come up here in space!
[00:18:32.210 --> 00:18:34.532]  I'm looking down on you.
[00:18:34.532 --> 00:18:38.314]  My laser's trace.
[00:18:38.314 --> 00:18:40.676]  Everything you do.
[00:18:40.676 --> 00:18:43.098]  I'm not a lamenter!
[00:18:43.098 --> 00:18:46.880]  I am perpetual!
[00:18:46.880 --> 00:18:48.702]  I keep the country free!
[00:19:01.101 --> 00:19:07.502]  All right, let's get serious and not have fun here, because we're not gonna be able to have fun if the new order totally takes over, right?
[00:19:07.502 --> 00:19:08.603]  What an incredible time.
[00:19:08.603 --> 00:19:14.604]  Okay, let me tell you what we got in the stack, and I'm not trying to be positive just to be positive.
[00:19:14.604 --> 00:19:26.807]  We have amazing news Friday, amazing news Sunday, amazing news Monday, and I guess Tuesday, and now Wednesday, I've got a big stack of COVID news here that's just incredibly good.
[00:19:26.807 --> 00:19:28.247]  Half of healthcare workers
[00:19:29.028 --> 00:19:32.711]  In France say the vaccine's poison and crap.
[00:19:32.711 --> 00:19:35.553]  That's the news admitting it.
[00:19:35.553 --> 00:19:37.755]  The doctors won't take it.
[00:19:37.755 --> 00:19:40.237]  The medical unions say shove it up your rear end.
[00:19:40.237 --> 00:19:42.338]  Excuse my French.
[00:19:42.338 --> 00:19:46.601]  So we're going to be getting to all of that in this little stack right here.
[00:19:46.601 --> 00:19:51.245]  And then there's so much election fraud proof coming out.
[00:19:51.245 --> 00:19:51.886]  Oh my gosh.
[00:19:51.886 --> 00:19:56.429]  And states taking action, finding the evidence in Georgia and Arizona.
[00:19:56.429 --> 00:19:57.630]  It's just incredible.
[00:19:59.065 --> 00:20:01.886]  That's why the media kept focusing on election machines.
[00:20:01.886 --> 00:20:06.609]  No, it was fake ballots that they were stealing stuff with, that were pre-packaged, shipped in.
[00:20:06.609 --> 00:20:08.069]  I mean, we've got them.
[00:20:08.069 --> 00:20:10.831]  And now legislators are getting involved and demanding it and getting it.
[00:20:10.831 --> 00:20:12.832]  I mean, that's crazy.
[00:20:12.832 --> 00:20:17.294]  But here and in Europe, they're going to call populist terrorists.
[00:20:17.294 --> 00:20:25.137]  Germany is moving to outlaw any nationalist party and has now put the main nationalist party, that's like Libertarian Party, very milquetoast.
[00:20:25.137 --> 00:20:28.179]  Like, we should have sovereignty and not too high taxes.
[00:20:30.266 --> 00:20:33.969]  Oh, you're under government surveillance, you're a terrorist.
[00:20:33.969 --> 00:20:36.411]  That is all coming up here today.
[00:20:36.411 --> 00:20:45.237]  And then we have the host of All Gas, No Brakes, I'm a big fan, coming on the broadcast, Mr. Callahan.
[00:20:45.237 --> 00:20:50.561]  He's giving his bio, pretty please double sugar cupcakes on top.
[00:20:50.561 --> 00:20:53.284]  I really like that bio in here.
[00:20:53.284 --> 00:20:54.885]  And that would make me super
[00:20:55.572 --> 00:20:57.473]  Deluxe happy.
[00:20:57.473 --> 00:21:02.736]  And so we look for that coming up as well.
[00:21:02.736 --> 00:21:04.156]  And a lot more.
[00:21:04.156 --> 00:21:10.579]  We have Biden administration banning reporters from touring child detention buildings.
[00:21:10.579 --> 00:21:16.682]  So Trump ended the cages and let everybody get the major tours.
[00:21:16.682 --> 00:21:20.264]  And then and then AOC lied and said that
[00:21:24.091 --> 00:21:25.432]  They were drinking out of toilets.
[00:21:25.432 --> 00:21:26.632]  Remember all that?
[00:21:26.632 --> 00:21:28.273]  Well, now you just don't get a tour.
[00:21:28.273 --> 00:21:40.620]  And remember, Obama had a policy, the Senate report found, that allowed the trafficking of tens of thousands of children that were given to molesters, and many of which ended up dead.
[00:21:40.620 --> 00:21:42.621]  But see, that's a real Senate report.
[00:21:42.621 --> 00:21:43.941]  The Q people don't care about that.
[00:21:43.941 --> 00:21:47.323]  They don't talk about underground bases and millions of children and things that don't exist.
[00:21:48.706 --> 00:21:52.308]  But when it's real stuff, oh, no, no, no, no, that's all, that's too real.
[00:21:52.308 --> 00:21:53.449]  Let's not get into that.
[00:21:53.449 --> 00:21:57.191]  That is all coming up here as well.
[00:21:57.191 --> 00:22:00.333]  And I do intend to also open the phones up.
[00:22:00.333 --> 00:22:01.934]  Steve Quayle's got big news.
[00:22:01.934 --> 00:22:06.757]  He'll be with us in the third hour today.
[00:22:06.757 --> 00:22:08.778]  But they have invited all these people to come up here.
[00:22:08.778 --> 00:22:10.079]  Now it's a giant crisis.
[00:22:10.822 --> 00:22:15.026]  They've got more than triple the people normally coming across, and Biden is announcing a plan to just let them go!
[00:22:15.026 --> 00:22:19.971]  He's like, don't worry about cages, I'll just let people grab kids, kidnap kids, just bring them in, do whatever they want.
[00:22:20.928 --> 00:22:29.136]  And a large portion are little kids that are grabbed who are used to get in the country, then they're taken back to Mexico to smuggle other people in, and it goes on over and over again.
[00:22:29.136 --> 00:22:32.579]  But that's liberal to let them use these kidnapped children.
